gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attPenTarget,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attRfGoal,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,attIboxGoal,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,savedObox,attLfGoal,attOneOnOne,attMissHighRight,freekickCross,goodHighClaim,attOboxMiss,errorLeadToShot,totalHighClaim,attGoalHighRight,divingSave,attHdTarget,sixYardBlock,attAssistSetplay,attSvLowRight,punches,savedIbox,shieldBallOop,foulThrowIn,attSvHighCentre,attHdGoal,goalAssistDeadball,saves,attSvHighLeft,contentiousDecision,successfulOpenPlayPass,attMissHighLeft,openPlayPass,accurateFreekickCross,attSetpiece,totalPullBack,attFreekickMiss,attemptsIbox,accurateKeeperSweeper,attemptsObox,touchesInOppBox,totalKeeperSweeper,defenderGoals,attCorner,ptsDroppedWinningPos,penaltyConceded,penaltyFaced,penGoalsConceded,cleanSheet,attOboxGoal,attGoalHighCentre,attObxdLeft,attFreekickGoal,attOboxPost,accuratePullBack,goalFastbreak,attLgCentre,attSvHighRight,attPenGoal,attObxdRight,attGoalLowCentre,attCmissHighRight,attPostRight,attHdPost,attPostLeft,attCmissHighLeft,clearanceOffLine,ownGoals,attIboxOwnGoal,penaltySave,attObxLeft
28,442269,2013-03-04 20:00:00,"Villa Park, Birmingham",33217,Away,Manchester City,Aston Villa,1,0,W,1,0,0,0,,,4.0,1.0,40.0,1.0,,1.0,,18.0,32.0,8.0,7.0,3.0,196.0,2.0,4.0,1.0,3.0,17.0,2.0,8.0,105.0,162.0,63.0,,2.0,20.0,4.0,23.0,4.0,,3.0,,1.0,,,14.0,,17.0,3.0,18.0,4.0,22.0,21.0,217.0,,0.0,143.0,14.0,1.0,,5.0,82.0,66.0,10.0,61.0,2.0,2.0,10.0,2.0,1.0,148.0,1.0,6.0,113.0,670.0,15.0,14.0,2.0,11.0,16.0,4.0,20.0,1.0,0.0,5.0,7.0,28.0,59.0,1.0,84702,4.0,162.0,,8.0,192.0,1.0,11.0,61.0,,5.0,1.0,2.0,1.0,12.0,4.0,7.0,,29.0,377.0,10.0,8.0,19.0,83.0,,,,0.0,1.0,,6.0,1.0,,,4.0,0.0,1.0,1.0,,52.8,23.0,,2.0,4.0,2.0,5.0,47.0,5.0,475.0,9.0,11.0,10.0,7.0,16.0,1.0,5.0,297.0,13.0,22.0,25.0,106.0,19.0,1.0,3.0,12.0,24.0,,14.0,3.0,9.0,,3.0,5.0,,,,4.0,1.0,,2.0,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,,,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0
29,442291,2013-03-16 12:45:00,"Goodison Park, Liverpool",36519,Away,Manchester City,Everton,0,2,L,0,1,0,1,2.0,,2.0,,54.0,,,1.0,,32.0,36.0,10.0,7.0,6.0,160.0,5.0,4.0,,5.0,16.0,,8.0,106.0,159.0,47.0,,2.0,20.0,5.0,17.0,5.0,,1.0,,,3.0,1.0,24.0,,8.0,3.0,22.0,6.0,7.0,16.0,247.0,,0.0,195.0,10.0,,,1.0,86.0,90.0,10.0,59.0,1.0,1.0,18.0,2.0,7.0,145.0,4.0,6.0,110.0,636.0,14.0,11.0,,9.0,19.0,9.0,13.0,,3.0,5.0,6.0,28.0,76.0,1.0,93666,5.0,106.0,5.0,9.0,128.0,,5.0,52.0,,1.0,,7.0,,9.0,6.0,1.0,3.0,51.0,348.0,14.0,5.0,20.0,76.0,,,1.0,0.0,,1.0,13.0,,,2.0,4.0,0.0,3.0,,2.0,59.4,24.0,2.0,3.0,2.0,8.0,6.0,45.0,6.0,435.0,8.0,11.0,8.0,6.0,24.0,2.0,4.0,331.0,11.0,7.0,19.0,152.0,24.0,,6.0,8.0,10.0,,14.0,3.0,13.0,,6.0,6.0,,,,1.0,2.0,1.0,2.0,1.0,1.0,,,,,2.0,3.0,2.0,1.0,,,1.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,442303,2013-03-30 15:00:00,"Etihad Stadium, Manchester",47201,Home,Manchester City,Newcastle United,4,0,W,2,0,0,0,,,1.0,2.0,56.0,,3.0,1.0,,30.0,23.0,7.0,5.0,4.0,177.0,13.0,8.0,4.0,6.0,15.0,1.0,9.0,158.0,144.0,42.0,,2.0,21.0,3.0,10.0,4.0,,2.0,,2.0,,1.0,28.0,,12.0,1.0,15.0,8.0,8.0,28.0,284.0,,0.0,193.0,7.0,,2.0,1.0,80.0,81.0,10.0,68.0,2.0,2.0,20.0,2.0,3.0,136.0,4.0,3.0,141.0,733.0,10.0,5.0,,9.0,22.0,4.0,9.0,2.0,0.0,,5.0,26.0,69.0,,7551,6.0,193.0,3.0,15.0,204.0,3.0,4.0,42.0,1.0,3.0,6.0,3.0,3.0,12.0,2.0,2.0,3.0,46.0,464.0,9.0,9.0,10.0,71.0,,,,0.0,,2.0,2.0,4.0,,,1.0,0.0,8.0,2.0,3.0,63.6,23.0,3.0,3.0,2.0,3.0,4.0,47.0,9.0,544.0,8.0,12.0,12.0,8.0,24.0,5.0,5.0,368.0,13.0,7.0,11.0,140.0,26.0,1.0,3.0,7.0,14.0,,14.0,3.0,12.0,,3.0,9.0,,1.0,,2.0,2.0,,3.0,,,,1.0,,,3.0,3.0,,1.0,,,,,,,,,,,,,,,2.0,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,
31,442311,2013-04-08 20:00:00,"Old Trafford, Manchester",75498,Away,Manchester City,Manchester United,2,1,W,0,0,0,0,,1.0,,,50.0,1.0,,2.0,,20.0,42.0,4.0,3.0,1.0,163.0,4.0,5.0,2.0,3.0,9.0,,3.0,104.0,160.0,57.0,,,10.0,1.0,18.0,1.0,,1.0,,2.0,1.0,2.0,20.0,,19.0,,24.0,3.0,10.0,26.0,216.0,,0.0,175.0,21.0,,1.0,,87.0,60.0,6.0,61.0,,1.0,17.0,,1.0,142.0,,11.0,110.0,654.0,7.0,11.0,,9.0,21.0,2.0,23.0,2.0,5.0,1.0,3.0,19.0,63.0,2.0,84702,3.0,149.0,,14.0,164.0,1.0,12.0,73.0,,3.0,1.0,7.0,2.0,6.0,5.0,5.0,1.0,34.0,361.0,13.0,6.0,13.0,73.0,,,,0.0,,1.0,9.0,1.0,,1.0,1.0,0.0,4.0,1.0,,55.0,14.0,,1.0,1.0,7.0,3.0,43.0,4.0,438.0,8.0,25.0,17.0,4.0,23.0,,2.0,294.0,7.0,10.0,16.0,130.0,17.0,1.0,7.0,10.0,23.0,1.0,10.0,3.0,9.0,,7.0,4.0,1.0,1.0,,,2.0,1.0,2.0,,1.0,1.0,2.0,,1.0,,,1.0,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,
32,442282,2013-04-17 19:45:00,"Etihad Stadium, Manchester",47106,Home,Manchester City,Wigan Athletic,1,0,W,0,0,0,0,,,1.0,,68.0,,,,,18.0,13.0,9.0,3.0,,170.0,2.0,13.0,1.0,3.0,9.0,2.0,2.0,125.0,134.0,39.0,,2.0,12.0,3.0,7.0,1.0,,,,1.0,,2.0,15.0,,14.0,,11.0,3.0,20.0,20.0,229.0,,0.0,149.0,12.0,,,1.0,78.0,49.0,4.0,65.0,,4.0,12.0,2.0,1.0,132.0,1.0,5.0,101.0,668.0,8.0,5.0,,25.0,28.0,3.0,5.0,1.0,2.0,5.0,5.0,22.0,61.0,3.0,7551,1.0,166.0,1.0,11.0,177.0,1.0,6.0,50.0,,11.0,6.0,8.0,1.0,16.0,5.0,4.0,,33.0,393.0,5.0,10.0,9.0,74.0,,1.0,,0.0,,2.0,4.0,1.0,,,3.0,0.0,2.0,,,50.4,18.0,,5.0,2.0,8.0,3.0,44.0,5.0,461.0,16.0,3.0,9.0,7.0,11.0,,1.0,299.0,9.0,20.0,6.0,112.0,25.0,1.0,2.0,4.0,15.0,,10.0,3.0,31.0,,2.0,5.0,1.0,,1.0,,,1.0,6.0,,1.0,,2.0,,,,,,3.0,1.0,,,,,,,,,1.0,,,,1.0,2.0,,2.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,
33,442336,2013-04-21 13:30:00,"White Hart Lane, London",36121,Away,Manchester City,Tottenham Hotspur,1,3,L,1,0,0,0,,,1.0,1.0,67.0,1.0,,,,23.0,31.0,7.0,2.0,1.0,179.0,2.0,5.0,1.0,2.0,8.0,,4.0,125.0,175.0,55.0,,2.0,11.0,3.0,23.0,1.0,,,,1.0,,1.0,12.0,,15.0,2.0,12.0,4.0,9.0,18.0,227.0,,0.0,136.0,10.0,1.0,1.0,2.0,98.0,71.0,5.0,68.0,2.0,,8.0,2.0,1.0,156.0,2.0,7.0,116.0,679.0,6.0,9.0,,13.0,19.0,5.0,20.0,1.0,2.0,2.0,3.0,18.0,77.0,1.0,84702,2.0,166.0,1.0,6.0,181.0,1.0,8.0,62.0,,4.0,2.0,8.0,1.0,11.0,4.0,3.0,,42.0,391.0,10.0,5.0,20.0,102.0,,,1.0,0.0,,2.0,4.0,1.0,,3.0,2.0,0.0,1.0,1.0,1.0,54.7,13.0,,4.0,,8.0,3.0,62.0,5.0,488.0,12.0,21.0,9.0,4.0,11.0,1.0,1.0,319.0,8.0,8.0,20.0,83.0,30.0,,3.0,7.0,20.0,3.0,7.0,3.0,8.0,,3.0,5.0,2.0,,,1.0,1.0,,3.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,
34,442343,2013-04-27 12:45:00,"Etihad Stadium, Manchester",47189,Home,Manchester City,West Ham United,2,1,W,1,0,0,0,,,3.0,1.0,55.0,,,3.0,,20.0,41.0,7.0,8.0,3.0,176.0,2.0,11.0,2.0,1.0,13.0,1.0,8.0,157.0,149.0,45.0,,,17.0,,18.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,17.0,1.0,15.0,3.0,20.0,7.0,19.0,18.0,311.0,,0.0,188.0,9.0,2.0,1.0,2.0,83.0,75.0,9.0,61.0,1.0,1.0,10.0,,,128.0,2.0,10.0,160.0,766.0,11.0,2.0,1.0,10.0,26.0,3.0,25.0,2.0,1.0,4.0,4.0,19.0,67.0,3.0,84702,5.0,176.0,4.0,10.0,193.0,,9.0,57.0,,5.0,3.0,8.0,2.0,11.0,1.0,5.0,1.0,36.0,485.0,7.0,5.0,16.0,59.0,1.0,1.0,,0.0,,,4.0,1.0,,1.0,,0.0,2.0,1.0,,62.0,18.0,,,2.0,8.0,3.0,40.0,9.0,554.0,7.0,23.0,9.0,6.0,17.0,,2.0,378.0,9.0,18.0,8.0,152.0,18.0,1.0,1.0,14.0,19.0,1.0,15.0,3.0,13.0,1.0,1.0,9.0,1.0,2.0,,1.0,,1.0,3.0,,2.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,1.0,1.0,,,,3.0,,,,,,,,,,1.0,,,,,,
35,442355,2013-05-04 15:00:00,"Swansea.com Stadium, Swansea",20242,Away,Manchester City,Swansea City,0,0,D,0,0,0,0,,,,,51.0,,,4.0,,38.0,17.0,3.0,4.0,2.0,202.0,1.0,7.0,,2.0,8.0,,3.0,167.0,132.0,40.0,,,12.0,1.0,7.0,3.0,,,,,2.0,2.0,16.0,,7.0,,10.0,4.0,11.0,24.0,308.0,,0.0,215.0,10.0,1.0,,1.0,120.0,71.0,7.0,94.0,,,12.0,,1.0,125.0,4.0,4.0,177.0,792.0,8.0,5.0,,20.0,22.0,2.0,14.0,,0.0,,1.0,19.0,78.0,1.0,84702,7.0,253.0,5.0,10.0,266.0,,9.0,38.0,,4.0,2.0,4.0,,5.0,3.0,4.0,1.0,55.0,560.0,9.0,4.0,13.0,78.0,,,1.0,0.0,,1.0,4.0,,,,,0.0,1.0,,1.0,61.9,19.0,,4.0,1.0,4.0,5.0,54.0,4.0,640.0,15.0,7.0,17.0,4.0,21.0,,2.0,390.0,7.0,11.0,16.0,164.0,20.0,,2.0,9.0,8.0,,11.0,3.0,17.0,,2.0,4.0,,,,1.0,1.0,,2.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,
36,442323,2013-05-07 19:45:00,"Etihad Stadium, Manchester",46158,Home,Manchester City,West Bromwich Albion,1,0,W,1,0,0,0,,,4.0,,50.0,,1.0,6.0,,16.0,39.0,9.0,10.0,2.0,153.0,7.0,5.0,1.0,2.0,18.0,,7.0,111.0,146.0,49.0,,1.0,24.0,3.0,17.0,3.0,3.0,2.0,1.0,1.0,,2.0,26.0,,11.0,3.0,20.0,3.0,11.0,14.0,220.0,,0.0,141.0,10.0,4.0,,1.0,75.0,76.0,13.0,66.0,3.0,,23.0,1.0,3.0,127.0,4.0,8.0,108.0,658.0,16.0,5.0,2.0,17.0,13.0,1.0,13.0,1.0,2.0,5.0,5.0,22.0,57.0,1.0,93666,8.0,146.0,7.0,19.0,166.0,1.0,13.0,46.0,1.0,1.0,,9.0,1.0,6.0,12.0,6.0,3.0,35.0,359.0,9.0,7.0,15.0,76.0,3.0,,,0.0,,1.0,8.0,1.0,,,,0.0,7.0,1.0,,53.6,20.0,,4.0,,10.0,9.0,44.0,6.0,438.0,9.0,11.0,9.0,8.0,17.0,,5.0,298.0,14.0,10.0,20.0,109.0,21.0,1.0,2.0,6.0,15.0,,21.0,3.0,6.0,,2.0,6.0,3.0,,,1.0,1.0,,2.0,,1.0,,5.0,,4.0,1.0,2.0,,4.0,,,3.0,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,
37,442366,2013-05-14 20:00:00,"Select Car Leasing Stadium, Reading",22859,Away,Manchester City,Reading,2,0,W,1,0,0,0,,1.0,2.0,,52.0,,2.0,8.0,1.0,30.0,21.0,10.0,7.0,7.0,199.0,4.0,8.0,2.0,,25.0,,11.0,151.0,133.0,45.0,,,30.0,3.0,6.0,4.0,,3.0,,1.0,4.0,2.0,23.0,,10.0,5.0,8.0,8.0,7.0,14.0,285.0,,0.0,212.0,8.0,,,2.0,55.0,90.0,18.0,92.0,1.0,1.0,16.0,,1.0,120.0,1.0,6.0,155.0,780.0,23.0,2.0,,9.0,17.0,8.0,10.0,2.0,1.0,3.0,7.0,26.0,61.0,1.0,7551,15.0,244.0,3.0,15.0,262.0,1.0,7.0,26.0,1.0,4.0,2.0,4.0,1.0,5.0,6.0,1.0,4.0,39.0,525.0,7.0,1.0,22.0,82.0,,,,0.0,,,4.0,2.0,,,1.0,0.0,4.0,2.0,,61.3,26.0,,3.0,2.0,8.0,11.0,59.0,10.0,597.0,8.0,7.0,8.0,8.0,29.0,1.0,6.0,358.0,23.0,6.0,18.0,174.0,22.0,2.0,3.0,5.0,12.0,,27.0,3.0,13.0,,3.0,10.0,3.0,1.0,,1.0,,1.0,2.0,,1.0,,4.0,,1.0,,1.0,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,
38,442371,2013-05-19 16:00:00,"Etihad Stadium, Manchester",47054,Home,Manchester City,Norwich City,2,3,L,1,1,0,0,,1.0,,,38.0,,2.0,4.0,,29.0,25.0,2.0,4.0,,163.0,9.0,9.0,2.0,,12.0,,3.0,152.0,121.0,45.0,,,14.0,1.0,11.0,1.0,2.0,3.0,,2.0,,,26.0,,16.0,,11.0,7.0,10.0,13.0,269.0,,0.0,165.0,11.0,3.0,2.0,,60.0,92.0,8.0,42.0,1.0,1.0,19.0,,7.0,107.0,2.0,11.0,140.0,667.0,8.0,3.0,,10.0,11.0,1.0,15.0,2.0,1.0,4.0,4.0,14.0,60.0,3.0,7551,7.0,174.0,2.0,12.0,187.0,,11.0,42.0,,8.0,2.0,3.0,2.0,9.0,6.0,9.0,3.0,38.0,434.0,8.0,7.0,9.0,62.0,2.0,,,0.0,,,7.0,2.0,,3.0,1.0,0.0,3.0,2.0,3.0,60.3,14.0,2.0,3.0,2.0,3.0,5.0,52.0,7.0,497.0,9.0,13.0,7.0,6.0,35.0,6.0,5.0,336.0,6.0,8.0,11.0,128.0,21.0,,3.0,4.0,17.0,3.0,11.0,2.0,10.0,,3.0,7.0,2.0,2.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,,,2.0,,,1.0,,,,,,,1.0,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,
