gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,penaltySave,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attLfTarget,attGoalLowRight,savedObox,goalAssistSetplay,goalAssistDeadball,goals,shotFastbreak,attOboxGoal,totalFastbreak,goodHighClaim,interceptionsInBox,attGoalHighCentre,goalAssist,accurateThroughBall,sixYardBlock,attRfGoal,attCmissHigh,totalThroughBall,defenderGoals,attAssistSetplay,attFastbreak,attCmissLeft,attFreekickGoal,overrun,attIboxGoal,goalAssistIntentional,shieldBallOop,totalHighClaim,accurateCornersIntobox,forwardGoals,attHdGoal,errorLeadToGoal,attemptsIbox,saves,postScoringAtt,attIboxPost,attMissHighRight,attSvHighLeft,attemptsObox,attPostLeft,attLgCentre,touchesInOppBox,hitWoodwork,successfulOpenPlayPass,openPlayPass,attCorner,attSvHighCentre,bigChanceScored,attLfGoal,accuratePullBack,accurateFreekickCross,totalPullBack,goalsOpenplay,attSvLowRight,attPostHigh,attPostRight,midfielderGoals,attSvLowLeft,attMissHighLeft,attFreekickTarget,attGoalLowLeft,attGoalLowCentre,goalAssistOpenplay,attOneOnOne,attHdTarget,attSvHighRight,cleanSheet,attCmissHighLeft,punches,attObxRight,attCmissHighRight,foulThrowIn,attLgRight,attGoalHighLeft,attGoalHighRight,attFreekickPost,attOboxPost,ownGoals,attIboxOwnGoal,attObxdLeft,penaltyWon,attPenGoal,attObxLeft,clearanceOffLine,ptsDroppedWinningPos,attPenTarget,goalFastbreak
27,442261,2013-02-17 15:00:00,"Anfield, Liverpool",44832,Home,Liverpool,Swansea City,5,0,W,1,0,0,0,,,,62.0,1.0,45.0,8.0,14.0,12.0,2.0,192.0,8.0,13.0,4.0,23.0,2.0,10.0,133.0,122.0,45.0,2.0,35.0,8.0,6.0,3.0,6.0,,3.0,7.0,19.0,10.0,2.0,4.0,8.0,19.0,33.0,236.0,0.0,169.0,7.0,2.0,,65.0,59.0,14.0,106.0,3.0,11.0,2.0,1.0,6.0,118.0,4.0,,2.0,124.0,730.0,15.0,5.0,18.0,19.0,,2.0,,0.0,1.0,9.0,19.0,65.0,,9047,13.0,252.0,4.0,10.0,1.0,,260.0,2.0,33.0,1.0,3.0,11.0,1.0,2.0,4.0,56.0,480.0,8.0,4.0,6.0,84.0,0.0,1.0,1.0,,3.0,0.0,3.0,3.0,54.3,17.0,3.0,7.0,,3.0,9.0,61.0,10.0,,555.0,,15.0,1.0,6.0,23.0,16.0,21.0,9.0,314.0,20.0,19.0,10.0,123.0,30.0,,,14.0,,24.0,3.0,23.0,,10.0,3.0,,1.0,,,5.0,1.0,,1.0,,1.0,1.0,3.0,3.0,,3.0,1.0,4.0,1.0,5.0,1.0,3.0,,2.0,5.0,1.0,,,5.0,2.0,,,,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,3.0,2.0,,,,3.0,,1.0,,2.0,1.0,,,2.0,1.0,3.0,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,2.0,2.0,,,,,
28,442278,2013-03-02 17:30:00,"DW Stadium, Wigan",20804,Away,Liverpool,Wigan Athletic,4,0,W,3,0,0,0,,,,68.0,1.0,29.0,30.0,2.0,2.0,,165.0,2.0,7.0,2.0,7.0,,6.0,114.0,166.0,49.0,1.0,8.0,,6.0,1.0,2.0,1.0,1.0,,8.0,18.0,1.0,12.0,2.0,24.0,45.0,160.0,0.0,109.0,15.0,4.0,,51.0,36.0,6.0,87.0,,6.0,1.0,2.0,,148.0,2.0,,7.0,114.0,682.0,4.0,2.0,16.0,27.0,4.0,8.0,1.0,2.0,3.0,1.0,26.0,56.0,1.0,9047,3.0,233.0,,4.0,,,264.0,8.0,48.0,4.0,5.0,14.0,7.0,2.0,,53.0,391.0,12.0,7.0,15.0,84.0,0.0,5.0,5.0,,1.0,0.0,1.0,2.0,47.9,22.0,,3.0,,6.0,1.0,49.0,3.0,,480.0,,13.0,,13.0,23.0,1.0,14.0,1.0,224.0,4.0,22.0,5.0,69.0,30.0,2.0,4.0,25.0,,6.0,1.0,14.0,2.0,3.0,1.0,1.0,1.0,,,4.0,,1.0,,1.0,,,3.0,1.0,,3.0,,5.0,,,,,1.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,,,,,,1.0,,,,,,,,,,,2.0,,,,,3.0,1.0,,,1.0,,,,1.0,2.0,3.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,
29,442281,2013-03-10 16:00:00,"Anfield, Liverpool",44752,Home,Liverpool,Tottenham Hotspur,3,2,W,1,1,0,0,,,,69.0,2.0,24.0,28.0,4.0,4.0,,165.0,2.0,4.0,1.0,8.0,1.0,4.0,95.0,177.0,52.0,,12.0,,14.0,,3.0,,1.0,2.0,10.0,21.0,1.0,13.0,1.0,9.0,36.0,140.0,0.0,117.0,9.0,,1.0,58.0,53.0,3.0,51.0,1.0,9.0,,2.0,3.0,162.0,2.0,1.0,8.0,86.0,611.0,7.0,6.0,18.0,25.0,1.0,18.0,,1.0,3.0,5.0,26.0,60.0,,9631,2.0,160.0,1.0,6.0,,,180.0,9.0,71.0,6.0,7.0,9.0,8.0,4.0,1.0,52.0,298.0,8.0,15.0,16.0,87.0,0.0,4.0,3.0,2.0,2.0,0.0,2.0,1.0,46.5,25.0,1.0,5.0,2.0,7.0,2.0,42.0,1.0,,397.0,,14.0,,23.0,19.0,6.0,15.0,3.0,227.0,7.0,8.0,13.0,69.0,30.0,4.0,10.0,27.0,2.0,10.0,2.0,14.0,4.0,1.0,1.0,1.0,2.0,,,3.0,2.0,,3.0,,,,1.0,3.0,,3.0,,6.0,,,2.0,1.0,,1.0,3.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,3.0,,,,,2.0,,,,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
30,442293,2013-03-16 15:00:00,"St. Mary's Stadium, Southampton",32070,Away,Liverpool,Southampton,1,3,L,1,2,0,0,1.0,,,76.0,3.0,24.0,36.0,3.0,4.0,3.0,188.0,1.0,8.0,2.0,7.0,,5.0,91.0,189.0,50.0,1.0,10.0,,9.0,1.0,1.0,2.0,2.0,1.0,15.0,18.0,3.0,20.0,4.0,9.0,35.0,117.0,0.0,108.0,10.0,4.0,1.0,35.0,49.0,6.0,66.0,1.0,11.0,1.0,3.0,,173.0,2.0,1.0,11.0,90.0,642.0,7.0,5.0,16.0,43.0,6.0,13.0,2.0,1.0,2.0,1.0,21.0,70.0,,9631,5.0,208.0,2.0,7.0,,,242.0,8.0,43.0,6.0,6.0,14.0,7.0,2.0,,56.0,324.0,11.0,10.0,26.0,89.0,0.0,7.0,5.0,3.0,1.0,0.0,1.0,,52.1,19.0,,1.0,,6.0,3.0,36.0,5.0,,435.0,,14.0,,11.0,13.0,2.0,17.0,2.0,208.0,6.0,8.0,10.0,58.0,24.0,4.0,6.0,21.0,2.0,8.0,2.0,11.0,4.0,5.0,1.0,,3.0,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,4.0,,,,1.0,,6.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,
31,442300,2013-03-31 13:30:00,"Villa Park, Birmingham",42037,Away,Liverpool,Aston Villa,2,1,W,0,1,0,0,1.0,1.0,,66.0,4.0,33.0,29.0,9.0,11.0,3.0,184.0,2.0,11.0,2.0,17.0,,7.0,140.0,171.0,54.0,1.0,23.0,7.0,12.0,4.0,3.0,,2.0,3.0,15.0,17.0,1.0,14.0,6.0,21.0,48.0,230.0,0.0,153.0,9.0,,,78.0,60.0,13.0,80.0,,9.0,1.0,1.0,2.0,156.0,2.0,,5.0,134.0,745.0,16.0,6.0,16.0,32.0,1.0,17.0,,1.0,4.0,4.0,21.0,76.0,,9631,7.0,215.0,2.0,8.0,,,243.0,6.0,57.0,6.0,3.0,10.0,5.0,6.0,1.0,59.0,443.0,9.0,9.0,10.0,84.0,0.0,7.0,3.0,1.0,2.0,0.0,,,53.5,18.0,,2.0,2.0,3.0,11.0,49.0,8.0,,538.0,,13.0,1.0,15.0,25.0,5.0,18.0,3.0,310.0,12.0,20.0,13.0,105.0,28.0,1.0,7.0,21.0,,17.0,1.0,24.0,1.0,8.0,2.0,,,,,2.0,1.0,,1.0,,,,1.0,3.0,1.0,2.0,,3.0,,,1.0,1.0,,1.0,2.0,1.0,,,2.0,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,2.0,,,,1.0,1.0,,,,2.0,1.0,,,2.0,,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,
32,442310,2013-04-07 13:30:00,"Anfield, Liverpool",45007,Home,Liverpool,West Ham United,0,0,D,0,0,0,0,,,,72.0,2.0,41.0,18.0,12.0,6.0,3.0,226.0,2.0,11.0,,15.0,,8.0,141.0,187.0,42.0,,20.0,3.0,13.0,5.0,1.0,1.0,3.0,4.0,21.0,16.0,3.0,10.0,8.0,19.0,43.0,293.0,0.0,216.0,8.0,,,57.0,60.0,11.0,80.0,1.0,13.0,,1.0,6.0,179.0,1.0,2.0,8.0,150.0,811.0,15.0,9.0,15.0,27.0,1.0,10.0,1.0,0.0,5.0,4.0,27.0,97.0,1.0,9631,2.0,200.0,2.0,12.0,,,223.0,12.0,57.0,4.0,7.0,12.0,3.0,10.0,1.0,53.0,491.0,4.0,7.0,10.0,88.0,0.0,2.0,1.0,,2.0,0.0,1.0,1.0,65.0,23.0,,4.0,3.0,7.0,5.0,67.0,12.0,,597.0,,12.0,,17.0,21.0,7.0,29.0,,395.0,13.0,17.0,9.0,151.0,34.0,,4.0,18.0,,18.0,2.0,23.0,,12.0,4.0,,,,,,1.0,,1.0,3.0,1.0,,,,1.0,,,3.0,,,1.0,1.0,,3.0,,,,3.0,1.0,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,2.0,,,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,
33,442325,2013-04-13 15:00:00,"Select Car Leasing Stadium, Reading",24139,Away,Liverpool,Reading,0,0,D,0,0,0,0,,1.0,,55.0,,40.0,35.0,11.0,9.0,8.0,215.0,6.0,7.0,1.0,21.0,2.0,11.0,106.0,181.0,57.0,1.0,28.0,5.0,14.0,8.0,1.0,,4.0,4.0,13.0,11.0,3.0,17.0,8.0,21.0,45.0,210.0,0.0,168.0,9.0,2.0,,50.0,54.0,12.0,68.0,4.0,5.0,1.0,,3.0,163.0,3.0,,4.0,114.0,729.0,19.0,3.0,14.0,21.0,3.0,21.0,,1.0,4.0,9.0,29.0,76.0,,9631,11.0,186.0,4.0,5.0,,,209.0,15.0,43.0,6.0,4.0,7.0,5.0,9.0,2.0,59.0,390.0,10.0,5.0,16.0,92.0,0.0,4.0,2.0,,,0.0,1.0,2.0,60.1,25.0,2.0,2.0,3.0,5.0,5.0,56.0,9.0,,503.0,,11.0,,12.0,18.0,12.0,25.0,8.0,307.0,17.0,21.0,21.0,108.0,25.0,1.0,10.0,19.0,,23.0,1.0,11.0,1.0,9.0,3.0,,,,,,2.0,,6.0,,,,,2.0,,,2.0,6.0,,2.0,2.0,1.0,,3.0,,,2.0,,5.0,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,2.0,,2.0,,3.0,,1.0,,2.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,
34,442330,2013-04-21 16:00:00,"Anfield, Liverpool",45009,Home,Liverpool,Chelsea,2,2,D,0,1,0,0,,1.0,,65.0,,35.0,24.0,10.0,9.0,4.0,181.0,5.0,11.0,2.0,18.0,,8.0,125.0,159.0,50.0,1.0,21.0,3.0,8.0,4.0,,5.0,1.0,4.0,26.0,18.0,2.0,14.0,6.0,14.0,39.0,222.0,0.0,161.0,9.0,,1.0,59.0,71.0,10.0,65.0,2.0,20.0,1.0,7.0,4.0,149.0,5.0,,5.0,128.0,710.0,15.0,8.0,13.0,17.0,1.0,7.0,5.0,5.0,3.0,8.0,17.0,71.0,,9631,8.0,192.0,3.0,12.0,1.0,1.0,207.0,7.0,45.0,1.0,15.0,8.0,6.0,7.0,2.0,44.0,409.0,11.0,5.0,5.0,72.0,0.0,5.0,1.0,2.0,,0.0,4.0,2.0,57.0,16.0,1.0,4.0,,15.0,3.0,55.0,8.0,1.0,499.0,1.0,9.0,1.0,9.0,22.0,10.0,28.0,5.0,318.0,10.0,13.0,10.0,109.0,27.0,3.0,3.0,18.0,2.0,17.0,2.0,26.0,3.0,8.0,2.0,,2.0,,,2.0,,,,,,,2.0,3.0,,,,5.0,,1.0,,2.0,,4.0,2.0,2.0,1.0,,1.0,2.0,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,2.0,1.0,1.0,,1.0,2.0,3.0,,1.0,,1.0,1.0,,1.0,,2.0,2.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,
35,442344,2013-04-27 17:30:00,"St. James' Park, Newcastle",52351,Away,Liverpool,Newcastle United,6,0,W,2,0,0,1,,,,70.0,3.0,23.0,24.0,4.0,7.0,2.0,193.0,2.0,8.0,2.0,13.0,,9.0,112.0,147.0,60.0,1.0,16.0,1.0,14.0,1.0,3.0,,1.0,3.0,15.0,22.0,2.0,15.0,7.0,23.0,36.0,173.0,0.0,113.0,6.0,,,29.0,66.0,10.0,83.0,,9.0,1.0,2.0,1.0,138.0,4.0,,6.0,116.0,710.0,7.0,1.0,17.0,31.0,1.0,10.0,,2.0,5.0,3.0,13.0,55.0,,9631,8.0,243.0,,7.0,,,278.0,10.0,56.0,5.0,7.0,4.0,5.0,5.0,,49.0,414.0,14.0,15.0,14.0,80.0,0.0,5.0,2.0,,,0.0,1.0,2.0,46.8,11.0,1.0,2.0,,7.0,4.0,50.0,7.0,,504.0,,14.0,,13.0,19.0,3.0,26.0,2.0,241.0,7.0,23.0,7.0,80.0,27.0,4.0,6.0,31.0,,11.0,3.0,16.0,4.0,7.0,1.0,3.0,,1.0,,6.0,,1.0,,4.0,1.0,1.0,5.0,5.0,,3.0,,8.0,1.0,1.0,,,1.0,3.0,5.0,5.0,1.0,4.0,2.0,2.0,1.0,,11.0,2.0,,,,,5.0,,,28.0,1.0,395.0,478.0,,1.0,4.0,2.0,,,,4.0,,,,2.0,,,,2.0,,4.0,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,
36,442350,2013-05-05 13:30:00,"Anfield, Liverpool",44991,Home,Liverpool,Everton,0,0,D,0,0,0,0,,,,65.0,1.0,33.0,19.0,7.0,7.0,1.0,193.0,3.0,9.0,3.0,10.0,,3.0,100.0,175.0,56.0,1.0,15.0,3.0,18.0,3.0,,1.0,,3.0,19.0,17.0,,13.0,3.0,9.0,37.0,173.0,0.0,129.0,10.0,,2.0,64.0,64.0,5.0,57.0,3.0,16.0,1.0,3.0,4.0,169.0,1.0,,3.0,101.0,682.0,9.0,5.0,12.0,35.0,2.0,9.0,1.0,1.0,2.0,5.0,34.0,70.0,,9631,3.0,185.0,1.0,11.0,2.0,,218.0,11.0,68.0,3.0,8.0,12.0,8.0,6.0,1.0,58.0,355.0,10.0,7.0,17.0,87.0,0.0,5.0,,,1.0,0.0,2.0,2.0,54.8,34.0,2.0,1.0,3.0,8.0,4.0,55.0,3.0,,451.0,,10.0,1.0,27.0,15.0,8.0,18.0,4.0,252.0,6.0,9.0,14.0,86.0,16.0,2.0,5.0,23.0,,12.0,2.0,15.0,2.0,3.0,2.0,,2.0,,,,,,,5.0,1.0,,,1.0,,,,1.0,,1.0,,3.0,,4.0,,,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
37,442362,2013-05-12 15:00:00,"Craven Cottage, London",25640,Away,Liverpool,Fulham,3,1,W,1,1,0,0,,,,58.0,4.0,45.0,24.0,5.0,5.0,2.0,183.0,5.0,14.0,,14.0,,7.0,140.0,124.0,42.0,,20.0,2.0,5.0,3.0,2.0,1.0,2.0,1.0,21.0,19.0,1.0,9.0,6.0,12.0,42.0,219.0,0.0,122.0,11.0,3.0,,58.0,86.0,8.0,94.0,2.0,15.0,,4.0,2.0,109.0,3.0,,3.0,127.0,735.0,11.0,3.0,10.0,23.0,1.0,10.0,1.0,1.0,3.0,6.0,15.0,65.0,1.0,9631,8.0,263.0,2.0,11.0,,,278.0,8.0,41.0,2.0,7.0,7.0,7.0,8.0,3.0,67.0,477.0,1.0,11.0,6.0,91.0,0.0,7.0,1.0,1.0,1.0,0.0,3.0,2.0,51.6,13.0,2.0,2.0,2.0,7.0,6.0,63.0,8.0,,544.0,,8.0,,10.0,17.0,7.0,12.0,4.0,287.0,13.0,11.0,4.0,89.0,23.0,2.0,2.0,23.0,1.0,19.0,3.0,18.0,2.0,8.0,2.0,1.0,3.0,,,3.0,4.0,,5.0,2.0,,1.0,2.0,2.0,,2.0,,2.0,,1.0,4.0,1.0,,1.0,3.0,1.0,,2.0,2.0,3.0,,,,,1.0,1.0,,,,,,,1.0,,,,1.0,2.0,1.0,,,,3.0,,,1.0,,1.0,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0
38,442370,2013-05-19 16:00:00,"Anfield, Liverpool",44792,Home,Liverpool,Queens Park Rangers,1,0,W,1,0,0,0,,1.0,,70.0,6.0,35.0,10.0,16.0,12.0,2.0,219.0,4.0,16.0,3.0,22.0,2.0,8.0,145.0,149.0,36.0,1.0,28.0,7.0,4.0,4.0,1.0,1.0,3.0,,33.0,14.0,3.0,6.0,10.0,20.0,38.0,313.0,0.0,208.0,7.0,,,97.0,67.0,15.0,91.0,3.0,24.0,1.0,4.0,4.0,145.0,,1.0,2.0,152.0,826.0,18.0,3.0,11.0,31.0,1.0,2.0,1.0,1.0,4.0,7.0,28.0,78.0,,9631,7.0,227.0,,20.0,1.0,,240.0,10.0,39.0,2.0,7.0,13.0,9.0,7.0,2.0,47.0,536.0,3.0,5.0,3.0,85.0,0.0,,,,1.0,0.0,1.0,1.0,66.4,28.0,,4.0,1.0,7.0,13.0,70.0,14.0,,607.0,,7.0,,14.0,23.0,7.0,26.0,2.0,400.0,15.0,20.0,3.0,161.0,28.0,,1.0,14.0,,23.0,3.0,26.0,,14.0,4.0,,,,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,,,,3.0,,,,3.0,,,3.0,1.0,3.0,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,2.0,,,,,1.0,1.0,,,,1.0,2.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,
