gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,totalPullBack,goalKicks,duelLost,attCmissHigh,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,attLfTarget,bigChanceScored,attGoalLowRight,savedObox,attLfGoal,goals,attPenTarget,attFreekickTotal,accurateKeeperSweeper,attOneOnOne,penaltyWon,totalFastbreak,attSvLowLeft,freekickTotal,hitWoodwork,accurateLaunches,totalKeeperSweeper,attSetpiece,totalOffside,attIboxGoal,accurateFlickOn,forwardGoals,attSvHighLeft,contentiousDecision,attMissHighLeft,goalsOpenplay,foulThrowIn,clearanceOffLine,attHdGoal,handBall,shotFastbreak,cleanSheet,attHdTarget,attFastbreak,attCmissLeft,attSvHighCentre,attFreekickMiss,goalAssistOpenplay,goalAssist,accurateThroughBall,attRfGoal,ownGoals,attGoalHighLeft,goalAssistIntentional,attIboxOwnGoal,attGoalHighRight,attSvHighRight,attOboxGoal,midfielderGoals,secondYellow,attObxdRight,accurateFreekickCross,attGoalLowLeft,attObxRight,attemptsIbox,saves,attObxLeft,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attFreekickTarget,attCmissHighRight,goalAssistSetplay,attGoalLowCentre,postScoringAtt,attIboxPost,attPostRight,goalAssistDeadball,defenderGoals,attLgCentre,goalFastbreak,attPostHigh,attFreekickPost,attPostLeft,attOboxPost,penaltyConceded,penaltyFaced,penGoalsConceded,accuratePullBack,attPenGoal
28,442273,2013-03-02 15:00:00,"St. Mary's Stadium, Southampton",31728,Away,Queens Park Rangers,Southampton,2,1,W,1,1,0,0,,58.0,2.0,19.0,45.0,2.0,2.0,1.0,139.0,3.0,9.0,,5.0,,3.0,48.0,181.0,53.0,7.0,,17.0,,1.0,,1.0,7.0,10.0,1.0,27.0,3.0,8.0,23.0,86.0,,0.0,72.0,16.0,2.0,,3.0,21.0,51.0,4.0,38.0,2.0,1.0,4.0,,1.0,163.0,2.0,7.0,50.0,502.0,2.0,17.0,15.0,26.0,26.0,3.0,6.0,1.0,29.0,49.0,,60252,3.0,82.0,,4.0,,109.0,,12.0,63.0,,1.0,6.0,11.0,14.0,9.0,,43.0,165.0,7.0,9.0,1.0,41.0,78.0,1.0,1.0,0.0,4.0,6.0,1.0,1.0,0.0,1.0,2.0,,33.0,21.0,,3.0,,6.0,2.0,35.0,3.0,3.0,275.0,10.0,15.0,12.0,2.0,8.0,2.0,1.0,173.0,4.0,8.0,23.0,34.0,17.0,2.0,15.0,14.0,1.0,3.0,3.0,16.0,1.0,2.0,3.0,,2.0,1.0,5.0,1.0,2.0,,,,1.0,,2.0,,,,13.0,,2.0,1.0,2.0,4.0,2.0,,,,2.0,,,,1.0,1.0,,,1.0,1.0,,,2.0,2.0,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,442285,2013-03-09 15:00:00,"MATRADE Loftus Road, London",18169,Home,Queens Park Rangers,Sunderland,3,1,W,1,1,0,0,,64.0,,20.0,51.0,9.0,6.0,2.0,165.0,8.0,9.0,6.0,11.0,1.0,6.0,73.0,191.0,89.0,15.0,2.0,26.0,2.0,,1.0,1.0,16.0,26.0,1.0,25.0,3.0,12.0,34.0,148.0,,0.0,142.0,4.0,,2.0,3.0,45.0,46.0,5.0,45.0,1.0,2.0,13.0,3.0,4.0,165.0,1.0,5.0,68.0,592.0,9.0,7.0,15.0,20.0,34.0,0.0,2.0,6.0,25.0,69.0,,60252,3.0,102.0,1.0,8.0,,124.0,,13.0,61.0,,2.0,2.0,10.0,4.0,2.0,3.0,49.0,242.0,19.0,11.0,1.0,24.0,88.0,1.0,,0.0,5.0,5.0,1.0,1.0,0.0,7.0,2.0,2.0,49.7,23.0,1.0,2.0,2.0,2.0,2.0,35.0,4.0,4.0,351.0,13.0,10.0,5.0,7.0,29.0,1.0,3.0,243.0,7.0,11.0,30.0,82.0,31.0,3.0,16.0,31.0,1.0,12.0,3.0,19.0,,3.0,4.0,,1.0,1.0,,1.0,3.0,,1.0,1.0,1.0,,,1.0,1.0,,4.0,1.0,,,1.0,2.0,1.0,,,1.0,2.0,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,1.0,,,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,442289,2013-03-16 15:00:00,"Villa Park, Birmingham",38594,Away,Queens Park Rangers,Aston Villa,2,3,L,1,1,0,0,,40.0,5.0,18.0,29.0,9.0,8.0,2.0,109.0,6.0,12.0,2.0,16.0,1.0,7.0,79.0,116.0,61.0,21.0,1.0,12.0,4.0,,1.0,3.0,18.0,15.0,1.0,16.0,6.0,13.0,28.0,146.0,,0.0,97.0,10.0,,1.0,1.0,32.0,49.0,11.0,44.0,,2.0,12.0,2.0,5.0,103.0,2.0,8.0,81.0,494.0,11.0,4.0,6.0,13.0,11.0,2.0,2.0,5.0,18.0,50.0,,60252,10.0,113.0,2.0,9.0,1.0,123.0,1.0,5.0,41.0,1.0,1.0,,10.0,5.0,3.0,2.0,43.0,253.0,17.0,5.0,4.0,23.0,60.0,1.0,,0.0,,9.0,2.0,3.0,0.0,4.0,,4.0,39.9,14.0,2.0,1.0,2.0,1.0,6.0,34.0,6.0,1.0,313.0,4.0,10.0,12.0,8.0,16.0,2.0,2.0,208.0,8.0,13.0,10.0,65.0,22.0,2.0,7.0,22.0,3.0,12.0,3.0,16.0,1.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,,2.0,,,,3.0,1.0,2.0,1.0,9.0,,3.0,,1.0,1.0,,,,,2.0,,,,,3.0,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,
31,442302,2013-04-01 20:00:00,"Craven Cottage, London",25117,Away,Queens Park Rangers,Fulham,2,3,L,1,3,0,1,,44.0,2.0,35.0,15.0,13.0,9.0,2.0,156.0,7.0,15.0,2.0,14.0,2.0,7.0,111.0,148.0,52.0,21.0,5.0,20.0,1.0,,,,20.0,13.0,4.0,6.0,6.0,27.0,30.0,196.0,,0.0,108.0,7.0,2.0,,1.0,45.0,54.0,9.0,68.0,,4.0,14.0,4.0,3.0,139.0,1.0,6.0,97.0,633.0,10.0,3.0,12.0,17.0,8.0,1.0,2.0,5.0,21.0,56.0,,60252,7.0,165.0,1.0,10.0,,177.0,1.0,3.0,51.0,,1.0,7.0,23.0,4.0,1.0,2.0,65.0,354.0,12.0,7.0,2.0,25.0,91.0,4.0,,0.0,2.0,3.0,,3.0,0.0,4.0,,1.0,51.7,21.0,1.0,,,7.0,7.0,56.0,6.0,1.0,432.0,12.0,12.0,12.0,7.0,19.0,3.0,4.0,275.0,11.0,27.0,9.0,70.0,17.0,1.0,3.0,16.0,3.0,15.0,3.0,20.0,1.0,1.0,6.0,3.0,1.0,,1.0,,2.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,4.0,,1.0,4.0,1.0,,1.0,,,1.0,2.0,,,,,2.0,,,2.0,,,,2.0,2.0,1.0,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,
32,442314,2013-04-07 16:10:00,"MATRADE Loftus Road, London",16658,Home,Queens Park Rangers,Wigan Athletic,1,1,D,0,0,1,0,1.0,57.0,1.0,17.0,23.0,5.0,4.0,,117.0,2.0,22.0,5.0,7.0,,1.0,50.0,141.0,73.0,9.0,2.0,13.0,,,,2.0,18.0,17.0,,12.0,2.0,12.0,26.0,96.0,,0.0,82.0,9.0,3.0,2.0,1.0,21.0,41.0,4.0,44.0,5.0,1.0,16.0,3.0,1.0,130.0,,5.0,53.0,491.0,6.0,8.0,31.0,28.0,14.0,2.0,6.0,3.0,19.0,39.0,1.0,60252,2.0,102.0,,11.0,1.0,120.0,2.0,9.0,45.0,1.0,4.0,2.0,10.0,13.0,2.0,1.0,38.0,196.0,12.0,3.0,,19.0,54.0,,,0.0,,10.0,3.0,1.0,1.0,2.0,,1.0,32.1,14.0,1.0,,,2.0,3.0,19.0,2.0,1.0,264.0,23.0,12.0,9.0,5.0,18.0,,3.0,162.0,4.0,11.0,10.0,54.0,20.0,3.0,7.0,29.0,,5.0,3.0,31.0,1.0,3.0,2.0,,,,3.0,,1.0,,1.0,,,,2.0,,1.0,1.0,5.0,,2.0,3.0,,,1.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,1.0,
33,442322,2013-04-13 15:00:00,"Goodison Park, Liverpool",34876,Away,Queens Park Rangers,Everton,0,2,L,0,1,0,0,1.0,63.0,2.0,15.0,52.0,5.0,7.0,,112.0,1.0,9.0,,9.0,2.0,3.0,65.0,147.0,55.0,10.0,2.0,16.0,2.0,2.0,,,11.0,20.0,1.0,40.0,4.0,15.0,18.0,123.0,1.0,0.0,78.0,13.0,,,,33.0,42.0,6.0,38.0,,2.0,7.0,1.0,3.0,135.0,1.0,10.0,61.0,511.0,9.0,4.0,20.0,33.0,26.0,3.0,5.0,3.0,22.0,34.0,,80442,1.0,91.0,1.0,6.0,,114.0,1.0,5.0,59.0,,1.0,3.0,16.0,3.0,2.0,,32.0,213.0,6.0,4.0,,23.0,52.0,,3.0,0.0,3.0,13.0,3.0,2.0,0.0,1.0,,,39.8,16.0,,1.0,,4.0,4.0,27.0,5.0,,276.0,17.0,19.0,7.0,3.0,18.0,,,173.0,3.0,14.0,16.0,53.0,21.0,3.0,22.0,24.0,1.0,10.0,2.0,16.0,,3.0,5.0,3.0,,,,,,,,1.0,,,,1.0,,,4.0,1.0,,6.0,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
34,442333,2013-04-20 15:00:00,"MATRADE Loftus Road, London",17391,Home,Queens Park Rangers,Stoke City,0,2,L,0,1,0,0,,51.0,,23.0,35.0,17.0,10.0,1.0,114.0,4.0,9.0,8.0,15.0,1.0,5.0,70.0,159.0,58.0,23.0,4.0,30.0,3.0,2.0,2.0,4.0,16.0,15.0,2.0,18.0,4.0,8.0,15.0,125.0,3.0,0.0,100.0,9.0,1.0,4.0,1.0,38.0,37.0,3.0,32.0,,3.0,12.0,1.0,11.0,142.0,,9.0,51.0,488.0,13.0,6.0,3.0,23.0,22.0,1.0,2.0,12.0,27.0,46.0,,80442,3.0,72.0,,7.0,,95.0,,10.0,65.0,,1.0,4.0,10.0,5.0,5.0,4.0,35.0,193.0,14.0,1.0,2.0,25.0,59.0,1.0,,0.0,6.0,5.0,,2.0,0.0,3.0,,1.0,48.9,21.0,,2.0,1.0,4.0,4.0,33.0,5.0,1.0,267.0,1.0,12.0,4.0,14.0,15.0,1.0,3.0,188.0,12.0,8.0,14.0,65.0,18.0,4.0,12.0,21.0,2.0,15.0,2.0,22.0,,4.0,5.0,3.0,,,2.0,,,,4.0,,,,4.0,2.0,4.0,,8.0,,4.0,4.0,,1.0,,,,,,,,,,2.0,,1.0,2.0,3.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,
35,442345,2013-04-28 13:30:00,"Select Car Leasing Stadium, Reading",23388,Away,Queens Park Rangers,Reading,0,0,D,0,0,0,0,,46.0,2.0,24.0,33.0,9.0,6.0,,146.0,3.0,13.0,3.0,8.0,1.0,2.0,100.0,148.0,65.0,15.0,1.0,18.0,1.0,1.0,,2.0,23.0,7.0,1.0,23.0,7.0,12.0,37.0,181.0,3.0,0.0,138.0,16.0,3.0,,5.0,44.0,67.0,4.0,57.0,1.0,2.0,16.0,4.0,6.0,138.0,1.0,11.0,84.0,603.0,7.0,18.0,15.0,17.0,20.0,2.0,6.0,4.0,24.0,52.0,1.0,54771,4.0,127.0,1.0,12.0,,141.0,2.0,16.0,53.0,,1.0,6.0,9.0,5.0,10.0,2.0,49.0,305.0,12.0,6.0,1.0,19.0,74.0,1.0,,0.0,1.0,9.0,3.0,,0.0,1.0,3.0,1.0,53.9,21.0,1.0,2.0,1.0,6.0,3.0,46.0,7.0,5.0,387.0,12.0,6.0,20.0,10.0,14.0,2.0,3.0,269.0,8.0,12.0,28.0,90.0,17.0,4.0,15.0,12.0,,11.0,3.0,21.0,,4.0,7.0,2.0,,,2.0,,,,1.0,,,,,1.0,1.0,1.0,6.0,,1.0,2.0,,4.0,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,,1.0,
36,442353,2013-05-04 17:30:00,"MATRADE Loftus Road, London",18178,Home,Queens Park Rangers,Arsenal,0,1,L,0,1,0,0,,65.0,1.0,31.0,31.0,9.0,3.0,3.0,157.0,4.0,9.0,3.0,9.0,2.0,4.0,104.0,159.0,48.0,13.0,2.0,21.0,,,1.0,,20.0,19.0,4.0,14.0,3.0,19.0,40.0,161.0,3.0,0.0,127.0,8.0,5.0,2.0,3.0,27.0,46.0,5.0,69.0,3.0,2.0,17.0,4.0,4.0,159.0,,4.0,75.0,612.0,9.0,3.0,19.0,27.0,18.0,2.0,5.0,4.0,11.0,69.0,1.0,60252,3.0,149.0,,11.0,,174.0,,6.0,60.0,,1.0,5.0,12.0,8.0,3.0,1.0,62.0,306.0,6.0,9.0,,29.0,79.0,1.0,,0.0,1.0,7.0,3.0,1.0,0.0,4.0,,1.0,41.2,7.0,1.0,3.0,,5.0,3.0,39.0,3.0,3.0,405.0,15.0,18.0,20.0,6.0,31.0,,2.0,251.0,9.0,17.0,10.0,76.0,25.0,2.0,7.0,23.0,1.0,12.0,3.0,13.0,,3.0,3.0,1.0,,,3.0,,,,1.0,1.0,,,,,1.0,,5.0,1.0,,5.0,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,3.0,6.0,,10.0,20.0,298.0,390.0,,,,,,,,,,,1.0,,,,,,,,,,
37,442365,2013-05-12 15:00:00,"MATRADE Loftus Road, London",17278,Home,Queens Park Rangers,Newcastle United,1,2,L,1,2,0,1,1.0,42.0,,34.0,18.0,6.0,2.0,1.0,169.0,1.0,6.0,4.0,5.0,,2.0,98.0,201.0,47.0,10.0,3.0,19.0,1.0,,,1.0,12.0,20.0,,7.0,2.0,20.0,39.0,160.0,1.0,0.0,122.0,9.0,,1.0,2.0,53.0,70.0,3.0,77.0,1.0,1.0,10.0,1.0,3.0,190.0,,4.0,101.0,648.0,4.0,8.0,6.0,15.0,9.0,1.0,5.0,2.0,35.0,73.0,,60252,3.0,165.0,,8.0,,193.0,,11.0,55.0,2.0,,9.0,13.0,7.0,4.0,2.0,67.0,324.0,7.0,4.0,1.0,41.0,98.0,,,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,,56.2,30.0,,,1.0,9.0,3.0,43.0,2.0,2.0,445.0,3.0,20.0,18.0,5.0,14.0,,2.0,264.0,8.0,19.0,12.0,65.0,15.0,2.0,4.0,22.0,1.0,6.0,3.0,10.0,2.0,2.0,2.0,,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,10.0,,2.0,7.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0
38,442370,2013-05-19 16:00:00,"Anfield, Liverpool",44792,Away,Queens Park Rangers,Liverpool,0,1,L,0,1,0,0,1.0,54.0,,23.0,42.0,9.0,6.0,,115.0,,5.0,1.0,10.0,1.0,,64.0,135.0,39.0,11.0,4.0,3.0,,,,1.0,4.0,18.0,,25.0,,17.0,5.0,107.0,,0.0,75.0,4.0,3.0,1.0,,15.0,44.0,4.0,49.0,6.0,3.0,4.0,,5.0,118.0,1.0,12.0,83.0,532.0,10.0,3.0,27.0,25.0,17.0,3.0,14.0,6.0,21.0,39.0,1.0,92790,1.0,133.0,1.0,3.0,,151.0,,13.0,36.0,,,3.0,15.0,16.0,7.0,2.0,50.0,240.0,6.0,16.0,,16.0,72.0,,2.0,0.0,2.0,14.0,4.0,1.0,0.0,,,1.0,33.6,17.0,1.0,3.0,1.0,4.0,4.0,36.0,,1.0,311.0,23.0,14.0,4.0,7.0,17.0,,2.0,164.0,4.0,16.0,4.0,43.0,15.0,4.0,11.0,24.0,,10.0,3.0,5.0,,4.0,,,,,3.0,,,,,,,,,,,,6.0,,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
