gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,attLfTarget,attGoalLowRight,savedObox,goals,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attIboxPost,attOboxGoal,divingSave,midfielderGoals,attPostLeft,hitWoodwork,goalAssist,accurateThroughBall,attRfGoal,goalsOpenplay,attSvLowRight,accurateCrossNocorner,errorLeadToGoal,handBall,bigChanceScored,attGoalLowCentre,shotFastbreak,attBxRight,totalFastbreak,bigChanceCreated,bigChanceMissed,attSetpiece,totalPullBack,defenderGoals,attCmissHighLeft,attFastbreak,attIboxGoal,goalAssistIntentional,attHdGoal,attLfGoal,accurateKeeperSweeper,cleanSheet,attHdTarget,totalKeeperSweeper,sixYardBlock,attMissHigh,attSvHighCentre,forwardGoals,attGoalLowLeft,attCmissRight,penaltyConceded,attCmissHigh,attCmissLeft,penaltyFaced,penGoalsConceded,attSvHighLeft,attObxdRight,accurateFreekickCross,punches,attCmissHighRight,secondYellow,attGoalHighCentre,goalFastbreak,ownGoals,foulThrowIn,attIboxOwnGoal,attSvHighRight,attemptsIbox,saves,attemptsObox,attCorner,goalAssistSetplay,goalAssistDeadball,accuratePullBack,attGoalHighRight,penaltySave,attPostHigh,penaltyWon,attPenGoal,attOneOnOne,attHdPost,attOboxPost,attFreekickGoal,attGoalHighLeft,attPostRight,attFreekickTarget,ptsDroppedWinningPos
28,442269,2013-03-04 20:00:00,"Villa Park, Birmingham",33217,Home,Aston Villa,Manchester City,0,1,L,0,1,0,0,50.0,3.0,41.0,29.0,4.0,,,145.0,4.0,8.0,1.0,8.0,1.0,97.0,168.0,61.0,,10.0,1.0,25.0,1.0,1.0,20.0,16.0,,13.0,6.0,26.0,39.0,220.0,1.0,0.0,171.0,12.0,1.0,,3.0,77.0,74.0,4.0,73.0,3.0,1.0,14.0,,5.0,3.0,152.0,1.0,11.0,101.0,631.0,,5.0,12.0,,29.0,,9.0,,8.0,13.0,2.0,6.0,4.0,22.0,,82.0,,90255,4.0,111.0,9.0,113.0,8.0,63.0,,3.0,4.0,11.0,9.0,4.0,70.0,327.0,14.0,4.0,3.0,26.0,82.0,0.0,3.0,5.0,4.0,1.0,3.0,0.0,,2.0,47.2,20.0,1.0,5.0,,4.0,4.0,1.0,38.0,6.0,3.0,416.0,23.0,,17.0,21.0,5.0,16.0,2.0,2.0,323.0,6.0,23.0,23.0,110.0,26.0,1.0,4.0,16.0,1.0,6.0,3.0,15.0,1.0,6.0,,,,3.0,,,,,,,5.0,,,,,,,,,2.0,1.0,2.0,,,,2.0,,,,1.0,,,,,,,,,,,1.0,,,2.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,442286,2013-03-09 15:00:00,"Select Car Leasing Stadium, Reading",24102,Away,Aston Villa,Reading,2,1,W,2,1,0,0,46.0,,28.0,63.0,8.0,9.0,2.0,149.0,2.0,4.0,2.0,14.0,4.0,106.0,165.0,65.0,1.0,19.0,4.0,22.0,1.0,2.0,9.0,14.0,1.0,27.0,1.0,17.0,37.0,248.0,,0.0,145.0,7.0,,,5.0,100.0,58.0,7.0,78.0,1.0,2.0,8.0,1.0,2.0,4.0,129.0,,6.0,121.0,684.0,1.0,12.0,21.0,,25.0,,12.0,,4.0,36.0,3.0,,7.0,29.0,,79.0,,90255,9.0,116.0,6.0,131.0,13.0,38.0,3.0,1.0,,6.0,4.0,7.0,53.0,362.0,8.0,,1.0,15.0,91.0,0.0,4.0,6.0,2.0,1.0,6.0,0.0,,3.0,58.5,25.0,2.0,5.0,1.0,,4.0,,52.0,1.0,6.0,454.0,17.0,1.0,9.0,12.0,11.0,10.0,,5.0,332.0,7.0,16.0,35.0,97.0,19.0,6.0,17.0,18.0,1.0,16.0,2.0,4.0,6.0,1.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,,,1.0,2.0,1.0,,1.0,,,,,,5.0,,2.0,,2.0,,2.0,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,
30,442289,2013-03-16 15:00:00,"Villa Park, Birmingham",38594,Home,Aston Villa,Queens Park Rangers,3,2,W,1,1,0,0,24.0,,30.0,23.0,5.0,5.0,1.0,150.0,7.0,5.0,2.0,11.0,6.0,125.0,130.0,41.0,,13.0,2.0,10.0,2.0,1.0,26.0,9.0,1.0,11.0,9.0,13.0,21.0,245.0,,0.0,132.0,17.0,,1.0,1.0,76.0,75.0,7.0,78.0,,3.0,17.0,,6.0,2.0,118.0,1.0,12.0,114.0,653.0,,5.0,6.0,,10.0,,7.0,,2.0,9.0,3.0,6.0,4.0,25.0,,64.0,,90255,5.0,170.0,10.0,180.0,10.0,61.0,,,5.0,10.0,9.0,6.0,38.0,408.0,10.0,12.0,3.0,6.0,80.0,0.0,1.0,6.0,4.0,2.0,2.0,0.0,1.0,5.0,60.1,22.0,2.0,2.0,,5.0,2.0,,59.0,9.0,1.0,467.0,9.0,,7.0,12.0,5.0,18.0,4.0,3.0,313.0,3.0,13.0,12.0,95.0,8.0,1.0,4.0,14.0,1.0,8.0,3.0,20.0,1.0,9.0,1.0,,1.0,1.0,3.0,,2.0,1.0,,,4.0,,,,3.0,,,2.0,,3.0,1.0,,2.0,,,1.0,,3.0,1.0,2.0,1.0,,,,3.0,3.0,1.0,2.0,,,2.0,,,1.0,,3.0,1.0,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,
31,442300,2013-03-31 13:30:00,"Villa Park, Birmingham",42037,Home,Aston Villa,Liverpool,1,2,L,1,0,0,0,60.0,1.0,23.0,19.0,5.0,4.0,,153.0,7.0,9.0,1.0,9.0,4.0,123.0,157.0,57.0,,10.0,2.0,13.0,3.0,,24.0,19.0,,14.0,7.0,18.0,43.0,207.0,1.0,0.0,109.0,9.0,,1.0,2.0,51.0,59.0,6.0,60.0,8.0,1.0,17.0,,5.0,2.0,152.0,,13.0,116.0,678.0,,6.0,10.0,,39.0,,24.0,,10.0,9.0,1.0,11.0,3.0,21.0,,67.0,1.0,90255,4.0,158.0,11.0,170.0,9.0,54.0,3.0,3.0,3.0,9.0,10.0,5.0,48.0,358.0,8.0,11.0,2.0,22.0,81.0,0.0,1.0,8.0,4.0,2.0,3.0,0.0,,2.0,46.5,18.0,,1.0,,3.0,3.0,,43.0,7.0,2.0,452.0,26.0,,18.0,17.0,3.0,16.0,2.0,1.0,306.0,4.0,16.0,12.0,68.0,24.0,2.0,5.0,27.0,2.0,5.0,3.0,12.0,2.0,7.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,5.0,,,,,,,,2.0,2.0,3.0,,,,,,1.0,,,,,2.0,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,442316,2013-04-06 15:00:00,"bet365 Stadium, Stoke",27544,Away,Aston Villa,Stoke City,3,1,W,1,0,0,0,47.0,1.0,16.0,39.0,5.0,4.0,1.0,163.0,2.0,12.0,6.0,10.0,6.0,78.0,173.0,71.0,,12.0,2.0,33.0,3.0,1.0,5.0,18.0,,18.0,2.0,24.0,30.0,197.0,,0.0,153.0,12.0,1.0,,6.0,101.0,56.0,7.0,84.0,2.0,1.0,3.0,,1.0,1.0,152.0,,8.0,81.0,606.0,,8.0,5.0,,15.0,,13.0,,7.0,19.0,1.0,4.0,3.0,19.0,,82.0,,90255,5.0,107.0,2.0,118.0,17.0,69.0,,3.0,7.0,10.0,5.0,7.0,52.0,302.0,16.0,10.0,1.0,31.0,97.0,0.0,1.0,4.0,2.0,1.0,3.0,0.0,1.0,1.0,54.4,14.0,,3.0,,7.0,3.0,,35.0,2.0,6.0,406.0,13.0,,12.0,7.0,3.0,18.0,1.0,1.0,293.0,7.0,23.0,21.0,93.0,17.0,4.0,7.0,22.0,1.0,6.0,3.0,15.0,4.0,2.0,,1.0,1.0,,3.0,1.0,1.0,,,1.0,,,,1.0,1.0,,2.0,1.0,1.0,1.0,,,2.0,1.0,2.0,,3.0,1.0,,1.0,,1.0,,2.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,1.0,,,1.0,,,,,,2.0,,,,1.0,,1.0,,1.0,,2.0,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,
33,442320,2013-04-13 15:00:00,"Villa Park, Birmingham",37011,Home,Aston Villa,Fulham,1,1,D,0,0,0,0,40.0,,27.0,17.0,9.0,8.0,1.0,153.0,4.0,9.0,1.0,11.0,4.0,118.0,143.0,55.0,,18.0,5.0,17.0,2.0,3.0,26.0,11.0,1.0,7.0,8.0,23.0,23.0,192.0,,0.0,122.0,5.0,2.0,,,62.0,77.0,5.0,65.0,5.0,3.0,18.0,,6.0,4.0,133.0,,7.0,103.0,641.0,1.0,11.0,7.0,,33.0,,8.0,2.0,12.0,7.0,1.0,3.0,6.0,24.0,,56.0,,90255,5.0,173.0,12.0,182.0,9.0,43.0,1.0,5.0,6.0,7.0,4.0,5.0,46.0,361.0,15.0,6.0,,21.0,79.0,0.0,1.0,5.0,,1.0,3.0,0.0,,2.0,48.7,23.0,2.0,2.0,1.0,6.0,5.0,,53.0,8.0,,439.0,26.0,,15.0,10.0,9.0,29.0,1.0,5.0,283.0,8.0,23.0,12.0,79.0,22.0,2.0,3.0,19.0,1.0,17.0,3.0,9.0,2.0,8.0,,2.0,,,1.0,,,,,,,1.0,,,,1.0,,1.0,,3.0,,,,,,2.0,,3.0,4.0,,2.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
34,442331,2013-04-22 20:00:00,"Old Trafford, Manchester",75591,Away,Aston Villa,Manchester United,0,3,L,0,3,0,0,47.0,,30.0,20.0,6.0,2.0,3.0,167.0,4.0,3.0,2.0,8.0,4.0,134.0,115.0,46.0,1.0,9.0,1.0,9.0,2.0,1.0,18.0,18.0,2.0,12.0,3.0,31.0,25.0,281.0,,0.0,163.0,6.0,1.0,,2.0,94.0,95.0,4.0,89.0,5.0,1.0,15.0,1.0,7.0,3.0,107.0,,8.0,138.0,693.0,,8.0,8.0,,23.0,,18.0,1.0,7.0,12.0,0.0,3.0,4.0,14.0,,60.0,,90255,2.0,189.0,8.0,198.0,5.0,45.0,1.0,,4.0,3.0,4.0,4.0,44.0,466.0,10.0,5.0,,13.0,70.0,0.0,1.0,5.0,1.0,3.0,2.0,0.0,,1.0,48.1,13.0,,2.0,1.0,4.0,1.0,1.0,52.0,3.0,2.0,528.0,17.0,,21.0,10.0,4.0,24.0,3.0,1.0,348.0,6.0,29.0,10.0,122.0,19.0,5.0,8.0,23.0,2.0,5.0,2.0,7.0,5.0,3.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,,,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
35,442340,2013-04-29 20:00:00,"Villa Park, Birmingham",37428,Home,Aston Villa,Sunderland,6,1,W,2,1,0,1,55.0,1.0,31.0,18.0,6.0,7.0,1.0,152.0,4.0,11.0,1.0,10.0,11.0,117.0,146.0,60.0,,16.0,3.0,19.0,3.0,1.0,18.0,12.0,2.0,6.0,4.0,16.0,32.0,217.0,,0.0,131.0,10.0,1.0,3.0,1.0,40.0,103.0,9.0,84.0,,,14.0,,6.0,,134.0,1.0,6.0,121.0,672.0,,8.0,8.0,,20.0,,15.0,,6.0,11.0,0.0,4.0,1.0,21.0,,60.0,,90255,6.0,182.0,5.0,195.0,8.0,58.0,5.0,2.0,1.0,13.0,4.0,5.0,48.0,395.0,15.0,7.0,,13.0,73.0,0.0,1.0,4.0,1.0,1.0,3.0,0.0,,2.0,55.5,21.0,,3.0,1.0,1.0,4.0,,46.0,4.0,1.0,474.0,16.0,,19.0,10.0,1.0,27.0,2.0,1.0,297.0,7.0,14.0,16.0,87.0,26.0,3.0,3.0,18.0,1.0,13.0,1.0,14.0,3.0,4.0,,4.0,3.0,,6.0,,1.0,1.0,,1.0,1.0,,,,2.0,3.0,2.0,5.0,2.0,2.0,,,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,5.0,2.0,2.0,2.0,,,,1.0,,,1.0,5.0,2.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,3.0,,,,,,,
36,442352,2013-05-04 15:00:00,"Carrow Road, Norwich",26842,Away,Aston Villa,Norwich City,2,1,W,0,0,0,0,42.0,,17.0,49.0,8.0,5.0,,124.0,3.0,7.0,3.0,10.0,4.0,78.0,150.0,62.0,,13.0,3.0,34.0,1.0,1.0,7.0,12.0,1.0,33.0,4.0,6.0,34.0,130.0,1.0,0.0,121.0,13.0,,,6.0,36.0,34.0,5.0,49.0,2.0,3.0,3.0,,,4.0,134.0,,6.0,91.0,531.0,1.0,8.0,9.0,,21.0,,12.0,,5.0,34.0,3.0,2.0,5.0,15.0,,65.0,,90255,1.0,122.0,3.0,131.0,12.0,66.0,3.0,1.0,5.0,11.0,3.0,4.0,54.0,249.0,15.0,8.0,,29.0,90.0,0.0,1.0,6.0,,1.0,3.0,0.0,1.0,,46.3,10.0,,1.0,1.0,5.0,3.0,,35.0,5.0,6.0,342.0,18.0,,9.0,14.0,6.0,21.0,2.0,2.0,218.0,8.0,6.0,25.0,65.0,14.0,4.0,22.0,15.0,1.0,13.0,2.0,9.0,4.0,5.0,,2.0,,1.0,2.0,,2.0,2.0,,1.0,1.0,,,1.0,2.0,3.0,2.0,2.0,,1.0,,,1.0,,1.0,1.0,2.0,2.0,1.0,,2.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,442360,2013-05-11 12:45:00,"Villa Park, Birmingham",42084,Home,Aston Villa,Chelsea,1,2,L,1,0,1,1,58.0,4.0,20.0,32.0,6.0,9.0,1.0,134.0,9.0,14.0,2.0,11.0,2.0,88.0,147.0,51.0,,15.0,3.0,10.0,,3.0,30.0,13.0,1.0,21.0,6.0,2.0,25.0,176.0,,0.0,136.0,13.0,,1.0,1.0,60.0,44.0,7.0,62.0,3.0,1.0,24.0,,6.0,2.0,136.0,,6.0,87.0,600.0,,9.0,8.0,31.0,36.0,290.0,25.0,1.0,5.0,17.0,1.0,6.0,4.0,25.0,356.0,46.0,,90255,3.0,127.0,17.0,143.0,5.0,36.0,,4.0,1.0,13.0,9.0,2.0,45.0,294.0,8.0,1.0,1.0,20.0,59.0,0.0,4.0,7.0,3.0,2.0,2.0,1.0,,,43.2,20.0,,3.0,4.0,1.0,7.0,2.0,29.0,6.0,1.0,371.0,30.0,,10.0,12.0,6.0,31.0,4.0,4.0,258.0,5.0,1.0,10.0,99.0,25.0,5.0,12.0,19.0,2.0,14.0,,16.0,5.0,6.0,,,,2.0,1.0,,1.0,,,,2.0,,,,1.0,,,1.0,1.0,5.0,,,,,1.0,2.0,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,9.0,3.0,6.0,,,,,,,,,,,,,,,,,3.0
38,442378,2013-05-19 16:00:00,"DW Stadium, Wigan",23001,Away,Aston Villa,Wigan Athletic,2,2,D,1,2,0,0,62.0,1.0,37.0,13.0,5.0,5.0,,125.0,3.0,10.0,6.0,7.0,3.0,116.0,154.0,41.0,1.0,8.0,2.0,12.0,,,13.0,11.0,1.0,5.0,2.0,1.0,35.0,205.0,,0.0,133.0,13.0,,,2.0,82.0,52.0,5.0,71.0,,1.0,11.0,1.0,5.0,1.0,146.0,,11.0,120.0,625.0,,4.0,5.0,,28.0,,25.0,,2.0,8.0,1.0,6.0,2.0,27.0,,64.0,1.0,90255,1.0,144.0,6.0,159.0,7.0,53.0,4.0,4.0,4.0,9.0,7.0,1.0,64.0,346.0,10.0,4.0,1.0,19.0,67.0,0.0,2.0,4.0,1.0,2.0,,0.0,,,46.0,23.0,,4.0,2.0,4.0,3.0,1.0,31.0,2.0,2.0,432.0,17.0,,22.0,21.0,2.0,9.0,1.0,1.0,286.0,3.0,1.0,6.0,88.0,20.0,2.0,3.0,15.0,2.0,5.0,3.0,13.0,2.0,2.0,,1.0,,2.0,2.0,,1.0,,,1.0,2.0,,,,2.0,3.0,2.0,1.0,,2.0,,1.0,,,1.0,,1.0,,,2.0,2.0,1.0,,1.0,1.0,2.0,,,2.0,,,2.0,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,
