gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attRfGoal,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,handBall,attLfTarget,attCmissRight,attOboxTarget,attSvHighRight,divingSave,contentiousDecision,attMissHighLeft,totalKeeperSweeper,accurateFreekickCross,attSetpiece,totalThroughBall,attSvLowRight,attCmissLeft,punches,attFreekickTarget,foulThrowIn,possWonAtt3rd,attBxLeft,goalsConcededObox,attRfTarget,goalAssistOpenplay,attSvLowCentre,attOboxGoal,midfielderGoals,interceptionsInBox,goalAssist,accurateThroughBall,penaltyConceded,goalsOpenplay,attGoalHighLeft,attFreekickGoal,goalAssistIntentional,penaltyFaced,penGoalsConceded,attHdGoal,attGoalLowLeft,attLfGoal,bigChanceCreated,attCmissHighRight,clearanceOffLine,attSvHighLeft,postScoringAtt,hitWoodwork,attOboxPost,shieldBallOop,attPostRight,attGoalLowCentre,totalFastbreak,shotFastbreak,attOneOnOne,attSvLowLeft,bigChanceMissed,attObxdLeft,attFastbreak,attGoalHighRight,accuratePullBack,accurateKeeperSweeper,attIboxPost,attHdPost,sixYardBlock,totalPullBack,defenderGoals,attPostHigh,cleanSheet,goalAssistSetplay,goalAssistDeadball,attemptsIbox,saves,attemptsObox,subsGoals,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attFreekickPost,attGoalHighCentre,attObpGoal,attObxLeft,attLgCentre,attCmissHighLeft,goalFastbreak
28,442271,2013-03-02 15:00:00,"Goodison Park, Liverpool",35244,Away,Reading,Everton,1,3,L,0,1,0,0,1.0,37.0,,3.0,1.0,18.0,33.0,9.0,6.0,125.0,7.0,4.0,1.0,4.0,6.0,5.0,53.0,171.0,51.0,1.0,14.0,1.0,32.0,,1.0,3.0,39.0,15.0,19.0,10.0,1.0,35.0,143.0,1.0,,0.0,130.0,8.0,3.0,1.0,67.0,53.0,5.0,41.0,1.0,29.0,1.0,10.0,4.0,157.0,14.0,51.0,490.0,5.0,5.0,,20.0,9.0,8.0,11.0,1.0,6.0,1.0,17.0,70.0,,9493,2.0,55.0,16.0,67.0,,10.0,60.0,,4.0,,9.0,7.0,2.0,,,42.0,191.0,8.0,4.0,,21.0,80.0,0.0,4.0,9.0,6.0,1.0,3.0,3.0,0.0,5.0,1.0,40.0,12.0,,,,2.0,41.0,10.0,1.0,270.0,14.0,,14.0,10.0,7.0,24.0,2.0,2.0,242.0,7.0,1.0,19.0,81.0,17.0,,4.0,7.0,19.0,2.0,8.0,2.0,6.0,,4.0,10.0,,2.0,,4.0,1.0,1.0,,1.0,,2.0,1.0,3.0,3.0,1.0,1.0,1.0,,3.0,2.0,1.0,2.0,1.0,,,1.0,4.0,1.0,,,1.0,1.0,,1.0,,,1.0,,,1.0,,4.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
29,442286,2013-03-09 15:00:00,"Select Car Leasing Stadium, Reading",24102,Home,Reading,Aston Villa,1,2,L,1,2,0,0,,30.0,,1.0,,20.0,27.0,4.0,4.0,134.0,10.0,,1.0,1.0,9.0,3.0,46.0,189.0,38.0,,9.0,,35.0,2.0,,3.0,35.0,8.0,15.0,6.0,2.0,41.0,126.0,,,0.0,117.0,8.0,2.0,,65.0,40.0,3.0,34.0,3.0,29.0,,8.0,3.0,177.0,10.0,71.0,491.0,8.0,12.0,2.0,21.0,10.0,5.0,11.0,2.0,4.0,6.0,29.0,69.0,1.0,9493,4.0,69.0,19.0,93.0,,16.0,65.0,,2.0,1.0,12.0,9.0,6.0,,,38.0,185.0,7.0,4.0,1.0,14.0,76.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,9.0,3.0,41.5,21.0,1.0,,1.0,,30.0,6.0,,285.0,17.0,,15.0,15.0,6.0,19.0,1.0,3.0,227.0,2.0,2.0,22.0,69.0,16.0,,,7.0,9.0,2.0,8.0,3.0,3.0,1.0,,6.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,2.0,1.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,442292,2013-03-16 17:30:00,"Old Trafford, Manchester",75605,Away,Reading,Manchester United,0,1,L,0,1,0,0,,46.0,,3.0,3.0,27.0,32.0,3.0,2.0,138.0,3.0,4.0,,2.0,3.0,,80.0,162.0,54.0,,6.0,1.0,20.0,,1.0,2.0,26.0,16.0,16.0,4.0,6.0,21.0,139.0,,,0.0,126.0,16.0,2.0,2.0,66.0,63.0,1.0,39.0,,22.0,,5.0,2.0,146.0,5.0,81.0,536.0,3.0,8.0,,6.0,19.0,7.0,24.0,2.0,3.0,2.0,35.0,61.0,,9493,1.0,116.0,15.0,127.0,,10.0,61.0,,1.0,3.0,7.0,11.0,3.0,,,47.0,252.0,5.0,5.0,,25.0,72.0,0.0,,5.0,,,1.0,,0.0,1.0,,43.2,33.0,,,3.0,4.0,33.0,4.0,2.0,338.0,5.0,,16.0,11.0,2.0,19.0,2.0,,237.0,4.0,5.0,23.0,80.0,18.0,,1.0,12.0,22.0,,4.0,3.0,8.0,,1.0,4.0,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,3.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
31,442299,2013-03-30 15:00:00,"Emirates Stadium, London",60082,Away,Reading,Arsenal,1,4,L,0,1,0,0,1.0,45.0,,,,24.0,39.0,1.0,,115.0,4.0,4.0,1.0,2.0,5.0,2.0,59.0,119.0,50.0,,5.0,,17.0,1.0,,3.0,15.0,13.0,20.0,2.0,5.0,19.0,97.0,,,0.0,78.0,14.0,2.0,1.0,29.0,55.0,2.0,47.0,,13.0,,2.0,1.0,119.0,19.0,67.0,468.0,3.0,11.0,,26.0,20.0,6.0,19.0,1.0,11.0,3.0,16.0,40.0,1.0,9493,3.0,111.0,9.0,129.0,,12.0,47.0,,1.0,1.0,4.0,7.0,6.0,,,52.0,204.0,9.0,5.0,1.0,23.0,68.0,0.0,2.0,11.0,2.0,1.0,4.0,2.0,0.0,2.0,3.0,29.9,10.0,2.0,,1.0,,32.0,3.0,1.0,288.0,18.0,,8.0,6.0,3.0,22.0,2.0,2.0,174.0,2.0,4.0,18.0,40.0,20.0,,3.0,10.0,19.0,3.0,3.0,3.0,7.0,,3.0,3.0,,,,,,,1.0,,1.0,,,,,3.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,4.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,4.0,2.0,1.0,,9.0,188.0,263.0,2.0,,,,,,,
32,442315,2013-04-06 12:45:00,"Select Car Leasing Stadium, Reading",24108,Home,Reading,Southampton,0,2,L,0,1,0,0,,53.0,,,1.0,25.0,20.0,3.0,5.0,177.0,10.0,4.0,,1.0,7.0,2.0,41.0,227.0,64.0,,10.0,1.0,30.0,2.0,1.0,1.0,33.0,21.0,13.0,8.0,18.0,34.0,128.0,1.0,,0.0,143.0,6.0,3.0,,47.0,86.0,3.0,49.0,,25.0,,5.0,2.0,219.0,9.0,45.0,563.0,6.0,20.0,2.0,21.0,21.0,16.0,11.0,0.0,1.0,4.0,36.0,86.0,1.0,9493,6.0,61.0,17.0,93.0,,12.0,61.0,,1.0,1.0,21.0,4.0,3.0,2.0,,62.0,179.0,10.0,4.0,1.0,54.0,100.0,0.0,1.0,4.0,2.0,,2.0,5.0,0.0,7.0,3.0,39.4,27.0,1.0,1.0,1.0,2.0,39.0,8.0,,312.0,15.0,,11.0,12.0,6.0,15.0,3.0,4.0,252.0,2.0,15.0,22.0,75.0,14.0,,,6.0,28.0,2.0,1.0,3.0,15.0,1.0,1.0,8.0,1.0,,,,,1.0,2.0,2.0,2.0,2.0,5.0,2.0,,,,,,7.0,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,,2.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
33,442325,2013-04-13 15:00:00,"Select Car Leasing Stadium, Reading",24139,Home,Reading,Liverpool,0,0,D,0,0,0,0,,31.0,,3.0,,25.0,21.0,5.0,2.0,144.0,3.0,5.0,,4.0,6.0,2.0,57.0,188.0,43.0,,9.0,4.0,21.0,2.0,1.0,,26.0,12.0,10.0,4.0,2.0,29.0,123.0,,,0.0,106.0,12.0,3.0,,50.0,68.0,4.0,50.0,2.0,22.0,,11.0,1.0,177.0,16.0,56.0,518.0,5.0,7.0,,19.0,9.0,11.0,8.0,2.0,6.0,2.0,29.0,57.0,1.0,9493,3.0,81.0,8.0,105.0,,15.0,57.0,,2.0,8.0,8.0,12.0,8.0,,,55.0,201.0,8.0,7.0,1.0,25.0,86.0,0.0,1.0,9.0,8.0,,,1.0,0.0,2.0,1.0,39.9,18.0,1.0,1.0,8.0,4.0,41.0,4.0,,307.0,13.0,,17.0,7.0,3.0,26.0,1.0,2.0,228.0,6.0,2.0,14.0,57.0,8.0,,,6.0,16.0,,6.0,3.0,7.0,,,4.0,2.0,1.0,1.0,,,9.0,,1.0,,,1.0,,,,1.0,,,3.0,,,1.0,,1.0,,,5.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
34,442332,2013-04-20 15:00:00,"Carrow Road, Norwich",26460,Away,Reading,Norwich City,1,2,L,0,0,0,0,,31.0,,2.0,5.0,39.0,25.0,8.0,6.0,152.0,5.0,3.0,1.0,1.0,11.0,2.0,105.0,168.0,38.0,,16.0,1.0,18.0,,1.0,3.0,23.0,13.0,16.0,8.0,7.0,39.0,159.0,1.0,,0.0,116.0,11.0,1.0,3.0,63.0,53.0,5.0,73.0,,15.0,,5.0,5.0,159.0,14.0,92.0,587.0,10.0,3.0,,8.0,11.0,12.0,10.0,3.0,1.0,6.0,18.0,71.0,,9493,5.0,160.0,9.0,193.0,,15.0,46.0,,2.0,3.0,8.0,6.0,10.0,2.0,,68.0,314.0,9.0,4.0,,29.0,93.0,0.0,1.0,8.0,4.0,,2.0,,0.0,3.0,1.0,54.5,16.0,1.0,,4.0,6.0,53.0,8.0,3.0,422.0,6.0,,10.0,9.0,8.0,16.0,2.0,3.0,252.0,9.0,6.0,12.0,68.0,15.0,,3.0,5.0,14.0,2.0,15.0,,6.0,,3.0,8.0,,,,1.0,,4.0,,2.0,,,,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,2.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
35,442345,2013-04-28 13:30:00,"Select Car Leasing Stadium, Reading",23388,Home,Reading,Queens Park Rangers,0,0,D,0,0,0,0,,53.0,,1.0,3.0,21.0,32.0,5.0,5.0,149.0,10.0,6.0,,4.0,13.0,5.0,53.0,150.0,53.0,1.0,16.0,2.0,28.0,3.0,1.0,,37.0,8.0,23.0,8.0,11.0,25.0,157.0,,,0.0,119.0,12.0,2.0,2.0,75.0,37.0,8.0,37.0,2.0,29.0,1.0,10.0,1.0,139.0,6.0,72.0,521.0,10.0,15.0,1.0,12.0,20.0,4.0,15.0,0.0,3.0,5.0,22.0,64.0,,9493,5.0,84.0,17.0,103.0,,15.0,65.0,1.0,1.0,5.0,4.0,9.0,8.0,1.0,,44.0,231.0,15.0,13.0,3.0,17.0,74.0,0.0,4.0,7.0,1.0,,,5.0,0.0,6.0,5.0,46.1,20.0,4.0,,6.0,5.0,38.0,9.0,2.0,311.0,8.0,,4.0,10.0,6.0,17.0,4.0,5.0,245.0,4.0,10.0,18.0,76.0,22.0,,1.0,10.0,14.0,,10.0,3.0,14.0,,3.0,9.0,,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,,,,1.0,3.0,1.0,,2.0,,2.0,,,2.0,,1.0,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,1.0,5.0,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,1.0,
36,442349,2013-05-04 15:00:00,"Craven Cottage, London",24087,Away,Reading,Fulham,4,2,W,1,0,0,0,1.0,70.0,2.0,2.0,4.0,33.0,27.0,9.0,10.0,173.0,7.0,6.0,4.0,6.0,16.0,10.0,100.0,150.0,42.0,1.0,21.0,1.0,17.0,2.0,1.0,1.0,17.0,8.0,14.0,3.0,10.0,37.0,184.0,,1.0,0.0,156.0,10.0,,4.0,68.0,66.0,11.0,68.0,3.0,14.0,1.0,4.0,4.0,137.0,15.0,96.0,646.0,14.0,4.0,,13.0,27.0,3.0,12.0,1.0,6.0,5.0,28.0,72.0,,9493,9.0,180.0,10.0,195.0,1.0,7.0,44.0,,3.0,15.0,11.0,7.0,3.0,2.0,1.0,60.0,357.0,15.0,3.0,1.0,23.0,84.0,0.0,,3.0,6.0,4.0,2.0,2.0,0.0,4.0,,51.0,17.0,,2.0,15.0,5.0,45.0,3.0,4.0,437.0,6.0,,11.0,15.0,6.0,14.0,3.0,2.0,259.0,10.0,10.0,8.0,110.0,19.0,1.0,5.0,5.0,13.0,2.0,17.0,3.0,13.0,,5.0,3.0,4.0,2.0,2.0,4.0,1.0,2.0,,,2.0,,,1.0,1.0,,,1.0,,4.0,1.0,,4.0,1.0,1.0,,3.0,3.0,1.0,1.0,,3.0,,,1.0,,,,2.0,3.0,1.0,,1.0,1.0,,,,,,,2.0,2.0,1.0,,1.0,,2.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
37,442366,2013-05-14 20:00:00,"Select Car Leasing Stadium, Reading",22859,Home,Reading,Manchester City,0,2,L,0,1,0,0,,37.0,,5.0,1.0,28.0,26.0,6.0,3.0,116.0,9.0,1.0,,1.0,11.0,7.0,98.0,123.0,26.0,,12.0,1.0,18.0,4.0,,1.0,25.0,10.0,13.0,4.0,5.0,27.0,166.0,1.0,,0.0,104.0,7.0,2.0,1.0,43.0,65.0,8.0,57.0,,21.0,,13.0,2.0,110.0,20.0,90.0,540.0,9.0,5.0,3.0,12.0,17.0,4.0,6.0,0.0,11.0,3.0,17.0,55.0,,9493,3.0,143.0,6.0,160.0,,9.0,45.0,,1.0,6.0,13.0,10.0,7.0,,,43.0,300.0,7.0,8.0,2.0,13.0,67.0,0.0,1.0,10.0,4.0,,2.0,2.0,0.0,6.0,4.0,38.7,13.0,1.0,3.0,6.0,2.0,44.0,4.0,1.0,361.0,8.0,,8.0,16.0,3.0,20.0,3.0,1.0,226.0,4.0,3.0,6.0,73.0,13.0,,2.0,3.0,12.0,2.0,10.0,2.0,5.0,,2.0,4.0,,2.0,,3.0,2.0,5.0,1.0,1.0,,2.0,1.0,1.0,2.0,,3.0,,,2.0,1.0,,2.0,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
38,442377,2013-05-19 16:00:00,"Boleyn Ground, London",34973,Away,Reading,West Ham United,2,4,L,0,2,0,0,1.0,43.0,,4.0,1.0,31.0,26.0,8.0,4.0,142.0,8.0,1.0,2.0,3.0,14.0,6.0,86.0,157.0,36.0,,17.0,1.0,15.0,2.0,1.0,3.0,25.0,11.0,19.0,3.0,3.0,29.0,162.0,1.0,,0.0,107.0,10.0,1.0,1.0,48.0,60.0,6.0,53.0,3.0,22.0,,5.0,4.0,150.0,11.0,88.0,551.0,12.0,4.0,1.0,15.0,16.0,8.0,9.0,1.0,2.0,8.0,22.0,61.0,1.0,9493,5.0,132.0,16.0,160.0,2.0,12.0,43.0,1.0,,6.0,12.0,10.0,5.0,1.0,,50.0,286.0,13.0,2.0,,25.0,80.0,0.0,2.0,6.0,2.0,1.0,4.0,1.0,0.0,8.0,3.0,51.6,11.0,2.0,1.0,7.0,2.0,45.0,4.0,1.0,369.0,11.0,,14.0,10.0,9.0,12.0,,5.0,234.0,10.0,2.0,7.0,73.0,20.0,1.0,,7.0,15.0,4.0,16.0,2.0,4.0,1.0,,4.0,1.0,,3.0,2.0,,2.0,,1.0,1.0,,,,,2.0,1.0,,,2.0,1.0,,3.0,1.0,3.0,1.0,1.0,3.0,2.0,,,1.0,,,2.0,,,,,,1.0,,,,,,,2.0,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0
