gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,totalPullBack,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attCmissHighLeft,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,handBall,bigChanceScored,attGoalLowLeft,attGoalLowRight,attemptsIbox,saves,attLfGoal,attGoalLowCentre,goals,accuratePullBack,attCmissRight,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attIboxPost,attGoalHighRight,attMissHighRight,attOboxGoal,ptsGainedLosingPos,winningGoal,midfielderGoals,freekickCross,attemptsObox,attGoalHighCentre,keeperGoals,subsGoals,attPostLeft,touchesInOppBox,hitWoodwork,successfulOpenPlayPass,goalAssist,totalKeeperSweeper,openPlayPass,attSetpiece,attRfGoal,attCmissHigh,ownGoals,defenderGoals,goalsOpenplay,attMissHigh,attPenGoal,attAssistSetplay,attCorner,attGoalHighLeft,attObpGoal,attFreekickGoal,attIboxGoal,attCmissHighRight,goalAssistIntentional,possWonAtt3rd,attSvHighCentre,forwardGoals,attIboxOwnGoal,attHdGoal,goalAssistSetplay,goalAssistDeadball,attPenTarget,penaltyWon,goodHighClaim,attHdPost,attHdTarget,errorLeadToShot,attCmissLeft,totalHighClaim,attFreekickMiss,accurateCornersIntobox,errorLeadToGoal,cleanSheet,accurateFreekickCross,sixYardBlock,attSvLowRight,attFreekickPost,contentiousDecision,attOboxPost,attPostHigh,shieldBallOop,attObxLeft,attSvHighLeft,attPostRight,attOneOnOne,attPenMiss,attLgRight,attSvHighRight,foulThrowIn,clearanceOffLine,attObxRight,attLgCentre,goalFastbreak,ptsDroppedWinningPos
27,442265,2013-02-23 15:00:00,"MATRADE Loftus Road, London",18337,Away,Manchester United,Queens Park Rangers,2,0,W,1,0,0,0,1.0,78.0,,3.0,17.0,35.0,3.0,3.0,1.0,186.0,4.0,5.0,4.0,12.0,6.0,101.0,183.0,57.0,,14.0,1.0,18.0,4.0,2.0,2.0,1.0,22.0,16.0,,21.0,4.0,17.0,34.0,199.0,0.0,156.0,6.0,1.0,2.0,1.0,83.0,60.0,9.0,47.0,,1.0,18.0,,6.0,1.0,169.0,2.0,5.0,106.0,660.0,9.0,4.0,21.0,34.0,,5.0,21.0,0.0,6.0,3.0,32.0,66.0,1.0,54772,6.0,142.0,2.0,9.0,161.0,2.0,9.0,56.0,1.0,2.0,1.0,,8.0,9.0,3.0,36.0,337.0,11.0,9.0,28.0,96.0,2.0,,0.0,,,2.0,3.0,,,0.0,4.0,4.0,51.6,23.0,2.0,4.0,1.0,4.0,52.0,4.0,440.0,21.0,14.0,21.0,4.0,19.0,3.0,301.0,7.0,15.0,18.0,106.0,31.0,3.0,14.0,23.0,,12.0,3.0,14.0,3.0,4.0,,,1.0,,,,,1.0,1.0,2.0,1.0,,1.0,,,1.0,,,1.0,1.0,,,1.0,3.0,,,,,,,1.0,,1.0,,,2.0,1.0,,,1.0,2.0,1.0,,2.0,,1.0,,,1.0,,1.0,8.0,1.0,,,,,,,,,,2.0,,,,,,,1.0,2.0,,,,1.0,,,1.0,,,,1.0,,,,,1.0,,,,
28,442272,2013-03-02 15:00:00,"Old Trafford, Manchester",75586,Home,Manchester United,Norwich City,4,0,W,1,0,0,0,3.0,64.0,,4.0,38.0,18.0,7.0,5.0,,192.0,9.0,10.0,2.0,17.0,7.0,211.0,139.0,43.0,,19.0,4.0,13.0,3.0,,1.0,1.0,27.0,10.0,,9.0,6.0,30.0,20.0,375.0,0.0,244.0,5.0,,,,79.0,96.0,13.0,91.0,,,21.0,,2.0,2.0,130.0,3.0,,171.0,838.0,11.0,9.0,14.0,17.0,2.0,2.0,14.0,0.0,1.0,4.0,20.0,68.0,1.0,83090,8.0,222.0,,18.0,231.0,,4.0,42.0,6.0,3.0,6.0,,5.0,1.0,2.0,55.0,588.0,14.0,3.0,13.0,68.0,,,0.0,,,3.0,,,2.0,0.0,7.0,1.0,65.0,16.0,1.0,1.0,6.0,8.0,46.0,7.0,665.0,12.0,10.0,11.0,4.0,25.0,2.0,461.0,11.0,27.0,8.0,193.0,33.0,1.0,6.0,11.0,,17.0,2.0,21.0,1.0,7.0,,,3.0,,2.0,,,,,4.0,,,3.0,,,4.0,,,,1.0,,,3.0,1.0,,1.0,,,,,,,4.0,,,,4.0,,,,4.0,1.0,,2.0,,1.0,,,3.0,,3.0,6.0,,1.0,,,,,,,1.0,,,,,1.0,,2.0,,1.0,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,
29,442288,2013-04-17 19:45:00,"Boleyn Ground, London",34692,Away,Manchester United,West Ham United,2,2,D,1,1,0,0,,56.0,,4.0,40.0,35.0,4.0,6.0,1.0,208.0,8.0,6.0,,16.0,6.0,169.0,143.0,59.0,,17.0,2.0,15.0,4.0,,1.0,3.0,31.0,18.0,,24.0,4.0,31.0,31.0,273.0,0.0,163.0,7.0,,,1.0,56.0,88.0,11.0,76.0,2.0,1.0,27.0,,4.0,2.0,132.0,1.0,6.0,145.0,794.0,14.0,9.0,12.0,28.0,,3.0,26.0,0.0,2.0,5.0,16.0,80.0,,83090,8.0,258.0,,23.0,275.0,3.0,12.0,42.0,1.0,1.0,5.0,,8.0,6.0,7.0,54.0,523.0,9.0,5.0,17.0,82.0,,,0.0,,2.0,2.0,,2.0,5.0,0.0,6.0,4.0,66.5,13.0,1.0,,5.0,6.0,57.0,5.0,598.0,10.0,12.0,21.0,5.0,20.0,3.0,354.0,7.0,27.0,24.0,122.0,22.0,3.0,19.0,20.0,1.0,16.0,2.0,9.0,3.0,5.0,1.0,,2.0,,,,,1.0,1.0,2.0,1.0,,2.0,,,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,,1.0,,,,2.0,1.0,,1.0,,,,,2.0,,1.0,,,1.0,,,,,,,,,3.0,,,,,2.0,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,
30,442292,2013-03-16 17:30:00,"Old Trafford, Manchester",75605,Home,Manchester United,Reading,1,0,W,1,0,0,0,2.0,37.0,,1.0,33.0,45.0,11.0,6.0,1.0,143.0,2.0,5.0,4.0,13.0,4.0,121.0,137.0,61.0,1.0,16.0,2.0,23.0,,,2.0,2.0,22.0,12.0,3.0,26.0,4.0,17.0,28.0,218.0,0.0,139.0,6.0,,,,63.0,64.0,6.0,78.0,1.0,2.0,18.0,1.0,4.0,5.0,118.0,,3.0,119.0,667.0,12.0,7.0,9.0,11.0,,8.0,34.0,0.0,4.0,7.0,29.0,53.0,,83090,2.0,189.0,,12.0,199.0,,8.0,54.0,2.0,,4.0,,11.0,3.0,2.0,49.0,405.0,16.0,4.0,24.0,68.0,,,0.0,1.0,,4.0,,,1.0,0.0,2.0,,56.8,26.0,,3.0,4.0,3.0,40.0,5.0,461.0,5.0,15.0,15.0,9.0,13.0,4.0,284.0,10.0,16.0,20.0,110.0,21.0,4.0,17.0,20.0,,14.0,2.0,12.0,4.0,5.0,,1.0,,,,,,,,1.0,,1.0,,,,1.0,,,2.0,1.0,,,,2.0,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,3.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,
31,442305,2013-03-30 12:45:00,"Stadium of Light, Sunderland",43760,Away,Manchester United,Sunderland,1,0,W,1,0,0,0,4.0,63.0,1.0,2.0,25.0,52.0,2.0,7.0,3.0,188.0,6.0,8.0,4.0,12.0,8.0,131.0,165.0,71.0,3.0,14.0,,18.0,5.0,,2.0,,18.0,19.0,3.0,31.0,6.0,23.0,21.0,236.0,0.0,142.0,9.0,,,1.0,68.0,88.0,8.0,86.0,2.0,3.0,12.0,3.0,3.0,,144.0,1.0,2.0,136.0,754.0,9.0,8.0,10.0,28.0,,2.0,39.0,1.0,3.0,4.0,21.0,74.0,,83090,4.0,227.0,1.0,8.0,249.0,1.0,11.0,56.0,2.0,3.0,3.0,,6.0,7.0,2.0,44.0,457.0,11.0,6.0,30.0,83.0,,1.0,0.0,2.0,4.0,3.0,,,4.0,0.0,2.0,4.0,61.4,18.0,3.0,3.0,3.0,2.0,49.0,6.0,541.0,7.0,20.0,11.0,4.0,19.0,4.0,310.0,3.0,22.0,31.0,99.0,30.0,4.0,22.0,21.0,,7.0,3.0,11.0,4.0,6.0,,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,1.0,,,1.0,,4.0,,1.0,,,3.0,,,,,,,1.0,,,,,,,,1.0,,,
31,442311,2013-04-08 20:00:00,"Old Trafford, Manchester",75498,Home,Manchester United,Manchester City,1,2,L,0,0,0,0,,54.0,,,32.0,27.0,5.0,6.0,1.0,148.0,9.0,6.0,5.0,11.0,5.0,75.0,162.0,73.0,,15.0,1.0,16.0,4.0,,1.0,2.0,36.0,18.0,1.0,16.0,9.0,10.0,33.0,148.0,0.0,121.0,13.0,,1.0,2.0,62.0,62.0,6.0,38.0,4.0,3.0,27.0,,8.0,3.0,151.0,1.0,6.0,84.0,572.0,9.0,12.0,18.0,21.0,2.0,7.0,19.0,3.0,3.0,5.0,29.0,61.0,,83090,6.0,125.0,1.0,14.0,142.0,,4.0,57.0,,3.0,6.0,,11.0,4.0,2.0,48.0,264.0,20.0,5.0,20.0,69.0,,,0.0,,,4.0,1.0,2.0,3.0,0.0,7.0,7.0,45.0,25.0,3.0,1.0,6.0,1.0,45.0,9.0,345.0,13.0,16.0,17.0,9.0,25.0,5.0,239.0,2.0,10.0,18.0,75.0,23.0,2.0,12.0,29.0,1.0,10.0,3.0,13.0,2.0,9.0,1.0,,,,,,,,,1.0,,2.0,2.0,1.0,,,1.0,,,,,,,5.0,,,,,,,1.0,,,,,2.0,,,,,,1.0,,2.0,,,,,1.0,,,1.0,1.0,,,,,,,,2.0,,4.0,1.0,,2.0,,2.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,
33,442327,2013-04-14 14:05:00,"bet365 Stadium, Stoke",27191,Away,Manchester United,Stoke City,2,0,W,1,0,0,0,,63.0,2.0,,40.0,38.0,2.0,3.0,2.0,160.0,3.0,6.0,4.0,7.0,4.0,129.0,167.0,50.0,1.0,11.0,,24.0,1.0,1.0,,2.0,14.0,15.0,1.0,19.0,7.0,18.0,29.0,194.0,0.0,106.0,9.0,2.0,2.0,,55.0,76.0,3.0,59.0,1.0,2.0,7.0,1.0,,2.0,148.0,,6.0,124.0,672.0,3.0,8.0,13.0,27.0,1.0,7.0,24.0,1.0,1.0,4.0,24.0,59.0,1.0,83090,4.0,197.0,,5.0,215.0,1.0,14.0,59.0,4.0,2.0,8.0,1.0,12.0,7.0,3.0,58.0,388.0,9.0,5.0,27.0,89.0,1.0,1.0,0.0,,,3.0,1.0,,2.0,0.0,,2.0,57.8,18.0,2.0,,9.0,,42.0,7.0,472.0,13.0,12.0,16.0,7.0,14.0,5.0,271.0,6.0,17.0,16.0,64.0,19.0,1.0,11.0,19.0,,4.0,1.0,15.0,1.0,7.0,,,1.0,1.0,1.0,,,1.0,,2.0,,,2.0,,,,,,1.0,,,,1.0,2.0,,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,3.0,,,,,2.0,,,3.0,1.0,1.0,,,1.0,,,1.0,1.0,,,1.0,2.0,1.0,1.0,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,
34,442331,2013-04-22 20:00:00,"Old Trafford, Manchester",75591,Home,Manchester United,Aston Villa,3,0,W,3,0,0,0,1.0,59.0,2.0,1.0,28.0,15.0,3.0,6.0,,147.0,9.0,5.0,1.0,9.0,4.0,156.0,113.0,45.0,,12.0,1.0,10.0,1.0,1.0,,1.0,26.0,18.0,,10.0,4.0,35.0,27.0,199.0,0.0,102.0,10.0,2.0,2.0,,36.0,84.0,6.0,82.0,3.0,,22.0,,5.0,1.0,108.0,3.0,3.0,168.0,740.0,4.0,7.0,15.0,27.0,1.0,2.0,8.0,1.0,2.0,3.0,17.0,39.0,2.0,83090,7.0,308.0,1.0,16.0,318.0,1.0,11.0,46.0,6.0,4.0,7.0,,3.0,6.0,8.0,39.0,498.0,6.0,3.0,4.0,68.0,1.0,,0.0,,1.0,3.0,2.0,,2.0,0.0,6.0,,51.9,16.0,,,8.0,2.0,50.0,5.0,553.0,14.0,15.0,16.0,6.0,15.0,4.0,261.0,5.0,35.0,9.0,74.0,20.0,2.0,5.0,25.0,,10.0,1.0,13.0,2.0,5.0,,,2.0,,1.0,,,3.0,,3.0,,,,1.0,,3.0,,,1.0,1.0,,,,1.0,,1.0,,,1.0,,1.0,,3.0,,,,,1.0,,,3.0,2.0,,2.0,,1.0,,,2.0,,3.0,2.0,,3.0,,,,,,,2.0,,,1.0,,3.0,,3.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,1.0,1.0,
35,442339,2013-04-28 16:00:00,"Emirates Stadium, London",60112,Away,Manchester United,Arsenal,1,1,D,1,1,0,0,,57.0,4.0,2.0,40.0,43.0,3.0,2.0,1.0,162.0,5.0,10.0,2.0,10.0,4.0,119.0,138.0,55.0,,12.0,1.0,10.0,2.0,2.0,,1.0,18.0,8.0,1.0,26.0,2.0,17.0,31.0,169.0,0.0,108.0,12.0,2.0,3.0,1.0,43.0,72.0,5.0,72.0,1.0,,16.0,,2.0,1.0,138.0,4.0,7.0,118.0,670.0,9.0,8.0,13.0,28.0,1.0,5.0,26.0,5.0,7.0,5.0,19.0,48.0,1.0,83090,6.0,222.0,4.0,13.0,245.0,,7.0,47.0,1.0,1.0,4.0,,13.0,12.0,3.0,63.0,386.0,11.0,8.0,20.0,86.0,2.0,,0.0,,1.0,7.0,1.0,1.0,5.0,0.0,4.0,5.0,48.2,12.0,3.0,1.0,4.0,3.0,50.0,2.0,471.0,11.0,15.0,18.0,5.0,20.0,4.0,244.0,5.0,16.0,19.0,76.0,21.0,1.0,15.0,15.0,1.0,10.0,3.0,13.0,1.0,2.0,,1.0,1.0,,1.0,9.0,5.0,1.0,,1.0,,,1.0,,,,,,1.0,,1.0,,,1.0,3.0,,,,,21.0,,373.0,,,452.0,,,,,,,2.0,1.0,1.0,1.0,,,,1.0,,,1.0,2.0,1.0,,,,,,1.0,,,2.0,1.0,1.0,1.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,
36,442351,2013-05-05 16:00:00,"Old Trafford, Manchester",75500,Home,Manchester United,Chelsea,0,1,L,0,0,1,0,1.0,59.0,1.0,1.0,29.0,32.0,4.0,6.0,,142.0,5.0,6.0,,9.0,2.0,98.0,121.0,42.0,,10.0,1.0,12.0,1.0,,2.0,3.0,19.0,14.0,1.0,25.0,2.0,17.0,30.0,173.0,0.0,113.0,14.0,1.0,2.0,,51.0,73.0,4.0,46.0,4.0,,17.0,,1.0,2.0,114.0,,7.0,107.0,575.0,9.0,12.0,17.0,27.0,,6.0,21.0,2.0,4.0,5.0,9.0,61.0,1.0,83090,4.0,163.0,,16.0,180.0,1.0,12.0,46.0,2.0,5.0,7.0,,12.0,10.0,8.0,43.0,331.0,9.0,4.0,14.0,72.0,,1.0,0.0,,1.0,7.0,1.0,1.0,5.0,1.0,5.0,2.0,48.7,9.0,1.0,1.0,7.0,2.0,51.0,2.0,393.0,15.0,14.0,18.0,6.0,8.0,4.0,232.0,2.0,16.0,12.0,80.0,19.0,3.0,17.0,15.0,1.0,9.0,3.0,8.0,3.0,2.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,3.0,,1.0,1.0,1.0,3.0,,,,,,,,,3.0,,,2.0,,,,,,,,,,,,,
37,442363,2013-05-12 16:00:00,"Old Trafford, Manchester",75572,Home,Manchester United,Swansea City,2,1,W,1,0,0,0,3.0,57.0,,1.0,38.0,20.0,6.0,8.0,1.0,148.0,5.0,3.0,4.0,12.0,6.0,166.0,119.0,23.0,,15.0,1.0,6.0,3.0,1.0,1.0,1.0,24.0,8.0,1.0,12.0,6.0,22.0,25.0,282.0,0.0,172.0,5.0,,1.0,2.0,68.0,80.0,7.0,84.0,2.0,1.0,18.0,,6.0,4.0,111.0,1.0,9.0,159.0,694.0,10.0,,14.0,31.0,2.0,3.0,13.0,0.0,2.0,5.0,13.0,53.0,,83090,6.0,212.0,,10.0,225.0,,4.0,19.0,1.0,2.0,1.0,,12.0,,1.0,53.0,489.0,7.0,3.0,17.0,59.0,1.0,,0.0,,,5.0,1.0,1.0,,0.0,4.0,,52.1,13.0,,2.0,1.0,2.0,41.0,7.0,557.0,13.0,7.0,17.0,7.0,31.0,2.0,356.0,6.0,22.0,2.0,131.0,20.0,,7.0,11.0,1.0,12.0,3.0,3.0,,7.0,,2.0,2.0,,,,,,1.0,2.0,,1.0,,1.0,,,1.0,,,,,,,2.0,,,,,,,1.0,,1.0,,,1.0,2.0,,,1.0,,2.0,,1.0,,1.0,,,2.0,,1.0,5.0,,1.0,,,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,
38,442376,2013-05-19 16:00:00,"The Hawthorns, West Bromwich",26438,Away,Manchester United,West Bromwich Albion,5,5,D,3,1,0,0,1.0,50.0,1.0,4.0,52.0,20.0,2.0,11.0,1.0,183.0,9.0,6.0,,11.0,6.0,160.0,131.0,40.0,,15.0,1.0,12.0,1.0,1.0,1.0,2.0,32.0,12.0,1.0,13.0,4.0,14.0,34.0,252.0,0.0,167.0,8.0,1.0,2.0,,55.0,81.0,8.0,98.0,3.0,1.0,28.0,,6.0,,124.0,5.0,12.0,160.0,779.0,7.0,2.0,14.0,31.0,,2.0,11.0,1.0,6.0,3.0,19.0,50.0,,83090,4.0,283.0,2.0,22.0,300.0,1.0,10.0,43.0,1.0,2.0,3.0,,3.0,7.0,7.0,73.0,526.0,12.0,5.0,15.0,62.0,1.0,,0.0,,1.0,3.0,,5.0,1.0,0.0,9.0,2.0,64.6,18.0,1.0,3.0,3.0,5.0,33.0,5.0,601.0,9.0,16.0,20.0,4.0,44.0,4.0,333.0,2.0,14.0,7.0,136.0,12.0,1.0,7.0,15.0,4.0,13.0,3.0,9.0,1.0,5.0,1.0,1.0,3.0,,1.0,13.0,1.0,3.0,1.0,5.0,,,3.0,,,4.0,,,,,,,2.0,,2.0,2.0,,,,26.0,1.0,509.0,4.0,,578.0,,,1.0,,1.0,4.0,1.0,,,,,,,5.0,,4.0,3.0,1.0,1.0,,1.0,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0
