gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvHighLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,penaltyConceded,totalBackZonePass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,attCmissHighLeft,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,goalsConceded,attCmissHighRight,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,wonCorners,bigChanceScored,attGoalLowLeft,savedObox,goals,attCmissRight,attOboxBlocked,attObxLeft,goalAssistOpenplay,attGoalHighRight,cleanSheet,goodHighClaim,interceptionsInBox,contentiousDecision,goalAssist,errorLeadToShot,attSetpiece,attRfGoal,totalOffside,goalsOpenplay,attSvLowRight,punches,attIboxGoal,accurateFlickOn,goalAssistIntentional,totalHighClaim,forwardGoals,effectiveBlockedCross,blockedCross,attGoalLowRight,goalFastbreak,penaltyWon,midfielderGoals,attHdTarget,attPenGoal,goalsConcededObox,penaltySave,accurateKeeperSweeper,attSvLowLeft,accurateFreekickCross,shieldBallOop,errorLeadToGoal,postScoringAtt,attIboxPost,hitWoodwork,totalPullBack,attMissHigh,attPostHigh,attFreekickMiss,attLgCentre,attCmissHigh,accuratePullBack,attGoalHighCentre,attHdGoal,defenderGoals,attGoalHighLeft,goalAssistSetplay,goalAssistDeadball,attLfGoal,attGoalLowCentre,foulThrowIn,ownGoals,attIboxOwnGoal,attSvHighRight,attOboxGoal,attemptsIbox,saves,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attLgLeft,attFreekickPost,attOboxPost,attObxRight,attPostRight,attObpGoal,attFreekickGoal,attObxdLeft
28,442278,2013-03-02 17:30:00,"DW Stadium, Wigan",20804,Home,Wigan Athletic,Liverpool,0,4,L,0,3,0,0,,1.0,73.0,2.0,41.0,11.0,7.0,6.0,2.0,163.0,8.0,7.0,4.0,9.0,6.0,131.0,166.0,48.0,2.0,14.0,5.0,5.0,,,1.0,3.0,17.0,18.0,1.0,8.0,3.0,19.0,37.0,,253.0,1.0,0.0,119.0,12.0,1.0,,3.0,1.0,83.0,78.0,7.0,79.0,,14.0,2.0,6.0,5.0,163.0,1.0,6.0,150.0,723.0,,8.0,8.0,29.0,28.0,1.0,8.0,4.0,,2.0,2.0,2.0,26.0,67.0,1.0,9110,6.0,181.0,1.0,7.0,,,200.0,4.0,49.0,3.0,3.0,,24.0,2.0,4.0,60.0,426.0,15.0,7.0,1.0,22.0,76.0,,1.0,0.0,1.0,2.0,3.0,1.0,4.0,,0.0,7.0,3.0,52.1,20.0,,5.0,,1.0,3.0,3.0,1.0,43.0,4.0,,523.0,,24.0,14.0,19.0,5.0,15.0,1.0,,340.0,5.0,19.0,6.0,80.0,35.0,3.0,20.0,3.0,10.0,3.0,18.0,5.0,,,1.0,,,1.0,,,,,,4.0,,,,,,,,1.0,,,4.0,,,,,,,,,,3.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,442298,2013-03-17 16:00:00,"DW Stadium, Wigan",22297,Home,Wigan Athletic,Newcastle United,2,1,W,1,0,0,0,1.0,,53.0,5.0,29.0,21.0,6.0,5.0,2.0,151.0,7.0,7.0,3.0,9.0,4.0,117.0,165.0,49.0,2.0,16.0,13.0,1.0,2.0,,,,21.0,16.0,1.0,6.0,6.0,7.0,28.0,,205.0,1.0,0.0,111.0,9.0,,2.0,,1.0,70.0,57.0,6.0,68.0,2.0,15.0,2.0,1.0,2.0,150.0,1.0,8.0,81.0,618.0,,8.0,10.0,23.0,23.0,,8.0,10.0,1.0,1.0,2.0,3.0,25.0,43.0,1.0,9110,6.0,128.0,1.0,13.0,2.0,,151.0,12.0,53.0,1.0,4.0,,9.0,1.0,5.0,46.0,326.0,12.0,11.0,1.0,27.0,86.0,2.0,,0.0,1.0,3.0,3.0,1.0,1.0,,0.0,1.0,1.0,49.8,21.0,1.0,1.0,1.0,,4.0,8.0,,49.0,7.0,,417.0,,17.0,14.0,12.0,4.0,13.0,6.0,2.0,287.0,10.0,5.0,9.0,75.0,22.0,3.0,21.0,1.0,10.0,2.0,14.0,7.0,2.0,,,2.0,1.0,3.0,,,,,1.0,4.0,1.0,,,,2.0,1.0,1.0,1.0,,2.0,3.0,,2.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,,,3.0,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
31,442308,2013-03-30 15:00:00,"DW Stadium, Wigan",17784,Home,Wigan Athletic,Norwich City,1,0,W,0,0,0,0,,,58.0,2.0,22.0,49.0,5.0,4.0,1.0,154.0,5.0,6.0,,14.0,3.0,89.0,174.0,47.0,,14.0,8.0,2.0,1.0,1.0,,2.0,23.0,18.0,,23.0,8.0,14.0,20.0,,219.0,2.0,0.0,144.0,14.0,,1.0,,,118.0,38.0,6.0,53.0,1.0,15.0,,,4.0,148.0,1.0,1.0,95.0,599.0,,11.0,2.0,11.0,28.0,1.0,9.0,35.0,,1.0,3.0,8.0,22.0,61.0,1.0,9110,5.0,94.0,1.0,15.0,1.0,,117.0,9.0,42.0,3.0,1.0,,15.0,6.0,6.0,43.0,308.0,11.0,3.0,2.0,32.0,62.0,1.0,2.0,0.0,,,3.0,,,,0.0,1.0,2.0,52.8,15.0,1.0,3.0,1.0,,1.0,3.0,,33.0,10.0,,391.0,,7.0,14.0,10.0,8.0,11.0,4.0,4.0,297.0,8.0,14.0,10.0,107.0,24.0,16.0,20.0,,11.0,2.0,9.0,10.0,,,,1.0,,1.0,,1.0,,1.0,2.0,,,1.0,,,1.0,4.0,1.0,,,1.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,,,,1.0,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
32,442314,2013-04-07 16:10:00,"MATRADE Loftus Road, London",16658,Away,Wigan Athletic,Queens Park Rangers,1,1,D,0,0,0,1,,3.0,57.0,1.0,41.0,26.0,13.0,10.0,1.0,180.0,6.0,3.0,4.0,13.0,7.0,154.0,158.0,45.0,2.0,18.0,10.0,3.0,,1.0,1.0,2.0,23.0,18.0,3.0,18.0,5.0,10.0,20.0,,374.0,,0.0,213.0,12.0,,,,,139.0,102.0,11.0,100.0,,18.0,2.0,7.0,3.0,150.0,2.0,4.0,155.0,774.0,,12.0,5.0,13.0,23.0,1.0,1.0,12.0,,3.0,3.0,2.0,16.0,74.0,1.0,9110,3.0,135.0,2.0,11.0,,,149.0,6.0,73.0,1.0,3.0,,10.0,5.0,4.0,53.0,503.0,8.0,22.0,1.0,10.0,68.0,,1.0,0.0,,,2.0,,1.0,,0.0,4.0,2.0,67.9,12.0,,3.0,1.0,2.0,3.0,7.0,,46.0,10.0,,589.0,,12.0,24.0,11.0,4.0,23.0,2.0,1.0,463.0,6.0,9.0,13.0,169.0,24.0,8.0,21.0,,13.0,3.0,8.0,10.0,,,,1.0,,6.0,,,1.0,,1.0,,,,,1.0,1.0,2.0,,3.0,1.0,,2.0,,1.0,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,
32,442282,2013-04-17 19:45:00,"Etihad Stadium, Manchester",47106,Away,Wigan Athletic,Manchester City,0,1,L,0,0,0,0,1.0,1.0,52.0,2.0,28.0,12.0,5.0,4.0,3.0,166.0,1.0,10.0,2.0,7.0,4.0,100.0,146.0,50.0,1.0,10.0,6.0,3.0,1.0,1.0,1.0,,11.0,16.0,1.0,8.0,2.0,21.0,33.0,,207.0,,0.0,122.0,6.0,,2.0,,,103.0,72.0,5.0,84.0,1.0,9.0,1.0,2.0,2.0,142.0,1.0,3.0,106.0,641.0,,7.0,10.0,27.0,22.0,,6.0,3.0,2.0,1.0,3.0,2.0,24.0,58.0,,9110,3.0,163.0,1.0,7.0,,,184.0,13.0,39.0,1.0,3.0,,17.0,9.0,6.0,54.0,369.0,12.0,13.0,,21.0,80.0,1.0,,0.0,1.0,2.0,5.0,1.0,1.0,,0.0,,,49.6,22.0,,,1.0,,3.0,4.0,,41.0,4.0,,456.0,,22.0,10.0,19.0,2.0,13.0,1.0,,283.0,6.0,20.0,7.0,84.0,22.0,2.0,21.0,1.0,7.0,3.0,15.0,4.0,,,,,,2.0,,,,,1.0,4.0,,,,,,2.0,,2.0,1.0,,3.0,,1.0,,1.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,442328,2013-05-07 19:45:00,"DW Stadium, Wigan",18550,Home,Wigan Athletic,Swansea City,2,3,L,1,0,0,0,,,55.0,3.0,50.0,13.0,5.0,4.0,4.0,147.0,7.0,10.0,2.0,13.0,8.0,141.0,141.0,55.0,1.0,16.0,9.0,3.0,,1.0,3.0,,28.0,17.0,3.0,8.0,4.0,14.0,30.0,,257.0,,0.0,155.0,15.0,1.0,,,2.0,110.0,68.0,10.0,78.0,4.0,24.0,1.0,4.0,1.0,136.0,,8.0,122.0,689.0,,9.0,7.0,19.0,20.0,,7.0,5.0,1.0,2.0,4.0,3.0,28.0,73.0,,9110,6.0,162.0,,18.0,2.0,,173.0,5.0,52.0,,3.0,,12.0,4.0,5.0,77.0,412.0,13.0,5.0,3.0,21.0,67.0,,,0.0,1.0,1.0,4.0,1.0,3.0,,0.0,4.0,2.0,53.3,27.0,,3.0,3.0,1.0,3.0,4.0,,38.0,4.0,,488.0,,14.0,11.0,11.0,4.0,17.0,3.0,3.0,343.0,9.0,14.0,13.0,113.0,26.0,3.0,19.0,2.0,10.0,3.0,23.0,4.0,,1.0,,2.0,1.0,1.0,,1.0,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,,,2.0,3.0,1.0,,,2.0,2.0,,,,2.0,2.0,,1.0,,1.0,1.0,1.0,,2.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
34,442338,2013-04-20 15:00:00,"Boleyn Ground, London",34544,Away,Wigan Athletic,West Ham United,0,2,L,0,1,0,0,2.0,2.0,40.0,,31.0,17.0,12.0,6.0,4.0,164.0,3.0,11.0,3.0,14.0,8.0,114.0,145.0,53.0,1.0,19.0,8.0,6.0,,,5.0,,25.0,13.0,2.0,7.0,5.0,18.0,30.0,1.0,304.0,,0.0,175.0,12.0,,,,2.0,137.0,60.0,11.0,76.0,1.0,20.0,1.0,8.0,7.0,135.0,2.0,10.0,126.0,669.0,,13.0,6.0,12.0,15.0,2.0,5.0,11.0,2.0,1.0,5.0,3.0,25.0,71.0,3.0,9110,4.0,98.0,2.0,10.0,,,106.0,8.0,36.0,3.0,9.0,1.0,5.0,10.0,4.0,48.0,399.0,14.0,4.0,1.0,14.0,69.0,,,0.0,,5.0,3.0,3.0,2.0,,0.0,1.0,2.0,63.4,23.0,,3.0,2.0,1.0,9.0,4.0,,39.0,6.0,,480.0,,7.0,7.0,13.0,7.0,23.0,2.0,,399.0,11.0,16.0,9.0,130.0,13.0,4.0,19.0,1.0,17.0,3.0,18.0,6.0,,,3.0,,,4.0,,,,,2.0,1.0,,,,,,2.0,,1.0,,,1.0,,2.0,,2.0,2.0,,,,,2.0,,1.0,,2.0,1.0,,,,,,,1.0,4.0,,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
35,442348,2013-04-27 15:00:00,"DW Stadium, Wigan",22326,Home,Wigan Athletic,Tottenham Hotspur,2,2,D,1,1,0,0,1.0,1.0,44.0,,13.0,31.0,3.0,2.0,2.0,127.0,3.0,4.0,5.0,7.0,5.0,79.0,148.0,44.0,,7.0,13.0,3.0,,,1.0,,14.0,19.0,,15.0,3.0,6.0,27.0,,129.0,,0.0,96.0,13.0,2.0,1.0,,3.0,62.0,33.0,5.0,48.0,1.0,11.0,,1.0,2.0,132.0,,7.0,71.0,515.0,,5.0,3.0,20.0,23.0,,6.0,16.0,,3.0,4.0,2.0,24.0,50.0,1.0,9110,3.0,117.0,,7.0,,,144.0,11.0,43.0,1.0,1.0,,12.0,9.0,8.0,39.0,243.0,10.0,3.0,,23.0,66.0,,,0.0,,3.0,3.0,1.0,2.0,,0.0,2.0,1.0,39.0,19.0,,1.0,1.0,,1.0,,,29.0,3.0,,325.0,,12.0,8.0,8.0,2.0,13.0,1.0,,195.0,4.0,6.0,6.0,61.0,14.0,7.0,22.0,2.0,6.0,3.0,11.0,3.0,,1.0,1.0,2.0,1.0,,,1.0,,,,1.0,,2.0,,,,1.0,1.0,2.0,2.0,1.0,,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
36,442357,2013-05-04 15:00:00,"The Hawthorns, West Bromwich",25756,Away,Wigan Athletic,West Bromwich Albion,3,2,W,1,1,0,0,2.0,,62.0,1.0,36.0,29.0,3.0,2.0,1.0,126.0,6.0,12.0,3.0,13.0,5.0,129.0,136.0,43.0,1.0,14.0,9.0,1.0,,,,1.0,25.0,11.0,1.0,16.0,3.0,10.0,24.0,,193.0,1.0,0.0,102.0,9.0,1.0,,,2.0,69.0,68.0,8.0,68.0,2.0,22.0,1.0,4.0,3.0,123.0,2.0,9.0,103.0,642.0,,8.0,2.0,33.0,28.0,,4.0,14.0,,3.0,6.0,5.0,22.0,47.0,,9110,5.0,171.0,,16.0,1.0,,190.0,9.0,40.0,,5.0,,6.0,9.0,4.0,64.0,358.0,9.0,4.0,2.0,30.0,75.0,,1.0,0.0,,,7.0,4.0,2.0,,0.0,6.0,6.0,52.1,18.0,3.0,,,,5.0,3.0,1.0,46.0,5.0,,426.0,,21.0,11.0,13.0,6.0,13.0,,3.0,261.0,6.0,10.0,6.0,76.0,25.0,7.0,16.0,2.0,9.0,3.0,21.0,5.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,,2.0,3.0,,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,,3.0,2.0,2.0,4.0,4.0,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,2.0,,1.0,1.0,,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
37,442359,2013-05-14 19:45:00,"Emirates Stadium, London",60068,Away,Wigan Athletic,Arsenal,1,4,L,1,1,0,0,,1.0,49.0,1.0,56.0,18.0,7.0,3.0,,163.0,3.0,10.0,3.0,9.0,2.0,155.0,147.0,43.0,2.0,11.0,12.0,1.0,,,1.0,2.0,16.0,11.0,,10.0,3.0,17.0,30.0,,250.0,1.0,0.0,115.0,11.0,1.0,,,1.0,76.0,91.0,4.0,75.0,1.0,13.0,2.0,4.0,3.0,147.0,1.0,14.0,128.0,733.0,,7.0,5.0,34.0,17.0,,6.0,7.0,,2.0,4.0,5.0,32.0,55.0,1.0,9110,1.0,188.0,1.0,8.0,,,211.0,8.0,52.0,1.0,1.0,,14.0,7.0,3.0,80.0,435.0,10.0,5.0,2.0,18.0,76.0,,1.0,0.0,,2.0,7.0,4.0,4.0,,0.0,2.0,2.0,52.5,29.0,2.0,2.0,1.0,,1.0,4.0,,51.0,4.0,,521.0,,27.0,14.0,18.0,5.0,21.0,1.0,2.0,326.0,6.0,17.0,10.0,75.0,27.0,2.0,13.0,4.0,6.0,3.0,20.0,4.0,,,2.0,1.0,,3.0,,,,,1.0,7.0,,,,2.0,1.0,5.0,,,1.0,,2.0,,1.0,1.0,5.0,5.0,1.0,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,4.0,6.0,7.0,15.0,420.0,500.0,1.0,,,,,,,1.0,
38,442378,2013-05-19 16:00:00,"DW Stadium, Wigan",23001,Home,Wigan Athletic,Aston Villa,2,2,D,2,1,0,0,1.0,,53.0,4.0,44.0,22.0,7.0,4.0,3.0,156.0,7.0,4.0,6.0,11.0,4.0,131.0,145.0,53.0,1.0,17.0,6.0,1.0,1.0,1.0,2.0,,16.0,22.0,2.0,14.0,3.0,17.0,50.0,,247.0,1.0,0.0,124.0,11.0,1.0,4.0,1.0,3.0,89.0,70.0,7.0,72.0,,13.0,1.0,1.0,3.0,137.0,1.0,3.0,153.0,683.0,,8.0,4.0,22.0,23.0,2.0,5.0,10.0,3.0,2.0,3.0,4.0,11.0,57.0,2.0,92803,4.0,176.0,2.0,9.0,2.0,,203.0,5.0,41.0,5.0,3.0,,12.0,5.0,5.0,61.0,416.0,12.0,10.0,2.0,13.0,72.0,1.0,,0.0,1.0,3.0,2.0,,2.0,,0.0,5.0,2.0,54.0,11.0,1.0,3.0,1.0,,3.0,6.0,,50.0,4.0,,512.0,,15.0,8.0,30.0,7.0,15.0,2.0,2.0,325.0,10.0,16.0,12.0,82.0,24.0,8.0,25.0,1.0,12.0,3.0,11.0,4.0,,,1.0,2.0,,2.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,2.0,1.0,,,2.0,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,3.0,,1.0,,,2.0,2.0,2.0,,2.0,2.0,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
