gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,postScoringAtt,goalAssistOpenplay,goalFastbreak,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,attHdPost,touches,attLgCentre,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attPostHigh,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attLfTarget,attGoalLowLeft,attemptsIbox,saves,accuratePullBack,attBxRight,attSvHighLeft,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateThroughBall,accurateFreekickCross,totalPullBack,totalThroughBall,defenderGoals,attMissHigh,attSvLowRight,punches,accurateFlickOn,possWonAtt3rd,clearanceOffLine,forwardGoals,attOboxBlocked,attOboxTarget,attSvHighRight,attGoalHighCentre,attFreekickTarget,goalsConceded,attHdGoal,goalsConcededIbox,errorLeadToGoal,goalsConcededObox,attSvLowCentre,attMissHighRight,contentiousDecision,attHdTarget,attCmissHighRight,attFreekickPost,secondYellow,attSetpiece,attOboxPost,accurateKeeperSweeper,totalKeeperSweeper,attCmissHigh,attCorner,attSvHighCentre,goalAssistSetplay,goalAssistDeadball,attPostLeft,attObxdLeft,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickGoal,attCmissHighLeft,attGoalHighRight,penaltySave,ownGoals,attIboxOwnGoal
28,442276,2013-03-02 15:00:00,"Swansea.com Stadium, Swansea",20405,Home,Swansea City,Newcastle United,1,0,W,0,0,0,0,,1.0,45.0,1.0,3.0,1.0,36.0,51.0,3.0,2.0,,4.0,194.0,,8.0,13.0,1.0,4.0,9.0,,6.0,134.0,155.0,71.0,,12.0,16.0,4.0,,,,,1.0,20.0,,16.0,30.0,7.0,26.0,19.0,,216.0,1.0,,0.0,103.0,9.0,1.0,,,2.0,2.0,2.0,57.0,72.0,6.0,111.0,1.0,1.0,13.0,,2.0,1.0,134.0,2.0,8.0,128.0,,798.0,,6.0,4.0,,13.0,11.0,,6.0,30.0,,0.0,3.0,3.0,25.0,54.0,1.0,76542,6.0,272.0,2.0,9.0,,288.0,1.0,14.0,47.0,1.0,3.0,1.0,11.0,9.0,8.0,51.0,480.0,17.0,8.0,3.0,15.0,94.0,,,,0.0,1.0,7.0,2.0,1.0,,0.0,5.0,,,3.0,63.1,23.0,3.0,,3.0,2.0,62.0,7.0,2.0,567.0,10.0,,6.0,9.0,4.0,14.0,3.0,3.0,299.0,6.0,24.0,18.0,67.0,25.0,3.0,17.0,23.0,8.0,3.0,21.0,3.0,7.0,1.0,,,,,2.0,,,,,,,2.0,,1.0,,1.0,,,2.0,3.0,,1.0,1.0,1.0,,,,,,,,,3.0,1.0,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,
29,442287,2013-03-09 15:00:00,"The Hawthorns, West Bromwich",24832,Away,Swansea City,West Bromwich Albion,1,2,L,1,1,0,0,,,60.0,,1.0,2.0,39.0,35.0,4.0,3.0,,1.0,187.0,,6.0,5.0,1.0,2.0,8.0,,2.0,157.0,154.0,53.0,2.0,11.0,13.0,,1.0,,,,3.0,16.0,,8.0,16.0,3.0,20.0,26.0,,225.0,,,0.0,133.0,10.0,1.0,1.0,,,,1.0,50.0,59.0,4.0,98.0,,,13.0,2.0,3.0,2.0,135.0,1.0,10.0,130.0,,776.0,,6.0,9.0,,24.0,27.0,1.0,4.0,25.0,1.0,1.0,4.0,4.0,22.0,67.0,2.0,76542,6.0,266.0,1.0,10.0,,288.0,,7.0,50.0,4.0,5.0,,8.0,5.0,5.0,56.0,485.0,10.0,8.0,1.0,18.0,83.0,1.0,,2.0,0.0,2.0,3.0,3.0,1.0,,0.0,4.0,1.0,,2.0,55.8,19.0,1.0,1.0,5.0,3.0,60.0,3.0,1.0,572.0,18.0,1.0,6.0,15.0,6.0,13.0,2.0,4.0,300.0,6.0,20.0,23.0,90.0,21.0,2.0,10.0,15.0,6.0,3.0,18.0,2.0,3.0,,,,,,,,,,,,,,,,,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,2.0,,,1.0,,2.0,,,,,1.0,,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0
30,442296,2013-03-16 15:00:00,"Swansea.com Stadium, Swansea",20583,Home,Swansea City,Arsenal,0,2,L,0,0,0,0,1.0,,62.0,,2.0,1.0,40.0,28.0,5.0,3.0,,,187.0,,3.0,5.0,,2.0,8.0,1.0,,157.0,114.0,35.0,1.0,9.0,14.0,,,,,,1.0,14.0,,9.0,16.0,3.0,25.0,21.0,,201.0,,,0.0,119.0,3.0,3.0,,,,1.0,,48.0,64.0,2.0,118.0,4.0,4.0,11.0,1.0,4.0,4.0,114.0,,7.0,167.0,,808.0,,8.0,4.0,,28.0,26.0,,4.0,14.0,,1.0,5.0,6.0,14.0,45.0,,76542,3.0,354.0,,6.0,,380.0,,11.0,42.0,3.0,4.0,,10.0,9.0,7.0,64.0,552.0,7.0,13.0,,16.0,68.0,,,1.0,0.0,,8.0,2.0,,,0.0,2.0,,1.0,,56.9,14.0,,1.0,4.0,2.0,46.0,3.0,,629.0,24.0,1.0,8.0,13.0,7.0,22.0,1.0,3.0,263.0,6.0,24.0,7.0,90.0,25.0,4.0,10.0,16.0,8.0,2.0,10.0,4.0,3.0,,,4.0,4.0,,,,5.0,7.0,540.0,610.0,3.0,,,4.0,,1.0,,,1.0,4.0,,,1.0,,,,,2.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
31,442306,2013-03-30 15:00:00,"Swansea.com Stadium, Swansea",20604,Home,Swansea City,Tottenham Hotspur,1,2,L,0,2,0,0,,,63.0,,,2.0,37.0,23.0,3.0,6.0,,1.0,227.0,,12.0,3.0,1.0,2.0,15.0,,3.0,148.0,168.0,56.0,,15.0,20.0,2.0,,1.0,,,3.0,32.0,1.0,19.0,11.0,5.0,51.0,45.0,,296.0,,,0.0,171.0,5.0,3.0,1.0,1.0,,1.0,1.0,62.0,102.0,7.0,119.0,,1.0,27.0,,8.0,2.0,156.0,2.0,7.0,145.0,1.0,874.0,1.0,12.0,6.0,1.0,25.0,21.0,1.0,3.0,14.0,1.0,2.0,1.0,8.0,20.0,85.0,,76542,5.0,262.0,2.0,18.0,,274.0,,3.0,56.0,4.0,7.0,,11.0,3.0,2.0,58.0,546.0,10.0,7.0,2.0,7.0,97.0,,,1.0,0.0,2.0,2.0,5.0,1.0,1.0,0.0,9.0,1.0,,4.0,62.7,19.0,2.0,2.0,7.0,4.0,62.0,5.0,1.0,639.0,16.0,,16.0,19.0,8.0,27.0,3.0,5.0,397.0,5.0,50.0,13.0,122.0,28.0,2.0,6.0,30.0,12.0,3.0,11.0,2.0,5.0,1.0,1.0,,,,2.0,,,,,,,1.0,,,,2.0,1.0,,1.0,5.0,,,2.0,,,,,2.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,
32,442313,2013-04-06 15:00:00,"Carrow Road, Norwich",26372,Away,Swansea City,Norwich City,2,2,D,1,1,0,0,,2.0,64.0,,1.0,2.0,45.0,40.0,5.0,5.0,,3.0,206.0,1.0,10.0,2.0,2.0,3.0,16.0,1.0,7.0,123.0,168.0,45.0,1.0,18.0,15.0,3.0,,,2.0,,3.0,30.0,,13.0,13.0,4.0,40.0,35.0,1.0,248.0,,,0.0,160.0,16.0,1.0,,1.0,,2.0,2.0,59.0,70.0,8.0,106.0,2.0,2.0,26.0,1.0,8.0,2.0,141.0,6.0,6.0,136.0,,795.0,,11.0,1.0,,22.0,25.0,1.0,6.0,21.0,2.0,3.0,4.0,8.0,26.0,68.0,,76542,10.0,250.0,4.0,16.0,1.0,268.0,2.0,9.0,61.0,1.0,7.0,2.0,5.0,6.0,3.0,63.0,488.0,8.0,6.0,3.0,15.0,75.0,,,1.0,0.0,,2.0,1.0,2.0,,0.0,6.0,2.0,,4.0,65.3,24.0,2.0,,7.0,3.0,48.0,5.0,2.0,571.0,17.0,,7.0,14.0,8.0,19.0,4.0,6.0,333.0,8.0,39.0,17.0,124.0,28.0,1.0,10.0,18.0,14.0,3.0,19.0,1.0,5.0,,,,,2.0,1.0,1.0,,,,,,,2.0,,,1.0,,,,3.0,,1.0,1.0,2.0,1.0,,1.0,2.0,,2.0,1.0,,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,
33,442328,2013-05-07 19:45:00,"DW Stadium, Wigan",18550,Away,Swansea City,Wigan Athletic,3,2,W,0,1,0,0,,1.0,55.0,1.0,3.0,3.0,24.0,28.0,4.0,3.0,2.0,,142.0,,3.0,5.0,3.0,4.0,8.0,2.0,4.0,100.0,131.0,52.0,1.0,12.0,13.0,1.0,,,2.0,,,12.0,,21.0,17.0,1.0,25.0,21.0,,148.0,,1.0,0.0,91.0,13.0,3.0,,,,1.0,4.0,36.0,50.0,6.0,78.0,2.0,3.0,11.0,1.0,3.0,2.0,120.0,1.0,11.0,107.0,,626.0,,4.0,1.0,,19.0,19.0,,5.0,9.0,2.0,2.0,4.0,2.0,13.0,43.0,,89505,4.0,209.0,1.0,7.0,1.0,232.0,1.0,12.0,55.0,1.0,9.0,3.0,9.0,5.0,6.0,48.0,354.0,14.0,10.0,2.0,21.0,62.0,,,,0.0,1.0,4.0,3.0,2.0,,0.0,2.0,1.0,1.0,,46.7,11.0,,1.0,9.0,4.0,30.0,4.0,4.0,427.0,14.0,1.0,11.0,12.0,4.0,12.0,1.0,2.0,207.0,9.0,24.0,9.0,61.0,18.0,5.0,6.0,24.0,7.0,3.0,13.0,5.0,4.0,1.0,2.0,,,,2.0,,,,,,,,2.0,1.0,2.0,1.0,,2.0,,3.0,,1.0,1.0,,,,,2.0,,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
34,442335,2013-04-20 15:00:00,"Swansea.com Stadium, Swansea",20561,Home,Swansea City,Southampton,0,0,D,0,0,0,0,1.0,,78.0,,2.0,2.0,36.0,30.0,5.0,2.0,,3.0,184.0,,5.0,6.0,,,10.0,,3.0,119.0,187.0,60.0,,14.0,23.0,2.0,,,,,2.0,32.0,,15.0,18.0,7.0,22.0,31.0,1.0,189.0,1.0,,0.0,122.0,13.0,2.0,,,,,2.0,50.0,94.0,6.0,92.0,,1.0,25.0,,8.0,1.0,175.0,2.0,2.0,107.0,,728.0,1.0,9.0,4.0,,26.0,25.0,2.0,3.0,18.0,,0.0,2.0,4.0,20.0,60.0,1.0,76542,5.0,214.0,2.0,17.0,1.0,238.0,,5.0,65.0,3.0,7.0,,12.0,7.0,2.0,65.0,398.0,13.0,8.0,1.0,26.0,94.0,,,,0.0,3.0,2.0,2.0,,,0.0,3.0,,,2.0,54.7,19.0,2.0,,7.0,6.0,51.0,7.0,2.0,502.0,22.0,,16.0,21.0,5.0,17.0,2.0,4.0,296.0,10.0,21.0,18.0,86.0,35.0,2.0,11.0,23.0,13.0,2.0,12.0,2.0,7.0,,,,,,2.0,,,,,,,,1.0,1.0,,,2.0,,1.0,7.0,,,4.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35,442341,2013-04-28 15:00:00,"Stamford Bridge, London",41780,Away,Swansea City,Chelsea,0,2,L,0,2,0,0,,,60.0,,3.0,2.0,32.0,39.0,4.0,3.0,,2.0,182.0,,5.0,8.0,,1.0,13.0,,3.0,110.0,133.0,38.0,,13.0,16.0,3.0,,,,,2.0,19.0,,11.0,21.0,3.0,38.0,24.0,,186.0,,,0.0,94.0,11.0,4.0,,,,1.0,2.0,45.0,57.0,8.0,98.0,,2.0,16.0,,7.0,1.0,115.0,,15.0,107.0,,708.0,,13.0,3.0,,17.0,30.0,,5.0,17.0,,3.0,9.0,5.0,22.0,43.0,,76542,3.0,251.0,,8.0,,275.0,,8.0,54.0,1.0,9.0,,10.0,9.0,4.0,50.0,432.0,9.0,11.0,,19.0,70.0,,,1.0,0.0,1.0,6.0,3.0,,,0.0,5.0,,,1.0,48.2,18.0,1.0,1.0,9.0,5.0,46.0,3.0,2.0,497.0,12.0,,8.0,13.0,5.0,18.0,,4.0,241.0,9.0,35.0,6.0,77.0,13.0,2.0,7.0,15.0,13.0,3.0,16.0,2.0,3.0,1.0,,,,,5.0,,,,,,,,,1.0,,,2.0,,,1.0,,,3.0,,1.0,,,2.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
35,442355,2013-05-04 15:00:00,"Swansea.com Stadium, Swansea",20242,Home,Swansea City,Manchester City,0,0,D,0,0,0,0,,,50.0,,,,31.0,22.0,3.0,1.0,,1.0,137.0,,1.0,4.0,,2.0,5.0,,1.0,85.0,128.0,38.0,1.0,7.0,16.0,1.0,,,,,3.0,12.0,,14.0,12.0,4.0,22.0,29.0,,111.0,1.0,,0.0,91.0,9.0,2.0,1.0,,,,1.0,31.0,55.0,1.0,76.0,5.0,,8.0,1.0,3.0,3.0,118.0,1.0,9.0,90.0,,555.0,,5.0,1.0,,29.0,34.0,,1.0,10.0,,0.0,5.0,4.0,15.0,49.0,,74363,3.0,201.0,1.0,5.0,,225.0,,7.0,40.0,2.0,4.0,,14.0,3.0,5.0,55.0,311.0,10.0,7.0,,13.0,57.0,,,3.0,0.0,3.0,4.0,3.0,,,0.0,1.0,,,,38.1,14.0,,1.0,4.0,,25.0,4.0,1.0,388.0,22.0,1.0,5.0,15.0,6.0,13.0,,3.0,175.0,6.0,21.0,7.0,58.0,9.0,3.0,4.0,17.0,6.0,3.0,7.0,3.0,4.0,,,,,1.0,,,,,,,,,1.0,1.0,,3.0,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
37,442363,2013-05-12 16:00:00,"Old Trafford, Manchester",75572,Away,Swansea City,Manchester United,1,2,L,0,1,0,0,,,55.0,,1.0,2.0,39.0,29.0,,1.0,1.0,1.0,147.0,,6.0,3.0,1.0,1.0,8.0,1.0,2.0,134.0,121.0,19.0,,9.0,2.0,1.0,1.0,,1.0,,1.0,16.0,,6.0,16.0,3.0,18.0,30.0,,202.0,,,0.0,103.0,7.0,1.0,1.0,1.0,,,2.0,46.0,76.0,3.0,88.0,4.0,2.0,13.0,,1.0,,108.0,,9.0,138.0,,667.0,,6.0,3.0,,19.0,30.0,,5.0,12.0,1.0,0.0,2.0,5.0,13.0,44.0,,74363,4.0,239.0,,12.0,,261.0,,8.0,23.0,,7.0,1.0,8.0,6.0,2.0,52.0,435.0,3.0,3.0,1.0,12.0,60.0,1.0,,1.0,0.0,1.0,7.0,3.0,1.0,,0.0,4.0,1.0,,1.0,47.9,13.0,1.0,2.0,7.0,2.0,34.0,5.0,2.0,507.0,15.0,,6.0,22.0,5.0,12.0,2.0,5.0,262.0,7.0,17.0,6.0,74.0,16.0,3.0,7.0,7.0,6.0,3.0,8.0,3.0,5.0,,,,,,1.0,,,,,,,,,1.0,,2.0,1.0,1.0,,,,,,,,1.0,,2.0,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
38,442374,2013-05-19 16:00:00,"Swansea.com Stadium, Swansea",20365,Home,Swansea City,Fulham,0,3,L,0,1,0,0,,,68.0,,,3.0,32.0,5.0,11.0,4.0,,7.0,192.0,,7.0,3.0,,2.0,21.0,1.0,10.0,187.0,124.0,39.0,,27.0,11.0,8.0,,,,,4.0,44.0,,11.0,4.0,6.0,16.0,24.0,,384.0,,,0.0,208.0,12.0,2.0,,,5.0,1.0,,85.0,125.0,12.0,92.0,,2.0,38.0,,12.0,5.0,123.0,2.0,6.0,183.0,,859.0,,21.0,3.0,,24.0,14.0,,1.0,3.0,,2.0,1.0,9.0,19.0,74.0,,74363,9.0,225.0,2.0,25.0,,228.0,,1.0,50.0,5.0,7.0,,9.0,3.0,1.0,39.0,602.0,10.0,9.0,,1.0,63.0,,,3.0,0.0,1.0,,2.0,,,0.0,6.0,,,3.0,64.4,18.0,2.0,3.0,7.0,7.0,58.0,8.0,,654.0,20.0,,11.0,15.0,10.0,40.0,1.0,5.0,470.0,19.0,16.0,5.0,168.0,36.0,,2.0,20.0,26.0,3.0,10.0,,8.0,2.0,,,,,2.0,,,,,,,,1.0,,,3.0,1.0,,3.0,11.0,,,4.0,2.0,1.0,,,3.0,,2.0,,1.0,2.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
