gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,goalFastbreak,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attLfTarget,attGoalLowLeft,attFreekickTotal,attOboxBlocked,attSvLowCentre,attGoalHighRight,attOboxTarget,attMissRight,freekickTotal,attMissHighLeft,attMissHigh,attSvLowRight,blockedScoringAtt,attFreekickMiss,forwardGoals,goalsConcededObox,handBall,attIboxBlocked,attCmissRight,attBxRight,attOboxGoal,punches,goalsConceded,attHdMiss,attBxLeft,goalsConcededIbox,errorLeadToGoal,contentiousDecision,attFreekickTarget,accurateCornersIntobox,attLfGoal,attCmissHigh,goalAssistSetplay,goalAssistDeadball,attemptsIbox,saves,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attGoalHighLeft,attFreekickGoal,sixYardBlock,attHdGoal,attGoalHighCentre,attSvHighCentre,attObxLeft,attSvHighLeft,secondYellow,hitWoodwork,ownGoals,attIboxOwnGoal,attSvHighRight,accurateKeeperSweeper,totalKeeperSweeper,accuratePullBack,totalPullBack,attObxdLeft,postScoringAtt,attFreekickPost,attOboxPost,attObxRight,clearanceOffLine,attPostRight,attIboxPost,attLgCentre,attPostHigh,attPenTarget,attCmissHighLeft,penaltyConceded,penaltyFaced,attCmissHighRight,foulThrowIn,ptsGainedLosingPos
28,442270,2013-03-02 15:00:00,"Stamford Bridge, London",41548,Home,Chelsea,West Bromwich Albion,1,0,W,1,0,0,0,1.0,52.0,,2.0,31.0,21.0,9.0,8.0,4.0,161.0,1.0,9.0,7.0,1.0,6.0,18.0,9.0,122.0,135.0,47.0,24.0,12.0,6.0,1.0,,,1.0,28.0,15.0,15.0,7.0,10.0,32.0,,245.0,1.0,1.0,,0.0,168.0,12.0,1.0,1.0,,1.0,3.0,1.0,63.0,74.0,13.0,74.0,1.0,21.0,5.0,2.0,129.0,3.0,3.0,113.0,658.0,15.0,2.0,1.0,19.0,16.0,5.0,13.0,1.0,1.0,,5.0,16.0,64.0,,1.0,,61262,8.0,163.0,2.0,13.0,,172.0,1.0,5.0,48.0,,,2.0,4.0,,10.0,4.0,1.0,,49.0,399.0,15.0,6.0,2.0,22.0,69.0,1.0,1.0,0.0,3.0,7.0,1.0,1.0,1.0,0.0,8.0,1.0,2.0,1.0,52.9,14.0,,4.0,37.0,9.0,1.0,470.0,14.0,11.0,20.0,6.0,25.0,4.0,326.0,15.0,9.0,7.0,128.0,32.0,3.0,10.0,18.0,17.0,3.0,14.0,3.0,9.0,3.0,,3.0,5.0,6.0,,2.0,2.0,3.0,1.0,1.0,,9.0,,1.0,,,4.0,1.0,1.0,,,,,3.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
29,442280,2013-04-17 20:00:00,"Craven Cottage, London",25002,Away,Chelsea,Fulham,3,0,W,2,0,0,0,1.0,70.0,,1.0,31.0,21.0,6.0,1.0,3.0,148.0,,5.0,14.0,3.0,3.0,13.0,7.0,106.0,139.0,61.0,17.0,5.0,3.0,1.0,2.0,,2.0,21.0,15.0,14.0,4.0,11.0,23.0,,205.0,2.0,1.0,,0.0,149.0,13.0,1.0,2.0,,1.0,,3.0,41.0,90.0,8.0,59.0,,17.0,6.0,2.0,132.0,1.0,3.0,102.0,623.0,8.0,8.0,,20.0,22.0,6.0,14.0,3.0,1.0,3.0,5.0,18.0,62.0,,,,61262,6.0,137.0,,11.0,,149.0,1.0,6.0,47.0,,3.0,,8.0,2.0,10.0,8.0,3.0,,55.0,337.0,12.0,6.0,2.0,22.0,78.0,1.0,,0.0,1.0,6.0,1.0,2.0,3.0,0.0,2.0,2.0,,3.0,47.2,17.0,7.0,8.0,48.0,5.0,3.0,415.0,16.0,14.0,8.0,5.0,17.0,3.0,287.0,12.0,11.0,11.0,99.0,29.0,3.0,10.0,24.0,13.0,3.0,23.0,3.0,5.0,1.0,1.0,1.0,3.0,2.0,,1.0,,1.0,,1.0,1.0,5.0,,,,,2.0,,1.0,1.0,1.0,,1.0,2.0,,,,1.0,3.0,,,1.0,,,,,,,,,1.0,,1.0,2.0,1.0,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,
30,442290,2013-03-17 16:00:00,"Stamford Bridge, London",41639,Home,Chelsea,West Ham United,2,0,W,1,0,0,0,1.0,54.0,1.0,3.0,26.0,31.0,9.0,8.0,5.0,185.0,,2.0,11.0,2.0,5.0,18.0,11.0,132.0,135.0,49.0,24.0,14.0,6.0,1.0,2.0,,3.0,19.0,12.0,21.0,4.0,10.0,30.0,2.0,313.0,1.0,1.0,,0.0,209.0,5.0,2.0,1.0,1.0,,2.0,2.0,67.0,77.0,12.0,83.0,1.0,15.0,2.0,5.0,125.0,4.0,7.0,139.0,737.0,15.0,8.0,1.0,10.0,27.0,4.0,19.0,2.0,0.0,2.0,6.0,23.0,71.0,1.0,,,61262,9.0,157.0,3.0,11.0,1.0,167.0,,8.0,44.0,1.0,,1.0,4.0,2.0,6.0,6.0,4.0,,52.0,468.0,13.0,8.0,1.0,19.0,89.0,1.0,2.0,0.0,4.0,5.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,2.0,63.8,18.0,2.0,4.0,56.0,5.0,2.0,539.0,8.0,8.0,17.0,9.0,25.0,4.0,391.0,14.0,10.0,12.0,164.0,16.0,5.0,12.0,13.0,19.0,3.0,20.0,5.0,5.0,3.0,,3.0,1.0,5.0,1.0,3.0,3.0,3.0,,2.0,2.0,4.0,1.0,1.0,,,3.0,1.0,3.0,,1.0,,,3.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
31,442304,2013-03-30 15:00:00,"St. Mary's Stadium, Southampton",31779,Away,Chelsea,Southampton,1,2,L,1,2,0,0,1.0,49.0,1.0,1.0,30.0,30.0,3.0,,1.0,162.0,,5.0,10.0,1.0,3.0,6.0,2.0,88.0,179.0,61.0,9.0,32.0,1.0,,,,2.0,24.0,11.0,18.0,5.0,3.0,38.0,,171.0,1.0,,,0.0,136.0,8.0,1.0,,,,1.0,1.0,47.0,70.0,3.0,72.0,1.0,19.0,4.0,2.0,167.0,1.0,7.0,104.0,639.0,5.0,8.0,,18.0,24.0,8.0,19.0,1.0,1.0,3.0,3.0,32.0,63.0,,,,61262,4.0,159.0,,14.0,,179.0,,6.0,67.0,1.0,1.0,3.0,7.0,,16.0,5.0,2.0,,73.0,325.0,12.0,9.0,,44.0,83.0,,1.0,0.0,,7.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,3.0,49.2,29.0,1.0,7.0,32.0,7.0,1.0,426.0,13.0,6.0,14.0,5.0,19.0,3.0,271.0,6.0,3.0,20.0,91.0,13.0,5.0,11.0,19.0,6.0,3.0,24.0,5.0,7.0,,,2.0,1.0,,,,1.0,2.0,,1.0,,2.0,1.0,,1.0,2.0,1.0,,1.0,,,2.0,2.0,,1.0,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,
32,442309,2013-04-07 15:00:00,"Stamford Bridge, London",41500,Home,Chelsea,Sunderland,2,1,W,0,1,0,0,,51.0,1.0,,43.0,27.0,8.0,2.0,,182.0,,6.0,12.0,2.0,4.0,11.0,3.0,127.0,164.0,65.0,16.0,16.0,1.0,,,,2.0,26.0,16.0,15.0,5.0,7.0,26.0,,260.0,,,,0.0,195.0,9.0,,,,1.0,2.0,1.0,77.0,98.0,7.0,78.0,1.0,21.0,6.0,3.0,152.0,,5.0,127.0,726.0,9.0,6.0,2.0,13.0,16.0,4.0,18.0,1.0,0.0,2.0,4.0,33.0,64.0,,1.0,1.0,61262,7.0,172.0,,13.0,2.0,191.0,1.0,6.0,60.0,1.0,1.0,3.0,3.0,,9.0,4.0,5.0,,67.0,426.0,14.0,12.0,1.0,26.0,84.0,,1.0,0.0,3.0,5.0,,2.0,2.0,0.0,6.0,,2.0,4.0,61.7,29.0,5.0,4.0,55.0,8.0,1.0,514.0,11.0,12.0,14.0,7.0,25.0,4.0,349.0,10.0,7.0,19.0,147.0,23.0,3.0,9.0,20.0,10.0,3.0,23.0,3.0,8.0,,,1.0,4.0,,,1.0,2.0,1.0,1.0,2.0,1.0,6.0,,,,,2.0,1.0,,,2.0,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
33,442321,2013-05-08 19:45:00,"Stamford Bridge, London",41581,Home,Chelsea,Tottenham Hotspur,2,2,D,2,1,0,0,1.0,60.0,,2.0,22.0,22.0,6.0,2.0,2.0,157.0,,6.0,5.0,2.0,5.0,11.0,5.0,65.0,158.0,65.0,15.0,18.0,1.0,,1.0,,1.0,25.0,22.0,15.0,6.0,7.0,35.0,,141.0,1.0,,,0.0,118.0,6.0,1.0,1.0,2.0,,1.0,1.0,45.0,58.0,6.0,36.0,,19.0,2.0,1.0,151.0,2.0,8.0,77.0,545.0,6.0,6.0,,15.0,29.0,5.0,12.0,2.0,1.0,2.0,5.0,21.0,58.0,1.0,1.0,,61262,6.0,110.0,1.0,16.0,1.0,129.0,1.0,8.0,51.0,2.0,,3.0,3.0,1.0,11.0,6.0,4.0,,45.0,245.0,16.0,6.0,3.0,26.0,75.0,,1.0,0.0,3.0,5.0,1.0,2.0,4.0,0.0,4.0,1.0,,3.0,44.1,21.0,4.0,3.0,36.0,6.0,1.0,335.0,11.0,11.0,12.0,6.0,20.0,5.0,231.0,9.0,5.0,15.0,73.0,21.0,1.0,10.0,29.0,7.0,2.0,15.0,1.0,6.0,1.0,2.0,2.0,3.0,2.0,,2.0,1.0,2.0,,3.0,1.0,4.0,,,1.0,,1.0,1.0,1.0,,,2.0,2.0,1.0,1.0,,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,442330,2013-04-21 16:00:00,"Anfield, Liverpool",45009,Away,Chelsea,Liverpool,2,2,D,1,0,0,0,1.0,61.0,,2.0,22.0,22.0,6.0,,3.0,150.0,,1.0,5.0,2.0,3.0,6.0,5.0,97.0,162.0,45.0,11.0,10.0,1.0,,,,2.0,12.0,13.0,11.0,5.0,9.0,21.0,,178.0,1.0,,1.0,0.0,129.0,13.0,,,1.0,,,2.0,48.0,54.0,4.0,58.0,2.0,7.0,3.0,2.0,151.0,,11.0,80.0,592.0,5.0,8.0,,25.0,25.0,5.0,16.0,1.0,3.0,3.0,2.0,23.0,62.0,,,,61262,3.0,118.0,,4.0,,135.0,1.0,11.0,50.0,1.0,,1.0,4.0,,12.0,10.0,4.0,1.0,49.0,295.0,8.0,11.0,,23.0,76.0,,,0.0,4.0,8.0,4.0,2.0,2.0,0.0,,1.0,,1.0,43.0,16.0,1.0,5.0,38.0,5.0,2.0,385.0,17.0,11.0,7.0,3.0,15.0,1.0,262.0,10.0,8.0,8.0,81.0,20.0,7.0,7.0,24.0,5.0,3.0,12.0,7.0,5.0,,1.0,1.0,2.0,2.0,1.0,2.0,,1.0,,,1.0,3.0,,1.0,,2.0,1.0,,,,,2.0,,1.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
35,442341,2013-04-28 15:00:00,"Stamford Bridge, London",41780,Home,Chelsea,Swansea City,2,0,W,2,0,0,0,1.0,74.0,,,31.0,16.0,9.0,4.0,5.0,180.0,,6.0,11.0,2.0,4.0,18.0,8.0,133.0,144.0,54.0,24.0,6.0,3.0,1.0,1.0,,3.0,23.0,14.0,9.0,4.0,17.0,39.0,,294.0,1.0,1.0,1.0,0.0,208.0,9.0,1.0,2.0,2.0,2.0,1.0,1.0,58.0,88.0,11.0,90.0,1.0,19.0,8.0,2.0,137.0,2.0,9.0,133.0,730.0,13.0,3.0,,17.0,18.0,3.0,8.0,1.0,1.0,5.0,7.0,17.0,78.0,,1.0,,61262,8.0,170.0,2.0,10.0,2.0,182.0,2.0,7.0,38.0,2.0,,3.0,6.0,1.0,18.0,4.0,5.0,1.0,52.0,458.0,11.0,8.0,4.0,16.0,79.0,1.0,2.0,0.0,2.0,3.0,3.0,2.0,,0.0,4.0,,1.0,2.0,51.8,15.0,10.0,6.0,55.0,6.0,1.0,536.0,15.0,7.0,21.0,7.0,37.0,5.0,377.0,18.0,17.0,16.0,156.0,35.0,1.0,4.0,16.0,17.0,1.0,19.0,1.0,6.0,1.0,2.0,1.0,4.0,3.0,,3.0,1.0,1.0,,2.0,1.0,9.0,,,,,5.0,,4.0,,1.0,,2.0,2.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,442351,2013-05-05 16:00:00,"Old Trafford, Manchester",75500,Away,Chelsea,Manchester United,1,0,W,0,0,0,1,,57.0,1.0,1.0,31.0,18.0,10.0,5.0,2.0,132.0,,4.0,4.0,1.0,2.0,14.0,3.0,119.0,121.0,46.0,17.0,12.0,1.0,1.0,1.0,,3.0,22.0,10.0,15.0,6.0,12.0,36.0,,228.0,1.0,1.0,,0.0,183.0,10.0,,1.0,,,,,62.0,67.0,6.0,51.0,1.0,16.0,4.0,6.0,118.0,1.0,6.0,112.0,579.0,13.0,4.0,,10.0,22.0,7.0,8.0,1.0,1.0,1.0,8.0,23.0,75.0,,,,61262,2.0,126.0,1.0,12.0,,131.0,,11.0,42.0,1.0,,2.0,7.0,1.0,8.0,4.0,6.0,,52.0,350.0,14.0,6.0,,12.0,68.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,,0.0,2.0,1.0,,1.0,51.3,18.0,3.0,7.0,45.0,7.0,1.0,414.0,7.0,8.0,19.0,9.0,23.0,3.0,305.0,11.0,11.0,12.0,132.0,23.0,1.0,6.0,16.0,15.0,2.0,11.0,1.0,7.0,,,2.0,3.0,1.0,,1.0,1.0,2.0,3.0,1.0,1.0,5.0,1.0,1.0,,1.0,2.0,,2.0,,2.0,,1.0,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,
37,442360,2013-05-11 12:45:00,"Villa Park, Birmingham",42084,Away,Chelsea,Aston Villa,2,1,W,0,1,1,1,1.0,51.0,,1.0,23.0,30.0,8.0,4.0,4.0,183.0,1.0,5.0,1.0,2.0,4.0,10.0,7.0,116.0,148.0,36.0,15.0,10.0,3.0,,2.0,,,25.0,9.0,20.0,7.0,11.0,39.0,1.0,198.0,1.0,,,0.0,140.0,8.0,1.0,,2.0,1.0,1.0,1.0,74.0,46.0,8.0,63.0,1.0,18.0,4.0,2.0,138.0,2.0,9.0,138.0,691.0,6.0,1.0,,10.0,26.0,4.0,17.0,2.0,2.0,7.0,2.0,26.0,59.0,1.0,,,61262,3.0,222.0,1.0,13.0,,237.0,1.0,7.0,51.0,1.0,,2.0,4.0,2.0,9.0,6.0,7.0,,46.0,415.0,13.0,14.0,2.0,13.0,73.0,,,0.0,1.0,6.0,,2.0,1.0,1.0,3.0,1.0,,1.0,56.8,24.0,,4.0,43.0,7.0,1.0,500.0,5.0,13.0,12.0,3.0,29.0,1.0,288.0,10.0,11.0,10.0,95.0,19.0,5.0,9.0,12.0,9.0,3.0,7.0,5.0,7.0,1.0,1.0,4.0,5.0,3.0,,2.0,1.0,4.0,,1.0,1.0,5.0,2.0,,,,,1.0,,,3.0,1.0,1.0,,1.0,,1.0,2.0,2.0,1.0,,,,6.0,1.0,9.0,23.0,402.0,483.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,3.0
38,442369,2013-05-19 16:00:00,"Stamford Bridge, London",41794,Home,Chelsea,Everton,2,1,W,1,1,0,0,1.0,60.0,2.0,2.0,39.0,17.0,8.0,7.0,2.0,150.0,,7.0,7.0,2.0,1.0,14.0,6.0,97.0,131.0,47.0,23.0,12.0,3.0,2.0,1.0,,4.0,33.0,19.0,10.0,5.0,9.0,37.0,,200.0,2.0,,,0.0,146.0,8.0,4.0,2.0,2.0,1.0,1.0,3.0,51.0,64.0,7.0,56.0,2.0,28.0,6.0,3.0,124.0,,12.0,84.0,601.0,12.0,5.0,,13.0,28.0,9.0,12.0,1.0,2.0,5.0,7.0,21.0,61.0,1.0,,1.0,61262,9.0,131.0,,21.0,1.0,140.0,2.0,8.0,47.0,3.0,,1.0,8.0,2.0,9.0,8.0,5.0,,60.0,324.0,9.0,6.0,1.0,20.0,71.0,2.0,1.0,0.0,2.0,4.0,4.0,2.0,1.0,0.0,5.0,1.0,,2.0,43.5,20.0,2.0,8.0,42.0,7.0,3.0,387.0,9.0,12.0,21.0,10.0,39.0,7.0,280.0,14.0,9.0,8.0,106.0,20.0,4.0,7.0,23.0,17.0,3.0,17.0,4.0,7.0,2.0,,1.0,4.0,3.0,,1.0,,1.0,3.0,1.0,,7.0,,,,1.0,3.0,,4.0,,,1.0,2.0,1.0,1.0,,,,2.0,,,,,,6.0,,33.0,311.0,368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,
