gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,penaltySave,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,goalAssistOpenplay,goalFastbreak,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,handBall,attLfTarget,attRfTarget,attIboxTarget,postScoringAtt,accurateKeeperSweeper,attSvLowCentre,attIboxPost,attOboxTarget,attMissHighRight,attSvHighLeft,attSvLowLeft,attHdPost,attHdTarget,hitWoodwork,totalKeeperSweeper,accurateFreekickCross,bigChanceMissed,attSvLowRight,attCmissLeft,attPostHigh,accurateFlickOn,attHdTotal,attHdMiss,attBxLeft,accurateCornersIntobox,bigChanceScored,attGoalLowLeft,attCmissRight,attBxRight,interceptionsInBox,bigChanceCreated,overrun,shieldBallOop,attHdGoal,goalsConcededObox,attemptsIbox,saves,attLfGoal,attemptsObox,attGoalHighCentre,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateThroughBall,totalPullBack,ownGoals,defenderGoals,attCorner,attIboxOwnGoal,attGoalLowCentre,attFreekickTotal,attGoalHighRight,penaltyWon,freekickTotal,attObxdRight,attLgCentre,attMissHigh,attPenGoal,attFreekickMiss,goalAssistSetplay,goalAssistDeadball,attOneOnOne,attSvHighCentre,accuratePullBack,attPostRight,attObxLeft,attCmissHigh,clearanceOffLine,penGoalsConceded,sixYardBlock,cleanSheet,attFreekickPost,attPostLeft,attFreekickTarget,attOboxPost,attObxRight,attGoalHighLeft,attSvHighRight,ptsDroppedWinningPos,attCmissHighLeft,attFreekickGoal,attCmissHighRight,foulThrowIn
28,442273,2013-03-02 15:00:00,"St. Mary's Stadium, Southampton",31728,Home,Southampton,Queens Park Rangers,1,2,L,1,1,0,0,,70.0,,1.0,3.0,28.0,25.0,14.0,5.0,205.0,9.0,9.0,1.0,2.0,15.0,7.0,151.0,183.0,63.0,21.0,3.0,23.0,,,,3.0,37.0,18.0,15.0,5.0,27.0,41.0,253.0,,0.0,194.0,7.0,1.0,,1.0,3.0,,67.0,77.0,7.0,81.0,3.0,32.0,14.0,6.0,173.0,,5.0,125.0,800.0,14.0,10.0,33.0,27.0,,8.0,8.0,,1.0,2.0,8.0,28.0,81.0,,80447,5.0,205.0,15.0,,,230.0,,5.0,53.0,2.0,3.0,5.0,1.0,9.0,2.0,4.0,46.0,449.0,15.0,9.0,1.0,28.0,83.0,,,0.0,3.0,,1.0,2.0,0.0,7.0,,67.0,26.0,4.0,5.0,6.0,55.0,6.0,,,562.0,28.0,8.0,23.0,8.0,37.0,2.0,369.0,14.0,25.0,17.0,129.0,33.0,,,7.0,22.0,2.0,18.0,3.0,15.0,,,6.0,,,5.0,1.0,,,1.0,,5.0,1.0,1.0,2.0,,1.0,,,,,2.0,1.0,,3.0,2.0,1.0,2.0,2.0,1.0,,1.0,,,,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,
29,442284,2013-03-09 15:00:00,"Carrow Road, Norwich",26783,Away,Southampton,Norwich City,0,0,D,0,0,0,0,1.0,71.0,,1.0,1.0,21.0,42.0,7.0,6.0,150.0,5.0,5.0,,3.0,10.0,5.0,106.0,188.0,62.0,15.0,2.0,16.0,,,,2.0,27.0,17.0,22.0,7.0,18.0,30.0,159.0,,0.0,136.0,11.0,2.0,,,3.0,2.0,61.0,50.0,5.0,53.0,1.0,20.0,6.0,3.0,168.0,1.0,2.0,104.0,660.0,9.0,12.0,23.0,18.0,1.0,11.0,26.0,,3.0,2.0,5.0,27.0,65.0,,80447,6.0,157.0,11.0,2.0,1.0,172.0,,3.0,52.0,9.0,2.0,9.0,,12.0,4.0,2.0,46.0,311.0,9.0,5.0,1.0,32.0,90.0,,,0.0,1.0,1.0,,,0.0,5.0,,59.1,24.0,5.0,10.0,3.0,47.0,7.0,1.0,3.0,413.0,17.0,13.0,14.0,7.0,30.0,4.0,268.0,7.0,16.0,25.0,76.0,34.0,,1.0,14.0,23.0,,11.0,3.0,13.0,,1.0,7.0,1.0,3.0,2.0,3.0,,2.0,2.0,,2.0,2.0,1.0,,,,,3.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,,,,2.0,1.0,4.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
30,442293,2013-03-16 15:00:00,"St. Mary's Stadium, Southampton",32070,Home,Southampton,Liverpool,3,1,W,2,1,0,0,,82.0,2.0,3.0,,20.0,27.0,7.0,3.0,166.0,6.0,10.0,3.0,1.0,10.0,11.0,95.0,192.0,44.0,18.0,2.0,10.0,,1.0,,3.0,29.0,11.0,14.0,6.0,33.0,32.0,185.0,1.0,0.0,176.0,12.0,4.0,,1.0,,2.0,71.0,65.0,7.0,53.0,,23.0,6.0,1.0,179.0,,7.0,72.0,620.0,9.0,16.0,21.0,23.0,,9.0,10.0,1.0,0.0,3.0,3.0,26.0,69.0,1.0,80447,8.0,100.0,17.0,,,115.0,3.0,5.0,50.0,8.0,,5.0,2.0,15.0,3.0,1.0,57.0,279.0,10.0,8.0,,40.0,85.0,,,0.0,5.0,1.0,2.0,1.0,0.0,3.0,1.0,47.9,20.0,7.0,6.0,2.0,35.0,7.0,,2.0,386.0,16.0,11.0,16.0,5.0,24.0,4.0,300.0,14.0,28.0,9.0,112.0,39.0,2.0,2.0,3.0,15.0,1.0,16.0,3.0,20.0,,2.0,7.0,1.0,2.0,6.0,5.0,,3.0,2.0,,3.0,1.0,,3.0,,,,3.0,,4.0,3.0,1.0,,5.0,1.0,1.0,2.0,3.0,1.0,,,,1.0,2.0,2.0,,,,,,,,,,,,3.0,1.0,,,,,1.0,1.0,,,1.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,
31,442304,2013-03-30 15:00:00,"St. Mary's Stadium, Southampton",31779,Home,Southampton,Chelsea,2,1,W,2,1,0,0,,73.0,1.0,,1.0,25.0,33.0,5.0,1.0,167.0,5.0,9.0,2.0,2.0,9.0,4.0,103.0,183.0,67.0,12.0,2.0,20.0,1.0,1.0,,1.0,23.0,16.0,16.0,7.0,25.0,25.0,175.0,1.0,0.0,134.0,13.0,,2.0,,1.0,,80.0,50.0,5.0,70.0,1.0,16.0,3.0,1.0,166.0,,6.0,98.0,671.0,5.0,23.0,21.0,23.0,,12.0,14.0,1.0,2.0,2.0,4.0,21.0,70.0,,80447,3.0,167.0,12.0,,,188.0,2.0,8.0,61.0,8.0,3.0,10.0,1.0,16.0,3.0,5.0,50.0,337.0,6.0,10.0,3.0,31.0,92.0,1.0,,0.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,50.8,18.0,8.0,10.0,3.0,49.0,7.0,,,438.0,14.0,9.0,14.0,5.0,15.0,4.0,273.0,8.0,21.0,32.0,81.0,29.0,2.0,7.0,6.0,20.0,1.0,8.0,3.0,19.0,,7.0,7.0,1.0,1.0,1.0,1.0,,3.0,,,1.0,3.0,,,,,,3.0,,,2.0,,,6.0,3.0,3.0,1.0,4.0,1.0,1.0,,3.0,1.0,1.0,2.0,2.0,,,,,,,,,,,1.0,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
32,442315,2013-04-06 12:45:00,"Select Car Leasing Stadium, Reading",24108,Away,Southampton,Reading,2,0,W,1,0,0,0,,73.0,1.0,,,20.0,50.0,4.0,5.0,230.0,7.0,4.0,2.0,,11.0,4.0,125.0,222.0,61.0,13.0,1.0,22.0,,2.0,,1.0,18.0,16.0,31.0,4.0,32.0,40.0,250.0,,0.0,156.0,11.0,1.0,,1.0,,3.0,66.0,78.0,4.0,75.0,2.0,14.0,3.0,3.0,203.0,,7.0,90.0,787.0,9.0,25.0,26.0,25.0,2.0,5.0,29.0,2.0,0.0,2.0,7.0,36.0,66.0,,80447,7.0,150.0,11.0,,,191.0,1.0,8.0,64.0,13.0,6.0,4.0,2.0,15.0,3.0,2.0,44.0,393.0,5.0,4.0,,38.0,98.0,,2.0,0.0,8.0,2.0,2.0,,0.0,6.0,2.0,60.6,27.0,3.0,4.0,1.0,41.0,4.0,,5.0,520.0,21.0,15.0,22.0,8.0,18.0,4.0,347.0,6.0,28.0,30.0,109.0,37.0,1.0,7.0,17.0,22.0,,12.0,2.0,17.0,,7.0,4.0,1.0,,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,,,,,1.0,2.0,,3.0,1.0,,1.0,13.0,2.0,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,3.0,1.0,2.0,,,,,1.0,,,,,,5.0,2.0,,,,,1.0,,,,,,,1.0,,,,,2.0,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,
33,442326,2013-04-13 15:00:00,"St. Mary's Stadium, Southampton",31984,Home,Southampton,West Ham United,1,1,D,0,0,0,0,,56.0,,,3.0,16.0,39.0,11.0,10.0,162.0,3.0,11.0,1.0,7.0,12.0,5.0,107.0,161.0,65.0,19.0,8.0,9.0,,,,2.0,29.0,16.0,21.0,5.0,24.0,26.0,215.0,,0.0,141.0,12.0,2.0,,1.0,5.0,,62.0,60.0,10.0,59.0,,24.0,5.0,2.0,143.0,,5.0,101.0,659.0,11.0,8.0,21.0,14.0,,3.0,19.0,,2.0,3.0,2.0,24.0,51.0,,80447,5.0,131.0,14.0,1.0,,148.0,,5.0,38.0,9.0,3.0,3.0,1.0,8.0,3.0,3.0,40.0,343.0,17.0,5.0,1.0,26.0,70.0,,,0.0,4.0,2.0,1.0,1.0,0.0,3.0,,61.2,22.0,,3.0,11.0,38.0,7.0,,,429.0,17.0,10.0,15.0,3.0,21.0,1.0,310.0,7.0,19.0,14.0,98.0,37.0,,2.0,9.0,23.0,,12.0,2.0,15.0,,2.0,7.0,1.0,1.0,2.0,2.0,,1.0,,,2.0,,,4.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,3.0,2.0,1.0,,,,,,1.0,,1.0,2.0,1.0,,1.0,,,1.0,,,,,,2.0,1.0,,,,,,4.0,1.0,,4.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
34,442335,2013-04-20 15:00:00,"Swansea.com Stadium, Swansea",20561,Away,Southampton,Swansea City,0,0,D,0,0,0,0,,64.0,,1.0,,17.0,25.0,7.0,1.0,170.0,,8.0,,3.0,5.0,4.0,84.0,181.0,65.0,9.0,2.0,18.0,,,,1.0,10.0,16.0,12.0,2.0,12.0,20.0,149.0,,0.0,124.0,13.0,1.0,,,1.0,4.0,35.0,45.0,4.0,64.0,,8.0,3.0,3.0,168.0,1.0,8.0,108.0,640.0,5.0,15.0,36.0,19.0,1.0,7.0,13.0,,0.0,6.0,1.0,23.0,64.0,1.0,80447,1.0,169.0,4.0,1.0,,189.0,,11.0,60.0,5.0,,5.0,,15.0,6.0,3.0,41.0,318.0,12.0,6.0,,31.0,88.0,,,0.0,7.0,2.0,,,0.0,,,45.3,20.0,3.0,5.0,2.0,40.0,2.0,,4.0,426.0,27.0,18.0,13.0,3.0,18.0,,247.0,8.0,12.0,23.0,70.0,33.0,,2.0,5.0,22.0,,5.0,3.0,13.0,,2.0,2.0,,,4.0,2.0,,1.0,,,2.0,,1.0,1.0,,,,1.0,,,1.0,,,3.0,,,,,,,,1.0,2.0,,1.0,3.0,,,,,,,,,,,,1.0,,,,,,2.0,,,2.0,,,1.0,,,,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,
35,442346,2013-04-27 15:00:00,"St. Mary's Stadium, Southampton",31946,Home,Southampton,West Bromwich Albion,0,3,L,0,1,2,1,,69.0,,,,25.0,24.0,10.0,2.0,144.0,8.0,10.0,,2.0,12.0,3.0,120.0,154.0,51.0,17.0,2.0,14.0,,,,1.0,39.0,9.0,17.0,7.0,24.0,29.0,209.0,,0.0,127.0,9.0,5.0,,,1.0,,64.0,48.0,4.0,64.0,3.0,32.0,12.0,8.0,147.0,,9.0,122.0,678.0,12.0,3.0,34.0,26.0,1.0,4.0,10.0,,2.0,1.0,8.0,18.0,46.0,,88900,4.0,167.0,19.0,,,191.0,,5.0,46.0,6.0,2.0,6.0,,12.0,1.0,4.0,46.0,368.0,11.0,7.0,,27.0,60.0,,1.0,0.0,6.0,5.0,,3.0,2.0,7.0,,61.7,18.0,7.0,8.0,2.0,34.0,7.0,,,450.0,28.0,12.0,14.0,12.0,25.0,3.0,298.0,12.0,21.0,16.0,91.0,27.0,,3.0,5.0,14.0,3.0,14.0,3.0,14.0,1.0,3.0,7.0,,,2.0,2.0,1.0,1.0,,1.0,1.0,4.0,,1.0,,1.0,1.0,2.0,,1.0,,,1.0,1.0,3.0,2.0,,1.0,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,2.0,,,2.0,,,2.0,,2.0,,,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,1.0,
36,442356,2013-05-04 15:00:00,"White Hart Lane, London",36190,Away,Southampton,Tottenham Hotspur,0,1,L,0,0,0,0,,62.0,,,1.0,20.0,30.0,3.0,2.0,169.0,3.0,7.0,,4.0,6.0,3.0,89.0,170.0,44.0,8.0,1.0,13.0,,,,2.0,19.0,16.0,20.0,5.0,19.0,29.0,142.0,,0.0,117.0,10.0,,,,3.0,1.0,52.0,69.0,4.0,68.0,,14.0,2.0,1.0,160.0,1.0,2.0,81.0,616.0,5.0,7.0,23.0,21.0,1.0,12.0,10.0,,1.0,2.0,2.0,28.0,65.0,,80447,3.0,167.0,9.0,1.0,,187.0,,10.0,44.0,7.0,2.0,4.0,,9.0,4.0,3.0,50.0,306.0,9.0,3.0,1.0,38.0,88.0,,1.0,0.0,5.0,,,1.0,0.0,2.0,,50.5,26.0,2.0,4.0,2.0,44.0,5.0,,2.0,407.0,19.0,11.0,15.0,3.0,18.0,2.0,239.0,4.0,15.0,7.0,64.0,30.0,,2.0,6.0,21.0,,3.0,2.0,14.0,,2.0,5.0,,1.0,1.0,2.0,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,2.0,2.0,1.0,,,2.0,1.0,2.0,1.0,,,,,1.0,2.0,5.0,2.0,,1.0,,,,,,,,,2.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
37,442368,2013-05-12 15:00:00,"Stadium of Light, Sunderland",41988,Away,Southampton,Sunderland,1,1,D,0,0,0,0,,71.0,,,3.0,27.0,32.0,7.0,5.0,212.0,11.0,9.0,1.0,4.0,10.0,8.0,94.0,212.0,47.0,17.0,3.0,20.0,,,,1.0,33.0,12.0,21.0,10.0,33.0,28.0,182.0,,0.0,140.0,10.0,1.0,,1.0,4.0,1.0,55.0,76.0,9.0,91.0,,23.0,7.0,3.0,201.0,,2.0,113.0,759.0,7.0,16.0,16.0,29.0,1.0,14.0,17.0,,2.0,2.0,1.0,39.0,62.0,,80447,7.0,210.0,12.0,,,246.0,1.0,6.0,58.0,6.0,1.0,6.0,1.0,17.0,4.0,3.0,60.0,381.0,9.0,4.0,3.0,59.0,110.0,,,0.0,3.0,1.0,1.0,1.0,0.0,7.0,,64.0,36.0,3.0,6.0,6.0,54.0,10.0,,1.0,510.0,9.0,12.0,14.0,3.0,21.0,,297.0,8.0,29.0,15.0,91.0,31.0,,7.0,13.0,14.0,1.0,12.0,2.0,21.0,,7.0,10.0,,1.0,3.0,6.0,,,2.0,,1.0,,1.0,2.0,,3.0,,,1.0,2.0,2.0,1.0,,6.0,3.0,,,4.0,1.0,,,1.0,,2.0,2.0,3.0,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,442373,2013-05-19 16:00:00,"St. Mary's Stadium, Southampton",31539,Home,Southampton,Stoke City,1,1,D,0,0,0,0,,42.0,,,,36.0,31.0,4.0,6.0,168.0,3.0,9.0,1.0,2.0,10.0,7.0,156.0,160.0,43.0,12.0,1.0,22.0,,,,1.0,22.0,18.0,16.0,2.0,28.0,29.0,262.0,,0.0,173.0,10.0,,,,2.0,1.0,55.0,96.0,7.0,74.0,,20.0,9.0,3.0,145.0,,4.0,124.0,710.0,9.0,7.0,4.0,23.0,1.0,6.0,21.0,,0.0,,3.0,29.0,88.0,,80447,4.0,177.0,9.0,,,199.0,1.0,4.0,53.0,2.0,3.0,3.0,1.0,16.0,4.0,3.0,59.0,436.0,7.0,5.0,1.0,28.0,63.0,,,0.0,4.0,2.0,1.0,1.0,0.0,3.0,,63.0,28.0,3.0,3.0,1.0,42.0,3.0,,1.0,522.0,4.0,15.0,12.0,4.0,27.0,1.0,345.0,5.0,23.0,7.0,124.0,13.0,1.0,2.0,10.0,20.0,1.0,11.0,3.0,11.0,,2.0,3.0,1.0,5.0,1.0,5.0,,,2.0,,1.0,1.0,,3.0,,,1.0,,,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,
