gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,totalPullBack,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,overrun,savedIbox,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,wonCorners,attIboxTarget,attObxLeft,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,interceptionsInBox,totalKeeperSweeper,errorLeadToShot,attSetpiece,attAssistSetplay,attCorner,attFastbreak,accurateFlickOn,attBxLeft,effectiveBlockedCross,blockedCross,attGoalLowLeft,attGoalLowRight,attLfGoal,goals,goalAssistOpenplay,goalFastbreak,attOneOnOne,midfielderGoals,freekickCross,goalAssist,goalsOpenplay,attSvLowRight,punches,lostCorners,attIboxGoal,goalAssistIntentional,forwardGoals,handBall,bigChanceScored,attGoalLowCentre,postScoringAtt,attIboxPost,attOboxGoal,attSvHighLeft,attGoalHighCentre,subsGoals,attHdTarget,hitWoodwork,accurateFreekickCross,attRfGoal,attFreekickGoal,goalsConceded,attCmissHighRight,attPostRight,goalsConcededIbox,errorLeadToGoal,attGoalHighRight,ptsGainedLosingPos,defenderGoals,attFreekickTarget,goalsConcededObox,attSvHighRight,contentiousDecision,attGoalHighLeft,shieldBallOop,attHdPost,attObxdLeft,attPostHigh,secondYellow,attPostLeft,penaltyConceded,penaltyFaced,goalAssistSetplay,goalAssistDeadball,attPenTarget,penaltyWon,attCmissHighLeft,foulThrowIn,penGoalsConceded,attHdGoal,ptsDroppedWinningPos,attPenGoal,clearanceOffLine,penaltySave,attOboxPost
27,442259,2013-02-23 15:00:00,"Emirates Stadium, London",60079,Home,Arsenal,Aston Villa,2,1,W,1,0,0,0,3.0,65.0,1.0,3.0,39.0,20.0,9.0,12.0,17.0,2.0,1.0,194.0,9.0,14.0,3.0,23.0,1.0,,7.0,177.0,135.0,59.0,1.0,26.0,5.0,11.0,4.0,7.0,50.0,17.0,1.0,15.0,12.0,30.0,29.0,372.0,1.0,,0.0,229.0,7.0,2.0,2.0,1.0,,85.0,105.0,12.0,75.0,1.0,38.0,9.0,1.0,6.0,3.0,135.0,4.0,6.0,157.0,829.0,18.0,8.0,54.0,21.0,527.0,25.0,2.0,4.0,12.0,1.0,2.0,10.0,12.0,591.0,69.0,8.0,8758,7.0,175.0,3.0,30.0,,184.0,3.0,4.0,44.0,,14.0,3.0,2.0,7.0,2.0,3.0,,44.0,538.0,10.0,9.0,10.0,79.0,5.0,0.0,1.0,1.0,0.0,4.0,4.0,63.9,12.0,3.0,7.0,1.0,3.0,8.0,62.0,12.0,,603.0,14.0,,8.0,23.0,11.0,57.0,5.0,8.0,469.0,10.0,28.0,16.0,189.0,28.0,9.0,19.0,22.0,3.0,23.0,12.0,4.0,,2.0,2.0,1.0,1.0,2.0,,,3.0,3.0,2.0,3.0,3.0,,2.0,,2.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,,3.0,2.0,1.0,,,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
28,442277,2013-03-03 16:00:00,"White Hart Lane, London",36170,Away,Arsenal,Tottenham Hotspur,1,2,L,0,2,0,0,,50.0,2.0,4.0,49.0,19.0,4.0,4.0,7.0,2.0,,194.0,4.0,12.0,5.0,8.0,,,2.0,137.0,146.0,69.0,1.0,11.0,1.0,17.0,1.0,2.0,25.0,10.0,,12.0,5.0,13.0,29.0,235.0,,,0.0,155.0,13.0,,2.0,,1.0,67.0,66.0,7.0,77.0,,20.0,4.0,1.0,3.0,3.0,146.0,,6.0,106.0,715.0,6.0,11.0,22.0,19.0,402.0,12.0,1.0,10.0,10.0,1.0,2.0,1.0,21.0,487.0,74.0,4.0,8758,5.0,193.0,,13.0,,210.0,,10.0,57.0,,9.0,2.0,7.0,9.0,5.0,8.0,1.0,69.0,424.0,18.0,6.0,25.0,97.0,2.0,0.0,1.0,,0.0,2.0,3.0,60.5,19.0,1.0,2.0,,7.0,5.0,65.0,6.0,1.0,514.0,15.0,1.0,11.0,17.0,4.0,42.0,2.0,1.0,329.0,4.0,10.0,25.0,106.0,28.0,5.0,14.0,7.0,2.0,22.0,6.0,1.0,,,3.0,,,4.0,1.0,1.0,1.0,2.0,,4.0,1.0,5.0,5.0,,1.0,,1.0,,,,,4.0,1.0,,,,4.0,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,2.0,,,2.0,,,,1.0,,,1.0,,,2.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,
29,442279,2013-04-16 19:45:00,"Emirates Stadium, London",60071,Home,Arsenal,Everton,0,0,D,0,0,0,0,,68.0,2.0,3.0,32.0,18.0,2.0,4.0,9.0,2.0,2.0,184.0,6.0,11.0,4.0,11.0,,,2.0,135.0,172.0,60.0,,11.0,1.0,12.0,1.0,1.0,31.0,13.0,,14.0,8.0,24.0,33.0,239.0,,1.0,0.0,171.0,11.0,1.0,2.0,1.0,,66.0,71.0,6.0,71.0,1.0,23.0,2.0,,4.0,1.0,172.0,2.0,3.0,122.0,757.0,8.0,6.0,33.0,16.0,416.0,29.0,,8.0,11.0,2.0,5.0,5.0,30.0,496.0,77.0,2.0,8758,3.0,191.0,2.0,15.0,2.0,210.0,,5.0,64.0,,5.0,1.0,9.0,17.0,9.0,1.0,3.0,53.0,424.0,13.0,8.0,17.0,84.0,,0.0,3.0,,0.0,2.0,3.0,56.8,26.0,1.0,4.0,,10.0,4.0,58.0,8.0,,512.0,11.0,,12.0,18.0,5.0,39.0,4.0,4.0,333.0,4.0,22.0,17.0,121.0,22.0,8.0,19.0,7.0,3.0,32.0,8.0,2.0,,,,1.0,1.0,,,,3.0,4.0,,3.0,2.0,1.0,2.0,,,,,,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
30,442296,2013-03-16 15:00:00,"Swansea.com Stadium, Swansea",20583,Away,Arsenal,Swansea City,2,0,W,0,0,0,0,2.0,59.0,,,34.0,8.0,9.0,7.0,7.0,,2.0,167.0,1.0,13.0,1.0,13.0,,,6.0,120.0,126.0,42.0,1.0,16.0,5.0,7.0,,1.0,19.0,10.0,2.0,4.0,6.0,21.0,13.0,244.0,,1.0,0.0,173.0,8.0,,3.0,2.0,,79.0,56.0,8.0,82.0,1.0,13.0,9.0,1.0,1.0,1.0,126.0,1.0,4.0,98.0,631.0,10.0,9.0,25.0,14.0,382.0,27.0,,10.0,6.0,1.0,2.0,5.0,20.0,451.0,73.0,1.0,8758,3.0,150.0,,12.0,,161.0,2.0,13.0,35.0,,6.0,1.0,3.0,10.0,5.0,9.0,1.0,54.0,393.0,2.0,5.0,20.0,79.0,1.0,0.0,3.0,,0.0,,1.0,43.1,17.0,1.0,7.0,1.0,4.0,5.0,50.0,7.0,,467.0,13.0,,5.0,5.0,5.0,27.0,1.0,2.0,325.0,8.0,19.0,14.0,135.0,21.0,4.0,13.0,14.0,3.0,24.0,8.0,2.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,2.0,3.0,3.0,4.0,4.0,,1.0,1.0,2.0,2.0,1.0,1.0,,,2.0,2.0,1.0,,3.0,2.0,2.0,,1.0,1.0,1.0,2.0,1.0,,,,1.0,,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0
31,442299,2013-03-30 15:00:00,"Emirates Stadium, London",60082,Home,Arsenal,Reading,4,1,W,1,0,0,0,1.0,56.0,,7.0,27.0,14.0,7.0,12.0,19.0,1.0,,226.0,6.0,5.0,5.0,17.0,2.0,2.0,6.0,176.0,140.0,47.0,,26.0,4.0,18.0,2.0,3.0,28.0,11.0,,5.0,9.0,45.0,23.0,390.0,,,0.0,252.0,10.0,,6.0,,2.0,59.0,96.0,10.0,103.0,4.0,19.0,7.0,,6.0,2.0,140.0,2.0,4.0,171.0,870.0,14.0,9.0,58.0,20.0,579.0,15.0,,5.0,7.0,0.0,,7.0,18.0,654.0,75.0,2.0,8758,13.0,209.0,1.0,12.0,1.0,226.0,4.0,3.0,50.0,,2.0,3.0,8.0,11.0,1.0,2.0,2.0,42.0,593.0,14.0,4.0,20.0,89.0,1.0,0.0,1.0,1.0,0.0,4.0,4.0,70.1,17.0,2.0,7.0,1.0,8.0,11.0,62.0,11.0,2.0,676.0,15.0,,6.0,15.0,9.0,49.0,2.0,7.0,478.0,10.0,40.0,17.0,212.0,20.0,2.0,11.0,23.0,3.0,18.0,11.0,2.0,,4.0,,1.0,1.0,,,,,2.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,,,3.0,3.0,2.0,1.0,1.0,2.0,,,,1.0,,1.0,,1.0,,,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,
32,442318,2013-04-06 15:00:00,"The Hawthorns, West Bromwich",26144,Away,Arsenal,West Bromwich Albion,2,1,W,1,0,1,0,,62.0,2.0,,27.0,41.0,2.0,2.0,9.0,3.0,4.0,170.0,2.0,6.0,,9.0,,1.0,6.0,91.0,143.0,40.0,,11.0,,11.0,1.0,1.0,12.0,13.0,1.0,19.0,4.0,28.0,19.0,205.0,,,0.0,141.0,16.0,3.0,4.0,1.0,2.0,46.0,63.0,5.0,60.0,2.0,8.0,2.0,,1.0,1.0,143.0,2.0,12.0,112.0,605.0,7.0,6.0,11.0,13.0,320.0,23.0,1.0,7.0,18.0,4.0,2.0,4.0,12.0,404.0,65.0,1.0,8758,4.0,130.0,1.0,7.0,,155.0,,14.0,45.0,,2.0,1.0,3.0,11.0,7.0,6.0,1.0,61.0,333.0,6.0,4.0,36.0,83.0,,0.0,3.0,2.0,1.0,1.0,2.0,48.1,9.0,1.0,4.0,,3.0,,43.0,4.0,2.0,433.0,10.0,,6.0,13.0,5.0,22.0,1.0,4.0,290.0,7.0,23.0,13.0,95.0,21.0,7.0,15.0,10.0,3.0,15.0,4.0,3.0,,3.0,2.0,2.0,3.0,2.0,,,1.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,,,2.0,1.0,,1.0,2.0,,1.0,2.0,1.0,2.0,6.0,2.0,1.0,,1.0,2.0,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,,
33,442319,2013-04-13 15:00:00,"Emirates Stadium, London",60095,Home,Arsenal,Norwich City,3,1,W,0,0,0,0,4.0,64.0,,3.0,25.0,15.0,3.0,8.0,11.0,3.0,,194.0,10.0,6.0,5.0,12.0,2.0,,7.0,175.0,156.0,55.0,,14.0,1.0,15.0,1.0,1.0,30.0,20.0,1.0,9.0,8.0,24.0,29.0,335.0,,,0.0,231.0,10.0,1.0,1.0,,,69.0,103.0,9.0,79.0,1.0,22.0,3.0,,4.0,,156.0,1.0,4.0,172.0,819.0,9.0,9.0,51.0,13.0,521.0,23.0,,4.0,8.0,1.0,1.0,3.0,19.0,608.0,81.0,2.0,8758,6.0,201.0,1.0,15.0,1.0,224.0,4.0,4.0,44.0,,5.0,3.0,5.0,19.0,1.0,1.0,,45.0,526.0,10.0,1.0,14.0,75.0,,0.0,1.0,3.0,0.0,8.0,2.0,67.9,19.0,1.0,4.0,2.0,5.0,4.0,52.0,9.0,,620.0,10.0,,9.0,15.0,3.0,45.0,2.0,2.0,426.0,4.0,21.0,14.0,178.0,32.0,3.0,25.0,10.0,3.0,16.0,9.0,3.0,,,1.0,2.0,1.0,1.0,,,1.0,3.0,,5.0,1.0,,,,2.0,2.0,3.0,2.0,,1.0,1.0,3.0,2.0,2.0,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,1.0,1.0,,1.0,,,1.0,,,3.0,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,1.0,,,
34,442329,2013-04-20 15:00:00,"Craven Cottage, London",25700,Away,Arsenal,Fulham,1,0,W,1,0,1,1,,55.0,2.0,2.0,37.0,24.0,4.0,3.0,7.0,3.0,2.0,245.0,2.0,12.0,5.0,9.0,,1.0,3.0,212.0,128.0,50.0,1.0,11.0,2.0,7.0,1.0,,21.0,12.0,2.0,17.0,3.0,47.0,15.0,440.0,,1.0,0.0,237.0,9.0,3.0,3.0,2.0,,137.0,87.0,5.0,120.0,2.0,18.0,4.0,1.0,4.0,,128.0,2.0,2.0,194.0,957.0,6.0,5.0,22.0,17.0,679.0,27.0,,5.0,14.0,2.0,2.0,4.0,19.0,759.0,77.0,1.0,8758,2.0,253.0,1.0,12.0,,269.0,,3.0,42.0,,5.0,3.0,4.0,6.0,5.0,3.0,1.0,48.0,691.0,12.0,10.0,16.0,97.0,,0.0,1.0,1.0,1.0,2.0,3.0,71.2,17.0,2.0,5.0,,4.0,4.0,76.0,3.0,,771.0,10.0,,5.0,11.0,4.0,31.0,,3.0,523.0,5.0,44.0,12.0,198.0,19.0,8.0,14.0,6.0,3.0,24.0,3.0,,,1.0,1.0,,3.0,1.0,1.0,4.0,2.0,,1.0,2.0,2.0,,3.0,,,,1.0,,,,,2.0,1.0,,,1.0,7.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,2.0,,3.0,,,,,,,,1.0,,,,,,,1.0,,,,,
35,442339,2013-04-28 16:00:00,"Emirates Stadium, London",60112,Home,Arsenal,Manchester United,1,1,D,1,1,0,0,2.0,57.0,1.0,2.0,29.0,19.0,12.0,5.0,7.0,3.0,3.0,191.0,2.0,8.0,3.0,17.0,,,6.0,130.0,145.0,47.0,1.0,19.0,5.0,19.0,2.0,4.0,20.0,13.0,4.0,6.0,7.0,21.0,26.0,259.0,,,0.0,210.0,11.0,1.0,1.0,,1.0,40.0,106.0,12.0,68.0,1.0,13.0,12.0,1.0,3.0,3.0,145.0,1.0,9.0,118.0,687.0,15.0,12.0,20.0,16.0,397.0,14.0,,4.0,4.0,3.0,3.0,5.0,23.0,490.0,76.0,1.0,8758,3.0,150.0,,9.0,,165.0,,8.0,55.0,,6.0,1.0,3.0,6.0,3.0,4.0,1.0,58.0,407.0,11.0,10.0,21.0,82.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,51.8,20.0,1.0,6.0,,3.0,7.0,48.0,7.0,1.0,507.0,13.0,1.0,5.0,10.0,6.0,30.0,1.0,3.0,362.0,13.0,20.0,10.0,150.0,31.0,,18.0,15.0,3.0,18.0,7.0,1.0,,1.0,2.0,2.0,,2.0,,,1.0,3.0,1.0,7.0,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,1.0,,2.0,,,,
36,442353,2013-05-04 17:30:00,"MATRADE Loftus Road, London",18178,Away,Arsenal,Queens Park Rangers,1,0,W,1,0,0,0,1.0,71.0,4.0,,34.0,25.0,8.0,3.0,4.0,4.0,5.0,202.0,2.0,9.0,3.0,8.0,,,7.0,169.0,166.0,60.0,1.0,12.0,5.0,10.0,,,17.0,16.0,3.0,11.0,6.0,18.0,28.0,325.0,,1.0,0.0,241.0,9.0,2.0,,2.0,1.0,67.0,95.0,8.0,73.0,,11.0,8.0,1.0,2.0,,166.0,1.0,3.0,146.0,814.0,7.0,11.0,25.0,24.0,479.0,26.0,,6.0,13.0,1.0,3.0,,17.0,571.0,78.0,3.0,8758,2.0,166.0,,8.0,,189.0,3.0,8.0,48.0,,5.0,5.0,5.0,16.0,10.0,3.0,,65.0,489.0,8.0,9.0,21.0,75.0,,0.0,1.0,,0.0,2.0,,58.8,14.0,,3.0,,7.0,5.0,40.0,7.0,1.0,590.0,17.0,,10.0,13.0,,28.0,,,418.0,9.0,17.0,21.0,190.0,29.0,6.0,22.0,10.0,3.0,22.0,7.0,3.0,,,2.0,2.0,,2.0,,,,1.0,,5.0,2.0,3.0,5.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,,3.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
37,442359,2013-05-14 19:45:00,"Emirates Stadium, London",60068,Home,Arsenal,Wigan Athletic,4,1,W,1,1,0,0,1.0,60.0,,2.0,32.0,14.0,7.0,4.0,14.0,1.0,4.0,171.0,9.0,5.0,1.0,14.0,1.0,1.0,10.0,106.0,144.0,52.0,,21.0,2.0,10.0,2.0,4.0,25.0,20.0,2.0,12.0,7.0,20.0,30.0,240.0,2.0,,0.0,152.0,12.0,1.0,1.0,2.0,1.0,69.0,76.0,9.0,57.0,1.0,18.0,7.0,,4.0,3.0,144.0,5.0,4.0,124.0,658.0,10.0,7.0,25.0,21.0,354.0,31.0,,2.0,6.0,0.0,4.0,5.0,23.0,441.0,57.0,2.0,8758,8.0,134.0,2.0,14.0,,154.0,1.0,6.0,43.0,,4.0,2.0,3.0,9.0,7.0,2.0,,55.0,365.0,11.0,10.0,15.0,72.0,1.0,0.0,3.0,1.0,0.0,6.0,4.0,47.5,16.0,2.0,1.0,1.0,4.0,4.0,36.0,7.0,1.0,458.0,15.0,,6.0,13.0,7.0,28.0,3.0,4.0,329.0,13.0,19.0,12.0,120.0,24.0,4.0,24.0,19.0,3.0,12.0,7.0,4.0,,1.0,1.0,3.0,1.0,1.0,,,,2.0,1.0,2.0,,,3.0,2.0,,2.0,4.0,3.0,,2.0,2.0,,4.0,3.0,,,4.0,4.0,4.0,2.0,2.0,4.0,,,,,,1.0,,1.0,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,2.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,
38,442372,2013-05-19 16:00:00,"St. James' Park, Newcastle",52354,Away,Arsenal,Newcastle United,1,0,W,0,0,0,0,,58.0,1.0,1.0,26.0,18.0,3.0,2.0,7.0,1.0,1.0,177.0,4.0,14.0,4.0,6.0,,1.0,2.0,116.0,138.0,85.0,1.0,10.0,1.0,13.0,2.0,,12.0,28.0,,9.0,3.0,22.0,32.0,219.0,1.0,1.0,0.0,144.0,10.0,1.0,1.0,1.0,1.0,34.0,89.0,2.0,60.0,2.0,9.0,3.0,1.0,3.0,2.0,138.0,,3.0,110.0,663.0,3.0,5.0,14.0,11.0,354.0,22.0,,4.0,12.0,2.0,2.0,4.0,17.0,442.0,68.0,,8758,2.0,154.0,1.0,4.0,,174.0,,5.0,57.0,,3.0,2.0,9.0,10.0,4.0,4.0,2.0,49.0,369.0,17.0,14.0,22.0,74.0,,0.0,2.0,,0.0,2.0,2.0,49.3,15.0,1.0,3.0,,9.0,2.0,43.0,4.0,1.0,463.0,10.0,,7.0,21.0,6.0,18.0,2.0,3.0,301.0,6.0,21.0,22.0,93.0,24.0,6.0,32.0,4.0,3.0,27.0,4.0,1.0,,,2.0,,1.0,2.0,,3.0,3.0,2.0,,1.0,1.0,,1.0,,,,1.0,,,1.0,,2.0,,,,,4.0,1.0,,,,1.0,,1.0,1.0,,,1.0,,,1.0,2.0,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
