gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attSvHighRight,cleanSheet,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,totalThrows,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attRfGoal,totalPullBack,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,attemptsIbox,saves,attRfTarget,attGoalLowCentre,attGoalHighRight,winningGoal,attSvLowLeft,interceptionsInBox,attMissRight,attemptsObox,attGoalHighCentre,keeperGoals,subsGoals,attLgCentre,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,successfulOpenPlayPass,openPlayPass,attSetpiece,ownGoals,defenderGoals,attObpGoal,attFreekickGoal,goalsConceded,attSvHighCentre,attFreekickMiss,attIboxMiss,goalsConcededIbox,ptsDroppedWinningPos,attBxRight,attMissLeft,offtargetAttAssist,attAssistSetplay,accurateFlickOn,shieldBallOop,errorLeadToGoal,shotFastbreak,postScoringAtt,attIboxPost,totalFastbreak,attHdPost,errorLeadToShot,attFastbreak,attCmissLeft,attPostHigh,attHdMiss,attMissHighRight,contentiousDecision,accuratePullBack,attCmissRight,sixYardBlock,handBall,attSvHighLeft,clearanceOffLine,penaltySave,ptsGainedLosingPos,penaltyConceded,attCorner,penaltyFaced,attCmissHighRight,attPostLeft,attOboxPost,penGoalsConceded,attObxLeft,goalFastbreak,attCmissHighLeft,attPostRight
28,442275,2013-03-02 15:00:00,"Stadium of Light, Sunderland",39312,Away,Fulham,Sunderland,2,2,D,2,1,0,0,,2.0,63.0,,1.0,,1.0,,,25.0,45.0,3.0,4.0,1.0,136.0,3.0,7.0,2.0,1.0,7.0,5.0,110.0,159.0,56.0,,10.0,1.0,15.0,2.0,,,2.0,17.0,15.0,1.0,17.0,3.0,8.0,32.0,,181.0,,,,1.0,0.0,104.0,14.0,1.0,,,3.0,58.0,52.0,5.0,71.0,14.0,,2.0,1.0,131.0,1.0,11.0,122.0,650.0,7.0,17.0,30.0,,4.0,27.0,,,3.0,5.0,16.0,47.0,1.0,,88734,3.0,184.0,1.0,12.0,199.0,1.0,,13.0,58.0,,1.0,1.0,3.0,1.0,6.0,7.0,6.0,,1.0,51.0,362.0,9.0,8.0,25.0,89.0,,1.0,,0.0,,2.0,7.0,3.0,2.0,0.0,2.0,,,50.5,15.0,,1.0,5.0,2.0,46.0,3.0,3.0,439.0,13.0,13.0,22.0,3.0,10.0,1.0,257.0,6.0,8.0,21.0,76.0,23.0,1.0,6.0,11.0,19.0,,8.0,3.0,15.0,6.0,3.0,,,,3.0,1.0,,,,2.0,1.0,,,,,,10.0,,,,,,,,1.0,,,2.0,,,2.0,2.0,,2.0,1.0,2.0,,2.0,,,3.0,,,3.0,,,3.0,,,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,,1.0,,1.0,,
29,442280,2013-04-17 20:00:00,"Craven Cottage, London",25002,Home,Fulham,Chelsea,0,3,L,0,2,0,0,1.0,,62.0,,,1.0,1.0,,,50.0,17.0,8.0,2.0,,137.0,3.0,6.0,,4.0,9.0,2.0,142.0,146.0,47.0,2.0,11.0,4.0,11.0,1.0,,,,17.0,19.0,1.0,11.0,6.0,10.0,44.0,,201.0,,,,,0.0,125.0,14.0,1.0,,2.0,2.0,66.0,62.0,5.0,64.0,11.0,2.0,3.0,3.0,140.0,1.0,10.0,126.0,681.0,8.0,24.0,27.0,1.0,7.0,11.0,,,2.0,4.0,30.0,64.0,,,88734,,195.0,1.0,6.0,209.0,,,9.0,61.0,1.0,3.0,3.0,8.0,,12.0,7.0,4.0,1.0,,67.0,393.0,13.0,14.0,19.0,80.0,,,,0.0,,2.0,5.0,3.0,,0.0,2.0,,,52.8,26.0,2.0,1.0,8.0,5.0,51.0,6.0,2.0,469.0,15.0,15.0,25.0,4.0,18.0,1.0,277.0,8.0,10.0,5.0,85.0,23.0,,1.0,9.0,23.0,,7.0,3.0,15.0,1.0,6.0,1.0,,,1.0,,,,2.0,4.0,1.0,,,,,,3.0,,,,,,,,,,,3.0,,,1.0,2.0,,,1.0,4.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
30,442297,2013-03-17 15:00:00,"White Hart Lane, London",36004,Away,Fulham,Tottenham Hotspur,1,0,W,0,0,0,0,,1.0,56.0,1.0,,1.0,,,,18.0,40.0,3.0,2.0,,130.0,5.0,7.0,1.0,,5.0,2.0,79.0,157.0,55.0,,7.0,,7.0,,2.0,1.0,,15.0,14.0,1.0,23.0,5.0,10.0,32.0,,110.0,,1.0,,,0.0,86.0,8.0,2.0,,,1.0,29.0,67.0,2.0,59.0,10.0,,,3.0,140.0,2.0,6.0,76.0,570.0,4.0,27.0,25.0,1.0,5.0,23.0,1.0,2.0,1.0,2.0,33.0,55.0,,,88734,2.0,152.0,1.0,10.0,174.0,1.0,,13.0,31.0,,1.0,4.0,4.0,1.0,14.0,9.0,8.0,1.0,,49.0,257.0,10.0,6.0,24.0,80.0,,1.0,,0.0,,1.0,5.0,2.0,1.0,0.0,2.0,1.0,2.0,40.5,27.0,2.0,,4.0,,37.0,5.0,1.0,344.0,16.0,8.0,12.0,5.0,10.0,3.0,185.0,3.0,10.0,18.0,47.0,21.0,1.0,5.0,13.0,20.0,,5.0,2.0,12.0,5.0,5.0,,,,1.0,,,,,,2.0,,,,,1.0,7.0,,,,,,,,,,,,,,2.0,,,,1.0,3.0,,2.0,1.0,,,,,1.0,,,,1.0,,2.0,,1.0,,2.0,,3.0,,,,,,,,,,,,,,,
31,442302,2013-04-01 20:00:00,"Craven Cottage, London",25117,Home,Fulham,Queens Park Rangers,3,2,W,3,1,1,0,,1.0,60.0,1.0,1.0,4.0,1.0,,,22.0,41.0,4.0,3.0,,125.0,3.0,7.0,3.0,4.0,6.0,3.0,97.0,152.0,51.0,1.0,9.0,1.0,9.0,,,,,16.0,13.0,1.0,21.0,3.0,13.0,16.0,,196.0,,,,1.0,0.0,111.0,12.0,3.0,,2.0,2.0,56.0,79.0,3.0,81.0,13.0,1.0,2.0,2.0,132.0,,8.0,101.0,605.0,4.0,12.0,22.0,,5.0,25.0,,,2.0,7.0,21.0,52.0,1.0,1.0,88734,5.0,137.0,,9.0,151.0,2.0,1.0,10.0,52.0,,3.0,6.0,2.0,1.0,5.0,13.0,3.0,,1.0,40.0,330.0,7.0,15.0,22.0,77.0,,,,0.0,,6.0,6.0,1.0,3.0,1.0,1.0,,1.0,48.3,16.0,2.0,,2.0,2.0,41.0,3.0,2.0,404.0,9.0,11.0,11.0,4.0,12.0,2.0,269.0,4.0,13.0,20.0,79.0,27.0,2.0,2.0,13.0,17.0,,5.0,2.0,12.0,2.0,3.0,1.0,,,1.0,,,,1.0,2.0,3.0,,,,,,8.0,,,,,,1.0,,,,,2.0,,1.0,2.0,1.0,,,1.0,3.0,2.0,2.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,,2.0,,2.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,
32,442312,2013-04-07 15:00:00,"St. James' Park, Newcastle",51847,Away,Fulham,Newcastle United,0,1,L,0,0,0,0,,,45.0,,,,2.0,,,29.0,46.0,3.0,5.0,,146.0,4.0,3.0,,3.0,4.0,2.0,105.0,149.0,55.0,,8.0,,15.0,2.0,,,1.0,12.0,14.0,,22.0,3.0,16.0,21.0,,162.0,,,,,0.0,97.0,11.0,3.0,,1.0,2.0,29.0,84.0,3.0,83.0,9.0,,4.0,3.0,125.0,3.0,17.0,98.0,634.0,2.0,11.0,22.0,,9.0,21.0,,,2.0,7.0,16.0,46.0,,1.0,88734,3.0,195.0,3.0,4.0,214.0,,,14.0,58.0,1.0,1.0,,2.0,,5.0,11.0,6.0,1.0,,53.0,353.0,13.0,12.0,27.0,81.0,,,,0.0,,2.0,10.0,4.0,,0.0,2.0,,1.0,50.4,13.0,,1.0,2.0,2.0,43.0,3.0,4.0,432.0,8.0,16.0,12.0,4.0,12.0,2.0,230.0,2.0,15.0,19.0,64.0,11.0,,8.0,15.0,20.0,,4.0,2.0,7.0,8.0,3.0,,,,1.0,,,,,1.0,1.0,,,,,,6.0,,1.0,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,,2.0,1.0,2.0,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
33,442320,2013-04-13 15:00:00,"Villa Park, Birmingham",37011,Away,Fulham,Aston Villa,1,1,D,0,0,0,0,,,55.0,,,1.0,2.0,,,25.0,40.0,4.0,2.0,,140.0,2.0,6.0,1.0,,8.0,,113.0,145.0,43.0,,10.0,1.0,12.0,,,,,15.0,12.0,,26.0,3.0,18.0,30.0,1.0,197.0,,,,,0.0,111.0,15.0,,,,3.0,40.0,84.0,2.0,87.0,12.0,,7.0,3.0,131.0,2.0,8.0,135.0,665.0,8.0,20.0,28.0,,4.0,20.0,,,2.0,5.0,18.0,50.0,2.0,,88734,2.0,199.0,2.0,5.0,223.0,,1.0,10.0,55.0,,2.0,2.0,6.0,,8.0,10.0,4.0,,,44.0,394.0,5.0,9.0,19.0,85.0,,,2.0,0.0,,1.0,8.0,2.0,1.0,0.0,2.0,,,51.3,17.0,1.0,,6.0,3.0,49.0,5.0,3.0,475.0,10.0,12.0,21.0,7.0,19.0,,267.0,8.0,18.0,17.0,75.0,20.0,,2.0,16.0,15.0,,10.0,3.0,13.0,2.0,5.0,,,,,,,,,4.0,3.0,,,,,,7.0,,,1.0,,,,,,,,1.0,,,3.0,1.0,,3.0,3.0,6.0,,5.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0
34,442329,2013-04-20 15:00:00,"Craven Cottage, London",25700,Home,Fulham,Arsenal,0,1,L,0,1,1,1,2.0,,59.0,,,2.0,1.0,,,24.0,19.0,5.0,5.0,,114.0,3.0,10.0,,3.0,1.0,3.0,71.0,123.0,42.0,3.0,7.0,1.0,12.0,1.0,,,,21.0,16.0,2.0,8.0,6.0,12.0,20.0,,99.0,,,,,0.0,73.0,12.0,1.0,,,,24.0,53.0,1.0,52.0,15.0,3.0,6.0,2.0,123.0,,7.0,57.0,485.0,1.0,35.0,29.0,,3.0,11.0,,,0.0,4.0,13.0,40.0,1.0,,88734,1.0,130.0,,9.0,145.0,,1.0,9.0,50.0,1.0,1.0,8.0,7.0,,12.0,4.0,7.0,1.0,,44.0,226.0,8.0,12.0,20.0,57.0,,3.0,,0.0,1.0,2.0,3.0,,,1.0,3.0,,,28.8,12.0,2.0,1.0,7.0,2.0,27.0,7.0,1.0,294.0,20.0,8.0,13.0,2.0,23.0,,170.0,2.0,12.0,7.0,43.0,18.0,,3.0,6.0,17.0,,3.0,2.0,16.0,3.0,7.0,,2.0,2.0,1.0,,,,,3.0,,5.0,,,,,3.0,10.0,,,210.0,276.0,,,,,,1.0,,1.0,,1.0,,,1.0,,,,,,2.0,,,3.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
35,442342,2013-04-27 15:00:00,"Goodison Park, Liverpool",34563,Away,Fulham,Everton,0,1,L,0,1,0,0,,,42.0,,,,1.0,,,20.0,34.0,3.0,4.0,,131.0,3.0,5.0,,2.0,3.0,,89.0,138.0,35.0,1.0,6.0,2.0,8.0,,,,,13.0,13.0,,21.0,2.0,15.0,23.0,,127.0,,,,,0.0,89.0,17.0,1.0,,2.0,,37.0,40.0,1.0,55.0,11.0,1.0,3.0,1.0,125.0,,14.0,89.0,562.0,3.0,22.0,19.0,,9.0,7.0,,,3.0,6.0,23.0,41.0,,,88734,2.0,167.0,,6.0,183.0,,,15.0,54.0,,1.0,4.0,3.0,,9.0,7.0,10.0,1.0,,37.0,291.0,12.0,7.0,22.0,67.0,,,3.0,0.0,,,7.0,3.0,,0.0,2.0,,1.0,46.1,22.0,,1.0,3.0,3.0,34.0,2.0,,364.0,13.0,15.0,8.0,3.0,14.0,1.0,194.0,1.0,14.0,4.0,54.0,18.0,,4.0,5.0,14.0,,5.0,3.0,13.0,4.0,2.0,,,,,,,,,3.0,,,,,,,4.0,,,,,,,,,,,1.0,,,2.0,1.0,,,2.0,2.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
36,442349,2013-05-04 15:00:00,"Craven Cottage, London",24087,Home,Fulham,Reading,2,4,L,0,1,0,0,4.0,1.0,48.0,,1.0,4.0,2.0,,,40.0,25.0,7.0,10.0,,153.0,11.0,3.0,2.0,2.0,17.0,10.0,109.0,148.0,44.0,1.0,22.0,3.0,8.0,6.0,,2.0,3.0,34.0,11.0,2.0,13.0,3.0,9.0,37.0,1.0,182.0,3.0,,,,0.0,133.0,16.0,,,1.0,1.0,44.0,52.0,13.0,54.0,31.0,1.0,6.0,2.0,136.0,4.0,12.0,93.0,620.0,13.0,14.0,24.0,1.0,11.0,9.0,2.0,,2.0,5.0,21.0,69.0,,,88734,9.0,159.0,3.0,24.0,173.0,1.0,,11.0,42.0,,1.0,2.0,3.0,2.0,12.0,9.0,4.0,2.0,,59.0,330.0,6.0,6.0,24.0,85.0,,2.0,,0.0,,,3.0,2.0,2.0,0.0,10.0,2.0,4.0,49.0,21.0,,1.0,3.0,5.0,45.0,3.0,1.0,409.0,9.0,5.0,20.0,7.0,26.0,1.0,270.0,8.0,8.0,17.0,91.0,15.0,2.0,2.0,7.0,18.0,1.0,18.0,3.0,11.0,2.0,3.0,,,,3.0,1.0,,,,2.0,1.0,,,,,,11.0,,1.0,2.0,,,2.0,,,,,4.0,,1.0,3.0,4.0,,2.0,1.0,4.0,2.0,5.0,,,,2.0,2.0,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0
37,442362,2013-05-12 15:00:00,"Craven Cottage, London",25640,Home,Fulham,Liverpool,1,3,L,1,1,0,0,1.0,1.0,49.0,1.0,,1.0,1.0,,,40.0,26.0,7.0,4.0,,129.0,4.0,11.0,1.0,3.0,7.0,5.0,153.0,129.0,41.0,1.0,10.0,2.0,4.0,1.0,1.0,1.0,2.0,21.0,11.0,3.0,13.0,7.0,18.0,35.0,,235.0,,,,,0.0,117.0,1.0,3.0,,1.0,,50.0,105.0,6.0,97.0,14.0,1.0,4.0,2.0,116.0,1.0,15.0,134.0,703.0,5.0,16.0,22.0,,3.0,13.0,1.0,2.0,0.0,6.0,23.0,51.0,,,88734,1.0,220.0,,9.0,232.0,,,8.0,42.0,,,3.0,3.0,1.0,6.0,5.0,6.0,1.0,,60.0,451.0,11.0,14.0,14.0,62.0,,2.0,,0.0,1.0,2.0,8.0,3.0,1.0,0.0,2.0,1.0,2.0,48.4,22.0,3.0,1.0,3.0,3.0,40.0,7.0,,513.0,12.0,14.0,17.0,2.0,15.0,2.0,302.0,4.0,18.0,5.0,82.0,20.0,1.0,1.0,7.0,14.0,1.0,7.0,3.0,20.0,1.0,7.0,,,,2.0,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,3.0,,,,3.0,,,,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
38,442374,2013-05-19 16:00:00,"Swansea.com Stadium, Swansea",20365,Away,Fulham,Swansea City,3,0,W,1,0,0,0,1.0,2.0,79.0,,1.0,2.0,1.0,,,27.0,44.0,3.0,7.0,2.0,133.0,2.0,9.0,3.0,2.0,6.0,5.0,88.0,139.0,50.0,1.0,9.0,,5.0,2.0,,2.0,,5.0,15.0,,20.0,,17.0,24.0,2.0,107.0,,1.0,1.0,,0.0,49.0,10.0,2.0,2.0,,3.0,26.0,45.0,4.0,62.0,5.0,1.0,1.0,1.0,115.0,2.0,16.0,84.0,573.0,3.0,12.0,39.0,,9.0,21.0,2.0,,1.0,6.0,9.0,36.0,4.0,,88734,3.0,193.0,1.0,4.0,222.0,1.0,,13.0,39.0,,5.0,1.0,5.0,3.0,12.0,11.0,8.0,,,52.0,298.0,12.0,3.0,25.0,73.0,,1.0,,0.0,,1.0,8.0,8.0,2.0,0.0,2.0,2.0,,35.6,7.0,1.0,2.0,6.0,1.0,40.0,,3.0,367.0,9.0,14.0,9.0,3.0,7.0,,150.0,2.0,13.0,11.0,30.0,24.0,1.0,7.0,7.0,18.0,,7.0,3.0,16.0,7.0,,,,,1.0,2.0,,,1.0,4.0,1.0,,,,,,8.0,,,3.0,,,1.0,,,,,,,1.0,1.0,,,,1.0,2.0,1.0,,2.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,
