gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,attObxRight,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,attGoalLowRight,savedObox,attRfTarget,goals,attFreekickTotal,attOboxBlocked,attIboxTarget,attBxRight,goalAssistOpenplay,penaltyWon,midfielderGoals,goodHighClaim,freekickTotal,bigChanceCreated,attHdTarget,goalAssist,bigChanceMissed,attObxdLeft,attRfGoal,attCmissHigh,goalsOpenplay,accurateGoalKicks,attPenGoal,attAssistSetplay,attIboxGoal,goalAssistIntentional,shieldBallOop,attHdTotal,attHdMiss,attSvHighCentre,totalHighClaim,attFreekickMiss,attRfTotal,forwardGoals,effectiveBlockedCross,attHdGoal,goalsConcededIbox,blockedCross,goalAssistSetplay,goalAssistDeadball,attMissHighLeft,accurateThroughBall,accurateFreekickCross,attSetpiece,totalThroughBall,attCmissHighLeft,attemptsIbox,attObxLeft,attMissHighRight,attSvHighLeft,attemptsObox,contentiousDecision,touchesInOppBox,attCorner,attSvLowRight,attFreekickTarget,attSvLowLeft,attCmissLeft,handBall,attLfGoal,attGoalLowCentre,attOneOnOne,attLgCentre,penaltyConceded,penaltyFaced,penGoalsConceded,shotFastbreak,totalFastbreak,attFastbreak,cleanSheet,accuratePullBack,attGoalHighRight,errorLeadToGoal,foulThrowIn,attGoalHighLeft,attSvHighRight,secondYellow,sixYardBlock,postScoringAtt,attIboxPost,attGoalHighCentre,attPostLeft,attHdPost,hitWoodwork,attPostRight,clearanceOffLine,attOboxGoal,attObpGoal,attPostHigh
28,803441,2016-03-02 19:45:00,"bet365 Stadium, Stoke",27331,Home,Stoke City,Newcastle United,1,0,W,0,0,0,0,,1.0,87.0,1.0,18.0,26.0,6.0,4.0,3.0,170.0,1.0,9.0,3.0,9.0,,2.0,104.0,166.0,56.0,9.0,26.0,,,1.0,24.0,22.0,,20.0,5.0,22.0,27.0,210.0,0.0,143.0,11.0,2.0,3.0,58.0,75.0,4.0,73.0,1.0,,19.0,12.0,8.0,4.0,160.0,4.0,112.0,668.0,7.0,6.0,16.0,361.0,35.0,7.0,11.0,,1.0,1.0,5.0,16.0,447.0,72.0,,69960,,160.0,8.0,186.0,5.0,,12.0,5.0,68.0,1.0,5.0,22.0,1.0,2.0,52.0,369.0,6.0,14.0,25.0,75.0,,0.0,2.0,1.0,2.0,,5.0,0.0,,55.3,12.0,,,,5.0,2.0,45.0,5.0,459.0,16.0,10.0,13.0,5.0,34.0,1.0,,297.0,20.0,12.0,97.0,42.0,11.0,29.0,8.0,3.0,17.0,8.0,5.0,,,,1.0,,1.0,,1.0,1.0,3.0,1.0,,1.0,3.0,,,,1.0,,,,1.0,1.0,2.0,,1.0,,,1.0,,,,4.0,,5.0,,3.0,,,3.0,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,1.0,,,1.0,,1.0
29,803449,2016-03-05 15:00:00,"Stamford Bridge, London",41381,Away,Stoke City,Chelsea,1,1,D,0,1,0,0,1.0,1.0,68.0,2.0,30.0,18.0,5.0,5.0,6.0,173.0,2.0,18.0,,14.0,2.0,5.0,126.0,149.0,62.0,17.0,13.0,1.0,2.0,1.0,15.0,15.0,2.0,15.0,2.0,21.0,35.0,241.0,0.0,141.0,10.0,5.0,,82.0,69.0,8.0,69.0,1.0,3.0,13.0,10.0,2.0,1.0,146.0,11.0,109.0,693.0,12.0,11.0,18.0,368.0,32.0,4.0,9.0,1.0,2.0,4.0,6.0,23.0,448.0,60.0,2.0,69960,8.0,149.0,11.0,162.0,4.0,1.0,10.0,13.0,50.0,4.0,8.0,16.0,9.0,3.0,60.0,388.0,9.0,11.0,17.0,70.0,,0.0,2.0,8.0,5.0,1.0,4.0,0.0,1.0,51.3,19.0,,5.0,2.0,8.0,4.0,47.0,4.0,477.0,18.0,9.0,19.0,8.0,29.0,1.0,7.0,330.0,21.0,14.0,94.0,21.0,8.0,21.0,14.0,3.0,27.0,3.0,4.0,1.0,,,1.0,3.0,1.0,,2.0,2.0,1.0,,,,,,2.0,,,2.0,,,,1.0,7.0,,2.0,1.0,,2.0,4.0,3.0,,,,8.0,1.0,4.0,1.0,,4.0,,,1.0,,,1.0,5.0,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
30,803457,2016-03-12 15:00:00,"bet365 Stadium, Stoke",27833,Home,Stoke City,Southampton,1,2,L,0,2,0,1,,1.0,66.0,1.0,33.0,15.0,8.0,5.0,2.0,173.0,2.0,12.0,2.0,10.0,1.0,2.0,147.0,170.0,70.0,13.0,20.0,1.0,1.0,1.0,23.0,20.0,,11.0,1.0,16.0,48.0,278.0,0.0,163.0,13.0,1.0,2.0,77.0,70.0,5.0,60.0,1.0,1.0,22.0,13.0,9.0,5.0,166.0,6.0,155.0,744.0,9.0,16.0,10.0,424.0,26.0,6.0,7.0,2.0,1.0,2.0,5.0,25.0,513.0,83.0,,69960,3.0,162.0,11.0,178.0,9.0,,13.0,8.0,62.0,,6.0,24.0,5.0,2.0,71.0,438.0,12.0,9.0,24.0,88.0,,0.0,,4.0,2.0,2.0,2.0,0.0,2.0,60.6,21.0,,2.0,1.0,6.0,4.0,53.0,1.0,535.0,10.0,10.0,23.0,7.0,44.0,,2.0,380.0,14.0,25.0,109.0,28.0,5.0,21.0,11.0,3.0,22.0,8.0,1.0,1.0,,,,,1.0,1.0,3.0,1.0,,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,,1.0,4.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,7.0,,4.0,,2.0,4.0,,,2.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
31,803469,2016-03-19 15:00:00,"Vicarage Road, Watford",20759,Away,Stoke City,Watford,2,1,W,1,0,0,0,,1.0,77.0,,40.0,38.0,6.0,2.0,3.0,182.0,3.0,8.0,,8.0,,6.0,81.0,187.0,59.0,9.0,24.0,,3.0,1.0,20.0,10.0,2.0,29.0,1.0,9.0,28.0,176.0,0.0,128.0,14.0,2.0,1.0,51.0,98.0,6.0,61.0,2.0,,19.0,22.0,4.0,2.0,178.0,6.0,108.0,639.0,6.0,15.0,11.0,294.0,35.0,12.0,19.0,,1.0,1.0,2.0,20.0,399.0,76.0,1.0,69960,2.0,142.0,14.0,170.0,6.0,,22.0,9.0,71.0,4.0,1.0,15.0,3.0,,81.0,315.0,10.0,14.0,40.0,99.0,,0.0,2.0,9.0,2.0,1.0,4.0,0.0,2.0,47.9,16.0,,4.0,,1.0,1.0,49.0,2.0,432.0,11.0,8.0,18.0,2.0,19.0,1.0,,282.0,9.0,23.0,78.0,26.0,16.0,18.0,9.0,2.0,19.0,15.0,2.0,2.0,,,1.0,2.0,2.0,,1.0,2.0,,2.0,,1.0,2.0,,2.0,1.0,2.0,1.0,,2.0,,2.0,4.0,,,1.0,2.0,1.0,1.0,,,3.0,,6.0,1.0,7.0,,1.0,7.0,,,1.0,1.0,,,3.0,,,,,,,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,
32,803478,2016-04-02 15:00:00,"bet365 Stadium, Stoke",27649,Home,Stoke City,Swansea City,2,2,D,1,0,0,0,2.0,1.0,66.0,,30.0,21.0,7.0,3.0,1.0,144.0,6.0,7.0,2.0,8.0,1.0,5.0,127.0,129.0,50.0,12.0,7.0,1.0,2.0,,16.0,14.0,2.0,18.0,5.0,17.0,30.0,193.0,0.0,127.0,6.0,1.0,2.0,74.0,63.0,5.0,79.0,3.0,1.0,11.0,20.0,3.0,2.0,126.0,6.0,99.0,626.0,4.0,7.0,18.0,340.0,29.0,8.0,6.0,1.0,0.0,4.0,3.0,17.0,420.0,60.0,,69960,3.0,173.0,6.0,190.0,4.0,,20.0,7.0,33.0,5.0,4.0,4.0,6.0,1.0,64.0,360.0,16.0,8.0,23.0,84.0,2.0,0.0,3.0,5.0,1.0,2.0,2.0,0.0,4.0,47.2,14.0,,2.0,,4.0,2.0,50.0,5.0,449.0,18.0,4.0,16.0,5.0,27.0,2.0,3.0,275.0,17.0,11.0,76.0,23.0,6.0,16.0,9.0,2.0,15.0,7.0,5.0,1.0,,2.0,,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,2.0,4.0,1.0,2.0,1.0,2.0,1.0,,,1.0,2.0,4.0,,2.0,1.0,1.0,,3.0,1.0,,4.0,1.0,6.0,,5.0,1.0,,5.0,,,,,1.0,1.0,,,,,3.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
33,803490,2016-04-10 16:00:00,"Anfield, Liverpool",43688,Away,Stoke City,Liverpool,1,4,L,1,2,0,0,2.0,1.0,65.0,1.0,31.0,20.0,6.0,4.0,2.0,137.0,5.0,10.0,4.0,9.0,,3.0,112.0,146.0,52.0,11.0,3.0,,,2.0,21.0,13.0,1.0,14.0,3.0,14.0,40.0,187.0,0.0,100.0,14.0,1.0,2.0,49.0,62.0,5.0,71.0,3.0,2.0,18.0,19.0,8.0,4.0,140.0,6.0,109.0,613.0,6.0,10.0,15.0,319.0,28.0,11.0,7.0,,2.0,4.0,4.0,17.0,402.0,59.0,,69960,4.0,157.0,8.0,176.0,10.0,,19.0,8.0,45.0,3.0,2.0,10.0,8.0,2.0,67.0,339.0,12.0,10.0,31.0,85.0,,0.0,2.0,6.0,1.0,4.0,3.0,0.0,4.0,47.1,16.0,,8.0,1.0,2.0,2.0,50.0,3.0,429.0,15.0,16.0,20.0,6.0,26.0,1.0,2.0,274.0,13.0,11.0,57.0,24.0,7.0,19.0,7.0,3.0,12.0,10.0,3.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,4.0,,2.0,1.0,1.0,,3.0,1.0,1.0,2.0,1.0,4.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,2.0,3.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,803499,2016-04-18 20:00:00,"bet365 Stadium, Stoke",27442,Home,Stoke City,Tottenham Hotspur,0,4,L,0,1,0,0,,2.0,63.0,2.0,22.0,24.0,6.0,8.0,2.0,159.0,1.0,17.0,3.0,9.0,,2.0,90.0,148.0,62.0,12.0,13.0,,1.0,2.0,23.0,18.0,1.0,23.0,4.0,16.0,39.0,163.0,0.0,100.0,12.0,2.0,4.0,75.0,52.0,5.0,57.0,,2.0,19.0,19.0,8.0,3.0,147.0,17.0,104.0,617.0,9.0,10.0,12.0,299.0,22.0,2.0,15.0,1.0,2.0,4.0,4.0,21.0,382.0,48.0,,69960,3.0,160.0,7.0,183.0,5.0,,19.0,11.0,57.0,,2.0,10.0,6.0,,48.0,322.0,12.0,9.0,17.0,79.0,,0.0,1.0,3.0,2.0,4.0,5.0,0.0,1.0,51.2,19.0,,2.0,2.0,2.0,4.0,50.0,5.0,410.0,12.0,10.0,20.0,6.0,32.0,,3.0,250.0,16.0,9.0,63.0,35.0,14.0,25.0,11.0,2.0,31.0,9.0,5.0,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,8.0,,,,,,1.0,1.0,,,,3.0,,1.0,,4.0,1.0,,,1.0,1.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
35,803508,2016-04-23 12:45:00,"Etihad Stadium, Manchester",53974,Away,Stoke City,Manchester City,0,4,L,0,2,0,0,,,58.0,1.0,30.0,17.0,6.0,5.0,2.0,145.0,2.0,24.0,3.0,7.0,1.0,2.0,117.0,126.0,73.0,14.0,10.0,,,3.0,12.0,12.0,1.0,11.0,4.0,17.0,22.0,178.0,0.0,99.0,8.0,1.0,,55.0,41.0,1.0,66.0,2.0,2.0,8.0,16.0,4.0,6.0,120.0,7.0,118.0,622.0,6.0,17.0,15.0,358.0,27.0,14.0,8.0,1.0,0.0,2.0,6.0,15.0,428.0,54.0,,69960,5.0,195.0,4.0,213.0,2.0,,16.0,4.0,46.0,2.0,1.0,9.0,4.0,3.0,49.0,371.0,7.0,12.0,25.0,75.0,,0.0,3.0,9.0,1.0,4.0,5.0,0.0,1.0,46.8,10.0,1.0,3.0,1.0,1.0,1.0,53.0,4.0,446.0,15.0,7.0,13.0,11.0,21.0,1.0,5.0,245.0,15.0,24.0,63.0,23.0,6.0,18.0,9.0,2.0,33.0,11.0,4.0,,,,1.0,2.0,,3.0,,1.0,,,,,1.0,3.0,2.0,,,2.0,,,2.0,,2.0,,1.0,,,,2.0,2.0,1.0,1.0,2.0,7.0,,2.0,,4.0,2.0,,,2.0,1.0,,,2.0,,,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
36,803519,2016-04-30 15:00:00,"bet365 Stadium, Stoke",27667,Home,Stoke City,Sunderland,1,1,D,0,0,0,0,,,69.0,1.0,38.0,28.0,5.0,5.0,4.0,171.0,4.0,13.0,5.0,7.0,1.0,3.0,71.0,158.0,72.0,11.0,17.0,,,2.0,14.0,13.0,1.0,23.0,2.0,9.0,41.0,111.0,0.0,104.0,13.0,2.0,4.0,61.0,31.0,3.0,56.0,3.0,2.0,13.0,13.0,4.0,3.0,153.0,8.0,71.0,567.0,6.0,15.0,19.0,243.0,31.0,7.0,22.0,,2.0,4.0,4.0,20.0,340.0,61.0,,69960,6.0,157.0,5.0,177.0,7.0,,13.0,12.0,50.0,1.0,5.0,13.0,6.0,1.0,79.0,264.0,13.0,5.0,26.0,87.0,,0.0,5.0,8.0,,1.0,4.0,0.0,4.0,53.6,16.0,,4.0,,5.0,2.0,42.0,2.0,369.0,19.0,8.0,19.0,6.0,27.0,1.0,3.0,206.0,8.0,34.0,51.0,22.0,20.0,15.0,9.0,3.0,20.0,6.0,2.0,,,,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,7.0,,,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,3.0,,4.0,,1.0,4.0,,,,1.0,,1.0,2.0,,,,1.0,,,,,,,,1.0,2.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
37,803528,2016-05-07 15:00:00,"Selhurst Park, London",23990,Away,Stoke City,Crystal Palace,1,2,L,1,0,0,0,1.0,1.0,58.0,,26.0,27.0,6.0,4.0,2.0,131.0,2.0,9.0,2.0,8.0,,3.0,70.0,135.0,53.0,12.0,12.0,3.0,,1.0,11.0,13.0,,19.0,3.0,18.0,24.0,114.0,0.0,100.0,18.0,,1.0,36.0,24.0,3.0,37.0,2.0,1.0,8.0,7.0,3.0,4.0,127.0,7.0,55.0,462.0,5.0,11.0,16.0,187.0,28.0,3.0,17.0,3.0,3.0,7.0,5.0,15.0,266.0,52.0,2.0,69960,5.0,91.0,4.0,115.0,11.0,,7.0,11.0,48.0,3.0,4.0,9.0,10.0,4.0,61.0,203.0,8.0,11.0,19.0,67.0,1.0,0.0,1.0,4.0,1.0,2.0,1.0,0.0,,42.2,8.0,,2.0,,4.0,2.0,34.0,3.0,293.0,16.0,5.0,11.0,7.0,29.0,2.0,3.0,189.0,15.0,20.0,53.0,15.0,11.0,16.0,8.0,3.0,12.0,5.0,3.0,,1.0,,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,7.0,,2.0,1.0,1.0,1.0,2.0,1.0,,3.0,1.0,6.0,,3.0,,1.0,3.0,,,1.0,2.0,,,5.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,803541,2016-05-15 15:00:00,"bet365 Stadium, Stoke",27721,Home,Stoke City,West Ham United,2,1,W,0,1,0,0,,2.0,61.0,1.0,28.0,27.0,4.0,5.0,5.0,138.0,4.0,13.0,1.0,6.0,,4.0,81.0,135.0,69.0,7.0,18.0,1.0,1.0,1.0,17.0,22.0,2.0,20.0,4.0,9.0,27.0,139.0,0.0,82.0,8.0,3.0,1.0,40.0,43.0,4.0,38.0,,1.0,13.0,14.0,5.0,2.0,128.0,16.0,98.0,542.0,5.0,7.0,5.0,260.0,29.0,10.0,16.0,1.0,3.0,8.0,2.0,13.0,326.0,37.0,,69960,2.0,144.0,7.0,160.0,3.0,,14.0,10.0,49.0,6.0,4.0,14.0,4.0,,55.0,279.0,11.0,13.0,24.0,71.0,,0.0,3.0,10.0,7.0,1.0,3.0,0.0,2.0,46.7,7.0,,2.0,,4.0,1.0,41.0,4.0,355.0,5.0,5.0,11.0,2.0,29.0,2.0,,212.0,8.0,20.0,49.0,22.0,13.0,28.0,6.0,3.0,18.0,8.0,4.0,,,1.0,,,2.0,,,,,,,1.0,1.0,,,,1.0,,,,,1.0,8.0,,,1.0,1.0,,1.0,,,1.0,,1.0,,3.0,1.0,1.0,3.0,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,2.0,1.0,,
