gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,goalAssistIntentional,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,accurateKeeperSweeper,attSvHighRight,divingSave,freekickCross,attHdTarget,totalKeeperSweeper,accurateThroughBall,totalThroughBall,totalOffside,attMissHigh,attAssistSetplay,goalsConceded,accurateFlickOn,attHdMiss,goalsConcededIbox,handBall,attRfTarget,attOneOnOne,attMissRight,bigChanceMissed,attSetpiece,accurateCrossNocorner,shieldBallOop,errorLeadToGoal,goalsConcededObox,attGoalLowLeft,attCmissRight,shotFastbreak,goalAssistOpenplay,penaltyWon,totalFastbreak,attSvLowLeft,attGoalHighCentre,accurateFreekickCross,attRfGoal,goalsOpenplay,attPenGoal,attFastbreak,attCmissHighRight,attBxLeft,attSvHighCentre,forwardGoals,attGoalLowRight,attLfGoal,goalFastbreak,attOboxGoal,midfielderGoals,attMissHighLeft,attGoalHighLeft,attSvLowRight,attObxLeft,contentiousDecision,attCmissHigh,attFreekickTarget,attFreekickMiss,sixYardBlock,ownGoals,attIboxOwnGoal,attObxdRight,expectedGoalsOnTarget,attemptsIbox,postScoringAtt,expectedGoalsOnTargetConceded,attemptsObox,subsGoals,touchesInOppBox,hitWoodwork,expectedAssists,attCorner,attOboxPost,attPostRight,expectedGoals,defenderGoals,clearanceOffLine,penaltyConceded,penaltyFaced,penGoalsConceded,attGoalHighRight,attSvHighLeft,attCmissHighLeft,penaltySave,attPostHigh,attIboxPost,attPostLeft,secondYellow,attHdPost
28,803434,2016-03-01 19:45:00,"Villa Park, Birmingham",29755,Home,Aston Villa,Everton,1,3,L,0,2,0,0,,,62.0,2.0,,,28.0,18.0,7.0,2.0,3.0,166.0,,8.0,9.0,1.0,,12.0,,5.0,112.0,155.0,50.0,,14.0,3.0,12.0,1.0,1.0,1.0,1.0,35.0,15.0,3.0,16.0,9.0,18.0,32.0,256.0,,,0.0,157.0,8.0,1.0,81.0,59.0,10.0,67.0,2.0,26.0,25.0,,10.0,1.0,153.0,,9.0,112.0,667.0,9.0,9.0,17.0,361.0,19.0,2.0,8.0,1.0,3.0,3.0,2.0,26.0,442.0,61.0,,96740,5.0,126.0,16.0,142.0,6.0,,25.0,1.0,45.0,1.0,13.0,1.0,,48.0,374.0,7.0,6.0,11.0,70.0,1.0,1.0,0.0,2.0,8.0,4.0,1.0,0.0,1.0,2.0,,46.8,18.0,4.0,1.0,5.0,45.0,9.0,1.0,457.0,17.0,12.0,20.0,4.0,46.0,3.0,3.0,350.0,10.0,14.0,15.0,113.0,35.0,2.0,7.0,19.0,1.0,9.0,2.0,17.0,2.0,9.0,9.0,,,,2.0,,,,,1.0,,,2.0,3.0,6.0,1.0,3.0,1.0,4.0,,1.0,,1.0,5.0,,,,,,,1.0,,,2.0,,,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,
29,803443,2016-03-05 15:00:00,"Etihad Stadium, Manchester",53892,Away,Aston Villa,Manchester City,0,4,L,0,0,0,0,,,56.0,1.0,,,28.0,31.0,,,5.0,122.0,,2.0,6.0,,,1.0,,1.0,92.0,131.0,54.0,,2.0,,9.0,1.0,,,,9.0,20.0,,22.0,1.0,4.0,18.0,136.0,,,0.0,79.0,10.0,2.0,46.0,52.0,1.0,37.0,3.0,8.0,20.0,,4.0,,122.0,,16.0,77.0,512.0,1.0,12.0,21.0,231.0,35.0,9.0,7.0,,1.0,3.0,,10.0,300.0,33.0,,96740,2.0,117.0,4.0,136.0,6.0,,20.0,11.0,45.0,4.0,14.0,6.0,7.0,53.0,251.0,10.0,9.0,25.0,64.0,,1.0,0.0,4.0,9.0,5.0,,0.0,,,,28.8,7.0,,4.0,1.0,36.0,1.0,2.0,328.0,21.0,8.0,9.0,,13.0,1.0,,201.0,2.0,4.0,15.0,53.0,14.0,3.0,6.0,23.0,,2.0,3.0,15.0,3.0,14.0,1.0,,1.0,,2.0,,,1.0,,,,,,4.0,3.0,,4.0,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
30,803459,2016-03-13 16:00:00,"Villa Park, Birmingham",32393,Home,Aston Villa,Tottenham Hotspur,0,2,L,0,1,0,0,,,76.0,2.0,,,32.0,25.0,4.0,3.0,6.0,118.0,,6.0,11.0,,1.0,7.0,,2.0,85.0,165.0,53.0,,12.0,2.0,9.0,1.0,,2.0,2.0,27.0,15.0,1.0,18.0,5.0,11.0,33.0,161.0,,,0.0,127.0,6.0,4.0,82.0,66.0,3.0,43.0,2.0,22.0,25.0,,6.0,1.0,158.0,2.0,12.0,81.0,571.0,4.0,20.0,29.0,221.0,29.0,6.0,7.0,,0.0,5.0,4.0,27.0,304.0,54.0,,96740,3.0,81.0,15.0,94.0,3.0,,25.0,7.0,42.0,3.0,16.0,7.0,5.0,61.0,236.0,6.0,8.0,19.0,69.0,,2.0,0.0,1.0,8.0,4.0,,0.0,,1.0,,37.5,22.0,4.0,3.0,4.0,42.0,5.0,4.0,327.0,29.0,7.0,19.0,6.0,36.0,2.0,2.0,260.0,8.0,8.0,13.0,74.0,32.0,3.0,6.0,23.0,,7.0,2.0,25.0,3.0,18.0,5.0,2.0,,,5.0,1.0,,,,1.0,3.0,,3.0,2.0,3.0,1.0,2.0,1.0,2.0,,1.0,3.0,1.0,4.0,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,,,3.0,3.0,,
31,803463,2016-03-19 17:30:00,"Swansea.com Stadium, Swansea",20454,Away,Aston Villa,Swansea City,0,1,L,0,0,0,0,,,66.0,3.0,,,41.0,23.0,4.0,1.0,,152.0,,8.0,14.0,,2.0,7.0,,2.0,88.0,175.0,71.0,,12.0,3.0,18.0,2.0,1.0,1.0,,33.0,20.0,,18.0,6.0,21.0,34.0,204.0,,,0.0,151.0,10.0,,62.0,69.0,4.0,66.0,1.0,27.0,13.0,,9.0,1.0,170.0,,3.0,81.0,629.0,3.0,21.0,32.0,273.0,31.0,14.0,11.0,,2.0,3.0,3.0,31.0,370.0,60.0,,96740,6.0,88.0,14.0,117.0,4.0,1.0,13.0,7.0,53.0,2.0,11.0,7.0,5.0,76.0,284.0,8.0,7.0,38.0,70.0,,1.0,0.0,3.0,4.0,,,0.0,,4.0,,46.2,22.0,4.0,2.0,6.0,41.0,6.0,,387.0,32.0,6.0,15.0,4.0,44.0,3.0,3.0,303.0,6.0,18.0,22.0,102.0,28.0,5.0,8.0,27.0,,6.0,2.0,27.0,5.0,5.0,6.0,,,,,4.0,2.0,,,,,2.0,4.0,1.0,6.0,2.0,1.0,,,,1.0,,2.0,5.0,2.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
32,803472,2016-04-02 12:45:00,"Villa Park, Birmingham",31120,Home,Aston Villa,Chelsea,0,4,L,0,2,1,0,1.0,,77.0,2.0,,,33.0,12.0,8.0,2.0,4.0,162.0,,7.0,12.0,,3.0,11.0,,4.0,91.0,154.0,62.0,1.0,15.0,3.0,10.0,1.0,,1.0,3.0,24.0,21.0,3.0,7.0,7.0,17.0,27.0,186.0,,,0.0,138.0,12.0,1.0,77.0,37.0,7.0,79.0,3.0,17.0,20.0,1.0,5.0,3.0,149.0,,7.0,79.0,603.0,8.0,17.0,19.0,302.0,33.0,13.0,5.0,,4.0,,4.0,18.0,391.0,42.0,1.0,96740,4.0,138.0,10.0,164.0,8.0,,20.0,5.0,53.0,6.0,14.0,4.0,4.0,58.0,317.0,7.0,10.0,32.0,79.0,2.0,,0.0,2.0,2.0,2.0,,1.0,,1.0,,41.7,17.0,3.0,6.0,5.0,53.0,7.0,1.0,411.0,19.0,14.0,18.0,6.0,28.0,2.0,3.0,271.0,11.0,15.0,20.0,101.0,32.0,1.0,4.0,23.0,,11.0,3.0,19.0,1.0,8.0,7.0,2.0,1.0,,3.0,2.0,,1.0,,,,,3.0,4.0,4.0,1.0,4.0,,3.0,,2.0,,1.0,5.0,1.0,1.0,,,1.0,,,,,1.0,,1.0,,,,,,2.0,1.0,,,,,,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,
33,803483,2016-04-09 15:00:00,"Villa Park, Birmingham",31057,Home,Aston Villa,Bournemouth,1,2,L,0,1,0,0,,,63.0,,,,25.0,20.0,3.0,1.0,1.0,150.0,,5.0,18.0,1.0,1.0,6.0,,1.0,79.0,159.0,66.0,,6.0,,20.0,,,,,20.0,20.0,,12.0,3.0,7.0,29.0,144.0,1.0,,0.0,95.0,13.0,1.0,59.0,67.0,1.0,63.0,2.0,17.0,10.0,,6.0,2.0,151.0,1.0,7.0,89.0,563.0,2.0,9.0,12.0,271.0,28.0,4.0,8.0,1.0,2.0,3.0,4.0,29.0,353.0,60.0,,80801,3.0,146.0,10.0,170.0,7.0,,10.0,8.0,54.0,1.0,11.0,5.0,4.0,66.0,285.0,10.0,9.0,26.0,86.0,,,0.0,1.0,8.0,,,0.0,,2.0,,41.4,16.0,4.0,1.0,,42.0,3.0,1.0,381.0,12.0,9.0,10.0,5.0,23.0,3.0,3.0,231.0,3.0,6.0,16.0,51.0,23.0,,7.0,22.0,,4.0,3.0,22.0,,6.0,3.0,1.0,,,1.0,1.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,1.0,,2.0,,1.0,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,803492,2016-04-16 15:00:00,"Old Trafford, Manchester",75411,Away,Aston Villa,Manchester United,0,1,L,0,1,0,0,,,54.0,1.0,,,19.0,23.0,3.0,2.0,3.0,115.0,,3.0,7.0,,3.0,5.0,,1.0,75.0,136.0,47.0,,7.0,1.0,10.0,1.0,,1.0,,14.0,13.0,,16.0,3.0,13.0,18.0,98.0,1.0,,0.0,66.0,10.0,3.0,25.0,41.0,2.0,47.0,4.0,11.0,20.0,,3.0,2.0,129.0,,9.0,57.0,506.0,3.0,11.0,16.0,211.0,33.0,10.0,10.0,,1.0,2.0,3.0,27.0,270.0,40.0,,88554,4.0,130.0,5.0,151.0,8.0,,20.0,9.0,42.0,3.0,19.0,4.0,4.0,51.0,225.0,9.0,4.0,31.0,68.0,,1.0,0.0,4.0,14.0,2.0,,0.0,,2.0,,33.8,19.0,1.0,3.0,2.0,37.0,3.0,3.0,294.0,16.0,12.0,12.0,4.0,14.0,2.0,1.0,157.0,3.0,11.0,11.0,44.0,14.0,8.0,8.0,21.0,,4.0,1.0,13.0,8.0,16.0,3.0,1.0,,,1.0,3.0,1.0,,,,,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,
35,803507,2016-04-23 15:00:00,"Villa Park, Birmingham",29729,Home,Aston Villa,Southampton,2,4,L,1,2,0,0,1.0,,56.0,1.0,1.0,,38.0,28.0,4.0,1.0,3.0,154.0,,8.0,14.0,2.0,1.0,11.0,,7.0,91.0,153.0,67.0,1.0,16.0,1.0,16.0,4.0,1.0,3.0,3.0,23.0,13.0,1.0,22.0,6.0,9.0,31.0,146.0,,,0.0,88.0,8.0,2.0,57.0,35.0,6.0,52.0,6.0,17.0,13.0,1.0,9.0,2.0,147.0,2.0,12.0,89.0,606.0,8.0,13.0,20.0,278.0,27.0,14.0,8.0,1.0,2.0,4.0,5.0,27.0,359.0,33.0,1.0,96740,11.0,159.0,8.0,188.0,3.0,,13.0,6.0,51.0,3.0,9.0,5.0,1.0,72.0,297.0,9.0,7.0,31.0,79.0,2.0,1.0,0.0,2.0,11.0,1.0,2.0,0.0,,4.0,,42.0,16.0,1.0,3.0,2.0,46.0,6.0,3.0,386.0,20.0,12.0,16.0,7.0,27.0,2.0,5.0,221.0,11.0,9.0,24.0,59.0,20.0,4.0,8.0,21.0,,9.0,3.0,23.0,4.0,9.0,6.0,2.0,,,2.0,,1.0,,,,,1.0,2.0,4.0,5.0,3.0,3.0,1.0,3.0,,3.0,2.0,1.0,6.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,2.0,1.0,,,,,,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,803512,2016-04-30 15:00:00,"Vicarage Road, Watford",20653,Away,Aston Villa,Watford,2,3,L,1,1,1,0,,,58.0,1.0,1.0,1.0,26.0,32.0,2.0,,2.0,132.0,1.0,5.0,13.0,2.0,2.0,6.0,,2.0,80.0,126.0,65.0,,7.0,,19.0,,1.0,,,11.0,11.0,,27.0,4.0,13.0,29.0,142.0,1.0,,0.0,90.0,10.0,,37.0,70.0,3.0,52.0,3.0,7.0,17.0,,4.0,1.0,121.0,,9.0,68.0,527.0,3.0,11.0,25.0,227.0,27.0,8.0,21.0,2.0,3.0,6.0,3.0,12.0,295.0,60.0,,96740,4.0,108.0,3.0,125.0,5.0,,17.0,13.0,51.0,1.0,8.0,9.0,6.0,75.0,245.0,14.0,10.0,29.0,74.0,,1.0,0.0,2.0,8.0,2.0,1.0,1.0,1.0,3.0,,35.3,11.0,2.0,1.0,1.0,36.0,4.0,,332.0,25.0,7.0,11.0,4.0,19.0,2.0,2.0,218.0,4.0,12.0,23.0,47.0,23.0,6.0,20.0,17.0,1.0,5.0,2.0,20.0,6.0,13.0,4.0,1.0,1.0,,1.0,,,1.0,,,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,,,1.0,,1.0,3.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,1.0
37,803526,2016-05-07 15:00:00,"Villa Park, Birmingham",33055,Home,Aston Villa,Newcastle United,0,0,D,0,0,0,0,,,52.0,,,,30.0,32.0,1.0,1.0,3.0,138.0,,,8.0,,3.0,1.0,,,119.0,149.0,57.0,,2.0,,16.0,,,,,13.0,16.0,,25.0,,12.0,37.0,183.0,,1.0,0.0,135.0,8.0,1.0,52.0,74.0,,57.0,2.0,13.0,22.0,,5.0,1.0,142.0,,8.0,95.0,625.0,1.0,7.0,22.0,308.0,22.0,4.0,20.0,,1.0,1.0,1.0,34.0,383.0,68.0,,88554,,137.0,6.0,159.0,3.0,,22.0,9.0,46.0,2.0,10.0,1.0,6.0,63.0,320.0,13.0,6.0,17.0,69.0,,1.0,0.0,4.0,5.0,2.0,,0.0,,,,45.9,26.0,2.0,2.0,,40.0,,1.0,409.0,22.0,10.0,18.0,2.0,25.0,,1.0,263.0,1.0,11.0,15.0,88.0,21.0,10.0,17.0,21.0,,1.0,1.0,15.0,10.0,14.0,,1.0,,,1.0,2.0,,,,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,803532,2016-05-15 15:00:00,"Emirates Stadium, London",60007,Away,Aston Villa,Arsenal,0,4,L,0,1,0,0,,,55.0,1.0,,,26.0,26.0,3.0,1.0,4.0,150.0,,3.0,13.0,,1.0,5.0,,2.0,107.0,121.0,45.0,,5.0,2.0,6.0,1.0,,,,12.0,12.0,1.0,23.0,4.0,18.0,25.0,189.0,,,0.0,89.0,6.0,,65.0,42.0,5.0,58.0,5.0,8.0,18.0,,2.0,,118.0,,12.0,99.0,591.0,4.0,2.0,20.0,322.0,31.0,2.0,14.0,,1.0,2.0,,15.0,389.0,49.0,3.0,88554,1.0,152.0,4.0,188.0,4.0,1.0,18.0,8.0,35.0,4.0,12.0,5.0,4.0,55.0,338.0,12.0,10.0,16.0,51.0,,1.0,0.0,3.0,5.0,3.0,,0.0,,1.0,,40.4,11.0,,4.0,3.0,31.0,4.0,,414.0,20.0,9.0,11.0,,13.0,2.0,,238.0,3.0,18.0,9.0,64.0,16.0,3.0,12.0,13.0,,4.0,2.0,18.0,3.0,9.0,4.0,1.0,1.0,,2.0,2.0,1.0,1.0,,,,,1.0,4.0,,,4.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
