gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,goals,attFreekickTotal,attOboxBlocked,goalAssistOpenplay,attSvLowCentre,attMissHighRight,divingSave,midfielderGoals,freekickTotal,attGoalHighCentre,attOboxMiss,goalAssist,penaltyConceded,attRfGoal,goalsOpenplay,punches,attFreekickTarget,overrun,attIboxGoal,goalAssistIntentional,attHdTotal,penaltyFaced,penGoalsConceded,attHdGoal,attGoalLowRight,accurateKeeperSweeper,attMissRight,totalKeeperSweeper,accurateThroughBall,attHdMiss,effectiveBlockedCross,blockedCross,handBall,attObxLeft,shotFastbreak,cleanSheet,totalFastbreak,attHdTarget,attMissHighLeft,totalPullBack,attFastbreak,attSvHighCentre,contentiousDecision,attCmissLeft,attLfGoal,attCmissRight,goalFastbreak,attGoalHighLeft,attFreekickMiss,attGoalLowCentre,postScoringAtt,attOboxGoal,attFreekickPost,hitWoodwork,defenderGoals,attOboxPost,attPostHigh,forwardGoals,attGoalHighRight,attFreekickGoal,penaltyWon,attPenGoal,clearanceOffLine,attPostRight,errorLeadToGoal,goalsConcededObox,expectedGoalsOnTarget,attemptsIbox,expectedGoalsOnTargetConceded,attemptsObox,touchesInOppBox,expectedAssists,expectedGoalsFreekick,attCorner,expectedGoals,accuratePullBack,attIboxPost,attHdPost,foulThrowIn,attObxdRight,attSvHighRight,attPostLeft,attCmissHighRight,attLgCentre,attObxdLeft
27,803431,2016-02-28 14:05:00,"White Hart Lane, London",35922,Home,Tottenham Hotspur,Swansea City,2,1,W,0,1,0,0,4.0,62.0,3.0,28.0,25.0,15.0,12.0,3.0,8.0,172.0,6.0,5.0,7.0,23.0,15.0,115.0,167.0,51.0,34.0,15.0,6.0,3.0,3.0,28.0,8.0,7.0,19.0,7.0,12.0,46.0,,233.0,0.0,202.0,11.0,1.0,3.0,1.0,,60.0,49.0,16.0,44.0,2.0,21.0,10.0,5.0,161.0,5.0,4.0,119.0,675.0,19.0,12.0,21.0,337.0,23.0,4.0,14.0,2.0,3.0,7.0,35.0,428.0,86.0,1.0,,97485,11.0,122.0,4.0,15.0,,1.0,139.0,8.0,10.0,5.0,46.0,1.0,,2.0,3.0,3.0,9.0,6.0,2.0,4.0,72.0,349.0,14.0,3.0,3.0,22.0,75.0,3.0,0.0,7.0,2.0,1.0,4.0,0.0,5.0,,57.2,27.0,4.0,2.0,3.0,6.0,38.0,7.0,,450.0,21.0,15.0,23.0,13.0,55.0,1.0,8.0,339.0,19.0,11.0,22.0,137.0,30.0,,11.0,11.0,1.0,24.0,3.0,8.0,4.0,7.0,1.0,1.0,1.0,1.0,,2.0,3.0,3.0,,4.0,,2.0,,3.0,,5.0,1.0,,,,,2.0,,2.0,,3.0,,,,,,6.0,,,2.0,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,2.0,1.0,2.0,3.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
28,803438,2016-03-02 19:45:00,"Boleyn Ground, London",34977,Away,Tottenham Hotspur,West Ham United,0,1,L,0,1,0,0,1.0,61.0,,30.0,20.0,5.0,4.0,2.0,2.0,207.0,3.0,4.0,,8.0,3.0,132.0,207.0,68.0,9.0,18.0,2.0,1.0,1.0,18.0,22.0,1.0,16.0,3.0,11.0,24.0,,194.0,0.0,156.0,11.0,,2.0,,,75.0,76.0,2.0,67.0,2.0,15.0,23.0,4.0,203.0,1.0,5.0,96.0,730.0,8.0,18.0,17.0,348.0,24.0,7.0,11.0,3.0,5.0,6.0,29.0,468.0,71.0,,,97485,1.0,177.0,2.0,11.0,,,219.0,6.0,23.0,12.0,59.0,,,,2.0,5.0,24.0,9.0,5.0,,73.0,368.0,10.0,11.0,,32.0,87.0,,0.0,6.0,,1.0,5.0,0.0,3.0,,65.1,24.0,4.0,,5.0,,40.0,3.0,,502.0,17.0,8.0,11.0,6.0,24.0,,2.0,301.0,4.0,11.0,24.0,99.0,24.0,,8.0,32.0,1.0,9.0,3.0,15.0,13.0,3.0,,,2.0,,,,,,,,2.0,1.0,,,,4.0,,,,,,,4.0,,,1.0,,,,,1.0,2.0,1.0,,1.0,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
29,803442,2016-03-05 12:45:00,"White Hart Lane, London",35762,Home,Tottenham Hotspur,Arsenal,2,2,D,0,1,0,1,1.0,77.0,2.0,22.0,22.0,12.0,9.0,2.0,8.0,165.0,5.0,9.0,4.0,19.0,11.0,96.0,184.0,56.0,26.0,16.0,4.0,2.0,2.0,26.0,23.0,5.0,20.0,9.0,9.0,46.0,,176.0,0.0,133.0,10.0,,1.0,1.0,,72.0,51.0,15.0,58.0,2.0,17.0,22.0,6.0,182.0,2.0,5.0,104.0,675.0,15.0,3.0,17.0,307.0,27.0,5.0,12.0,2.0,4.0,4.0,34.0,410.0,68.0,,1.0,97485,4.0,146.0,1.0,10.0,,1.0,175.0,2.0,22.0,1.0,61.0,,,,2.0,4.0,22.0,5.0,1.0,1.0,59.0,317.0,8.0,11.0,2.0,18.0,86.0,,0.0,2.0,1.0,2.0,3.0,0.0,3.0,,51.8,28.0,7.0,4.0,4.0,8.0,45.0,9.0,,423.0,17.0,12.0,17.0,7.0,38.0,2.0,5.0,274.0,16.0,8.0,9.0,86.0,37.0,,12.0,30.0,2.0,18.0,3.0,22.0,11.0,9.0,1.0,,1.0,1.0,,2.0,2.0,6.0,1.0,5.0,,1.0,,2.0,,2.0,2.0,,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,2.0,4.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,,2.0,,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,2.0
30,803459,2016-03-13 16:00:00,"Villa Park, Birmingham",32393,Away,Tottenham Hotspur,Aston Villa,2,0,W,1,0,0,0,2.0,72.0,3.0,31.0,37.0,7.0,8.0,2.0,4.0,192.0,1.0,8.0,,15.0,8.0,149.0,163.0,42.0,19.0,13.0,4.0,4.0,1.0,14.0,18.0,2.0,26.0,6.0,22.0,34.0,1.0,232.0,0.0,150.0,6.0,,,,2.0,56.0,75.0,10.0,95.0,,9.0,25.0,4.0,152.0,3.0,8.0,138.0,779.0,13.0,2.0,14.0,459.0,31.0,6.0,20.0,0.0,4.0,5.0,22.0,549.0,67.0,,,97485,5.0,244.0,2.0,5.0,,1.0,273.0,3.0,25.0,9.0,53.0,,,5.0,2.0,6.0,10.0,4.0,4.0,,67.0,475.0,5.0,11.0,,28.0,90.0,2.0,0.0,5.0,1.0,,1.0,0.0,1.0,,62.5,17.0,2.0,3.0,6.0,5.0,52.0,8.0,2.0,574.0,14.0,18.0,21.0,6.0,26.0,1.0,2.0,315.0,11.0,22.0,9.0,108.0,30.0,,18.0,21.0,,18.0,3.0,13.0,7.0,8.0,1.0,,1.0,1.0,1.0,2.0,,2.0,1.0,4.0,2.0,,,,,3.0,2.0,,1.0,1.0,,,,2.0,2.0,,,,,,,1.0,,2.0,,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,1.0,1.0,,1.0,,1.0,1.0,,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
31,803464,2016-03-20 16:00:00,"White Hart Lane, London",36084,Home,Tottenham Hotspur,Bournemouth,3,0,W,2,0,0,0,1.0,53.0,,46.0,25.0,8.0,3.0,,4.0,175.0,4.0,6.0,2.0,13.0,8.0,163.0,140.0,48.0,17.0,9.0,2.0,3.0,5.0,13.0,16.0,3.0,18.0,3.0,14.0,47.0,,253.0,0.0,150.0,11.0,,1.0,1.0,2.0,101.0,57.0,6.0,85.0,2.0,10.0,15.0,2.0,133.0,1.0,2.0,178.0,784.0,11.0,9.0,15.0,506.0,24.0,5.0,14.0,0.0,,7.0,25.0,584.0,74.0,,,97485,4.0,271.0,1.0,7.0,,,285.0,6.0,15.0,4.0,60.0,,,1.0,3.0,1.0,10.0,,4.0,2.0,79.0,520.0,6.0,20.0,,24.0,86.0,2.0,0.0,5.0,,,2.0,0.0,3.0,,62.8,19.0,1.0,1.0,1.0,1.0,55.0,4.0,2.0,601.0,15.0,16.0,30.0,8.0,26.0,1.0,4.0,329.0,14.0,13.0,16.0,108.0,25.0,,12.0,20.0,,16.0,3.0,10.0,8.0,4.0,1.0,1.0,,,,3.0,,1.0,2.0,2.0,1.0,,1.0,,,4.0,2.0,,2.0,3.0,,,4.0,3.0,2.0,,,,,2.0,1.0,,1.0,1.0,,4.0,4.0,,,1.0,1.0,1.0,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,803479,2016-04-02 17:30:00,"Anfield, Liverpool",44062,Away,Tottenham Hotspur,Liverpool,1,1,D,0,0,0,0,2.0,71.0,1.0,28.0,28.0,9.0,5.0,7.0,2.0,188.0,4.0,20.0,3.0,14.0,5.0,135.0,180.0,64.0,18.0,8.0,1.0,2.0,5.0,18.0,14.0,3.0,22.0,8.0,19.0,46.0,,207.0,0.0,148.0,11.0,,2.0,,3.0,76.0,38.0,8.0,63.0,5.0,10.0,35.0,2.0,174.0,2.0,9.0,134.0,772.0,11.0,7.0,20.0,397.0,20.0,3.0,18.0,0.0,6.0,6.0,24.0,496.0,66.0,,1.0,97485,5.0,207.0,2.0,8.0,,,232.0,5.0,35.0,8.0,52.0,,,2.0,1.0,9.0,11.0,6.0,4.0,,67.0,410.0,10.0,6.0,2.0,20.0,81.0,1.0,0.0,12.0,3.0,1.0,4.0,0.0,1.0,1.0,57.8,19.0,6.0,2.0,9.0,6.0,44.0,9.0,3.0,520.0,20.0,24.0,28.0,7.0,32.0,3.0,6.0,306.0,10.0,18.0,17.0,90.0,32.0,,14.0,17.0,1.0,14.0,2.0,25.0,19.0,9.0,,,3.0,,,1.0,1.0,5.0,1.0,1.0,,6.0,,1.0,,1.0,1.0,,1.0,1.0,2.0,,4.0,1.0,1.0,3.0,,,,1.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,,,,,,,,2.0,,,,3.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
33,803487,2016-04-10 16:00:00,"White Hart Lane, London",35761,Home,Tottenham Hotspur,Manchester United,3,0,W,0,0,0,0,,75.0,1.0,31.0,31.0,6.0,4.0,1.0,3.0,174.0,3.0,12.0,4.0,13.0,8.0,78.0,180.0,60.0,16.0,10.0,2.0,1.0,3.0,12.0,20.0,3.0,23.0,2.0,17.0,39.0,,152.0,0.0,127.0,10.0,1.0,2.0,3.0,,75.0,29.0,8.0,52.0,,11.0,28.0,1.0,172.0,3.0,2.0,91.0,635.0,8.0,12.0,22.0,272.0,22.0,13.0,18.0,3.0,3.0,5.0,28.0,376.0,60.0,2.0,,97485,8.0,132.0,2.0,7.0,,2.0,158.0,4.0,28.0,7.0,51.0,,,,3.0,2.0,12.0,3.0,3.0,1.0,71.0,281.0,10.0,8.0,2.0,34.0,89.0,,0.0,7.0,1.0,,3.0,0.0,2.0,2.0,47.0,22.0,6.0,,2.0,1.0,36.0,2.0,,395.0,22.0,19.0,17.0,7.0,21.0,2.0,3.0,249.0,8.0,14.0,11.0,84.0,43.0,,15.0,27.0,,12.0,3.0,17.0,17.0,2.0,1.0,1.0,,1.0,1.0,3.0,,,2.0,1.0,,1.0,2.0,,,4.0,3.0,,1.0,2.0,,,3.0,3.0,3.0,4.0,,,1.0,1.0,1.0,3.0,1.0,,1.0,7.0,7.0,,1.0,,1.0,,2.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
34,803499,2016-04-18 20:00:00,"bet365 Stadium, Stoke",27442,Away,Tottenham Hotspur,Stoke City,4,0,W,1,0,0,0,2.0,65.0,3.0,24.0,24.0,6.0,9.0,2.0,,158.0,5.0,9.0,4.0,16.0,6.0,84.0,140.0,57.0,23.0,9.0,2.0,3.0,2.0,13.0,21.0,,21.0,3.0,18.0,37.0,3.0,140.0,0.0,87.0,12.0,,,3.0,3.0,42.0,36.0,8.0,55.0,3.0,10.0,22.0,3.0,137.0,3.0,6.0,99.0,622.0,11.0,7.0,15.0,302.0,32.0,2.0,14.0,0.0,4.0,8.0,29.0,376.0,45.0,1.0,,97485,9.0,179.0,2.0,4.0,,1.0,202.0,5.0,22.0,9.0,62.0,1.0,,5.0,1.0,6.0,14.0,6.0,5.0,4.0,53.0,314.0,12.0,17.0,1.0,20.0,69.0,,0.0,5.0,1.0,,3.0,0.0,5.0,,48.8,23.0,3.0,4.0,6.0,4.0,40.0,3.0,3.0,396.0,15.0,18.0,21.0,13.0,23.0,,6.0,207.0,14.0,15.0,13.0,54.0,23.0,,13.0,24.0,,21.0,3.0,16.0,13.0,3.0,2.0,,1.0,,,4.0,,1.0,4.0,1.0,1.0,1.0,2.0,,,5.0,4.0,,4.0,4.0,1.0,,1.0,4.0,3.0,,,,,2.0,,4.0,,4.0,,1.0,1.0,,,1.0,1.0,2.0,,,,1.0,1.0,,,,,1.0,,,2.0,2.0,,,2.0,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,
35,803511,2016-04-25 20:00:00,"White Hart Lane, London",35923,Home,Tottenham Hotspur,West Bromwich Albion,1,1,D,1,0,0,0,,46.0,5.0,33.0,35.0,9.0,4.0,2.0,2.0,164.0,5.0,10.0,6.0,12.0,2.0,154.0,145.0,50.0,18.0,16.0,1.0,1.0,,19.0,16.0,1.0,29.0,7.0,19.0,42.0,,281.0,0.0,151.0,8.0,,,1.0,,80.0,49.0,8.0,72.0,1.0,12.0,9.0,2.0,139.0,1.0,8.0,147.0,755.0,10.0,11.0,10.0,438.0,14.0,4.0,22.0,0.0,5.0,4.0,22.0,512.0,66.0,,,93464,5.0,181.0,1.0,9.0,,1.0,200.0,2.0,9.0,8.0,49.0,,,1.0,1.0,7.0,16.0,8.0,5.0,1.0,64.0,457.0,11.0,5.0,2.0,19.0,72.0,,0.0,7.0,1.0,1.0,7.0,0.0,1.0,,66.5,18.0,2.0,1.0,7.0,8.0,48.0,9.0,,537.0,10.0,13.0,17.0,8.0,33.0,4.0,2.0,356.0,13.0,19.0,10.0,111.0,20.0,,20.0,19.0,1.0,11.0,3.0,17.0,4.0,9.0,,,1.0,,,1.0,3.0,3.0,,2.0,1.0,1.0,,3.0,,4.0,,,,,,,4.0,1.0,,1.0,,,,,,3.0,,,1.0,4.0,4.0,,,,,,,1.0,,,,1.0,,,2.0,,,1.0,,2.0,,1.0,3.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,
36,803520,2016-05-02 20:00:00,"Stamford Bridge, London",41545,Away,Tottenham Hotspur,Chelsea,2,2,D,2,0,0,0,,57.0,4.0,27.0,19.0,6.0,8.0,3.0,2.0,151.0,5.0,6.0,3.0,12.0,5.0,100.0,144.0,54.0,16.0,16.0,3.0,,2.0,20.0,19.0,,16.0,8.0,21.0,31.0,1.0,155.0,0.0,109.0,20.0,,,1.0,3.0,65.0,36.0,8.0,67.0,2.0,12.0,22.0,4.0,141.0,2.0,10.0,90.0,616.0,9.0,4.0,17.0,310.0,21.0,4.0,10.0,9.0,2.0,4.0,22.0,383.0,56.0,,1.0,97485,6.0,177.0,,7.0,1.0,,200.0,12.0,22.0,9.0,71.0,2.0,,2.0,,7.0,11.0,3.0,5.0,2.0,56.0,327.0,8.0,11.0,1.0,20.0,73.0,1.0,0.0,7.0,1.0,2.0,1.0,0.0,4.0,,52.7,14.0,5.0,3.0,7.0,6.0,43.0,8.0,3.0,408.0,17.0,21.0,20.0,5.0,23.0,1.0,1.0,228.0,7.0,20.0,17.0,73.0,19.0,,9.0,23.0,2.0,13.0,3.0,9.0,13.0,8.0,2.0,,2.0,,,2.0,1.0,2.0,2.0,2.0,,2.0,1.0,1.0,,4.0,2.0,,1.0,2.0,,,1.0,2.0,2.0,1.0,,,,1.0,,1.0,,2.0,,2.0,2.0,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
37,803527,2016-05-08 13:30:00,"White Hart Lane, London",35748,Home,Tottenham Hotspur,Southampton,1,2,L,1,1,0,0,1.0,50.0,2.0,49.0,25.0,8.0,7.0,,4.0,172.0,8.0,11.0,3.0,13.0,6.0,183.0,152.0,48.0,20.0,19.0,5.0,1.0,3.0,24.0,11.0,,18.0,7.0,27.0,38.0,2.0,309.0,0.0,198.0,8.0,,2.0,2.0,1.0,114.0,64.0,7.0,90.0,1.0,17.0,11.0,3.0,145.0,2.0,5.0,141.0,803.0,10.0,7.0,17.0,470.0,15.0,6.0,14.0,0.0,3.0,6.0,28.0,555.0,75.0,,,97485,8.0,199.0,2.0,12.0,1.0,1.0,218.0,3.0,11.0,6.0,60.0,1.0,,1.0,1.0,11.0,9.0,5.0,5.0,2.0,73.0,500.0,15.0,8.0,2.0,22.0,88.0,,0.0,2.0,,2.0,3.0,0.0,7.0,,69.8,22.0,1.0,,11.0,5.0,65.0,10.0,1.0,586.0,17.0,17.0,25.0,9.0,40.0,1.0,4.0,392.0,10.0,23.0,8.0,152.0,19.0,,13.0,14.0,1.0,13.0,2.0,20.0,3.0,10.0,1.0,,,,,1.0,1.0,3.0,1.0,3.0,,,1.0,1.0,,5.0,1.0,,,1.0,1.0,,1.0,1.0,,2.0,,,,,5.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,,,,,,2.0,3.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
38,803540,2016-05-15 15:00:00,"St. James' Park, Newcastle",52183,Away,Tottenham Hotspur,Newcastle United,1,5,L,0,2,0,1,1.0,45.0,1.0,30.0,11.0,10.0,5.0,5.0,3.0,141.0,3.0,7.0,1.0,15.0,5.0,181.0,121.0,39.0,18.0,6.0,3.0,3.0,1.0,28.0,17.0,1.0,10.0,7.0,16.0,27.0,,351.0,0.0,208.0,6.0,,,,,77.0,90.0,9.0,73.0,,21.0,17.0,11.0,120.0,,11.0,156.0,739.0,13.0,7.0,7.0,475.0,10.0,4.0,8.0,2.0,6.0,6.0,26.0,530.0,80.0,,,97485,1.0,145.0,,10.0,,,154.0,4.0,17.0,4.0,42.0,1.0,,1.0,1.0,3.0,12.0,8.0,3.0,2.0,41.0,493.0,7.0,10.0,1.0,6.0,65.0,1.0,0.0,3.0,3.0,5.0,3.0,0.0,3.0,,61.5,23.0,4.0,1.0,3.0,6.0,49.0,8.0,,551.0,7.0,13.0,14.0,7.0,40.0,,1.0,425.0,13.0,13.0,5.0,172.0,25.0,,7.0,21.0,5.0,13.0,3.0,14.0,9.0,8.0,,,2.0,,,1.0,1.0,5.0,1.0,3.0,,2.0,1.0,1.0,,5.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,2.0,,1.0,,4.0,4.0,,,,,,,1.0,1.0,,,1.0,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,
