gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,handBall,attRfTarget,attFreekickTotal,attBxRight,attSvHighRight,cleanSheet,freekickCross,freekickTotal,attCmissHigh,attMissHigh,attCmissLeft,attHdMiss,attSvHighCentre,attFreekickMiss,attIboxMiss,savedObox,bigChanceCreated,attMissHighLeft,accurateFreekickCross,bigChanceMissed,sixYardBlock,attSetpiece,attAssistSetplay,attLgCentre,errorLeadToShot,bigChanceScored,attGoalLowLeft,goalAssistSetplay,attSvLowLeft,goalAssistIntentional,forwardGoals,attGoalLowCentre,attOneOnOne,postScoringAtt,attFreekickPost,hitWoodwork,penaltyConceded,attOboxPost,attPostHigh,penaltyFaced,penGoalsConceded,penaltySave,attLfGoal,attIboxPost,accurateThroughBall,attOboxGoal,attHdPost,touchesInOppBox,penaltyWon,attCmissHighLeft,attPenGoal,attPostRight,attGoalHighCentre,ownGoals,attIboxOwnGoal,attHdGoal,attGoalHighRight,attPostLeft,defenderGoals,attObxdLeft,clearanceOffLine,attObxRight,goalAssistDeadball,attPenTarget,secondYellow,attCmissHighRight,attSvHighLeft,attemptsIbox,attemptsObox,ptsDroppedWinningPos,attFreekickGoal
28,803439,2016-03-02 20:00:00,"Old Trafford, Manchester",75272,Away,Watford,Manchester United,0,1,L,0,0,0,0,1.0,1.0,64.0,,2.0,36.0,24.0,4.0,3.0,2.0,156.0,7.0,9.0,,3.0,9.0,,1.0,4.0,50.0,160.0,60.0,13.0,1.0,4.0,3.0,,,,2.0,3.0,22.0,23.0,1.0,19.0,7.0,7.0,25.0,125.0,,0.0,107.0,17.0,1.0,,,1.0,56.0,22.0,3.0,51.0,3.0,1.0,15.0,11.0,2.0,2.0,155.0,3.0,6.0,50.0,505.0,6.0,20.0,1.0,16.0,199.0,24.0,17.0,10.0,,,2.0,5.0,6.0,15.0,284.0,73.0,98780,4.0,91.0,11.0,107.0,15.0,,,11.0,10.0,58.0,,,,,11.0,8.0,4.0,76.0,209.0,7.0,17.0,37.0,82.0,,,1.0,,0.0,4.0,9.0,1.0,,1.0,8.0,0.0,3.0,1.0,2.0,,38.7,11.0,9.0,,2.0,3.0,43.0,7.0,1.0,307.0,16.0,16.0,10.0,6.0,23.0,4.0,222.0,8.0,6.0,18.0,51.0,22.0,2.0,8.0,26.0,,9.0,3.0,14.0,,2.0,8.0,7.0,1.0,2.0,,2.0,,,2.0,,,2.0,2.0,1.0,,,4.0,1.0,1.0,,,4.0,1.0,2.0,3.0,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,803445,2016-03-05 17:30:00,"Vicarage Road, Watford",20884,Home,Watford,Leicester City,0,1,L,0,0,0,0,,,84.0,,2.0,38.0,21.0,5.0,1.0,5.0,170.0,6.0,13.0,,7.0,8.0,,,4.0,101.0,172.0,79.0,11.0,1.0,22.0,3.0,,,,1.0,1.0,25.0,23.0,1.0,21.0,3.0,18.0,24.0,144.0,1.0,0.0,114.0,10.0,3.0,,,,65.0,44.0,6.0,59.0,3.0,,22.0,23.0,8.0,3.0,172.0,,10.0,83.0,637.0,7.0,19.0,1.0,23.0,290.0,36.0,18.0,13.0,,,2.0,1.0,2.0,23.0,393.0,75.0,98780,3.0,163.0,7.0,196.0,5.0,,,23.0,12.0,69.0,,2.0,3.0,,8.0,4.0,5.0,96.0,301.0,11.0,12.0,61.0,80.0,,,,,0.0,1.0,8.0,4.0,,1.0,7.0,0.0,5.0,1.0,2.0,,50.2,19.0,5.0,1.0,3.0,3.0,41.0,3.0,,413.0,23.0,15.0,14.0,4.0,36.0,1.0,242.0,8.0,18.0,28.0,68.0,37.0,4.0,13.0,27.0,1.0,10.0,3.0,24.0,,4.0,12.0,3.0,,3.0,,1.0,1.0,,7.0,,,,,,1.0,,,2.0,1.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
30,803460,2016-04-20 19:45:00,"Boleyn Ground, London",34857,Away,Watford,West Ham United,1,3,L,0,2,1,0,,,59.0,,,23.0,16.0,4.0,2.0,4.0,178.0,3.0,10.0,1.0,5.0,5.0,1.0,1.0,4.0,95.0,151.0,58.0,7.0,1.0,15.0,1.0,,,,2.0,,15.0,17.0,2.0,11.0,2.0,34.0,23.0,178.0,1.0,0.0,107.0,17.0,3.0,,,,75.0,56.0,3.0,75.0,3.0,1.0,13.0,16.0,2.0,1.0,146.0,,13.0,90.0,634.0,4.0,10.0,,15.0,330.0,29.0,6.0,8.0,1.0,,2.0,5.0,2.0,22.0,417.0,58.0,98780,3.0,169.0,7.0,201.0,8.0,,1.0,16.0,9.0,67.0,,2.0,6.0,,14.0,5.0,5.0,54.0,344.0,11.0,19.0,28.0,66.0,,,,1.0,0.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0,2.0,,,,53.8,19.0,5.0,,6.0,1.0,36.0,2.0,,438.0,15.0,12.0,13.0,2.0,17.0,1.0,252.0,5.0,33.0,12.0,72.0,19.0,2.0,7.0,25.0,3.0,4.0,3.0,16.0,,2.0,6.0,2.0,,3.0,,,,,4.0,,,,,,,,1.0,1.0,1.0,,1.0,2.0,,2.0,,,2.0,,,1.0,1.0,1.0,,,,,,,2.0,,,2.0,2.0,,1.0,,,,,,1.0,,,,,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,,
31,803469,2016-03-19 15:00:00,"Vicarage Road, Watford",20759,Home,Watford,Stoke City,1,2,L,0,1,0,0,1.0,,79.0,1.0,1.0,26.0,16.0,3.0,1.0,4.0,195.0,4.0,14.0,1.0,1.0,6.0,,,4.0,102.0,202.0,71.0,9.0,,23.0,2.0,,,1.0,,,32.0,15.0,1.0,9.0,7.0,13.0,41.0,182.0,3.0,0.0,159.0,10.0,2.0,,,1.0,68.0,60.0,4.0,68.0,2.0,,25.0,21.0,7.0,2.0,195.0,,3.0,89.0,672.0,4.0,17.0,,18.0,309.0,35.0,13.0,7.0,1.0,,3.0,1.0,2.0,29.0,427.0,79.0,67527,1.0,149.0,14.0,171.0,4.0,,1.0,21.0,5.0,59.0,7.0,2.0,7.0,1.0,13.0,6.0,3.0,67.0,327.0,14.0,8.0,40.0,94.0,,,,,0.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,3.0,1.0,2.0,,52.1,23.0,5.0,3.0,7.0,1.0,48.0,9.0,1.0,454.0,18.0,9.0,15.0,4.0,47.0,1.0,315.0,6.0,11.0,24.0,88.0,29.0,4.0,4.0,19.0,1.0,7.0,3.0,23.0,1.0,4.0,8.0,9.0,,3.0,,1.0,1.0,,4.0,,,1.0,,1.0,,,2.0,2.0,1.0,,1.0,,,1.0,1.0,,2.0,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
32,803480,2016-04-02 15:00:00,"Emirates Stadium, London",59981,Away,Watford,Arsenal,0,4,L,0,2,0,0,,,67.0,,,19.0,23.0,2.0,1.0,8.0,137.0,4.0,2.0,,3.0,6.0,,,3.0,75.0,154.0,49.0,7.0,1.0,13.0,3.0,,1.0,,,2.0,22.0,15.0,,19.0,3.0,6.0,31.0,137.0,,0.0,99.0,10.0,5.0,,,,62.0,44.0,3.0,39.0,3.0,1.0,19.0,14.0,7.0,1.0,150.0,,14.0,77.0,514.0,5.0,13.0,2.0,18.0,221.0,29.0,2.0,11.0,,2.0,1.0,3.0,3.0,16.0,308.0,46.0,88935,4.0,100.0,10.0,122.0,6.0,,,14.0,7.0,44.0,2.0,3.0,8.0,,14.0,5.0,3.0,54.0,233.0,7.0,8.0,14.0,59.0,,,2.0,2.0,0.0,1.0,8.0,5.0,,4.0,2.0,0.0,4.0,,2.0,,31.0,10.0,5.0,,8.0,1.0,31.0,3.0,,328.0,18.0,7.0,8.0,3.0,27.0,,228.0,4.0,5.0,19.0,57.0,22.0,2.0,10.0,20.0,4.0,3.0,3.0,8.0,,2.0,10.0,3.0,,1.0,,,,,2.0,,,,1.0,,,,2.0,3.0,,,1.0,,,3.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,803485,2016-04-09 15:00:00,"Vicarage Road, Watford",20663,Home,Watford,Everton,1,1,D,1,1,0,0,,1.0,65.0,,,35.0,19.0,8.0,3.0,6.0,142.0,6.0,8.0,1.0,3.0,9.0,,1.0,4.0,72.0,151.0,62.0,13.0,3.0,19.0,,,,,1.0,2.0,21.0,11.0,4.0,15.0,7.0,17.0,18.0,148.0,,0.0,127.0,13.0,4.0,,,2.0,32.0,55.0,5.0,47.0,2.0,2.0,14.0,15.0,2.0,1.0,147.0,,7.0,65.0,509.0,7.0,17.0,,17.0,213.0,32.0,19.0,10.0,,,2.0,2.0,4.0,20.0,303.0,65.0,98780,3.0,84.0,12.0,111.0,7.0,,,15.0,5.0,52.0,,3.0,6.0,,7.0,5.0,2.0,87.0,226.0,8.0,8.0,57.0,80.0,,,,1.0,0.0,3.0,6.0,2.0,1.0,1.0,8.0,0.0,3.0,1.0,4.0,,41.9,15.0,2.0,,6.0,3.0,40.0,7.0,2.0,326.0,17.0,10.0,12.0,6.0,31.0,3.0,236.0,6.0,16.0,28.0,85.0,19.0,3.0,9.0,19.0,1.0,5.0,3.0,12.0,1.0,3.0,6.0,7.0,1.0,3.0,2.0,1.0,2.0,,,2.0,,2.0,,4.0,,1.0,5.0,4.0,,,,,,2.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,803500,2016-04-16 15:00:00,"The Hawthorns, West Bromwich",25515,Away,Watford,West Bromwich Albion,1,0,W,1,0,0,0,,,64.0,,1.0,30.0,31.0,5.0,2.0,4.0,168.0,3.0,6.0,1.0,1.0,10.0,,,4.0,65.0,172.0,56.0,11.0,2.0,23.0,2.0,,2.0,,,1.0,7.0,12.0,1.0,24.0,3.0,20.0,29.0,111.0,2.0,0.0,114.0,17.0,3.0,,1.0,3.0,45.0,47.0,7.0,51.0,4.0,,4.0,16.0,2.0,2.0,165.0,1.0,12.0,65.0,554.0,8.0,28.0,,15.0,218.0,32.0,11.0,18.0,1.0,2.0,3.0,5.0,3.0,22.0,323.0,69.0,98780,,121.0,2.0,146.0,11.0,1.0,,16.0,10.0,69.0,,,4.0,,20.0,5.0,3.0,93.0,229.0,11.0,17.0,57.0,101.0,,,,1.0,0.0,1.0,9.0,3.0,1.0,,8.0,0.0,1.0,2.0,,,43.3,18.0,4.0,4.0,7.0,3.0,36.0,3.0,3.0,349.0,15.0,11.0,17.0,4.0,25.0,2.0,210.0,8.0,17.0,23.0,50.0,18.0,11.0,15.0,17.0,,9.0,2.0,8.0,,11.0,8.0,3.0,,3.0,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,2.0,1.0,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,2.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,
35,803510,2016-05-11 19:45:00,"Carrow Road, Norwich",26279,Away,Watford,Norwich City,2,4,L,1,3,0,0,,,58.0,,2.0,39.0,13.0,6.0,2.0,3.0,176.0,2.0,11.0,2.0,3.0,9.0,,,7.0,92.0,151.0,64.0,12.0,1.0,12.0,2.0,,,1.0,2.0,1.0,13.0,22.0,3.0,8.0,,22.0,37.0,181.0,,0.0,150.0,13.0,3.0,,,1.0,44.0,49.0,8.0,48.0,1.0,,13.0,14.0,4.0,2.0,146.0,,10.0,84.0,585.0,8.0,15.0,,17.0,278.0,28.0,16.0,6.0,1.0,,3.0,5.0,1.0,21.0,375.0,80.0,98780,4.0,114.0,8.0,145.0,8.0,1.0,,14.0,7.0,41.0,2.0,3.0,7.0,2.0,8.0,9.0,3.0,80.0,293.0,8.0,9.0,40.0,83.0,,,,1.0,0.0,1.0,5.0,1.0,2.0,4.0,6.0,0.0,2.0,,,1.0,44.4,14.0,1.0,,7.0,3.0,38.0,1.0,1.0,400.0,17.0,5.0,24.0,2.0,30.0,,268.0,9.0,20.0,17.0,98.0,19.0,5.0,5.0,29.0,4.0,11.0,3.0,14.0,2.0,5.0,11.0,1.0,1.0,5.0,1.0,1.0,,,1.0,1.0,,1.0,,,2.0,1.0,,2.0,2.0,,,1.0,1.0,,,,2.0,2.0,,,1.0,1.0,2.0,2.0,,,,,,,,,,,1.0,,1.0,,,15.0,,,,,,1.0,1.0,,,,,,,,,,,,,6.0,6.0,3.0,
36,803512,2016-04-30 15:00:00,"Vicarage Road, Watford",20653,Home,Watford,Aston Villa,3,2,W,1,1,0,1,1.0,1.0,60.0,1.0,2.0,48.0,14.0,9.0,4.0,,200.0,7.0,10.0,3.0,3.0,11.0,,1.0,6.0,156.0,156.0,51.0,18.0,3.0,23.0,2.0,,,1.0,,2.0,36.0,11.0,1.0,10.0,6.0,22.0,43.0,305.0,,0.0,203.0,14.0,,,1.0,1.0,117.0,75.0,7.0,78.0,,3.0,30.0,18.0,9.0,3.0,152.0,,5.0,154.0,778.0,8.0,11.0,1.0,11.0,484.0,28.0,13.0,9.0,1.0,,2.0,1.0,4.0,29.0,568.0,70.0,98780,7.0,202.0,20.0,214.0,8.0,2.0,,18.0,5.0,65.0,,1.0,6.0,2.0,13.0,2.0,3.0,74.0,500.0,9.0,13.0,27.0,74.0,,,3.0,1.0,0.0,1.0,4.0,,2.0,2.0,6.0,0.0,4.0,1.0,5.0,,64.7,26.0,2.0,,6.0,5.0,51.0,8.0,1.0,588.0,11.0,6.0,28.0,7.0,48.0,3.0,410.0,9.0,21.0,19.0,154.0,24.0,2.0,8.0,14.0,1.0,12.0,2.0,21.0,,2.0,5.0,8.0,,1.0,2.0,1.0,,,1.0,2.0,,,,3.0,,,3.0,,1.0,1.0,,,,1.0,2.0,,,1.0,2.0,,,1.0,2.0,,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0
37,803530,2016-05-08 16:00:00,"Anfield, Liverpool",43341,Away,Watford,Liverpool,0,2,L,0,1,0,0,1.0,1.0,51.0,,2.0,25.0,25.0,2.0,4.0,3.0,116.0,9.0,20.0,,1.0,9.0,,1.0,3.0,63.0,138.0,60.0,14.0,,19.0,3.0,,,,1.0,,23.0,15.0,,19.0,8.0,13.0,31.0,126.0,1.0,0.0,107.0,15.0,2.0,,,2.0,41.0,33.0,3.0,37.0,4.0,4.0,15.0,9.0,4.0,3.0,132.0,,13.0,55.0,487.0,7.0,14.0,,21.0,178.0,19.0,5.0,9.0,,,2.0,6.0,6.0,20.0,242.0,59.0,98780,7.0,76.0,10.0,96.0,10.0,,,9.0,12.0,68.0,,1.0,5.0,,10.0,6.0,4.0,57.0,193.0,10.0,13.0,16.0,66.0,,,1.0,1.0,0.0,1.0,8.0,3.0,,2.0,5.0,0.0,6.0,,3.0,,33.9,15.0,4.0,1.0,6.0,2.0,36.0,8.0,2.0,271.0,21.0,8.0,15.0,9.0,38.0,3.0,198.0,7.0,12.0,14.0,63.0,17.0,2.0,8.0,17.0,1.0,9.0,3.0,34.0,,2.0,6.0,8.0,1.0,2.0,1.0,3.0,,,1.0,1.0,2.0,3.0,,3.0,,1.0,6.0,,,1.0,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
38,803539,2016-05-15 15:00:00,"Vicarage Road, Watford",21012,Home,Watford,Sunderland,2,2,D,0,1,0,0,,1.0,58.0,1.0,2.0,32.0,26.0,12.0,5.0,2.0,166.0,10.0,6.0,2.0,1.0,14.0,1.0,1.0,6.0,109.0,159.0,40.0,21.0,2.0,12.0,,,1.0,,2.0,3.0,28.0,11.0,4.0,20.0,7.0,11.0,34.0,195.0,1.0,0.0,137.0,11.0,1.0,,,,33.0,74.0,6.0,48.0,1.0,2.0,21.0,7.0,7.0,6.0,153.0,1.0,4.0,78.0,615.0,11.0,11.0,,24.0,293.0,25.0,13.0,11.0,1.0,1.0,1.0,1.0,8.0,22.0,377.0,73.0,98780,7.0,124.0,14.0,153.0,6.0,1.0,1.0,7.0,8.0,51.0,3.0,1.0,5.0,,13.0,2.0,5.0,62.0,309.0,7.0,9.0,29.0,74.0,,,,1.0,0.0,3.0,4.0,1.0,2.0,2.0,4.0,0.0,7.0,,3.0,,54.2,16.0,3.0,1.0,5.0,4.0,42.0,7.0,,401.0,24.0,18.0,17.0,11.0,38.0,3.0,276.0,13.0,9.0,14.0,101.0,22.0,1.0,9.0,13.0,2.0,13.0,3.0,8.0,,1.0,6.0,7.0,,3.0,,1.0,1.0,,,,,3.0,1.0,2.0,1.0,,4.0,1.0,1.0,1.0,,,,,2.0,,1.0,2.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,
