gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attFreekickTotal,interceptionsInBox,freekickTotal,secondYellow,accurateFreekickCross,totalOffside,attMissHigh,attFreekickMiss,attOboxBlocked,attBxRight,postScoringAtt,attIboxPost,cleanSheet,attHdPost,hitWoodwork,errorLeadToShot,attCmissLeft,attPostHigh,attHdMiss,accurateKeeperSweeper,totalKeeperSweeper,ownGoals,totalThroughBall,shieldBallOop,attIboxOwnGoal,goalsConcededObox,bigChanceCreated,bigChanceMissed,attSvLowRight,attSvHighCentre,handBall,attGoalLowLeft,attCmissRight,attSvHighRight,attRfGoal,attCmissHigh,defenderGoals,goalAssistSetplay,goalAssistDeadball,accurateThroughBall,attOneOnOne,errorLeadToGoal,attGoalLowRight,attLfGoal,attMissHighRight,attOboxGoal,attGoalHighCentre,clearanceOffLine,attSvHighLeft,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,attHdTarget,attPostRight,attCmissHighRight,foulThrowIn,penaltyWon,attLgCentre,attCmissHighLeft,attPenGoal,attObxLeft,attGoalHighRight,penaltySave,attFreekickGoal
28,803441,2016-03-02 19:45:00,"bet365 Stadium, Stoke",27331,Away,Newcastle United,Stoke City,0,1,L,0,0,0,0,1.0,,77.0,1.0,32.0,27.0,1.0,2.0,1.0,1.0,155.0,,5.0,14.0,,1.0,4.0,,3.0,75.0,163.0,68.0,5.0,12.0,2.0,,,1.0,,,18.0,13.0,1.0,22.0,1.0,12.0,20.0,145.0,0.0,110.0,6.0,1.0,,,1.0,1.0,3.0,37.0,61.0,3.0,63.0,,17.0,11.0,7.0,,158.0,,3.0,80.0,575.0,3.0,8.0,16.0,268.0,31.0,,16.0,18.0,,0.0,2.0,1.0,26.0,344.0,62.0,59735,3.0,143.0,9.0,,1.0,157.0,1.0,1.0,11.0,9.0,56.0,1.0,,13.0,6.0,4.0,75.0,283.0,10.0,9.0,1.0,40.0,73.0,,,,3.0,0.0,2.0,5.0,1.0,,1.0,2.0,0.0,5.0,,1.0,44.7,19.0,2.0,,4.0,1.0,34.0,1.0,3.0,373.0,16.0,20.0,8.0,1.0,30.0,,1.0,234.0,2.0,11.0,26.0,65.0,32.0,,4.0,14.0,18.0,,,4.0,3.0,23.0,4.0,4.0,1.0,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
29,803444,2016-03-05 15:00:00,"St. James' Park, Newcastle",52107,Home,Newcastle United,Bournemouth,1,3,L,0,1,0,0,,1.0,72.0,4.0,33.0,27.0,7.0,2.0,3.0,2.0,180.0,1.0,5.0,15.0,1.0,1.0,12.0,,3.0,88.0,175.0,61.0,14.0,24.0,1.0,,1.0,,,3.0,20.0,16.0,1.0,20.0,5.0,5.0,29.0,183.0,0.0,130.0,14.0,3.0,,1.0,,1.0,2.0,41.0,73.0,8.0,71.0,1.0,15.0,21.0,4.0,4.0,168.0,,13.0,94.0,656.0,11.0,13.0,17.0,309.0,32.0,,13.0,19.0,1.0,1.0,6.0,4.0,19.0,405.0,68.0,59735,5.0,147.0,10.0,,,172.0,8.0,,21.0,8.0,76.0,2.0,1.0,16.0,4.0,6.0,87.0,325.0,8.0,19.0,,44.0,94.0,,,,,0.0,3.0,4.0,2.0,1.0,3.0,2.0,0.0,4.0,1.0,1.0,49.3,14.0,3.0,,2.0,6.0,46.0,5.0,2.0,433.0,17.0,15.0,12.0,5.0,28.0,1.0,1.0,281.0,11.0,4.0,12.0,84.0,26.0,,2.0,16.0,26.0,,3.0,13.0,3.0,20.0,2.0,11.0,5.0,1.0,,,,,,1.0,1.0,,2.0,2.0,,,,,,,2.0,,1.0,,,1.0,1.0,2.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
30,803456,2016-03-14 20:00:00,"King Power Stadium, Leicester",31824,Away,Newcastle United,Leicester City,0,1,L,0,1,0,0,,,61.0,4.0,41.0,26.0,4.0,2.0,,1.0,195.0,,6.0,14.0,,,10.0,,2.0,105.0,164.0,67.0,12.0,26.0,,,,1.0,,3.0,20.0,17.0,2.0,24.0,4.0,19.0,36.0,164.0,0.0,138.0,9.0,,,,,1.0,2.0,55.0,60.0,6.0,83.0,1.0,16.0,31.0,7.0,1.0,162.0,1.0,7.0,83.0,679.0,9.0,11.0,16.0,341.0,24.0,,11.0,16.0,,0.0,6.0,4.0,26.0,450.0,65.0,60252,6.0,192.0,8.0,,,223.0,5.0,,31.0,6.0,62.0,1.0,,5.0,3.0,2.0,88.0,350.0,4.0,6.0,1.0,36.0,80.0,,,,2.0,0.0,2.0,8.0,,,1.0,4.0,0.0,4.0,,2.0,50.1,23.0,2.0,1.0,1.0,5.0,33.0,4.0,2.0,466.0,16.0,13.0,20.0,5.0,26.0,2.0,4.0,263.0,6.0,17.0,23.0,85.0,29.0,,4.0,14.0,26.0,,1.0,11.0,3.0,22.0,4.0,16.0,4.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
31,803470,2016-03-20 13:30:00,"St. James' Park, Newcastle",52311,Home,Newcastle United,Sunderland,1,1,D,0,1,0,0,1.0,,53.0,1.0,36.0,31.0,8.0,5.0,3.0,5.0,188.0,,6.0,15.0,1.0,1.0,13.0,,8.0,100.0,164.0,69.0,17.0,17.0,4.0,,1.0,3.0,,3.0,21.0,17.0,3.0,25.0,2.0,12.0,28.0,175.0,0.0,118.0,14.0,2.0,,,1.0,,4.0,56.0,54.0,8.0,60.0,2.0,19.0,16.0,7.0,4.0,158.0,,7.0,86.0,661.0,11.0,5.0,9.0,327.0,22.0,,8.0,13.0,1.0,4.0,3.0,5.0,29.0,415.0,65.0,60252,5.0,172.0,12.0,,,190.0,7.0,,16.0,8.0,66.0,5.0,1.0,15.0,7.0,6.0,76.0,341.0,7.0,11.0,1.0,34.0,103.0,,,,,0.0,2.0,5.0,2.0,1.0,1.0,,0.0,5.0,1.0,3.0,59.9,24.0,2.0,1.0,6.0,2.0,58.0,2.0,4.0,434.0,9.0,15.0,17.0,7.0,24.0,1.0,3.0,265.0,9.0,10.0,23.0,75.0,19.0,1.0,,12.0,24.0,1.0,1.0,14.0,3.0,25.0,,5.0,3.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,2.0,,1.0,,,,1.0,2.0,,,,,3.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,
32,803476,2016-04-02 15:00:00,"Carrow Road, Norwich",27137,Away,Newcastle United,Norwich City,2,3,L,0,1,0,0,2.0,1.0,54.0,1.0,25.0,32.0,3.0,3.0,3.0,,175.0,,12.0,6.0,2.0,1.0,12.0,,5.0,125.0,167.0,38.0,13.0,19.0,2.0,,1.0,,,3.0,32.0,6.0,1.0,23.0,3.0,17.0,25.0,198.0,0.0,131.0,11.0,3.0,,,,1.0,5.0,52.0,73.0,5.0,68.0,1.0,29.0,12.0,12.0,2.0,158.0,1.0,8.0,107.0,680.0,10.0,8.0,11.0,358.0,18.0,,10.0,16.0,1.0,0.0,2.0,7.0,31.0,450.0,54.0,60252,7.0,185.0,16.0,,,214.0,5.0,,12.0,6.0,47.0,4.0,1.0,13.0,5.0,,81.0,371.0,5.0,7.0,1.0,46.0,98.0,,1.0,,,0.0,1.0,6.0,2.0,2.0,3.0,3.0,0.0,10.0,1.0,7.0,57.3,25.0,,,4.0,1.0,53.0,5.0,6.0,475.0,11.0,6.0,15.0,7.0,30.0,2.0,5.0,293.0,3.0,17.0,15.0,92.0,24.0,,2.0,11.0,12.0,1.0,3.0,10.0,2.0,11.0,2.0,8.0,5.0,1.0,,,,,1.0,3.0,2.0,,,1.0,,,,,,1.0,1.0,,5.0,1.0,1.0,,,,,,,,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,,,,
33,803488,2016-04-09 15:00:00,"St. Mary's Stadium, Southampton",31542,Away,Newcastle United,Southampton,1,3,L,0,2,0,0,1.0,,60.0,1.0,34.0,31.0,4.0,2.0,3.0,1.0,171.0,,2.0,7.0,1.0,2.0,4.0,,3.0,99.0,158.0,40.0,5.0,12.0,,,1.0,1.0,,1.0,20.0,18.0,2.0,20.0,2.0,19.0,21.0,137.0,0.0,75.0,7.0,2.0,,1.0,,2.0,2.0,40.0,64.0,4.0,72.0,,18.0,16.0,6.0,1.0,147.0,,14.0,84.0,619.0,3.0,8.0,20.0,312.0,34.0,,11.0,14.0,1.0,0.0,5.0,,15.0,398.0,41.0,60252,,196.0,10.0,,,222.0,4.0,,16.0,13.0,43.0,3.0,1.0,15.0,6.0,9.0,75.0,331.0,7.0,9.0,,34.0,87.0,,1.0,,2.0,0.0,1.0,11.0,2.0,,3.0,3.0,0.0,2.0,,,49.4,13.0,,,3.0,1.0,43.0,2.0,2.0,426.0,20.0,12.0,9.0,1.0,24.0,,,224.0,3.0,18.0,6.0,44.0,18.0,,5.0,9.0,20.0,,3.0,5.0,3.0,10.0,5.0,11.0,2.0,1.0,,3.0,,,,1.0,,,,1.0,,,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,
34,803498,2016-04-16 15:00:00,"St. James' Park, Newcastle",48949,Home,Newcastle United,Swansea City,3,0,W,1,0,0,0,2.0,3.0,53.0,1.0,19.0,18.0,5.0,5.0,1.0,2.0,156.0,1.0,3.0,7.0,3.0,1.0,10.0,,7.0,47.0,176.0,49.0,12.0,16.0,1.0,1.0,1.0,2.0,,,18.0,17.0,3.0,10.0,3.0,13.0,28.0,104.0,0.0,109.0,13.0,,1.0,2.0,2.0,1.0,,68.0,63.0,7.0,40.0,1.0,15.0,27.0,5.0,2.0,168.0,,8.0,47.0,509.0,7.0,9.0,19.0,173.0,21.0,2.0,5.0,10.0,2.0,2.0,3.0,3.0,42.0,268.0,61.0,60252,4.0,82.0,9.0,,,103.0,5.0,,27.0,12.0,56.0,2.0,1.0,11.0,3.0,4.0,61.0,183.0,8.0,7.0,1.0,29.0,75.0,1.0,,,1.0,0.0,,7.0,1.0,3.0,,2.0,0.0,1.0,2.0,1.0,34.5,31.0,3.0,1.0,2.0,1.0,30.0,3.0,,290.0,19.0,10.0,11.0,4.0,20.0,2.0,2.0,205.0,5.0,10.0,12.0,58.0,26.0,,9.0,6.0,22.0,1.0,,9.0,3.0,17.0,9.0,16.0,3.0,,,2.0,,,,4.0,1.0,,,1.0,,,1.0,,,,,,,,,,2.0,,,,2.0,,,,,2.0,,,1.0,,1.0,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
35,803506,2016-04-23 15:00:00,"Anfield, Liverpool",43837,Away,Newcastle United,Liverpool,2,2,D,0,2,0,0,,,53.0,,26.0,47.0,1.0,2.0,2.0,,152.0,1.0,5.0,8.0,2.0,1.0,5.0,,3.0,45.0,183.0,67.0,6.0,13.0,1.0,,2.0,,,,15.0,24.0,,37.0,1.0,13.0,32.0,117.0,0.0,94.0,17.0,1.0,,1.0,1.0,1.0,5.0,46.0,60.0,3.0,48.0,,14.0,26.0,5.0,1.0,173.0,,6.0,51.0,547.0,2.0,14.0,23.0,166.0,24.0,,8.0,30.0,2.0,1.0,6.0,2.0,28.0,265.0,55.0,60252,4.0,74.0,8.0,,1.0,111.0,5.0,,26.0,9.0,65.0,1.0,2.0,21.0,7.0,6.0,68.0,186.0,8.0,13.0,1.0,38.0,80.0,,,,,0.0,1.0,5.0,2.0,2.0,2.0,5.0,0.0,5.0,1.0,2.0,33.0,23.0,3.0,,2.0,,39.0,4.0,5.0,296.0,23.0,11.0,16.0,3.0,20.0,,2.0,200.0,2.0,11.0,20.0,55.0,18.0,1.0,2.0,27.0,31.0,1.0,1.0,5.0,3.0,21.0,2.0,14.0,4.0,,,2.0,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,
36,803514,2016-04-30 15:00:00,"St. James' Park, Newcastle",52107,Home,Newcastle United,Crystal Palace,1,0,W,0,0,0,0,,,68.0,2.0,20.0,31.0,4.0,5.0,3.0,3.0,193.0,,3.0,14.0,1.0,1.0,9.0,,4.0,74.0,183.0,75.0,10.0,20.0,1.0,,,1.0,,2.0,18.0,24.0,2.0,22.0,2.0,17.0,23.0,169.0,0.0,147.0,11.0,3.0,,1.0,1.0,,2.0,50.0,83.0,6.0,62.0,,16.0,14.0,5.0,1.0,174.0,,4.0,65.0,612.0,9.0,6.0,14.0,262.0,25.0,,9.0,18.0,,2.0,1.0,3.0,26.0,367.0,73.0,60252,4.0,110.0,11.0,,,128.0,5.0,,14.0,9.0,57.0,6.0,,13.0,5.0,3.0,72.0,276.0,12.0,11.0,,38.0,88.0,,1.0,,3.0,0.0,3.0,8.0,2.0,,,2.0,0.0,3.0,,,49.5,19.0,3.0,,6.0,3.0,30.0,4.0,2.0,394.0,14.0,12.0,8.0,3.0,26.0,,2.0,284.0,5.0,13.0,23.0,93.0,28.0,,5.0,16.0,27.0,,,9.0,3.0,20.0,5.0,9.0,4.0,1.0,1.0,2.0,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,,,,3.0,3.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,1.0,1.0
37,803526,2016-05-07 15:00:00,"Villa Park, Birmingham",33055,Away,Newcastle United,Aston Villa,0,0,D,0,0,0,0,1.0,,53.0,1.0,29.0,33.0,1.0,2.0,,2.0,161.0,,9.0,6.0,,3.0,7.0,,3.0,120.0,163.0,46.0,9.0,15.0,2.0,,,1.0,,2.0,37.0,14.0,1.0,26.0,5.0,19.0,21.0,211.0,0.0,138.0,13.0,,,,,2.0,2.0,58.0,127.0,3.0,73.0,,32.0,22.0,13.0,,156.0,,1.0,101.0,693.0,7.0,6.0,16.0,370.0,18.0,,10.0,21.0,,1.0,,4.0,47.0,444.0,56.0,60252,5.0,176.0,17.0,,1.0,191.0,7.0,,22.0,4.0,57.0,7.0,,19.0,1.0,2.0,49.0,378.0,8.0,8.0,,22.0,66.0,,,,,0.0,2.0,,,,,2.0,0.0,8.0,,2.0,54.1,39.0,1.0,1.0,7.0,1.0,40.0,5.0,2.0,455.0,16.0,14.0,13.0,5.0,39.0,1.0,5.0,301.0,5.0,17.0,16.0,99.0,25.0,,1.0,17.0,17.0,,,7.0,3.0,13.0,1.0,8.0,5.0,,1.0,1.0,1.0,,,1.0,3.0,,,2.0,,,1.0,,,,1.0,,2.0,,,,1.0,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
38,803540,2016-05-15 15:00:00,"St. James' Park, Newcastle",52183,Home,Newcastle United,Tottenham Hotspur,5,1,W,2,0,1,0,1.0,3.0,54.0,2.0,27.0,35.0,8.0,6.0,4.0,3.0,121.0,,4.0,10.0,5.0,2.0,15.0,,10.0,86.0,118.0,42.0,19.0,5.0,3.0,2.0,4.0,1.0,1.0,,12.0,18.0,2.0,23.0,1.0,15.0,20.0,168.0,0.0,95.0,7.0,2.0,3.0,2.0,1.0,,1.0,59.0,69.0,12.0,68.0,1.0,11.0,16.0,3.0,2.0,106.0,,7.0,76.0,538.0,11.0,3.0,17.0,270.0,24.0,,7.0,17.0,4.0,1.0,6.0,3.0,11.0,325.0,38.0,60252,7.0,120.0,8.0,,1.0,138.0,3.0,,16.0,11.0,39.0,1.0,4.0,6.0,11.0,5.0,55.0,284.0,6.0,7.0,,17.0,58.0,2.0,,,,0.0,,8.0,3.0,5.0,1.0,,1.0,4.0,4.0,2.0,38.5,9.0,3.0,2.0,2.0,6.0,34.0,3.0,1.0,351.0,17.0,13.0,11.0,3.0,22.0,,,225.0,11.0,15.0,6.0,76.0,21.0,1.0,3.0,10.0,20.0,1.0,1.0,15.0,3.0,18.0,3.0,8.0,3.0,1.0,,2.0,,,,1.0,1.0,,4.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,3.0,1.0,2.0,,,1.0,1.0,1.0,3.0,,1.0,,,,1.0,,3.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,1.0,,1.0,,
