gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowRight,attRfTarget,attFreekickTotal,accurateKeeperSweeper,attOneOnOne,attSvHighRight,attSvLowLeft,freekickTotal,bigChanceCreated,totalKeeperSweeper,bigChanceMissed,defenderGoals,goalsConceded,attFreekickMiss,goalsConcededIbox,ptsDroppedWinningPos,attOboxBlocked,attObxdLeft,attMissHighRight,hitWoodwork,accurateThroughBall,totalThroughBall,attBxLeft,accuratePullBack,shotFastbreak,goalAssistOpenplay,goalFastbreak,penaltyWon,totalFastbreak,midfielderGoals,penaltyConceded,attRfGoal,goalsOpenplay,attPenGoal,attFastbreak,penaltyFaced,penGoalsConceded,ptsGainedLosingPos,attCmissLeft,clearanceOffLine,attLfGoal,attLgCentre,attGoalHighRight,attCmissHighRight,errorLeadToGoal,goalsConcededObox,postScoringAtt,attIboxPost,sixYardBlock,attFreekickTarget,attPostRight,attGoalLowCentre,contentiousDecision,attOboxGoal,attGoalHighCentre,attSvHighLeft,errorLeadToShot,attFreekickGoal,punches,attGoalHighLeft,ownGoals,attIboxOwnGoal,attPostHigh,attPostLeft,attHdPost,attSvHighCentre,attOboxPost,attFreekickPost,attCmissHighLeft,attObxRight
27,855440,2017-03-04 15:00:00,"The Hawthorns, West Bromwich",24051,Home,West Bromwich Albion,Crystal Palace,0,2,L,0,0,0,0,,,44.0,,,1.0,,,34.0,34.0,8.0,5.0,3.0,1.0,157.0,1.0,1.0,,2.0,8.0,,1.0,82.0,168.0,40.0,11.0,37.0,,1.0,,2.0,22.0,11.0,1.0,34.0,5.0,12.0,16.0,158.0,,0.0,132.0,8.0,1.0,2.0,1.0,54.0,56.0,4.0,51.0,2.0,,18.0,9.0,8.0,7.0,3.0,168.0,8.0,80.0,576.0,5.0,11.0,7.0,,10.0,254.0,27.0,,11.0,18.0,,0.0,5.0,4.0,39.0,347.0,70.0,,9089,2.0,109.0,9.0,,134.0,4.0,1.0,9.0,8.0,76.0,,,,11.0,2.0,3.0,3.0,80.0,266.0,12.0,12.0,3.0,48.0,2.0,72.0,,0.0,2.0,5.0,2.0,,2.0,0.0,,,,,51.4,30.0,,1.0,,5.0,30.0,5.0,1.0,370.0,10.0,17.0,10.0,5.0,29.0,2.0,2.0,258.0,6.0,12.0,14.0,79.0,14.0,,4.0,18.0,13.0,,8.0,3.0,5.0,4.0,7.0,5.0,,,1.0,1.0,,,,1.0,1.0,,,,,2.0,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,855447,2017-03-11 15:00:00,"Goodison Park, Liverpool",39592,Away,West Bromwich Albion,Everton,0,3,L,0,2,0,0,1.0,2.0,57.0,,1.0,,,,19.0,21.0,4.0,3.0,1.0,2.0,146.0,1.0,9.0,,,5.0,,2.0,83.0,151.0,58.0,5.0,16.0,,1.0,1.0,,16.0,12.0,2.0,21.0,6.0,17.0,31.0,135.0,,0.0,112.0,12.0,1.0,,,36.0,62.0,4.0,56.0,1.0,1.0,10.0,22.0,4.0,3.0,,151.0,8.0,67.0,524.0,5.0,9.0,15.0,,10.0,236.0,26.0,,4.0,10.0,,2.0,4.0,1.0,25.0,330.0,56.0,,9089,,114.0,7.0,,142.0,4.0,1.0,22.0,10.0,45.0,,,1.0,15.0,8.0,4.0,,62.0,248.0,8.0,7.0,,33.0,,79.0,,0.0,,4.0,1.0,,4.0,0.0,1.0,,,,37.2,19.0,,1.0,1.0,2.0,35.0,6.0,,352.0,10.0,8.0,15.0,1.0,29.0,,1.0,226.0,2.0,16.0,21.0,66.0,26.0,,1.0,10.0,20.0,,5.0,3.0,12.0,1.0,12.0,6.0,,,,,,,,1.0,,,,,,3.0,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,855460,2017-03-18 12:30:00,"The Hawthorns, West Bromwich",24065,Home,West Bromwich Albion,Arsenal,3,1,W,1,1,0,0,,3.0,65.0,,,1.0,2.0,2.0,16.0,23.0,1.0,5.0,11.0,1.0,114.0,6.0,10.0,3.0,1.0,10.0,,8.0,36.0,131.0,41.0,12.0,17.0,5.0,3.0,3.0,1.0,14.0,10.0,,23.0,4.0,3.0,27.0,68.0,,0.0,82.0,5.0,1.0,1.0,3.0,33.0,32.0,7.0,27.0,4.0,1.0,10.0,15.0,1.0,2.0,1.0,131.0,6.0,44.0,390.0,7.0,7.0,16.0,1.0,18.0,124.0,36.0,,6.0,8.0,2.0,1.0,5.0,3.0,21.0,201.0,45.0,,9089,3.0,68.0,7.0,,90.0,1.0,,15.0,5.0,41.0,,2.0,,10.0,5.0,2.0,1.0,57.0,130.0,6.0,10.0,1.0,23.0,3.0,60.0,,0.0,,5.0,1.0,3.0,1.0,0.0,3.0,2.0,,5.0,23.3,11.0,1.0,3.0,,1.0,18.0,4.0,3.0,221.0,18.0,7.0,8.0,3.0,22.0,3.0,2.0,145.0,2.0,2.0,12.0,32.0,18.0,,2.0,8.0,14.0,2.0,9.0,3.0,13.0,2.0,5.0,4.0,2.0,1.0,1.0,,3.0,1.0,,1.0,,3.0,3.0,1.0,2.0,1.0,,1.0,,,,,,2.0,4.0,2.0,,3.0,,,,3.0,,,,1.0,,3.0,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
30,855468,2017-04-01 15:00:00,"Old Trafford, Manchester",75397,Away,West Bromwich Albion,Manchester United,0,0,D,0,0,0,0,,,67.0,,2.0,,,,20.0,46.0,2.0,1.0,1.0,3.0,129.0,2.0,7.0,,2.0,3.0,,1.0,40.0,131.0,50.0,3.0,14.0,,,,1.0,8.0,13.0,1.0,46.0,1.0,10.0,22.0,81.0,1.0,0.0,66.0,13.0,3.0,2.0,3.0,41.0,38.0,2.0,45.0,5.0,,7.0,16.0,2.0,2.0,,131.0,9.0,47.0,450.0,3.0,6.0,10.0,,18.0,158.0,37.0,,6.0,27.0,,3.0,7.0,1.0,16.0,231.0,41.0,,9089,1.0,87.0,3.0,,122.0,5.0,1.0,16.0,12.0,55.0,,,1.0,8.0,9.0,2.0,,68.0,166.0,14.0,13.0,,31.0,,69.0,,0.0,2.0,6.0,1.0,,,0.0,1.0,,,,25.2,11.0,,1.0,1.0,1.0,27.0,1.0,3.0,261.0,18.0,13.0,13.0,1.0,14.0,1.0,1.0,147.0,2.0,10.0,12.0,35.0,21.0,,2.0,27.0,18.0,,2.0,3.0,9.0,2.0,8.0,1.0,,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,
31,855478,2017-04-04 19:45:00,"Vicarage Road, Watford",20090,Away,West Bromwich Albion,Watford,0,2,L,0,1,0,1,,1.0,59.0,,,3.0,,,20.0,11.0,6.0,7.0,11.0,,139.0,5.0,11.0,,5.0,11.0,1.0,2.0,74.0,137.0,47.0,18.0,15.0,2.0,2.0,,3.0,32.0,8.0,,11.0,5.0,10.0,33.0,164.0,,0.0,135.0,14.0,,3.0,,50.0,42.0,5.0,45.0,,3.0,27.0,11.0,7.0,8.0,3.0,137.0,6.0,77.0,513.0,9.0,7.0,27.0,,12.0,247.0,27.0,2.0,7.0,6.0,,4.0,4.0,6.0,17.0,319.0,57.0,,9089,6.0,99.0,16.0,3.0,118.0,6.0,,11.0,3.0,55.0,1.0,,1.0,8.0,3.0,,1.0,50.0,258.0,11.0,6.0,2.0,23.0,1.0,59.0,1.0,0.0,3.0,5.0,,,4.0,0.0,4.0,,,3.0,44.4,15.0,3.0,3.0,1.0,6.0,33.0,6.0,,335.0,12.0,13.0,19.0,10.0,45.0,1.0,6.0,249.0,8.0,10.0,14.0,93.0,27.0,,3.0,6.0,12.0,,13.0,3.0,18.0,3.0,6.0,6.0,,,1.0,1.0,,1.0,,,1.0,1.0,,2.0,,2.0,,1.0,,3.0,,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0
32,855490,2017-04-08 15:00:00,"The Hawthorns, West Bromwich",24697,Home,West Bromwich Albion,Southampton,0,1,L,0,1,0,0,1.0,1.0,69.0,,1.0,1.0,,,29.0,15.0,6.0,3.0,11.0,2.0,158.0,8.0,8.0,,1.0,11.0,,6.0,77.0,168.0,48.0,17.0,22.0,5.0,1.0,1.0,2.0,25.0,8.0,1.0,15.0,6.0,13.0,23.0,197.0,,0.0,167.0,12.0,1.0,2.0,,85.0,59.0,9.0,60.0,6.0,,19.0,15.0,6.0,2.0,2.0,168.0,6.0,88.0,586.0,10.0,15.0,28.0,2.0,22.0,269.0,33.0,1.0,14.0,7.0,,2.0,3.0,2.0,26.0,366.0,78.0,1.0,9089,8.0,91.0,15.0,4.0,109.0,6.0,1.0,15.0,4.0,55.0,,1.0,1.0,18.0,4.0,2.0,4.0,66.0,280.0,12.0,2.0,1.0,38.0,1.0,68.0,2.0,0.0,2.0,3.0,1.0,,4.0,0.0,6.0,,1.0,3.0,41.9,20.0,1.0,4.0,1.0,4.0,35.0,7.0,,383.0,22.0,15.0,13.0,7.0,29.0,2.0,5.0,299.0,11.0,13.0,18.0,108.0,30.0,,2.0,7.0,11.0,,12.0,3.0,14.0,2.0,8.0,7.0,,,3.0,,1.0,,,1.0,,3.0,1.0,3.0,,1.0,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,
33,855501,2017-04-16 13:30:00,"The Hawthorns, West Bromwich",25669,Home,West Bromwich Albion,Liverpool,0,1,L,0,1,0,0,1.0,1.0,54.0,,1.0,,,,26.0,20.0,4.0,4.0,3.0,1.0,151.0,2.0,9.0,,1.0,6.0,,2.0,57.0,171.0,56.0,7.0,24.0,1.0,,,4.0,23.0,10.0,1.0,20.0,4.0,15.0,42.0,113.0,,0.0,103.0,15.0,,2.0,1.0,54.0,36.0,2.0,48.0,1.0,,19.0,22.0,4.0,5.0,3.0,171.0,7.0,55.0,505.0,5.0,10.0,10.0,,9.0,202.0,21.0,1.0,6.0,12.0,,3.0,4.0,3.0,30.0,287.0,57.0,,9089,2.0,102.0,12.0,,125.0,7.0,,22.0,12.0,74.0,,6.0,2.0,17.0,8.0,5.0,,66.0,213.0,9.0,15.0,,26.0,,80.0,1.0,0.0,,4.0,,,4.0,0.0,2.0,,2.0,1.0,36.3,22.0,1.0,1.0,2.0,,34.0,4.0,1.0,311.0,9.0,14.0,23.0,5.0,34.0,,2.0,209.0,2.0,13.0,23.0,59.0,26.0,,2.0,12.0,15.0,,7.0,3.0,16.0,2.0,11.0,4.0,,,1.0,,,,,1.0,,2.0,,2.0,,1.0,,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
34,855509,2017-05-16 20:00:00,"Etihad Stadium, Manchester",53624,Away,West Bromwich Albion,Manchester City,1,3,L,0,2,0,0,,,56.0,,4.0,,,,21.0,16.0,2.0,1.0,3.0,7.0,120.0,2.0,9.0,1.0,1.0,5.0,,2.0,59.0,126.0,32.0,6.0,15.0,,,1.0,1.0,10.0,8.0,1.0,16.0,1.0,4.0,25.0,86.0,,0.0,70.0,11.0,5.0,1.0,1.0,26.0,39.0,3.0,39.0,3.0,1.0,9.0,8.0,3.0,5.0,,126.0,10.0,65.0,457.0,4.0,5.0,5.0,,28.0,197.0,34.0,,5.0,9.0,1.0,2.0,2.0,2.0,15.0,254.0,46.0,,9089,2.0,125.0,3.0,,139.0,9.0,,8.0,13.0,62.0,,1.0,1.0,16.0,11.0,5.0,,61.0,209.0,7.0,14.0,,26.0,,67.0,,0.0,1.0,7.0,3.0,1.0,2.0,0.0,2.0,1.0,,1.0,29.3,12.0,1.0,3.0,1.0,2.0,25.0,1.0,1.0,283.0,28.0,19.0,14.0,2.0,12.0,,2.0,154.0,4.0,2.0,6.0,33.0,12.0,,2.0,9.0,11.0,,6.0,3.0,13.0,2.0,5.0,1.0,1.0,,1.0,,,,,,,1.0,,,,3.0,,2.0,,2.0,,,,1.0,3.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,
35,855521,2017-04-29 15:00:00,"The Hawthorns, West Bromwich",24611,Home,West Bromwich Albion,Leicester City,0,1,L,0,1,0,0,,1.0,67.0,,,4.0,,,37.0,27.0,7.0,4.0,9.0,,166.0,6.0,8.0,,5.0,13.0,,4.0,80.0,151.0,68.0,16.0,16.0,2.0,1.0,1.0,2.0,26.0,9.0,2.0,27.0,5.0,12.0,45.0,178.0,,0.0,145.0,14.0,,1.0,1.0,53.0,57.0,9.0,53.0,2.0,2.0,21.0,17.0,7.0,5.0,4.0,151.0,4.0,93.0,587.0,10.0,14.0,26.0,2.0,9.0,283.0,32.0,1.0,12.0,18.0,,2.0,1.0,4.0,21.0,376.0,62.0,,9089,5.0,123.0,15.0,2.0,148.0,7.0,,17.0,7.0,53.0,1.0,1.0,4.0,10.0,2.0,5.0,1.0,72.0,295.0,9.0,6.0,3.0,36.0,2.0,77.0,1.0,0.0,2.0,6.0,,,5.0,0.0,4.0,,1.0,6.0,54.8,17.0,3.0,1.0,4.0,5.0,49.0,5.0,2.0,392.0,9.0,11.0,28.0,7.0,42.0,2.0,3.0,270.0,6.0,10.0,35.0,101.0,27.0,,5.0,18.0,16.0,,10.0,3.0,14.0,5.0,8.0,5.0,,,1.0,2.0,4.0,,1.0,1.0,2.0,,4.0,,,1.0,2.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
36,855524,2017-05-06 15:00:00,"Turf Moor, Burnley",20825,Away,West Bromwich Albion,Burnley,2,2,D,0,0,0,0,,1.0,62.0,1.0,1.0,4.0,1.0,1.0,30.0,42.0,4.0,3.0,7.0,3.0,145.0,7.0,9.0,2.0,2.0,6.0,,3.0,42.0,164.0,66.0,11.0,21.0,1.0,1.0,1.0,1.0,26.0,8.0,,42.0,8.0,11.0,37.0,126.0,,0.0,111.0,14.0,1.0,2.0,2.0,65.0,55.0,6.0,55.0,,,19.0,15.0,4.0,7.0,1.0,164.0,10.0,64.0,503.0,5.0,5.0,17.0,,7.0,180.0,31.0,,11.0,33.0,1.0,3.0,4.0,,24.0,278.0,64.0,,9089,3.0,73.0,10.0,,98.0,5.0,2.0,15.0,9.0,47.0,,1.0,1.0,15.0,4.0,2.0,,88.0,192.0,9.0,3.0,,43.0,3.0,78.0,,0.0,,5.0,1.0,2.0,2.0,0.0,4.0,1.0,,3.0,44.9,20.0,,4.0,1.0,7.0,31.0,8.0,2.0,306.0,7.0,10.0,18.0,1.0,29.0,4.0,,234.0,5.0,9.0,34.0,65.0,17.0,1.0,2.0,33.0,14.0,1.0,8.0,3.0,10.0,2.0,6.0,8.0,1.0,1.0,,,1.0,,,,,1.0,1.0,,1.0,2.0,,2.0,2.0,3.0,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,855540,2017-05-12 20:00:00,"The Hawthorns, West Bromwich",25367,Home,West Bromwich Albion,Chelsea,0,1,L,0,0,0,0,,1.0,52.0,,2.0,2.0,,,28.0,28.0,1.0,2.0,6.0,4.0,115.0,6.0,6.0,,3.0,5.0,,2.0,59.0,117.0,45.0,7.0,14.0,2.0,3.0,,2.0,22.0,13.0,,28.0,5.0,3.0,25.0,123.0,,0.0,89.0,13.0,1.0,2.0,,68.0,29.0,4.0,33.0,5.0,,17.0,7.0,1.0,6.0,,117.0,13.0,55.0,436.0,4.0,14.0,13.0,1.0,15.0,183.0,32.0,,10.0,12.0,,3.0,9.0,1.0,14.0,239.0,49.0,1.0,9089,2.0,77.0,9.0,2.0,88.0,6.0,,7.0,12.0,42.0,,3.0,1.0,15.0,11.0,5.0,,63.0,194.0,7.0,8.0,1.0,28.0,1.0,68.0,1.0,0.0,3.0,8.0,2.0,,5.0,0.0,4.0,,,1.0,32.4,9.0,,,1.0,3.0,33.0,5.0,,262.0,15.0,3.0,15.0,2.0,24.0,2.0,2.0,196.0,4.0,3.0,15.0,53.0,14.0,,1.0,12.0,18.0,,4.0,3.0,10.0,1.0,3.0,5.0,,,,,1.0,,1.0,,,,1.0,,,1.0,,1.0,,1.0,,,,1.0,1.0,,,2.0,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
38,855550,2017-05-21 15:00:00,"Swansea.com Stadium, Swansea",20889,Away,West Bromwich Albion,Swansea City,1,2,L,1,0,0,0,,1.0,51.0,,,3.0,1.0,1.0,24.0,24.0,5.0,4.0,10.0,,128.0,5.0,2.0,1.0,2.0,10.0,1.0,5.0,81.0,124.0,40.0,16.0,18.0,3.0,3.0,2.0,1.0,22.0,13.0,1.0,24.0,4.0,11.0,20.0,149.0,,0.0,111.0,10.0,,1.0,3.0,36.0,72.0,7.0,43.0,2.0,1.0,18.0,19.0,6.0,9.0,3.0,124.0,9.0,64.0,500.0,8.0,3.0,15.0,1.0,12.0,242.0,24.0,1.0,10.0,11.0,1.0,1.0,4.0,3.0,14.0,297.0,52.0,1.0,9089,3.0,107.0,8.0,1.0,120.0,3.0,,19.0,9.0,52.0,,,1.0,19.0,3.0,4.0,2.0,56.0,251.0,8.0,9.0,1.0,34.0,1.0,66.0,,0.0,1.0,7.0,,1.0,,0.0,4.0,1.0,1.0,4.0,34.7,9.0,2.0,1.0,1.0,5.0,35.0,4.0,3.0,316.0,12.0,14.0,15.0,6.0,26.0,1.0,3.0,218.0,8.0,11.0,12.0,83.0,20.0,,6.0,11.0,18.0,1.0,12.0,3.0,5.0,6.0,11.0,4.0,1.0,,2.0,2.0,,1.0,1.0,1.0,2.0,2.0,,2.0,1.0,2.0,1.0,2.0,3.0,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,
