gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attPenTarget,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,totalPullBack,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,goalAssistSetplay,attMissLeft,attSvHighRight,attSvHighLeft,attHdTarget,accurateFreekickCross,attAssistSetplay,attSvLowRight,attCmissLeft,goalsConceded,possWonAtt3rd,attFreekickMiss,goalAssistDeadball,attLfGoal,attGoalLowCentre,attCmissRight,postScoringAtt,attIboxPost,attOboxTarget,attHdPost,hitWoodwork,defenderGoals,overrun,attPostHigh,attSvHighCentre,sixYardBlock,penaltyConceded,penaltyFaced,penGoalsConceded,goalsConcededIbox,attPostLeft,punches,accurateKeeperSweeper,totalKeeperSweeper,accurateThroughBall,accuratePullBack,attOneOnOne,shieldBallOop,errorLeadToGoal,goalFastbreak,attGoalHighCentre,attCmissHighLeft,attOboxPost,attPostRight,attGoalHighRight,clearanceOffLine,contentiousDecision,attObxLeft,attemptsIbox,saves,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attCmissHighRight,ownGoals,attIboxOwnGoal,attFreekickPost,penaltySave,attObpGoal,attFreekickTarget,attLgCentre,attObxdLeft,ptsGainedLosingPos
28,442270,2013-03-02 15:00:00,"Stamford Bridge, London",41548,Away,West Bromwich Albion,Chelsea,0,1,L,0,1,0,0,2.0,1.0,,59.0,,,2.0,,32.0,20.0,4.0,1.0,2.0,157.0,5.0,6.0,,3.0,3.0,3.0,98.0,148.0,48.0,,2.0,7.0,,7.0,1.0,,1.0,,,18.0,14.0,12.0,7.0,20.0,33.0,169.0,2.0,,,,0.0,106.0,17.0,4.0,,,,1.0,2.0,62.0,51.0,1.0,60.0,,,11.0,2.0,1.0,2.0,140.0,,15.0,104.0,585.0,,2.0,7.0,11.0,26.0,,14.0,16.0,,2.0,9.0,2.0,15.0,50.0,,9089,2.0,171.0,,9.0,,196.0,,1.0,6.0,47.0,,,1.0,7.0,,12.0,9.0,2.0,1.0,,55.0,335.0,12.0,7.0,29.0,97.0,,,0.0,9.0,6.0,,1.0,0.0,1.0,,1.0,47.1,9.0,1.0,,8.0,,56.0,7.0,2.0,419.0,8.0,11.0,17.0,4.0,8.0,4.0,2.0,241.0,5.0,19.0,12.0,79.0,20.0,,3.0,10.0,18.0,,2.0,3.0,13.0,3.0,7.0,,,1.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,2.0,,,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
29,442287,2013-03-09 15:00:00,"The Hawthorns, West Bromwich",24832,Home,West Bromwich Albion,Swansea City,2,1,W,1,1,0,0,1.0,1.0,,60.0,,,1.0,1.0,16.0,11.0,5.0,7.0,2.0,175.0,2.0,8.0,2.0,3.0,10.0,5.0,104.0,150.0,50.0,1.0,,14.0,2.0,23.0,3.0,,,1.0,1.0,12.0,15.0,8.0,3.0,18.0,27.0,182.0,,,,1.0,0.0,128.0,11.0,,,,2.0,1.0,,48.0,48.0,7.0,78.0,2.0,1.0,9.0,,5.0,2.0,147.0,,7.0,94.0,613.0,,8.0,5.0,23.0,21.0,,10.0,6.0,1.0,1.0,3.0,3.0,12.0,67.0,,9089,4.0,177.0,1.0,3.0,,196.0,1.0,1.0,6.0,53.0,1.0,,1.0,6.0,1.0,13.0,4.0,1.0,1.0,,48.0,357.0,10.0,5.0,31.0,84.0,,,0.0,3.0,,2.0,2.0,0.0,1.0,1.0,1.0,44.2,8.0,,4.0,6.0,3.0,40.0,3.0,,451.0,18.0,9.0,11.0,6.0,11.0,1.0,4.0,267.0,6.0,17.0,13.0,75.0,24.0,1.0,4.0,4.0,19.0,,11.0,3.0,14.0,4.0,3.0,,,4.0,1.0,,1.0,,1.0,,1.0,1.0,6.0,,,,1.0,,,,1.0,,,,5.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,442294,2013-03-16 15:00:00,"bet365 Stadium, Stoke",26317,Away,West Bromwich Albion,Stoke City,0,0,D,0,0,0,0,,2.0,,48.0,,,,,26.0,41.0,6.0,5.0,1.0,146.0,2.0,2.0,,3.0,6.0,4.0,98.0,165.0,48.0,,1.0,9.0,1.0,28.0,2.0,,,,2.0,17.0,7.0,21.0,1.0,11.0,28.0,172.0,1.0,1.0,,,0.0,123.0,11.0,,,,2.0,1.0,5.0,78.0,43.0,4.0,53.0,,1.0,16.0,1.0,2.0,4.0,145.0,,11.0,79.0,565.0,,6.0,5.0,7.0,17.0,1.0,7.0,26.0,,2.0,7.0,2.0,24.0,80.0,1.0,9089,1.0,126.0,,13.0,,147.0,,,14.0,62.0,,,2.0,5.0,,12.0,6.0,7.0,1.0,,55.0,296.0,15.0,5.0,33.0,78.0,,,0.0,7.0,1.0,,,0.0,2.0,,1.0,51.5,17.0,,1.0,6.0,1.0,37.0,1.0,6.0,376.0,4.0,11.0,14.0,4.0,12.0,,,246.0,3.0,9.0,22.0,80.0,19.0,,6.0,11.0,9.0,,8.0,3.0,9.0,6.0,1.0,,,,,,1.0,,,,,,2.0,,,,,,,,2.0,,,,3.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,
31,442307,2013-03-30 15:00:00,"Boleyn Ground, London",34966,Away,West Bromwich Albion,West Ham United,1,3,L,0,2,1,0,1.0,3.0,1.0,40.0,,,,1.0,32.0,17.0,10.0,8.0,3.0,185.0,1.0,8.0,1.0,4.0,13.0,7.0,106.0,163.0,45.0,,2.0,19.0,4.0,13.0,3.0,,1.0,,2.0,17.0,14.0,8.0,3.0,12.0,35.0,222.0,2.0,,,1.0,0.0,150.0,14.0,,,1.0,1.0,2.0,3.0,61.0,45.0,8.0,67.0,,3.0,14.0,2.0,6.0,5.0,154.0,,8.0,113.0,643.0,,13.0,8.0,2.0,15.0,2.0,11.0,10.0,,1.0,3.0,5.0,25.0,91.0,1.0,9089,4.0,157.0,,6.0,,182.0,1.0,2.0,11.0,43.0,,,2.0,6.0,,19.0,6.0,6.0,,1.0,52.0,378.0,10.0,4.0,25.0,70.0,,,0.0,5.0,2.0,1.0,2.0,1.0,1.0,,,60.5,22.0,,2.0,8.0,5.0,44.0,3.0,3.0,471.0,2.0,9.0,14.0,7.0,19.0,,2.0,306.0,11.0,10.0,10.0,101.0,17.0,,2.0,4.0,17.0,,16.0,3.0,12.0,2.0,3.0,1.0,,,,,,,,3.0,,3.0,,1.0,,,,2.0,,,3.0,,1.0,,1.0,,,,,,,2.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,
32,442318,2013-04-06 15:00:00,"The Hawthorns, West Bromwich",26144,Home,West Bromwich Albion,Arsenal,1,2,L,0,1,0,1,1.0,3.0,1.0,57.0,,,1.0,,33.0,14.0,7.0,9.0,,195.0,5.0,4.0,1.0,4.0,10.0,5.0,89.0,152.0,45.0,,3.0,19.0,1.0,13.0,2.0,,1.0,,,30.0,13.0,9.0,6.0,9.0,55.0,206.0,2.0,,,1.0,0.0,156.0,7.0,2.0,,1.0,1.0,1.0,,70.0,57.0,2.0,78.0,,3.0,24.0,3.0,9.0,4.0,152.0,1.0,9.0,87.0,621.0,,7.0,7.0,10.0,26.0,3.0,5.0,9.0,,2.0,,8.0,15.0,89.0,,9089,5.0,159.0,2.0,14.0,,175.0,1.0,1.0,7.0,40.0,1.0,,6.0,4.0,,14.0,2.0,3.0,2.0,1.0,64.0,360.0,15.0,6.0,20.0,72.0,,,0.0,4.0,3.0,1.0,2.0,0.0,2.0,,5.0,51.9,12.0,4.0,2.0,4.0,1.0,44.0,6.0,,449.0,8.0,9.0,27.0,13.0,51.0,3.0,9.0,304.0,5.0,8.0,11.0,104.0,23.0,,2.0,4.0,15.0,,12.0,2.0,10.0,2.0,6.0,,,3.0,,1.0,1.0,,3.0,2.0,,2.0,3.0,,,,1.0,3.0,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,12.0,4.0,7.0,25.0,348.0,430.0,3.0,1.0,,,,,,2.0,,,
34,442337,2013-04-20 15:00:00,"The Hawthorns, West Bromwich",25671,Home,West Bromwich Albion,Newcastle United,1,1,D,0,1,0,0,,,1.0,55.0,,1.0,3.0,,36.0,22.0,3.0,2.0,2.0,137.0,8.0,8.0,1.0,3.0,9.0,4.0,86.0,191.0,52.0,,,11.0,1.0,25.0,2.0,,,1.0,,36.0,12.0,10.0,15.0,8.0,39.0,136.0,,,,,0.0,112.0,9.0,1.0,,,,3.0,3.0,41.0,45.0,4.0,63.0,,,21.0,,6.0,1.0,179.0,3.0,6.0,77.0,573.0,,4.0,5.0,3.0,21.0,1.0,7.0,16.0,1.0,0.0,,5.0,37.0,72.0,2.0,98760,5.0,148.0,3.0,12.0,1.0,166.0,,,7.0,64.0,,,6.0,9.0,1.0,13.0,4.0,2.0,1.0,,66.0,276.0,10.0,2.0,34.0,88.0,,,0.0,2.0,2.0,1.0,3.0,0.0,4.0,1.0,5.0,57.2,27.0,3.0,,9.0,1.0,39.0,15.0,3.0,363.0,2.0,20.0,20.0,6.0,17.0,4.0,4.0,233.0,4.0,8.0,20.0,68.0,23.0,,2.0,6.0,14.0,,5.0,3.0,16.0,2.0,15.0,,,3.0,,,1.0,,4.0,1.0,2.0,1.0,3.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
35,442346,2013-04-27 15:00:00,"St. Mary's Stadium, Southampton",31946,Away,West Bromwich Albion,Southampton,3,0,W,1,0,1,2,,2.0,3.0,42.0,3.0,,1.0,1.0,20.0,31.0,1.0,4.0,3.0,129.0,5.0,7.0,3.0,1.0,7.0,8.0,61.0,170.0,46.0,,,10.0,,16.0,5.0,1.0,,2.0,1.0,18.0,11.0,14.0,6.0,2.0,24.0,94.0,,1.0,,,0.0,108.0,11.0,,1.0,,3.0,1.0,4.0,64.0,18.0,6.0,40.0,1.0,,12.0,,4.0,1.0,153.0,5.0,6.0,42.0,468.0,,5.0,8.0,3.0,18.0,1.0,11.0,25.0,2.0,2.0,2.0,1.0,34.0,54.0,,9089,4.0,88.0,5.0,7.0,,110.0,1.0,,16.0,51.0,,,4.0,5.0,2.0,11.0,11.0,8.0,,,48.0,177.0,9.0,10.0,33.0,78.0,1.0,,0.0,7.0,2.0,3.0,3.0,1.0,2.0,2.0,,38.3,26.0,,1.0,5.0,1.0,32.0,6.0,4.0,272.0,3.0,11.0,10.0,1.0,16.0,3.0,,180.0,6.0,2.0,14.0,61.0,11.0,3.0,7.0,11.0,16.0,,7.0,3.0,10.0,7.0,6.0,,,,,,,1.0,,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,442357,2013-05-04 15:00:00,"The Hawthorns, West Bromwich",25756,Home,West Bromwich Albion,Wigan Athletic,2,3,L,1,1,0,0,,,1.0,53.0,1.0,,1.0,1.0,33.0,21.0,9.0,1.0,4.0,144.0,5.0,4.0,2.0,3.0,14.0,8.0,87.0,152.0,40.0,,1.0,18.0,4.0,6.0,4.0,,1.0,1.0,2.0,20.0,16.0,11.0,5.0,13.0,34.0,169.0,1.0,,,,0.0,134.0,9.0,2.0,,,1.0,2.0,4.0,60.0,28.0,10.0,66.0,,1.0,15.0,1.0,2.0,3.0,142.0,2.0,8.0,96.0,567.0,,9.0,6.0,8.0,19.0,,7.0,13.0,2.0,4.0,3.0,4.0,28.0,60.0,,9089,7.0,141.0,1.0,11.0,2.0,153.0,1.0,3.0,10.0,43.0,1.0,,,3.0,1.0,9.0,6.0,2.0,2.0,,53.0,305.0,7.0,12.0,20.0,84.0,,,0.0,5.0,1.0,2.0,5.0,0.0,3.0,2.0,4.0,47.9,25.0,1.0,1.0,4.0,5.0,47.0,7.0,4.0,393.0,7.0,12.0,17.0,5.0,27.0,2.0,2.0,260.0,13.0,13.0,9.0,80.0,23.0,1.0,4.0,7.0,20.0,1.0,13.0,3.0,8.0,4.0,7.0,,1.0,1.0,,,2.0,2.0,3.0,2.0,,3.0,6.0,,1.0,,,1.0,,,2.0,,,1.0,2.0,,1.0,,,,,3.0,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,,
36,442323,2013-05-07 19:45:00,"Etihad Stadium, Manchester",46158,Away,West Bromwich Albion,Manchester City,0,1,L,0,1,0,0,1.0,2.0,,51.0,,,3.0,1.0,30.0,26.0,11.0,8.0,3.0,141.0,4.0,7.0,,4.0,14.0,7.0,101.0,160.0,46.0,,2.0,20.0,4.0,20.0,4.0,,2.0,,3.0,25.0,10.0,11.0,8.0,19.0,39.0,171.0,,,,,0.0,120.0,10.0,,,,3.0,2.0,1.0,56.0,38.0,9.0,52.0,2.0,3.0,17.0,2.0,4.0,4.0,145.0,,15.0,84.0,585.0,,13.0,5.0,9.0,18.0,,6.0,14.0,,1.0,9.0,5.0,28.0,72.0,1.0,9089,3.0,131.0,,11.0,3.0,146.0,,1.0,12.0,49.0,,,1.0,7.0,,14.0,9.0,5.0,1.0,,56.0,298.0,10.0,5.0,16.0,74.0,,,0.0,6.0,3.0,,2.0,0.0,3.0,,2.0,46.4,23.0,,3.0,7.0,5.0,37.0,8.0,2.0,378.0,9.0,9.0,17.0,8.0,29.0,1.0,3.0,257.0,10.0,19.0,17.0,75.0,24.0,,4.0,5.0,12.0,,14.0,3.0,13.0,4.0,8.0,,,3.0,1.0,,2.0,1.0,1.0,,1.0,1.0,2.0,,,,,2.0,1.0,,3.0,,1.0,,2.0,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,
37,442364,2013-05-12 15:00:00,"Carrow Road, Norwich",26837,Away,West Bromwich Albion,Norwich City,0,4,L,0,1,0,0,,2.0,,51.0,,,2.0,1.0,25.0,36.0,5.0,4.0,2.0,160.0,1.0,11.0,,2.0,6.0,4.0,117.0,156.0,54.0,,,8.0,1.0,14.0,1.0,,2.0,,1.0,21.0,12.0,16.0,2.0,22.0,33.0,220.0,,,,,0.0,128.0,7.0,2.0,,,1.0,1.0,1.0,53.0,63.0,5.0,60.0,1.0,,19.0,,4.0,1.0,136.0,,7.0,114.0,628.0,,6.0,9.0,5.0,16.0,1.0,9.0,27.0,,1.0,1.0,1.0,21.0,62.0,,9089,,149.0,,14.0,,166.0,,,9.0,40.0,,,2.0,5.0,,8.0,6.0,6.0,,,49.0,368.0,11.0,3.0,25.0,88.0,,,0.0,8.0,2.0,,,0.0,1.0,,,51.9,18.0,,1.0,5.0,2.0,52.0,2.0,2.0,451.0,4.0,11.0,14.0,2.0,18.0,,1.0,306.0,4.0,22.0,15.0,89.0,27.0,,3.0,10.0,17.0,,8.0,3.0,16.0,3.0,2.0,1.0,,1.0,,,,,,2.0,,4.0,2.0,,,,,,,,3.0,,,,1.0,,,,,,,3.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
38,442376,2013-05-19 16:00:00,"The Hawthorns, West Bromwich",26438,Home,West Bromwich Albion,Manchester United,5,5,D,1,3,0,0,,1.0,3.0,46.0,2.0,2.0,1.0,4.0,25.0,15.0,7.0,8.0,,128.0,6.0,5.0,5.0,2.0,16.0,6.0,77.0,118.0,43.0,,1.0,19.0,2.0,7.0,,,1.0,5.0,,21.0,16.0,7.0,1.0,7.0,19.0,167.0,,,1.0,,0.0,140.0,12.0,1.0,,2.0,,2.0,2.0,35.0,39.0,10.0,34.0,,,20.0,1.0,3.0,3.0,110.0,7.0,14.0,82.0,477.0,,11.0,6.0,5.0,17.0,,1.0,10.0,5.0,0.0,5.0,6.0,14.0,49.0,,9089,6.0,93.0,4.0,15.0,1.0,105.0,3.0,4.0,8.0,40.0,1.0,2.0,4.0,5.0,5.0,4.0,2.0,2.0,5.0,,40.0,254.0,7.0,6.0,6.0,51.0,,,0.0,5.0,1.0,4.0,3.0,0.0,5.0,4.0,2.0,35.4,10.0,1.0,2.0,6.0,6.0,33.0,3.0,2.0,321.0,4.0,9.0,14.0,7.0,37.0,1.0,4.0,237.0,9.0,7.0,12.0,97.0,14.0,,3.0,4.0,19.0,1.0,15.0,3.0,11.0,3.0,3.0,,,2.0,,,,1.0,,1.0,1.0,5.0,5.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,5.0,,1.0,,,2.0,3.0,1.0,,,,,,,,,,1.0,,12.0,2.0,7.0,38.0,247.0,303.0,,,1.0,1.0,,,,,,,1.0
