gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attOboxBlocked,shotFastbreak,cleanSheet,totalFastbreak,bigChanceCreated,attMissHighLeft,accurateThroughBall,bigChanceMissed,totalThroughBall,attFastbreak,attCmissLeft,punches,overrun,shieldBallOop,foulThrowIn,attHdMiss,handBall,attRfTarget,attGoalLowCentre,goals,accuratePullBack,attCmissRight,attPenTarget,goalAssistOpenplay,attGoalHighRight,attMissHighRight,penaltyWon,midfielderGoals,attMissRight,goalAssist,accurateFreekickCross,attSetpiece,attRfGoal,totalPullBack,goalsOpenplay,attSvLowRight,attIboxGoal,goalAssistIntentional,attHdGoal,bigChanceScored,attGoalLowRight,attemptsIbox,attSvHighRight,attSvLowLeft,attemptsObox,touchesInOppBox,errorLeadToShot,clearanceOffLine,forwardGoals,contentiousDecision,attGoalLowLeft,attSvHighLeft,goalAssistSetplay,goalAssistDeadball,defenderGoals,attGoalHighLeft,penaltyConceded,penaltyFaced,penGoalsConceded,attCmissHighLeft,attObxdLeft,attPenGoal,attFreekickTarget,errorLeadToGoal,postScoringAtt,attIboxPost,attHdPost,hitWoodwork,attPostHigh,attCmissHighRight,attObxdRight,attLgCentre,attLfGoal,attObxRight,attGoalHighCentre,attOboxGoal,ownGoals,attIboxOwnGoal,attObpGoal,attOboxPost,attObxLeft,attOneOnOne,attFreekickGoal,attPostRight,attPostLeft
27,803426,2016-02-27 17:30:00,"The Hawthorns, West Bromwich",24806,Home,West Bromwich Albion,Crystal Palace,3,2,W,3,0,0,0,,,63.0,,,23.0,34.0,5.0,2.0,,175.0,4.0,9.0,6.0,7.0,5.0,75.0,164.0,69.0,1.0,11.0,27.0,1.0,1.0,1.0,1.0,1.0,22.0,13.0,1.0,31.0,3.0,16.0,34.0,169.0,0.0,139.0,14.0,,3.0,1.0,48.0,71.0,4.0,40.0,,19.0,14.0,1.0,4.0,2.0,161.0,11.0,80.0,571.0,5.0,13.0,,10.0,253.0,30.0,4.0,25.0,2.0,2.0,5.0,3.0,20.0,342.0,57.0,91972,3.0,101.0,12.0,,124.0,8.0,14.0,11.0,59.0,,1.0,1.0,18.0,4.0,4.0,,65.0,266.0,16.0,8.0,,25.0,82.0,0.0,6.0,,2.0,3.0,0.0,3.0,2.0,46.1,13.0,4.0,1.0,,1.0,1.0,38.0,3.0,1.0,370.0,10.0,,8.0,20.0,5.0,33.0,1.0,2.0,268.0,7.0,13.0,29.0,94.0,26.0,3.0,24.0,14.0,2.0,8.0,3.0,12.0,3.0,11.0,3.0,1.0,,,,2.0,,2.0,1.0,2.0,,,,2.0,,,1.0,,2.0,1.0,3.0,,,,1.0,,1.0,,1.0,2.0,2.0,1.0,2.0,,,2.0,,3.0,2.0,1.0,2.0,2.0,,,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,2.0,1.0,,,,2.0,,,,,,,1.0,,,,,
28,803440,2016-03-01 19:45:00,"King Power Stadium, Leicester",32018,Away,West Bromwich Albion,Leicester City,2,2,D,1,2,0,0,,,56.0,,,24.0,38.0,5.0,,4.0,138.0,2.0,7.0,3.0,9.0,3.0,49.0,168.0,55.0,2.0,11.0,26.0,1.0,2.0,,,2.0,14.0,10.0,,30.0,2.0,8.0,12.0,100.0,0.0,100.0,8.0,3.0,1.0,,49.0,71.0,3.0,42.0,7.0,12.0,20.0,2.0,3.0,3.0,160.0,17.0,44.0,496.0,7.0,14.0,1.0,24.0,151.0,18.0,11.0,29.0,,2.0,6.0,6.0,27.0,245.0,65.0,91972,,70.0,8.0,,86.0,4.0,20.0,16.0,67.0,,4.0,,9.0,6.0,9.0,2.0,70.0,168.0,8.0,11.0,1.0,43.0,83.0,0.0,11.0,3.0,2.0,1.0,0.0,1.0,2.0,35.0,20.0,2.0,,,,2.0,32.0,3.0,,273.0,24.0,1.0,21.0,4.0,6.0,21.0,1.0,3.0,201.0,9.0,6.0,27.0,43.0,29.0,10.0,25.0,14.0,2.0,5.0,3.0,9.0,10.0,15.0,3.0,2.0,,,,2.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,2.0,,,,1.0,,1.0,,1.0,1.0,1.0,,,2.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,4.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,
29,803447,2016-03-06 16:00:00,"The Hawthorns, West Bromwich",24878,Home,West Bromwich Albion,Manchester United,1,0,W,0,0,0,1,,,76.0,1.0,3.0,25.0,23.0,3.0,2.0,1.0,188.0,5.0,7.0,2.0,9.0,2.0,90.0,198.0,53.0,,9.0,16.0,,1.0,1.0,,3.0,14.0,11.0,1.0,19.0,2.0,18.0,49.0,170.0,0.0,153.0,8.0,,1.0,1.0,46.0,83.0,6.0,60.0,,12.0,18.0,,4.0,1.0,194.0,3.0,101.0,659.0,8.0,12.0,,21.0,300.0,28.0,9.0,17.0,1.0,1.0,3.0,3.0,29.0,426.0,74.0,91972,4.0,144.0,7.0,1.0,162.0,3.0,18.0,3.0,66.0,,5.0,5.0,13.0,4.0,1.0,,71.0,309.0,7.0,14.0,,38.0,96.0,0.0,5.0,,,6.0,0.0,5.0,1.0,46.6,23.0,5.0,,,5.0,4.0,43.0,4.0,1.0,439.0,21.0,,19.0,22.0,3.0,26.0,,2.0,291.0,6.0,15.0,20.0,87.0,33.0,8.0,13.0,19.0,,8.0,3.0,16.0,8.0,11.0,4.0,1.0,,1.0,,1.0,,,1.0,,,2.0,,2.0,2.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
30,803461,2016-04-21 19:45:00,"Emirates Stadium, London",59568,Away,West Bromwich Albion,Arsenal,0,2,L,0,2,0,0,2.0,,52.0,1.0,1.0,30.0,12.0,4.0,1.0,4.0,121.0,4.0,5.0,3.0,6.0,1.0,51.0,131.0,49.0,,8.0,23.0,1.0,,,,1.0,20.0,11.0,,10.0,6.0,8.0,28.0,106.0,0.0,78.0,14.0,2.0,2.0,1.0,42.0,47.0,4.0,48.0,1.0,14.0,23.0,,6.0,2.0,129.0,10.0,54.0,434.0,4.0,13.0,1.0,14.0,168.0,24.0,8.0,9.0,,1.0,4.0,2.0,15.0,239.0,52.0,91972,2.0,84.0,6.0,,113.0,6.0,23.0,15.0,68.0,,,3.0,5.0,6.0,5.0,,69.0,186.0,13.0,19.0,2.0,17.0,69.0,0.0,2.0,4.0,2.0,6.0,0.0,2.0,2.0,28.6,8.0,3.0,,,3.0,3.0,31.0,6.0,1.0,274.0,14.0,,10.0,9.0,4.0,27.0,2.0,1.0,181.0,5.0,6.0,15.0,46.0,17.0,1.0,9.0,17.0,,5.0,3.0,7.0,1.0,13.0,6.0,2.0,,,,1.0,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
31,803468,2016-03-19 15:00:00,"The Hawthorns, West Bromwich",25039,Home,West Bromwich Albion,Norwich City,0,1,L,0,0,0,0,,,67.0,,1.0,32.0,36.0,5.0,3.0,,191.0,2.0,6.0,2.0,8.0,,59.0,201.0,63.0,,10.0,20.0,,2.0,,,2.0,20.0,14.0,,33.0,4.0,5.0,18.0,140.0,0.0,161.0,8.0,,2.0,3.0,61.0,65.0,3.0,42.0,1.0,16.0,27.0,,7.0,1.0,198.0,4.0,69.0,573.0,8.0,23.0,,24.0,212.0,28.0,19.0,22.0,,1.0,2.0,5.0,26.0,335.0,83.0,91972,2.0,85.0,7.0,,120.0,6.0,27.0,9.0,59.0,,4.0,5.0,7.0,3.0,2.0,,92.0,223.0,13.0,11.0,,61.0,94.0,0.0,3.0,,1.0,8.0,0.0,2.0,1.0,50.1,17.0,4.0,1.0,,5.0,4.0,40.0,4.0,3.0,361.0,24.0,,16.0,8.0,6.0,30.0,,4.0,261.0,6.0,4.0,30.0,89.0,27.0,2.0,21.0,17.0,1.0,9.0,3.0,10.0,2.0,9.0,4.0,3.0,,,,,1.0,,,3.0,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,1.0,
32,803481,2016-04-02 15:00:00,"Stadium of Light, Sunderland",45144,Away,West Bromwich Albion,Sunderland,0,0,D,0,0,0,0,,,66.0,1.0,1.0,28.0,29.0,2.0,1.0,6.0,166.0,4.0,8.0,4.0,2.0,,43.0,183.0,49.0,,3.0,16.0,,,1.0,,,16.0,11.0,,22.0,3.0,6.0,33.0,110.0,0.0,107.0,13.0,5.0,4.0,1.0,45.0,47.0,1.0,42.0,1.0,13.0,12.0,,3.0,2.0,176.0,13.0,54.0,498.0,1.0,15.0,,20.0,179.0,33.0,11.0,18.0,1.0,2.0,6.0,1.0,22.0,277.0,69.0,91972,,82.0,6.0,,101.0,5.0,12.0,13.0,52.0,,,,20.0,9.0,3.0,,90.0,188.0,10.0,11.0,1.0,46.0,101.0,0.0,9.0,5.0,,8.0,0.0,3.0,,43.2,14.0,3.0,1.0,,,1.0,35.0,3.0,2.0,305.0,20.0,,8.0,16.0,2.0,26.0,1.0,,220.0,2.0,5.0,18.0,52.0,23.0,5.0,15.0,13.0,,2.0,3.0,16.0,5.0,6.0,3.0,,,1.0,,,,,,,,,,3.0,,,,3.0,,,,,1.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,803491,2016-04-09 17:30:00,"Etihad Stadium, Manchester",53920,Away,West Bromwich Albion,Manchester City,1,2,L,1,1,0,0,,,56.0,1.0,2.0,28.0,24.0,6.0,4.0,2.0,148.0,5.0,12.0,4.0,8.0,2.0,73.0,149.0,59.0,2.0,13.0,12.0,,2.0,1.0,,2.0,31.0,9.0,1.0,17.0,8.0,17.0,19.0,128.0,0.0,108.0,7.0,2.0,2.0,1.0,35.0,57.0,4.0,41.0,3.0,23.0,15.0,2.0,6.0,2.0,142.0,8.0,54.0,514.0,6.0,15.0,,16.0,217.0,23.0,13.0,15.0,1.0,1.0,5.0,4.0,20.0,298.0,52.0,91972,3.0,107.0,15.0,,125.0,7.0,15.0,5.0,39.0,,1.0,2.0,11.0,5.0,3.0,,54.0,230.0,9.0,9.0,1.0,30.0,71.0,0.0,8.0,1.0,2.0,5.0,0.0,5.0,,37.9,16.0,5.0,1.0,1.0,2.0,5.0,34.0,8.0,1.0,316.0,16.0,,7.0,11.0,6.0,27.0,,4.0,222.0,9.0,15.0,18.0,69.0,21.0,2.0,12.0,21.0,2.0,8.0,2.0,16.0,2.0,7.0,8.0,3.0,,,,,,1.0,1.0,1.0,,1.0,,2.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,1.0,4.0,1.0,1.0,2.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
34,803500,2016-04-16 15:00:00,"The Hawthorns, West Bromwich",25515,Home,West Bromwich Albion,Watford,0,1,L,0,1,0,0,,,68.0,1.0,3.0,45.0,18.0,4.0,3.0,3.0,186.0,10.0,17.0,8.0,13.0,4.0,102.0,183.0,69.0,2.0,17.0,23.0,3.0,2.0,,,2.0,43.0,7.0,1.0,12.0,8.0,8.0,21.0,214.0,0.0,171.0,11.0,1.0,2.0,2.0,76.0,91.0,5.0,45.0,2.0,35.0,26.0,2.0,12.0,2.0,177.0,6.0,92.0,661.0,11.0,9.0,1.0,20.0,300.0,20.0,8.0,10.0,,0.0,2.0,8.0,24.0,404.0,77.0,91972,7.0,113.0,21.0,,134.0,6.0,26.0,8.0,56.0,1.0,1.0,8.0,14.0,5.0,6.0,2.0,77.0,317.0,17.0,6.0,2.0,32.0,82.0,0.0,3.0,2.0,1.0,1.0,0.0,9.0,1.0,56.7,22.0,10.0,3.0,1.0,8.0,5.0,48.0,9.0,2.0,425.0,20.0,,12.0,16.0,8.0,51.0,1.0,6.0,334.0,13.0,7.0,23.0,109.0,28.0,1.0,6.0,13.0,1.0,9.0,3.0,22.0,1.0,8.0,9.0,2.0,,,,,1.0,1.0,2.0,2.0,,1.0,,2.0,,,,,3.0,,,,,2.0,,,2.0,2.0,,1.0,,1.0,2.0,,,,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
35,803511,2016-04-25 20:00:00,"White Hart Lane, London",35923,Away,West Bromwich Albion,Tottenham Hotspur,1,1,D,0,1,0,0,,,55.0,1.0,,26.0,26.0,8.0,4.0,2.0,137.0,7.0,5.0,4.0,10.0,3.0,46.0,145.0,49.0,1.0,16.0,10.0,1.0,4.0,1.0,,2.0,24.0,16.0,1.0,19.0,7.0,13.0,15.0,134.0,0.0,115.0,13.0,2.0,3.0,2.0,32.0,52.0,3.0,28.0,,17.0,9.0,1.0,3.0,2.0,138.0,10.0,49.0,456.0,8.0,16.0,,10.0,164.0,21.0,11.0,13.0,1.0,1.0,8.0,7.0,16.0,232.0,58.0,63370,2.0,52.0,11.0,,66.0,8.0,9.0,12.0,50.0,,1.0,,14.0,9.0,5.0,1.0,54.0,179.0,8.0,10.0,1.0,25.0,66.0,0.0,9.0,1.0,1.0,5.0,0.0,5.0,3.0,33.5,11.0,3.0,,,,5.0,33.0,7.0,2.0,260.0,10.0,,13.0,8.0,8.0,30.0,2.0,6.0,218.0,9.0,12.0,16.0,70.0,22.0,5.0,12.0,20.0,1.0,11.0,1.0,11.0,5.0,5.0,7.0,5.0,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,2.0,,2.0,2.0,2.0,1.0,1.0,,3.0,,,,,,,4.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,
36,803521,2016-04-30 15:00:00,"The Hawthorns, West Bromwich",25031,Home,West Bromwich Albion,West Ham United,0,3,L,0,2,0,0,,1.0,68.0,1.0,2.0,23.0,19.0,5.0,3.0,1.0,151.0,6.0,10.0,1.0,9.0,5.0,65.0,185.0,43.0,1.0,15.0,27.0,4.0,1.0,2.0,1.0,4.0,23.0,12.0,1.0,13.0,8.0,5.0,30.0,123.0,0.0,105.0,14.0,,,,40.0,52.0,4.0,48.0,1.0,15.0,21.0,1.0,3.0,3.0,179.0,5.0,68.0,529.0,7.0,13.0,1.0,17.0,213.0,29.0,9.0,13.0,2.0,0.0,2.0,5.0,32.0,318.0,67.0,91972,7.0,106.0,12.0,1.0,135.0,4.0,21.0,3.0,70.0,,3.0,2.0,19.0,3.0,1.0,1.0,58.0,223.0,6.0,14.0,2.0,29.0,79.0,0.0,6.0,,3.0,5.0,0.0,3.0,3.0,40.9,21.0,6.0,1.0,,2.0,3.0,40.0,8.0,,332.0,17.0,,11.0,12.0,7.0,29.0,3.0,4.0,220.0,9.0,4.0,14.0,54.0,31.0,2.0,9.0,13.0,3.0,10.0,3.0,15.0,2.0,6.0,8.0,1.0,,,,2.0,,,3.0,1.0,,2.0,,4.0,1.0,,2.0,1.0,3.0,,,1.0,1.0,,,,,,,2.0,,,,,3.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
37,803531,2016-05-07 15:00:00,"Vitality Stadium, Bournemouth",11040,Away,West Bromwich Albion,Bournemouth,1,1,D,1,0,0,0,,2.0,64.0,2.0,1.0,25.0,16.0,4.0,4.0,3.0,119.0,5.0,5.0,1.0,10.0,4.0,53.0,134.0,49.0,,12.0,6.0,2.0,,,,1.0,17.0,23.0,1.0,12.0,3.0,7.0,9.0,105.0,0.0,100.0,8.0,2.0,1.0,3.0,39.0,49.0,5.0,36.0,3.0,14.0,17.0,,6.0,2.0,130.0,4.0,47.0,463.0,9.0,16.0,,26.0,169.0,22.0,12.0,7.0,,1.0,3.0,5.0,23.0,234.0,55.0,91972,6.0,80.0,7.0,1.0,93.0,5.0,17.0,8.0,49.0,,3.0,4.0,9.0,8.0,5.0,,63.0,180.0,4.0,11.0,,37.0,75.0,0.0,5.0,1.0,1.0,5.0,0.0,4.0,3.0,31.7,17.0,9.0,1.0,,4.0,2.0,33.0,3.0,3.0,255.0,26.0,,19.0,6.0,6.0,23.0,1.0,3.0,179.0,5.0,7.0,12.0,62.0,18.0,6.0,6.0,28.0,1.0,11.0,2.0,10.0,6.0,14.0,3.0,1.0,,,,,1.0,,1.0,,,,,,,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,3.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,,3.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,2.0,,,,,,,,,,,,1.0,1.0,,,,1.0
38,803536,2016-05-15 15:00:00,"The Hawthorns, West Bromwich",26196,Home,West Bromwich Albion,Liverpool,1,1,D,1,1,0,0,,,49.0,1.0,2.0,20.0,25.0,5.0,2.0,2.0,129.0,5.0,10.0,,8.0,1.0,64.0,159.0,59.0,,13.0,19.0,,1.0,,,2.0,18.0,13.0,,18.0,7.0,5.0,19.0,111.0,0.0,104.0,11.0,1.0,1.0,1.0,55.0,49.0,4.0,38.0,3.0,11.0,16.0,,5.0,2.0,152.0,4.0,54.0,492.0,4.0,11.0,,20.0,179.0,15.0,10.0,12.0,,3.0,,4.0,23.0,264.0,57.0,91972,3.0,86.0,5.0,2.0,104.0,8.0,16.0,6.0,65.0,,1.0,2.0,13.0,3.0,,2.0,56.0,192.0,13.0,13.0,3.0,32.0,66.0,0.0,5.0,1.0,1.0,4.0,0.0,4.0,3.0,32.6,16.0,2.0,1.0,,2.0,5.0,24.0,7.0,1.0,285.0,20.0,,19.0,7.0,7.0,26.0,1.0,4.0,199.0,8.0,4.0,14.0,58.0,27.0,1.0,11.0,22.0,1.0,5.0,3.0,14.0,1.0,9.0,7.0,3.0,,,,1.0,,,2.0,,,,,2.0,,,2.0,,,,1.0,,,,1.0,,1.0,,,1.0,1.0,1.0,2.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0
