gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,fwdPass,accurateCross,wonContest,goals,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,goalKicks,duelLost,attCmissHigh,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,overrun,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,savedObox,attRfTarget,fouledFinalThird,attFreekickTotal,attBxRight,postScoringAtt,accurateKeeperSweeper,attIboxPost,divingSave,attSvHighLeft,attSvLowLeft,goodHighClaim,interceptionsInBox,freekickTotal,attPostLeft,hitWoodwork,totalKeeperSweeper,attSetpiece,challengeLost,attAssistSetplay,attFreekickTarget,savedIbox,goalsConceded,shieldBallOop,foulThrowIn,totalHighClaim,accurateCornersIntobox,goalsConcededIbox,goalsConcededObox,handBall,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attObxdRight,sixYardBlock,attCmissHighLeft,goalAssistIntentional,attSvHighCentre,attHdGoal,bigChanceScored,attGoalLowLeft,attRfGoal,attObxRight,clearanceOffLine,forwardGoals,freekickCross,attGoalHighCentre,attCmissLeft,attFreekickMiss,accuratePullBack,totalPullBack,penaltyWon,attHdTarget,attPenGoal,attGoalHighLeft,attSvHighRight,accurateFreekickCross,ownGoals,attIboxOwnGoal,attPenTarget,goalFastbreak,attPostRight,secondYellow,errorLeadToGoal,penaltyConceded,attCmissHighRight,penaltyFaced,penGoalsConceded,attFreekickPost,attOboxPost,attPostHigh,attHdPost,attFreekickGoal,attObxLeft
28,360743,2012-03-10 17:30:00,"Goodison Park, Liverpool",34992,Away,Tottenham Hotspur,Everton,0,1,L,0,1,0,0,3.0,73.0,,6.0,37.0,17.0,9.0,14.0,,156.0,10.0,9.0,,19.0,3.0,5.0,148.0,161.0,62.0,24.0,1.0,6.0,2.0,1.0,,2.0,1.0,28.0,18.0,,3.0,5.0,8.0,34.0,33.0,216.0,1.0,,,0.0,139.0,11.0,1.0,,56.0,52.0,11.0,75.0,6.0,20.0,6.0,5.0,149.0,1.0,4.0,151.0,759.0,,12.0,9.0,20.0,37.0,2.0,4.0,8.0,,2.0,3.0,8.0,26.0,63.0,1.0,,7958,8.0,239.0,1.0,12.0,259.0,4.0,40.0,,7.0,,2.0,5.0,,19.0,5.0,3.0,1.0,60.0,445.0,13.0,16.0,85.0,1.0,1.0,,0.0,1.0,,,3.0,0.0,5.0,3.0,62.1,23.0,3.0,3.0,,5.0,7.0,58.0,8.0,530.0,19.0,14.0,21.0,12.0,12.0,6.0,299.0,6.0,32.0,13.0,94.0,24.0,,3.0,27.0,12.0,3.0,15.0,,8.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,1.0,4.0,,2.0,,,2.0,,1.0,1.0,2.0,3.0,7.0,,2.0,1.0,3.0,,,5.0,1.0,,,,,,,2.0,,,,,,,,,,,2.0,,,2.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
29,360756,2012-03-21 19:45:00,"White Hart Lane, London",35172,Home,Tottenham Hotspur,Stoke City,1,1,D,0,0,0,0,5.0,64.0,1.0,4.0,36.0,30.0,16.0,17.0,,161.0,5.0,11.0,1.0,18.0,,7.0,130.0,191.0,44.0,26.0,8.0,16.0,3.0,,1.0,1.0,3.0,31.0,12.0,,3.0,12.0,13.0,27.0,37.0,232.0,,,,0.0,168.0,11.0,,1.0,73.0,66.0,13.0,47.0,,18.0,5.0,5.0,173.0,1.0,8.0,150.0,735.0,,15.0,12.0,23.0,23.0,,,16.0,1.0,1.0,1.0,5.0,28.0,71.0,4.0,,7958,5.0,164.0,,12.0,184.0,7.0,60.0,2.0,8.0,,1.0,6.0,1.0,14.0,2.0,4.0,3.0,61.0,391.0,10.0,8.0,76.0,,2.0,,0.0,,1.0,1.0,5.0,0.0,3.0,2.0,64.0,25.0,,6.0,2.0,6.0,12.0,47.0,13.0,488.0,20.0,18.0,16.0,7.0,21.0,1.0,335.0,7.0,26.0,8.0,114.0,23.0,,10.0,15.0,18.0,3.0,22.0,,13.0,,,4.0,3.0,2.0,1.0,,,,,,,1.0,3.0,,1.0,,,5.0,2.0,,1.0,1.0,,,,2.0,1.0,,1.0,,,,,,,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,2.0,,,,1.0,,,3.0,,,,,,,,,,,,,,1.0,1.0,,,
30,360761,2012-03-24 12:45:00,"Stamford Bridge, London",41830,Away,Tottenham Hotspur,Chelsea,0,0,D,0,0,0,0,2.0,56.0,,3.0,40.0,38.0,8.0,10.0,,161.0,4.0,10.0,,14.0,1.0,4.0,130.0,143.0,46.0,20.0,2.0,12.0,3.0,,,2.0,3.0,15.0,13.0,,1.0,21.0,4.0,30.0,38.0,218.0,,1.0,,0.0,122.0,13.0,,,93.0,56.0,4.0,70.0,3.0,11.0,3.0,5.0,126.0,2.0,4.0,128.0,708.0,,12.0,9.0,20.0,27.0,1.0,7.0,22.0,,2.0,4.0,10.0,22.0,61.0,3.0,,7958,4.0,201.0,5.0,7.0,221.0,8.0,47.0,1.0,4.0,,,4.0,,9.0,5.0,6.0,3.0,61.0,415.0,10.0,21.0,75.0,,1.0,,0.0,4.0,6.0,,3.0,0.0,3.0,3.0,54.6,16.0,2.0,,2.0,4.0,5.0,47.0,4.0,489.0,12.0,14.0,20.0,11.0,15.0,5.0,283.0,6.0,29.0,9.0,90.0,19.0,4.0,13.0,17.0,14.0,2.0,16.0,4.0,5.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,4.0,1.0,,1.0,1.0,2.0,5.0,2.0,1.0,1.0,,1.0,,1.0,1.0,,,3.0,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,
31,360776,2012-04-01 16:00:00,"White Hart Lane, London",36174,Home,Tottenham Hotspur,Swansea City,3,1,W,1,0,0,0,1.0,56.0,,2.0,17.0,12.0,7.0,7.0,1.0,121.0,11.0,11.0,3.0,16.0,,9.0,103.0,119.0,57.0,20.0,,6.0,4.0,1.0,1.0,3.0,3.0,27.0,24.0,,2.0,8.0,7.0,11.0,25.0,217.0,2.0,,1.0,0.0,114.0,10.0,1.0,1.0,71.0,50.0,10.0,68.0,1.0,20.0,4.0,4.0,115.0,2.0,4.0,112.0,621.0,,12.0,2.0,30.0,22.0,,3.0,3.0,2.0,0.0,5.0,6.0,20.0,52.0,,,7958,5.0,142.0,,15.0,151.0,5.0,49.0,1.0,,,1.0,3.0,2.0,14.0,7.0,2.0,3.0,29.0,348.0,12.0,14.0,70.0,1.0,,,0.0,2.0,7.0,2.0,,0.0,6.0,6.0,40.7,19.0,2.0,3.0,1.0,3.0,2.0,49.0,7.0,404.0,25.0,16.0,16.0,9.0,13.0,5.0,280.0,6.0,10.0,3.0,88.0,28.0,2.0,3.0,31.0,15.0,3.0,17.0,2.0,7.0,1.0,3.0,,,3.0,,,,1.0,1.0,2.0,1.0,2.0,,,,,,11.0,2.0,,,1.0,,,1.0,5.0,,1.0,,1.0,1.0,,,,,2.0,,2.0,2.0,2.0,,,,2.0,1.0,,1.0,,,,,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,,
32,360786,2012-04-07 12:45:00,"Stadium of Light, Sunderland",39335,Away,Tottenham Hotspur,Sunderland,0,0,D,0,0,0,0,,61.0,,2.0,47.0,28.0,10.0,6.0,,180.0,5.0,10.0,,10.0,1.0,1.0,201.0,147.0,61.0,16.0,5.0,10.0,,,,1.0,2.0,19.0,15.0,,1.0,18.0,4.0,46.0,44.0,254.0,,1.0,,0.0,144.0,11.0,,,75.0,72.0,5.0,102.0,3.0,15.0,6.0,4.0,137.0,2.0,10.0,201.0,905.0,,9.0,5.0,25.0,22.0,,4.0,16.0,,2.0,4.0,5.0,19.0,70.0,3.0,,7958,4.0,355.0,2.0,6.0,369.0,7.0,46.0,1.0,7.0,,2.0,10.0,,14.0,2.0,7.0,3.0,64.0,604.0,12.0,8.0,86.0,,,,0.0,3.0,11.0,,2.0,0.0,5.0,1.0,70.7,17.0,1.0,1.0,,10.0,7.0,65.0,4.0,684.0,21.0,12.0,25.0,8.0,16.0,4.0,334.0,8.0,44.0,15.0,101.0,28.0,1.0,12.0,24.0,14.0,3.0,20.0,1.0,4.0,1.0,1.0,2.0,,1.0,,1.0,,,,,,3.0,,,,1.0,2.0,4.0,1.0,,2.0,,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,3.0,,,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,
33,360796,2012-04-09 15:00:00,"White Hart Lane, London",36126,Home,Tottenham Hotspur,Norwich City,1,2,L,1,1,0,0,2.0,57.0,1.0,2.0,30.0,40.0,6.0,10.0,,151.0,6.0,3.0,1.0,13.0,,3.0,116.0,181.0,39.0,15.0,5.0,16.0,2.0,2.0,1.0,1.0,,32.0,16.0,,,22.0,8.0,23.0,34.0,167.0,1.0,,,0.0,132.0,14.0,3.0,,73.0,53.0,9.0,55.0,1.0,24.0,4.0,1.0,163.0,5.0,6.0,107.0,664.0,,11.0,15.0,18.0,28.0,1.0,7.0,18.0,1.0,1.0,2.0,4.0,19.0,59.0,4.0,,7958,7.0,182.0,4.0,19.0,205.0,12.0,48.0,,6.0,,4.0,9.0,1.0,18.0,6.0,1.0,1.0,55.0,343.0,12.0,25.0,94.0,2.0,1.0,,0.0,,3.0,1.0,6.0,0.0,5.0,2.0,58.8,18.0,2.0,1.0,2.0,9.0,7.0,43.0,9.0,429.0,13.0,9.0,15.0,5.0,17.0,3.0,256.0,3.0,22.0,7.0,98.0,17.0,2.0,9.0,17.0,10.0,3.0,11.0,2.0,10.0,,,2.0,,,1.0,2.0,1.0,1.0,,,,4.0,,,1.0,2.0,1.0,3.0,1.0,,2.0,2.0,,,,1.0,1.0,1.0,2.0,,,,,,,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,
34,360800,2012-05-02 20:00:00,"University of Bolton Stadium, Bolton",22349,Away,Tottenham Hotspur,Bolton Wanderers,4,1,W,1,0,0,0,1.0,60.0,1.0,1.0,27.0,27.0,5.0,4.0,1.0,166.0,3.0,7.0,4.0,12.0,,7.0,116.0,161.0,46.0,14.0,2.0,9.0,2.0,2.0,3.0,2.0,3.0,11.0,12.0,1.0,1.0,13.0,5.0,24.0,27.0,181.0,,,1.0,0.0,107.0,9.0,4.0,2.0,62.0,58.0,9.0,70.0,1.0,6.0,1.0,1.0,146.0,3.0,11.0,129.0,698.0,,7.0,8.0,27.0,24.0,,7.0,17.0,4.0,1.0,3.0,3.0,26.0,59.0,6.0,,7958,3.0,217.0,2.0,5.0,253.0,9.0,38.0,,9.0,,3.0,3.0,3.0,14.0,4.0,5.0,,43.0,395.0,6.0,19.0,83.0,2.0,1.0,1.0,0.0,7.0,4.0,3.0,1.0,0.0,1.0,1.0,53.1,20.0,1.0,2.0,1.0,3.0,3.0,54.0,7.0,481.0,19.0,8.0,17.0,4.0,7.0,3.0,239.0,9.0,21.0,14.0,74.0,27.0,2.0,9.0,19.0,11.0,3.0,17.0,3.0,8.0,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,,2.0,2.0,1.0,,,1.0,,3.0,1.0,,3.0,1.0,1.0,,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,,4.0,,,2.0,1.0,3.0,,,2.0,,,1.0,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,
35,360817,2012-04-21 17:30:00,"Kiyan Prince Foundation Stadium, London",18021,Away,Tottenham Hotspur,Queens Park Rangers,0,1,L,0,1,0,1,3.0,67.0,,3.0,35.0,15.0,11.0,8.0,,176.0,9.0,14.0,,14.0,,6.0,168.0,160.0,49.0,20.0,4.0,6.0,3.0,,,1.0,1.0,36.0,11.0,,3.0,9.0,10.0,29.0,29.0,294.0,,,,0.0,207.0,11.0,,,58.0,92.0,10.0,66.0,2.0,26.0,5.0,4.0,154.0,1.0,5.0,175.0,795.0,,11.0,4.0,12.0,24.0,1.0,3.0,8.0,,0.0,2.0,4.0,22.0,70.0,2.0,,7958,7.0,218.0,2.0,15.0,243.0,8.0,42.0,1.0,5.0,,1.0,9.0,,15.0,7.0,4.0,3.0,52.0,503.0,13.0,13.0,78.0,,1.0,,0.0,2.0,4.0,,2.0,0.0,6.0,2.0,69.0,18.0,1.0,2.0,1.0,10.0,7.0,55.0,13.0,585.0,10.0,11.0,15.0,7.0,19.0,3.0,378.0,8.0,28.0,6.0,161.0,30.0,3.0,4.0,16.0,12.0,3.0,21.0,3.0,13.0,2.0,2.0,6.0,,,,1.0,,1.0,2.0,,1.0,,,,,1.0,4.0,9.0,3.0,,,1.0,,,1.0,3.0,,1.0,2.0,,,,,1.0,,,1.0,,,,,,,,6.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
36,360826,2012-04-29 16:00:00,"White Hart Lane, London",35798,Home,Tottenham Hotspur,Blackburn Rovers,2,0,W,1,0,0,0,2.0,67.0,,1.0,63.0,22.0,10.0,6.0,1.0,171.0,8.0,13.0,2.0,14.0,1.0,5.0,188.0,155.0,57.0,19.0,2.0,2.0,2.0,1.0,,2.0,2.0,33.0,19.0,1.0,1.0,10.0,6.0,31.0,48.0,453.0,1.0,1.0,1.0,0.0,265.0,6.0,1.0,1.0,118.0,162.0,6.0,105.0,5.0,27.0,3.0,5.0,143.0,1.0,,231.0,904.0,,12.0,5.0,18.0,25.0,1.0,2.0,16.0,,0.0,,8.0,22.0,93.0,3.0,,7958,3.0,175.0,1.0,20.0,184.0,2.0,31.0,,5.0,1.0,1.0,6.0,1.0,15.0,,1.0,,77.0,620.0,14.0,12.0,79.0,1.0,,,0.0,2.0,1.0,1.0,2.0,0.0,5.0,3.0,70.6,19.0,1.0,7.0,,6.0,3.0,58.0,6.0,695.0,11.0,9.0,34.0,11.0,20.0,4.0,544.0,10.0,30.0,8.0,217.0,29.0,3.0,8.0,22.0,16.0,3.0,25.0,3.0,6.0,,,5.0,1.0,1.0,2.0,,1.0,,,,1.0,,1.0,,3.0,,1.0,3.0,2.0,,,,1.0,,1.0,3.0,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,4.0,,,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,1.0,2.0,1.0,1.0,
37,360830,2012-05-06 14:00:00,"Villa Park, Birmingham",36008,Away,Tottenham Hotspur,Aston Villa,1,1,D,0,1,1,0,1.0,69.0,1.0,2.0,36.0,26.0,11.0,8.0,,153.0,6.0,11.0,1.0,17.0,2.0,4.0,127.0,175.0,59.0,22.0,6.0,5.0,2.0,,,,3.0,42.0,19.0,,1.0,14.0,16.0,24.0,28.0,244.0,1.0,,,0.0,177.0,8.0,,,67.0,77.0,8.0,83.0,3.0,26.0,9.0,5.0,163.0,1.0,2.0,126.0,712.0,,15.0,9.0,17.0,35.0,,7.0,9.0,,2.0,2.0,9.0,22.0,66.0,1.0,,7958,2.0,169.0,1.0,17.0,187.0,2.0,43.0,,3.0,,1.0,4.0,,4.0,2.0,1.0,3.0,60.0,407.0,11.0,23.0,76.0,,1.0,1.0,0.0,4.0,4.0,1.0,2.0,1.0,3.0,2.0,62.5,17.0,2.0,1.0,4.0,4.0,8.0,47.0,19.0,489.0,13.0,19.0,15.0,10.0,22.0,5.0,344.0,12.0,24.0,15.0,138.0,26.0,2.0,6.0,22.0,17.0,1.0,22.0,2.0,19.0,,2.0,1.0,,3.0,,2.0,,,1.0,1.0,,2.0,,,,2.0,,,2.0,,,1.0,,,,3.0,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
38,360846,2012-05-13 15:00:00,"White Hart Lane, London",36256,Home,Tottenham Hotspur,Fulham,2,0,W,1,0,0,0,2.0,58.0,1.0,1.0,35.0,22.0,6.0,6.0,1.0,139.0,4.0,6.0,2.0,10.0,,6.0,159.0,115.0,50.0,17.0,3.0,3.0,3.0,,1.0,1.0,2.0,17.0,16.0,,1.0,9.0,6.0,35.0,24.0,197.0,1.0,1.0,,0.0,118.0,9.0,,,69.0,67.0,5.0,84.0,1.0,11.0,2.0,3.0,102.0,2.0,3.0,152.0,711.0,,7.0,6.0,25.0,20.0,,3.0,7.0,1.0,0.0,2.0,5.0,16.0,57.0,2.0,,7958,7.0,278.0,2.0,8.0,288.0,4.0,32.0,1.0,2.0,,,7.0,2.0,6.0,8.0,2.0,3.0,54.0,471.0,11.0,11.0,70.0,,,1.0,0.0,1.0,3.0,2.0,,0.0,1.0,2.0,51.0,15.0,1.0,3.0,,7.0,4.0,40.0,8.0,534.0,16.0,12.0,5.0,7.0,14.0,4.0,263.0,9.0,34.0,8.0,80.0,28.0,2.0,2.0,25.0,13.0,3.0,10.0,2.0,9.0,3.0,1.0,3.0,2.0,2.0,,,,3.0,,1.0,2.0,2.0,2.0,,,,,4.0,2.0,,2.0,,2.0,,2.0,3.0,,,,,,,,,,1.0,1.0,,2.0,1.0,1.0,,,2.0,1.0,,2.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0
