gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,savedObox,attLfGoal,postScoringAtt,attOboxTarget,attMissHighRight,cleanSheet,midfielderGoals,hitWoodwork,bigChanceMissed,sixYardBlock,attCmissHigh,totalOffside,attOboxPost,attPostHigh,attCmissHighRight,attGoalLowRight,accuratePullBack,attCmissRight,attFreekickTotal,shotFastbreak,totalFastbreak,freekickTotal,attMissHighLeft,attFastbreak,attSvLowRight,punches,attGoalLowCentre,attSvHighLeft,attGoalHighLeft,forwardGoals,handBall,subsGoals,attCmissHighLeft,errorLeadToShot,ownGoals,attIboxOwnGoal,secondYellow,attFreekickMiss,attGoalHighRight,attFreekickTarget,clearanceOffLine,attIboxPost,attSvHighRight,attPostLeft,foulThrowIn,goalFastbreak,errorLeadToGoal,attOneOnOne,penaltyWon,attPenGoal,contentiousDecision,goalsConcededObox,attPostRight,attHdPost,attObxdLeft,attLgRight
26,2367792,2024-05-02 19:30:00,"Stamford Bridge, London",39086,Away,Tottenham Hotspur,Chelsea,0,2,L,0,1,0,0,,,54.0,,8.0,,,12.0,11.0,6.0,4.0,12.0,2.0,3.0,190.0,6.0,10.0,,4.0,16.0,3.0,173.0,143.0,44.0,19.0,1.0,11.0,1.0,1.0,3.0,,1.0,2.0,29.0,9.0,11.0,4.0,7.0,27.0,295.0,,0.0,224.0,16.0,,,1.0,2.0,,74.0,100.0,9.0,79.0,,2.0,25.0,24.0,7.0,,7.0,4.0,143.0,2.0,11.0,135.0,785.0,,15.0,3.0,39.0,,10.0,471.0,23.0,1.0,4.0,,3.0,1.0,3.0,7.0,24.0,549.0,66.0,,1.0,85971,5.0,210.0,16.0,1.0,,229.0,11.0,,3.0,8.0,9.0,63.0,,,2.0,,14.0,5.0,9.0,3.0,23.0,499.0,12.0,14.0,1.0,4.0,4.0,51.0,2.0,0.0,1.0,4.0,2.0,,2.0,1.0,0.0,5.0,,,2.0,62.6,22.0,1.0,5.0,2.0,,3.0,9.0,44.0,9.0,,,577.0,,10.0,14.0,15.0,7.0,44.0,1.0,3.0,377.0,13.0,7.0,6.0,176.0,23.0,,4.0,16.0,,2.0,14.0,5.0,18.0,,,8.0,9.0,1.0,,,2.0,,,,,2.0,2.0,,2.0,,,,,2.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,
27,2367807,2024-03-02 15:00:00,"Tottenham Hotspur Stadium, London",61339,Home,Tottenham Hotspur,Crystal Palace,3,1,W,0,0,0,0,,3.0,56.0,1.0,2.0,1.0,,18.0,7.0,2.0,3.0,12.0,,2.0,226.0,3.0,7.0,3.0,5.0,12.0,6.0,233.0,145.0,57.0,14.0,,15.0,3.0,,,2.0,1.0,1.0,28.0,11.0,7.0,10.0,9.0,17.0,429.0,1.0,0.0,248.0,7.0,3.0,,,2.0,1.0,95.0,142.0,6.0,124.0,,2.0,18.0,23.0,2.0,,4.0,1.0,145.0,5.0,2.0,235.0,995.0,,9.0,3.0,37.0,1.0,5.0,707.0,17.0,1.0,5.0,3.0,,1.0,1.0,6.0,17.0,793.0,86.0,1.0,,85971,7.0,306.0,12.0,,,326.0,7.0,2.0,1.0,8.0,3.0,42.0,2.0,1.0,3.0,2.0,15.0,2.0,3.0,1.0,29.0,732.0,16.0,4.0,,7.0,2.0,75.0,,0.0,1.0,1.0,,2.0,1.0,1.0,0.0,3.0,2.0,1.0,2.0,78.2,17.0,,8.0,4.0,,3.0,2.0,65.0,11.0,,1.0,818.0,,5.0,6.0,10.0,6.0,41.0,,4.0,520.0,9.0,9.0,16.0,196.0,28.0,2.0,5.0,18.0,1.0,,11.0,5.0,17.0,,2.0,8.0,11.0,,,1.0,,1.0,,1.0,1.0,2.0,1.0,,2.0,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,2.0,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,1.0,,,
28,2367810,2024-03-10 13:00:00,"Villa Park, Birmingham",42310,Away,Tottenham Hotspur,Aston Villa,4,0,W,0,0,0,1,,4.0,53.0,,3.0,,,13.0,12.0,2.0,3.0,7.0,1.0,1.0,207.0,5.0,9.0,4.0,1.0,8.0,5.0,205.0,108.0,43.0,9.0,,6.0,,,,4.0,,,14.0,14.0,12.0,,7.0,15.0,315.0,,0.0,146.0,15.0,,1.0,1.0,1.0,1.0,95.0,75.0,7.0,108.0,1.0,,14.0,18.0,2.0,2.0,5.0,1.0,108.0,4.0,7.0,188.0,888.0,,4.0,1.0,27.0,,18.0,622.0,23.0,2.0,3.0,4.0,,2.0,7.0,1.0,14.0,683.0,54.0,1.0,,85971,4.0,337.0,8.0,,,352.0,15.0,3.0,1.0,4.0,5.0,50.0,8.0,,4.0,4.0,16.0,3.0,5.0,1.0,23.0,647.0,11.0,10.0,,5.0,1.0,77.0,,0.0,,6.0,1.0,4.0,,,0.0,5.0,4.0,1.0,,69.3,13.0,,6.0,2.0,,4.0,3.0,67.0,4.0,,3.0,708.0,,18.0,7.0,8.0,1.0,20.0,,,370.0,6.0,7.0,4.0,117.0,20.0,3.0,3.0,19.0,,,8.0,4.0,21.0,,3.0,4.0,4.0,,1.0,,1.0,,1.0,2.0,,,1.0,,2.0,,,,2.0,1.0,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
29,2367823,2024-03-16 17:30:00,"Craven Cottage, London",24410,Away,Tottenham Hotspur,Fulham,0,3,L,0,1,0,0,3.0,,64.0,,1.0,,,10.0,20.0,2.0,6.0,12.0,4.0,2.0,206.0,2.0,13.0,,1.0,13.0,5.0,143.0,135.0,48.0,14.0,,11.0,3.0,1.0,,,2.0,2.0,10.0,9.0,20.0,4.0,6.0,15.0,220.0,,0.0,146.0,10.0,,3.0,2.0,,,66.0,65.0,5.0,80.0,1.0,4.0,6.0,26.0,2.0,,2.0,,135.0,4.0,15.0,117.0,735.0,,13.0,3.0,38.0,,8.0,439.0,23.0,2.0,9.0,,,3.0,4.0,8.0,15.0,526.0,56.0,,,85971,4.0,241.0,4.0,,,265.0,8.0,,,10.0,6.0,49.0,1.0,,5.0,,14.0,1.0,6.0,2.0,23.0,459.0,9.0,8.0,,10.0,,59.0,1.0,0.0,2.0,4.0,4.0,,3.0,1.0,0.0,1.0,,1.0,1.0,57.1,15.0,1.0,7.0,4.0,,5.0,1.0,43.0,5.0,,,546.0,,8.0,5.0,8.0,8.0,29.0,1.0,8.0,291.0,7.0,5.0,14.0,111.0,29.0,1.0,9.0,12.0,,3.0,14.0,5.0,28.0,,1.0,10.0,5.0,,,,2.0,,,,,4.0,,1.0,4.0,,,,,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2367837,2024-03-30 15:00:00,"Tottenham Hotspur Stadium, London",61534,Home,Tottenham Hotspur,Luton Town,2,1,W,0,1,0,0,1.0,,53.0,,4.0,,,15.0,13.0,2.0,5.0,14.0,2.0,2.0,172.0,5.0,8.0,2.0,3.0,14.0,4.0,168.0,129.0,53.0,17.0,2.0,10.0,3.0,3.0,,1.0,2.0,1.0,17.0,11.0,13.0,1.0,9.0,26.0,261.0,,0.0,194.0,16.0,3.0,2.0,,1.0,,50.0,103.0,8.0,93.0,1.0,2.0,16.0,24.0,3.0,,3.0,1.0,129.0,3.0,4.0,177.0,790.0,,13.0,7.0,52.0,,12.0,499.0,22.0,2.0,10.0,1.0,,3.0,3.0,6.0,30.0,592.0,64.0,2.0,,85971,8.0,261.0,12.0,,,291.0,14.0,1.0,1.0,10.0,2.0,43.0,5.0,,1.0,1.0,10.0,3.0,2.0,3.0,36.0,517.0,14.0,6.0,,15.0,1.0,61.0,,0.0,,6.0,,2.0,1.0,2.0,0.0,5.0,1.0,,1.0,69.6,29.0,1.0,6.0,1.0,,1.0,6.0,43.0,3.0,,,610.0,,12.0,7.0,13.0,7.0,37.0,,5.0,336.0,11.0,9.0,15.0,147.0,24.0,1.0,10.0,16.0,,1.0,15.0,5.0,13.0,,1.0,10.0,3.0,2.0,,1.0,,,,,1.0,3.0,,,1.0,,,,,,1.0,1.0,2.0,3.0,1.0,,2.0,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,1.0,,1.0,
31,2367843,2024-04-02 20:15:00,"London Stadium, London",62469,Away,Tottenham Hotspur,West Ham United,1,1,D,1,1,0,0,1.0,1.0,45.0,,4.0,,,15.0,17.0,3.0,3.0,10.0,3.0,2.0,188.0,1.0,7.0,1.0,1.0,9.0,4.0,193.0,123.0,55.0,13.0,,7.0,3.0,4.0,,1.0,2.0,2.0,20.0,15.0,17.0,5.0,11.0,16.0,308.0,,0.0,240.0,9.0,,3.0,,1.0,1.0,58.0,87.0,6.0,98.0,,2.0,15.0,32.0,3.0,,3.0,3.0,123.0,1.0,7.0,183.0,863.0,,8.0,2.0,46.0,,8.0,568.0,23.0,4.0,10.0,1.0,,4.0,3.0,3.0,23.0,639.0,54.0,,,85971,4.0,283.0,11.0,,,302.0,9.0,1.0,1.0,13.0,6.0,43.0,,,6.0,1.0,12.0,4.0,6.0,1.0,28.0,590.0,12.0,11.0,,11.0,2.0,57.0,1.0,0.0,1.0,9.0,1.0,1.0,1.0,,0.0,1.0,1.0,,,67.7,21.0,,3.0,1.0,,6.0,4.0,41.0,5.0,,1.0,662.0,,8.0,12.0,10.0,5.0,36.0,,2.0,380.0,10.0,10.0,15.0,205.0,13.0,4.0,10.0,21.0,,1.0,11.0,5.0,11.0,2.0,4.0,13.0,5.0,2.0,,,,,,1.0,,,,1.0,1.0,,,,,,2.0,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
32,2367856,2024-04-07 18:00:00,"Tottenham Hotspur Stadium, London",61098,Home,Tottenham Hotspur,Nottingham Forest,3,1,W,1,1,0,0,1.0,,59.0,,3.0,1.0,,13.0,13.0,9.0,4.0,8.0,5.0,4.0,222.0,3.0,5.0,3.0,1.0,13.0,7.0,160.0,129.0,45.0,17.0,2.0,6.0,2.0,,1.0,1.0,3.0,2.0,24.0,11.0,13.0,2.0,8.0,29.0,354.0,,0.0,266.0,11.0,,2.0,,,1.0,93.0,98.0,10.0,122.0,,,22.0,25.0,9.0,,,4.0,129.0,1.0,6.0,164.0,834.0,,11.0,4.0,35.0,,10.0,555.0,20.0,2.0,7.0,2.0,1.0,2.0,,3.0,12.0,637.0,77.0,,,85971,4.0,234.0,22.0,,,249.0,11.0,1.0,,9.0,6.0,40.0,,2.0,3.0,1.0,11.0,7.0,5.0,1.0,24.0,585.0,12.0,14.0,,4.0,7.0,60.0,,0.0,1.0,2.0,3.0,3.0,1.0,2.0,0.0,3.0,1.0,,,63.6,12.0,,6.0,2.0,,4.0,5.0,42.0,12.0,,1.0,668.0,,10.0,4.0,13.0,5.0,36.0,,1.0,443.0,13.0,8.0,11.0,213.0,27.0,2.0,7.0,17.0,,1.0,9.0,5.0,11.0,,2.0,9.0,12.0,2.0,1.0,,3.0,1.0,,,1.0,2.0,,1.0,2.0,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,,,2.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
33,2367865,2024-04-13 12:30:00,"St. James' Park, Newcastle",52206,Away,Tottenham Hotspur,Newcastle United,0,4,L,0,2,0,0,,,39.0,,4.0,,,12.0,15.0,5.0,4.0,6.0,1.0,2.0,163.0,4.0,10.0,,,10.0,2.0,168.0,118.0,45.0,11.0,1.0,14.0,,1.0,1.0,,2.0,,14.0,10.0,15.0,1.0,5.0,26.0,312.0,,0.0,223.0,12.0,,1.0,,,,91.0,61.0,6.0,89.0,1.0,1.0,13.0,17.0,5.0,,4.0,2.0,118.0,1.0,16.0,155.0,742.0,,10.0,2.0,27.0,,9.0,468.0,11.0,,10.0,,1.0,4.0,5.0,4.0,20.0,543.0,59.0,2.0,,85971,2.0,190.0,9.0,,,217.0,11.0,,1.0,7.0,10.0,48.0,2.0,,2.0,,15.0,2.0,9.0,2.0,37.0,498.0,14.0,10.0,,13.0,,41.0,,0.0,,16.0,1.0,,4.0,1.0,0.0,4.0,,1.0,,72.9,19.0,,4.0,1.0,,2.0,5.0,19.0,3.0,,,575.0,,9.0,3.0,8.0,4.0,22.0,,2.0,372.0,7.0,5.0,7.0,187.0,20.0,3.0,10.0,14.0,,4.0,11.0,5.0,19.0,,3.0,7.0,3.0,,,,2.0,1.0,,,,1.0,2.0,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
34,2367876,2024-05-14 20:00:00,"Tottenham Hotspur Stadium, London",61065,Home,Tottenham Hotspur,Manchester City,0,2,L,0,0,0,0,2.0,,47.0,,,,,17.0,12.0,2.0,3.0,8.0,3.0,3.0,166.0,2.0,8.0,,,8.0,5.0,174.0,120.0,47.0,10.0,2.0,4.0,5.0,1.0,,,2.0,1.0,13.0,13.0,12.0,5.0,9.0,20.0,218.0,,0.0,129.0,14.0,,2.0,,,1.0,47.0,90.0,6.0,105.0,1.0,1.0,8.0,30.0,2.0,,2.0,,120.0,3.0,6.0,166.0,776.0,,6.0,2.0,16.0,,11.0,518.0,18.0,3.0,3.0,,,3.0,1.0,2.0,19.0,588.0,45.0,,,85971,4.0,325.0,6.0,,1.0,358.0,8.0,,,6.0,6.0,45.0,,,2.0,,15.0,2.0,6.0,1.0,28.0,541.0,11.0,7.0,2.0,9.0,3.0,43.0,,0.0,,4.0,3.0,,2.0,1.0,0.0,1.0,,,1.0,53.4,17.0,1.0,5.0,,1.0,2.0,2.0,32.0,7.0,1.0,1.0,611.0,1.0,11.0,10.0,9.0,3.0,20.0,1.0,3.0,266.0,6.0,9.0,5.0,102.0,22.0,,3.0,23.0,,2.0,7.0,4.0,18.0,,,6.0,7.0,,,,,,,,,4.0,,,2.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,
35,2367885,2024-04-28 14:00:00,"Tottenham Hotspur Stadium, London",61554,Home,Tottenham Hotspur,Arsenal,2,3,L,0,3,0,0,,1.0,47.0,1.0,4.0,,,14.0,10.0,5.0,3.0,10.0,1.0,,175.0,4.0,11.0,2.0,4.0,7.0,2.0,148.0,130.0,58.0,15.0,2.0,13.0,,2.0,,,,1.0,34.0,12.0,10.0,8.0,4.0,25.0,284.0,1.0,0.0,182.0,12.0,,,,3.0,,48.0,82.0,2.0,81.0,2.0,2.0,26.0,14.0,5.0,,5.0,2.0,130.0,3.0,9.0,160.0,778.0,,6.0,,37.0,,8.0,482.0,22.0,2.0,6.0,,,2.0,5.0,5.0,15.0,541.0,57.0,1.0,1.0,85971,5.0,225.0,18.0,1.0,,250.0,6.0,2.0,2.0,8.0,3.0,58.0,1.0,1.0,2.0,1.0,13.0,1.0,3.0,3.0,29.0,505.0,14.0,9.0,1.0,11.0,4.0,49.0,,0.0,,6.0,1.0,1.0,3.0,,0.0,4.0,,,3.0,62.2,14.0,1.0,7.0,,,2.0,6.0,34.0,8.0,,,564.0,,8.0,16.0,17.0,7.0,45.0,,4.0,348.0,9.0,4.0,10.0,162.0,16.0,3.0,6.0,24.0,,3.0,9.0,5.0,19.0,,3.0,8.0,8.0,,,1.0,,,,,1.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,2.0,,1.0,1.0,,
36,2367894,2024-05-05 16:30:00,"Anfield, Liverpool",60075,Away,Tottenham Hotspur,Liverpool,2,4,L,0,2,0,0,3.0,2.0,49.0,1.0,1.0,,,25.0,22.0,5.0,4.0,5.0,8.0,,189.0,4.0,8.0,2.0,4.0,8.0,6.0,152.0,137.0,38.0,11.0,1.0,8.0,2.0,,1.0,2.0,2.0,,12.0,9.0,22.0,2.0,9.0,27.0,233.0,,0.0,142.0,12.0,,2.0,,1.0,1.0,64.0,67.0,7.0,91.0,1.0,1.0,10.0,24.0,6.0,,4.0,3.0,137.0,3.0,19.0,135.0,772.0,,5.0,1.0,31.0,1.0,7.0,454.0,18.0,,8.0,2.0,1.0,4.0,5.0,1.0,20.0,533.0,46.0,,,85971,3.0,258.0,5.0,2.0,,288.0,10.0,2.0,1.0,12.0,9.0,53.0,,,7.0,2.0,18.0,6.0,8.0,2.0,36.0,487.0,12.0,7.0,1.0,6.0,1.0,57.0,,0.0,2.0,8.0,6.0,2.0,4.0,,0.0,4.0,2.0,,1.0,56.0,19.0,,3.0,2.0,,7.0,2.0,49.0,3.0,,1.0,567.0,,7.0,11.0,19.0,3.0,26.0,,,291.0,6.0,9.0,4.0,106.0,21.0,1.0,8.0,14.0,,3.0,7.0,4.0,23.0,,1.0,12.0,3.0,3.0,,,2.0,,,,,1.0,,,2.0,,,,,,1.0,1.0,,,1.0,,,2.0,,1.0,,,1.0,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0
37,2367905,2024-05-11 15:00:00,"Tottenham Hotspur Stadium, London",61148,Home,Tottenham Hotspur,Burnley,2,1,W,1,1,0,0,3.0,,58.0,1.0,4.0,,,8.0,9.0,5.0,7.0,16.0,2.0,2.0,178.0,7.0,7.0,2.0,2.0,17.0,9.0,133.0,124.0,42.0,21.0,2.0,10.0,6.0,5.0,1.0,2.0,3.0,1.0,28.0,9.0,9.0,8.0,11.0,22.0,293.0,,0.0,195.0,10.0,3.0,,1.0,1.0,1.0,60.0,101.0,12.0,89.0,,3.0,20.0,14.0,5.0,,5.0,2.0,124.0,4.0,6.0,147.0,733.0,,13.0,,45.0,2.0,8.0,462.0,18.0,1.0,8.0,2.0,1.0,3.0,2.0,5.0,19.0,523.0,54.0,,,85971,7.0,196.0,14.0,1.0,,210.0,7.0,1.0,1.0,7.0,5.0,44.0,,2.0,4.0,2.0,15.0,1.0,4.0,,21.0,482.0,14.0,5.0,2.0,4.0,2.0,52.0,,0.0,1.0,3.0,1.0,2.0,1.0,,0.0,5.0,,,3.0,63.1,18.0,,11.0,1.0,,4.0,6.0,34.0,9.0,,1.0,547.0,,8.0,14.0,11.0,6.0,42.0,2.0,4.0,365.0,11.0,11.0,9.0,156.0,23.0,,8.0,12.0,,1.0,18.0,5.0,13.0,,,7.0,9.0,1.0,1.0,,1.0,1.0,,,,5.0,1.0,,1.0,,,1.0,1.0,,3.0,,,,,1.0,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
38,2367917,2024-05-19 16:00:00,"Bramall Lane, Sheffield",29116,Away,Tottenham Hotspur,Sheffield United,3,0,W,1,0,0,0,1.0,,40.0,,4.0,,,24.0,12.0,4.0,4.0,14.0,1.0,4.0,190.0,2.0,3.0,3.0,1.0,16.0,9.0,187.0,106.0,37.0,18.0,2.0,9.0,5.0,2.0,,3.0,2.0,,15.0,9.0,12.0,6.0,12.0,21.0,286.0,,0.0,170.0,9.0,,,3.0,,,113.0,65.0,14.0,119.0,1.0,1.0,9.0,15.0,4.0,1.0,1.0,,106.0,2.0,3.0,201.0,862.0,,12.0,4.0,42.0,1.0,8.0,612.0,11.0,4.0,6.0,3.0,,0.0,2.0,2.0,24.0,677.0,56.0,3.0,,85971,9.0,348.0,8.0,,,372.0,2.0,2.0,1.0,4.0,3.0,32.0,4.0,1.0,6.0,3.0,11.0,3.0,3.0,1.0,34.0,632.0,11.0,2.0,1.0,8.0,4.0,70.0,,0.0,,2.0,,3.0,,1.0,0.0,1.0,3.0,1.0,1.0,76.1,21.0,,6.0,1.0,1.0,6.0,6.0,55.0,6.0,,1.0,697.0,,8.0,7.0,16.0,3.0,21.0,1.0,2.0,340.0,13.0,12.0,11.0,139.0,16.0,,6.0,12.0,,,13.0,5.0,10.0,,,4.0,6.0,1.0,1.0,1.0,1.0,,1.0,,1.0,3.0,,1.0,,1.0,,,2.0,,,1.0,2.0,2.0,1.0,,2.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,
