gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attRfTarget,attFreekickTotal,attSvLowCentre,attMissLeft,attOboxTarget,attOboxGoal,interceptionsInBox,freekickTotal,attOboxMiss,bigChanceMissed,attCmissHigh,attCmissLeft,attFreekickTarget,attSvHighCentre,clearanceOffLine,accurateCornersIntobox,attGoalLowLeft,attGoalLowRight,attLfGoal,accuratePullBack,attCmissRight,penaltyWon,ptsGainedLosingPos,midfielderGoals,attMissRight,contentiousDecision,attMissHighLeft,attObxdLeft,attPenGoal,accurateFlickOn,shieldBallOop,shotFastbreak,attBxRight,postScoringAtt,cleanSheet,totalFastbreak,attPostLeft,attHdTarget,hitWoodwork,attFastbreak,attSvLowRight,attOboxPost,attMissHighRight,totalOffside,errorLeadToShot,goalFastbreak,attGoalHighCentre,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,defenderGoals,foulThrowIn,attHdGoal,attCmissHighRight,accurateKeeperSweeper,attSvHighLeft,totalKeeperSweeper,attFreekickMiss,attGoalHighLeft,attFreekickGoal,attGoalLowCentre,secondYellow,penaltyConceded,penaltyFaced,penGoalsConceded,attIboxPost,attPostHigh,attObxLeft,attHdPost,attPostRight,ownGoals,attIboxOwnGoal,attSvHighRight,errorLeadToGoal
27,2210539,2022-02-25 20:00:00,"St. Mary's Stadium, Southampton",31182.0,Home,Southampton,Norwich City,2,0,W,1,0,0,0,1.0,3.0,1.0,21.0,57.0,,5.0,23.0,16.0,8.0,8.0,19.0,1.0,158.0,14.0,10.0,10.0,2.0,2.0,15.0,9.0,121.0,155.0,47.0,27.0,1.0,14.0,5.0,,28.0,5.0,,16.0,12.0,5.0,29.0,,259.0,0.0,187.0,12.0,,1.0,1.0,1.0,95.0,80.0,8.0,98.0,16.0,17.0,8.0,7.0,155.0,2.0,4.0,124.0,714.0,12.0,7.0,49.0,10.0,399.0,17.0,3.0,13.0,,1.0,4.0,7.0,28.0,485.0,59.0,1.0,1.0,96787,10.0,158.0,8.0,2.0,1.0,180.0,5.0,2.0,1.0,17.0,5.0,46.0,3.0,2.0,1.0,14.0,4.0,2.0,1.0,50.0,407.0,9.0,3.0,3.0,19.0,8.0,65.0,,0.0,,6.0,1.0,2.0,,0.0,6.0,,5.0,58.1,19.0,4.0,8.0,5.0,2.0,6.0,34.0,13.0,1.0,501.0,10.0,9.0,19.0,12.0,45.0,7.0,349.0,14.0,5.0,19.0,144.0,29.0,1.0,1.0,13.0,9.0,,16.0,3.0,19.0,,1.0,6.0,13.0,4.0,1.0,2.0,6.0,2.0,,1.0,1.0,5.0,2.0,1.0,1.0,,2.0,,4.0,,,,,,,,1.0,2.0,,1.0,,,3.0,,,1.0,,1.0,,,,,,2.0,,2.0,2.0,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
28,2210541,2022-03-05 15:00:00,"Villa Park, Birmingham",41855.0,Away,Southampton,Aston Villa,0,4,L,0,2,0,0,,,,31.0,66.0,2.0,1.0,39.0,7.0,6.0,4.0,5.0,5.0,174.0,19.0,3.0,15.0,,2.0,9.0,1.0,142.0,147.0,50.0,11.0,2.0,10.0,1.0,,21.0,11.0,,7.0,7.0,2.0,51.0,,258.0,0.0,167.0,8.0,2.0,,1.0,,101.0,94.0,3.0,97.0,14.0,17.0,6.0,5.0,147.0,3.0,11.0,143.0,740.0,9.0,3.0,18.0,12.0,456.0,16.0,3.0,1.0,,1.0,1.0,6.0,19.0,538.0,66.0,,,96787,2.0,214.0,8.0,,,229.0,5.0,,2.0,17.0,4.0,39.0,1.0,7.0,,21.0,3.0,1.0,1.0,66.0,469.0,10.0,7.0,,13.0,2.0,76.0,1.0,0.0,1.0,4.0,3.0,,4.0,0.0,2.0,,2.0,61.8,14.0,2.0,6.0,,7.0,3.0,44.0,7.0,,556.0,12.0,8.0,29.0,7.0,21.0,3.0,348.0,5.0,2.0,10.0,127.0,36.0,,1.0,1.0,15.0,4.0,8.0,3.0,21.0,,1.0,6.0,7.0,1.0,1.0,1.0,2.0,,,1.0,1.0,4.0,3.0,1.0,1.0,,,,1.0,,,,2.0,,,,,2.0,,1.0,,,2.0,1.0,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
29,2210559,2022-03-13 14:00:00,"St. Mary's Stadium, Southampton",28863.0,Home,Southampton,Watford,1,2,L,1,2,0,0,1.0,,1.0,29.0,68.0,,1.0,22.0,12.0,3.0,3.0,10.0,3.0,168.0,12.0,10.0,7.0,1.0,7.0,10.0,7.0,124.0,181.0,58.0,13.0,,28.0,5.0,,33.0,9.0,,12.0,11.0,5.0,36.0,,220.0,0.0,149.0,8.0,1.0,,6.0,,68.0,88.0,7.0,64.0,22.0,20.0,3.0,4.0,181.0,2.0,6.0,142.0,712.0,5.0,4.0,25.0,8.0,373.0,27.0,4.0,3.0,1.0,3.0,1.0,3.0,32.0,483.0,66.0,,3.0,96787,6.0,176.0,12.0,,4.0,216.0,4.0,,,20.0,7.0,59.0,,5.0,,18.0,3.0,7.0,3.0,54.0,386.0,11.0,8.0,4.0,21.0,4.0,64.0,,0.0,2.0,3.0,3.0,1.0,2.0,0.0,7.0,,7.0,62.5,24.0,2.0,3.0,,5.0,1.0,33.0,11.0,,498.0,8.0,11.0,19.0,5.0,46.0,3.0,315.0,3.0,4.0,23.0,108.0,33.0,,,3.0,17.0,2.0,4.0,3.0,14.0,,,6.0,11.0,2.0,1.0,,,1.0,,1.0,1.0,2.0,1.0,2.0,,,1.0,,3.0,,1.0,1.0,,,,,1.0,,1.0,2.0,,,1.0,,,2.0,,,,,4.0,,,1.0,,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,3.0,1.0
30,2210562,2022-04-21 19:45:00,"Turf Moor, Burnley",17384.0,Away,Southampton,Burnley,0,2,L,0,2,0,0,,,,20.0,58.0,1.0,4.0,25.0,23.0,1.0,3.0,10.0,4.0,162.0,11.0,3.0,7.0,,2.0,9.0,3.0,121.0,141.0,41.0,11.0,,16.0,2.0,,27.0,9.0,,23.0,9.0,7.0,30.0,,209.0,0.0,144.0,7.0,3.0,,1.0,,78.0,65.0,6.0,76.0,18.0,18.0,1.0,5.0,141.0,2.0,11.0,120.0,677.0,6.0,4.0,17.0,12.0,380.0,25.0,4.0,8.0,,2.0,5.0,3.0,20.0,459.0,63.0,,,96787,8.0,190.0,12.0,,,216.0,2.0,,,18.0,7.0,48.0,,2.0,,13.0,5.0,5.0,1.0,59.0,396.0,7.0,10.0,3.0,19.0,4.0,74.0,3.0,0.0,,10.0,3.0,,2.0,0.0,,,3.0,57.0,16.0,2.0,6.0,,2.0,4.0,45.0,10.0,,479.0,12.0,7.0,7.0,4.0,34.0,4.0,290.0,5.0,7.0,12.0,108.0,23.0,,5.0,8.0,15.0,1.0,6.0,3.0,15.0,,5.0,10.0,10.0,2.0,1.0,1.0,2.0,1.0,,2.0,1.0,,2.0,,,1.0,1.0,,3.0,,,,,1.0,,,,1.0,,,,,1.0,1.0,,2.0,,,,,1.0,,,,,,2.0,,,,1.0,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,1.0,
31,2210575,2022-04-02 15:00:00,"Elland Road, Leeds",36580.0,Away,Southampton,Leeds United,1,1,D,0,1,0,0,,2.0,,45.0,80.0,,2.0,28.0,25.0,4.0,3.0,10.0,2.0,159.0,22.0,7.0,14.0,1.0,4.0,11.0,6.0,68.0,201.0,55.0,14.0,2.0,32.0,4.0,,23.0,4.0,,25.0,6.0,2.0,43.0,,155.0,0.0,139.0,7.0,2.0,1.0,3.0,1.0,62.0,46.0,7.0,48.0,17.0,24.0,4.0,5.0,201.0,1.0,7.0,85.0,581.0,10.0,10.0,36.0,13.0,222.0,36.0,12.0,8.0,,1.0,6.0,4.0,17.0,334.0,55.0,,1.0,96787,5.0,87.0,9.0,,1.0,111.0,,1.0,,24.0,10.0,61.0,,3.0,,26.0,5.0,4.0,1.0,74.0,235.0,14.0,4.0,1.0,37.0,4.0,82.0,,0.0,3.0,4.0,2.0,,1.0,0.0,5.0,,,44.2,5.0,,9.0,2.0,3.0,4.0,35.0,7.0,1.0,360.0,13.0,6.0,21.0,4.0,36.0,4.0,272.0,10.0,2.0,18.0,83.0,25.0,,,8.0,9.0,1.0,8.0,3.0,27.0,,,12.0,7.0,3.0,1.0,4.0,,1.0,1.0,2.0,1.0,,2.0,,,,,,2.0,,,,,1.0,,1.0,1.0,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0
32,2210589,2022-04-09 15:00:00,"St. Mary's Stadium, Southampton",31359.0,Home,Southampton,Chelsea,0,6,L,0,4,0,0,,,,22.0,62.0,1.0,1.0,19.0,15.0,2.0,1.0,2.0,8.0,112.0,12.0,2.0,3.0,,3.0,4.0,1.0,65.0,144.0,39.0,4.0,2.0,20.0,1.0,,14.0,11.0,,15.0,1.0,8.0,23.0,,101.0,0.0,81.0,11.0,2.0,,3.0,,57.0,47.0,4.0,45.0,13.0,20.0,2.0,2.0,144.0,1.0,18.0,70.0,481.0,4.0,1.0,9.0,10.0,204.0,34.0,9.0,5.0,,1.0,2.0,,24.0,268.0,34.0,,,96787,1.0,119.0,8.0,,,135.0,7.0,,,20.0,7.0,67.0,,3.0,,18.0,6.0,1.0,,50.0,218.0,10.0,8.0,,26.0,1.0,68.0,,0.0,1.0,3.0,7.0,,6.0,0.0,2.0,,,29.0,14.0,,4.0,,3.0,3.0,25.0,2.0,,292.0,10.0,18.0,9.0,,21.0,,171.0,3.0,8.0,9.0,56.0,19.0,,,5.0,18.0,5.0,3.0,3.0,14.0,,,12.0,3.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,2.0
33,2210596,2022-04-16 15:00:00,"St. Mary's Stadium, Southampton",31465.0,Home,Southampton,Arsenal,1,0,W,1,0,0,0,,1.0,,18.0,52.0,2.0,4.0,17.0,36.0,3.0,6.0,6.0,6.0,100.0,10.0,2.0,4.0,1.0,2.0,6.0,3.0,38.0,123.0,42.0,9.0,1.0,20.0,1.0,,10.0,7.0,,36.0,6.0,,22.0,,64.0,0.0,67.0,6.0,4.0,1.0,1.0,2.0,43.0,39.0,6.0,35.0,4.0,15.0,3.0,,123.0,1.0,13.0,40.0,395.0,3.0,5.0,15.0,17.0,122.0,25.0,2.0,18.0,1.0,2.0,4.0,,13.0,190.0,36.0,,1.0,96787,2.0,69.0,3.0,1.0,1.0,87.0,4.0,,2.0,15.0,15.0,48.0,1.0,,,12.0,10.0,6.0,,60.0,131.0,6.0,11.0,2.0,24.0,3.0,53.0,2.0,0.0,1.0,8.0,4.0,1.0,,0.0,1.0,1.0,1.0,24.3,7.0,,3.0,2.0,,5.0,16.0,6.0,2.0,213.0,17.0,5.0,8.0,1.0,21.0,,136.0,2.0,,18.0,38.0,15.0,,1.0,18.0,14.0,,3.0,3.0,11.0,,1.0,8.0,6.0,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,,,1.0,,,1.0,,,1.0,2.0,,,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,,2.0,1.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
34,2210603,2022-04-24 14:00:00,"American Express Stadium, Falmer",31335.0,Away,Southampton,Brighton and Hove Albion,2,2,D,1,2,0,0,1.0,,,37.0,61.0,,3.0,23.0,22.0,9.0,3.0,9.0,4.0,155.0,19.0,5.0,6.0,2.0,2.0,12.0,5.0,73.0,172.0,52.0,18.0,4.0,24.0,2.0,1.0,26.0,4.0,,22.0,5.0,1.0,42.0,,166.0,0.0,130.0,7.0,1.0,,1.0,,63.0,52.0,9.0,57.0,21.0,23.0,9.0,9.0,172.0,,8.0,81.0,597.0,10.0,15.0,27.0,17.0,244.0,28.0,6.0,10.0,1.0,0.0,2.0,3.0,33.0,346.0,44.0,,1.0,96787,5.0,97.0,11.0,,1.0,143.0,4.0,2.0,,23.0,4.0,50.0,,4.0,1.0,13.0,1.0,1.0,4.0,60.0,258.0,12.0,4.0,1.0,25.0,3.0,67.0,1.0,0.0,1.0,6.0,4.0,,2.0,0.0,4.0,1.0,3.0,51.2,24.0,2.0,2.0,2.0,4.0,7.0,37.0,6.0,,366.0,17.0,16.0,19.0,6.0,35.0,4.0,249.0,12.0,1.0,21.0,92.0,27.0,,2.0,10.0,13.0,2.0,13.0,3.0,7.0,,2.0,8.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,,1.0,,,,,1.0,2.0,,,,,,1.0,2.0,1.0,,,,,5.0,,1.0,2.0,,,1.0,,1.0,1.0,1.0,2.0,,,3.0,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,,
35,2210616,2022-04-30 15:00:00,"St. Mary's Stadium, Southampton",31359.0,Home,Southampton,Crystal Palace,1,2,L,1,0,0,0,,,,29.0,61.0,,2.0,19.0,23.0,3.0,1.0,5.0,3.0,146.0,14.0,2.0,5.0,1.0,4.0,7.0,3.0,67.0,153.0,69.0,8.0,,22.0,1.0,,15.0,17.0,,23.0,5.0,1.0,30.0,,106.0,0.0,103.0,13.0,2.0,2.0,5.0,1.0,45.0,53.0,4.0,47.0,10.0,22.0,3.0,1.0,153.0,,11.0,66.0,512.0,6.0,9.0,16.0,13.0,204.0,23.0,7.0,11.0,1.0,1.0,6.0,3.0,16.0,304.0,45.0,,,96787,5.0,117.0,4.0,1.0,1.0,148.0,4.0,,2.0,22.0,6.0,56.0,2.0,4.0,,19.0,3.0,6.0,1.0,56.0,221.0,9.0,13.0,,25.0,1.0,55.0,,0.0,2.0,7.0,3.0,1.0,2.0,0.0,,1.0,1.0,38.3,10.0,,7.0,,4.0,2.0,26.0,6.0,1.0,326.0,13.0,5.0,12.0,3.0,27.0,1.0,193.0,6.0,1.0,32.0,59.0,25.0,,2.0,11.0,23.0,1.0,5.0,3.0,8.0,3.0,2.0,13.0,6.0,2.0,,,2.0,1.0,,1.0,,2.0,,,,,,,2.0,,,,1.0,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,
36,2210622,2022-05-07 15:00:00,"Gtech Community Stadium, Brentford",17051.0,Away,Southampton,Brentford,0,3,L,0,2,0,0,,1.0,,24.0,65.0,,2.0,16.0,16.0,6.0,4.0,12.0,2.0,166.0,13.0,8.0,5.0,,2.0,13.0,4.0,135.0,143.0,48.0,19.0,3.0,15.0,1.0,,30.0,5.0,,16.0,7.0,,44.0,,236.0,0.0,164.0,9.0,2.0,2.0,,1.0,75.0,58.0,3.0,59.0,23.0,12.0,7.0,8.0,143.0,,14.0,110.0,654.0,11.0,8.0,29.0,8.0,354.0,23.0,5.0,7.0,,1.0,5.0,10.0,13.0,447.0,54.0,,,96787,8.0,148.0,15.0,,,181.0,4.0,,1.0,12.0,9.0,44.0,,4.0,,11.0,4.0,9.0,3.0,41.0,376.0,12.0,10.0,2.0,19.0,4.0,54.0,1.0,0.0,1.0,4.0,2.0,,3.0,0.0,6.0,,5.0,59.6,11.0,5.0,3.0,3.0,5.0,5.0,34.0,7.0,1.0,470.0,8.0,6.0,23.0,10.0,35.0,9.0,319.0,10.0,,14.0,124.0,34.0,,2.0,7.0,17.0,2.0,13.0,2.0,9.0,,2.0,5.0,7.0,3.0,2.0,,4.0,3.0,,1.0,2.0,1.0,,1.0,1.0,,,,2.0,,,,,,,,,2.0,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,2.0,,,,1.0,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,,,,1.0,
37,2210636,2022-05-17 19:45:00,"St. Mary's Stadium, Southampton",31588.0,Home,Southampton,Liverpool,1,2,L,1,1,0,0,,,,25.0,56.0,3.0,,21.0,39.0,3.0,,1.0,3.0,127.0,12.0,1.0,4.0,1.0,1.0,2.0,2.0,55.0,129.0,39.0,4.0,2.0,13.0,,1.0,10.0,9.0,1.0,39.0,1.0,1.0,34.0,,95.0,0.0,65.0,6.0,2.0,,,,43.0,32.0,2.0,39.0,9.0,15.0,3.0,5.0,129.0,,12.0,79.0,496.0,1.0,4.0,9.0,8.0,205.0,31.0,2.0,19.0,1.0,2.0,9.0,,17.0,274.0,45.0,,,96787,,132.0,4.0,,,162.0,4.0,1.0,,15.0,14.0,48.0,,8.0,1.0,17.0,12.0,12.0,,57.0,226.0,5.0,11.0,,18.0,,48.0,1.0,0.0,2.0,9.0,,1.0,2.0,0.0,1.0,,,29.1,8.0,,,1.0,8.0,2.0,22.0,1.0,,300.0,8.0,8.0,17.0,,13.0,,148.0,4.0,1.0,15.0,41.0,15.0,,4.0,19.0,15.0,2.0,3.0,3.0,14.0,3.0,4.0,9.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
38,2210647,2022-05-22 16:00:00,"King Power Stadium, Leicester",32003.0,Away,Southampton,Leicester City,1,4,L,0,0,0,0,,,1.0,29.0,60.0,1.0,,20.0,9.0,2.0,,5.0,2.0,148.0,14.0,5.0,8.0,1.0,2.0,5.0,2.0,103.0,153.0,44.0,7.0,,8.0,1.0,,14.0,13.0,,9.0,3.0,8.0,29.0,,180.0,0.0,141.0,5.0,1.0,,1.0,,74.0,70.0,1.0,82.0,11.0,30.0,2.0,3.0,153.0,,10.0,92.0,598.0,5.0,4.0,15.0,11.0,316.0,24.0,4.0,5.0,,1.0,2.0,4.0,21.0,407.0,66.0,2.0,,96787,4.0,153.0,7.0,,,185.0,3.0,1.0,,30.0,4.0,40.0,3.0,4.0,,14.0,2.0,3.0,3.0,57.0,328.0,9.0,7.0,,23.0,,55.0,,0.0,1.0,3.0,1.0,1.0,4.0,0.0,4.0,,3.0,49.1,12.0,2.0,9.0,1.0,4.0,,28.0,3.0,,425.0,11.0,10.0,12.0,5.0,25.0,3.0,254.0,4.0,8.0,10.0,96.0,22.0,,,5.0,17.0,4.0,5.0,4.0,18.0,,,9.0,3.0,,1.0,,,,,2.0,1.0,2.0,,1.0,,,,,1.0,,,,,,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,1.0,3.0,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0
