gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,attLfGoal,goals,accuratePullBack,accurateKeeperSweeper,goalAssistOpenplay,goalAssist,totalKeeperSweeper,accurateThroughBall,errorLeadToShot,totalPullBack,goalsOpenplay,punches,attIboxGoal,goalAssistIntentional,forwardGoals,postScoringAtt,attIboxPost,attSvHighRight,cleanSheet,attSvLowLeft,goodHighClaim,contentiousDecision,attPostLeft,sixYardBlock,attSvHighCentre,totalHighClaim,attOneOnOne,attLgCentre,attFreekickTarget,bigChanceScored,goalAssistSetplay,goalAssistDeadball,attSvHighLeft,attRfGoal,attOboxPost,attPostRight,attHdGoal,handBall,secondYellow,ownGoals,attIboxOwnGoal,attGoalLowRight,goalFastbreak,attOboxGoal,midfielderGoals,attGoalHighRight,attPostHigh,attGoalHighCentre,attMissHighLeft,attGoalHighLeft,attGoalLowCentre,defenderGoals,attCmissHighLeft,foulThrowIn,attHdPost,penaltyWon,attPenMiss,attPenGoal,clearanceOffLine,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickGoal,attCmissHighRight,attFreekickMiss,attObxdLeft
27,803422,2016-02-28 14:05:00,"Old Trafford, Manchester",75329,Away,Arsenal,Manchester United,2,3,L,1,2,0,0,1.0,1.0,63.0,2.0,,27.0,18.0,3.0,3.0,2.0,1.0,188.0,6.0,9.0,4.0,8.0,1.0,5.0,143.0,145.0,56.0,1.0,13.0,3.0,5.0,3.0,,,2.0,3.0,15.0,8.0,,12.0,2.0,16.0,35.0,228.0,,0.0,167.0,15.0,1.0,,3.0,74.0,68.0,5.0,79.0,3.0,1.0,13.0,10.0,1.0,3.0,,139.0,3.0,3.0,131.0,737.0,4.0,21.0,1.0,,16.0,431.0,21.0,9.0,10.0,3.0,1.0,3.0,26.0,513.0,78.0,3.0,99127,7.0,233.0,2.0,7.0,4.0,245.0,8.0,10.0,4.0,50.0,,3.0,1.0,8.0,16.0,4.0,3.0,1.0,44.0,455.0,21.0,6.0,3.0,16.0,78.0,,,,0.0,,2.0,,3.0,7.0,0.0,5.0,1.0,5.0,60.8,23.0,3.0,4.0,1.0,8.0,3.0,56.0,3.0,541.0,16.0,18.0,19.0,5.0,32.0,1.0,5.0,311.0,5.0,11.0,12.0,117.0,29.0,2.0,6.0,14.0,2.0,7.0,3.0,15.0,1.0,2.0,5.0,3.0,,1.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,
28,803437,2016-03-02 19:45:00,"Emirates Stadium, London",59905,Home,Arsenal,Swansea City,1,2,L,1,1,0,0,1.0,,72.0,,4.0,27.0,15.0,5.0,6.0,,1.0,211.0,4.0,13.0,3.0,14.0,1.0,4.0,154.0,145.0,58.0,1.0,17.0,2.0,4.0,2.0,,1.0,,1.0,22.0,21.0,1.0,9.0,7.0,28.0,53.0,314.0,,0.0,221.0,8.0,,,2.0,78.0,82.0,8.0,97.0,1.0,3.0,15.0,21.0,1.0,1.0,2.0,139.0,2.0,3.0,159.0,834.0,10.0,9.0,2.0,3.0,17.0,519.0,34.0,5.0,7.0,0.0,4.0,6.0,22.0,601.0,67.0,,99127,10.0,226.0,1.0,12.0,,243.0,6.0,21.0,5.0,40.0,,5.0,3.0,6.0,14.0,8.0,4.0,,48.0,536.0,11.0,9.0,3.0,14.0,70.0,,1.0,1.0,0.0,,3.0,,2.0,2.0,0.0,,1.0,3.0,62.6,22.0,1.0,3.0,,6.0,6.0,53.0,7.0,621.0,17.0,10.0,33.0,7.0,47.0,4.0,3.0,400.0,8.0,26.0,6.0,171.0,28.0,3.0,5.0,28.0,1.0,12.0,2.0,22.0,1.0,3.0,5.0,7.0,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,,5.0,1.0,1.0,1.0,1.0,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,
29,803442,2016-03-05 12:45:00,"White Hart Lane, London",35762,Away,Arsenal,Tottenham Hotspur,2,2,D,1,0,1,0,1.0,,79.0,5.0,2.0,25.0,34.0,4.0,3.0,9.0,1.0,188.0,1.0,11.0,1.0,7.0,,4.0,80.0,189.0,61.0,1.0,10.0,2.0,9.0,1.0,,1.0,,2.0,7.0,17.0,1.0,25.0,2.0,14.0,45.0,165.0,,0.0,126.0,10.0,4.0,,1.0,58.0,64.0,6.0,60.0,,,5.0,21.0,1.0,2.0,2.0,180.0,,12.0,86.0,646.0,5.0,13.0,1.0,,23.0,278.0,33.0,6.0,11.0,2.0,8.0,1.0,28.0,384.0,61.0,,99127,4.0,131.0,,2.0,,163.0,6.0,21.0,7.0,56.0,,2.0,1.0,1.0,15.0,14.0,5.0,,61.0,295.0,9.0,9.0,,24.0,80.0,,,,0.0,1.0,9.0,4.0,2.0,8.0,1.0,1.0,,1.0,48.2,20.0,,5.0,,1.0,4.0,38.0,2.0,414.0,23.0,18.0,19.0,2.0,17.0,,,258.0,6.0,12.0,16.0,74.0,29.0,,9.0,25.0,1.0,9.0,3.0,23.0,,,10.0,2.0,1.0,,2.0,,,2.0,2.0,,,1.0,1.0,2.0,,2.0,2.0,,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,2.0,,,,2.0,1.0,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,
30,803461,2016-04-21 19:45:00,"Emirates Stadium, London",59568,Home,Arsenal,West Bromwich Albion,2,0,W,2,0,0,0,,3.0,69.0,,3.0,22.0,15.0,6.0,7.0,1.0,2.0,234.0,2.0,19.0,2.0,14.0,,7.0,185.0,127.0,68.0,1.0,16.0,,15.0,4.0,,2.0,2.0,,11.0,7.0,1.0,12.0,2.0,61.0,39.0,362.0,3.0,0.0,219.0,14.0,,,,83.0,54.0,9.0,108.0,1.0,3.0,9.0,23.0,1.0,3.0,3.0,124.0,,4.0,196.0,915.0,12.0,11.0,,,19.0,622.0,20.0,5.0,11.0,0.0,3.0,5.0,16.0,703.0,63.0,,99127,4.0,281.0,,6.0,,294.0,6.0,23.0,3.0,49.0,,2.0,3.0,7.0,10.0,4.0,2.0,,42.0,641.0,14.0,5.0,1.0,14.0,84.0,,1.0,,0.0,2.0,6.0,1.0,,4.0,0.0,1.0,2.0,,71.4,15.0,,7.0,3.0,7.0,3.0,63.0,2.0,723.0,19.0,9.0,24.0,6.0,34.0,1.0,3.0,440.0,9.0,57.0,23.0,179.0,32.0,4.0,9.0,12.0,,14.0,3.0,27.0,,4.0,10.0,2.0,2.0,,2.0,2.0,2.0,1.0,1.0,2.0,,,3.0,1.0,2.0,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,2.0,,,,1.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,
31,803462,2016-03-19 12:45:00,"Goodison Park, Liverpool",39270,Away,Arsenal,Everton,2,0,W,2,0,0,0,,,76.0,1.0,3.0,20.0,32.0,2.0,5.0,2.0,1.0,170.0,2.0,19.0,,8.0,,3.0,117.0,165.0,58.0,,11.0,1.0,11.0,1.0,1.0,3.0,1.0,1.0,12.0,10.0,,23.0,5.0,14.0,27.0,229.0,,0.0,163.0,10.0,1.0,2.0,,58.0,83.0,5.0,56.0,4.0,1.0,7.0,21.0,,3.0,1.0,156.0,2.0,5.0,106.0,684.0,5.0,13.0,,1.0,30.0,347.0,32.0,3.0,15.0,0.0,1.0,3.0,19.0,426.0,58.0,,99127,3.0,133.0,,4.0,,160.0,3.0,21.0,7.0,54.0,,4.0,3.0,1.0,20.0,3.0,3.0,1.0,47.0,360.0,6.0,9.0,1.0,19.0,81.0,1.0,,1.0,0.0,6.0,7.0,1.0,,7.0,0.0,,2.0,,45.7,15.0,,2.0,2.0,1.0,4.0,51.0,5.0,449.0,30.0,14.0,18.0,4.0,26.0,2.0,3.0,301.0,6.0,12.0,13.0,126.0,31.0,6.0,13.0,20.0,,10.0,3.0,29.0,,6.0,5.0,5.0,,,2.0,1.0,,2.0,2.0,,2.0,,2.0,2.0,,2.0,2.0,1.0,,,,1.0,,1.0,1.0,,,,1.0,1.0,,,2.0,,,,2.0,,,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,
32,803480,2016-04-02 15:00:00,"Emirates Stadium, London",59981,Home,Arsenal,Watford,4,0,W,2,0,0,0,,1.0,69.0,,1.0,25.0,25.0,5.0,6.0,2.0,4.0,232.0,4.0,8.0,1.0,14.0,,12.0,215.0,143.0,44.0,1.0,19.0,2.0,19.0,5.0,,2.0,2.0,1.0,15.0,9.0,3.0,21.0,7.0,32.0,44.0,412.0,,0.0,289.0,7.0,1.0,,,85.0,151.0,11.0,108.0,5.0,,8.0,13.0,1.0,1.0,,139.0,3.0,5.0,218.0,960.0,11.0,9.0,3.0,1.0,27.0,664.0,27.0,1.0,18.0,1.0,2.0,3.0,8.0,748.0,62.0,,99127,8.0,273.0,3.0,7.0,,297.0,4.0,13.0,9.0,49.0,,3.0,1.0,7.0,12.0,2.0,4.0,1.0,50.0,681.0,10.0,2.0,1.0,13.0,69.0,,2.0,1.0,0.0,1.0,3.0,3.0,,4.0,0.0,2.0,2.0,4.0,69.0,7.0,1.0,6.0,2.0,7.0,3.0,50.0,8.0,773.0,27.0,12.0,27.0,4.0,38.0,2.0,3.0,491.0,9.0,32.0,13.0,240.0,27.0,3.0,17.0,13.0,,17.0,3.0,17.0,,3.0,4.0,8.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,,7.0,4.0,,4.0,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,,1.0,2.0,,,,1.0,,,,,,,,,,,2.0,,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,1.0,,,,,,,
33,803482,2016-04-09 12:45:00,"Boleyn Ground, London",34977,Away,Arsenal,West Ham United,3,3,D,2,2,0,0,,2.0,64.0,3.0,2.0,17.0,17.0,2.0,3.0,4.0,1.0,197.0,2.0,13.0,,10.0,,6.0,143.0,147.0,55.0,,11.0,,14.0,2.0,,,1.0,1.0,21.0,17.0,1.0,13.0,3.0,28.0,25.0,290.0,,0.0,209.0,8.0,2.0,,,92.0,54.0,7.0,79.0,5.0,1.0,18.0,18.0,,2.0,1.0,143.0,3.0,13.0,147.0,769.0,7.0,6.0,,,15.0,460.0,30.0,1.0,12.0,0.0,5.0,3.0,17.0,537.0,70.0,,98745,4.0,193.0,1.0,16.0,,212.0,6.0,18.0,7.0,52.0,,8.0,1.0,7.0,17.0,6.0,5.0,1.0,36.0,481.0,11.0,11.0,,13.0,74.0,,2.0,1.0,0.0,2.0,7.0,1.0,3.0,3.0,0.0,2.0,,1.0,60.7,17.0,1.0,4.0,3.0,7.0,2.0,53.0,4.0,566.0,15.0,15.0,19.0,3.0,37.0,,2.0,375.0,7.0,20.0,14.0,159.0,19.0,1.0,10.0,18.0,3.0,8.0,3.0,17.0,,1.0,10.0,4.0,,1.0,3.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,,,,,,,1.0,,,,,1.0,,,,2.0,1.0,,,2.0,,,,,,,,2.0,,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
34,803493,2016-04-17 16:00:00,"Emirates Stadium, London",59961,Home,Arsenal,Crystal Palace,1,1,D,1,0,0,0,1.0,2.0,63.0,1.0,3.0,22.0,16.0,6.0,5.0,2.0,2.0,226.0,8.0,13.0,7.0,16.0,3.0,6.0,197.0,146.0,63.0,2.0,21.0,4.0,20.0,5.0,,1.0,2.0,3.0,33.0,14.0,,15.0,7.0,43.0,22.0,443.0,,0.0,273.0,7.0,2.0,,2.0,79.0,114.0,11.0,103.0,1.0,5.0,26.0,15.0,2.0,5.0,2.0,145.0,2.0,3.0,211.0,936.0,10.0,7.0,1.0,,9.0,635.0,27.0,4.0,9.0,0.0,1.0,5.0,24.0,715.0,68.0,1.0,99127,11.0,216.0,1.0,19.0,4.0,236.0,6.0,15.0,5.0,53.0,,6.0,2.0,3.0,14.0,4.0,3.0,,41.0,651.0,13.0,9.0,5.0,14.0,71.0,,2.0,2.0,0.0,,5.0,1.0,1.0,3.0,0.0,5.0,,7.0,71.7,23.0,5.0,6.0,1.0,3.0,7.0,55.0,10.0,737.0,9.0,12.0,15.0,8.0,59.0,3.0,6.0,534.0,8.0,41.0,21.0,225.0,26.0,5.0,8.0,16.0,,10.0,3.0,18.0,,5.0,2.0,10.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,
35,803502,2016-04-24 14:05:00,"Stadium of Light, Sunderland",45420,Away,Arsenal,Sunderland,0,0,D,0,0,0,0,,1.0,67.0,2.0,4.0,33.0,21.0,11.0,2.0,3.0,5.0,238.0,5.0,15.0,2.0,16.0,1.0,7.0,173.0,163.0,53.0,1.0,20.0,4.0,18.0,2.0,,,2.0,2.0,23.0,3.0,5.0,19.0,7.0,42.0,41.0,336.0,,0.0,224.0,8.0,3.0,,1.0,76.0,50.0,12.0,81.0,2.0,2.0,16.0,18.0,1.0,2.0,2.0,161.0,,5.0,167.0,859.0,14.0,13.0,1.0,,17.0,534.0,27.0,13.0,9.0,4.0,3.0,4.0,22.0,632.0,79.0,1.0,99127,3.0,219.0,,13.0,,241.0,5.0,18.0,10.0,41.0,,3.0,4.0,5.0,16.0,7.0,6.0,,58.0,550.0,9.0,4.0,2.0,27.0,92.0,,1.0,2.0,0.0,,7.0,1.0,,4.0,0.0,2.0,1.0,2.0,70.2,21.0,1.0,,2.0,5.0,8.0,59.0,7.0,659.0,17.0,9.0,26.0,5.0,38.0,3.0,3.0,441.0,15.0,33.0,23.0,170.0,29.0,6.0,9.0,6.0,,14.0,3.0,19.0,,6.0,6.0,7.0,,,,1.0,1.0,,,1.0,,2.0,1.0,,1.0,,,,,,1.0,1.0,2.0,1.0,,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
36,803518,2016-04-30 17:30:00,"Emirates Stadium, London",59989,Home,Arsenal,Norwich City,1,0,W,0,0,0,0,,,67.0,1.0,3.0,26.0,21.0,6.0,2.0,3.0,2.0,229.0,6.0,12.0,2.0,12.0,,3.0,189.0,159.0,53.0,,14.0,2.0,17.0,,1.0,1.0,1.0,1.0,21.0,10.0,2.0,18.0,7.0,27.0,33.0,399.0,1.0,0.0,291.0,8.0,2.0,1.0,2.0,114.0,68.0,7.0,85.0,1.0,3.0,14.0,23.0,,5.0,2.0,156.0,,6.0,194.0,899.0,9.0,15.0,,,13.0,584.0,24.0,10.0,11.0,1.0,3.0,5.0,20.0,677.0,73.0,,98745,4.0,200.0,,7.0,1.0,222.0,5.0,23.0,9.0,44.0,1.0,2.0,3.0,3.0,16.0,6.0,3.0,1.0,51.0,593.0,7.0,3.0,2.0,21.0,86.0,1.0,,,0.0,1.0,3.0,2.0,,5.0,0.0,3.0,2.0,2.0,68.6,20.0,2.0,7.0,2.0,3.0,5.0,55.0,7.0,697.0,13.0,8.0,21.0,6.0,48.0,3.0,4.0,496.0,10.0,25.0,18.0,237.0,26.0,3.0,9.0,17.0,,11.0,3.0,21.0,,3.0,12.0,7.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,803522,2016-05-08 16:00:00,"Etihad Stadium, Manchester",54425,Away,Arsenal,Manchester City,2,2,D,1,1,0,0,1.0,,65.0,1.0,,20.0,32.0,2.0,1.0,1.0,,172.0,1.0,20.0,4.0,4.0,,2.0,88.0,184.0,85.0,,5.0,1.0,28.0,,,,,2.0,12.0,16.0,,19.0,2.0,13.0,24.0,147.0,,0.0,119.0,10.0,,,1.0,31.0,43.0,3.0,36.0,4.0,,10.0,24.0,,1.0,1.0,171.0,3.0,9.0,87.0,618.0,2.0,12.0,,1.0,25.0,250.0,25.0,7.0,10.0,1.0,2.0,1.0,17.0,344.0,58.0,,99127,3.0,127.0,1.0,8.0,,157.0,7.0,24.0,15.0,82.0,,2.0,3.0,4.0,17.0,5.0,8.0,,61.0,273.0,16.0,23.0,,26.0,72.0,,,,0.0,4.0,7.0,,2.0,6.0,0.0,,1.0,1.0,42.8,13.0,,2.0,,4.0,1.0,34.0,2.0,383.0,25.0,13.0,5.0,2.0,24.0,1.0,1.0,238.0,3.0,13.0,24.0,72.0,30.0,1.0,7.0,26.0,1.0,4.0,3.0,29.0,,1.0,13.0,2.0,1.0,,2.0,,1.0,1.0,2.0,1.0,1.0,,,1.0,,2.0,2.0,1.0,,,,,,,,,,,,1.0,,,2.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
38,803532,2016-05-15 15:00:00,"Emirates Stadium, London",60007,Home,Arsenal,Aston Villa,4,0,W,1,0,0,0,,,68.0,1.0,1.0,23.0,12.0,4.0,4.0,2.0,3.0,175.0,6.0,10.0,2.0,15.0,3.0,7.0,182.0,113.0,35.0,1.0,16.0,1.0,9.0,3.0,,,2.0,,21.0,13.0,1.0,8.0,3.0,28.0,39.0,392.0,,0.0,287.0,12.0,1.0,,1.0,88.0,90.0,9.0,74.0,4.0,3.0,18.0,18.0,1.0,2.0,3.0,109.0,6.0,2.0,178.0,774.0,10.0,9.0,1.0,1.0,26.0,529.0,18.0,1.0,4.0,0.0,3.0,5.0,11.0,597.0,59.0,1.0,99127,9.0,153.0,6.0,15.0,1.0,166.0,5.0,18.0,3.0,45.0,,12.0,,5.0,10.0,3.0,2.0,3.0,31.0,539.0,5.0,13.0,1.0,4.0,57.0,,,,0.0,1.0,4.0,1.0,,5.0,0.0,6.0,2.0,2.0,59.6,11.0,,15.0,1.0,5.0,2.0,49.0,5.0,609.0,26.0,9.0,24.0,7.0,41.0,,4.0,464.0,10.0,27.0,6.0,238.0,27.0,2.0,4.0,14.0,,14.0,3.0,14.0,,2.0,9.0,5.0,2.0,2.0,4.0,1.0,,3.0,3.0,,4.0,,2.0,3.0,,4.0,3.0,3.0,,,,1.0,1.0,,,,,1.0,1.0,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0
