gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,goalAssistOpenplay,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,attFreekickPost,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attObpGoal,attSvLowRight,redCard,overrun,lostCorners,attIboxGoal,attOboxPost,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,accurateKeeperSweeper,attSvLowCentre,attOboxTarget,interceptionsInBox,attGoalHighCentre,contentiousDecision,accurateLaunches,totalKeeperSweeper,errorLeadToShot,sixYardBlock,totalPullBack,attMissHigh,punches,savedIbox,goalsConceded,clearanceOffLine,totalHighClaim,effectiveBlockedCross,attHdGoal,goalsConcededIbox,blockedCross,attOneOnOne,goodHighClaim,totalFlickOn,foulThrowIn,ptsDroppedWinningPos,goalsConcededObox,attGoalLowLeft,attBxRight,midfielderGoals,attHdTarget,attGoalHighLeft,accurateFlickOn,shieldBallOop,attCmissRight,attMissLeft,attCmissHigh,attCmissLeft,attSvHighCentre,attFreekickMiss,attIboxPost,attMissHighRight,penaltyWon,freekickCross,attPenGoal,attPostHigh,ownGoals,attIboxOwnGoal,shotFastbreak,totalFastbreak,accurateFreekickCross,attFastbreak,attCmissHighRight,attOboxGoal,winningGoal,keeperGoals,subsGoals,attFreekickGoal,accuratePullBack,attObxLeft,ptsGainedLosingPos,secondYellow,attHdPost,attObxdRight,penaltySave,penaltyConceded,penaltyFaced,goalFastbreak,attPostRight,penGoalsConceded,attFreekickTarget,errorLeadToGoal,attObxdLeft,attSvHighLeft,attCmissHighLeft
27,2128548,2021-03-06 12:30:00,"Turf Moor, Burnley",,Away,Arsenal,Burnley,1,1,D,1,1,0,0,2.0,1.0,,28.0,76.0,,2.0,4.0,,,16.0,17.0,4.0,10.0,11.0,4.0,,1.0,185.0,,17.0,4.0,3.0,1.0,,8.0,3.0,145.0,164.0,45.0,,15.0,2.0,26.0,1.0,1.0,1.0,16.0,6.0,,17.0,2.0,4.0,40.0,224.0,,,0.0,157.0,12.0,2.0,1.0,80.0,47.0,6.0,104.0,,2.0,14.0,19.0,4.0,,4.0,1.0,164.0,2.0,6.0,,161.0,770.0,7.0,37.0,2.0,5.0,477.0,33.0,,11.0,1.0,1.0,,2.0,22.0,579.0,49.0,,98745,6.0,268.0,4.0,9.0,,312.0,5.0,1.0,19.0,6.0,55.0,,,2.0,13.0,1.0,19.0,3.0,3.0,61.0,488.0,4.0,4.0,,28.0,,71.0,,1.0,0.0,2.0,2.0,1.0,,0.0,3.0,,,58.9,15.0,,2.0,2.0,13.0,6.0,35.0,3.0,595.0,5.0,8.0,18.0,6.0,29.0,1.0,4.0,299.0,5.0,4.0,26.0,121.0,26.0,1.0,11.0,12.0,15.0,3.0,10.0,7.0,4.0,,,1.0,1.0,,1.0,,,,,1.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,2.0,,1.0,1.0,,,,1.0,1.0,,2.0,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,
28,2128556,2021-03-14 16:30:00,"Emirates Stadium, London",,Home,Arsenal,Tottenham Hotspur,2,1,W,1,1,0,1,,,1.0,23.0,64.0,2.0,,1.0,,,28.0,8.0,6.0,3.0,6.0,2.0,1.0,1.0,168.0,,17.0,2.0,9.0,2.0,4.0,11.0,3.0,130.0,128.0,53.0,,13.0,1.0,23.0,,2.0,1.0,26.0,11.0,,8.0,4.0,5.0,31.0,239.0,,,0.0,172.0,12.0,,,84.0,82.0,4.0,105.0,,4.0,22.0,23.0,7.0,,2.0,4.0,128.0,1.0,4.0,,116.0,697.0,10.0,25.0,2.0,11.0,434.0,20.0,,2.0,1.0,1.0,1.0,7.0,13.0,500.0,60.0,,98745,4.0,212.0,1.0,19.0,,228.0,7.0,1.0,23.0,1.0,65.0,,,,7.0,1.0,12.0,2.0,,54.0,449.0,13.0,12.0,,17.0,,62.0,,,0.0,1.0,3.0,2.0,1.0,0.0,2.0,1.0,1.0,52.6,10.0,1.0,5.0,,7.0,2.0,44.0,6.0,519.0,11.0,9.0,19.0,8.0,35.0,,2.0,317.0,9.0,5.0,11.0,136.0,31.0,1.0,2.0,20.0,12.0,3.0,18.0,5.0,6.0,,1.0,1.0,1.0,,1.0,4.0,,,1.0,2.0,1.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,,,2.0,,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,2.0,,3.0,,,,,,,,1.0,,,,1.0,,
29,2128575,2021-03-21 15:00:00,"London Stadium, London",,Away,Arsenal,West Ham United,3,3,D,1,3,0,0,,4.0,1.0,20.0,56.0,,,3.0,,,14.0,21.0,7.0,8.0,9.0,2.0,,2.0,205.0,,13.0,6.0,9.0,3.0,5.0,14.0,7.0,159.0,127.0,57.0,,16.0,2.0,18.0,3.0,,1.0,27.0,6.0,,21.0,4.0,10.0,35.0,304.0,,,0.0,214.0,8.0,,,76.0,74.0,10.0,96.0,,2.0,23.0,11.0,7.0,,4.0,2.0,127.0,1.0,15.0,,146.0,785.0,12.0,27.0,,9.0,500.0,24.0,,12.0,1.0,1.0,3.0,4.0,18.0,579.0,63.0,2.0,92371,7.0,227.0,,16.0,,247.0,4.0,,11.0,6.0,43.0,2.0,,,1.0,1.0,10.0,,5.0,39.0,525.0,15.0,7.0,1.0,8.0,2.0,55.0,,1.0,0.0,1.0,3.0,3.0,,0.0,5.0,1.0,2.0,63.1,16.0,1.0,6.0,1.0,1.0,5.0,29.0,5.0,606.0,9.0,6.0,11.0,4.0,38.0,1.0,2.0,386.0,6.0,7.0,23.0,172.0,25.0,1.0,12.0,10.0,14.0,3.0,15.0,7.0,5.0,,3.0,3.0,,,,1.0,,,,1.0,1.0,1.0,2.0,3.0,,,3.0,1.0,3.0,3.0,,,3.0,,,,,,,,1.0,2.0,,1.0,,,,,,,1.0,,3.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,
30,2128576,2021-04-03 20:00:00,"Emirates Stadium, London",,Home,Arsenal,Liverpool,0,3,L,0,0,0,0,,,,24.0,54.0,,1.0,,,,20.0,24.0,1.0,,2.0,4.0,,1.0,143.0,,11.0,1.0,6.0,,,2.0,2.0,77.0,136.0,50.0,,3.0,1.0,19.0,2.0,,,7.0,5.0,,24.0,1.0,7.0,50.0,117.0,,,0.0,83.0,10.0,,,51.0,45.0,2.0,77.0,,,6.0,12.0,1.0,,2.0,,136.0,,9.0,,98.0,556.0,2.0,7.0,,7.0,283.0,27.0,,10.0,,1.0,3.0,,19.0,370.0,45.0,,98745,,184.0,,4.0,,220.0,4.0,,12.0,8.0,60.0,,,,4.0,,11.0,7.0,2.0,64.0,300.0,10.0,13.0,,22.0,1.0,63.0,,1.0,0.0,,2.0,,,0.0,1.0,,1.0,35.8,13.0,,4.0,1.0,4.0,1.0,24.0,1.0,395.0,7.0,9.0,22.0,,6.0,,,182.0,2.0,6.0,13.0,55.0,18.0,,10.0,21.0,2.0,3.0,15.0,7.0,1.0,1.0,,,1.0,,,2.0,1.0,,,,,1.0,3.0,3.0,,,,,3.0,,,,2.0,,,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
31,2128592,2021-04-11 19:00:00,"Bramall Lane, Sheffield",,Away,Arsenal,Sheffield United,3,0,W,1,0,0,0,1.0,1.0,3.0,23.0,45.0,1.0,,2.0,,,21.0,11.0,5.0,6.0,8.0,2.0,1.0,1.0,150.0,1.0,10.0,2.0,8.0,3.0,1.0,9.0,5.0,161.0,105.0,43.0,1.0,14.0,4.0,9.0,1.0,,2.0,9.0,7.0,,11.0,4.0,2.0,30.0,217.0,,1.0,0.0,116.0,6.0,,1.0,57.0,73.0,6.0,87.0,,,5.0,13.0,6.0,1.0,2.0,1.0,105.0,2.0,5.0,,179.0,731.0,7.0,29.0,,2.0,500.0,16.0,1.0,6.0,2.0,1.0,3.0,3.0,25.0,560.0,46.0,2.0,98745,4.0,299.0,,3.0,,314.0,2.0,2.0,13.0,6.0,33.0,3.0,,3.0,2.0,3.0,11.0,2.0,4.0,35.0,514.0,9.0,3.0,,4.0,1.0,56.0,,,0.0,1.0,2.0,3.0,,0.0,,2.0,,54.9,21.0,,7.0,2.0,2.0,6.0,40.0,4.0,577.0,2.0,9.0,18.0,3.0,26.0,2.0,2.0,272.0,8.0,2.0,14.0,86.0,20.0,2.0,6.0,12.0,12.0,3.0,15.0,8.0,4.0,,,1.0,,,1.0,2.0,,,1.0,1.0,,,2.0,,,,1.0,,,1.0,,,5.0,,,,1.0,1.0,1.0,,,3.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
32,2128596,2021-04-18 13:30:00,"Emirates Stadium, London",,Home,Arsenal,Fulham,1,1,D,0,0,0,0,,1.0,1.0,26.0,56.0,,,3.0,,,17.0,6.0,6.0,4.0,12.0,,,2.0,141.0,,13.0,8.0,11.0,1.0,2.0,12.0,5.0,184.0,126.0,59.0,1.0,18.0,2.0,17.0,4.0,,,30.0,8.0,,6.0,9.0,6.0,34.0,351.0,,,0.0,203.0,9.0,,1.0,77.0,107.0,6.0,98.0,,2.0,21.0,11.0,6.0,1.0,6.0,4.0,126.0,4.0,2.0,,210.0,804.0,12.0,38.0,1.0,8.0,544.0,19.0,2.0,3.0,,0.0,2.0,6.0,16.0,618.0,70.0,2.0,98745,5.0,215.0,4.0,14.0,,234.0,6.0,1.0,11.0,2.0,49.0,2.0,,5.0,5.0,,10.0,1.0,2.0,32.0,558.0,11.0,11.0,,5.0,6.0,63.0,,,0.0,2.0,1.0,1.0,,0.0,7.0,,3.0,69.5,16.0,1.0,4.0,1.0,5.0,5.0,46.0,11.0,633.0,8.0,3.0,19.0,8.0,32.0,1.0,4.0,429.0,11.0,6.0,19.0,167.0,28.0,,3.0,18.0,11.0,3.0,20.0,4.0,11.0,,3.0,,1.0,,3.0,,,,2.0,2.0,2.0,,,1.0,,3.0,1.0,,1.0,1.0,1.0,3.0,5.0,,,,1.0,3.0,,1.0,,4.0,,2.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,2.0,,1.0,,,,,1.0,1.0,,,1.0,,,,,1.0
33,2128606,2021-04-23 20:00:00,"Emirates Stadium, London",,Home,Arsenal,Everton,0,1,L,0,0,0,0,,1.0,,28.0,48.0,,,6.0,,,33.0,10.0,5.0,5.0,9.0,1.0,,2.0,176.0,,14.0,7.0,6.0,,1.0,12.0,3.0,178.0,110.0,37.0,,14.0,2.0,13.0,2.0,,,27.0,4.0,,10.0,7.0,7.0,31.0,315.0,,,0.0,195.0,13.0,1.0,,101.0,87.0,9.0,96.0,,,20.0,12.0,5.0,,5.0,2.0,110.0,,5.0,,177.0,804.0,11.0,30.0,,9.0,560.0,15.0,1.0,5.0,,1.0,4.0,3.0,19.0,611.0,80.0,,98745,6.0,266.0,,14.0,1.0,277.0,8.0,,12.0,4.0,53.0,,,2.0,4.0,,14.0,4.0,4.0,48.0,574.0,10.0,9.0,1.0,8.0,2.0,70.0,,1.0,0.0,,3.0,,,0.0,5.0,,,59.1,17.0,,5.0,,4.0,8.0,57.0,7.0,627.0,9.0,9.0,20.0,3.0,35.0,2.0,1.0,377.0,9.0,6.0,12.0,163.0,24.0,,5.0,10.0,11.0,3.0,16.0,8.0,7.0,,2.0,1.0,,,1.0,2.0,,,,2.0,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,2.0,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
34,2128622,2021-05-02 14:00:00,"St. James' Park, Newcastle",,Away,Arsenal,Newcastle United,2,0,W,1,0,0,1,,1.0,1.0,24.0,48.0,,,1.0,,,32.0,12.0,7.0,6.0,12.0,1.0,,,177.0,1.0,17.0,10.0,8.0,2.0,5.0,17.0,5.0,175.0,86.0,34.0,1.0,19.0,3.0,12.0,2.0,,2.0,17.0,1.0,,12.0,5.0,8.0,42.0,380.0,1.0,1.0,0.0,240.0,9.0,1.0,,122.0,96.0,8.0,115.0,,6.0,12.0,6.0,7.0,1.0,2.0,3.0,86.0,1.0,3.0,,174.0,787.0,11.0,24.0,,9.0,570.0,17.0,2.0,5.0,2.0,1.0,1.0,9.0,11.0,625.0,90.0,,98745,9.0,212.0,,8.0,1.0,223.0,4.0,2.0,6.0,4.0,46.0,1.0,,1.0,10.0,2.0,7.0,2.0,3.0,46.0,582.0,10.0,14.0,4.0,7.0,6.0,56.0,,1.0,0.0,,3.0,2.0,,0.0,7.0,1.0,4.0,61.4,11.0,2.0,5.0,,10.0,4.0,42.0,7.0,641.0,9.0,6.0,24.0,10.0,23.0,3.0,7.0,435.0,8.0,8.0,11.0,205.0,15.0,1.0,5.0,6.0,11.0,3.0,14.0,2.0,7.0,1.0,,1.0,1.0,,,4.0,1.0,,,2.0,,1.0,1.0,,,3.0,1.0,,,1.0,,3.0,1.0,,,,1.0,1.0,1.0,2.0,,,,,2.0,,1.0,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,1.0,1.0
35,2128626,2021-05-09 19:00:00,"Emirates Stadium, London",,Home,Arsenal,West Bromwich Albion,3,1,W,2,0,0,0,,2.0,1.0,,53.0,,,2.0,,,15.0,25.0,8.0,5.0,7.0,,2.0,2.0,170.0,1.0,,3.0,7.0,3.0,2.0,9.0,7.0,150.0,124.0,37.0,1.0,15.0,1.0,12.0,2.0,,2.0,16.0,8.0,,25.0,3.0,3.0,26.0,267.0,1.0,,0.0,139.0,7.0,,1.0,83.0,75.0,6.0,92.0,,,13.0,6.0,8.0,1.0,2.0,4.0,124.0,1.0,6.0,,164.0,747.0,7.0,24.0,,12.0,480.0,23.0,,15.0,2.0,1.0,4.0,3.0,17.0,554.0,52.0,,98745,4.0,233.0,,11.0,,264.0,2.0,1.0,6.0,6.0,38.0,,,1.0,8.0,2.0,11.0,6.0,4.0,42.0,497.0,8.0,5.0,,15.0,4.0,60.0,,,0.0,2.0,6.0,2.0,,0.0,2.0,1.0,1.0,65.7,13.0,,1.0,,8.0,3.0,39.0,6.0,576.0,12.0,6.0,14.0,5.0,26.0,1.0,1.0,328.0,9.0,3.0,11.0,109.0,19.0,,15.0,11.0,10.0,3.0,15.0,2.0,6.0,1.0,2.0,2.0,1.0,,,3.0,1.0,,,1.0,3.0,,,1.0,,3.0,,,,,,3.0,3.0,,,1.0,,2.0,3.0,,2.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
36,2128641,2021-05-12 20:15:00,"Stamford Bridge, London",,Away,Arsenal,Chelsea,1,0,W,1,0,0,0,,,1.0,,52.0,1.0,,,,,14.0,37.0,2.0,4.0,3.0,4.0,1.0,1.0,141.0,,,3.0,4.0,1.0,1.0,3.0,2.0,79.0,114.0,31.0,,5.0,2.0,17.0,1.0,,1.0,9.0,8.0,,37.0,,8.0,22.0,113.0,,1.0,0.0,84.0,6.0,2.0,,51.0,35.0,2.0,61.0,,,9.0,16.0,2.0,,1.0,,114.0,1.0,14.0,,88.0,532.0,2.0,8.0,,8.0,279.0,24.0,1.0,18.0,1.0,1.0,6.0,1.0,16.0,343.0,42.0,,98745,2.0,183.0,,7.0,1.0,212.0,5.0,,16.0,12.0,38.0,,,2.0,6.0,1.0,18.0,5.0,6.0,46.0,293.0,5.0,12.0,,17.0,,56.0,,1.0,0.0,,9.0,1.0,,0.0,3.0,1.0,,32.3,8.0,,2.0,,6.0,2.0,27.0,1.0,369.0,8.0,2.0,8.0,1.0,10.0,,1.0,166.0,1.0,8.0,8.0,51.0,15.0,1.0,18.0,14.0,4.0,3.0,6.0,7.0,1.0,,,,1.0,,,3.0,,2.0,,1.0,,,5.0,,1.0,1.0,3.0,,,3.0,,1.0,4.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
37,2128649,2021-05-19 19:00:00,"Selhurst Park, London",6500.0,Away,Arsenal,Crystal Palace,3,1,W,1,0,0,0,1.0,,2.0,34.0,50.0,2.0,2.0,,,,33.0,18.0,2.0,1.0,4.0,5.0,1.0,,180.0,,11.0,5.0,7.0,3.0,,5.0,3.0,157.0,149.0,41.0,,6.0,2.0,21.0,,,2.0,26.0,5.0,,18.0,6.0,5.0,47.0,286.0,,,0.0,190.0,7.0,3.0,,51.0,122.0,4.0,94.0,,,20.0,15.0,2.0,,7.0,,149.0,3.0,9.0,,172.0,791.0,3.0,17.0,,11.0,504.0,17.0,,10.0,2.0,1.0,2.0,1.0,26.0,580.0,70.0,,92371,2.0,241.0,1.0,13.0,,269.0,3.0,2.0,15.0,9.0,52.0,1.0,,2.0,6.0,3.0,18.0,3.0,5.0,61.0,522.0,6.0,6.0,,9.0,,64.0,,,0.0,,6.0,3.0,,0.0,4.0,2.0,,68.7,19.0,,6.0,,6.0,2.0,41.0,7.0,603.0,11.0,13.0,26.0,1.0,35.0,1.0,1.0,360.0,5.0,5.0,21.0,158.0,17.0,,10.0,8.0,6.0,3.0,14.0,4.0,7.0,,,,1.0,,1.0,4.0,,,,,,,3.0,1.0,,2.0,3.0,,1.0,3.0,,2.0,2.0,,,,1.0,,2.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2128656,2021-05-23 16:00:00,"Emirates Stadium, London",10000.0,Home,Arsenal,Brighton and Hove Albion,2,0,W,0,0,0,0,,2.0,,24.0,55.0,1.0,1.0,,,,24.0,10.0,9.0,9.0,7.0,1.0,1.0,1.0,169.0,,13.0,5.0,6.0,2.0,2.0,15.0,5.0,161.0,117.0,35.0,1.0,16.0,4.0,4.0,,2.0,2.0,21.0,8.0,,10.0,7.0,5.0,41.0,239.0,1.0,1.0,0.0,179.0,10.0,1.0,1.0,67.0,56.0,8.0,75.0,,2.0,14.0,20.0,9.0,1.0,1.0,2.0,117.0,,2.0,,160.0,727.0,12.0,40.0,2.0,5.0,480.0,18.0,,5.0,2.0,0.0,1.0,7.0,15.0,544.0,52.0,,92371,4.0,264.0,,13.0,,278.0,6.0,1.0,20.0,8.0,33.0,2.0,,2.0,9.0,2.0,13.0,3.0,5.0,39.0,498.0,8.0,3.0,1.0,5.0,3.0,45.0,,1.0,0.0,2.0,3.0,2.0,,0.0,3.0,2.0,2.0,53.9,15.0,1.0,9.0,1.0,9.0,4.0,29.0,11.0,565.0,5.0,7.0,21.0,7.0,43.0,2.0,3.0,308.0,4.0,4.0,7.0,145.0,19.0,,5.0,14.0,12.0,3.0,16.0,8.0,11.0,,,3.0,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,2.0,,,,1.0,1.0,2.0,,,,1.0,1.0,3.0,,,,,2.0,,,,,2.0,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,
