gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,goalFastbreak,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attRfTarget,accuratePullBack,attOboxBlocked,attBxRight,attSvLowCentre,attOboxTarget,attMissHighRight,attOboxGoal,midfielderGoals,freekickCross,interceptionsInBox,contentiousDecision,attHdTarget,totalPullBack,attSvLowRight,goalsConceded,attCmissHighRight,accurateCrossNocorner,attSvHighCentre,clearanceOffLine,goalsConcededIbox,attFreekickTotal,freekickTotal,attMissHighLeft,errorLeadToShot,penaltyConceded,attCmissHighLeft,attCmissLeft,penaltyFaced,penGoalsConceded,attFreekickMiss,attLfGoal,ptsGainedLosingPos,attSvHighLeft,sixYardBlock,attGoalHighLeft,attFreekickTarget,errorLeadToGoal,attGoalLowCentre,ptsDroppedWinningPos,postScoringAtt,penaltyWon,attGoalHighCentre,secondYellow,attPostLeft,hitWoodwork,attCmissHigh,attPenGoal,attFreekickGoal,attOboxPost,goalsConcededObox,attCmissRight,attIboxPost,defenderGoals,attPostRight,attHdGoal,attSvHighRight,penaltySave,accurateFreekickCross,attPostHigh,foulThrowIn,attGoalHighRight,attLgCentre,attHdPost
27,1059962,2020-02-23 16:30:00,"Emirates Stadium, London",60296.0,Home,Arsenal,Everton,3,2,W,2,2,0,0,1.0,2.0,56.0,3.0,,,28.0,16.0,1.0,1.0,8.0,3.0,146.0,3.0,7.0,3.0,2.0,9.0,4.0,126.0,117.0,41.0,9.0,19.0,1.0,,1.0,3.0,,,15.0,9.0,16.0,4.0,7.0,32.0,1.0,201.0,,0.0,127.0,12.0,1.0,,,1.0,80.0,67.0,4.0,101.0,,12.0,23.0,1.0,1.0,1.0,117.0,2.0,12.0,118.0,666.0,5.0,6.0,20.0,12.0,400.0,28.0,4.0,7.0,3.0,1.0,0.0,1.0,5.0,16.0,463.0,59.0,2.0,98980,3.0,225.0,,9.0,,245.0,4.0,2.0,23.0,9.0,57.0,2.0,2.0,3.0,3.0,9.0,5.0,6.0,3.0,47.0,423.0,12.0,6.0,1.0,12.0,2.0,60.0,,,0.0,2.0,3.0,3.0,3.0,,0.0,3.0,,2.0,51.3,13.0,1.0,4.0,1.0,3.0,,41.0,6.0,1.0,491.0,12.0,9.0,22.0,5.0,23.0,2.0,3.0,261.0,6.0,6.0,9.0,98.0,19.0,1.0,4.0,7.0,13.0,7.0,3.0,19.0,4.0,10.0,6.0,,,,,,,,3.0,1.0,,1.0,,2.0,2.0,1.0,,,,,2.0,1.0,2.0,,,2.0,,,,,,,,,,,,3.0,,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,
28,1059976,2020-06-17 20:15:00,"Etihad Stadium, Manchester",,Away,Arsenal,Manchester City,0,3,L,0,1,1,0,,,41.0,,3.0,,7.0,11.0,1.0,,2.0,9.0,95.0,1.0,3.0,,1.0,2.0,,84.0,87.0,29.0,3.0,6.0,,,,,,,8.0,10.0,11.0,2.0,3.0,26.0,,58.0,,0.0,45.0,7.0,4.0,,,,35.0,17.0,,54.0,2.0,6.0,12.0,1.0,2.0,1.0,87.0,,15.0,100.0,466.0,2.0,1.0,9.0,8.0,262.0,18.0,,4.0,,,1.0,3.0,2.0,10.0,312.0,21.0,,98980,2.0,222.0,,3.0,,237.0,4.0,,12.0,8.0,33.0,,5.0,5.0,,11.0,5.0,7.0,,31.0,279.0,9.0,13.0,,7.0,,44.0,,,0.0,2.0,5.0,6.0,,,1.0,,,,32.9,9.0,,3.0,,5.0,,20.0,2.0,,333.0,8.0,5.0,9.0,3.0,9.0,,2.0,104.0,3.0,2.0,2.0,26.0,14.0,,1.0,4.0,15.0,3.0,5.0,5.0,1.0,7.0,2.0,,,,,,,,,,,1.0,,,1.0,2.0,,,1.0,,3.0,,1.0,,,3.0,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1059982,2020-03-07 15:00:00,"Emirates Stadium, London",60335.0,Home,Arsenal,West Ham United,1,0,W,0,0,0,0,1.0,1.0,62.0,,3.0,3.0,39.0,28.0,3.0,5.0,6.0,6.0,185.0,2.0,12.0,1.0,1.0,9.0,2.0,177.0,133.0,56.0,9.0,24.0,1.0,,1.0,1.0,,,20.0,7.0,28.0,4.0,3.0,34.0,,274.0,1.0,0.0,198.0,11.0,3.0,,,,86.0,113.0,6.0,80.0,,16.0,11.0,3.0,5.0,2.0,133.0,3.0,7.0,179.0,799.0,8.0,7.0,26.0,10.0,509.0,33.0,6.0,16.0,1.0,1.0,1.0,1.0,3.0,14.0,598.0,67.0,1.0,98980,3.0,258.0,2.0,11.0,,286.0,4.0,1.0,11.0,9.0,49.0,3.0,2.0,5.0,1.0,9.0,7.0,9.0,2.0,65.0,530.0,8.0,4.0,,20.0,1.0,61.0,,1.0,0.0,,7.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,68.9,12.0,,4.0,1.0,5.0,4.0,43.0,6.0,,621.0,10.0,6.0,18.0,3.0,34.0,,,355.0,3.0,3.0,22.0,148.0,18.0,,1.0,16.0,13.0,8.0,3.0,17.0,1.0,4.0,6.0,,1.0,,,,,1.0,2.0,,,,,,,2.0,2.0,,1.0,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,1.0
30,1059994,2020-06-20 15:00:00,"American Express Stadium, Falmer",,Away,Arsenal,Brighton and Hove Albion,1,2,L,0,0,0,0,2.0,,49.0,,,3.0,21.0,25.0,4.0,5.0,9.0,3.0,131.0,3.0,8.0,1.0,1.0,8.0,6.0,128.0,115.0,39.0,13.0,7.0,4.0,1.0,1.0,1.0,,,22.0,4.0,25.0,7.0,5.0,14.0,,189.0,,0.0,108.0,8.0,1.0,1.0,,2.0,58.0,65.0,7.0,78.0,1.0,15.0,18.0,4.0,5.0,1.0,115.0,,7.0,139.0,665.0,6.0,3.0,17.0,4.0,406.0,18.0,1.0,12.0,1.0,1.0,1.0,2.0,1.0,19.0,454.0,46.0,,98980,3.0,237.0,,10.0,1.0,256.0,4.0,,18.0,5.0,43.0,1.0,4.0,6.0,1.0,16.0,2.0,3.0,,37.0,423.0,13.0,6.0,1.0,6.0,2.0,48.0,1.0,,0.0,,10.0,3.0,1.0,1.0,0.0,,1.0,2.0,58.7,18.0,,4.0,3.0,6.0,4.0,36.0,7.0,2.0,476.0,4.0,10.0,8.0,3.0,28.0,,1.0,242.0,6.0,5.0,11.0,86.0,20.0,1.0,2.0,12.0,8.0,10.0,5.0,20.0,2.0,8.0,8.0,,,,,1.0,,1.0,2.0,2.0,1.0,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,3.0,1.0,,2.0,,,1.0,,,1.0,,,,,1.0,,,4.0,1.0,,,,3.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,
31,1060009,2020-06-25 18:00:00,"St. Mary's Stadium, Southampton",,Away,Arsenal,Southampton,2,0,W,1,0,0,1,,2.0,44.0,1.0,1.0,1.0,22.0,19.0,4.0,1.0,6.0,3.0,131.0,2.0,8.0,2.0,2.0,5.0,5.0,95.0,131.0,44.0,10.0,13.0,,,,,,1.0,8.0,2.0,19.0,2.0,3.0,43.0,1.0,110.0,1.0,0.0,79.0,14.0,1.0,,,1.0,62.0,29.0,2.0,68.0,1.0,6.0,17.0,4.0,,,131.0,1.0,8.0,104.0,566.0,5.0,4.0,17.0,15.0,282.0,19.0,5.0,11.0,,,2.0,2.0,3.0,22.0,370.0,33.0,1.0,98980,1.0,196.0,1.0,6.0,2.0,241.0,11.0,1.0,17.0,10.0,53.0,2.0,1.0,6.0,1.0,10.0,4.0,5.0,,47.0,304.0,10.0,9.0,,10.0,,53.0,,,0.0,2.0,4.0,2.0,2.0,1.0,0.0,,1.0,1.0,47.4,21.0,1.0,2.0,,6.0,2.0,30.0,6.0,1.0,398.0,15.0,13.0,23.0,3.0,13.0,1.0,2.0,165.0,8.0,3.0,16.0,52.0,15.0,1.0,2.0,11.0,10.0,7.0,4.0,12.0,2.0,9.0,6.0,,1.0,,,3.0,,1.0,1.0,2.0,3.0,,,,,2.0,,,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,2.0,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,
32,1060013,2020-07-01 18:00:00,"Emirates Stadium, London",,Home,Arsenal,Norwich City,4,0,W,2,0,0,0,,3.0,51.0,2.0,2.0,,21.0,11.0,5.0,6.0,8.0,2.0,130.0,4.0,7.0,4.0,4.0,7.0,8.0,124.0,121.0,47.0,13.0,7.0,3.0,,,1.0,,1.0,18.0,8.0,11.0,3.0,6.0,25.0,,215.0,1.0,0.0,135.0,10.0,3.0,,1.0,,64.0,56.0,5.0,97.0,1.0,18.0,19.0,5.0,6.0,2.0,121.0,2.0,,117.0,626.0,5.0,3.0,26.0,13.0,384.0,13.0,3.0,3.0,1.0,,1.0,2.0,2.0,16.0,444.0,49.0,,98980,5.0,189.0,1.0,12.0,,208.0,7.0,2.0,19.0,6.0,45.0,,,,3.0,16.0,8.0,2.0,1.0,42.0,400.0,10.0,9.0,1.0,10.0,3.0,59.0,,,0.0,1.0,2.0,,3.0,,0.0,1.0,2.0,2.0,51.6,14.0,,6.0,2.0,1.0,1.0,37.0,6.0,,468.0,13.0,14.0,14.0,4.0,35.0,1.0,2.0,278.0,5.0,4.0,19.0,102.0,29.0,2.0,1.0,3.0,12.0,8.0,5.0,12.0,1.0,8.0,6.0,,1.0,,,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,2.0,2.0,1.0,,,4.0,,,,2.0,2.0,,,,,,,,1.0,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
33,1060031,2020-07-04 17:30:00,"Molineux Stadium, Wolverhampton",,Away,Arsenal,Wolverhampton Wanderers,2,0,W,1,0,0,0,,1.0,59.0,1.0,,,24.0,25.0,2.0,2.0,6.0,1.0,131.0,3.0,8.0,2.0,2.0,4.0,5.0,129.0,122.0,56.0,8.0,17.0,3.0,,,1.0,,,10.0,19.0,25.0,2.0,3.0,34.0,,165.0,1.0,0.0,91.0,11.0,,,1.0,1.0,77.0,54.0,3.0,102.0,,8.0,11.0,2.0,1.0,,122.0,2.0,6.0,120.0,651.0,2.0,2.0,12.0,11.0,379.0,19.0,4.0,13.0,1.0,,4.0,4.0,1.0,11.0,460.0,46.0,,98980,3.0,235.0,1.0,6.0,1.0,246.0,10.0,1.0,11.0,9.0,47.0,,,4.0,2.0,16.0,4.0,9.0,1.0,58.0,397.0,6.0,6.0,1.0,23.0,1.0,71.0,,,0.0,1.0,3.0,1.0,2.0,,0.0,1.0,,1.0,48.1,11.0,1.0,6.0,,4.0,2.0,42.0,5.0,1.0,482.0,11.0,11.0,18.0,1.0,20.0,,1.0,246.0,5.0,3.0,13.0,52.0,27.0,1.0,1.0,13.0,29.0,6.0,5.0,10.0,1.0,6.0,5.0,,1.0,,,3.0,,2.0,1.0,,,,,,1.0,,,,2.0,2.0,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
34,1060033,2020-07-07 20:15:00,"Emirates Stadium, London",,Home,Arsenal,Leicester City,1,1,D,1,0,1,0,1.0,1.0,65.0,,1.0,1.0,17.0,13.0,3.0,1.0,8.0,4.0,142.0,3.0,6.0,1.0,2.0,8.0,7.0,73.0,160.0,42.0,11.0,18.0,4.0,,2.0,1.0,,1.0,20.0,4.0,13.0,10.0,6.0,35.0,,119.0,,0.0,118.0,10.0,1.0,,1.0,1.0,56.0,31.0,6.0,44.0,1.0,10.0,18.0,3.0,1.0,,160.0,2.0,8.0,64.0,518.0,5.0,1.0,18.0,16.0,215.0,23.0,5.0,7.0,1.0,2.0,1.0,1.0,2.0,30.0,299.0,59.0,1.0,98980,4.0,107.0,1.0,9.0,,135.0,6.0,1.0,18.0,2.0,49.0,1.0,4.0,5.0,1.0,17.0,5.0,1.0,,65.0,223.0,14.0,4.0,2.0,29.0,4.0,64.0,,,0.0,1.0,1.0,3.0,1.0,,1.0,1.0,,3.0,37.5,26.0,2.0,7.0,1.0,5.0,2.0,25.0,10.0,1.0,323.0,16.0,8.0,12.0,2.0,30.0,2.0,2.0,208.0,7.0,5.0,17.0,66.0,22.0,1.0,2.0,7.0,6.0,6.0,4.0,15.0,2.0,7.0,10.0,,1.0,,,4.0,,1.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,2.0,,,1.0,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
35,1060049,2020-07-12 16:30:00,"Tottenham Hotspur Stadium, London",,Away,Arsenal,Tottenham Hotspur,1,2,L,1,1,0,0,1.0,,58.0,,3.0,1.0,20.0,13.0,5.0,8.0,8.0,7.0,166.0,,15.0,1.0,2.0,6.0,4.0,184.0,121.0,55.0,13.0,17.0,3.0,,,1.0,,2.0,19.0,7.0,13.0,4.0,6.0,26.0,,213.0,,0.0,108.0,11.0,5.0,,,,66.0,76.0,3.0,102.0,2.0,15.0,14.0,5.0,3.0,2.0,121.0,,9.0,184.0,808.0,5.0,1.0,17.0,6.0,544.0,25.0,2.0,7.0,1.0,,3.0,5.0,3.0,8.0,613.0,46.0,,98980,2.0,353.0,,11.0,1.0,380.0,7.0,1.0,14.0,4.0,60.0,1.0,,8.0,1.0,9.0,6.0,4.0,,41.0,566.0,16.0,10.0,,6.0,2.0,69.0,,1.0,0.0,1.0,6.0,4.0,,,0.0,,1.0,1.0,62.7,8.0,1.0,1.0,3.0,8.0,3.0,54.0,5.0,,636.0,6.0,19.0,10.0,6.0,32.0,,3.0,275.0,4.0,6.0,12.0,81.0,24.0,1.0,2.0,7.0,12.0,8.0,4.0,18.0,2.0,7.0,5.0,,,,,2.0,1.0,2.0,2.0,1.0,,,1.0,,1.0,,,,1.0,1.0,2.0,,,1.0,,2.0,2.0,2.0,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,3.0,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,,,,
36,1060052,2020-07-15 20:15:00,"Emirates Stadium, London",,Home,Arsenal,Liverpool,2,1,W,2,1,0,0,,2.0,59.0,,3.0,,20.0,24.0,,,3.0,8.0,131.0,,7.0,2.0,,2.0,2.0,51.0,134.0,54.0,3.0,19.0,,,,1.0,,,3.0,9.0,24.0,1.0,4.0,42.0,,72.0,,0.0,74.0,14.0,3.0,,,2.0,55.0,19.0,1.0,45.0,1.0,3.0,13.0,,1.0,,134.0,1.0,17.0,59.0,456.0,1.0,7.0,9.0,8.0,165.0,25.0,5.0,14.0,1.0,,3.0,9.0,1.0,14.0,248.0,48.0,,98980,3.0,111.0,,2.0,,148.0,6.0,2.0,13.0,15.0,53.0,,5.0,7.0,2.0,7.0,7.0,7.0,,64.0,183.0,9.0,11.0,,21.0,,58.0,,,0.0,,13.0,4.0,2.0,,0.0,1.0,1.0,,31.1,10.0,,5.0,,7.0,,21.0,2.0,2.0,286.0,8.0,4.0,14.0,1.0,14.0,1.0,1.0,141.0,3.0,4.0,17.0,36.0,15.0,2.0,4.0,14.0,21.0,3.0,5.0,15.0,4.0,6.0,2.0,2.0,1.0,,,,,,,,,,,,,2.0,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
37,1060063,2020-07-21 20:15:00,"Villa Park, Birmingham",,Away,Arsenal,Aston Villa,0,1,L,0,1,0,0,,,42.0,,1.0,2.0,29.0,18.0,2.0,2.0,5.0,2.0,144.0,2.0,4.0,,3.0,5.0,,193.0,133.0,35.0,7.0,15.0,,,,,,,33.0,3.0,18.0,7.0,3.0,25.0,,272.0,,0.0,149.0,19.0,1.0,,,,97.0,82.0,2.0,90.0,,27.0,12.0,2.0,6.0,1.0,133.0,1.0,6.0,179.0,771.0,2.0,4.0,21.0,5.0,514.0,25.0,2.0,14.0,,,4.0,1.0,3.0,24.0,583.0,55.0,,98980,4.0,266.0,1.0,20.0,1.0,294.0,11.0,,12.0,5.0,57.0,,1.0,5.0,,10.0,2.0,5.0,2.0,46.0,536.0,13.0,7.0,3.0,10.0,2.0,50.0,,,0.0,4.0,8.0,1.0,,2.0,0.0,,,2.0,69.0,23.0,1.0,2.0,,5.0,3.0,39.0,9.0,,606.0,5.0,12.0,15.0,4.0,36.0,2.0,2.0,345.0,3.0,3.0,16.0,117.0,10.0,,4.0,14.0,3.0,4.0,4.0,8.0,4.0,4.0,9.0,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,1.0
38,1060072,2020-07-26 16:00:00,"Emirates Stadium, London",,Home,Arsenal,Watford,3,2,W,3,1,0,0,1.0,1.0,57.0,1.0,,2.0,21.0,25.0,2.0,3.0,11.0,4.0,146.0,5.0,16.0,3.0,2.0,11.0,5.0,116.0,105.0,56.0,13.0,23.0,2.0,1.0,,1.0,,1.0,10.0,8.0,25.0,4.0,6.0,34.0,,133.0,,0.0,90.0,9.0,1.0,1.0,1.0,1.0,41.0,37.0,8.0,70.0,1.0,6.0,16.0,2.0,1.0,,105.0,1.0,16.0,110.0,626.0,7.0,1.0,25.0,7.0,349.0,34.0,2.0,16.0,2.0,,3.0,5.0,3.0,9.0,417.0,39.0,,98980,7.0,240.0,1.0,5.0,,269.0,7.0,2.0,16.0,7.0,48.0,,1.0,8.0,1.0,13.0,3.0,4.0,,49.0,368.0,12.0,9.0,2.0,11.0,3.0,44.0,1.0,,0.0,1.0,8.0,4.0,3.0,,0.0,2.0,,2.0,51.1,6.0,2.0,,1.0,8.0,4.0,26.0,4.0,1.0,442.0,7.0,1.0,15.0,4.0,22.0,3.0,4.0,183.0,7.0,6.0,14.0,60.0,13.0,,4.0,16.0,14.0,8.0,4.0,22.0,4.0,11.0,4.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,,2.0,,2.0,1.0,,2.0,1.0,2.0,,2.0,,,2.0,,,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,
