gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attPenTarget,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,handBall,attIboxBlocked,accurateKeeperSweeper,attSvLowCentre,attOboxTarget,attMissHighRight,cleanSheet,interceptionsInBox,totalKeeperSweeper,accurateThroughBall,errorLeadToShot,shieldBallOop,bigChanceScored,attLfGoal,attGoalLowCentre,shotFastbreak,attSvHighRight,totalFastbreak,bigChanceCreated,attMissHighLeft,attCmissHighLeft,attPenGoal,attFastbreak,attSvLowRight,punches,overrun,forwardGoals,accuratePullBack,attMissLeft,ptsGainedLosingPos,attCmissHigh,ownGoals,attCmissLeft,attIboxOwnGoal,attGoalHighRight,attOboxGoal,sixYardBlock,penaltyConceded,attGoalHighLeft,penaltyFaced,penGoalsConceded,goalFastbreak,attOneOnOne,postScoringAtt,attIboxPost,contentiousDecision,hitWoodwork,attPostRight,attObxLeft,attHdPost,attPostHigh,errorLeadToGoal,attHdTarget,attFreekickTarget,attFreekickMiss,attPostLeft,attOboxPost,attFreekickGoal,foulThrowIn,attObpGoal,clearanceOffLine,attCmissHighRight,attLgLeft,attSvHighLeft,attGoalHighCentre,attObxdLeft
27,855433,2017-03-04 17:30:00,"Anfield, Liverpool",53146,Away,Arsenal,Liverpool,1,3,L,0,2,0,0,,,54.0,1.0,,2.0,,,36.0,38.0,2.0,3.0,5.0,4.0,1.0,173.0,3.0,10.0,1.0,3.0,5.0,,3.0,93.0,146.0,57.0,,,7.0,,22.0,1.0,,1.0,16.0,9.0,38.0,3.0,11.0,29.0,196.0,,0.0,121.0,15.0,3.0,1.0,,1.0,,54.0,53.0,4.0,57.0,,13.0,18.0,2.0,,5.0,1.0,146.0,11.0,82.0,605.0,,3.0,12.0,10.0,10.0,290.0,16.0,10.0,29.0,1.0,2.0,6.0,1.0,22.0,371.0,59.0,1.0,98745,4.0,120.0,,7.0,1.0,144.0,6.0,,1.0,18.0,12.0,56.0,1.0,,3.0,4.0,1.0,18.0,7.0,7.0,1.0,68.0,313.0,8.0,7.0,1.0,31.0,1.0,89.0,0.0,9.0,2.0,1.0,3.0,2.0,0.0,3.0,1.0,2.0,47.0,18.0,1.0,2.0,1.0,1.0,4.0,2.0,54.0,3.0,,405.0,10.0,10.0,20.0,2.0,31.0,,1.0,277.0,2.0,8.0,24.0,81.0,23.0,6.0,29.0,15.0,,3.0,5.0,3.0,16.0,,6.0,9.0,3.0,2.0,2.0,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
28,855443,2017-04-26 19:45:00,"Emirates Stadium, London",59829,Home,Arsenal,Leicester City,1,0,W,0,0,0,0,,1.0,65.0,,,,,,25.0,16.0,8.0,5.0,4.0,3.0,3.0,211.0,6.0,8.0,1.0,2.0,10.0,,5.0,203.0,155.0,57.0,,,12.0,1.0,20.0,2.0,1.0,,29.0,8.0,16.0,11.0,16.0,55.0,393.0,,0.0,278.0,9.0,3.0,,2.0,1.0,,87.0,106.0,5.0,85.0,1.0,18.0,13.0,8.0,,2.0,3.0,155.0,7.0,193.0,874.0,,9.0,7.0,32.0,12.0,578.0,31.0,3.0,12.0,,2.0,2.0,5.0,20.0,667.0,71.0,,98980,1.0,211.0,,15.0,,230.0,,,1.0,13.0,4.0,48.0,2.0,,8.0,3.0,,11.0,,3.0,1.0,42.0,598.0,13.0,3.0,1.0,8.0,4.0,69.0,0.0,1.0,3.0,1.0,,2.0,0.0,3.0,,2.0,68.9,17.0,1.0,7.0,1.0,,3.0,1.0,52.0,12.0,1.0,692.0,12.0,11.0,33.0,6.0,48.0,3.0,2.0,491.0,5.0,16.0,29.0,223.0,21.0,2.0,12.0,10.0,,,8.0,3.0,13.0,,2.0,6.0,12.0,,,,1.0,3.0,,1.0,,,,2.0,,,,,,,,,2.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,
29,855460,2017-03-18 12:30:00,"The Hawthorns, West Bromwich",24065,Away,Arsenal,West Bromwich Albion,1,3,L,1,1,0,0,,1.0,62.0,,,,,,31.0,19.0,5.0,3.0,6.0,4.0,,213.0,6.0,10.0,1.0,2.0,9.0,,2.0,224.0,143.0,41.0,,1.0,11.0,3.0,12.0,1.0,,1.0,19.0,8.0,19.0,4.0,14.0,43.0,436.0,,0.0,254.0,6.0,3.0,1.0,,,,109.0,118.0,5.0,98.0,,15.0,15.0,5.0,1.0,6.0,2.0,143.0,11.0,217.0,915.0,,7.0,5.0,27.0,10.0,642.0,29.0,2.0,10.0,1.0,0.0,2.0,4.0,11.0,733.0,88.0,,98745,3.0,229.0,1.0,9.0,,248.0,1.0,1.0,1.0,15.0,7.0,41.0,2.0,,1.0,4.0,1.0,18.0,1.0,7.0,,61.0,659.0,5.0,10.0,1.0,15.0,1.0,71.0,0.0,4.0,5.0,1.0,3.0,2.0,0.0,3.0,1.0,3.0,76.7,9.0,1.0,4.0,1.0,,4.0,5.0,54.0,5.0,,752.0,10.0,12.0,23.0,4.0,43.0,3.0,1.0,523.0,5.0,14.0,17.0,192.0,23.0,,10.0,10.0,,3.0,9.0,3.0,12.0,,,10.0,5.0,,2.0,1.0,,,2.0,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,2.0,,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,
30,855462,2017-04-02 16:00:00,"Emirates Stadium, London",60001,Home,Arsenal,Manchester City,2,2,D,1,2,0,0,,,73.0,1.0,1.0,1.0,2.0,1.0,26.0,21.0,2.0,,6.0,3.0,1.0,181.0,1.0,14.0,2.0,3.0,7.0,1.0,3.0,77.0,156.0,64.0,,,8.0,,16.0,1.0,2.0,,13.0,19.0,21.0,2.0,10.0,38.0,174.0,,0.0,143.0,8.0,3.0,1.0,1.0,3.0,1.0,75.0,47.0,3.0,52.0,1.0,11.0,14.0,2.0,,3.0,2.0,156.0,9.0,95.0,611.0,,4.0,10.0,17.0,20.0,283.0,31.0,8.0,9.0,2.0,3.0,3.0,4.0,17.0,374.0,59.0,,98980,3.0,133.0,,5.0,1.0,155.0,6.0,1.0,,14.0,8.0,62.0,1.0,1.0,5.0,4.0,,12.0,5.0,7.0,2.0,65.0,306.0,14.0,14.0,1.0,29.0,3.0,71.0,0.0,8.0,2.0,2.0,2.0,5.0,0.0,,2.0,2.0,44.4,14.0,1.0,5.0,1.0,,4.0,,37.0,3.0,1.0,405.0,20.0,16.0,18.0,5.0,33.0,1.0,3.0,263.0,6.0,9.0,13.0,87.0,32.0,1.0,9.0,24.0,1.0,2.0,4.0,3.0,23.0,,1.0,10.0,3.0,1.0,,1.0,,,2.0,,3.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,855472,2017-04-05 19:45:00,"Emirates Stadium, London",59961,Home,Arsenal,West Ham United,3,0,W,0,0,0,0,,2.0,70.0,3.0,,2.0,,,23.0,10.0,7.0,7.0,13.0,2.0,1.0,219.0,2.0,16.0,3.0,2.0,17.0,,8.0,183.0,129.0,54.0,,,21.0,2.0,13.0,4.0,3.0,2.0,11.0,13.0,10.0,3.0,19.0,42.0,336.0,,0.0,196.0,11.0,2.0,2.0,,,2.0,85.0,57.0,11.0,86.0,2.0,8.0,15.0,8.0,,1.0,4.0,129.0,2.0,192.0,858.0,,14.0,2.0,37.0,13.0,583.0,33.0,2.0,4.0,2.0,2.0,1.0,6.0,18.0,663.0,71.0,,98980,7.0,262.0,3.0,7.0,,282.0,8.0,1.0,2.0,15.0,6.0,60.0,5.0,,2.0,4.0,3.0,9.0,5.0,4.0,,44.0,596.0,5.0,18.0,1.0,10.0,4.0,75.0,0.0,,,2.0,,,0.0,1.0,1.0,2.0,65.8,17.0,,3.0,1.0,1.0,4.0,6.0,57.0,5.0,2.0,680.0,13.0,14.0,20.0,7.0,47.0,1.0,3.0,409.0,12.0,18.0,15.0,147.0,30.0,3.0,4.0,18.0,,,17.0,3.0,20.0,,3.0,8.0,5.0,,4.0,,3.0,1.0,1.0,1.0,2.0,,3.0,,,1.0,2.0,,,1.0,,3.0,,,,,,,6.0,,1.0,4.0,,,,3.0,,,1.0,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,1.0,1.0,,,
32,855483,2017-04-10 20:00:00,"Selhurst Park, London",25648,Away,Arsenal,Crystal Palace,0,3,L,0,1,0,0,,1.0,65.0,,,,,,30.0,18.0,3.0,2.0,8.0,3.0,1.0,213.0,3.0,17.0,,1.0,9.0,1.0,3.0,169.0,162.0,68.0,,,11.0,,21.0,2.0,1.0,,24.0,6.0,18.0,8.0,18.0,65.0,314.0,,0.0,220.0,10.0,2.0,,1.0,1.0,2.0,92.0,72.0,3.0,79.0,2.0,16.0,11.0,3.0,,5.0,2.0,162.0,13.0,167.0,829.0,,8.0,7.0,29.0,10.0,508.0,28.0,3.0,10.0,,1.0,4.0,6.0,21.0,601.0,74.0,,98980,3.0,218.0,,10.0,,238.0,7.0,,1.0,11.0,5.0,63.0,1.0,,2.0,6.0,,15.0,4.0,3.0,,59.0,529.0,11.0,11.0,1.0,16.0,1.0,78.0,0.0,5.0,3.0,,3.0,1.0,0.0,,,1.0,72.2,19.0,,5.0,2.0,,6.0,2.0,53.0,8.0,2.0,628.0,10.0,16.0,39.0,6.0,62.0,3.0,4.0,414.0,8.0,17.0,21.0,166.0,23.0,,10.0,20.0,,3.0,10.0,3.0,23.0,,,4.0,8.0,,2.0,,,1.0,1.0,,1.0,,,1.0,3.0,,,,,1.0,,,,,,,1.0,,1.0,,,3.0,,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
33,855495,2017-04-17 20:00:00,"Riverside Stadium, Middlesbrough",31298,Away,Arsenal,Middlesbrough,2,1,W,1,0,0,0,,1.0,64.0,1.0,,,,,36.0,31.0,5.0,6.0,7.0,4.0,1.0,183.0,5.0,8.0,2.0,3.0,7.0,1.0,4.0,156.0,146.0,62.0,,1.0,12.0,2.0,24.0,2.0,1.0,1.0,19.0,13.0,31.0,4.0,23.0,48.0,279.0,,0.0,168.0,16.0,3.0,,,2.0,1.0,84.0,65.0,4.0,85.0,1.0,15.0,15.0,5.0,1.0,6.0,2.0,146.0,9.0,160.0,786.0,,6.0,7.0,30.0,12.0,476.0,21.0,4.0,18.0,1.0,2.0,2.0,3.0,21.0,559.0,64.0,,98980,4.0,218.0,1.0,7.0,2.0,234.0,8.0,2.0,2.0,15.0,9.0,69.0,5.0,,,6.0,1.0,18.0,4.0,3.0,,63.0,492.0,11.0,13.0,,16.0,2.0,91.0,0.0,2.0,4.0,1.0,1.0,4.0,0.0,3.0,1.0,,64.8,20.0,,5.0,1.0,,6.0,4.0,58.0,4.0,1.0,584.0,12.0,11.0,30.0,4.0,28.0,2.0,2.0,369.0,6.0,21.0,25.0,122.0,29.0,1.0,18.0,19.0,,1.0,7.0,2.0,16.0,,1.0,6.0,4.0,1.0,2.0,,2.0,,,,,,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,2.0,2.0,1.0,2.0,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
34,855503,2017-05-16 19:45:00,"Emirates Stadium, London",59510,Home,Arsenal,Sunderland,2,0,W,0,0,0,0,,4.0,52.0,,,,1.0,,24.0,17.0,12.0,9.0,24.0,2.0,4.0,177.0,11.0,9.0,2.0,4.0,31.0,2.0,13.0,154.0,118.0,46.0,,1.0,36.0,6.0,7.0,10.0,4.0,,30.0,8.0,17.0,13.0,16.0,30.0,331.0,,0.0,227.0,15.0,2.0,,2.0,1.0,,52.0,75.0,21.0,71.0,5.0,17.0,13.0,12.0,1.0,3.0,5.0,118.0,3.0,141.0,744.0,,23.0,1.0,61.0,11.0,458.0,22.0,1.0,11.0,1.0,4.0,2.0,9.0,20.0,523.0,49.0,1.0,98745,12.0,156.0,4.0,13.0,2.0,171.0,9.0,1.0,1.0,13.0,4.0,41.0,5.0,,2.0,7.0,,13.0,3.0,2.0,1.0,37.0,476.0,10.0,9.0,6.0,6.0,10.0,58.0,0.0,3.0,2.0,2.0,,1.0,0.0,5.0,1.0,9.0,62.5,20.0,2.0,2.0,2.0,,7.0,13.0,44.0,17.0,,543.0,11.0,12.0,22.0,10.0,58.0,6.0,4.0,402.0,18.0,16.0,18.0,192.0,21.0,,11.0,9.0,1.0,,23.0,3.0,12.0,,,6.0,17.0,3.0,7.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,,,2.0,,2.0,,1.0,,5.0,1.0,,,,3.0,,2.0,2.0,,1.0,,1.0,,1.0,,,,2.0,,,,,,1.0,1.0,1.0,,2.0,1.0,,,,,3.0,,,,,,,,,,,1.0,,
35,855519,2017-04-30 16:30:00,"White Hart Lane, London",31811,Away,Arsenal,Tottenham Hotspur,0,2,L,0,0,0,0,,2.0,61.0,,,5.0,,,27.0,25.0,3.0,4.0,9.0,9.0,2.0,150.0,5.0,9.0,,1.0,9.0,1.0,4.0,97.0,145.0,47.0,,,12.0,1.0,13.0,3.0,,,15.0,12.0,25.0,3.0,13.0,33.0,156.0,,0.0,118.0,15.0,5.0,,,1.0,,75.0,56.0,6.0,60.0,1.0,12.0,21.0,3.0,,4.0,1.0,145.0,14.0,98.0,609.0,,9.0,12.0,19.0,5.0,296.0,21.0,9.0,14.0,,3.0,3.0,3.0,31.0,375.0,48.0,,98745,5.0,163.0,,7.0,1.0,181.0,7.0,,2.0,21.0,12.0,52.0,2.0,,5.0,5.0,,18.0,6.0,4.0,1.0,59.0,314.0,7.0,11.0,,16.0,3.0,72.0,0.0,14.0,4.0,,2.0,3.0,0.0,5.0,,,48.8,24.0,,5.0,4.0,,5.0,4.0,35.0,5.0,,405.0,5.0,8.0,15.0,4.0,33.0,,3.0,239.0,8.0,11.0,11.0,78.0,25.0,2.0,14.0,21.0,,2.0,8.0,3.0,15.0,,2.0,14.0,5.0,1.0,3.0,,3.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
36,855523,2017-05-07 16:00:00,"Emirates Stadium, London",60055,Home,Arsenal,Manchester United,2,0,W,0,0,0,0,,,52.0,,,1.0,1.0,1.0,31.0,24.0,4.0,3.0,5.0,4.0,2.0,156.0,8.0,12.0,2.0,1.0,8.0,,4.0,152.0,120.0,46.0,,,9.0,1.0,11.0,1.0,1.0,1.0,20.0,13.0,24.0,4.0,19.0,39.0,292.0,,0.0,153.0,14.0,2.0,1.0,1.0,,,91.0,58.0,8.0,68.0,1.0,16.0,14.0,4.0,,1.0,1.0,120.0,5.0,148.0,705.0,,5.0,3.0,25.0,5.0,438.0,24.0,,17.0,2.0,1.0,2.0,,14.0,504.0,54.0,,98745,3.0,170.0,,15.0,,183.0,10.0,,,14.0,4.0,55.0,1.0,,2.0,7.0,2.0,11.0,5.0,3.0,,53.0,454.0,8.0,9.0,1.0,13.0,3.0,60.0,0.0,9.0,3.0,1.0,,,0.0,5.0,1.0,2.0,50.0,13.0,,3.0,,,7.0,4.0,37.0,5.0,,524.0,5.0,14.0,28.0,1.0,24.0,3.0,,361.0,4.0,19.0,7.0,114.0,18.0,3.0,17.0,19.0,1.0,,6.0,3.0,20.0,,3.0,9.0,5.0,1.0,3.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,1.0,2.0,1.0,,,,,,,,,1.0,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,
37,855537,2017-05-13 17:30:00,"bet365 Stadium, Stoke",27535,Away,Arsenal,Stoke City,4,1,W,1,0,0,0,,,67.0,1.0,1.0,1.0,,,23.0,24.0,,3.0,10.0,3.0,1.0,191.0,2.0,14.0,4.0,1.0,8.0,,6.0,166.0,137.0,64.0,,,10.0,,13.0,2.0,2.0,4.0,17.0,10.0,24.0,4.0,28.0,43.0,308.0,,0.0,159.0,7.0,2.0,,1.0,,1.0,95.0,87.0,6.0,89.0,,13.0,17.0,,,3.0,,137.0,6.0,161.0,802.0,,2.0,1.0,27.0,9.0,501.0,21.0,1.0,8.0,4.0,2.0,3.0,2.0,19.0,580.0,57.0,,98745,3.0,215.0,1.0,10.0,,236.0,4.0,1.0,1.0,17.0,6.0,52.0,1.0,,2.0,7.0,4.0,13.0,4.0,3.0,,50.0,521.0,13.0,11.0,2.0,10.0,2.0,69.0,0.0,7.0,2.0,4.0,1.0,,0.0,,3.0,3.0,66.8,19.0,1.0,3.0,1.0,1.0,7.0,1.0,43.0,6.0,1.0,607.0,9.0,18.0,23.0,3.0,36.0,2.0,2.0,388.0,4.0,26.0,21.0,124.0,34.0,3.0,8.0,16.0,,1.0,8.0,3.0,17.0,,3.0,11.0,6.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,3.0,3.0,2.0,,,,3.0,,,,,,,,4.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,
38,855542,2017-05-21 15:00:00,"Emirates Stadium, London",59976,Home,Arsenal,Everton,3,1,W,2,0,1,0,,2.0,59.0,1.0,1.0,3.0,,,25.0,30.0,3.0,3.0,13.0,6.0,4.0,169.0,2.0,8.0,3.0,4.0,11.0,,9.0,116.0,107.0,48.0,,2.0,17.0,3.0,8.0,5.0,2.0,3.0,8.0,12.0,30.0,2.0,12.0,25.0,226.0,,0.0,141.0,10.0,4.0,2.0,1.0,1.0,1.0,48.0,63.0,9.0,57.0,1.0,6.0,8.0,4.0,2.0,1.0,,107.0,15.0,96.0,621.0,,8.0,5.0,34.0,11.0,347.0,32.0,3.0,15.0,3.0,2.0,7.0,2.0,12.0,403.0,47.0,,98745,7.0,145.0,4.0,4.0,,155.0,6.0,3.0,,8.0,14.0,31.0,4.0,,,9.0,3.0,18.0,7.0,7.0,1.0,47.0,369.0,14.0,5.0,,12.0,1.0,73.0,0.0,6.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,49.5,11.0,2.0,3.0,2.0,,9.0,5.0,49.0,4.0,1.0,438.0,11.0,8.0,13.0,3.0,28.0,1.0,3.0,291.0,12.0,12.0,9.0,104.0,11.0,3.0,15.0,18.0,,1.0,14.0,3.0,10.0,,3.0,1.0,4.0,1.0,2.0,3.0,5.0,1.0,,,1.0,3.0,1.0,,,2.0,,,,,,5.0,,,,,,,3.0,1.0,,1.0,,,,,,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0
