gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attCmissRight,attMissLeft,attOboxTarget,attSetpiece,shieldBallOop,attSvHighCentre,attFreekickTotal,attMissHighRight,midfielderGoals,freekickTotal,overrun,attCmissHighRight,attBxLeft,attLfGoal,attBxRight,attGoalHighRight,attOboxGoal,bigChanceMissed,totalPullBack,attFreekickGoal,punches,accuratePullBack,shotFastbreak,postScoringAtt,attIboxPost,totalFastbreak,attPostLeft,hitWoodwork,attFastbreak,attPostHigh,goalsConcededObox,secondYellow,attCmissHigh,attSvLowRight,attFreekickTarget,attSvHighRight,accurateFreekickCross,goalAssistSetplay,goalAssistDeadball,attOneOnOne,attGoalHighCentre,attGoalLowRight,goalFastbreak,cleanSheet,penaltyWon,defenderGoals,attPenGoal,attOboxPost,attSvHighLeft,ownGoals,attIboxOwnGoal,clearanceOffLine,attFreekickMiss,attCmissLeft,attPostRight,foulThrowIn,attObxLeft,attFreekickPost,attLgCentre,attObxRight,attObxdLeft
28,803433,2016-03-01 19:45:00,"Stadium of Light, Sunderland",39795,Home,Sunderland,Crystal Palace,2,2,D,1,0,0,0,3.0,,60.0,1.0,,1.0,33.0,22.0,11.0,6.0,3.0,2.0,169.0,1.0,4.0,9.0,2.0,1.0,13.0,6.0,109.0,161.0,60.0,17.0,3.0,18.0,1.0,,2.0,4.0,20.0,15.0,16.0,4.0,9.0,39.0,185.0,0.0,140.0,11.0,2.0,,1.0,2.0,56.0,66.0,9.0,53.0,,3.0,16.0,11.0,5.0,4.0,155.0,,,12.0,96.0,632.0,,9.0,6.0,,14.0,312.0,23.0,,7.0,15.0,2.0,,1.0,4.0,4.0,29.0,395.0,67.0,,1.0,7958,2.0,148.0,10.0,,,160.0,6.0,2.0,11.0,9.0,49.0,1.0,,6.0,2.0,14.0,1.0,5.0,2.0,76.0,329.0,14.0,10.0,2.0,28.0,83.0,0.0,5.0,3.0,1.0,2.0,2.0,0.0,2.0,,1.0,59.2,20.0,1.0,3.0,6.0,4.0,41.0,4.0,,3.0,427.0,,14.0,9.0,20.0,7.0,38.0,2.0,3.0,287.0,9.0,9.0,23.0,86.0,25.0,,1.0,13.0,17.0,,2.0,15.0,3.0,13.0,,1.0,8.0,4.0,2.0,,,3.0,1.0,,,,2.0,1.0,,4.0,,,,3.0,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,
29,803450,2016-03-05 15:00:00,"St. Mary's Stadium, Southampton",31458,Away,Sunderland,Southampton,1,1,D,0,0,0,1,1.0,1.0,58.0,1.0,,2.0,21.0,37.0,4.0,3.0,4.0,1.0,142.0,,2.0,9.0,1.0,3.0,8.0,3.0,44.0,169.0,47.0,11.0,2.0,23.0,1.0,2.0,,1.0,19.0,8.0,29.0,2.0,8.0,23.0,96.0,0.0,106.0,9.0,3.0,,1.0,5.0,51.0,55.0,5.0,34.0,3.0,1.0,17.0,22.0,5.0,1.0,161.0,2.0,,10.0,45.0,460.0,,7.0,9.0,,14.0,138.0,28.0,,8.0,20.0,1.0,2.0,1.0,7.0,3.0,19.0,236.0,59.0,1.0,1.0,7958,4.0,54.0,11.0,,,74.0,3.0,1.0,22.0,11.0,50.0,3.0,1.0,3.0,,9.0,6.0,4.0,2.0,81.0,148.0,8.0,10.0,,37.0,79.0,0.0,12.0,4.0,1.0,1.0,2.0,0.0,2.0,1.0,,34.9,13.0,,2.0,3.0,4.0,25.0,2.0,,5.0,265.0,,14.0,7.0,4.0,4.0,31.0,,3.0,210.0,8.0,7.0,19.0,52.0,15.0,,6.0,16.0,12.0,,1.0,7.0,3.0,12.0,,6.0,12.0,2.0,1.0,,,1.0,3.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,2.0,,,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
30,803454,2016-05-11 19:45:00,"Stadium of Light, Sunderland",46454,Home,Sunderland,Everton,3,0,W,2,0,0,0,,2.0,65.0,,2.0,1.0,28.0,34.0,3.0,4.0,6.0,2.0,143.0,1.0,6.0,4.0,3.0,3.0,11.0,8.0,71.0,144.0,37.0,14.0,2.0,14.0,5.0,3.0,,4.0,17.0,10.0,30.0,5.0,14.0,28.0,176.0,0.0,143.0,15.0,4.0,,2.0,1.0,49.0,66.0,8.0,60.0,2.0,2.0,12.0,22.0,3.0,1.0,140.0,2.0,,11.0,78.0,545.0,,8.0,5.0,2.0,18.0,251.0,28.0,1.0,8.0,18.0,1.0,3.0,1.0,6.0,3.0,19.0,334.0,67.0,1.0,,7958,5.0,90.0,7.0,,,99.0,9.0,1.0,22.0,7.0,54.0,2.0,2.0,2.0,,10.0,6.0,2.0,,61.0,260.0,6.0,7.0,2.0,26.0,70.0,0.0,5.0,4.0,2.0,,,0.0,3.0,1.0,3.0,37.7,14.0,1.0,3.0,2.0,3.0,29.0,5.0,,1.0,352.0,,18.0,16.0,16.0,3.0,24.0,3.0,2.0,270.0,7.0,12.0,15.0,92.0,24.0,,2.0,15.0,12.0,,,8.0,3.0,7.0,,2.0,13.0,5.0,1.0,,,,1.0,2.0,1.0,1.0,,,1.0,1.0,,2.0,2.0,,,1.0,3.0,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,2.0,,,1.0,,3.0,,,,,,,,,,,,,,,1.0
31,803470,2016-03-20 13:30:00,"St. James' Park, Newcastle",52311,Away,Sunderland,Newcastle United,1,1,D,1,0,0,0,,,52.0,,3.0,,29.0,34.0,6.0,3.0,6.0,1.0,152.0,1.0,2.0,11.0,1.0,4.0,10.0,4.0,58.0,160.0,66.0,14.0,3.0,23.0,2.0,,,,7.0,17.0,23.0,4.0,8.0,24.0,133.0,0.0,127.0,7.0,,,2.0,7.0,41.0,73.0,4.0,39.0,1.0,2.0,3.0,16.0,,3.0,149.0,,,9.0,50.0,510.0,,7.0,10.0,1.0,6.0,184.0,13.0,,5.0,19.0,,,1.0,3.0,6.0,17.0,262.0,69.0,,,7958,5.0,67.0,1.0,,,76.0,6.0,,16.0,11.0,69.0,2.0,1.0,3.0,,12.0,8.0,4.0,,80.0,198.0,14.0,15.0,3.0,29.0,83.0,0.0,3.0,4.0,1.0,1.0,3.0,0.0,1.0,,2.0,40.1,14.0,1.0,2.0,3.0,3.0,35.0,5.0,,7.0,299.0,,6.0,13.0,12.0,7.0,24.0,1.0,4.0,230.0,9.0,6.0,17.0,74.0,21.0,1.0,4.0,17.0,25.0,,1.0,9.0,3.0,22.0,,4.0,13.0,5.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,2.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,
32,803481,2016-04-02 15:00:00,"Stadium of Light, Sunderland",45144,Home,Sunderland,West Bromwich Albion,0,0,D,0,0,0,0,1.0,,73.0,,,4.0,24.0,38.0,9.0,4.0,,6.0,178.0,,7.0,11.0,,1.0,18.0,6.0,82.0,176.0,52.0,22.0,3.0,18.0,5.0,1.0,,2.0,21.0,12.0,31.0,6.0,11.0,25.0,182.0,0.0,158.0,11.0,,1.0,,2.0,70.0,57.0,13.0,56.0,1.0,7.0,15.0,11.0,7.0,5.0,169.0,2.0,,1.0,79.0,620.0,,17.0,5.0,,19.0,272.0,30.0,,5.0,21.0,,1.0,1.0,1.0,5.0,25.0,374.0,62.0,1.0,1.0,7958,9.0,111.0,8.0,,,126.0,7.0,,11.0,3.0,49.0,2.0,5.0,6.0,,13.0,2.0,1.0,,76.0,286.0,10.0,8.0,1.0,39.0,94.0,0.0,3.0,,,,1.0,0.0,5.0,,1.0,56.8,18.0,1.0,3.0,6.0,7.0,36.0,9.0,,2.0,395.0,,19.0,7.0,9.0,9.0,37.0,2.0,4.0,290.0,17.0,11.0,16.0,100.0,30.0,,3.0,18.0,16.0,,,19.0,1.0,17.0,,3.0,7.0,9.0,,4.0,2.0,1.0,,,,1.0,,,1.0,8.0,,3.0,,1.0,,,3.0,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,
33,803486,2016-04-10 13:30:00,"Stadium of Light, Sunderland",46531,Home,Sunderland,Leicester City,0,2,L,0,0,0,0,,,84.0,,2.0,2.0,25.0,66.0,7.0,1.0,5.0,1.0,164.0,,2.0,14.0,,1.0,13.0,1.0,70.0,186.0,87.0,15.0,4.0,20.0,1.0,2.0,,1.0,8.0,26.0,47.0,1.0,11.0,26.0,131.0,0.0,127.0,9.0,5.0,,1.0,3.0,32.0,60.0,7.0,37.0,1.0,1.0,7.0,16.0,3.0,3.0,167.0,1.0,1.0,12.0,68.0,619.0,,13.0,12.0,,17.0,218.0,32.0,1.0,6.0,32.0,,3.0,1.0,2.0,6.0,35.0,311.0,76.0,,,7958,3.0,100.0,3.0,,,117.0,8.0,,16.0,7.0,75.0,,2.0,4.0,,17.0,4.0,1.0,2.0,71.0,229.0,9.0,22.0,,27.0,85.0,0.0,7.0,3.0,,2.0,5.0,0.0,2.0,,1.0,44.8,28.0,1.0,3.0,4.0,6.0,37.0,1.0,,3.0,339.0,,17.0,14.0,14.0,8.0,28.0,,5.0,230.0,13.0,11.0,29.0,65.0,34.0,,3.0,26.0,35.0,,2.0,13.0,3.0,24.0,,3.0,7.0,1.0,,,1.0,,1.0,1.0,,,3.0,,,1.0,,2.0,,3.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
34,803497,2016-04-16 12:45:00,"Carrow Road, Norwich",27117,Away,Sunderland,Norwich City,3,0,W,1,0,0,0,1.0,3.0,51.0,2.0,3.0,,19.0,79.0,3.0,2.0,6.0,,138.0,1.0,3.0,8.0,3.0,2.0,6.0,3.0,35.0,164.0,55.0,8.0,,20.0,,2.0,2.0,,5.0,13.0,59.0,,7.0,14.0,91.0,0.0,99.0,11.0,3.0,,,4.0,30.0,50.0,2.0,25.0,,,5.0,16.0,1.0,3.0,144.0,3.0,,10.0,42.0,454.0,,3.0,8.0,,9.0,129.0,13.0,,7.0,45.0,2.0,2.0,2.0,8.0,3.0,14.0,210.0,67.0,2.0,1.0,7958,3.0,47.0,4.0,,,61.0,8.0,2.0,16.0,14.0,51.0,2.0,5.0,3.0,2.0,15.0,9.0,2.0,1.0,69.0,135.0,7.0,12.0,,27.0,82.0,0.0,14.0,4.0,3.0,,3.0,0.0,3.0,2.0,,36.0,7.0,,3.0,3.0,,27.0,,,4.0,240.0,,9.0,4.0,4.0,5.0,21.0,,2.0,184.0,6.0,5.0,26.0,46.0,22.0,1.0,3.0,38.0,14.0,,,5.0,3.0,13.0,,3.0,11.0,,,,1.0,,1.0,,,1.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,5.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,2.0,1.0,,,,,,,,
35,803502,2016-04-24 14:05:00,"Stadium of Light, Sunderland",45420,Home,Sunderland,Arsenal,0,0,D,0,0,0,0,1.0,,73.0,,5.0,2.0,23.0,33.0,7.0,4.0,6.0,3.0,134.0,,2.0,4.0,,2.0,4.0,3.0,57.0,153.0,41.0,12.0,1.0,23.0,1.0,1.0,,1.0,19.0,8.0,27.0,6.0,6.0,27.0,99.0,0.0,100.0,10.0,3.0,2.0,,,28.0,55.0,2.0,26.0,4.0,2.0,13.0,18.0,5.0,3.0,147.0,,1.0,9.0,51.0,463.0,,4.0,3.0,,20.0,156.0,26.0,1.0,6.0,16.0,,2.0,2.0,7.0,2.0,18.0,244.0,59.0,1.0,,7958,2.0,71.0,8.0,,,87.0,6.0,,18.0,7.0,53.0,1.0,5.0,4.0,,11.0,11.0,2.0,,77.0,168.0,8.0,15.0,,37.0,81.0,0.0,7.0,2.0,,,1.0,0.0,1.0,,,29.8,12.0,,5.0,4.0,3.0,27.0,7.0,,,268.0,,20.0,4.0,12.0,6.0,28.0,1.0,2.0,200.0,8.0,6.0,18.0,51.0,31.0,,5.0,13.0,13.0,,,8.0,2.0,6.0,,5.0,12.0,7.0,,1.0,2.0,2.0,,,,1.0,,,1.0,2.0,,1.0,,2.0,,,,1.0,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,
36,803519,2016-04-30 15:00:00,"bet365 Stadium, Stoke",27667,Away,Sunderland,Stoke City,1,1,D,0,0,0,0,,1.0,62.0,,1.0,3.0,19.0,15.0,6.0,6.0,2.0,1.0,151.0,1.0,3.0,5.0,1.0,3.0,11.0,5.0,63.0,171.0,50.0,14.0,1.0,34.0,,1.0,,3.0,24.0,13.0,12.0,8.0,5.0,29.0,118.0,0.0,120.0,13.0,1.0,,1.0,1.0,35.0,44.0,7.0,32.0,1.0,2.0,16.0,12.0,5.0,1.0,168.0,,1.0,6.0,60.0,483.0,,11.0,3.0,,9.0,185.0,24.0,,2.0,8.0,,1.0,2.0,2.0,4.0,29.0,280.0,57.0,,,7958,5.0,80.0,10.0,,,102.0,7.0,1.0,12.0,9.0,72.0,,1.0,5.0,,9.0,5.0,3.0,2.0,74.0,195.0,13.0,13.0,,32.0,83.0,0.0,2.0,1.0,1.0,1.0,,0.0,2.0,,,46.4,20.0,,2.0,6.0,4.0,23.0,8.0,,1.0,306.0,,9.0,11.0,10.0,5.0,39.0,1.0,4.0,228.0,8.0,3.0,17.0,69.0,25.0,1.0,1.0,7.0,15.0,,1.0,6.0,3.0,9.0,,1.0,7.0,8.0,3.0,,1.0,4.0,2.0,,1.0,1.0,,,1.0,1.0,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,
37,803523,2016-05-07 15:00:00,"Stadium of Light, Sunderland",47050,Home,Sunderland,Chelsea,3,2,W,1,2,0,1,,,73.0,2.0,1.0,2.0,17.0,9.0,9.0,1.0,6.0,,128.0,,4.0,7.0,3.0,5.0,8.0,4.0,57.0,132.0,38.0,14.0,5.0,9.0,1.0,2.0,1.0,1.0,16.0,13.0,9.0,3.0,9.0,20.0,125.0,0.0,111.0,11.0,5.0,,3.0,,40.0,49.0,6.0,39.0,4.0,1.0,13.0,14.0,3.0,3.0,132.0,,,7.0,63.0,450.0,,6.0,8.0,1.0,25.0,191.0,24.0,,3.0,5.0,1.0,2.0,4.0,1.0,2.0,19.0,271.0,52.0,,,7958,3.0,78.0,7.0,,,90.0,6.0,3.0,14.0,3.0,49.0,,6.0,2.0,2.0,5.0,2.0,1.0,1.0,59.0,199.0,9.0,14.0,1.0,30.0,71.0,0.0,3.0,5.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,31.4,14.0,,7.0,2.0,7.0,35.0,3.0,,,287.0,,25.0,6.0,7.0,3.0,30.0,1.0,,213.0,11.0,8.0,7.0,63.0,33.0,1.0,,5.0,15.0,,2.0,9.0,3.0,16.0,,,6.0,3.0,,,,,2.0,1.0,,2.0,1.0,2.0,2.0,1.0,,1.0,,,,1.0,,2.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
38,803539,2016-05-15 15:00:00,"Vicarage Road, Watford",21012,Away,Sunderland,Watford,2,2,D,1,0,0,0,2.0,1.0,51.0,1.0,4.0,1.0,23.0,39.0,2.0,3.0,4.0,1.0,145.0,1.0,,9.0,2.0,3.0,5.0,4.0,73.0,160.0,51.0,6.0,,14.0,1.0,,2.0,1.0,17.0,11.0,31.0,4.0,7.0,26.0,131.0,0.0,136.0,9.0,2.0,1.0,1.0,5.0,61.0,52.0,4.0,55.0,,1.0,13.0,10.0,5.0,1.0,152.0,1.0,2.0,9.0,73.0,547.0,,3.0,4.0,,11.0,229.0,20.0,,10.0,20.0,2.0,,0.0,4.0,1.0,29.0,317.0,74.0,,,7958,2.0,112.0,7.0,,1.0,126.0,7.0,,10.0,11.0,40.0,,4.0,4.0,2.0,10.0,12.0,4.0,,81.0,243.0,11.0,6.0,,37.0,83.0,0.0,7.0,,2.0,2.0,2.0,0.0,,2.0,,45.8,26.0,,4.0,4.0,1.0,30.0,4.0,1.0,5.0,346.0,1.0,11.0,5.0,8.0,1.0,27.0,,,237.0,3.0,7.0,12.0,77.0,16.0,,4.0,16.0,20.0,,2.0,6.0,3.0,17.0,,4.0,4.0,4.0,1.0,1.0,,1.0,,,,,,2.0,,2.0,,1.0,2.0,,,,,,,1.0,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
