gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attObxLeft,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,attHdTarget,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,fouledFinalThird,attCmissRight,attOboxBlocked,postScoringAtt,attSvLowCentre,totalFastbreak,freekickCross,secondYellow,attObxdRight,totalFlickOn,hitWoodwork,accurateFreekickCross,errorLeadToShot,totalPullBack,attAssistSetplay,attOboxPost,attPostHigh,accurateFlickOn,shieldBallOop,attHdMiss,possWonAtt3rd,clearanceOffLine,attOpenplay,attBxRight,attIboxPost,cleanSheet,bigChanceCreated,attHdPost,accurateThroughBall,bigChanceMissed,totalThroughBall,attSvLowRight,attGoalLowLeft,attMissHighRight,attSetpiece,goalsOpenplay,forwardGoals,attLfGoal,attFreekickTotal,attGoalHighRight,attOboxGoal,freekickTotal,sixYardBlock,defenderGoals,attFreekickGoal,punches,attLfTarget,attSvHighLeft,attGoalHighLeft,attHdGoal,errorLeadToGoal,attCmissHigh,accuratePullBack,goalFastbreak,bigChanceScored,goalAssistSetplay,goalAssistDeadball,attFreekickTarget,ownGoals,attObxdLeft,penGoalsConceded,attPenTarget,penaltyWon,attFreekickMiss,attSvHighRight,attPostLeft,attGoalHighCentre,attCmissHighLeft,attCmissHighRight,attGoalLowCentre,foulThrowIn,attPostRight,penaltySave,attPenGoal,attFreekickPost,attObxRight
28,360746,2012-03-10 15:00:00,"Stadium of Light, Sunderland",41661,Home,Sunderland,Liverpool,1,0,W,0,0,0,0,,43.0,,1.0,,20.0,39.0,4.0,3.0,1.0,136.0,2.0,9.0,1.0,6.0,2.0,70.0,184.0,60.0,7.0,20.0,1.0,,,1.0,,1.0,17.0,16.0,,20.0,3.0,20.0,33.0,142.0,0.0,103.0,13.0,2.0,,,,49.0,61.0,1.0,46.0,1.0,,14.0,4.0,3.0,165.0,3.0,72.0,536.0,5.0,,23.0,18.0,1.0,15.0,13.0,,1.0,1.0,2.0,5.0,18.0,69.0,7631,2.0,82.0,8.0,,105.0,,18.0,60.0,1.0,,12.0,7.0,8.0,,51.0,222.0,15.0,7.0,47.0,87.0,,,0.0,,2.0,2.0,1.0,,0.0,1.0,,1.0,38.2,13.0,,,,,38.0,3.0,,,324.0,11.0,12.0,11.0,5.0,13.0,1.0,1.0,236.0,3.0,17.0,8.0,54.0,20.0,2.0,9.0,28.0,,2.0,17.0,2.0,3.0,,1.0,,,1.0,,,2.0,,,8.0,1.0,1.0,,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,,4.0,,,1.0,1.0,,,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,
29,360750,2012-03-20 20:00:00,"Ewood Park, Blackburn",20056,Away,Sunderland,Blackburn Rovers,0,2,L,0,0,0,0,2.0,60.0,,,,27.0,34.0,1.0,,1.0,157.0,6.0,1.0,,2.0,1.0,78.0,183.0,55.0,3.0,18.0,1.0,,,,,1.0,35.0,13.0,,19.0,8.0,16.0,37.0,161.0,0.0,110.0,11.0,1.0,,,,83.0,43.0,1.0,60.0,4.0,,27.0,12.0,1.0,168.0,9.0,95.0,594.0,1.0,,25.0,17.0,,6.0,22.0,,,1.0,4.0,1.0,12.0,66.0,98769,1.0,135.0,12.0,,155.0,,14.0,45.0,4.0,4.0,10.0,7.0,7.0,1.0,58.0,290.0,12.0,7.0,24.0,94.0,,,0.0,4.0,7.0,4.0,,2.0,0.0,4.0,,,54.6,9.0,,1.0,4.0,,47.0,9.0,,,390.0,21.0,8.0,19.0,2.0,20.0,2.0,1.0,270.0,3.0,15.0,18.0,63.0,30.0,2.0,11.0,24.0,2.0,2.0,4.0,2.0,9.0,,1.0,,,,,,3.0,,,16.0,,,,,1.0,,,5.0,,,3.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,360766,2012-03-24 15:00:00,"Stadium of Light, Sunderland",37128,Home,Sunderland,Queens Park Rangers,3,1,W,1,0,0,1,,52.0,2.0,,4.0,21.0,23.0,3.0,7.0,,169.0,10.0,6.0,3.0,11.0,4.0,96.0,174.0,50.0,17.0,14.0,1.0,,,,2.0,1.0,24.0,10.0,,10.0,5.0,15.0,26.0,202.0,0.0,131.0,11.0,,2.0,,1.0,72.0,66.0,5.0,69.0,1.0,1.0,19.0,4.0,1.0,161.0,3.0,95.0,627.0,7.0,1.0,18.0,19.0,,10.0,17.0,2.0,,2.0,5.0,6.0,24.0,69.0,98769,7.0,139.0,15.0,,161.0,1.0,8.0,46.0,2.0,1.0,16.0,8.0,5.0,2.0,52.0,331.0,9.0,6.0,37.0,88.0,,,0.0,5.0,2.0,,3.0,1.0,0.0,7.0,2.0,3.0,51.5,16.0,3.0,,1.0,5.0,45.0,5.0,,1.0,429.0,14.0,7.0,12.0,8.0,15.0,3.0,5.0,292.0,6.0,13.0,19.0,85.0,27.0,2.0,8.0,16.0,,3.0,14.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,,,,,,15.0,2.0,,,,2.0,1.0,1.0,6.0,1.0,1.0,2.0,,12.0,2.0,1.0,,1.0,,,,,,,2.0,1.0,3.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,1.0,
31,360773,2012-03-31 15:00:00,"Etihad Stadium, Manchester",47007,Away,Sunderland,Manchester City,3,3,D,2,1,0,0,,31.0,2.0,3.0,1.0,16.0,48.0,4.0,2.0,,110.0,2.0,1.0,3.0,8.0,3.0,76.0,148.0,41.0,9.0,4.0,,,1.0,,3.0,1.0,17.0,16.0,,27.0,4.0,7.0,24.0,122.0,0.0,96.0,14.0,1.0,2.0,,1.0,49.0,40.0,4.0,50.0,2.0,2.0,13.0,7.0,2.0,127.0,14.0,58.0,483.0,4.0,,5.0,16.0,,8.0,25.0,3.0,,1.0,10.0,4.0,17.0,59.0,98769,3.0,95.0,6.0,1.0,114.0,2.0,13.0,33.0,,,8.0,12.0,3.0,1.0,42.0,215.0,12.0,3.0,25.0,69.0,1.0,1.0,0.0,,17.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,35.9,14.0,1.0,,,2.0,28.0,5.0,1.0,1.0,294.0,3.0,6.0,9.0,4.0,12.0,,2.0,197.0,6.0,6.0,6.0,60.0,12.0,9.0,12.0,22.0,2.0,2.0,7.0,9.0,5.0,1.0,,1.0,1.0,,,2.0,,,,7.0,,,,,1.0,,,,,,,,8.0,,,,2.0,,1.0,1.0,1.0,,1.0,,,3.0,1.0,,,,1.0,,,,,3.0,,,,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,
32,360786,2012-04-07 12:45:00,"Stadium of Light, Sunderland",39335,Home,Sunderland,Tottenham Hotspur,0,0,D,0,0,0,0,,50.0,,1.0,5.0,25.0,32.0,1.0,3.0,1.0,104.0,9.0,4.0,,9.0,3.0,61.0,140.0,46.0,12.0,15.0,2.0,,,,,2.0,25.0,15.0,1.0,18.0,10.0,15.0,33.0,110.0,0.0,74.0,13.0,1.0,,,2.0,35.0,35.0,6.0,43.0,1.0,1.0,15.0,1.0,1.0,126.0,6.0,59.0,456.0,7.0,2.0,17.0,26.0,,6.0,19.0,,,2.0,7.0,3.0,13.0,48.0,98769,6.0,96.0,11.0,,113.0,,7.0,61.0,1.0,,4.0,10.0,2.0,1.0,41.0,197.0,10.0,10.0,17.0,60.0,,,0.0,,4.0,,,,0.0,5.0,,4.0,29.3,7.0,1.0,,,5.0,34.0,11.0,,2.0,267.0,12.0,17.0,15.0,4.0,16.0,4.0,3.0,179.0,4.0,15.0,10.0,36.0,22.0,2.0,12.0,22.0,,2.0,11.0,2.0,11.0,,3.0,,,,2.0,,3.0,,,17.0,,1.0,,,2.0,,,5.0,,2.0,,,8.0,1.0,,1.0,,,,,1.0,1.0,,,2.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
33,360791,2012-04-09 15:00:00,"Goodison Park, Liverpool",32249,Away,Sunderland,Everton,0,4,L,0,0,0,0,,54.0,,1.0,,28.0,20.0,1.0,1.0,,139.0,5.0,6.0,,3.0,,90.0,161.0,39.0,3.0,16.0,,,,,,,18.0,13.0,,12.0,2.0,19.0,28.0,161.0,0.0,113.0,12.0,1.0,,,1.0,75.0,47.0,,64.0,1.0,1.0,16.0,5.0,1.0,153.0,12.0,95.0,579.0,3.0,,24.0,23.0,,7.0,12.0,,,2.0,8.0,3.0,22.0,71.0,98769,1.0,144.0,11.0,,162.0,,18.0,56.0,3.0,1.0,10.0,11.0,4.0,1.0,61.0,300.0,6.0,10.0,28.0,99.0,,,0.0,2.0,5.0,1.0,,4.0,0.0,5.0,,,41.5,17.0,1.0,,1.0,,40.0,2.0,,1.0,388.0,24.0,7.0,11.0,3.0,11.0,,2.0,244.0,2.0,19.0,11.0,67.0,22.0,4.0,7.0,16.0,4.0,3.0,17.0,4.0,2.0,,,,,,,,,,,11.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
34,360806,2012-04-14 15:00:00,"Stadium of Light, Sunderland",37476,Home,Sunderland,Wolverhampton Wanderers,0,0,D,0,0,0,0,,51.0,,2.0,2.0,19.0,33.0,3.0,4.0,1.0,148.0,6.0,5.0,,14.0,3.0,82.0,163.0,46.0,15.0,8.0,2.0,,2.0,,,3.0,35.0,17.0,1.0,22.0,8.0,18.0,42.0,168.0,0.0,117.0,4.0,2.0,,1.0,2.0,57.0,51.0,5.0,50.0,4.0,3.0,27.0,10.0,2.0,152.0,6.0,83.0,585.0,13.0,2.0,12.0,26.0,2.0,6.0,19.0,,,0.0,2.0,9.0,26.0,61.0,98769,4.0,122.0,12.0,,142.0,,9.0,29.0,1.0,3.0,13.0,5.0,3.0,2.0,43.0,284.0,12.0,2.0,18.0,86.0,2.0,2.0,0.0,2.0,4.0,3.0,,,0.0,4.0,,5.0,51.1,19.0,5.0,,3.0,2.0,42.0,8.0,,2.0,363.0,7.0,7.0,25.0,10.0,24.0,2.0,8.0,256.0,6.0,16.0,7.0,86.0,15.0,2.0,14.0,22.0,,1.0,13.0,2.0,8.0,,4.0,2.0,,,1.0,2.0,5.0,,,10.0,,,1.0,,1.0,,,5.0,3.0,3.0,2.0,,12.0,2.0,,1.0,3.0,,,3.0,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,360810,2012-04-21 15:00:00,"Villa Park, Birmingham",32557,Away,Sunderland,Aston Villa,0,0,D,0,0,1,0,1.0,58.0,,2.0,,28.0,26.0,5.0,2.0,1.0,154.0,7.0,3.0,,11.0,3.0,99.0,188.0,51.0,13.0,20.0,3.0,,1.0,,,1.0,25.0,15.0,,13.0,5.0,11.0,14.0,188.0,0.0,154.0,9.0,1.0,,,4.0,72.0,67.0,6.0,54.0,2.0,1.0,20.0,4.0,1.0,175.0,5.0,95.0,616.0,9.0,2.0,9.0,22.0,,6.0,10.0,,1.0,1.0,5.0,5.0,29.0,84.0,98769,5.0,116.0,12.0,,139.0,,12.0,57.0,2.0,3.0,12.0,8.0,4.0,2.0,57.0,297.0,11.0,8.0,35.0,97.0,1.0,,0.0,1.0,8.0,2.0,,,1.0,4.0,,4.0,55.4,22.0,,1.0,4.0,4.0,43.0,5.0,,4.0,402.0,6.0,13.0,8.0,6.0,17.0,3.0,5.0,288.0,7.0,10.0,15.0,103.0,22.0,4.0,4.0,22.0,,1.0,11.0,4.0,5.0,,3.0,,4.0,,,1.0,4.0,1.0,,3.0,,,1.0,,2.0,,,1.0,,2.0,2.0,,11.0,1.0,,1.0,2.0,,,3.0,1.0,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
36,360824,2012-04-28 15:00:00,"Stadium of Light, Sunderland",40768,Home,Sunderland,Bolton Wanderers,2,2,D,1,1,0,0,1.0,62.0,,2.0,,30.0,38.0,6.0,1.0,1.0,165.0,6.0,5.0,2.0,9.0,3.0,63.0,182.0,54.0,12.0,23.0,1.0,,,1.0,1.0,3.0,24.0,13.0,,21.0,5.0,4.0,17.0,175.0,0.0,124.0,9.0,2.0,1.0,,4.0,60.0,43.0,3.0,65.0,2.0,,19.0,2.0,2.0,165.0,10.0,82.0,596.0,7.0,,20.0,26.0,,16.0,21.0,1.0,1.0,1.0,3.0,6.0,18.0,83.0,98769,5.0,110.0,14.0,,130.0,1.0,12.0,65.0,2.0,4.0,13.0,6.0,5.0,2.0,59.0,279.0,17.0,10.0,42.0,110.0,,2.0,0.0,2.0,5.0,2.0,1.0,2.0,0.0,6.0,1.0,2.0,52.0,15.0,,,4.0,3.0,62.0,7.0,,5.0,375.0,13.0,15.0,9.0,6.0,20.0,,4.0,269.0,9.0,3.0,14.0,76.0,22.0,2.0,10.0,18.0,2.0,2.0,14.0,2.0,7.0,,5.0,,3.0,,1.0,,3.0,,,14.0,,2.0,,,1.0,,,5.0,1.0,2.0,3.0,,9.0,,,,1.0,,2.0,,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
37,360833,2012-05-06 14:00:00,"Craven Cottage, London",25683,Away,Sunderland,Fulham,1,2,L,1,2,0,0,,58.0,1.0,,1.0,38.0,26.0,7.0,1.0,3.0,126.0,4.0,6.0,1.0,9.0,6.0,136.0,125.0,37.0,13.0,8.0,3.0,,1.0,2.0,1.0,3.0,14.0,17.0,2.0,13.0,2.0,23.0,42.0,209.0,0.0,116.0,13.0,1.0,,2.0,1.0,78.0,45.0,6.0,77.0,,,12.0,6.0,3.0,112.0,14.0,121.0,664.0,6.0,1.0,17.0,23.0,,1.0,14.0,1.0,2.0,0.0,9.0,3.0,22.0,68.0,98769,3.0,205.0,4.0,,215.0,1.0,10.0,47.0,3.0,7.0,19.0,8.0,3.0,1.0,56.0,410.0,8.0,9.0,7.0,88.0,1.0,1.0,0.0,2.0,8.0,6.0,,2.0,0.0,4.0,1.0,1.0,43.2,18.0,2.0,,7.0,2.0,55.0,2.0,,1.0,460.0,16.0,11.0,25.0,5.0,18.0,,2.0,259.0,10.0,22.0,4.0,89.0,23.0,1.0,8.0,19.0,,2.0,12.0,1.0,2.0,2.0,4.0,,1.0,,1.0,1.0,2.0,,,1.0,,1.0,,,2.0,,,,,,4.0,1.0,9.0,,,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,,2.0,,1.0,2.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,
38,360844,2012-05-13 15:00:00,"Stadium of Light, Sunderland",46452,Home,Sunderland,Manchester United,0,1,L,0,1,0,0,,47.0,,1.0,1.0,29.0,27.0,5.0,4.0,1.0,123.0,3.0,2.0,,5.0,2.0,71.0,146.0,46.0,8.0,11.0,,,,1.0,,1.0,13.0,17.0,2.0,16.0,1.0,14.0,32.0,146.0,0.0,89.0,14.0,3.0,,1.0,2.0,43.0,58.0,3.0,62.0,1.0,1.0,12.0,5.0,,135.0,13.0,81.0,525.0,4.0,,21.0,20.0,,7.0,12.0,,1.0,3.0,4.0,2.0,20.0,56.0,98769,3.0,111.0,5.0,,132.0,,9.0,56.0,,3.0,6.0,8.0,4.0,,55.0,254.0,11.0,7.0,23.0,73.0,,1.0,0.0,,9.0,5.0,,1.0,0.0,2.0,,1.0,35.5,15.0,,1.0,5.0,4.0,32.0,1.0,,2.0,337.0,15.0,14.0,16.0,2.0,11.0,1.0,2.0,218.0,3.0,11.0,13.0,54.0,14.0,3.0,7.0,20.0,1.0,3.0,12.0,3.0,1.0,,1.0,1.0,3.0,,,,2.0,,,11.0,,,,,1.0,,,2.0,,1.0,2.0,,6.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
