gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attPenTarget,totalScoringAtt,aerialLost,attIboxTarget,attObxLeft,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvHighLeft,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attObxRight,possWonAtt3rd,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,attLgLeft,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,attIboxBlocked,attLfGoal,goals,attCmissRight,attOboxBlocked,attBxRight,goalAssistOpenplay,midfielderGoals,attPostLeft,attHdPost,goalAssist,attRfGoal,defenderGoals,goalsOpenplay,attMissHigh,attIboxGoal,attOboxPost,goalAssistIntentional,foulThrowIn,attBxLeft,attSvHighCentre,blockedScoringAtt,goalsConcededIbox,errorLeadToGoal,attGoalLowRight,attFreekickTotal,accurateKeeperSweeper,attOneOnOne,attMissHighRight,cleanSheet,attOboxGoal,freekickTotal,attHdTarget,attMissHighLeft,attFreekickGoal,attFreekickTarget,shieldBallOop,attCmissHigh,attFreekickMiss,attemptsIbox,attemptsObox,touchesInOppBox,accurateThroughBall,attCorner,clearanceOffLine,sixYardBlock,punches,contentiousDecision,accuratePullBack,totalPullBack,attGoalHighLeft,forwardGoals,attGoalHighCentre,attLgCentre,attPenGoal,shotFastbreak,attCmissHighLeft,attFastbreak,goalAssistSetplay,goalAssistDeadball,attGoalHighRight,attCmissHighRight,attGoalLowCentre,penaltyConceded,penaltyFaced,penGoalsConceded,ownGoals,attPostRight,attIboxOwnGoal,attHdGoal,secondYellow,goalFastbreak,penaltySave
29,695187,2014-03-08 15:00:00,"Carrow Road, Norwich",26646,Away,Stoke City,Norwich City,1,1,D,0,0,1,0,,,,65.0,3.0,34.0,42.0,3.0,1.0,4.0,2.0,150.0,1.0,4.0,2.0,4.0,3.0,84.0,151.0,60.0,,6.0,22.0,1.0,,,1.0,1.0,11.0,,14.0,1.0,42.0,1.0,16.0,48.0,146.0,1.0,0.0,91.0,12.0,2.0,,,1.0,,3.0,59.0,58.0,3.0,53.0,,,10.0,9.0,6.0,1.0,151.0,,5.0,81.0,563.0,4.0,15.0,,10.0,257.0,26.0,9.0,27.0,1.0,2.0,2.0,1.0,22.0,354.0,63.0,,,82970,2.0,122.0,,4.0,,144.0,4.0,9.0,12.0,55.0,,1.0,6.0,17.0,8.0,9.0,65.0,267.0,9.0,8.0,,22.0,97.0,,1.0,0.0,,3.0,1.0,,1.0,7.0,1.0,,,47.5,17.0,,,2.0,6.0,55.0,1.0,3.0,368.0,10.0,10.0,24.0,,2.0,22.0,1.0,1.0,235.0,5.0,14.0,28.0,48.0,25.0,3.0,27.0,20.0,4.0,3.0,8.0,3.0,4.0,1.0,1.0,,,,1.0,,1.0,,,,,,,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,3.0,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,
30,695197,2014-03-15 15:00:00,"bet365 Stadium, Stoke",27015,Home,Stoke City,West Ham United,3,1,W,1,1,0,0,,1.0,,41.0,,29.0,42.0,5.0,1.0,1.0,5.0,148.0,6.0,8.0,1.0,13.0,9.0,97.0,130.0,71.0,,16.0,24.0,4.0,,,,2.0,16.0,,17.0,2.0,42.0,5.0,23.0,33.0,195.0,,0.0,106.0,13.0,1.0,2.0,1.0,,1.0,4.0,40.0,84.0,10.0,62.0,,,11.0,17.0,5.0,1.0,130.0,2.0,5.0,68.0,606.0,10.0,11.0,1.0,8.0,286.0,14.0,12.0,23.0,1.0,1.0,4.0,3.0,25.0,353.0,54.0,1.0,,82970,5.0,112.0,2.0,5.0,,124.0,7.0,17.0,12.0,61.0,2.0,1.0,3.0,14.0,3.0,6.0,53.0,301.0,13.0,11.0,2.0,25.0,91.0,4.0,1.0,0.0,5.0,4.0,1.0,,1.0,6.0,0.0,3.0,2.0,54.7,20.0,1.0,,,4.0,52.0,6.0,5.0,375.0,8.0,9.0,19.0,,3.0,19.0,3.0,2.0,267.0,13.0,21.0,29.0,76.0,16.0,4.0,23.0,24.0,12.0,1.0,13.0,4.0,11.0,6.0,1.0,,2.0,1.0,3.0,,2.0,3.0,1.0,,,,1.0,2.0,,2.0,1.0,3.0,,1.0,,1.0,1.0,4.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,3.0,1.0,,,,,1.0,,,1.0,1.0,,,,,3.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,
31,695201,2014-03-23 16:00:00,"Villa Park, Birmingham",30292,Away,Stoke City,Aston Villa,4,1,W,3,1,0,0,,,1.0,60.0,1.0,34.0,36.0,6.0,3.0,2.0,,173.0,2.0,9.0,2.0,8.0,5.0,104.0,147.0,67.0,,10.0,7.0,,,,,1.0,8.0,,11.0,1.0,36.0,3.0,22.0,47.0,166.0,,0.0,105.0,10.0,1.0,,,,1.0,2.0,46.0,70.0,5.0,94.0,,1.0,5.0,9.0,1.0,3.0,147.0,3.0,7.0,108.0,673.0,4.0,14.0,,11.0,372.0,29.0,14.0,25.0,,1.0,4.0,3.0,19.0,460.0,64.0,,,82970,4.0,220.0,,3.0,,243.0,6.0,9.0,6.0,42.0,,4.0,2.0,13.0,5.0,5.0,60.0,384.0,15.0,6.0,1.0,28.0,88.0,,,0.0,,5.0,1.0,,1.0,3.0,0.0,,1.0,49.6,11.0,1.0,,,2.0,46.0,3.0,2.0,479.0,11.0,16.0,25.0,,4.0,12.0,2.0,1.0,244.0,6.0,22.0,29.0,57.0,26.0,6.0,25.0,14.0,8.0,1.0,13.0,6.0,7.0,3.0,3.0,1.0,,1.0,4.0,,1.0,,3.0,1.0,,,3.0,3.0,1.0,4.0,,3.0,,3.0,,,1.0,1.0,1.0,,1.0,1.0,,,2.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,2.0,,,,,,,,,,
32,695217,2014-03-29 15:00:00,"bet365 Stadium, Stoke",27029,Home,Stoke City,Hull City,1,0,W,0,0,0,0,,,1.0,71.0,2.0,32.0,23.0,10.0,3.0,3.0,1.0,181.0,3.0,7.0,1.0,11.0,3.0,124.0,158.0,64.0,,15.0,25.0,,,,,3.0,16.0,,17.0,2.0,23.0,6.0,23.0,50.0,205.0,,0.0,144.0,9.0,2.0,,,,,4.0,60.0,80.0,7.0,91.0,1.0,2.0,10.0,16.0,1.0,4.0,158.0,,3.0,126.0,722.0,10.0,10.0,,16.0,406.0,24.0,5.0,17.0,,2.0,,4.0,22.0,510.0,77.0,,,82970,4.0,211.0,,9.0,,229.0,3.0,16.0,7.0,56.0,1.0,3.0,8.0,9.0,2.0,3.0,61.0,413.0,8.0,8.0,1.0,26.0,115.0,1.0,1.0,0.0,2.0,1.0,1.0,,,4.0,0.0,1.0,1.0,55.9,19.0,1.0,,4.0,8.0,65.0,8.0,4.0,522.0,16.0,7.0,31.0,,6.0,15.0,2.0,2.0,309.0,11.0,23.0,27.0,87.0,33.0,1.0,17.0,24.0,11.0,3.0,15.0,1.0,11.0,8.0,,1.0,2.0,1.0,1.0,,4.0,,,,,,,,,1.0,1.0,,,,,,1.0,6.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
33,695223,2014-04-05 17:30:00,"Stamford Bridge, London",41168,Away,Stoke City,Chelsea,0,3,L,0,1,0,0,1.0,1.0,2.0,68.0,2.0,32.0,31.0,4.0,4.0,5.0,,144.0,2.0,2.0,2.0,4.0,2.0,110.0,140.0,56.0,,4.0,11.0,,,,,,10.0,,22.0,2.0,31.0,2.0,19.0,16.0,164.0,,0.0,81.0,18.0,4.0,,,,5.0,3.0,49.0,69.0,2.0,93.0,,1.0,8.0,15.0,2.0,1.0,140.0,1.0,10.0,112.0,662.0,3.0,6.0,,9.0,370.0,22.0,8.0,16.0,1.0,0.0,1.0,1.0,16.0,445.0,53.0,1.0,1.0,82970,,217.0,1.0,1.0,,238.0,11.0,15.0,13.0,65.0,,1.0,9.0,13.0,8.0,8.0,64.0,379.0,8.0,10.0,,29.0,95.0,2.0,,0.0,1.0,7.0,3.0,,3.0,2.0,0.0,1.0,,48.8,11.0,,,1.0,9.0,60.0,3.0,3.0,459.0,9.0,18.0,7.0,,1.0,10.0,1.0,,231.0,,15.0,17.0,51.0,28.0,4.0,16.0,31.0,4.0,3.0,11.0,4.0,8.0,3.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0
34,695236,2014-04-12 15:07:00,"bet365 Stadium, Stoke",27400,Home,Stoke City,Newcastle United,1,0,W,1,0,0,0,,,,57.0,1.0,35.0,40.0,3.0,4.0,1.0,1.0,140.0,4.0,5.0,2.0,8.0,3.0,116.0,149.0,56.0,,10.0,19.0,1.0,1.0,1.0,1.0,,21.0,1.0,12.0,1.0,40.0,4.0,29.0,38.0,198.0,,0.0,139.0,12.0,1.0,1.0,,,,3.0,85.0,85.0,4.0,69.0,2.0,2.0,17.0,17.0,5.0,2.0,149.0,3.0,7.0,116.0,664.0,6.0,15.0,1.0,11.0,345.0,23.0,5.0,21.0,1.0,1.0,5.0,4.0,22.0,429.0,68.0,,,82970,4.0,162.0,3.0,12.0,,179.0,6.0,17.0,13.0,64.0,,2.0,6.0,17.0,6.0,9.0,52.0,356.0,11.0,14.0,1.0,18.0,82.0,1.0,,0.0,,5.0,,,,4.0,0.0,3.0,3.0,48.9,17.0,1.0,,2.0,6.0,54.0,4.0,3.0,441.0,11.0,14.0,23.0,,5.0,10.0,1.0,2.0,283.0,3.0,28.0,27.0,88.0,25.0,,21.0,17.0,8.0,2.0,10.0,,8.0,4.0,,,2.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,2.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,4.0,,1.0,,,,,,,1.0,,,1.0,2.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,
35,695242,2014-04-19 15:00:00,"Cardiff City Stadium, Cardiff",27686,Away,Stoke City,Cardiff City,1,1,D,1,0,0,0,,,1.0,56.0,1.0,49.0,25.0,8.0,3.0,3.0,2.0,182.0,7.0,11.0,2.0,12.0,5.0,122.0,133.0,53.0,,15.0,11.0,2.0,,1.0,,2.0,27.0,,13.0,2.0,25.0,7.0,32.0,49.0,238.0,1.0,0.0,148.0,12.0,3.0,1.0,,2.0,1.0,1.0,89.0,60.0,7.0,83.0,1.0,,20.0,18.0,8.0,4.0,133.0,1.0,8.0,129.0,714.0,10.0,13.0,1.0,16.0,433.0,23.0,4.0,19.0,2.0,3.0,6.0,5.0,18.0,505.0,76.0,1.0,,77305,5.0,209.0,1.0,11.0,,224.0,5.0,18.0,4.0,49.0,1.0,,6.0,12.0,5.0,1.0,68.0,440.0,6.0,14.0,2.0,13.0,82.0,1.0,1.0,0.0,1.0,12.0,2.0,1.0,1.0,5.0,0.0,4.0,2.0,56.7,12.0,1.0,,1.0,6.0,50.0,7.0,1.0,516.0,16.0,6.0,25.0,,6.0,16.0,3.0,1.0,319.0,10.0,30.0,17.0,108.0,24.0,3.0,19.0,19.0,10.0,3.0,19.0,3.0,7.0,7.0,1.0,,3.0,,1.0,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,2.0,1.0,4.0,1.0,,,,2.0,,2.0,,,,1.0,,,,1.0,,,,,,,,,1.0,2.0,,,1.0,,1.0,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,
36,695257,2014-04-26 15:00:00,"bet365 Stadium, Stoke",26021,Home,Stoke City,Tottenham Hotspur,0,1,L,0,1,1,0,,,2.0,68.0,1.0,23.0,25.0,8.0,4.0,3.0,1.0,166.0,5.0,7.0,2.0,15.0,3.0,98.0,163.0,48.0,,17.0,7.0,1.0,1.0,,2.0,3.0,17.0,,17.0,2.0,25.0,4.0,25.0,35.0,185.0,,0.0,140.0,11.0,2.0,1.0,,,1.0,,51.0,86.0,5.0,53.0,1.0,3.0,13.0,26.0,4.0,4.0,163.0,2.0,8.0,90.0,614.0,15.0,10.0,,7.0,294.0,26.0,6.0,10.0,,1.0,7.0,10.0,22.0,396.0,63.0,1.0,,77305,3.0,123.0,2.0,8.0,,150.0,5.0,26.0,11.0,53.0,,4.0,7.0,7.0,8.0,7.0,48.0,303.0,5.0,10.0,,21.0,88.0,1.0,,0.0,2.0,3.0,2.0,,1.0,1.0,1.0,5.0,3.0,50.5,18.0,3.0,,5.0,7.0,51.0,4.0,,407.0,7.0,12.0,18.0,,10.0,16.0,,6.0,274.0,10.0,19.0,14.0,94.0,27.0,2.0,10.0,22.0,16.0,2.0,20.0,2.0,10.0,4.0,,,1.0,,,2.0,3.0,3.0,,,,,,,,,1.0,,,,1.0,1.0,,4.0,1.0,,,1.0,,,2.0,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
37,695268,2014-05-03 15:00:00,"bet365 Stadium, Stoke",27429,Home,Stoke City,Fulham,4,1,W,1,0,0,0,,,2.0,78.0,1.0,34.0,22.0,12.0,7.0,1.0,2.0,194.0,4.0,21.0,3.0,20.0,8.0,155.0,133.0,67.0,,23.0,12.0,2.0,,,1.0,2.0,23.0,,14.0,2.0,22.0,1.0,35.0,45.0,287.0,,0.0,163.0,9.0,,6.0,1.0,2.0,1.0,4.0,89.0,85.0,12.0,104.0,2.0,2.0,22.0,12.0,4.0,7.0,133.0,3.0,5.0,146.0,816.0,16.0,10.0,1.0,9.0,507.0,31.0,4.0,15.0,1.0,0.0,5.0,8.0,25.0,583.0,62.0,,1.0,77305,4.0,237.0,,17.0,2.0,249.0,4.0,12.0,5.0,49.0,1.0,2.0,9.0,9.0,5.0,2.0,52.0,520.0,10.0,11.0,1.0,12.0,92.0,,,0.0,2.0,5.0,,,1.0,5.0,0.0,4.0,,63.3,23.0,,,7.0,9.0,66.0,3.0,4.0,599.0,9.0,9.0,27.0,,9.0,17.0,,2.0,373.0,16.0,33.0,21.0,120.0,30.0,1.0,15.0,15.0,20.0,3.0,29.0,1.0,7.0,3.0,4.0,2.0,3.0,2.0,4.0,1.0,3.0,3.0,3.0,1.0,,,3.0,2.0,,4.0,2.0,4.0,,3.0,,2.0,,6.0,1.0,,,1.0,1.0,,2.0,,,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,4.0,5.0,,3.0,1.0,,,2.0,,2.0,,,,,1.0,,,,,,,,,2.0,
38,695280,2014-05-11 15:00:00,"The Hawthorns, West Bromwich",26613,Away,Stoke City,West Bromwich Albion,2,1,W,1,0,0,0,,,1.0,62.0,1.0,38.0,30.0,9.0,4.0,3.0,2.0,160.0,4.0,16.0,1.0,12.0,4.0,122.0,124.0,45.0,,14.0,8.0,1.0,1.0,1.0,,3.0,12.0,,15.0,2.0,30.0,6.0,23.0,43.0,220.0,,0.0,139.0,7.0,2.0,1.0,,,,5.0,84.0,59.0,5.0,81.0,1.0,2.0,6.0,11.0,2.0,4.0,124.0,1.0,11.0,133.0,698.0,10.0,5.0,1.0,10.0,405.0,32.0,4.0,8.0,,0.0,5.0,7.0,18.0,484.0,57.0,,,61595,1.0,197.0,1.0,4.0,,211.0,2.0,11.0,10.0,38.0,,3.0,8.0,10.0,7.0,8.0,57.0,413.0,3.0,6.0,1.0,12.0,90.0,2.0,1.0,0.0,,11.0,2.0,,1.0,3.0,0.0,1.0,1.0,57.0,17.0,1.0,,4.0,8.0,57.0,6.0,5.0,496.0,10.0,9.0,26.0,,7.0,10.0,3.0,2.0,297.0,9.0,22.0,8.0,97.0,13.0,4.0,8.0,18.0,14.0,3.0,24.0,4.0,1.0,6.0,,,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,,,,1.0,3.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,
