gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowLeft,attLfGoal,goals,goalAssistOpenplay,cleanSheet,attOboxGoal,attOboxMiss,goalAssist,attRfGoal,totalThroughBall,accurateKeeperThrows,goalsOpenplay,attGoalHighLeft,punches,goalAssistIntentional,keeperThrows,forwardGoals,goalsConcededObox,attIboxBlocked,errorLeadToShot,sixYardBlock,attAssistSetplay,attCorner,attBxLeft,attLfTarget,attGoalLowRight,midfielderGoals,attSvLowLeft,ptsDroppedWinningPos,attCmissRight,attHdTarget,ownGoals,attFreekickTarget,attIboxOwnGoal,goalAssistSetplay,goalAssistDeadball,totalPullBack,defenderGoals,attIboxGoal,attSvHighCentre,attHdGoal,postScoringAtt,accurateKeeperSweeper,attIboxPost,contentiousDecision,attHdPost,hitWoodwork,totalKeeperSweeper,attPostHigh,foulThrowIn,bigChanceScored,attGoalLowCentre,penaltyWon,penaltyConceded,attPenGoal,penaltyFaced,penGoalsConceded,goalFastbreak,attLgCentre,attOboxPost,accurateFreekickCross,attGoalHighCentre,attMissHighLeft,errorLeadToGoal,shieldBallOop,attGoalHighRight,penaltySave,attOneOnOne,accurateThroughBall,accuratePullBack,attFreekickGoal,attSvHighLeft,ptsGainedLosingPos,secondYellow,attObxLeft,attFreekickMiss,attFreekickPost
27,855437,2017-03-04 15:00:00,"Swansea.com Stadium, Swansea",20679,Away,Burnley,Swansea City,2,3,L,1,1,0,0,46.0,3.0,24.0,64.0,2.0,1.0,4.0,5.0,2.0,115.0,3.0,1.0,1.0,4.0,4.0,41.0,116.0,59.0,,6.0,,24.0,1.0,,,1.0,,5.0,18.0,1.0,64.0,2.0,10.0,12.0,86.0,,1.0,0.0,89.0,13.0,4.0,,,,33.0,32.0,2.0,39.0,2.0,1.0,3.0,16.0,2.0,,2.0,116.0,,16.0,53.0,450.0,3.0,14.0,7.0,13.0,154.0,24.0,16.0,37.0,2.0,5.0,2.0,20.0,223.0,61.0,98747,3.0,79.0,,1.0,,91.0,6.0,16.0,11.0,66.0,,1.0,13.0,8.0,3.0,1.0,75.0,162.0,6.0,21.0,45.0,72.0,,,,0.0,2.0,10.0,3.0,3.0,5.0,0.0,1.0,1.0,28.7,16.0,1.0,2.0,,1.0,28.0,2.0,,248.0,13.0,5.0,4.0,2.0,12.0,2.0,1.0,162.0,4.0,10.0,26.0,39.0,15.0,7.0,37.0,27.0,3.0,5.0,3.0,4.0,7.0,10.0,2.0,,,1.0,2.0,1.0,,,1.0,1.0,1.0,,,1.0,,2.0,1.0,,2.0,,,,,,,1.0,,1.0,,,3.0,1.0,,,,,,,,,2.0,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
28,855183,2017-03-12 16:00:00,"Anfield, Liverpool",53145,Away,Burnley,Liverpool,1,2,L,1,1,0,0,61.0,,33.0,53.0,5.0,4.0,6.0,1.0,,132.0,3.0,1.0,1.0,5.0,1.0,56.0,160.0,69.0,,11.0,,26.0,,,,,3.0,15.0,17.0,,53.0,1.0,2.0,27.0,109.0,1.0,,0.0,120.0,16.0,1.0,,,,39.0,47.0,1.0,56.0,2.0,,14.0,15.0,5.0,,10.0,160.0,1.0,6.0,65.0,509.0,3.0,8.0,16.0,12.0,185.0,22.0,11.0,36.0,2.0,5.0,4.0,17.0,283.0,86.0,90517,2.0,88.0,,4.0,5.0,108.0,8.0,15.0,6.0,51.0,,3.0,15.0,4.0,1.0,4.0,97.0,194.0,12.0,6.0,52.0,106.0,,,,0.0,1.0,11.0,1.0,2.0,1.0,0.0,3.0,,36.1,9.0,,3.0,2.0,,40.0,1.0,,309.0,12.0,3.0,10.0,8.0,32.0,,3.0,216.0,7.0,2.0,34.0,54.0,25.0,4.0,36.0,26.0,1.0,2.0,3.0,4.0,4.0,8.0,1.0,,1.0,,1.0,1.0,,,5.0,1.0,1.0,1.0,5.0,1.0,,2.0,1.0,5.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
29,855458,2017-03-18 15:00:00,"Stadium of Light, Sunderland",41518,Away,Burnley,Sunderland,0,0,D,0,0,0,0,58.0,1.0,40.0,37.0,6.0,7.0,9.0,5.0,2.0,168.0,7.0,7.0,4.0,11.0,3.0,75.0,164.0,59.0,1.0,16.0,2.0,24.0,2.0,,1.0,2.0,,21.0,4.0,1.0,37.0,5.0,10.0,18.0,175.0,3.0,,0.0,157.0,7.0,2.0,,2.0,1.0,58.0,49.0,5.0,63.0,1.0,4.0,16.0,7.0,7.0,1.0,9.0,164.0,1.0,7.0,78.0,589.0,9.0,19.0,27.0,9.0,260.0,19.0,16.0,28.0,1.0,2.0,6.0,28.0,360.0,94.0,91979,6.0,104.0,1.0,5.0,2.0,117.0,2.0,7.0,8.0,50.0,,1.0,12.0,7.0,4.0,,92.0,272.0,13.0,4.0,56.0,95.0,,,,0.0,2.0,3.0,4.0,,7.0,0.0,3.0,2.0,56.0,20.0,2.0,3.0,6.0,,40.0,5.0,1.0,384.0,9.0,9.0,7.0,7.0,49.0,4.0,3.0,288.0,7.0,10.0,31.0,85.0,27.0,2.0,28.0,9.0,,10.0,2.0,13.0,2.0,5.0,5.0,,,,,,1.0,,4.0,,,1.0,2.0,,,,,2.0,,,4.0,,,2.0,3.0,2.0,1.0,,,1.0,,2.0,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,1.0,
30,855463,2017-04-01 15:00:00,"Turf Moor, Burnley",21684,Home,Burnley,Tottenham Hotspur,0,2,L,0,0,0,0,63.0,2.0,40.0,27.0,8.0,5.0,5.0,5.0,1.0,158.0,8.0,3.0,1.0,11.0,2.0,69.0,161.0,56.0,,13.0,4.0,17.0,1.0,,,2.0,2.0,20.0,17.0,1.0,27.0,3.0,11.0,37.0,163.0,,,0.0,150.0,9.0,3.0,,,,61.0,37.0,6.0,54.0,1.0,2.0,17.0,19.0,8.0,,9.0,161.0,,10.0,80.0,547.0,11.0,11.0,14.0,9.0,234.0,24.0,16.0,14.0,2.0,5.0,5.0,23.0,338.0,88.0,91979,4.0,93.0,,8.0,1.0,107.0,6.0,19.0,11.0,48.0,,5.0,6.0,9.0,7.0,1.0,79.0,248.0,6.0,10.0,40.0,95.0,,,1.0,0.0,,7.0,3.0,2.0,2.0,0.0,6.0,3.0,39.0,10.0,2.0,5.0,5.0,,49.0,3.0,,361.0,9.0,7.0,18.0,6.0,39.0,2.0,3.0,274.0,5.0,9.0,24.0,85.0,26.0,3.0,14.0,24.0,2.0,10.0,3.0,8.0,3.0,12.0,3.0,,,,,,,,3.0,,,1.0,3.0,,,,,3.0,,,1.0,3.0,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,
31,855473,2017-04-04 19:45:00,"Turf Moor, Burnley",19881,Home,Burnley,Stoke City,1,0,W,0,0,0,0,55.0,1.0,42.0,41.0,3.0,3.0,4.0,2.0,1.0,182.0,4.0,9.0,4.0,4.0,3.0,68.0,175.0,68.0,,7.0,2.0,38.0,1.0,,,,,13.0,7.0,1.0,41.0,3.0,14.0,46.0,118.0,1.0,,0.0,125.0,9.0,,,2.0,,27.0,65.0,3.0,56.0,3.0,,10.0,14.0,3.0,,3.0,175.0,,8.0,66.0,580.0,2.0,16.0,16.0,24.0,228.0,24.0,13.0,24.0,3.0,6.0,1.0,21.0,339.0,87.0,98747,3.0,128.0,,5.0,1.0,147.0,4.0,14.0,13.0,72.0,,4.0,17.0,7.0,5.0,,98.0,242.0,15.0,16.0,36.0,94.0,,1.0,,0.0,1.0,5.0,1.0,,3.0,0.0,4.0,1.0,48.1,17.0,,4.0,3.0,,41.0,3.0,,372.0,24.0,8.0,15.0,1.0,28.0,,1.0,238.0,3.0,12.0,35.0,52.0,15.0,2.0,24.0,10.0,,6.0,3.0,11.0,2.0,8.0,3.0,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,7.0,1.0,,,1.0,7.0,,,1.0,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,
32,855486,2017-04-08 15:00:00,"Riverside Stadium, Middlesbrough",29547,Away,Burnley,Middlesbrough,0,0,D,0,0,0,0,63.0,1.0,33.0,22.0,2.0,5.0,5.0,3.0,,133.0,6.0,5.0,2.0,5.0,2.0,76.0,124.0,45.0,2.0,7.0,,30.0,2.0,,1.0,1.0,1.0,17.0,12.0,,22.0,3.0,7.0,13.0,140.0,,,0.0,118.0,12.0,2.0,,,1.0,53.0,50.0,2.0,52.0,5.0,1.0,14.0,14.0,2.0,2.0,7.0,124.0,1.0,8.0,79.0,503.0,4.0,7.0,14.0,16.0,250.0,24.0,7.0,11.0,3.0,5.0,3.0,17.0,322.0,66.0,98747,4.0,125.0,1.0,7.0,,136.0,7.0,14.0,6.0,60.0,1.0,2.0,10.0,5.0,3.0,2.0,80.0,259.0,8.0,8.0,45.0,84.0,,,,0.0,2.0,4.0,4.0,,1.0,0.0,4.0,1.0,42.7,11.0,,4.0,,2.0,40.0,3.0,1.0,340.0,16.0,9.0,7.0,5.0,28.0,2.0,3.0,221.0,1.0,6.0,17.0,67.0,27.0,2.0,11.0,16.0,,4.0,2.0,8.0,2.0,8.0,3.0,,,,,,1.0,,1.0,,,,2.0,,,,,2.0,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,1.0
33,855493,2017-04-15 15:00:00,"Goodison Park, Liverpool",39328,Away,Burnley,Everton,1,3,L,0,0,0,0,56.0,,32.0,24.0,5.0,6.0,7.0,5.0,2.0,153.0,5.0,6.0,5.0,5.0,6.0,45.0,157.0,71.0,2.0,13.0,2.0,17.0,4.0,,2.0,3.0,1.0,22.0,19.0,1.0,24.0,6.0,7.0,31.0,115.0,,,0.0,120.0,14.0,2.0,,2.0,1.0,51.0,21.0,3.0,50.0,2.0,1.0,16.0,12.0,6.0,2.0,9.0,157.0,,17.0,53.0,507.0,4.0,9.0,18.0,15.0,183.0,27.0,18.0,9.0,0.0,13.0,2.0,21.0,275.0,72.0,98747,1.0,87.0,,5.0,2.0,116.0,7.0,12.0,5.0,50.0,1.0,,9.0,13.0,,1.0,74.0,197.0,15.0,6.0,43.0,74.0,,,,0.0,,6.0,5.0,3.0,3.0,0.0,2.0,2.0,36.8,12.0,,3.0,3.0,,35.0,7.0,1.0,301.0,15.0,15.0,14.0,4.0,41.0,3.0,1.0,207.0,5.0,6.0,26.0,68.0,20.0,3.0,9.0,25.0,3.0,5.0,3.0,9.0,3.0,5.0,7.0,4.0,1.0,,1.0,,,,3.0,,1.0,2.0,2.0,,,2.0,,2.0,1.0,,1.0,,,1.0,3.0,2.0,1.0,,,,,,2.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,2.0,,,,,
34,855504,2017-04-23 14:15:00,"Turf Moor, Burnley",21870,Home,Burnley,Manchester United,0,2,L,0,2,0,0,59.0,1.0,40.0,10.0,4.0,5.0,4.0,4.0,,176.0,4.0,10.0,1.0,8.0,,86.0,180.0,76.0,,8.0,3.0,15.0,,,,,1.0,22.0,24.0,,10.0,3.0,3.0,33.0,152.0,,,0.0,126.0,17.0,4.0,,1.0,1.0,53.0,53.0,3.0,47.0,1.0,2.0,19.0,15.0,4.0,,7.0,180.0,1.0,7.0,76.0,590.0,6.0,9.0,18.0,6.0,256.0,19.0,14.0,4.0,2.0,3.0,4.0,25.0,354.0,77.0,98747,2.0,126.0,1.0,11.0,3.0,148.0,12.0,15.0,11.0,64.0,,3.0,21.0,5.0,5.0,1.0,88.0,274.0,15.0,15.0,42.0,102.0,,,,0.0,2.0,3.0,3.0,2.0,4.0,0.0,1.0,1.0,45.7,18.0,1.0,4.0,4.0,,49.0,3.0,1.0,385.0,6.0,12.0,20.0,4.0,36.0,3.0,3.0,259.0,2.0,3.0,20.0,77.0,27.0,3.0,4.0,32.0,2.0,5.0,3.0,16.0,3.0,11.0,3.0,,,,,,,,1.0,,,,2.0,,,,,2.0,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,855512,2017-04-29 17:30:00,"Selhurst Park, London",25013,Away,Burnley,Crystal Palace,2,0,W,1,0,0,0,53.0,2.0,40.0,51.0,3.0,3.0,6.0,5.0,,138.0,9.0,,2.0,8.0,3.0,43.0,147.0,57.0,,9.0,2.0,26.0,1.0,,1.0,1.0,1.0,18.0,14.0,,51.0,4.0,8.0,17.0,118.0,,,0.0,119.0,12.0,3.0,,2.0,,59.0,32.0,6.0,46.0,2.0,,14.0,20.0,3.0,,5.0,147.0,2.0,11.0,46.0,484.0,6.0,11.0,25.0,8.0,162.0,26.0,21.0,33.0,0.0,4.0,2.0,18.0,246.0,77.0,98747,3.0,67.0,,7.0,1.0,87.0,4.0,20.0,12.0,68.0,,1.0,12.0,4.0,6.0,1.0,83.0,176.0,10.0,18.0,51.0,84.0,,,,0.0,1.0,14.0,3.0,,3.0,0.0,5.0,2.0,36.5,4.0,1.0,2.0,4.0,,45.0,4.0,,273.0,8.0,10.0,13.0,2.0,29.0,4.0,1.0,204.0,4.0,6.0,30.0,60.0,21.0,5.0,33.0,21.0,,8.0,2.0,3.0,5.0,17.0,4.0,1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,1.0,1.0,,2.0,,,2.0,,1.0,,2.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,
36,855524,2017-05-06 15:00:00,"Turf Moor, Burnley",20825,Home,Burnley,West Bromwich Albion,2,2,D,0,0,0,0,67.0,,32.0,31.0,4.0,5.0,10.0,1.0,,161.0,5.0,3.0,1.0,10.0,4.0,76.0,165.0,47.0,,14.0,3.0,34.0,1.0,,1.0,1.0,,23.0,8.0,1.0,31.0,5.0,7.0,34.0,150.0,1.0,,0.0,123.0,9.0,,,1.0,2.0,74.0,34.0,8.0,54.0,2.0,1.0,18.0,15.0,4.0,,10.0,165.0,1.0,7.0,92.0,570.0,5.0,5.0,25.0,9.0,259.0,24.0,6.0,12.0,1.0,6.0,2.0,19.0,360.0,79.0,98747,6.0,126.0,,7.0,1.0,151.0,4.0,15.0,5.0,66.0,,3.0,8.0,4.0,2.0,1.0,87.0,271.0,14.0,9.0,46.0,88.0,,1.0,,0.0,1.0,8.0,1.0,2.0,1.0,0.0,2.0,3.0,55.1,10.0,2.0,4.0,5.0,,36.0,5.0,2.0,383.0,9.0,8.0,16.0,5.0,44.0,3.0,5.0,255.0,6.0,6.0,21.0,65.0,33.0,1.0,12.0,11.0,2.0,10.0,3.0,9.0,1.0,9.0,5.0,,,,2.0,1.0,,,,2.0,1.0,,3.0,1.0,1.0,1.0,2.0,3.0,2.0,,2.0,1.0,,3.0,3.0,2.0,2.0,1.0,,,2.0,,,,,,1.0,1.0,,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,
37,855532,2017-05-13 15:00:00,"Vitality Stadium, Bournemouth",11388,Away,Burnley,Bournemouth,1,2,L,0,1,0,0,62.0,2.0,37.0,19.0,9.0,5.0,5.0,4.0,1.0,168.0,3.0,5.0,1.0,8.0,3.0,74.0,150.0,62.0,1.0,14.0,4.0,18.0,1.0,,,2.0,1.0,13.0,17.0,1.0,19.0,1.0,8.0,27.0,166.0,,,0.0,122.0,11.0,,,,,51.0,49.0,3.0,72.0,4.0,3.0,12.0,15.0,9.0,1.0,7.0,150.0,,11.0,79.0,562.0,5.0,23.0,16.0,12.0,268.0,21.0,17.0,8.0,1.0,6.0,5.0,21.0,369.0,66.0,98747,5.0,123.0,1.0,5.0,1.0,136.0,9.0,15.0,9.0,46.0,,5.0,12.0,7.0,6.0,2.0,81.0,286.0,6.0,7.0,45.0,98.0,,,,0.0,1.0,7.0,2.0,2.0,5.0,0.0,2.0,2.0,45.2,18.0,1.0,3.0,4.0,,49.0,1.0,,393.0,12.0,9.0,10.0,7.0,24.0,1.0,3.0,270.0,7.0,7.0,29.0,71.0,30.0,3.0,8.0,22.0,2.0,11.0,3.0,7.0,3.0,6.0,1.0,,1.0,,1.0,1.0,,,4.0,1.0,,1.0,1.0,1.0,,,1.0,2.0,1.0,,,,,2.0,1.0,,1.0,,,,,2.0,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,
38,855543,2017-05-21 15:00:00,"Turf Moor, Burnley",21634,Home,Burnley,West Ham United,1,2,L,1,1,0,0,45.0,1.0,35.0,20.0,5.0,3.0,4.0,2.0,,176.0,2.0,6.0,2.0,6.0,1.0,83.0,162.0,55.0,2.0,9.0,1.0,22.0,,,,,2.0,15.0,7.0,,20.0,2.0,10.0,35.0,156.0,,,0.0,128.0,11.0,1.0,,,,52.0,30.0,2.0,59.0,,1.0,13.0,12.0,5.0,2.0,7.0,162.0,3.0,6.0,78.0,563.0,5.0,11.0,16.0,7.0,266.0,20.0,20.0,8.0,2.0,5.0,4.0,24.0,371.0,81.0,98747,2.0,124.0,2.0,6.0,,143.0,9.0,12.0,7.0,56.0,,,15.0,8.0,3.0,4.0,94.0,278.0,13.0,10.0,61.0,105.0,,,,0.0,1.0,5.0,1.0,2.0,1.0,0.0,2.0,2.0,44.7,22.0,2.0,1.0,1.0,,49.0,2.0,,396.0,7.0,8.0,17.0,7.0,34.0,,3.0,268.0,4.0,9.0,25.0,68.0,17.0,5.0,8.0,12.0,2.0,5.0,3.0,11.0,5.0,8.0,2.0,,,,1.0,1.0,,,4.0,1.0,1.0,1.0,2.0,1.0,,,,2.0,1.0,,,,,,2.0,,,1.0,,,3.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
