gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attObxdLeft,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attBxRight,goalAssistOpenplay,attSvLowCentre,goalAssist,accurateFreekickCross,sixYardBlock,attSetpiece,penaltyConceded,attCmissHigh,goalsOpenplay,attGoalHighLeft,accurateFlickOn,accurateCrossNocorner,goalAssistIntentional,penaltyFaced,penGoalsConceded,attHdGoal,handBall,postScoringAtt,attIboxPost,midfielderGoals,contentiousDecision,attPostLeft,hitWoodwork,errorLeadToShot,punches,attFreekickMiss,attLfGoal,attMissHighRight,attOboxGoal,attHdTarget,attCmissHighLeft,clearanceOffLine,attPostRight,errorLeadToGoal,shotFastbreak,goalFastbreak,cleanSheet,totalFastbreak,attSvHighLeft,attLgCentre,attFastbreak,attFreekickGoal,attOneOnOne,attGoalHighCentre,penaltySave,ownGoals,attIboxOwnGoal,attPenTarget,ptsGainedLosingPos,attGoalHighRight,attCmissHighRight,shieldBallOop,attSvHighCentre,ptsDroppedWinningPos,goalsConcededObox,attPostHigh,defenderGoals,attOboxPost,foulThrowIn,attObxdRight,attFreekickPost
27,855436,2017-03-05 16:00:00,"Stadium of Light, Sunderland",41107,Away,Manchester City,Sunderland,2,0,W,1,0,0,0,2.0,2.0,64.0,,,1.0,23.0,21.0,6.0,5.0,8.0,3.0,3.0,207.0,2.0,9.0,2.0,3.0,12.0,,,7.0,183.0,129.0,48.0,,14.0,1.0,9.0,3.0,1.0,1.0,14.0,12.0,2.0,21.0,2.0,22.0,34.0,304.0,,,0.0,209.0,4.0,3.0,1.0,1.0,,83.0,74.0,8.0,127.0,1.0,1.0,12.0,9.0,6.0,,,3.0,129.0,2.0,7.0,201.0,901.0,10.0,7.0,32.0,19.0,623.0,30.0,,,14.0,1.0,0.0,3.0,4.0,16.0,696.0,57.0,1.0,97299,2.0,340.0,1.0,11.0,366.0,3.0,,1.0,1.0,9.0,5.0,48.0,3.0,3.0,7.0,8.0,4.0,3.0,1.0,,44.0,642.0,11.0,10.0,1.0,12.0,,62.0,2.0,,0.0,,3.0,6.0,3.0,2.0,,0.0,1.0,70.8,15.0,1.0,3.0,2.0,7.0,2.0,45.0,4.0,,718.0,19.0,15.0,24.0,5.0,26.0,1.0,2.0,366.0,8.0,18.0,13.0,175.0,22.0,2.0,1.0,14.0,15.0,,13.0,3.0,19.0,1.0,2.0,4.0,2.0,,,,1.0,1.0,2.0,1.0,,1.0,1.0,,1.0,2.0,,6.0,1.0,1.0,,,,,,,,,,,,,,1.0,2.0,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,2.0,,,,,,,1.0,,
28,855449,2017-03-08 20:00:00,"Etihad Stadium, Manchester",52625,Home,Manchester City,Stoke City,0,0,D,0,0,0,0,1.0,,77.0,,,,20.0,27.0,7.0,6.0,5.0,2.0,,194.0,5.0,15.0,,1.0,9.0,,2.0,1.0,188.0,160.0,63.0,1.0,12.0,4.0,21.0,,,1.0,20.0,17.0,1.0,27.0,4.0,9.0,26.0,305.0,,,0.0,209.0,8.0,1.0,1.0,,,65.0,111.0,4.0,79.0,2.0,3.0,16.0,21.0,7.0,1.0,3.0,2.0,160.0,2.0,5.0,160.0,839.0,8.0,2.0,18.0,13.0,499.0,29.0,,3.0,17.0,,1.0,1.0,5.0,26.0,603.0,75.0,,97299,4.0,215.0,2.0,13.0,228.0,4.0,,,,21.0,2.0,58.0,5.0,1.0,6.0,14.0,,2.0,3.0,,47.0,515.0,11.0,11.0,1.0,15.0,2.0,73.0,,1.0,0.0,1.0,3.0,1.0,2.0,,,0.0,1.0,65.3,26.0,1.0,7.0,1.0,7.0,4.0,50.0,8.0,,621.0,13.0,13.0,8.0,7.0,40.0,2.0,5.0,413.0,5.0,8.0,16.0,139.0,34.0,,,17.0,21.0,,9.0,2.0,22.0,,10.0,8.0,,,,,,,,,,,,,1.0,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
29,855455,2017-03-19 16:30:00,"Etihad Stadium, Manchester",54449,Home,Manchester City,Liverpool,1,1,D,0,0,0,0,1.0,1.0,68.0,1.0,,2.0,26.0,18.0,1.0,3.0,12.0,3.0,1.0,177.0,7.0,16.0,1.0,2.0,11.0,1.0,3.0,3.0,146.0,154.0,58.0,,13.0,,16.0,2.0,,1.0,22.0,15.0,,18.0,8.0,10.0,33.0,243.0,,,0.0,147.0,14.0,3.0,,2.0,1.0,93.0,62.0,5.0,76.0,1.0,4.0,14.0,9.0,1.0,,,1.0,154.0,5.0,13.0,164.0,795.0,7.0,1.0,41.0,15.0,475.0,31.0,,1.0,12.0,,3.0,4.0,6.0,20.0,548.0,59.0,2.0,97299,9.0,253.0,4.0,12.0,269.0,11.0,,1.0,1.0,9.0,5.0,70.0,3.0,6.0,11.0,22.0,,4.0,1.0,,46.0,489.0,6.0,11.0,3.0,11.0,3.0,70.0,1.0,1.0,0.0,,4.0,8.0,3.0,1.0,1.0,0.0,3.0,59.5,16.0,2.0,3.0,,11.0,2.0,47.0,9.0,1.0,563.0,15.0,15.0,19.0,8.0,36.0,3.0,6.0,316.0,7.0,10.0,11.0,109.0,23.0,1.0,2.0,12.0,25.0,1.0,10.0,2.0,30.0,2.0,3.0,9.0,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,4.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,2.0,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
30,855462,2017-04-02 16:00:00,"Emirates Stadium, London",60001,Away,Manchester City,Arsenal,2,2,D,2,1,0,0,1.0,1.0,65.0,1.0,,1.0,24.0,23.0,5.0,7.0,9.0,1.0,1.0,197.0,5.0,14.0,2.0,,11.0,,2.0,5.0,113.0,165.0,62.0,,14.0,2.0,13.0,2.0,4.0,2.0,19.0,19.0,1.0,23.0,5.0,14.0,23.0,202.0,,,0.0,156.0,15.0,1.0,1.0,,1.0,69.0,68.0,5.0,84.0,3.0,3.0,14.0,14.0,5.0,,3.0,1.0,165.0,2.0,6.0,112.0,715.0,8.0,5.0,33.0,22.0,376.0,25.0,,5.0,10.0,4.0,2.0,,6.0,22.0,472.0,52.0,1.0,97299,4.0,201.0,1.0,11.0,232.0,11.0,,1.0,,14.0,13.0,64.0,1.0,6.0,4.0,9.0,2.0,7.0,,,56.0,398.0,7.0,14.0,1.0,17.0,5.0,66.0,1.0,,0.0,,,3.0,1.0,2.0,2.0,0.0,3.0,55.6,18.0,2.0,6.0,2.0,4.0,3.0,33.0,8.0,1.0,506.0,22.0,15.0,9.0,6.0,28.0,2.0,4.0,293.0,4.0,14.0,16.0,109.0,28.0,1.0,2.0,10.0,25.0,2.0,9.0,2.0,23.0,2.0,4.0,8.0,1.0,,,,1.0,2.0,1.0,2.0,,,,,,2.0,,,3.0,2.0,,,,1.0,1.0,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,1.0,,,
31,855479,2017-04-05 20:00:00,"Stamford Bridge, London",41528,Away,Manchester City,Chelsea,1,2,L,1,2,0,0,1.0,1.0,53.0,,1.0,1.0,31.0,21.0,6.0,4.0,11.0,2.0,4.0,169.0,5.0,13.0,1.0,2.0,13.0,,2.0,7.0,162.0,134.0,45.0,,17.0,3.0,15.0,4.0,,,26.0,7.0,2.0,21.0,9.0,18.0,18.0,315.0,1.0,,0.0,182.0,14.0,1.0,1.0,1.0,,122.0,79.0,8.0,103.0,,3.0,17.0,17.0,6.0,,4.0,1.0,134.0,3.0,6.0,182.0,818.0,10.0,3.0,23.0,15.0,526.0,18.0,1.0,3.0,11.0,,3.0,2.0,5.0,27.0,597.0,64.0,2.0,97299,5.0,231.0,3.0,12.0,250.0,9.0,,1.0,1.0,17.0,4.0,53.0,2.0,,3.0,17.0,4.0,2.0,2.0,,54.0,541.0,10.0,8.0,3.0,15.0,5.0,63.0,,,0.0,,2.0,2.0,1.0,1.0,2.0,0.0,3.0,60.7,25.0,2.0,7.0,3.0,3.0,4.0,49.0,9.0,,616.0,15.0,10.0,11.0,6.0,36.0,3.0,5.0,392.0,10.0,16.0,11.0,145.0,24.0,1.0,1.0,11.0,11.0,2.0,10.0,2.0,20.0,1.0,9.0,9.0,,,,1.0,,,4.0,,,,2.0,1.0,,1.0,,2.0,2.0,,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
32,855485,2017-04-08 15:00:00,"Etihad Stadium, Manchester",54393,Home,Manchester City,Hull City,3,1,W,1,0,0,0,3.0,1.0,55.0,,,5.0,38.0,23.0,8.0,12.0,15.0,,2.0,200.0,7.0,11.0,3.0,3.0,16.0,,,7.0,200.0,117.0,52.0,2.0,23.0,1.0,10.0,2.0,,4.0,18.0,17.0,3.0,23.0,4.0,24.0,26.0,389.0,,,0.0,215.0,6.0,,3.0,,,89.0,99.0,9.0,112.0,,2.0,14.0,15.0,8.0,2.0,1.0,4.0,117.0,,5.0,201.0,918.0,13.0,2.0,42.0,17.0,627.0,23.0,1.0,3.0,11.0,,0.0,2.0,7.0,27.0,693.0,70.0,1.0,97299,9.0,262.0,1.0,13.0,275.0,1.0,,1.0,,15.0,6.0,41.0,4.0,1.0,2.0,12.0,2.0,4.0,3.0,,52.0,644.0,8.0,5.0,2.0,9.0,3.0,62.0,,2.0,0.0,2.0,2.0,3.0,,3.0,1.0,0.0,2.0,67.4,26.0,1.0,8.0,2.0,2.0,6.0,42.0,7.0,,713.0,17.0,15.0,16.0,10.0,37.0,3.0,6.0,456.0,9.0,23.0,11.0,179.0,21.0,1.0,3.0,11.0,22.0,1.0,18.0,3.0,17.0,3.0,7.0,7.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,2.0,,,4.0,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,2.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,
33,855496,2017-04-15 17:30:00,"St. Mary's Stadium, Southampton",31850,Away,Manchester City,Southampton,3,0,W,0,0,0,0,1.0,3.0,62.0,1.0,,3.0,17.0,15.0,7.0,6.0,11.0,1.0,1.0,184.0,6.0,9.0,3.0,1.0,10.0,,1.0,5.0,160.0,132.0,38.0,,18.0,3.0,10.0,,,1.0,22.0,10.0,2.0,15.0,7.0,21.0,21.0,288.0,,,0.0,166.0,8.0,,,1.0,,84.0,67.0,6.0,114.0,2.0,4.0,15.0,22.0,7.0,,1.0,2.0,132.0,3.0,5.0,170.0,809.0,6.0,4.0,33.0,16.0,532.0,19.0,,,7.0,,0.0,3.0,4.0,17.0,609.0,55.0,,61366,5.0,265.0,1.0,13.0,288.0,5.0,,,,22.0,8.0,47.0,,,3.0,8.0,3.0,6.0,2.0,,38.0,547.0,9.0,8.0,1.0,10.0,4.0,72.0,,,0.0,,1.0,4.0,1.0,3.0,,0.0,3.0,58.9,14.0,1.0,2.0,,3.0,6.0,56.0,8.0,,628.0,16.0,15.0,10.0,7.0,32.0,4.0,5.0,362.0,9.0,20.0,7.0,130.0,35.0,1.0,2.0,7.0,13.0,,13.0,3.0,16.0,2.0,11.0,8.0,,1.0,1.0,2.0,2.0,2.0,,3.0,,1.0,1.0,,,2.0,,2.0,2.0,3.0,,,2.0,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,1.0,,1.0,,
34,855509,2017-05-16 20:00:00,"Etihad Stadium, Manchester",53624,Home,Manchester City,West Bromwich Albion,3,1,W,2,0,0,0,2.0,2.0,61.0,,1.0,1.0,24.0,9.0,10.0,6.0,10.0,1.0,5.0,181.0,9.0,14.0,3.0,4.0,15.0,,,10.0,209.0,132.0,62.0,1.0,21.0,1.0,6.0,3.0,,3.0,19.0,16.0,4.0,9.0,7.0,21.0,27.0,385.0,,,0.0,208.0,8.0,,1.0,1.0,,69.0,67.0,9.0,94.0,1.0,2.0,12.0,9.0,11.0,1.0,1.0,5.0,132.0,3.0,3.0,202.0,869.0,11.0,5.0,42.0,14.0,586.0,18.0,,1.0,6.0,,1.0,2.0,6.0,21.0,671.0,74.0,1.0,97299,6.0,225.0,1.0,10.0,241.0,2.0,,3.0,,9.0,3.0,32.0,7.0,2.0,4.0,18.0,3.0,3.0,4.0,,38.0,601.0,11.0,9.0,1.0,7.0,2.0,59.0,1.0,,0.0,1.0,3.0,1.0,,2.0,1.0,0.0,1.0,70.7,18.0,,4.0,1.0,4.0,2.0,44.0,7.0,,686.0,14.0,8.0,17.0,9.0,36.0,3.0,4.0,464.0,14.0,21.0,15.0,158.0,35.0,,,6.0,23.0,1.0,18.0,3.0,17.0,,3.0,7.0,1.0,,,2.0,2.0,3.0,3.0,3.0,1.0,1.0,,,,3.0,,2.0,6.0,1.0,,,,,,,3.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,1.0,
35,855515,2017-04-30 14:05:00,"Riverside Stadium, Middlesbrough",29763,Away,Manchester City,Middlesbrough,2,2,D,0,1,0,0,1.0,2.0,56.0,2.0,3.0,6.0,22.0,20.0,8.0,8.0,14.0,4.0,,146.0,8.0,14.0,2.0,4.0,18.0,1.0,,4.0,163.0,131.0,50.0,,22.0,2.0,14.0,1.0,,4.0,40.0,5.0,1.0,20.0,10.0,12.0,31.0,336.0,1.0,1.0,0.0,210.0,9.0,3.0,,1.0,,61.0,92.0,9.0,73.0,1.0,3.0,30.0,7.0,8.0,,10.0,5.0,131.0,3.0,7.0,158.0,748.0,13.0,4.0,44.0,9.0,455.0,15.0,,,13.0,,4.0,2.0,9.0,23.0,516.0,63.0,,86173,6.0,145.0,2.0,19.0,162.0,3.0,,1.0,2.0,7.0,9.0,48.0,2.0,1.0,4.0,13.0,7.0,6.0,1.0,1.0,37.0,473.0,9.0,11.0,4.0,4.0,6.0,63.0,,,0.0,,3.0,4.0,1.0,2.0,2.0,0.0,5.0,68.1,23.0,3.0,4.0,3.0,4.0,8.0,43.0,11.0,,540.0,9.0,11.0,17.0,10.0,54.0,4.0,5.0,418.0,9.0,10.0,17.0,176.0,30.0,2.0,,13.0,10.0,2.0,13.0,3.0,18.0,,4.0,11.0,,1.0,,,4.0,,1.0,1.0,,,2.0,,1.0,,,4.0,4.0,1.0,,,1.0,,,,,,,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
36,855529,2017-05-06 12:30:00,"Etihad Stadium, Manchester",54119,Home,Manchester City,Crystal Palace,5,0,W,1,0,0,0,4.0,2.0,66.0,,1.0,4.0,24.0,25.0,4.0,10.0,22.0,2.0,3.0,195.0,9.0,21.0,5.0,4.0,19.0,,1.0,12.0,168.0,122.0,60.0,1.0,26.0,,12.0,6.0,,2.0,21.0,11.0,1.0,25.0,8.0,24.0,31.0,357.0,,,0.0,233.0,12.0,1.0,,2.0,2.0,104.0,76.0,12.0,91.0,4.0,3.0,13.0,11.0,4.0,1.0,1.0,1.0,122.0,1.0,2.0,158.0,818.0,13.0,7.0,56.0,13.0,525.0,23.0,2.0,1.0,15.0,,1.0,1.0,7.0,13.0,599.0,59.0,1.0,61366,15.0,189.0,,10.0,206.0,7.0,,2.0,2.0,11.0,5.0,50.0,2.0,2.0,3.0,12.0,3.0,5.0,2.0,,38.0,537.0,8.0,10.0,2.0,6.0,5.0,65.0,1.0,,0.0,,3.0,3.0,1.0,4.0,,0.0,4.0,69.3,11.0,3.0,6.0,3.0,3.0,4.0,54.0,9.0,2.0,612.0,13.0,10.0,19.0,10.0,47.0,4.0,8.0,427.0,12.0,24.0,15.0,189.0,33.0,,2.0,15.0,16.0,,19.0,3.0,27.0,2.0,7.0,9.0,3.0,2.0,1.0,,3.0,2.0,4.0,4.0,1.0,2.0,1.0,,,3.0,,2.0,5.0,4.0,,,1.0,,1.0,,3.0,,,1.0,,,,2.0,,1.0,,1.0,,,,2.0,,1.0,2.0,,,2.0,,,1.0,,,,,,1.0,,,2.0,,,1.0,2.0,1.0,,,1.0
37,855535,2017-05-13 12:30:00,"Etihad Stadium, Manchester",54407,Home,Manchester City,Leicester City,2,1,W,2,1,0,0,,1.0,52.0,1.0,1.0,5.0,29.0,29.0,5.0,9.0,12.0,3.0,3.0,177.0,6.0,9.0,2.0,3.0,15.0,,,5.0,127.0,127.0,56.0,,17.0,2.0,7.0,2.0,,1.0,21.0,12.0,1.0,29.0,9.0,20.0,32.0,256.0,1.0,1.0,0.0,177.0,12.0,,1.0,1.0,,76.0,78.0,10.0,99.0,,2.0,12.0,17.0,5.0,,5.0,2.0,127.0,1.0,6.0,138.0,740.0,13.0,4.0,43.0,11.0,447.0,23.0,,2.0,22.0,,3.0,2.0,5.0,25.0,521.0,63.0,,86173,6.0,213.0,1.0,6.0,228.0,9.0,,1.0,,17.0,4.0,40.0,5.0,,6.0,12.0,3.0,3.0,1.0,1.0,46.0,463.0,15.0,5.0,1.0,9.0,3.0,58.0,1.0,1.0,0.0,,1.0,3.0,2.0,2.0,1.0,0.0,2.0,65.8,21.0,2.0,6.0,2.0,6.0,7.0,38.0,9.0,,541.0,11.0,12.0,18.0,5.0,36.0,3.0,3.0,334.0,6.0,19.0,18.0,131.0,17.0,1.0,3.0,22.0,15.0,1.0,13.0,3.0,14.0,3.0,10.0,9.0,1.0,,,,2.0,1.0,,1.0,,,,1.0,,1.0,,2.0,3.0,1.0,1.0,,,1.0,,,1.0,,,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,855551,2017-05-21 15:00:00,"Vicarage Road, Watford",20829,Away,Manchester City,Watford,5,0,W,4,0,0,0,1.0,3.0,51.0,3.0,,,27.0,13.0,4.0,3.0,11.0,2.0,2.0,198.0,4.0,17.0,5.0,4.0,11.0,,1.0,9.0,158.0,105.0,56.0,1.0,15.0,1.0,5.0,4.0,,1.0,7.0,14.0,,13.0,3.0,10.0,27.0,298.0,1.0,,0.0,184.0,10.0,1.0,,,1.0,75.0,100.0,8.0,100.0,1.0,2.0,4.0,7.0,4.0,1.0,1.0,3.0,105.0,5.0,5.0,164.0,789.0,6.0,5.0,33.0,9.0,540.0,21.0,1.0,4.0,10.0,,0.0,2.0,3.0,22.0,603.0,70.0,3.0,97299,9.0,262.0,2.0,3.0,271.0,4.0,,2.0,,7.0,3.0,44.0,6.0,2.0,2.0,13.0,1.0,3.0,,,42.0,556.0,12.0,9.0,,7.0,2.0,64.0,,1.0,0.0,,2.0,4.0,3.0,5.0,,0.0,2.0,67.1,22.0,,6.0,,2.0,1.0,55.0,5.0,1.0,620.0,9.0,9.0,16.0,5.0,26.0,2.0,2.0,356.0,10.0,10.0,8.0,142.0,21.0,2.0,1.0,10.0,19.0,,12.0,3.0,29.0,1.0,3.0,5.0,,1.0,1.0,,1.0,4.0,1.0,5.0,,,,,,4.0,2.0,1.0,2.0,4.0,,,1.0,,,,1.0,,,,1.0,,,2.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,2.0,,,,2.0,,,,
