gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,attSvHighLeft,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,goalAssistSetplay,attOneOnOne,cleanSheet,attMissRight,attGoalHighCentre,bigChanceCreated,attHdTarget,accurateThroughBall,sixYardBlock,totalThroughBall,totalOffside,attLfGoal,attSvHighRight,attSvLowLeft,freekickCross,attObxdRight,attMissHighLeft,penaltyConceded,attObxdLeft,defenderGoals,attFreekickTarget,attSvHighCentre,penaltyFaced,penGoalsConceded,goalsConcededIbox,handBall,attGoalLowRight,attGoalLowCentre,shotFastbreak,goalFastbreak,totalFastbreak,attSetpiece,attRfGoal,attFastbreak,punches,forwardGoals,postScoringAtt,attPostLeft,attLgCentre,attCmissLeft,attOboxPost,clearanceOffLine,contentiousDecision,totalPullBack,attPenTarget,penaltyWon,attCmissHighRight,attObxLeft,accurateFreekickCross,attPostHigh,attObxRight,attCmissRight,attIboxPost,attHdPost,attPenGoal,ptsDroppedWinningPos,errorLeadToGoal,ownGoals,attIboxOwnGoal,attOboxGoal,attCmissHighLeft,attObpGoal,attGoalHighRight,attGoalHighLeft,attPostRight,goalAssistDeadball,attPenMiss,foulThrowIn,accuratePullBack,attFreekickPost
27,855438,2017-03-05 13:30:00,"White Hart Lane, London",31962,Home,Tottenham Hotspur,Everton,3,2,W,1,0,0,0,,2.0,69.0,1.0,1.0,2.0,45.0,19.0,9.0,5.0,11.0,2.0,1.0,175.0,6.0,11.0,3.0,7.0,15.0,7.0,106.0,160.0,59.0,1.0,20.0,6.0,10.0,4.0,2.0,,2.0,1.0,2.0,18.0,9.0,,19.0,4.0,4.0,32.0,224.0,2.0,0.0,159.0,9.0,,,1.0,,,89.0,76.0,11.0,69.0,1.0,14.0,17.0,9.0,1.0,5.0,2.0,160.0,4.0,112.0,677.0,10.0,5.0,19.0,1.0,8.0,345.0,21.0,9.0,10.0,3.0,,1.0,3.0,4.0,31.0,436.0,81.0,,97485,7.0,149.0,1.0,7.0,164.0,4.0,17.0,3.0,46.0,,9.0,2.0,16.0,4.0,2.0,,73.0,367.0,14.0,5.0,2.0,23.0,3.0,80.0,,0.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,5.0,2.0,2.0,4.0,51.5,19.0,2.0,7.0,2.0,9.0,8.0,40.0,7.0,,462.0,8.0,,12.0,21.0,5.0,30.0,1.0,3.0,316.0,11.0,4.0,19.0,106.0,26.0,,10.0,15.0,,13.0,3.0,21.0,,9.0,7.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,2.0,,,2.0,2.0,,1.0,,,,,,,,2.0,,1.0,1.0,,,,3.0,3.0,,1.0,3.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,
28,855446,2017-04-26 20:00:00,"Selhurst Park, London",25596,Away,Tottenham Hotspur,Crystal Palace,1,0,W,0,0,0,0,,,65.0,1.0,,4.0,43.0,26.0,8.0,4.0,10.0,1.0,2.0,204.0,6.0,11.0,1.0,,14.0,4.0,149.0,162.0,68.0,,18.0,2.0,22.0,2.0,4.0,,1.0,2.0,1.0,25.0,17.0,1.0,26.0,8.0,10.0,41.0,320.0,1.0,0.0,218.0,15.0,,1.0,,,,75.0,84.0,7.0,79.0,,17.0,23.0,8.0,,4.0,4.0,162.0,5.0,161.0,810.0,11.0,13.0,26.0,,5.0,469.0,24.0,9.0,14.0,1.0,,3.0,3.0,7.0,28.0,569.0,89.0,,97485,4.0,178.0,1.0,13.0,197.0,8.0,23.0,5.0,69.0,,1.0,1.0,15.0,1.0,5.0,,70.0,492.0,13.0,8.0,2.0,24.0,4.0,85.0,1.0,0.0,1.0,2.0,1.0,,,3.0,0.0,3.0,,4.0,3.0,68.9,26.0,1.0,9.0,1.0,1.0,6.0,52.0,11.0,,593.0,5.0,,14.0,27.0,8.0,39.0,3.0,4.0,421.0,11.0,10.0,20.0,163.0,29.0,3.0,14.0,24.0,,14.0,3.0,21.0,3.0,8.0,11.0,,,,1.0,5.0,,1.0,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,2.0,,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,1.0,
29,855459,2017-03-19 14:15:00,"White Hart Lane, London",31697,Home,Tottenham Hotspur,Southampton,2,1,W,2,0,0,0,,1.0,54.0,1.0,1.0,2.0,23.0,24.0,5.0,3.0,7.0,2.0,2.0,178.0,2.0,9.0,2.0,6.0,10.0,6.0,105.0,172.0,44.0,,12.0,2.0,13.0,4.0,2.0,,1.0,3.0,1.0,10.0,9.0,,24.0,3.0,12.0,33.0,224.0,,0.0,156.0,12.0,,1.0,1.0,,1.0,61.0,57.0,9.0,68.0,1.0,7.0,26.0,5.0,,2.0,2.0,172.0,5.0,105.0,647.0,8.0,9.0,27.0,,13.0,325.0,19.0,3.0,11.0,1.0,,3.0,1.0,1.0,27.0,423.0,79.0,,97485,3.0,119.0,1.0,3.0,147.0,5.0,26.0,11.0,52.0,,2.0,1.0,11.0,3.0,3.0,1.0,72.0,341.0,13.0,6.0,1.0,25.0,2.0,88.0,,0.0,5.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,,1.0,2.0,50.5,17.0,,4.0,1.0,2.0,4.0,39.0,5.0,1.0,456.0,13.0,,16.0,11.0,2.0,24.0,1.0,,319.0,7.0,11.0,9.0,97.0,25.0,2.0,11.0,13.0,,9.0,3.0,14.0,2.0,11.0,5.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,2.0,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,
30,855463,2017-04-01 15:00:00,"Turf Moor, Burnley",21684,Away,Tottenham Hotspur,Burnley,2,0,W,0,0,0,0,,3.0,74.0,1.0,1.0,,45.0,37.0,9.0,5.0,10.0,2.0,2.0,202.0,1.0,10.0,2.0,2.0,11.0,7.0,128.0,163.0,48.0,1.0,19.0,6.0,24.0,3.0,2.0,,1.0,2.0,2.0,14.0,9.0,2.0,37.0,5.0,19.0,45.0,201.0,,0.0,141.0,6.0,,,,,1.0,45.0,80.0,8.0,98.0,,10.0,19.0,9.0,1.0,4.0,1.0,163.0,5.0,145.0,792.0,9.0,2.0,23.0,,8.0,448.0,27.0,10.0,21.0,1.0,,0.0,5.0,3.0,25.0,551.0,55.0,,93264,2.0,267.0,1.0,6.0,300.0,3.0,19.0,5.0,56.0,,14.0,1.0,12.0,8.0,3.0,2.0,93.0,467.0,9.0,3.0,1.0,35.0,3.0,85.0,,0.0,1.0,3.0,1.0,2.0,,,0.0,1.0,1.0,,,61.0,19.0,,4.0,4.0,14.0,6.0,45.0,7.0,1.0,573.0,8.0,,18.0,23.0,6.0,23.0,1.0,5.0,287.0,14.0,18.0,17.0,97.0,26.0,,21.0,12.0,,13.0,3.0,16.0,,7.0,7.0,2.0,,,1.0,2.0,,1.0,,,,1.0,1.0,1.0,,2.0,,,,,,1.0,,1.0,,,,,,,,,,2.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,
31,855477,2017-04-05 19:45:00,"Swansea.com Stadium, Swansea",20855,Away,Tottenham Hotspur,Swansea City,3,1,W,0,1,0,0,,2.0,53.0,1.0,,3.0,37.0,20.0,7.0,5.0,11.0,,2.0,215.0,1.0,4.0,3.0,1.0,16.0,8.0,183.0,153.0,47.0,,18.0,2.0,12.0,3.0,1.0,,2.0,3.0,,24.0,13.0,2.0,20.0,6.0,11.0,34.0,344.0,,0.0,234.0,8.0,3.0,,,2.0,,98.0,57.0,11.0,83.0,1.0,18.0,16.0,7.0,,2.0,3.0,153.0,3.0,161.0,830.0,14.0,6.0,35.0,,5.0,544.0,23.0,4.0,10.0,2.0,,1.0,1.0,5.0,25.0,627.0,86.0,,97485,6.0,215.0,1.0,16.0,240.0,3.0,16.0,2.0,45.0,,5.0,3.0,15.0,1.0,2.0,3.0,48.0,558.0,7.0,10.0,,9.0,,55.0,1.0,0.0,3.0,5.0,,3.0,1.0,4.0,0.0,1.0,2.0,,1.0,71.8,19.0,,3.0,2.0,5.0,5.0,40.0,7.0,,642.0,5.0,,8.0,23.0,5.0,38.0,,2.0,426.0,12.0,10.0,18.0,193.0,22.0,2.0,10.0,20.0,,18.0,3.0,14.0,2.0,9.0,7.0,2.0,,,,2.0,,2.0,1.0,1.0,2.0,2.0,4.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
32,855489,2017-04-08 12:30:00,"White Hart Lane, London",31706,Home,Tottenham Hotspur,Watford,4,0,W,3,0,0,0,,1.0,40.0,2.0,2.0,2.0,31.0,25.0,11.0,7.0,8.0,2.0,1.0,168.0,3.0,14.0,4.0,5.0,17.0,6.0,120.0,109.0,60.0,1.0,19.0,6.0,7.0,1.0,2.0,2.0,3.0,1.0,,19.0,17.0,1.0,25.0,5.0,14.0,33.0,294.0,1.0,0.0,174.0,12.0,,,,4.0,1.0,88.0,38.0,12.0,82.0,2.0,15.0,13.0,11.0,1.0,4.0,1.0,109.0,4.0,131.0,693.0,12.0,5.0,19.0,4.0,9.0,417.0,13.0,2.0,10.0,3.0,2.0,0.0,2.0,4.0,27.0,481.0,75.0,,97485,5.0,145.0,3.0,10.0,163.0,7.0,13.0,5.0,45.0,,2.0,4.0,10.0,4.0,4.0,,45.0,436.0,11.0,14.0,1.0,9.0,4.0,46.0,1.0,0.0,1.0,5.0,,2.0,,1.0,0.0,2.0,1.0,1.0,1.0,58.7,25.0,1.0,1.0,1.0,2.0,8.0,36.0,7.0,1.0,501.0,9.0,,10.0,20.0,5.0,30.0,2.0,2.0,357.0,11.0,14.0,12.0,130.0,22.0,1.0,10.0,23.0,,14.0,3.0,18.0,1.0,5.0,7.0,,,,1.0,1.0,,2.0,,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,3.0,,1.0,,2.0,,,,1.0,,,1.0,,,,,,2.0,,1.0,1.0,,,,,,,2.0,,,1.0,,,,,,,1.0
33,855499,2017-04-15 12:30:00,"White Hart Lane, London",31943,Home,Tottenham Hotspur,Bournemouth,4,0,W,2,0,0,0,,3.0,50.0,1.0,1.0,5.0,40.0,14.0,8.0,7.0,16.0,1.0,7.0,188.0,4.0,8.0,4.0,3.0,19.0,14.0,179.0,136.0,44.0,1.0,24.0,4.0,9.0,6.0,1.0,,1.0,5.0,,23.0,7.0,4.0,14.0,6.0,17.0,35.0,337.0,,0.0,224.0,8.0,,,,2.0,,117.0,74.0,18.0,126.0,1.0,17.0,13.0,8.0,1.0,2.0,,136.0,3.0,162.0,834.0,17.0,2.0,40.0,,4.0,561.0,19.0,4.0,3.0,2.0,,0.0,1.0,1.0,26.0,633.0,85.0,,97485,9.0,249.0,2.0,13.0,265.0,7.0,13.0,5.0,38.0,1.0,2.0,2.0,14.0,2.0,4.0,1.0,64.0,582.0,10.0,3.0,,13.0,5.0,78.0,5.0,0.0,4.0,1.0,,4.0,,1.0,0.0,2.0,1.0,1.0,,68.8,21.0,,7.0,3.0,2.0,9.0,51.0,13.0,,655.0,4.0,,11.0,18.0,1.0,46.0,2.0,1.0,413.0,17.0,15.0,14.0,181.0,21.0,,3.0,13.0,,17.0,3.0,15.0,,5.0,13.0,3.0,1.0,,1.0,,,3.0,,2.0,,4.0,3.0,1.0,,,2.0,,,,,,,,,,,,1.0,2.0,,,,1.0,3.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
34,855507,2017-05-18 19:45:00,"King Power Stadium, Leicester",31351,Away,Tottenham Hotspur,Leicester City,6,1,W,2,0,0,0,,1.0,71.0,3.0,2.0,2.0,40.0,28.0,13.0,1.0,12.0,4.0,3.0,175.0,7.0,21.0,6.0,3.0,17.0,12.0,152.0,135.0,61.0,3.0,26.0,1.0,12.0,3.0,2.0,1.0,5.0,2.0,1.0,15.0,16.0,3.0,28.0,3.0,11.0,42.0,247.0,3.0,0.0,163.0,8.0,,2.0,,,,53.0,79.0,10.0,92.0,1.0,12.0,12.0,14.0,3.0,2.0,8.0,135.0,5.0,142.0,781.0,11.0,6.0,31.0,,8.0,459.0,32.0,6.0,18.0,5.0,1.0,1.0,4.0,7.0,24.0,541.0,59.0,,97485,7.0,236.0,1.0,10.0,258.0,4.0,12.0,5.0,55.0,2.0,5.0,6.0,10.0,7.0,3.0,5.0,68.0,476.0,10.0,11.0,1.0,18.0,2.0,83.0,1.0,0.0,3.0,4.0,2.0,4.0,1.0,1.0,0.0,5.0,2.0,,5.0,62.7,21.0,1.0,5.0,1.0,5.0,3.0,60.0,4.0,,561.0,8.0,2.0,9.0,20.0,11.0,30.0,2.0,3.0,318.0,20.0,11.0,13.0,118.0,26.0,4.0,18.0,17.0,1.0,20.0,3.0,36.0,4.0,5.0,4.0,2.0,,,,2.0,1.0,2.0,2.0,,1.0,1.0,2.0,,,3.0,,,,,,,,,,,1.0,,1.0,1.0,,,,1.0,5.0,,2.0,6.0,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,2.0,,,,,,,,,,
35,855519,2017-04-30 16:30:00,"White Hart Lane, London",31811,Home,Tottenham Hotspur,Arsenal,2,0,W,0,0,0,0,,3.0,62.0,2.0,1.0,3.0,35.0,30.0,6.0,6.0,14.0,4.0,5.0,142.0,7.0,11.0,2.0,2.0,14.0,11.0,97.0,150.0,52.0,,20.0,,11.0,4.0,3.0,2.0,,2.0,1.0,27.0,12.0,5.0,30.0,11.0,4.0,25.0,201.0,1.0,0.0,148.0,7.0,,1.0,,1.0,1.0,102.0,53.0,10.0,76.0,4.0,16.0,21.0,6.0,,4.0,1.0,150.0,9.0,101.0,633.0,12.0,2.0,34.0,1.0,8.0,310.0,28.0,4.0,13.0,,2.0,1.0,4.0,4.0,24.0,388.0,58.0,1.0,97485,4.0,137.0,3.0,11.0,157.0,6.0,21.0,4.0,47.0,,1.0,1.0,11.0,3.0,2.0,,65.0,331.0,14.0,9.0,2.0,22.0,6.0,60.0,3.0,0.0,5.0,5.0,3.0,2.0,,,0.0,3.0,,,4.0,51.2,20.0,3.0,4.0,3.0,3.0,3.0,30.0,14.0,1.0,416.0,8.0,,9.0,16.0,6.0,40.0,4.0,4.0,286.0,10.0,3.0,13.0,106.0,20.0,,13.0,14.0,,13.0,3.0,23.0,,7.0,14.0,2.0,,1.0,1.0,3.0,,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,1.0,,,,,,,3.0,,3.0,,1.0,3.0,,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,1.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,
36,855531,2017-05-05 20:00:00,"London Stadium, London",56992,Away,Tottenham Hotspur,West Ham United,0,1,L,0,0,0,0,,1.0,52.0,,1.0,2.0,41.0,12.0,5.0,4.0,6.0,4.0,3.0,206.0,3.0,10.0,,2.0,7.0,5.0,137.0,180.0,52.0,,11.0,,15.0,4.0,2.0,2.0,,4.0,2.0,24.0,13.0,1.0,12.0,7.0,15.0,33.0,257.0,,0.0,180.0,9.0,,2.0,,,1.0,85.0,72.0,5.0,86.0,1.0,17.0,16.0,5.0,,5.0,4.0,180.0,6.0,142.0,744.0,5.0,9.0,19.0,,5.0,430.0,21.0,3.0,5.0,,2.0,2.0,1.0,2.0,33.0,548.0,94.0,2.0,97485,2.0,193.0,,10.0,216.0,6.0,16.0,12.0,44.0,,3.0,,13.0,7.0,7.0,,77.0,447.0,8.0,6.0,2.0,19.0,2.0,102.0,,0.0,1.0,4.0,3.0,,1.0,2.0,0.0,1.0,,1.0,2.0,67.6,26.0,,1.0,,3.0,2.0,53.0,7.0,1.0,571.0,5.0,,9.0,12.0,4.0,37.0,2.0,,379.0,5.0,14.0,17.0,106.0,24.0,3.0,5.0,17.0,,8.0,3.0,15.0,3.0,5.0,7.0,,,,,1.0,,,1.0,,1.0,,,,,1.0,2.0,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
37,855539,2017-05-14 16:30:00,"White Hart Lane, London",31848,Home,Tottenham Hotspur,Manchester United,2,1,W,1,0,0,0,,2.0,57.0,,1.0,1.0,40.0,16.0,4.0,3.0,10.0,1.0,3.0,166.0,5.0,11.0,2.0,3.0,12.0,7.0,155.0,148.0,56.0,,14.0,1.0,8.0,4.0,3.0,,,2.0,2.0,18.0,12.0,1.0,16.0,7.0,20.0,48.0,227.0,1.0,0.0,169.0,14.0,,,,1.0,,75.0,72.0,8.0,70.0,,11.0,26.0,4.0,,2.0,2.0,148.0,5.0,139.0,724.0,8.0,9.0,25.0,1.0,11.0,411.0,17.0,5.0,9.0,2.0,,1.0,,4.0,25.0,504.0,79.0,,97485,3.0,210.0,2.0,7.0,226.0,8.0,26.0,9.0,45.0,,5.0,,14.0,3.0,7.0,,71.0,432.0,14.0,6.0,2.0,17.0,3.0,84.0,1.0,0.0,1.0,3.0,,2.0,1.0,1.0,0.0,3.0,2.0,1.0,4.0,60.0,22.0,2.0,5.0,,5.0,2.0,52.0,8.0,,530.0,11.0,,7.0,27.0,5.0,29.0,2.0,2.0,322.0,7.0,19.0,13.0,109.0,29.0,1.0,9.0,18.0,1.0,9.0,3.0,21.0,1.0,14.0,8.0,2.0,2.0,,,1.0,2.0,3.0,,,,,2.0,,1.0,,2.0,,,,,,,1.0,,,1.0,,,,1.0,,1.0,2.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,
38,855545,2017-05-21 15:00:00,"The MKM Stadium, Hull",23804,Away,Tottenham Hotspur,Hull City,7,1,W,3,0,0,0,,2.0,62.0,3.0,2.0,,52.0,15.0,7.0,9.0,12.0,3.0,4.0,186.0,10.0,10.0,7.0,5.0,18.0,14.0,163.0,127.0,47.0,,19.0,2.0,8.0,5.0,,1.0,5.0,1.0,,20.0,12.0,2.0,15.0,1.0,14.0,67.0,338.0,,0.0,207.0,5.0,,1.0,1.0,2.0,,88.0,97.0,15.0,104.0,,19.0,15.0,7.0,,4.0,1.0,127.0,6.0,150.0,802.0,9.0,2.0,37.0,,11.0,503.0,15.0,,7.0,7.0,1.0,0.0,2.0,3.0,24.0,582.0,86.0,1.0,97485,8.0,195.0,2.0,11.0,206.0,3.0,15.0,5.0,42.0,,3.0,5.0,10.0,4.0,5.0,,73.0,523.0,12.0,5.0,2.0,8.0,1.0,79.0,1.0,0.0,2.0,2.0,1.0,5.0,1.0,2.0,0.0,9.0,6.0,,2.0,64.8,23.0,,6.0,1.0,3.0,2.0,55.0,3.0,,603.0,11.0,,13.0,42.0,3.0,43.0,1.0,2.0,417.0,8.0,14.0,11.0,157.0,36.0,1.0,7.0,14.0,1.0,14.0,3.0,21.0,1.0,11.0,3.0,4.0,2.0,2.0,,3.0,,6.0,1.0,3.0,,5.0,,4.0,,2.0,4.0,,,,,2.0,,2.0,,,1.0,,3.0,1.0,,,,3.0,2.0,,1.0,3.0,,,,,,,,,,,,,2.0,,,1.0,,,,,1.0,,,2.0,,,,,,1.0,,,,
