gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,handBall,attRfTarget,accurateKeeperSweeper,attOboxTarget,attMissHighRight,attSvHighRight,interceptionsInBox,secondYellow,attHdTarget,totalKeeperSweeper,accurateThroughBall,sixYardBlock,totalThroughBall,attBxLeft,attSvHighCentre,accurateCornersIntobox,penaltySave,attGoalLowLeft,goalAssistSetplay,attCmissRight,attFreekickTotal,freekickTotal,bigChanceCreated,bigChanceMissed,attSetpiece,penaltyConceded,attRfGoal,attMissHigh,punches,attCmissHighRight,clearanceOffLine,penaltyFaced,attFreekickMiss,forwardGoals,ptsDroppedWinningPos,shotFastbreak,attMissLeft,cleanSheet,totalFastbreak,attSvLowLeft,errorLeadToShot,attFastbreak,attCmissLeft,attHdMiss,postScoringAtt,attIboxPost,contentiousDecision,hitWoodwork,attPostHigh,attOboxGoal,midfielderGoals,attGoalHighLeft,attObxRight,attPostRight,bigChanceScored,attGoalLowRight,attGoalLowCentre,attFreekickPost,attPostLeft,attOboxPost,attHdGoal,goalAssistDeadball,penaltyWon,attSvHighLeft,attGoalHighCentre,attCmissHigh,attPenGoal,attFreekickTarget,shieldBallOop,attOneOnOne,attHdPost,totalPullBack,attObpGoal,penGoalsConceded,attCmissHighLeft,accuratePullBack,ptsGainedLosingPos,attObxLeft,ownGoals,attIboxOwnGoal,goalFastbreak,foulThrowIn,attObxdRight,attPenTarget,attPenMiss,attObxdLeft,attLgLeft
27,855434,2017-03-04 12:30:00,"Old Trafford, Manchester",75245,Away,Bournemouth,Manchester United,1,1,D,1,1,1,0,,,54.0,1.0,,20.0,49.0,1.0,,2.0,6.0,,122.0,2.0,12.0,1.0,2.0,2.0,1.0,64.0,117.0,48.0,3.0,1.0,18.0,,,,,6.0,9.0,,49.0,1.0,10.0,22.0,86.0,0.0,70.0,11.0,6.0,1.0,3.0,38.0,42.0,,43.0,,5.0,18.0,1.0,1.0,,117.0,13.0,65.0,492.0,,10.0,9.0,14.0,205.0,32.0,,6.0,24.0,,2.0,8.0,1.0,10.0,265.0,46.0,,90105,2.0,135.0,3.0,154.0,6.0,18.0,12.0,49.0,,,2.0,,18.0,7.0,5.0,59.0,219.0,9.0,8.0,1.0,26.0,1.0,61.0,,0.0,3.0,15.0,5.0,1.0,1.0,2.0,1.0,1.0,,1.0,31.4,6.0,2.0,2.0,1.0,23.0,2.0,3.0,294.0,14.0,7.0,8.0,1.0,14.0,1.0,146.0,2.0,10.0,13.0,37.0,14.0,9.0,24.0,14.0,1.0,1.0,3.0,18.0,,9.0,7.0,2.0,1.0,,,,,,2.0,1.0,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,2.0,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,
28,855442,2017-03-11 15:00:00,"Vitality Stadium, Bournemouth",11369,Home,Bournemouth,West Ham United,3,2,W,1,1,0,0,,3.0,54.0,2.0,4.0,22.0,31.0,5.0,9.0,17.0,5.0,2.0,131.0,7.0,14.0,3.0,5.0,15.0,9.0,90.0,138.0,66.0,22.0,1.0,16.0,4.0,3.0,1.0,1.0,17.0,14.0,1.0,31.0,3.0,8.0,25.0,159.0,0.0,138.0,20.0,3.0,1.0,2.0,60.0,61.0,10.0,40.0,4.0,14.0,15.0,5.0,3.0,2.0,138.0,9.0,97.0,580.0,12.0,,38.0,10.0,259.0,20.0,1.0,1.0,17.0,1.0,4.0,5.0,5.0,23.0,333.0,55.0,,90105,14.0,118.0,10.0,142.0,8.0,15.0,7.0,59.0,,,8.0,2.0,20.0,7.0,2.0,60.0,270.0,14.0,14.0,2.0,24.0,2.0,54.0,,0.0,3.0,6.0,3.0,3.0,2.0,,0.0,6.0,,5.0,51.4,19.0,1.0,8.0,5.0,21.0,5.0,2.0,358.0,10.0,9.0,15.0,8.0,32.0,6.0,233.0,8.0,8.0,23.0,90.0,24.0,3.0,17.0,18.0,2.0,15.0,2.0,18.0,1.0,3.0,4.0,5.0,4.0,2.0,,2.0,,,2.0,,1.0,,,,,,1.0,1.0,,1.0,,2.0,,,2.0,3.0,3.0,,1.0,1.0,1.0,,,,,,,,2.0,,,3.0,,,,3.0,,,,,,,3.0,,,,2.0,1.0,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,3.0,,,,,,,1.0,1.0,,
29,855452,2017-03-18 17:30:00,"Vitality Stadium, Bournemouth",11240,Home,Bournemouth,Swansea City,2,0,W,1,0,0,0,,2.0,64.0,1.0,1.0,33.0,30.0,7.0,3.0,5.0,1.0,,147.0,3.0,13.0,2.0,2.0,9.0,6.0,121.0,143.0,48.0,12.0,1.0,16.0,1.0,,1.0,2.0,15.0,13.0,,30.0,,11.0,30.0,202.0,0.0,132.0,10.0,1.0,,1.0,75.0,85.0,6.0,76.0,,15.0,21.0,7.0,3.0,2.0,143.0,4.0,105.0,655.0,8.0,7.0,19.0,17.0,346.0,26.0,1.0,5.0,13.0,1.0,0.0,4.0,3.0,21.0,421.0,61.0,,90105,4.0,160.0,12.0,180.0,6.0,21.0,14.0,55.0,,2.0,5.0,1.0,14.0,6.0,3.0,81.0,359.0,9.0,11.0,,30.0,,85.0,2.0,0.0,4.0,4.0,,2.0,,3.0,0.0,3.0,1.0,2.0,47.8,19.0,7.0,5.0,2.0,47.0,2.0,2.0,449.0,17.0,7.0,15.0,4.0,21.0,2.0,284.0,7.0,9.0,9.0,93.0,22.0,4.0,13.0,17.0,,11.0,3.0,24.0,,4.0,9.0,2.0,,2.0,,4.0,,,2.0,,1.0,,,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,1.0,,2.0,,,,,1.0,,,3.0,1.0,,1.0,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
30,855469,2017-04-01 17:30:00,"St. Mary's Stadium, Southampton",31847,Away,Bournemouth,Southampton,0,0,D,0,0,0,0,,2.0,42.0,2.0,2.0,27.0,31.0,4.0,5.0,8.0,4.0,,118.0,2.0,3.0,,3.0,5.0,3.0,78.0,126.0,50.0,12.0,,20.0,2.0,1.0,,1.0,11.0,12.0,,31.0,3.0,10.0,14.0,126.0,0.0,85.0,8.0,3.0,2.0,,73.0,43.0,2.0,62.0,,8.0,19.0,4.0,3.0,3.0,126.0,10.0,89.0,528.0,5.0,11.0,24.0,13.0,248.0,22.0,1.0,10.0,16.0,,0.0,2.0,3.0,27.0,320.0,47.0,,90105,4.0,137.0,3.0,156.0,4.0,19.0,11.0,48.0,,1.0,3.0,,12.0,4.0,3.0,66.0,261.0,14.0,11.0,,33.0,2.0,67.0,1.0,0.0,2.0,6.0,2.0,,,3.0,0.0,1.0,,,38.7,20.0,,3.0,2.0,26.0,3.0,,347.0,13.0,4.0,5.0,7.0,17.0,4.0,202.0,7.0,9.0,19.0,46.0,16.0,,16.0,14.0,,8.0,2.0,8.0,,,13.0,3.0,,1.0,1.0,1.0,,,,,,1.0,,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,3.0,,,,4.0,1.0,,,,1.0,,,,2.0,1.0,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
31,855480,2017-04-05 20:00:00,"Anfield, Liverpool",53292,Away,Bournemouth,Liverpool,2,2,D,1,1,0,0,,,67.0,4.0,,21.0,34.0,2.0,4.0,6.0,6.0,1.0,123.0,2.0,14.0,2.0,,4.0,2.0,67.0,150.0,64.0,8.0,2.0,22.0,,1.0,,,12.0,15.0,,34.0,2.0,7.0,19.0,89.0,0.0,70.0,8.0,2.0,,,54.0,28.0,1.0,42.0,2.0,10.0,16.0,2.0,5.0,,150.0,9.0,70.0,514.0,2.0,6.0,12.0,19.0,203.0,35.0,,5.0,21.0,1.0,1.0,3.0,3.0,21.0,277.0,45.0,,90105,4.0,126.0,5.0,149.0,3.0,16.0,9.0,68.0,,,4.0,1.0,11.0,11.0,,63.0,213.0,11.0,16.0,1.0,28.0,2.0,73.0,,0.0,7.0,7.0,2.0,2.0,2.0,,0.0,1.0,,1.0,33.9,10.0,2.0,4.0,2.0,30.0,2.0,,302.0,19.0,16.0,10.0,4.0,18.0,4.0,165.0,3.0,6.0,17.0,32.0,20.0,1.0,21.0,22.0,2.0,3.0,2.0,20.0,,1.0,7.0,2.0,,,1.0,,,,2.0,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,2.0,1.0,,,1.0,1.0,,,,,,2.0,2.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,
32,855482,2017-04-08 17:30:00,"Vitality Stadium, Bournemouth",11283,Home,Bournemouth,Chelsea,1,3,L,1,2,0,0,1.0,,57.0,2.0,,38.0,12.0,9.0,3.0,2.0,3.0,,144.0,3.0,5.0,1.0,4.0,9.0,1.0,159.0,131.0,44.0,11.0,5.0,12.0,,1.0,1.0,,17.0,20.0,1.0,12.0,2.0,13.0,32.0,263.0,0.0,153.0,7.0,2.0,3.0,1.0,99.0,73.0,5.0,85.0,,15.0,23.0,9.0,5.0,3.0,131.0,11.0,152.0,729.0,7.0,3.0,10.0,13.0,449.0,21.0,,5.0,8.0,1.0,2.0,3.0,4.0,26.0,519.0,61.0,,90105,1.0,206.0,7.0,229.0,6.0,23.0,7.0,46.0,,,6.0,1.0,15.0,5.0,4.0,63.0,466.0,9.0,9.0,1.0,19.0,1.0,63.0,,0.0,2.0,4.0,1.0,,3.0,,0.0,3.0,,,51.1,19.0,4.0,6.0,5.0,46.0,4.0,1.0,540.0,13.0,12.0,21.0,5.0,25.0,1.0,328.0,8.0,12.0,6.0,117.0,25.0,3.0,8.0,24.0,2.0,8.0,3.0,12.0,,3.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,,1.0,4.0,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
33,855499,2017-04-15 12:30:00,"White Hart Lane, London",31943,Away,Bournemouth,Tottenham Hotspur,0,4,L,0,2,0,0,,1.0,64.0,4.0,1.0,32.0,27.0,2.0,2.0,3.0,10.0,,110.0,2.0,3.0,,,5.0,1.0,72.0,117.0,38.0,5.0,,14.0,,1.0,,,7.0,13.0,,27.0,1.0,5.0,32.0,101.0,0.0,75.0,10.0,9.0,,,39.0,39.0,2.0,53.0,1.0,6.0,13.0,2.0,4.0,1.0,117.0,16.0,62.0,476.0,4.0,3.0,9.0,7.0,201.0,32.0,,5.0,15.0,,1.0,9.0,3.0,28.0,272.0,34.0,,90105,1.0,120.0,2.0,146.0,5.0,13.0,3.0,44.0,,2.0,5.0,,12.0,8.0,2.0,71.0,219.0,8.0,8.0,1.0,32.0,1.0,59.0,,0.0,2.0,13.0,6.0,,4.0,1.0,0.0,1.0,,1.0,31.2,23.0,,5.0,1.0,24.0,1.0,,297.0,7.0,11.0,16.0,3.0,18.0,2.0,158.0,2.0,4.0,9.0,44.0,17.0,2.0,15.0,18.0,4.0,4.0,3.0,5.0,,2.0,8.0,1.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,855502,2017-04-22 15:00:00,"Vitality Stadium, Bournemouth",10890,Home,Bournemouth,Middlesbrough,4,0,W,2,0,0,1,,2.0,61.0,2.0,1.0,54.0,5.0,8.0,10.0,11.0,2.0,2.0,146.0,2.0,14.0,4.0,6.0,17.0,10.0,180.0,114.0,61.0,21.0,3.0,14.0,2.0,1.0,3.0,2.0,17.0,18.0,,5.0,1.0,23.0,36.0,358.0,0.0,227.0,4.0,1.0,2.0,,125.0,99.0,13.0,97.0,1.0,16.0,10.0,10.0,2.0,3.0,114.0,1.0,178.0,790.0,12.0,3.0,24.0,12.0,518.0,24.0,2.0,4.0,4.0,4.0,0.0,,4.0,24.0,579.0,88.0,,90105,7.0,184.0,12.0,192.0,2.0,10.0,5.0,45.0,1.0,2.0,4.0,3.0,12.0,4.0,5.0,66.0,540.0,13.0,7.0,1.0,9.0,2.0,72.0,,0.0,2.0,3.0,,4.0,,2.0,0.0,2.0,1.0,2.0,68.1,22.0,10.0,4.0,4.0,58.0,4.0,,601.0,12.0,13.0,25.0,7.0,32.0,4.0,426.0,9.0,22.0,12.0,186.0,23.0,3.0,4.0,22.0,,16.0,3.0,21.0,,3.0,3.0,4.0,,3.0,,4.0,,,2.0,,1.0,,1.0,,2.0,2.0,2.0,,,2.0,1.0,,1.0,1.0,4.0,3.0,2.0,,2.0,3.0,,,,,1.0,2.0,,,1.0,1.0,,2.0,,,,,,,1.0,,,,1.0,,,,2.0,2.0,,,,,,1.0,,,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,1.0
35,855518,2017-04-29 15:00:00,"Stadium of Light, Sunderland",38394,Away,Bournemouth,Sunderland,1,0,W,0,0,0,0,,1.0,57.0,2.0,3.0,35.0,34.0,4.0,3.0,11.0,5.0,,161.0,4.0,9.0,1.0,3.0,14.0,7.0,130.0,148.0,51.0,15.0,1.0,20.0,3.0,1.0,1.0,3.0,16.0,9.0,,34.0,2.0,16.0,33.0,272.0,0.0,190.0,9.0,3.0,1.0,1.0,87.0,72.0,10.0,86.0,1.0,14.0,13.0,4.0,2.0,,148.0,10.0,124.0,717.0,12.0,5.0,37.0,11.0,388.0,24.0,,5.0,15.0,1.0,2.0,3.0,4.0,22.0,467.0,73.0,1.0,90105,8.0,146.0,11.0,163.0,5.0,13.0,14.0,63.0,,1.0,4.0,1.0,16.0,7.0,8.0,67.0,414.0,13.0,8.0,1.0,19.0,,78.0,1.0,0.0,2.0,6.0,3.0,1.0,,3.0,0.0,4.0,1.0,3.0,59.1,19.0,6.0,4.0,4.0,47.0,5.0,1.0,501.0,11.0,17.0,23.0,4.0,32.0,3.0,354.0,9.0,16.0,16.0,150.0,22.0,5.0,15.0,15.0,,13.0,3.0,19.0,,5.0,4.0,5.0,1.0,4.0,,3.0,1.0,,,,1.0,,,,,2.0,,,,1.0,,1.0,,,2.0,1.0,2.0,,1.0,1.0,,,,,,1.0,,1.0,,1.0,2.0,2.0,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,
36,855522,2017-05-06 15:00:00,"Vitality Stadium, Bournemouth",11046,Home,Bournemouth,Stoke City,2,2,D,0,1,0,0,,,49.0,2.0,,38.0,34.0,6.0,4.0,5.0,2.0,,142.0,1.0,9.0,2.0,3.0,8.0,2.0,150.0,119.0,50.0,11.0,3.0,18.0,,,1.0,1.0,11.0,11.0,,34.0,,18.0,36.0,235.0,0.0,148.0,10.0,1.0,2.0,1.0,79.0,78.0,5.0,65.0,2.0,11.0,11.0,6.0,2.0,2.0,119.0,8.0,157.0,697.0,7.0,3.0,9.0,8.0,416.0,26.0,1.0,3.0,18.0,1.0,2.0,5.0,3.0,15.0,487.0,62.0,,90105,5.0,205.0,7.0,223.0,6.0,11.0,8.0,49.0,,1.0,6.0,1.0,15.0,7.0,7.0,55.0,439.0,14.0,8.0,,11.0,,70.0,,0.0,4.0,7.0,,2.0,2.0,1.0,0.0,1.0,1.0,1.0,57.8,14.0,,6.0,3.0,50.0,,1.0,514.0,8.0,6.0,24.0,6.0,24.0,3.0,302.0,6.0,17.0,14.0,108.0,16.0,2.0,18.0,13.0,2.0,10.0,3.0,16.0,,2.0,7.0,,,1.0,,1.0,,,1.0,,,,,,2.0,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,
37,855532,2017-05-13 15:00:00,"Vitality Stadium, Bournemouth",11388,Home,Bournemouth,Burnley,2,1,W,1,0,0,0,,,69.0,1.0,4.0,54.0,27.0,7.0,4.0,11.0,2.0,2.0,164.0,,7.0,2.0,1.0,14.0,6.0,121.0,143.0,46.0,18.0,2.0,29.0,2.0,1.0,2.0,2.0,10.0,9.0,,27.0,1.0,7.0,32.0,181.0,0.0,164.0,6.0,1.0,,,79.0,73.0,10.0,83.0,1.0,9.0,15.0,7.0,2.0,3.0,143.0,5.0,113.0,672.0,11.0,7.0,27.0,19.0,363.0,29.0,,13.0,19.0,2.0,0.0,4.0,4.0,18.0,447.0,61.0,,90105,6.0,206.0,7.0,228.0,2.0,15.0,10.0,62.0,,3.0,4.0,2.0,14.0,9.0,4.0,94.0,387.0,10.0,5.0,1.0,37.0,4.0,91.0,,0.0,,1.0,1.0,2.0,1.0,3.0,0.0,,2.0,1.0,54.8,18.0,4.0,4.0,6.0,49.0,7.0,,481.0,19.0,11.0,23.0,6.0,26.0,3.0,263.0,13.0,6.0,18.0,128.0,31.0,3.0,19.0,11.0,1.0,14.0,3.0,18.0,,3.0,9.0,7.0,,3.0,,2.0,1.0,,1.0,,1.0,,1.0,,1.0,3.0,2.0,,,1.0,,,,,2.0,,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,2.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,
38,855546,2017-05-21 15:00:00,"King Power Stadium, Leicester",32000,Away,Bournemouth,Leicester City,1,1,D,1,0,0,0,,,61.0,,1.0,18.0,28.0,8.0,2.0,2.0,4.0,,173.0,3.0,12.0,1.0,6.0,4.0,4.0,88.0,148.0,66.0,10.0,3.0,23.0,,,,1.0,11.0,16.0,,28.0,,13.0,27.0,211.0,0.0,147.0,10.0,1.0,1.0,,76.0,53.0,3.0,64.0,,11.0,13.0,8.0,1.0,2.0,148.0,17.0,121.0,649.0,3.0,3.0,15.0,14.0,334.0,22.0,,3.0,19.0,,1.0,5.0,1.0,19.0,421.0,49.0,1.0,90105,2.0,142.0,9.0,171.0,5.0,13.0,11.0,73.0,,1.0,7.0,1.0,15.0,3.0,6.0,59.0,350.0,11.0,14.0,1.0,25.0,,63.0,,0.0,2.0,9.0,3.0,1.0,1.0,,0.0,3.0,,,51.4,19.0,5.0,7.0,4.0,26.0,1.0,,446.0,14.0,20.0,11.0,2.0,14.0,,286.0,8.0,12.0,23.0,115.0,26.0,4.0,19.0,20.0,1.0,5.0,3.0,18.0,,4.0,3.0,1.0,,3.0,,3.0,,2.0,1.0,,,,,,,,,,,,,,4.0,4.0,,,1.0,,1.0,1.0,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
