gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,attCmissHighLeft,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attObxRight,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,saves,attCmissRight,divingSave,goodHighClaim,interceptionsInBox,outfielderBlock,penaltyConceded,savedIbox,accurateFlickOn,penaltyFaced,totalHighClaim,penGoalsConceded,attGoalLowCentre,goalAssistOpenplay,attOboxGoal,attSvHighLeft,goalAssist,accurateThroughBall,attRfGoal,goalsOpenplay,attFreekickMiss,accurateCornersIntobox,attObxLeft,attOneOnOne,bigChanceCreated,attHdTarget,hitWoodwork,bigChanceMissed,ptsDroppedWinningPos,postScoringAtt,attIboxPost,attGoalHighRight,attSvHighRight,cleanSheet,contentiousDecision,attPostHigh,bigChanceScored,attGoalLowRight,accuratePullBack,midfielderGoals,goalAssistIntentional,attSvHighCentre,clearanceOffLine,attPostLeft,errorLeadToShot,goalAssistSetplay,goalAssistDeadball,penaltyWon,sixYardBlock,attPenGoal,foulThrowIn,goalsConcededObox,accurateKeeperSweeper,attHdPost,totalKeeperSweeper,handBall,attPostRight,attHdGoal,errorLeadToGoal,attGoalHighLeft,punches,defenderGoals,secondYellow,attCmissHighRight,attObxdLeft,attObpGoal,attGoalHighCentre,attPenTarget,penaltySave,attPenPost,attOboxPost
27,855439,2017-03-04 15:00:00,"Vicarage Road, Watford",20670,Away,Southampton,Watford,4,3,W,2,1,0,0,3.0,67.0,1.0,3.0,19.0,49.0,8.0,8.0,12.0,2.0,4.0,168.0,3.0,11.0,4.0,3.0,15.0,11.0,112.0,168.0,56.0,1.0,20.0,2.0,27.0,4.0,2.0,3.0,3.0,18.0,11.0,3.0,49.0,3.0,16.0,36.0,169.0,,0.0,128.0,9.0,3.0,,1.0,58.0,70.0,13.0,62.0,,15.0,23.0,8.0,1.0,4.0,3.0,168.0,11.0,104.0,684.0,10.0,8.0,27.0,8.0,317.0,36.0,1.0,2.0,29.0,2.0,2.0,23.0,414.0,67.0,,88900,4.0,172.0,10.0,1.0,205.0,4.0,1.0,23.0,9.0,66.0,,2.0,2.0,1.0,,17.0,5.0,4.0,,63.0,338.0,15.0,8.0,3.0,30.0,4.0,71.0,2.0,3.0,0.0,,4.0,6.0,4.0,3.0,0.0,2.0,,1.0,62.2,23.0,,,1.0,4.0,1.0,5.0,37.0,5.0,446.0,8.0,20.0,18.0,4.0,29.0,1.0,259.0,11.0,15.0,18.0,79.0,27.0,1.0,4.0,29.0,12.0,3.0,13.0,3.0,13.0,4.0,10.0,5.0,,1.0,,,,,5.0,,1.0,1.0,,,,1.0,2.0,,1.0,2.0,,2.0,4.0,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,
28,855451,2017-05-17 19:45:00,"St. Mary's Stadium, Southampton",31425,Home,Southampton,Manchester United,0,0,D,0,0,0,0,2.0,60.0,,4.0,18.0,11.0,7.0,5.0,10.0,,4.0,179.0,6.0,12.0,,3.0,11.0,6.0,127.0,133.0,47.0,2.0,17.0,,11.0,2.0,,2.0,3.0,24.0,9.0,4.0,11.0,7.0,23.0,29.0,196.0,1.0,0.0,131.0,7.0,,2.0,1.0,64.0,83.0,7.0,64.0,1.0,17.0,24.0,7.0,2.0,3.0,3.0,133.0,3.0,114.0,647.0,9.0,7.0,30.0,9.0,379.0,28.0,1.0,2.0,3.0,2.0,4.0,15.0,463.0,56.0,,88900,7.0,205.0,13.0,2.0,225.0,1.0,2.0,24.0,10.0,33.0,,,,4.0,,16.0,8.0,6.0,1.0,48.0,395.0,9.0,6.0,2.0,21.0,3.0,70.0,1.0,2.0,0.0,1.0,,3.0,,,0.0,4.0,,1.0,52.8,14.0,,,2.0,1.0,4.0,4.0,44.0,7.0,484.0,9.0,7.0,16.0,7.0,31.0,4.0,283.0,11.0,20.0,14.0,84.0,26.0,,,3.0,12.0,,9.0,3.0,14.0,,11.0,7.0,,1.0,,2.0,1.0,2.0,2.0,,1.0,1.0,,1.0,,,,,,,,,,1.0,2.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,
29,855459,2017-03-19 14:15:00,"White Hart Lane, London",31697,Away,Southampton,Tottenham Hotspur,1,2,L,0,2,0,0,,72.0,,1.0,22.0,29.0,3.0,4.0,5.0,1.0,2.0,165.0,3.0,6.0,1.0,2.0,8.0,3.0,123.0,162.0,52.0,,8.0,,9.0,1.0,2.0,1.0,2.0,12.0,12.0,1.0,29.0,1.0,22.0,48.0,154.0,,0.0,122.0,13.0,,,,71.0,60.0,4.0,59.0,1.0,11.0,26.0,3.0,,5.0,2.0,162.0,7.0,96.0,660.0,7.0,7.0,16.0,11.0,317.0,37.0,,6.0,18.0,3.0,4.0,28.0,422.0,62.0,,88900,3.0,181.0,6.0,1.0,209.0,9.0,1.0,26.0,5.0,44.0,,4.0,7.0,3.0,,17.0,5.0,2.0,1.0,56.0,332.0,12.0,9.0,,23.0,,76.0,,2.0,0.0,,2.0,5.0,1.0,2.0,0.0,3.0,,,49.5,25.0,,,2.0,,3.0,1.0,37.0,1.0,443.0,11.0,11.0,22.0,4.0,25.0,2.0,246.0,4.0,19.0,13.0,70.0,28.0,,3.0,18.0,21.0,1.0,7.0,3.0,8.0,3.0,15.0,1.0,,4.0,1.0,2.0,,1.0,4.0,1.0,4.0,2.0,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
30,855469,2017-04-01 17:30:00,"St. Mary's Stadium, Southampton",31847,Home,Southampton,Bournemouth,0,0,D,0,0,0,0,1.0,61.0,,1.0,25.0,21.0,4.0,5.0,10.0,,3.0,186.0,2.0,11.0,,1.0,11.0,4.0,145.0,137.0,48.0,,14.0,1.0,19.0,2.0,4.0,1.0,5.0,16.0,8.0,2.0,21.0,4.0,22.0,31.0,199.0,,0.0,122.0,14.0,,1.0,1.0,73.0,76.0,5.0,79.0,,12.0,19.0,4.0,,5.0,1.0,137.0,8.0,144.0,729.0,10.0,15.0,19.0,12.0,446.0,27.0,1.0,7.0,5.0,1.0,6.0,24.0,534.0,65.0,,88900,4.0,262.0,6.0,,290.0,6.0,1.0,19.0,8.0,50.0,,2.0,4.0,2.0,1.0,8.0,4.0,4.0,1.0,60.0,459.0,8.0,3.0,1.0,28.0,1.0,77.0,1.0,4.0,0.0,,2.0,3.0,,,0.0,,,1.0,61.3,24.0,1.0,,2.0,,2.0,2.0,49.0,6.0,554.0,12.0,11.0,21.0,8.0,28.0,6.0,280.0,8.0,22.0,20.0,81.0,28.0,,2.0,5.0,9.0,,13.0,3.0,14.0,2.0,6.0,6.0,1.0,2.0,,2.0,1.0,1.0,3.0,1.0,2.0,5.0,1.0,2.0,,,,,,,2.0,,,,2.0,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
31,855481,2017-04-05 19:45:00,"St. Mary's Stadium, Southampton",29968,Home,Southampton,Crystal Palace,3,1,W,1,1,0,0,2.0,46.0,1.0,3.0,33.0,22.0,6.0,9.0,19.0,2.0,2.0,157.0,9.0,8.0,3.0,1.0,18.0,9.0,91.0,134.0,41.0,,25.0,1.0,26.0,5.0,4.0,2.0,3.0,40.0,5.0,1.0,22.0,11.0,20.0,24.0,215.0,3.0,0.0,143.0,16.0,3.0,2.0,1.0,67.0,57.0,10.0,52.0,2.0,29.0,18.0,6.0,,5.0,4.0,134.0,11.0,101.0,614.0,13.0,5.0,42.0,8.0,313.0,20.0,1.0,11.0,14.0,2.0,8.0,22.0,377.0,63.0,1.0,88900,9.0,124.0,23.0,1.0,143.0,10.0,3.0,18.0,10.0,65.0,1.0,2.0,1.0,4.0,,12.0,6.0,8.0,3.0,57.0,330.0,10.0,7.0,2.0,27.0,2.0,58.0,2.0,1.0,0.0,,2.0,12.0,3.0,1.0,0.0,7.0,1.0,4.0,61.5,22.0,2.0,,4.0,3.0,4.0,4.0,33.0,11.0,401.0,8.0,13.0,17.0,12.0,44.0,8.0,298.0,12.0,18.0,14.0,111.0,17.0,,2.0,14.0,11.0,1.0,22.0,2.0,12.0,2.0,11.0,11.0,2.0,2.0,2.0,1.0,,,8.0,,,2.0,,1.0,,,3.0,,,3.0,2.0,1.0,3.0,,2.0,,2.0,5.0,2.0,1.0,3.0,,,,,,,2.0,,2.0,2.0,3.0,2.0,2.0,,,,,,,,2.0,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,
32,855490,2017-04-08 15:00:00,"The Hawthorns, West Bromwich",24697,Away,Southampton,West Bromwich Albion,1,0,W,1,0,0,0,,72.0,,3.0,32.0,34.0,4.0,5.0,6.0,,2.0,194.0,4.0,2.0,1.0,2.0,8.0,3.0,142.0,140.0,55.0,1.0,10.0,1.0,18.0,1.0,1.0,1.0,1.0,15.0,14.0,1.0,34.0,3.0,29.0,41.0,239.0,,0.0,148.0,12.0,,1.0,1.0,91.0,83.0,6.0,86.0,,12.0,15.0,4.0,1.0,5.0,1.0,140.0,11.0,127.0,748.0,7.0,6.0,17.0,23.0,428.0,40.0,2.0,4.0,20.0,2.0,2.0,16.0,525.0,65.0,,88900,2.0,213.0,6.0,,243.0,5.0,,15.0,10.0,48.0,,2.0,,2.0,1.0,11.0,6.0,9.0,,80.0,448.0,11.0,8.0,,35.0,,97.0,,1.0,0.0,,2.0,7.0,,,0.0,3.0,,1.0,58.1,12.0,1.0,,4.0,3.0,2.0,4.0,59.0,3.0,549.0,23.0,10.0,19.0,3.0,26.0,2.0,321.0,4.0,28.0,22.0,101.0,24.0,,6.0,20.0,21.0,,9.0,3.0,3.0,6.0,7.0,3.0,1.0,6.0,,3.0,1.0,1.0,4.0,,5.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
33,855496,2017-04-15 17:30:00,"St. Mary's Stadium, Southampton",31850,Home,Southampton,Manchester City,0,3,L,0,0,0,0,,58.0,,1.0,20.0,17.0,3.0,1.0,5.0,,,149.0,7.0,8.0,,2.0,6.0,1.0,98.0,129.0,47.0,1.0,8.0,2.0,7.0,1.0,1.0,1.0,2.0,18.0,12.0,,17.0,4.0,11.0,26.0,176.0,1.0,0.0,114.0,9.0,,,1.0,98.0,50.0,3.0,70.0,,14.0,22.0,3.0,1.0,4.0,1.0,129.0,11.0,117.0,615.0,4.0,4.0,20.0,19.0,331.0,26.0,,1.0,9.0,3.0,2.0,19.0,411.0,47.0,1.0,88900,4.0,175.0,9.0,1.0,196.0,6.0,1.0,22.0,12.0,38.0,,,,4.0,,10.0,7.0,3.0,1.0,54.0,344.0,7.0,9.0,1.0,11.0,1.0,61.0,,1.0,0.0,,3.0,8.0,,3.0,0.0,6.0,,3.0,41.1,17.0,1.0,,6.0,,4.0,3.0,30.0,4.0,434.0,19.0,6.0,14.0,4.0,22.0,3.0,256.0,4.0,11.0,10.0,77.0,21.0,,4.0,9.0,21.0,3.0,5.0,3.0,15.0,4.0,11.0,4.0,2.0,2.0,,1.0,,2.0,6.0,,,,,,,,,,,,,,,1.0,1.0,,,2.0,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
34,855505,2017-04-25 19:45:00,"Stamford Bridge, London",41168,Away,Southampton,Chelsea,2,4,L,1,2,0,0,2.0,63.0,1.0,1.0,22.0,19.0,4.0,5.0,8.0,,,163.0,5.0,6.0,2.0,5.0,6.0,4.0,126.0,138.0,36.0,1.0,12.0,3.0,16.0,1.0,1.0,1.0,,24.0,7.0,1.0,19.0,6.0,17.0,38.0,248.0,,0.0,144.0,9.0,,1.0,2.0,75.0,93.0,4.0,82.0,4.0,18.0,21.0,4.0,1.0,3.0,,138.0,12.0,138.0,705.0,4.0,5.0,24.0,15.0,408.0,29.0,,2.0,10.0,2.0,2.0,18.0,484.0,46.0,,88900,2.0,184.0,13.0,1.0,208.0,5.0,,21.0,6.0,49.0,,,2.0,9.0,,16.0,5.0,4.0,,49.0,427.0,13.0,9.0,1.0,14.0,7.0,64.0,,,0.0,,3.0,6.0,2.0,4.0,0.0,4.0,,2.0,52.2,17.0,1.0,,3.0,,9.0,4.0,39.0,7.0,509.0,15.0,8.0,18.0,4.0,29.0,4.0,325.0,5.0,16.0,7.0,113.0,16.0,,4.0,10.0,10.0,4.0,3.0,3.0,13.0,4.0,11.0,7.0,1.0,3.0,3.0,2.0,1.0,5.0,5.0,,2.0,2.0,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
35,855516,2017-04-29 15:00:00,"St. Mary's Stadium, Southampton",31120,Home,Southampton,Hull City,0,0,D,0,0,0,0,2.0,57.0,,3.0,17.0,27.0,6.0,8.0,5.0,,,164.0,1.0,10.0,,3.0,4.0,2.0,113.0,157.0,54.0,,11.0,3.0,18.0,2.0,1.0,1.0,,20.0,15.0,,27.0,5.0,14.0,44.0,147.0,1.0,0.0,115.0,9.0,,,1.0,57.0,67.0,4.0,61.0,1.0,15.0,21.0,6.0,,3.0,3.0,157.0,4.0,93.0,640.0,4.0,6.0,26.0,7.0,315.0,23.0,,,13.0,0.0,,26.0,408.0,55.0,1.0,88900,3.0,185.0,11.0,,206.0,6.0,3.0,21.0,9.0,55.0,,,2.0,6.0,,12.0,5.0,4.0,1.0,55.0,331.0,13.0,10.0,,13.0,1.0,77.0,1.0,,0.0,,1.0,6.0,,,0.0,1.0,,,51.9,21.0,,,4.0,,6.0,6.0,43.0,6.0,431.0,7.0,12.0,19.0,3.0,28.0,,245.0,3.0,14.0,12.0,68.0,23.0,,4.0,13.0,19.0,,9.0,3.0,16.0,4.0,14.0,6.0,1.0,1.0,,,,1.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,
36,855528,2017-05-07 13:30:00,"Anfield, Liverpool",53159,Away,Southampton,Liverpool,0,0,D,0,0,0,0,,77.0,,1.0,23.0,33.0,1.0,1.0,3.0,,,162.0,3.0,3.0,,,2.0,,63.0,168.0,46.0,,4.0,,17.0,,1.0,,2.0,18.0,17.0,,33.0,6.0,7.0,37.0,73.0,1.0,0.0,78.0,4.0,,,1.0,41.0,52.0,1.0,43.0,,12.0,14.0,1.0,,2.0,1.0,168.0,5.0,50.0,520.0,1.0,8.0,11.0,14.0,192.0,44.0,,3.0,17.0,3.0,1.0,26.0,284.0,45.0,,88900,1.0,136.0,9.0,1.0,161.0,2.0,,14.0,14.0,45.0,,1.0,3.0,3.0,,14.0,12.0,5.0,,79.0,206.0,8.0,12.0,1.0,28.0,1.0,81.0,,,0.0,,5.0,3.0,,,0.0,1.0,,1.0,35.1,20.0,1.0,,1.0,1.0,3.0,1.0,25.0,6.0,318.0,14.0,10.0,17.0,3.0,23.0,2.0,175.0,2.0,6.0,13.0,38.0,19.0,,2.0,17.0,22.0,,2.0,2.0,6.0,2.0,6.0,6.0,5.0,8.0,,5.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,
37,855536,2017-05-13 15:00:00,"Riverside Stadium, Middlesbrough",28203,Away,Southampton,Middlesbrough,2,1,W,1,0,0,0,,62.0,,1.0,26.0,22.0,4.0,2.0,10.0,,1.0,172.0,4.0,5.0,2.0,6.0,7.0,4.0,138.0,125.0,60.0,3.0,14.0,3.0,21.0,1.0,,1.0,2.0,21.0,9.0,1.0,22.0,3.0,23.0,35.0,224.0,1.0,0.0,130.0,11.0,,,1.0,58.0,63.0,3.0,76.0,1.0,18.0,18.0,4.0,3.0,7.0,,125.0,8.0,136.0,693.0,3.0,7.0,19.0,9.0,422.0,28.0,,5.0,18.0,0.0,4.0,18.0,493.0,60.0,1.0,88900,8.0,219.0,10.0,2.0,246.0,6.0,,18.0,8.0,51.0,,2.0,,,,9.0,6.0,3.0,1.0,50.0,439.0,18.0,10.0,2.0,15.0,1.0,65.0,1.0,1.0,0.0,1.0,4.0,6.0,2.0,1.0,0.0,3.0,1.0,4.0,58.2,17.0,2.0,,7.0,1.0,,4.0,42.0,3.0,522.0,9.0,7.0,24.0,6.0,31.0,5.0,297.0,8.0,22.0,27.0,95.0,24.0,1.0,1.0,18.0,12.0,1.0,7.0,3.0,9.0,1.0,9.0,3.0,1.0,2.0,,1.0,,1.0,6.0,,1.0,1.0,,,,1.0,2.0,,,2.0,,2.0,2.0,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,1.0,
38,855549,2017-05-21 15:00:00,"St. Mary's Stadium, Southampton",31286,Home,Southampton,Stoke City,0,1,L,0,0,0,0,4.0,65.0,,3.0,26.0,21.0,4.0,6.0,11.0,,1.0,195.0,3.0,4.0,,3.0,8.0,6.0,123.0,136.0,39.0,1.0,15.0,2.0,23.0,6.0,,4.0,2.0,21.0,8.0,,21.0,4.0,17.0,30.0,247.0,,0.0,166.0,12.0,,2.0,3.0,72.0,60.0,6.0,68.0,1.0,17.0,12.0,4.0,1.0,4.0,1.0,136.0,11.0,126.0,686.0,6.0,5.0,36.0,11.0,414.0,27.0,,2.0,11.0,2.0,2.0,15.0,492.0,70.0,,88900,7.0,187.0,10.0,3.0,206.0,6.0,1.0,12.0,9.0,56.0,,4.0,3.0,6.0,,14.0,3.0,6.0,,44.0,431.0,10.0,5.0,2.0,5.0,3.0,61.0,,,0.0,,2.0,10.0,,1.0,0.0,1.0,,3.0,61.0,13.0,1.0,,7.0,1.0,6.0,5.0,47.0,4.0,512.0,11.0,11.0,15.0,4.0,34.0,2.0,327.0,6.0,16.0,14.0,119.0,24.0,,1.0,11.0,11.0,1.0,8.0,3.0,9.0,1.0,6.0,4.0,,1.0,1.0,1.0,1.0,,6.0,,2.0,2.0,,2.0,,,,,,,1.0,,,,2.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0
