gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowCentre,attCmissRight,attObxLeft,shotFastbreak,attBxRight,goalAssistOpenplay,attOneOnOne,attSvHighRight,cleanSheet,totalFastbreak,midfielderGoals,bigChanceCreated,attMissHighLeft,goalAssist,accurateThroughBall,bigChanceMissed,attSetpiece,totalThroughBall,attCmissHighLeft,goalsOpenplay,attMissHigh,attFastbreak,attCmissLeft,accurateCrossNocorner,goalAssistIntentional,attBxLeft,attHdGoal,attGoalHighRight,attCmissHigh,attSvLowRight,attLfTarget,goalAssistSetplay,goalAssistDeadball,attMissHighRight,ptsDroppedWinningPos,attGoalLowLeft,postScoringAtt,penaltyWon,attFreekickPost,attPostLeft,hitWoodwork,accurateFreekickCross,attRfGoal,totalPullBack,attPenGoal,punches,attOboxPost,shieldBallOop,accuratePullBack,attIboxPost,ptsGainedLosingPos,attPostHigh,foulThrowIn,clearanceOffLine,forwardGoals,secondYellow,attObxRight,attOboxGoal,attHdTarget,attFreekickMiss,attHdPost,errorLeadToShot,attSvHighCentre,attLgCentre,attFreekickGoal,attPenTarget,attCmissHighRight,attPostRight,attFreekickTarget,attGoalHighLeft,goalFastbreak,attObxdLeft,penaltySave,attSvHighLeft,attGoalHighCentre
27,855441,2017-03-06 20:00:00,"London Stadium, London",56984,Home,West Ham United,Chelsea,1,2,L,0,1,0,0,,,67.0,,,1.0,37.0,7.0,6.0,2.0,5.0,2.0,,1.0,164.0,6.0,7.0,1.0,3.0,7.0,2.0,148.0,155.0,52.0,1.0,11.0,2.0,18.0,1.0,,,1.0,32.0,13.0,,7.0,6.0,13.0,44.0,248.0,0.0,119.0,8.0,2.0,1.0,1.0,3.0,93.0,54.0,3.0,100.0,,2.0,26.0,15.0,6.0,1.0,10.0,4.0,155.0,,8.0,142.0,744.0,6.0,9.0,16.0,14.0,450.0,20.0,11.0,6.0,,0.0,2.0,4.0,21.0,536.0,60.0,86934,4.0,221.0,15.0,,,236.0,6.0,15.0,5.0,49.0,,1.0,6.0,17.0,1.0,2.0,71.0,463.0,8.0,8.0,,31.0,3.0,89.0,0.0,3.0,4.0,2.0,1.0,2.0,2.0,0.0,2.0,51.8,19.0,2.0,5.0,6.0,3.0,55.0,6.0,,3.0,554.0,,14.0,9.0,27.0,6.0,32.0,1.0,2.0,350.0,7.0,11.0,19.0,79.0,32.0,3.0,6.0,18.0,2.0,7.0,3.0,13.0,,3.0,9.0,6.0,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,2.0,,1.0,5.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,855442,2017-03-11 15:00:00,"Vitality Stadium, Bournemouth",11369,Away,West Ham United,Bournemouth,2,3,L,1,1,0,0,,1.0,46.0,1.0,2.0,3.0,44.0,28.0,7.0,6.0,9.0,6.0,2.0,2.0,145.0,3.0,14.0,2.0,3.0,12.0,7.0,68.0,138.0,59.0,,16.0,2.0,23.0,3.0,,1.0,1.0,22.0,8.0,2.0,28.0,5.0,10.0,40.0,157.0,0.0,122.0,15.0,4.0,1.0,3.0,1.0,57.0,33.0,9.0,48.0,2.0,,17.0,15.0,7.0,,4.0,3.0,138.0,1.0,17.0,79.0,554.0,8.0,11.0,21.0,19.0,233.0,15.0,5.0,15.0,,2.0,4.0,3.0,25.0,303.0,71.0,86934,5.0,103.0,10.0,2.0,2.0,124.0,8.0,15.0,10.0,66.0,,,,12.0,5.0,7.0,80.0,257.0,16.0,14.0,2.0,20.0,2.0,72.0,0.0,2.0,5.0,4.0,2.0,3.0,4.0,0.0,3.0,48.6,21.0,,5.0,,5.0,40.0,6.0,2.0,1.0,340.0,,19.0,12.0,19.0,4.0,34.0,1.0,1.0,238.0,7.0,10.0,16.0,79.0,20.0,,15.0,13.0,3.0,11.0,3.0,20.0,,,11.0,6.0,1.0,1.0,,,,1.0,2.0,,,,,,1.0,1.0,2.0,1.0,,3.0,1.0,,2.0,2.0,,1.0,2.0,2.0,2.0,,,,3.0,2.0,,,,3.0,,,,,,,,,2.0,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,
29,855461,2017-03-18 15:00:00,"London Stadium, London",56979,Home,West Ham United,Leicester City,2,3,L,1,3,0,0,1.0,,72.0,,2.0,2.0,50.0,22.0,8.0,4.0,12.0,2.0,,2.0,175.0,7.0,13.0,2.0,6.0,15.0,7.0,121.0,153.0,81.0,3.0,20.0,3.0,16.0,4.0,1.0,1.0,2.0,34.0,15.0,1.0,22.0,6.0,8.0,31.0,221.0,0.0,150.0,10.0,1.0,1.0,2.0,1.0,73.0,68.0,7.0,63.0,2.0,2.0,28.0,12.0,8.0,3.0,10.0,3.0,153.0,,8.0,119.0,710.0,12.0,17.0,24.0,15.0,378.0,29.0,12.0,17.0,1.0,0.0,2.0,8.0,25.0,456.0,70.0,86934,9.0,180.0,16.0,1.0,,199.0,5.0,12.0,7.0,54.0,,2.0,5.0,12.0,3.0,4.0,75.0,394.0,14.0,8.0,2.0,23.0,5.0,84.0,0.0,,5.0,,1.0,3.0,5.0,0.0,6.0,58.6,21.0,3.0,4.0,6.0,5.0,53.0,6.0,,1.0,478.0,,15.0,12.0,22.0,8.0,37.0,3.0,5.0,313.0,10.0,8.0,35.0,109.0,31.0,2.0,17.0,20.0,2.0,10.0,3.0,24.0,,2.0,7.0,6.0,1.0,,,,,,,2.0,,,,2.0,2.0,,1.0,1.0,2.0,1.0,1.0,,,3.0,,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,1.0,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,,,1.0,
30,855465,2017-04-01 15:00:00,"The MKM Stadium, Hull",20820,Away,West Ham United,Hull City,1,2,L,1,0,0,0,,1.0,65.0,,1.0,,28.0,30.0,4.0,3.0,8.0,1.0,1.0,1.0,161.0,12.0,12.0,1.0,1.0,8.0,4.0,109.0,158.0,65.0,,12.0,1.0,16.0,2.0,1.0,,1.0,31.0,10.0,1.0,30.0,4.0,15.0,41.0,202.0,0.0,137.0,9.0,,1.0,2.0,,88.0,52.0,3.0,68.0,1.0,4.0,27.0,13.0,4.0,,15.0,2.0,158.0,,6.0,116.0,689.0,6.0,7.0,16.0,15.0,338.0,22.0,10.0,15.0,1.0,2.0,1.0,5.0,37.0,429.0,69.0,86934,7.0,167.0,10.0,,,183.0,5.0,13.0,5.0,47.0,,1.0,2.0,11.0,1.0,2.0,61.0,357.0,15.0,5.0,1.0,24.0,1.0,73.0,0.0,1.0,5.0,,1.0,2.0,2.0,0.0,6.0,54.3,27.0,4.0,8.0,2.0,1.0,39.0,5.0,,,454.0,,15.0,10.0,15.0,7.0,38.0,2.0,5.0,302.0,3.0,15.0,24.0,84.0,29.0,3.0,15.0,14.0,2.0,11.0,3.0,21.0,,3.0,9.0,5.0,1.0,,2.0,,,,1.0,,,,,,2.0,1.0,1.0,,1.0,,,,1.0,,,,10.0,1.0,,,,,2.0,,,,1.0,3.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,
31,855472,2017-04-05 19:45:00,"Emirates Stadium, London",59961,Away,West Ham United,Arsenal,0,3,L,0,0,0,0,1.0,,63.0,,1.0,1.0,23.0,28.0,4.0,2.0,2.0,5.0,,2.0,138.0,2.0,18.0,,4.0,3.0,2.0,84.0,126.0,60.0,2.0,7.0,,15.0,,,1.0,2.0,12.0,13.0,2.0,28.0,,11.0,27.0,122.0,0.0,90.0,5.0,1.0,,1.0,,56.0,34.0,2.0,56.0,1.0,,12.0,15.0,5.0,2.0,2.0,3.0,126.0,,13.0,69.0,545.0,3.0,9.0,7.0,19.0,250.0,35.0,5.0,14.0,,2.0,6.0,1.0,21.0,315.0,55.0,86934,,146.0,9.0,,,165.0,3.0,15.0,11.0,54.0,,3.0,3.0,8.0,8.0,4.0,64.0,266.0,11.0,16.0,,19.0,,72.0,0.0,1.0,5.0,4.0,,3.0,,0.0,,34.2,16.0,,,3.0,1.0,34.0,,,,347.0,,19.0,8.0,13.0,4.0,14.0,,1.0,194.0,5.0,11.0,13.0,56.0,17.0,3.0,14.0,18.0,2.0,4.0,3.0,28.0,1.0,3.0,7.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,2.0,,1.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,1.0,,,
32,855491,2017-04-08 15:00:00,"London Stadium, London",56973,Home,West Ham United,Swansea City,1,0,W,1,0,0,0,,,64.0,1.0,1.0,1.0,24.0,40.0,6.0,2.0,7.0,1.0,,1.0,147.0,7.0,8.0,1.0,3.0,10.0,6.0,77.0,136.0,60.0,3.0,14.0,2.0,17.0,4.0,,1.0,1.0,18.0,16.0,1.0,40.0,4.0,19.0,33.0,131.0,0.0,99.0,12.0,1.0,1.0,,1.0,57.0,65.0,7.0,63.0,1.0,2.0,14.0,18.0,7.0,3.0,3.0,3.0,136.0,,4.0,74.0,556.0,9.0,16.0,21.0,15.0,253.0,30.0,4.0,25.0,,5.0,1.0,3.0,20.0,338.0,52.0,86934,4.0,143.0,11.0,2.0,,160.0,7.0,18.0,10.0,53.0,,2.0,1.0,12.0,1.0,8.0,66.0,267.0,11.0,15.0,,30.0,,89.0,0.0,1.0,3.0,,,,6.0,0.0,2.0,46.3,14.0,,6.0,1.0,3.0,39.0,4.0,,1.0,361.0,,15.0,7.0,16.0,5.0,21.0,1.0,2.0,219.0,10.0,16.0,16.0,61.0,24.0,5.0,25.0,25.0,,11.0,3.0,11.0,,5.0,6.0,4.0,,,2.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,1.0,2.0,,1.0,6.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,1.0,,1.0,
33,855498,2017-04-15 15:00:00,"Stadium of Light, Sunderland",40168,Away,West Ham United,Sunderland,2,2,D,1,1,1,0,1.0,,61.0,1.0,1.0,1.0,30.0,30.0,3.0,4.0,4.0,2.0,1.0,1.0,164.0,3.0,9.0,2.0,2.0,5.0,3.0,96.0,127.0,49.0,1.0,7.0,1.0,10.0,,1.0,,,8.0,9.0,1.0,30.0,1.0,22.0,24.0,161.0,0.0,111.0,10.0,2.0,,1.0,,59.0,41.0,3.0,67.0,3.0,1.0,7.0,17.0,3.0,1.0,2.0,1.0,127.0,1.0,7.0,89.0,584.0,4.0,8.0,10.0,10.0,300.0,32.0,9.0,15.0,1.0,0.0,4.0,2.0,19.0,383.0,52.0,86934,1.0,164.0,4.0,,,189.0,4.0,17.0,10.0,44.0,1.0,,,9.0,7.0,4.0,69.0,322.0,14.0,7.0,,33.0,1.0,77.0,0.0,,7.0,1.0,2.0,2.0,1.0,1.0,1.0,52.4,17.0,,1.0,,2.0,41.0,1.0,,1.0,416.0,,10.0,12.0,13.0,2.0,16.0,1.0,1.0,235.0,2.0,22.0,14.0,66.0,19.0,3.0,15.0,12.0,1.0,5.0,2.0,14.0,1.0,3.0,6.0,1.0,2.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,2.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,
34,855511,2017-04-22 15:00:00,"London Stadium, London",56971,Home,West Ham United,Everton,0,0,D,0,0,0,0,,,66.0,,,4.0,25.0,19.0,7.0,5.0,8.0,,,1.0,150.0,9.0,13.0,,1.0,10.0,3.0,79.0,141.0,64.0,1.0,15.0,3.0,14.0,1.0,,,1.0,23.0,15.0,2.0,19.0,6.0,9.0,33.0,138.0,0.0,97.0,9.0,,,2.0,,50.0,62.0,6.0,43.0,,2.0,17.0,14.0,7.0,1.0,3.0,2.0,141.0,,1.0,74.0,534.0,8.0,12.0,13.0,17.0,239.0,34.0,8.0,12.0,,2.0,1.0,4.0,18.0,322.0,61.0,86934,4.0,128.0,12.0,1.0,,145.0,6.0,9.0,4.0,51.0,,1.0,4.0,10.0,3.0,2.0,63.0,257.0,15.0,8.0,2.0,28.0,6.0,72.0,0.0,,4.0,,,,5.0,0.0,3.0,40.6,11.0,1.0,4.0,4.0,7.0,33.0,8.0,,,346.0,,17.0,12.0,20.0,5.0,31.0,3.0,3.0,224.0,7.0,8.0,19.0,54.0,21.0,2.0,12.0,17.0,,8.0,2.0,21.0,,2.0,9.0,8.0,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,2.0,,1.0,6.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
35,855517,2017-04-29 15:00:00,"bet365 Stadium, Stoke",27628,Away,West Ham United,Stoke City,0,0,D,0,0,0,0,,,71.0,,2.0,2.0,19.0,38.0,4.0,2.0,8.0,4.0,,1.0,154.0,4.0,12.0,,1.0,9.0,4.0,71.0,139.0,62.0,,12.0,2.0,22.0,2.0,1.0,2.0,3.0,17.0,14.0,2.0,38.0,3.0,7.0,26.0,156.0,0.0,101.0,3.0,1.0,1.0,2.0,,31.0,89.0,6.0,59.0,5.0,,14.0,25.0,4.0,,2.0,,139.0,,9.0,90.0,604.0,8.0,8.0,21.0,20.0,282.0,32.0,5.0,19.0,1.0,0.0,7.0,3.0,18.0,353.0,44.0,86934,4.0,140.0,10.0,,,153.0,3.0,25.0,9.0,53.0,,4.0,4.0,16.0,10.0,2.0,51.0,292.0,12.0,9.0,1.0,22.0,1.0,70.0,0.0,2.0,5.0,2.0,,,2.0,0.0,2.0,42.9,15.0,1.0,2.0,4.0,4.0,40.0,3.0,,,374.0,,20.0,8.0,14.0,4.0,28.0,,4.0,238.0,8.0,6.0,21.0,64.0,29.0,,19.0,17.0,,10.0,3.0,23.0,,,17.0,3.0,,,,,,2.0,,,,1.0,,,,,,,,1.0,,,,1.0,,1.0,4.0,,1.0,,,,,2.0,,,,,,,,,,,1.0,,2.0,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
36,855531,2017-05-05 20:00:00,"London Stadium, London",56992,Home,West Ham United,Tottenham Hotspur,1,0,W,0,0,0,0,,,70.0,,1.0,1.0,25.0,44.0,7.0,3.0,6.0,5.0,,3.0,139.0,2.0,6.0,1.0,1.0,11.0,5.0,41.0,143.0,44.0,,13.0,,17.0,3.0,,,2.0,14.0,7.0,1.0,44.0,3.0,9.0,30.0,107.0,0.0,101.0,8.0,2.0,1.0,1.0,,46.0,68.0,5.0,44.0,3.0,2.0,11.0,16.0,7.0,,1.0,6.0,143.0,,6.0,48.0,483.0,10.0,10.0,19.0,18.0,174.0,29.0,8.0,22.0,,4.0,2.0,6.0,23.0,246.0,46.0,86934,4.0,79.0,9.0,,,94.0,6.0,16.0,8.0,52.0,,3.0,,18.0,5.0,3.0,71.0,184.0,9.0,10.0,,33.0,1.0,79.0,0.0,1.0,7.0,4.0,1.0,,4.0,0.0,1.0,32.4,19.0,,7.0,,1.0,32.0,3.0,,,272.0,,18.0,14.0,19.0,7.0,18.0,1.0,1.0,192.0,9.0,9.0,15.0,60.0,25.0,3.0,22.0,14.0,,11.0,3.0,9.0,,3.0,11.0,4.0,1.0,,,,2.0,,1.0,,1.0,1.0,2.0,,2.0,,1.0,,2.0,1.0,2.0,,1.0,1.0,2.0,,1.0,,1.0,,,,2.0,,,,2.0,,1.0,,,,,,,1.0,2.0,,,,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,
37,855541,2017-05-14 14:15:00,"London Stadium, London",56985,Home,West Ham United,Liverpool,0,4,L,0,1,0,0,1.0,,57.0,,4.0,,26.0,21.0,3.0,4.0,7.0,7.0,,1.0,123.0,3.0,12.0,,2.0,6.0,3.0,58.0,138.0,46.0,1.0,10.0,1.0,17.0,2.0,,,1.0,15.0,14.0,1.0,21.0,3.0,6.0,30.0,107.0,0.0,71.0,5.0,3.0,1.0,2.0,1.0,37.0,54.0,3.0,48.0,,,12.0,8.0,3.0,1.0,3.0,1.0,138.0,1.0,15.0,60.0,462.0,4.0,9.0,10.0,10.0,188.0,31.0,5.0,11.0,,2.0,1.0,3.0,12.0,261.0,45.0,86934,2.0,102.0,7.0,,,126.0,4.0,8.0,11.0,47.0,,3.0,5.0,20.0,11.0,5.0,71.0,206.0,10.0,9.0,2.0,35.0,3.0,73.0,0.0,1.0,6.0,3.0,,4.0,4.0,0.0,2.0,33.3,9.0,1.0,2.0,5.0,1.0,33.0,4.0,,1.0,289.0,,10.0,14.0,19.0,6.0,21.0,1.0,3.0,178.0,4.0,4.0,12.0,44.0,13.0,2.0,11.0,14.0,3.0,3.0,3.0,14.0,,2.0,5.0,4.0,,,,,,1.0,,,,,,,,1.0,,,2.0,3.0,1.0,,,1.0,,1.0,2.0,,1.0,,,,1.0,1.0,,,1.0,,,2.0,,,,2.0,,,,,1.0,,,,2.0,,,,,,,,,1.0,1.0,,3.0,1.0,,,,1.0,2.0,,,,,,,
38,855543,2017-05-21 15:00:00,"Turf Moor, Burnley",21634,Away,West Ham United,Burnley,2,1,W,1,1,0,0,,1.0,61.0,,,2.0,21.0,24.0,8.0,3.0,6.0,,,2.0,181.0,2.0,10.0,2.0,1.0,6.0,4.0,96.0,165.0,56.0,1.0,14.0,3.0,25.0,1.0,,,1.0,21.0,9.0,1.0,24.0,2.0,13.0,38.0,206.0,0.0,133.0,14.0,,,,,81.0,75.0,5.0,79.0,2.0,,19.0,12.0,8.0,1.0,8.0,4.0,165.0,,4.0,133.0,660.0,5.0,6.0,17.0,10.0,361.0,22.0,4.0,11.0,,2.0,1.0,1.0,22.0,460.0,65.0,86934,4.0,170.0,11.0,,,203.0,6.0,12.0,11.0,55.0,,3.0,1.0,10.0,5.0,3.0,78.0,374.0,11.0,6.0,,37.0,,92.0,0.0,2.0,2.0,,2.0,1.0,2.0,0.0,1.0,55.3,18.0,,2.0,1.0,5.0,37.0,5.0,,1.0,489.0,,10.0,10.0,21.0,5.0,26.0,,1.0,307.0,10.0,13.0,22.0,87.0,30.0,6.0,11.0,13.0,1.0,13.0,2.0,12.0,,6.0,4.0,5.0,2.0,,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,1.0,,2.0,4.0,,,2.0,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,1.0,,1.0,2.0,,,,1.0,,,3.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,1.0
