gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attLfGoal,attRfTarget,shotFastbreak,attSvLowCentre,attOboxGoal,penaltyWon,totalFastbreak,midfielderGoals,goodHighClaim,errorLeadToShot,totalPullBack,goalsOpenplay,attPenGoal,attFastbreak,punches,savedIbox,shieldBallOop,attBxLeft,totalHighClaim,forwardGoals,attGoalHighRight,attOneOnOne,accurateThroughBall,totalThroughBall,attFreekickGoal,attSvHighCentre,attGoalLowRight,goalAssistOpenplay,goalAssist,goalAssistIntentional,errorLeadToGoal,attHdTarget,attObxdLeft,attGoalHighLeft,attCmissLeft,attFreekickTarget,attHdGoal,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,accuratePullBack,accurateKeeperSweeper,totalKeeperSweeper,penaltyConceded,penaltyFaced,penGoalsConceded,attMissHighRight,ptsGainedLosingPos,attCmissHigh,attSvHighRight,cleanSheet,postScoringAtt,attIboxPost,attSvHighLeft,attFreekickPost,attHdPost,hitWoodwork,attOboxPost,attPostHigh,foulThrowIn,attPostRight,secondYellow,clearanceOffLine,attLgCentre,attObxRight,goalFastbreak,attGoalHighCentre,attPostLeft,penaltySave
27,1059963,2020-02-22 15:00:00,"Turf Moor, Burnley",18227.0,Away,Bournemouth,Burnley,0,3,L,0,0,0,0,3.0,1.0,,59.0,,4.0,1.0,15.0,33.0,4.0,6.0,8.0,7.0,168.0,7.0,8.0,,2.0,9.0,,4.0,96.0,146.0,49.0,1.0,12.0,3.0,18.0,4.0,1.0,,22.0,6.0,,33.0,2.0,3.0,26.0,176.0,0.0,139.0,9.0,3.0,,2.0,99.0,35.0,6.0,61.0,1.0,3.0,20.0,17.0,4.0,1.0,7.0,1.0,146.0,4.0,1.0,7.0,105.0,639.0,9.0,9.0,23.0,6.0,326.0,17.0,1.0,4.0,17.0,3.0,4.0,3.0,22.0,412.0,44.0,1.0,90105,7.0,170.0,4.0,11.0,,,205.0,4.0,,17.0,5.0,53.0,,1.0,8.0,12.0,9.0,3.0,,45.0,339.0,8.0,7.0,,24.0,2.0,59.0,2.0,0.0,1.0,7.0,,3.0,4.0,0.0,6.0,3.0,57.9,19.0,2.0,7.0,9.0,4.0,32.0,3.0,430.0,6.0,,12.0,9.0,4.0,31.0,1.0,3.0,247.0,3.0,3.0,21.0,104.0,22.0,2.0,17.0,12.0,2.0,8.0,3.0,18.0,,2.0,9.0,4.0,1.0,,2.0,1.0,2.0,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,3.0,,,1.0,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
28,1059972,2020-02-29 15:00:00,"Vitality Stadium, Bournemouth",10667.0,Home,Bournemouth,Chelsea,2,2,D,0,1,0,0,,2.0,1.0,63.0,,2.0,1.0,24.0,49.0,,3.0,9.0,5.0,144.0,5.0,12.0,2.0,,9.0,1.0,5.0,57.0,145.0,44.0,,9.0,,24.0,3.0,1.0,,11.0,4.0,,49.0,3.0,7.0,31.0,111.0,0.0,87.0,8.0,5.0,2.0,,50.0,44.0,6.0,42.0,2.0,2.0,8.0,15.0,,,3.0,,145.0,2.0,1.0,14.0,58.0,515.0,6.0,7.0,16.0,12.0,192.0,36.0,,6.0,29.0,2.0,5.0,3.0,17.0,279.0,52.0,,90105,5.0,100.0,1.0,5.0,,,130.0,2.0,1.0,15.0,9.0,60.0,,1.0,2.0,18.0,9.0,5.0,,53.0,206.0,5.0,11.0,1.0,17.0,1.0,56.0,,0.0,3.0,14.0,2.0,2.0,2.0,0.0,4.0,3.0,26.9,13.0,1.0,1.0,2.0,1.0,28.0,4.0,301.0,12.0,,12.0,12.0,3.0,20.0,1.0,3.0,182.0,3.0,7.0,19.0,45.0,20.0,6.0,29.0,8.0,2.0,7.0,2.0,18.0,2.0,6.0,5.0,4.0,,,1.0,,1.0,,,,1.0,,,,1.0,,,,2.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,2.0,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
29,1059987,2020-03-07 12:30:00,"Anfield, Liverpool",53323.0,Away,Bournemouth,Liverpool,1,2,L,1,2,0,0,,,1.0,53.0,1.0,,2.0,17.0,43.0,1.0,,5.0,4.0,132.0,3.0,6.0,1.0,2.0,6.0,,4.0,49.0,137.0,41.0,,6.0,,19.0,2.0,1.0,,14.0,6.0,1.0,43.0,3.0,,24.0,86.0,0.0,92.0,12.0,2.0,1.0,1.0,57.0,30.0,6.0,33.0,4.0,,11.0,20.0,1.0,,3.0,,137.0,2.0,,8.0,32.0,419.0,4.0,7.0,12.0,13.0,138.0,31.0,,6.0,22.0,1.0,4.0,,16.0,220.0,49.0,,90105,2.0,66.0,1.0,7.0,,,89.0,6.0,1.0,20.0,8.0,51.0,,5.0,1.0,8.0,6.0,1.0,,59.0,149.0,7.0,14.0,1.0,27.0,1.0,68.0,,0.0,2.0,9.0,1.0,2.0,3.0,0.0,1.0,1.0,25.5,9.0,,,1.0,2.0,27.0,4.0,246.0,13.0,,4.0,8.0,,19.0,2.0,,171.0,5.0,,19.0,46.0,16.0,3.0,22.0,9.0,2.0,5.0,3.0,9.0,3.0,3.0,13.0,4.0,,,2.0,4.0,1.0,,,5.0,,,,,1.0,,4.0,1.0,4.0,,1.0,,1.0,,1.0,1.0,4.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,
30,1059992,2020-06-20 19:45:00,"Vitality Stadium, Bournemouth",,Home,Bournemouth,Crystal Palace,0,2,L,0,2,0,0,1.0,,,54.0,,,2.0,20.0,8.0,6.0,1.0,6.0,,159.0,5.0,13.0,,3.0,11.0,,1.0,128.0,143.0,65.0,1.0,12.0,2.0,23.0,1.0,1.0,3.0,16.0,10.0,,8.0,9.0,11.0,33.0,240.0,0.0,163.0,13.0,,,,88.0,72.0,4.0,79.0,,,7.0,20.0,6.0,1.0,2.0,4.0,143.0,,1.0,5.0,128.0,680.0,6.0,5.0,25.0,7.0,389.0,25.0,1.0,6.0,5.0,3.0,1.0,7.0,20.0,468.0,58.0,,78007,4.0,177.0,,5.0,4.0,,201.0,8.0,,20.0,5.0,69.0,,2.0,2.0,17.0,2.0,4.0,1.0,36.0,412.0,15.0,9.0,5.0,13.0,4.0,55.0,,0.0,3.0,4.0,,2.0,2.0,0.0,1.0,3.0,58.7,18.0,2.0,7.0,2.0,4.0,39.0,11.0,494.0,7.0,,9.0,20.0,7.0,30.0,4.0,3.0,309.0,6.0,10.0,19.0,126.0,20.0,2.0,5.0,18.0,1.0,6.0,3.0,30.0,,2.0,10.0,11.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
31,1060011,2020-06-24 18:00:00,"Molineux Stadium, Wolverhampton",,Away,Bournemouth,Wolverhampton Wanderers,0,1,L,0,0,0,0,1.0,,,54.0,,,,22.0,15.0,3.0,,1.0,1.0,129.0,2.0,12.0,,2.0,3.0,1.0,,92.0,134.0,60.0,,4.0,2.0,18.0,,,,16.0,12.0,,15.0,4.0,5.0,33.0,124.0,0.0,102.0,11.0,1.0,,3.0,67.0,53.0,2.0,41.0,,2.0,12.0,23.0,3.0,,4.0,1.0,134.0,,,5.0,85.0,519.0,3.0,6.0,7.0,6.0,253.0,22.0,,4.0,9.0,3.0,1.0,1.0,26.0,322.0,66.0,1.0,75115,1.0,142.0,,5.0,1.0,1.0,152.0,8.0,,23.0,9.0,50.0,,2.0,5.0,14.0,5.0,3.0,,54.0,264.0,10.0,8.0,,11.0,1.0,56.0,,0.0,1.0,6.0,,1.0,1.0,0.0,2.0,1.0,44.9,20.0,1.0,2.0,5.0,2.0,23.0,4.0,347.0,6.0,,5.0,11.0,2.0,23.0,,1.0,211.0,3.0,4.0,21.0,47.0,21.0,2.0,9.0,17.0,1.0,2.0,5.0,21.0,,2.0,9.0,4.0,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1060012,2020-07-01 18:00:00,"Vitality Stadium, Bournemouth",,Home,Bournemouth,Newcastle United,1,4,L,0,2,0,0,,,,59.0,1.0,2.0,,26.0,7.0,8.0,5.0,4.0,3.0,160.0,3.0,11.0,1.0,5.0,10.0,,1.0,127.0,131.0,58.0,1.0,12.0,5.0,22.0,,,2.0,16.0,8.0,,7.0,5.0,3.0,25.0,184.0,0.0,129.0,11.0,2.0,,4.0,53.0,76.0,5.0,79.0,1.0,,11.0,7.0,8.0,1.0,5.0,2.0,131.0,1.0,,7.0,127.0,662.0,8.0,6.0,25.0,8.0,399.0,19.0,1.0,1.0,3.0,2.0,1.0,5.0,19.0,477.0,67.0,1.0,78007,2.0,229.0,1.0,2.0,4.0,4.0,252.0,3.0,1.0,7.0,4.0,59.0,,2.0,11.0,15.0,5.0,2.0,1.0,50.0,410.0,10.0,10.0,1.0,9.0,1.0,67.0,,0.0,,3.0,1.0,4.0,2.0,0.0,3.0,2.0,54.9,17.0,2.0,4.0,11.0,5.0,37.0,6.0,493.0,8.0,1.0,8.0,12.0,6.0,28.0,,3.0,257.0,5.0,2.0,21.0,88.0,24.0,1.0,3.0,16.0,4.0,6.0,5.0,19.0,,1.0,2.0,6.0,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,2.0,1.0,1.0,,,,,,,,,,
33,1060026,2020-07-04 15:00:00,"Old Trafford, Manchester",,Away,Bournemouth,Manchester United,2,5,L,1,3,0,0,1.0,,2.0,52.0,1.0,4.0,1.0,18.0,17.0,2.0,1.0,5.0,6.0,116.0,2.0,6.0,2.0,2.0,3.0,,3.0,60.0,115.0,30.0,,7.0,,15.0,,,,9.0,4.0,1.0,17.0,2.0,5.0,27.0,107.0,0.0,95.0,12.0,4.0,1.0,1.0,40.0,37.0,3.0,50.0,4.0,1.0,7.0,8.0,2.0,,4.0,1.0,115.0,1.0,1.0,9.0,57.0,439.0,2.0,4.0,13.0,11.0,199.0,27.0,,4.0,8.0,1.0,5.0,,15.0,261.0,46.0,,78007,1.0,109.0,1.0,2.0,,1.0,125.0,7.0,2.0,8.0,7.0,53.0,,4.0,6.0,14.0,10.0,5.0,,46.0,214.0,2.0,11.0,,13.0,,52.0,,0.0,,8.0,2.0,5.0,,0.0,2.0,,30.7,10.0,,5.0,6.0,1.0,26.0,3.0,283.0,11.0,,8.0,10.0,3.0,19.0,,1.0,167.0,6.0,5.0,12.0,57.0,10.0,2.0,8.0,10.0,3.0,5.0,5.0,14.0,3.0,2.0,4.0,3.0,2.0,,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,2.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,
34,1060032,2020-07-09 18:00:00,"Vitality Stadium, Bournemouth",,Home,Bournemouth,Tottenham Hotspur,0,0,D,0,0,0,0,1.0,1.0,,55.0,,,3.0,9.0,26.0,2.0,3.0,7.0,,122.0,3.0,6.0,,6.0,8.0,2.0,2.0,59.0,149.0,51.0,,9.0,1.0,29.0,1.0,,1.0,21.0,11.0,1.0,26.0,7.0,4.0,25.0,99.0,0.0,106.0,11.0,,1.0,2.0,35.0,38.0,5.0,38.0,5.0,2.0,14.0,24.0,2.0,,7.0,,149.0,1.0,1.0,5.0,52.0,478.0,5.0,3.0,23.0,12.0,175.0,21.0,,1.0,11.0,3.0,5.0,3.0,22.0,244.0,47.0,,78007,5.0,88.0,1.0,5.0,,3.0,111.0,6.0,,24.0,10.0,64.0,,1.0,2.0,12.0,4.0,1.0,,40.0,184.0,14.0,4.0,3.0,11.0,1.0,51.0,,0.0,3.0,12.0,,,2.0,0.0,2.0,2.0,35.7,15.0,2.0,5.0,2.0,4.0,19.0,8.0,271.0,12.0,,14.0,10.0,3.0,37.0,1.0,3.0,181.0,4.0,4.0,16.0,64.0,24.0,3.0,11.0,15.0,,4.0,2.0,13.0,,3.0,8.0,8.0,,,1.0,1.0,1.0,,,1.0,,2.0,,2.0,,,1.0,1.0,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
35,1060042,2020-07-12 19:00:00,"Vitality Stadium, Bournemouth",,Home,Bournemouth,Leicester City,4,1,W,0,1,0,1,,1.0,3.0,84.0,,2.0,1.0,28.0,20.0,2.0,4.0,7.0,4.0,193.0,4.0,12.0,4.0,4.0,6.0,,4.0,84.0,174.0,46.0,,9.0,1.0,23.0,,1.0,2.0,15.0,6.0,1.0,20.0,2.0,3.0,42.0,170.0,0.0,145.0,11.0,2.0,,,73.0,78.0,4.0,66.0,,,13.0,18.0,2.0,,7.0,,174.0,1.0,,9.0,81.0,611.0,5.0,9.0,20.0,11.0,294.0,27.0,,6.0,8.0,2.0,5.0,2.0,26.0,399.0,78.0,,75115,3.0,140.0,1.0,6.0,,2.0,161.0,5.0,3.0,18.0,5.0,56.0,,4.0,6.0,16.0,4.0,2.0,1.0,67.0,306.0,10.0,5.0,,26.0,,84.0,,0.0,2.0,6.0,4.0,1.0,1.0,0.0,4.0,1.0,44.1,20.0,1.0,6.0,6.0,2.0,43.0,2.0,424.0,11.0,,11.0,24.0,3.0,22.0,,3.0,278.0,4.0,3.0,18.0,83.0,38.0,5.0,8.0,6.0,1.0,6.0,5.0,18.0,,5.0,6.0,2.0,,,,,,,1.0,,,,1.0,,2.0,1.0,,,2.0,1.0,1.0,,2.0,,2.0,,,,,1.0,1.0,1.0,,1.0,,,,2.0,,,,,1.0,,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,
36,1060058,2020-07-15 18:00:00,"Etihad Stadium, Manchester",,Away,Bournemouth,Manchester City,1,2,L,0,2,0,0,2.0,,1.0,50.0,,,5.0,19.0,10.0,2.0,4.0,13.0,2.0,137.0,4.0,9.0,1.0,2.0,9.0,2.0,3.0,48.0,141.0,53.0,1.0,15.0,1.0,21.0,1.0,,1.0,20.0,6.0,1.0,10.0,5.0,2.0,34.0,114.0,0.0,129.0,10.0,,,1.0,38.0,35.0,4.0,37.0,1.0,3.0,15.0,11.0,2.0,1.0,5.0,,141.0,2.0,2.0,6.0,53.0,435.0,7.0,14.0,34.0,12.0,171.0,18.0,,8.0,5.0,1.0,,5.0,20.0,255.0,60.0,,78007,11.0,69.0,1.0,9.0,2.0,,91.0,5.0,,11.0,7.0,56.0,,2.0,1.0,8.0,2.0,2.0,2.0,56.0,179.0,8.0,12.0,1.0,24.0,1.0,55.0,1.0,0.0,,3.0,1.0,2.0,3.0,0.0,3.0,4.0,27.5,16.0,3.0,4.0,1.0,6.0,21.0,5.0,275.0,12.0,,7.0,13.0,6.0,41.0,1.0,6.0,204.0,7.0,2.0,28.0,77.0,23.0,2.0,5.0,9.0,1.0,13.0,5.0,17.0,,2.0,4.0,5.0,1.0,1.0,1.0,,1.0,,,,,1.0,,2.0,1.0,,,,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
37,1060062,2020-07-19 14:00:00,"Vitality Stadium, Bournemouth",,Home,Bournemouth,Southampton,0,2,L,0,1,0,0,1.0,2.0,,55.0,,2.0,1.0,29.0,11.0,4.0,6.0,7.0,6.0,166.0,6.0,3.0,,3.0,8.0,,3.0,45.0,192.0,68.0,,11.0,3.0,41.0,3.0,2.0,1.0,31.0,7.0,,11.0,12.0,3.0,39.0,104.0,0.0,127.0,12.0,2.0,2.0,3.0,52.0,41.0,4.0,36.0,1.0,1.0,19.0,30.0,4.0,,6.0,1.0,192.0,,1.0,11.0,41.0,506.0,6.0,13.0,28.0,11.0,163.0,26.0,1.0,11.0,6.0,2.0,4.0,4.0,31.0,268.0,77.0,,78007,5.0,76.0,,10.0,1.0,,101.0,5.0,,30.0,4.0,84.0,,2.0,2.0,14.0,5.0,1.0,1.0,60.0,174.0,11.0,10.0,2.0,27.0,6.0,70.0,,0.0,1.0,6.0,,2.0,5.0,0.0,3.0,4.0,43.0,17.0,3.0,2.0,2.0,4.0,36.0,12.0,288.0,11.0,,17.0,22.0,4.0,52.0,3.0,3.0,218.0,1.0,2.0,37.0,59.0,19.0,1.0,6.0,17.0,1.0,5.0,5.0,8.0,,1.0,18.0,12.0,1.0,,,,1.0,,,,,,,,,,,1.0,4.0,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0
38,1060076,2020-07-26 16:00:00,"Goodison Park, Liverpool",,Away,Bournemouth,Everton,3,1,W,2,1,0,0,,1.0,1.0,71.0,,,2.0,20.0,12.0,5.0,3.0,8.0,4.0,141.0,9.0,7.0,3.0,4.0,9.0,,7.0,60.0,155.0,57.0,1.0,13.0,2.0,21.0,3.0,,,24.0,13.0,1.0,12.0,3.0,3.0,32.0,123.0,0.0,113.0,9.0,,,5.0,63.0,46.0,7.0,38.0,4.0,,21.0,27.0,5.0,1.0,6.0,2.0,155.0,1.0,2.0,11.0,43.0,507.0,6.0,9.0,27.0,13.0,182.0,33.0,1.0,9.0,6.0,0.0,3.0,2.0,21.0,267.0,45.0,2.0,78007,6.0,75.0,1.0,10.0,,1.0,97.0,5.0,2.0,27.0,3.0,70.0,,1.0,1.0,13.0,2.0,,,50.0,189.0,10.0,14.0,1.0,24.0,3.0,51.0,1.0,0.0,3.0,2.0,3.0,1.0,1.0,0.0,8.0,2.0,30.0,17.0,,6.0,1.0,4.0,24.0,5.0,282.0,13.0,,16.0,13.0,2.0,37.0,1.0,,209.0,7.0,2.0,22.0,68.0,22.0,3.0,6.0,18.0,1.0,7.0,3.0,17.0,,3.0,13.0,5.0,,,2.0,,3.0,,1.0,,1.0,1.0,,,1.0,1.0,,,4.0,1.0,2.0,1.0,1.0,,,,,,,2.0,1.0,2.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
