gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,successfulPutThrough,wonCorners,attGoalLowRight,attLfGoal,attRfTarget,accuratePullBack,attCmissRight,attOboxBlocked,attIboxTarget,attBxRight,attSvLowCentre,attOneOnOne,attMissHighRight,cleanSheet,attOboxGoal,attSvLowLeft,contentiousDecision,attMissHighLeft,bigChanceMissed,sixYardBlock,totalPullBack,attCmissHigh,attMissHigh,attAssistSetplay,attSvLowRight,punches,shieldBallOop,effectiveBlockedCross,blockedCross,accurateFreekickCross,attCmissLeft,attFreekickTotal,goalAssistOpenplay,goodHighClaim,freekickTotal,totalHighClaim,attFreekickMiss,attSvHighLeft,attCmissHighLeft,foulThrowIn,attGoalHighCentre,attHdTarget,penaltyWon,hitWoodwork,attPenGoal,goalsConcededObox,attFreekickTarget,errorLeadToGoal,attPenMiss,clearanceOffLine,shotFastbreak,totalFastbreak,attFastbreak,postScoringAtt,attIboxPost,attHdPost,attPostHigh,attOboxPost,attPostRight,secondYellow,attSvHighRight,attPostLeft,ownGoals,attObxRight,attIboxOwnGoal,attObpGoal,goalFastbreak,attPenTarget,attFreekickPost,attObxdLeft
27,919162,2018-02-10 15:00:00,"London Stadium, London",56197,Away,Watford,West Ham United,0,2,L,0,1,0,0,,1.0,,58.0,,,3.0,,,18.0,26.0,5.0,2.0,5.0,2.0,176.0,,9.0,12.0,,2.0,10.0,4.0,120.0,182.0,71.0,11.0,31.0,,,29.0,10.0,,3.0,26.0,5.0,10.0,39.0,204.0,0.0,163.0,7.0,,2.0,,,64.0,50.0,7.0,57.0,2.0,1.0,24.0,19.0,6.0,7.0,2.0,182.0,1.0,5.0,89.0,659.0,1.0,8.0,10.0,35.0,12.0,310.0,22.0,8.0,13.0,,,1.0,2.0,3.0,27.0,422.0,77.0,1.0,,94924,4.0,128.0,17.0,,,148.0,3.0,,19.0,1.0,80.0,2.0,,1.0,4.0,,12.0,3.0,,53.0,323.0,11.0,21.0,29.0,77.0,0.0,4.0,8.0,2.0,,2.0,1.0,0.0,7.0,,2.0,63.8,22.0,1.0,4.0,,,4.0,4.0,37.0,7.0,,442.0,,12.0,14.0,15.0,3.0,40.0,2.0,1.0,323.0,5.0,7.0,32.0,102.0,21.0,,13.0,16.0,,2.0,6.0,3.0,19.0,,4.0,7.0,,,2.0,,,1.0,1.0,,2.0,,,,,2.0,,,1.0,,,,2.0,2.0,,,1.0,4.0,4.0,,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
28,919171,2018-02-24 17:30:00,"Vicarage Road, Watford",20430,Home,Watford,Everton,1,0,W,0,0,0,0,1.0,,,80.0,,1.0,,,,34.0,28.0,8.0,3.0,5.0,3.0,179.0,,4.0,15.0,1.0,1.0,9.0,5.0,92.0,182.0,77.0,13.0,12.0,,,15.0,14.0,1.0,1.0,28.0,4.0,10.0,35.0,176.0,0.0,142.0,10.0,,1.0,,,58.0,69.0,6.0,70.0,2.0,,12.0,28.0,8.0,2.0,3.0,182.0,,6.0,87.0,652.0,,6.0,10.0,23.0,13.0,303.0,32.0,13.0,15.0,1.0,,3.0,1.0,3.0,28.0,410.0,59.0,,,94924,3.0,144.0,10.0,1.0,,169.0,3.0,1.0,28.0,5.0,54.0,,,,1.0,1.0,19.0,1.0,4.0,69.0,316.0,9.0,7.0,36.0,91.0,0.0,2.0,5.0,1.0,1.0,,5.0,0.0,3.0,1.0,2.0,54.3,18.0,1.0,2.0,,,1.0,4.0,48.0,6.0,,428.0,,13.0,14.0,18.0,4.0,27.0,2.0,1.0,274.0,8.0,7.0,35.0,96.0,36.0,1.0,15.0,19.0,,,9.0,3.0,27.0,,12.0,6.0,,,3.0,,,4.0,3.0,2.0,2.0,,3.0,1.0,,1.0,,1.0,,,,,,2.0,,,,4.0,4.0,,,1.0,1.0,,1.0,1.0,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,919182,2018-03-03 15:00:00,"Vicarage Road, Watford",20022,Home,Watford,West Bromwich Albion,1,0,W,0,0,0,0,,,1.0,69.0,,1.0,3.0,,,29.0,24.0,5.0,4.0,10.0,2.0,166.0,,5.0,12.0,1.0,2.0,11.0,4.0,100.0,175.0,57.0,15.0,38.0,,1.0,16.0,7.0,,,24.0,4.0,7.0,43.0,165.0,0.0,134.0,11.0,,1.0,,1.0,66.0,42.0,6.0,65.0,1.0,2.0,13.0,15.0,5.0,5.0,2.0,175.0,2.0,6.0,81.0,615.0,,6.0,13.0,20.0,8.0,272.0,20.0,10.0,10.0,1.0,,2.0,2.0,5.0,21.0,381.0,69.0,1.0,,73426,7.0,130.0,7.0,1.0,,154.0,4.0,1.0,15.0,7.0,73.0,1.0,,3.0,3.0,1.0,11.0,3.0,4.0,78.0,290.0,10.0,7.0,33.0,84.0,0.0,2.0,6.0,1.0,,,4.0,0.0,2.0,1.0,3.0,53.3,12.0,3.0,5.0,2.0,,3.0,5.0,40.0,4.0,,412.0,,8.0,9.0,20.0,6.0,34.0,4.0,4.0,274.0,8.0,6.0,25.0,76.0,25.0,1.0,10.0,12.0,,,9.0,3.0,20.0,,8.0,4.0,,,3.0,,1.0,2.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,2.0,2.0,4.0,1.0,1.0,,10.0,10.0,1.0,,,1.0,2.0,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,919184,2018-03-11 13:30:00,"Emirates Stadium, London",59131,Away,Watford,Arsenal,0,3,L,0,1,0,0,,,,56.0,,1.0,1.0,,,30.0,16.0,2.0,2.0,9.0,4.0,131.0,,3.0,7.0,,4.0,6.0,4.0,72.0,153.0,49.0,11.0,22.0,,2.0,24.0,4.0,,1.0,16.0,8.0,6.0,39.0,140.0,0.0,113.0,9.0,,3.0,,2.0,65.0,40.0,3.0,53.0,3.0,1.0,16.0,26.0,2.0,3.0,,153.0,,10.0,68.0,524.0,,6.0,10.0,21.0,15.0,227.0,20.0,9.0,7.0,,,1.0,,3.0,28.0,299.0,53.0,,,73426,5.0,108.0,11.0,2.0,,123.0,3.0,,26.0,7.0,58.0,,,3.0,2.0,,14.0,1.0,5.0,60.0,245.0,12.0,8.0,24.0,62.0,0.0,5.0,4.0,3.0,,3.0,4.0,0.0,2.0,,2.0,40.3,18.0,1.0,8.0,1.0,,2.0,2.0,29.0,9.0,,324.0,,15.0,12.0,23.0,5.0,36.0,1.0,5.0,225.0,7.0,5.0,17.0,74.0,21.0,,7.0,13.0,,3.0,7.0,3.0,16.0,,13.0,9.0,,,3.0,,1.0,1.0,3.0,2.0,1.0,,1.0,,,,,1.0,2.0,,,,,,3.0,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,
31,919197,2018-03-17 17:30:00,"Anfield, Liverpool",53287,Away,Watford,Liverpool,0,5,L,0,2,0,0,,,,77.0,,1.0,1.0,,,24.0,24.0,1.0,,2.0,5.0,156.0,,2.0,8.0,,1.0,3.0,1.0,94.0,166.0,64.0,4.0,18.0,3.0,1.0,12.0,28.0,,,24.0,,7.0,35.0,140.0,0.0,86.0,4.0,,3.0,,,66.0,56.0,2.0,72.0,2.0,,12.0,24.0,2.0,5.0,1.0,166.0,1.0,10.0,98.0,602.0,,2.0,7.0,8.0,13.0,293.0,30.0,10.0,13.0,,3.0,0.0,1.0,1.0,23.0,397.0,46.0,1.0,,73426,1.0,166.0,7.0,,,201.0,2.0,,24.0,4.0,53.0,1.0,,3.0,1.0,,10.0,3.0,2.0,70.0,304.0,5.0,14.0,37.0,78.0,0.0,1.0,6.0,4.0,,5.0,1.0,0.0,2.0,,1.0,42.0,15.0,,4.0,1.0,1.0,1.0,1.0,37.0,,,420.0,,13.0,12.0,20.0,2.0,24.0,,,231.0,3.0,7.0,20.0,51.0,33.0,,13.0,30.0,,5.0,3.0,3.0,14.0,,9.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,1.0
32,919211,2018-03-31 15:00:00,"Vicarage Road, Watford",20393,Home,Watford,Bournemouth,2,2,D,1,1,0,0,3.0,2.0,,69.0,,3.0,1.0,1.0,,41.0,10.0,11.0,8.0,5.0,4.0,189.0,,3.0,9.0,2.0,1.0,8.0,5.0,99.0,163.0,48.0,16.0,21.0,,1.0,24.0,12.0,,3.0,10.0,6.0,2.0,39.0,199.0,0.0,179.0,16.0,,1.0,2.0,1.0,81.0,64.0,7.0,73.0,,3.0,18.0,19.0,11.0,2.0,2.0,163.0,,7.0,63.0,604.0,,6.0,10.0,27.0,14.0,309.0,20.0,13.0,4.0,2.0,,4.0,3.0,1.0,21.0,407.0,58.0,,1.0,73426,4.0,126.0,15.0,2.0,1.0,148.0,8.0,2.0,19.0,5.0,62.0,,,3.0,,1.0,10.0,6.0,3.0,80.0,322.0,6.0,9.0,36.0,69.0,0.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,,49.9,17.0,,14.0,1.0,1.0,,7.0,36.0,7.0,1.0,424.0,1.0,14.0,12.0,19.0,4.0,44.0,1.0,2.0,300.0,8.0,2.0,15.0,126.0,29.0,,4.0,18.0,,2.0,10.0,3.0,17.0,2.0,9.0,7.0,1.0,,1.0,,1.0,6.0,,,,,,,,2.0,,,,,2.0,,,,,,,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,919221,2018-04-07 15:00:00,"Vicarage Road, Watford",20044,Home,Watford,Burnley,1,2,L,0,0,0,0,,1.0,1.0,67.0,,1.0,1.0,,,25.0,23.0,6.0,4.0,8.0,2.0,173.0,1.0,5.0,11.0,1.0,3.0,12.0,5.0,113.0,188.0,62.0,14.0,32.0,1.0,4.0,31.0,4.0,,1.0,23.0,7.0,5.0,44.0,184.0,0.0,161.0,18.0,,,1.0,1.0,52.0,85.0,7.0,57.0,,,24.0,16.0,6.0,6.0,1.0,188.0,2.0,6.0,92.0,633.0,,11.0,11.0,25.0,9.0,308.0,28.0,9.0,13.0,,1.0,2.0,1.0,4.0,27.0,410.0,64.0,,3.0,73426,6.0,140.0,17.0,,,161.0,10.0,1.0,16.0,3.0,66.0,1.0,,3.0,4.0,1.0,20.0,1.0,,79.0,319.0,12.0,3.0,41.0,85.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,5.0,,2.0,60.5,18.0,2.0,2.0,1.0,2.0,4.0,5.0,36.0,11.0,,435.0,,9.0,11.0,18.0,4.0,56.0,,3.0,305.0,8.0,5.0,31.0,102.0,28.0,,13.0,9.0,,2.0,9.0,3.0,13.0,3.0,2.0,11.0,,,3.0,,,4.0,3.0,1.0,2.0,,,,,,,,2.0,,1.0,,,,,1.0,1.0,,,,3.0,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
34,919225,2018-04-14 15:00:00,"John Smith's Stadium, Huddersfield",23961,Away,Watford,Huddersfield Town,0,1,L,0,0,0,0,,,,49.0,,,1.0,,,25.0,36.0,2.0,,2.0,,177.0,,1.0,5.0,,3.0,4.0,2.0,81.0,161.0,52.0,4.0,21.0,,,11.0,16.0,,1.0,36.0,6.0,17.0,40.0,150.0,0.0,112.0,8.0,,,,1.0,53.0,36.0,4.0,69.0,1.0,,5.0,13.0,2.0,,,161.0,,6.0,78.0,585.0,,4.0,8.0,13.0,7.0,284.0,23.0,7.0,17.0,,,2.0,5.0,,27.0,383.0,66.0,,,85624,1.0,145.0,4.0,1.0,,173.0,7.0,,13.0,8.0,49.0,3.0,,1.0,1.0,,11.0,3.0,3.0,76.0,294.0,8.0,3.0,34.0,93.0,0.0,,9.0,,,1.0,3.0,0.0,1.0,,,51.3,18.0,,,,,1.0,2.0,39.0,6.0,,405.0,,7.0,16.0,18.0,,32.0,,,243.0,4.0,14.0,19.0,60.0,20.0,,17.0,20.0,,1.0,3.0,3.0,7.0,,10.0,6.0,,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,3.0,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,919241,2018-04-21 15:00:00,"Vicarage Road, Watford",20401,Home,Watford,Crystal Palace,0,0,D,0,0,0,0,1.0,1.0,,79.0,,,,,,40.0,22.0,6.0,4.0,8.0,1.0,153.0,,2.0,6.0,,3.0,8.0,4.0,76.0,171.0,75.0,14.0,24.0,,3.0,22.0,12.0,,1.0,22.0,4.0,9.0,36.0,144.0,0.0,138.0,17.0,,,,3.0,55.0,45.0,3.0,46.0,,3.0,18.0,19.0,6.0,5.0,5.0,171.0,,3.0,82.0,558.0,,7.0,20.0,13.0,12.0,240.0,30.0,17.0,10.0,,,3.0,2.0,5.0,24.0,342.0,66.0,,,85624,4.0,106.0,10.0,,,135.0,13.0,,19.0,2.0,73.0,,,,2.0,,11.0,3.0,1.0,68.0,248.0,12.0,17.0,36.0,65.0,0.0,2.0,3.0,1.0,,,5.0,0.0,1.0,,3.0,51.8,11.0,1.0,6.0,2.0,,2.0,,39.0,4.0,,357.0,,12.0,10.0,20.0,10.0,34.0,1.0,4.0,244.0,7.0,8.0,32.0,82.0,36.0,,10.0,25.0,,,8.0,3.0,12.0,,6.0,4.0,,,2.0,,1.0,,3.0,1.0,3.0,,2.0,1.0,,,,,,,,,1.0,1.0,,,1.0,2.0,2.0,,,,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,
36,919251,2018-04-30 20:00:00,"Wembley Stadium, London",52675,Away,Watford,Tottenham Hotspur,0,2,L,0,1,0,0,,1.0,,68.0,,1.0,2.0,,,29.0,22.0,3.0,5.0,10.0,1.0,138.0,,2.0,12.0,,,7.0,5.0,74.0,153.0,56.0,13.0,19.0,,2.0,7.0,15.0,,,22.0,,5.0,28.0,151.0,0.0,90.0,10.0,,,,,86.0,48.0,6.0,65.0,1.0,1.0,7.0,13.0,3.0,2.0,2.0,153.0,,8.0,77.0,549.0,,7.0,13.0,22.0,15.0,242.0,32.0,11.0,15.0,,,0.0,4.0,1.0,26.0,325.0,45.0,2.0,,94924,4.0,107.0,5.0,1.0,,138.0,4.0,,13.0,10.0,55.0,2.0,,3.0,2.0,,16.0,5.0,2.0,71.0,256.0,10.0,9.0,36.0,71.0,0.0,3.0,4.0,,,2.0,4.0,0.0,2.0,,,38.5,17.0,,,2.0,,2.0,3.0,37.0,,,354.0,,15.0,8.0,15.0,5.0,21.0,,3.0,223.0,7.0,4.0,16.0,59.0,29.0,,15.0,19.0,,2.0,12.0,3.0,23.0,,7.0,,,,4.0,,,1.0,5.0,1.0,4.0,,,,,,,,1.0,1.0,1.0,,2.0,,1.0,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
37,919261,2018-05-05 15:00:00,"Vicarage Road, Watford",20375,Home,Watford,Newcastle United,2,1,W,2,0,0,0,,1.0,2.0,63.0,,,,,,24.0,41.0,2.0,1.0,9.0,1.0,155.0,1.0,1.0,2.0,2.0,3.0,6.0,8.0,85.0,138.0,44.0,11.0,25.0,,,11.0,10.0,,,41.0,2.0,15.0,29.0,135.0,0.0,96.0,9.0,,1.0,1.0,2.0,56.0,44.0,6.0,59.0,,,9.0,15.0,2.0,3.0,,138.0,4.0,7.0,85.0,560.0,,3.0,9.0,15.0,8.0,280.0,24.0,6.0,19.0,2.0,,2.0,3.0,,16.0,362.0,54.0,1.0,1.0,94924,4.0,154.0,4.0,3.0,,173.0,4.0,1.0,15.0,8.0,50.0,3.0,,5.0,1.0,2.0,13.0,2.0,2.0,63.0,288.0,11.0,9.0,29.0,85.0,0.0,3.0,5.0,,2.0,1.0,5.0,0.0,1.0,2.0,2.0,39.2,13.0,,4.0,1.0,,1.0,2.0,39.0,2.0,,384.0,,8.0,6.0,12.0,1.0,21.0,,1.0,222.0,8.0,13.0,17.0,55.0,28.0,1.0,19.0,14.0,1.0,1.0,7.0,3.0,4.0,,8.0,2.0,1.0,,4.0,,,2.0,6.0,2.0,2.0,1.0,1.0,,,3.0,,,4.0,,,,,1.0,1.0,,,5.0,5.0,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
38,919267,2018-05-13 15:00:00,"Old Trafford, Manchester",75049,Away,Watford,Manchester United,0,1,L,0,1,0,0,,,,59.0,,,1.0,,,19.0,24.0,1.0,,6.0,,148.0,,6.0,8.0,,2.0,5.0,3.0,127.0,137.0,47.0,7.0,11.0,1.0,2.0,21.0,13.0,,,24.0,5.0,8.0,35.0,177.0,0.0,112.0,11.0,,,,1.0,42.0,71.0,4.0,52.0,2.0,,16.0,12.0,1.0,10.0,1.0,137.0,1.0,2.0,102.0,619.0,,4.0,7.0,32.0,15.0,341.0,25.0,5.0,13.0,,1.0,0.0,2.0,1.0,17.0,410.0,47.0,,,94924,5.0,184.0,5.0,,,191.0,9.0,,12.0,8.0,57.0,,,1.0,3.0,,15.0,5.0,6.0,39.0,355.0,6.0,11.0,15.0,65.0,0.0,3.0,6.0,,,1.0,1.0,0.0,4.0,,3.0,48.6,13.0,1.0,4.0,1.0,,3.0,1.0,43.0,5.0,,429.0,,15.0,12.0,22.0,3.0,28.0,2.0,2.0,259.0,4.0,5.0,13.0,72.0,27.0,,13.0,20.0,,1.0,4.0,3.0,21.0,,7.0,5.0,,,1.0,,,,3.0,,2.0,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,2.0,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
