gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,overrun,lostCorners,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,goalAssistSetplay,goalAssistDeadball,saves,goals,attGoalHighRight,divingSave,midfielderGoals,interceptionsInBox,bigChanceCreated,goalAssist,accurateThroughBall,bigChanceMissed,totalThroughBall,attMissHigh,savedIbox,attIboxGoal,goalAssistIntentional,shieldBallOop,attBxLeft,attHdGoal,goalsConcededObox,handBall,attGoalLowLeft,goalAssistOpenplay,sixYardBlock,penaltyConceded,goalsOpenplay,attSvLowRight,penaltyFaced,penGoalsConceded,forwardGoals,bigChanceScored,attemptsIbox,postScoringAtt,attIboxPost,penaltyWon,goodHighClaim,attemptsObox,contentiousDecision,subsGoals,attHdPost,touchesInOppBox,hitWoodwork,attRfGoal,attCmissHigh,attPenGoal,attCorner,attPostHigh,totalHighClaim,attFreekickMiss,punches,foulThrowIn,attGoalLowRight,attLfGoal,attOneOnOne,attSvLowLeft,attFreekickPost,attOboxPost,accurateKeeperSweeper,attHdTarget,totalKeeperSweeper,ownGoals,attIboxOwnGoal,attOboxGoal,cleanSheet,defenderGoals,errorLeadToShot,attObxdLeft,attSvHighCentre,attGoalLowCentre,attPostRight,accuratePullBack,totalPullBack,attCmissHighLeft,attGoalHighLeft,errorLeadToGoal,clearanceOffLine,goalFastbreak,attFreekickGoal,attObxRight,attGoalHighCentre,attPostLeft,attObxdRight,attSvHighLeft,attCmissHighRight,secondYellow,attFreekickTarget
28,695178,2014-05-07 19:45:00,"Stadium of Light, Sunderland",45181,Home,Sunderland,West Bromwich Albion,2,0,W,2,0,0,0,,65.0,1.0,36.0,19.0,4.0,1.0,2.0,157.0,2.0,5.0,2.0,10.0,1.0,4.0,109.0,147.0,52.0,,10.0,2.0,16.0,,1.0,1.0,,1.0,12.0,11.0,2.0,19.0,5.0,13.0,46.0,145.0,1.0,,0.0,103.0,14.0,1.0,,67.0,60.0,7.0,78.0,1.0,7.0,14.0,,1.0,,147.0,1.0,91.0,617.0,7.0,18.0,21.0,325.0,36.0,,9.0,11.0,0.0,5.0,3.0,29.0,418.0,64.0,,88372,3.0,196.0,6.0,,219.0,7.0,14.0,10.0,45.0,,2.0,10.0,12.0,5.0,64.0,339.0,12.0,6.0,1.0,38.0,93.0,1.0,1.0,0.0,3.0,,,1.0,0.0,1.0,,48.3,17.0,,4.0,2.0,3.0,50.0,5.0,435.0,21.0,7.0,26.0,3.0,12.0,1.0,3.0,228.0,9.0,11.0,20.0,61.0,20.0,4.0,11.0,15.0,,9.0,3.0,9.0,4.0,7.0,5.0,3.0,,,3.0,2.0,,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,,2.0,2.0,,1.0,,,1.0,1.0,2.0,1.0,,2.0,,,,1.0,2.0,,,,,1.0,,,,,,,2.0,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,
29,695184,2014-03-26 20:00:00,"Anfield, Liverpool",44524,Away,Sunderland,Liverpool,1,2,L,0,1,0,0,1.0,60.0,1.0,32.0,17.0,7.0,2.0,2.0,139.0,4.0,3.0,1.0,11.0,,4.0,75.0,152.0,46.0,,12.0,1.0,16.0,,,1.0,1.0,2.0,24.0,24.0,3.0,17.0,4.0,4.0,48.0,164.0,,,0.0,129.0,15.0,,1.0,51.0,76.0,5.0,50.0,1.0,21.0,10.0,,6.0,3.0,152.0,9.0,85.0,536.0,8.0,23.0,8.0,254.0,28.0,,6.0,11.0,2.0,1.0,6.0,21.0,335.0,64.0,1.0,88372,2.0,102.0,14.0,1.0,118.0,7.0,10.0,15.0,59.0,2.0,4.0,11.0,12.0,6.0,57.0,262.0,5.0,14.0,2.0,22.0,85.0,,,0.0,1.0,3.0,2.0,7.0,0.0,2.0,3.0,39.0,17.0,2.0,3.0,4.0,2.0,42.0,4.0,349.0,8.0,11.0,23.0,6.0,13.0,2.0,2.0,255.0,7.0,4.0,11.0,86.0,19.0,1.0,11.0,28.0,1.0,9.0,3.0,9.0,1.0,3.0,4.0,2.0,1.0,1.0,5.0,1.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,3.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,1.0,2.0,,,1.0,,,,1.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,695198,2014-03-15 15:00:00,"Stadium of Light, Sunderland",43636,Home,Sunderland,Crystal Palace,0,0,D,0,0,0,0,2.0,66.0,2.0,32.0,12.0,8.0,9.0,,161.0,8.0,7.0,6.0,11.0,,2.0,107.0,169.0,56.0,,19.0,3.0,21.0,1.0,1.0,2.0,1.0,1.0,32.0,16.0,1.0,12.0,4.0,11.0,40.0,196.0,4.0,,0.0,150.0,16.0,1.0,5.0,48.0,85.0,4.0,65.0,3.0,28.0,14.0,,11.0,4.0,169.0,4.0,104.0,624.0,9.0,13.0,8.0,312.0,26.0,1.0,10.0,5.0,4.0,1.0,7.0,19.0,422.0,83.0,1.0,88372,8.0,135.0,12.0,6.0,168.0,7.0,14.0,8.0,52.0,3.0,5.0,8.0,8.0,3.0,65.0,323.0,14.0,5.0,2.0,35.0,80.0,1.0,,0.0,1.0,2.0,,2.0,0.0,7.0,3.0,64.5,16.0,3.0,1.0,5.0,5.0,33.0,6.0,437.0,8.0,8.0,16.0,12.0,31.0,1.0,7.0,301.0,7.0,10.0,17.0,95.0,30.0,,5.0,18.0,,9.0,3.0,10.0,,6.0,6.0,4.0,,,5.0,,,1.0,,1.0,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,2.0,,1.0,,,,1.0,,1.0,,,1.0,2.0,,,,,,,,,,2.0,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,
31,695208,2014-03-22 15:00:00,"Carrow Road, Norwich",26654,Away,Sunderland,Norwich City,0,2,L,0,2,1,0,,56.0,2.0,37.0,24.0,3.0,2.0,1.0,154.0,5.0,8.0,3.0,8.0,,2.0,84.0,136.0,68.0,,9.0,1.0,9.0,2.0,,1.0,1.0,1.0,19.0,13.0,,24.0,4.0,12.0,38.0,145.0,1.0,,0.0,117.0,20.0,,3.0,39.0,55.0,4.0,54.0,1.0,16.0,13.0,,5.0,2.0,136.0,5.0,76.0,561.0,6.0,13.0,13.0,265.0,29.0,,15.0,14.0,4.0,1.0,4.0,17.0,345.0,73.0,2.0,88372,2.0,140.0,8.0,2.0,157.0,10.0,13.0,7.0,45.0,,4.0,15.0,10.0,2.0,66.0,280.0,15.0,6.0,2.0,38.0,90.0,,,0.0,1.0,8.0,2.0,8.0,1.0,5.0,2.0,45.9,16.0,1.0,1.0,4.0,3.0,47.0,5.0,368.0,13.0,7.0,21.0,4.0,17.0,1.0,2.0,230.0,5.0,10.0,27.0,70.0,16.0,4.0,14.0,18.0,1.0,5.0,3.0,13.0,4.0,7.0,5.0,4.0,,,6.0,,,3.0,,2.0,,,,,2.0,1.0,2.0,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,3.0,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,
32,695218,2014-03-31 20:00:00,"Stadium of Light, Sunderland",37396,Home,Sunderland,West Ham United,1,2,L,0,1,0,0,2.0,62.0,1.0,29.0,24.0,15.0,9.0,3.0,151.0,3.0,6.0,1.0,19.0,,7.0,126.0,151.0,52.0,,26.0,4.0,14.0,3.0,,1.0,3.0,7.0,34.0,23.0,3.0,24.0,5.0,19.0,51.0,235.0,1.0,1.0,0.0,171.0,11.0,,1.0,45.0,76.0,9.0,57.0,2.0,29.0,16.0,,7.0,8.0,151.0,6.0,109.0,671.0,18.0,9.0,5.0,337.0,26.0,2.0,4.0,18.0,2.0,1.0,10.0,27.0,422.0,65.0,,88372,5.0,124.0,21.0,,138.0,4.0,16.0,6.0,48.0,1.0,7.0,11.0,5.0,4.0,50.0,356.0,13.0,11.0,,23.0,74.0,,2.0,0.0,,3.0,2.0,4.0,0.0,2.0,1.0,60.6,22.0,1.0,3.0,8.0,5.0,42.0,8.0,443.0,5.0,9.0,27.0,14.0,32.0,1.0,6.0,339.0,15.0,18.0,9.0,121.0,23.0,,18.0,25.0,2.0,23.0,3.0,10.0,,11.0,8.0,3.0,,,4.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,,4.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,3.0,,1.0,,,,,,,,,,3.0,,1.0,,,1.0,1.0,1.0,,,2.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
33,695229,2014-04-07 20:00:00,"White Hart Lane, London",34410,Away,Sunderland,Tottenham Hotspur,1,5,L,1,1,0,0,1.0,49.0,,24.0,25.0,7.0,1.0,2.0,125.0,2.0,4.0,4.0,4.0,1.0,4.0,70.0,134.0,44.0,1.0,8.0,1.0,11.0,,,,,1.0,7.0,15.0,3.0,25.0,2.0,9.0,35.0,108.0,,,0.0,70.0,8.0,,3.0,50.0,39.0,2.0,58.0,2.0,5.0,14.0,1.0,1.0,2.0,134.0,13.0,66.0,523.0,3.0,4.0,21.0,215.0,16.0,,4.0,8.0,2.0,11.0,2.0,24.0,301.0,46.0,1.0,88372,1.0,125.0,1.0,1.0,150.0,6.0,14.0,9.0,45.0,4.0,9.0,9.0,16.0,2.0,48.0,231.0,12.0,9.0,1.0,25.0,85.0,,1.0,0.0,1.0,8.0,5.0,,0.0,2.0,1.0,39.1,22.0,1.0,1.0,9.0,1.0,42.0,2.0,319.0,21.0,15.0,12.0,3.0,10.0,,1.0,176.0,6.0,8.0,12.0,38.0,21.0,6.0,8.0,17.0,4.0,6.0,2.0,7.0,6.0,7.0,2.0,1.0,,,6.0,1.0,,4.0,1.0,2.0,,,,,,,5.0,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,4.0,,1.0,,,,,1.0,,,,,4.0,,,,1.0,,,1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,
34,695237,2014-04-12 15:07:00,"Stadium of Light, Sunderland",38445,Home,Sunderland,Everton,0,1,L,0,0,0,0,2.0,60.0,2.0,41.0,26.0,14.0,9.0,4.0,131.0,6.0,11.0,4.0,19.0,1.0,6.0,86.0,136.0,55.0,1.0,24.0,9.0,16.0,2.0,,1.0,,2.0,20.0,14.0,4.0,26.0,5.0,12.0,43.0,159.0,1.0,,0.0,132.0,17.0,,3.0,49.0,57.0,13.0,53.0,3.0,16.0,22.0,1.0,3.0,2.0,136.0,14.0,66.0,554.0,15.0,8.0,18.0,236.0,31.0,,13.0,15.0,3.0,7.0,6.0,14.0,318.0,64.0,2.0,88372,6.0,96.0,10.0,3.0,113.0,8.0,22.0,10.0,59.0,3.0,4.0,9.0,7.0,4.0,69.0,249.0,15.0,13.0,4.0,33.0,77.0,,,0.0,,6.0,1.0,2.0,0.0,3.0,1.0,46.6,11.0,1.0,1.0,4.0,11.0,43.0,6.0,336.0,18.0,11.0,24.0,7.0,18.0,3.0,5.0,243.0,13.0,7.0,16.0,88.0,19.0,3.0,15.0,14.0,1.0,14.0,1.0,14.0,3.0,11.0,6.0,1.0,,,3.0,,,1.0,,,,,,,,1.0,2.0,,,,,,,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,3.0,,,2.0,,2.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,1.0
35,695243,2014-04-19 17:30:00,"Stamford Bridge, London",41210,Away,Sunderland,Chelsea,2,1,W,1,1,0,0,1.0,60.0,,22.0,46.0,5.0,2.0,,138.0,2.0,3.0,2.0,5.0,,3.0,63.0,139.0,50.0,,7.0,,20.0,,,,,2.0,12.0,13.0,1.0,46.0,4.0,11.0,39.0,91.0,,,0.0,78.0,14.0,,1.0,41.0,40.0,1.0,46.0,1.0,9.0,15.0,,1.0,4.0,139.0,16.0,42.0,507.0,4.0,10.0,9.0,193.0,26.0,,7.0,27.0,2.0,8.0,4.0,21.0,267.0,54.0,,88601,2.0,113.0,7.0,,134.0,2.0,15.0,11.0,69.0,1.0,6.0,11.0,15.0,6.0,56.0,202.0,11.0,19.0,1.0,31.0,80.0,,,0.0,,10.0,1.0,3.0,0.0,1.0,,38.2,13.0,,3.0,6.0,,33.0,4.0,289.0,9.0,9.0,18.0,4.0,7.0,2.0,,167.0,5.0,10.0,20.0,43.0,16.0,8.0,27.0,16.0,1.0,4.0,3.0,11.0,8.0,9.0,4.0,6.0,,,14.0,2.0,,3.0,,2.0,,,,,,1.0,8.0,2.0,,,,,,1.0,1.0,,,,,1.0,,,2.0,2.0,,,,1.0,,,1.0,,,,,2.0,1.0,1.0,,,,,4.0,,,,,,,,2.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
36,695258,2014-04-27 12:00:00,"Stadium of Light, Sunderland",42397,Home,Sunderland,Cardiff City,4,0,W,2,0,0,1,,51.0,5.0,55.0,18.0,8.0,9.0,2.0,135.0,7.0,6.0,2.0,15.0,1.0,7.0,127.0,106.0,42.0,,21.0,3.0,12.0,2.0,,1.0,1.0,,20.0,11.0,1.0,18.0,9.0,10.0,49.0,234.0,,,0.0,165.0,10.0,1.0,1.0,86.0,74.0,10.0,80.0,4.0,11.0,9.0,,5.0,4.0,106.0,5.0,106.0,624.0,12.0,4.0,8.0,381.0,33.0,1.0,4.0,10.0,5.0,1.0,5.0,18.0,434.0,68.0,1.0,88372,6.0,166.0,5.0,1.0,177.0,6.0,9.0,6.0,45.0,,3.0,12.0,1.0,1.0,74.0,393.0,11.0,6.0,,14.0,70.0,,,0.0,3.0,5.0,,1.0,0.0,5.0,4.0,59.6,17.0,1.0,1.0,3.0,8.0,46.0,11.0,448.0,8.0,9.0,32.0,6.0,22.0,2.0,2.0,291.0,8.0,10.0,11.0,132.0,11.0,5.0,10.0,14.0,,15.0,3.0,14.0,5.0,5.0,11.0,1.0,2.0,2.0,1.0,4.0,,1.0,1.0,,2.0,3.0,1.0,1.0,2.0,1.0,,4.0,3.0,1.0,4.0,2.0,,,2.0,1.0,,,1.0,,,,3.0,2.0,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,1.0,,1.0,1.0,,2.0,,,2.0,1.0,2.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,
37,695266,2014-05-03 15:00:00,"Old Trafford, Manchester",75347,Away,Sunderland,Manchester United,1,0,W,1,0,0,0,,59.0,1.0,19.0,33.0,2.0,5.0,,136.0,2.0,1.0,2.0,5.0,,1.0,72.0,137.0,37.0,,8.0,,18.0,,,1.0,,2.0,7.0,11.0,,33.0,,9.0,48.0,132.0,,,0.0,81.0,12.0,,1.0,57.0,62.0,2.0,61.0,1.0,7.0,17.0,,3.0,2.0,137.0,11.0,70.0,533.0,4.0,11.0,22.0,249.0,23.0,1.0,2.0,16.0,1.0,2.0,3.0,19.0,322.0,49.0,,88372,3.0,128.0,3.0,1.0,145.0,3.0,17.0,16.0,55.0,3.0,4.0,16.0,6.0,5.0,50.0,258.0,10.0,11.0,,20.0,89.0,,1.0,0.0,2.0,8.0,,2.0,0.0,2.0,,37.0,14.0,,5.0,4.0,1.0,42.0,,339.0,22.0,10.0,24.0,6.0,17.0,,2.0,201.0,3.0,8.0,12.0,46.0,20.0,7.0,16.0,15.0,,7.0,3.0,5.0,7.0,8.0,,1.0,,,2.0,1.0,,2.0,1.0,7.0,,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,2.0,2.0,,1.0,,,,,,2.0,1.0,,,,1.0,2.0,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,
38,695278,2014-05-11 15:00:00,"Stadium of Light, Sunderland",45580,Home,Sunderland,Swansea City,1,3,L,0,2,0,0,2.0,46.0,1.0,22.0,25.0,11.0,6.0,1.0,106.0,6.0,9.0,3.0,15.0,1.0,4.0,118.0,110.0,50.0,1.0,20.0,4.0,8.0,1.0,,2.0,1.0,1.0,24.0,12.0,2.0,25.0,4.0,3.0,28.0,196.0,6.0,1.0,0.0,127.0,14.0,,2.0,52.0,51.0,6.0,60.0,2.0,20.0,10.0,1.0,5.0,6.0,110.0,5.0,117.0,598.0,11.0,2.0,8.0,330.0,15.0,1.0,2.0,18.0,2.0,2.0,9.0,28.0,381.0,59.0,1.0,88601,4.0,154.0,13.0,2.0,161.0,7.0,10.0,5.0,51.0,,1.0,6.0,3.0,3.0,38.0,344.0,15.0,6.0,3.0,10.0,54.0,,,0.0,2.0,3.0,3.0,1.0,0.0,3.0,4.0,53.3,26.0,3.0,4.0,1.0,5.0,35.0,6.0,401.0,8.0,16.0,11.0,11.0,19.0,3.0,5.0,264.0,10.0,3.0,11.0,90.0,24.0,1.0,18.0,16.0,3.0,13.0,3.0,16.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
