gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attSvLowRight,attCmissLeft,attFreekickGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,goalAssistSetplay,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attOneOnOne,divingSave,goodHighClaim,attHdTarget,goalAssist,errorLeadToShot,totalPullBack,attMissHigh,goalAssistIntentional,shieldBallOop,attSvHighCentre,clearanceOffLine,totalHighClaim,forwardGoals,accurateKeeperSweeper,totalKeeperSweeper,penaltySave,bigChanceScored,savedObox,penaltyWon,ptsGainedLosingPos,penaltyConceded,attCmissHigh,attCmissHighRight,penaltyFaced,accuratePullBack,sixYardBlock,attIboxPost,attOboxTarget,attSvHighLeft,attHdPost,attPostHigh,errorLeadToGoal,goalAssistDeadball,contentiousDecision,attFreekickTotal,freekickTotal,expectedGoalsFreekick,attFreekickMiss,attCmissHighLeft,ptsDroppedWinningPos,attSvHighRight,attObxdLeft,attIboxOwnGoal,attPostRight,attPenTarget,attFreekickTarget,penGoalsConceded,foulThrowIn,attObxdRight,attLgRight,attLgCentre
25,2562136,2026-02-07 15:00:00,"Emirates Stadium, London",60312.0,Away,Sunderland,Arsenal,0,3,L,0.0,1.0,0,0,1.0,,,46.0,0.0,0.0,,0.5989,19.0,30.0,1.0,1.0,4.0,2.0,0.0,3.0,139.0,0.0,2.0,5.0,0.0,1.0,4.0,,3.0,100.0,127.0,45.0,5.0,1.0,17.0,3.0,,1.0,,,12.0,7.0,0.0,30.0,1.0,9.0,29.0,1.2315,143.0,,,0.0,0.0,104.0,8.0,0.0,,0.0,1.0,3.0,41.0,71.0,3.0,83.0,1.0,,11.0,21.0,1.0,0.0,0.0,5.0,,127.0,1.0,10.0,0.0,,86.0,583.0,3.0,7.0,13.0,,6.0,314.0,19.0,1.0,9.0,18.0,2.0,4.0,1.0,0.193428,16.0,383.0,58.0,,1.0,33.85,549912,,186.0,1.0,3.0,3.0,213.0,2.0,107352.72,0.0,8.0,9.0,46.0,0.0,,0.0,1.0,6.0,0.0,17.0,6.0,5.0,0.0,53.0,327.0,11.0,6.0,1.0,31.0,,67.0,,0.0,0.0,1.0,,0.0,,0.0,2.0,5.0,2.0,0.0,,3.0,2.0,0.0,2.0,1.0,50.7,15.0,1.0,2.0,3.0,6.0,1.0,35.0,2.0,408.0,6.0,9.0,12.0,1.0,21.0,,1.0,207.0,3.0,6.0,16.0,62.0,15.0,2.0,18.0,13.0,0.0,2.0,2.0,4.0,11.0,0.1877,2.0,8.0,2.0,,,,,,,,,,,,1.0,,2.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,
26,2562152,2026-02-11 20:15:00,"Stadium of Light, Sunderland",,Home,Sunderland,Liverpool,0,1,L,0.0,0.0,0,0,0.0,,,41.0,0.0,0.0,4.0,0.5249,18.0,39.0,3.0,3.0,8.0,2.0,0.0,1.0,130.0,0.0,4.0,8.0,0.0,,9.0,1.0,2.0,85.0,115.0,42.0,11.0,,22.0,1.0,,3.0,,,25.0,7.0,0.0,39.0,2.0,4.0,19.0,1.4428,157.0,1.0,,0.0,0.0,93.0,8.0,0.0,,0.0,,1.0,44.0,38.0,5.0,64.0,2.0,2.0,23.0,17.0,3.0,0.0,0.0,11.0,2.0,115.0,1.0,16.0,0.0,,93.0,591.0,8.0,8.0,27.0,,8.0,294.0,14.0,,4.0,18.0,1.0,13.0,4.0,0.962728,12.0,349.0,44.0,2.0,,32.61,441264,4.0,158.0,1.0,12.0,,172.0,4.0,109251.66,0.0,10.0,9.0,55.0,0.0,3.0,0.0,2.0,6.0,0.0,13.0,7.0,7.0,0.0,52.0,311.0,10.0,10.0,1.0,26.0,3.0,55.0,,0.0,0.0,,,0.0,3.0,0.0,2.0,11.0,1.0,0.0,,1.0,3.0,0.0,3.0,3.0,43.1,11.0,2.0,1.0,,6.0,4.0,27.0,3.0,372.0,8.0,3.0,10.0,5.0,41.0,1.0,3.0,225.0,5.0,4.0,10.0,63.0,17.0,1.0,18.0,14.0,0.0,1.0,6.0,4.0,20.0,0.6279,1.0,10.0,3.0,,,2.0,,,1.0,2.0,1.0,,1.0,,3.0,,1.0,,,2.0,,1.0,1.0,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
27,2562162,2026-02-22 14:00:00,"Stadium of Light, Sunderland",47222.0,Home,Sunderland,Fulham,1,3,L,0.0,0.0,0,0,0.0,,1.0,53.0,0.0,0.0,4.0,1.016,24.0,25.0,4.0,1.0,8.0,1.0,0.0,,142.0,0.0,1.0,4.0,1.0,1.0,7.0,1.0,2.0,98.0,130.0,41.0,12.0,1.0,16.0,,,,,1.0,14.0,5.0,0.0,25.0,5.0,8.0,27.0,2.1691,138.0,,,0.0,0.0,118.0,6.0,0.0,,1.0,,1.0,42.0,57.0,4.0,64.0,1.0,1.0,9.0,12.0,4.0,0.0,0.0,5.0,2.0,130.0,2.0,9.0,0.0,,102.0,581.0,7.0,2.0,34.0,,5.0,319.0,21.0,,7.0,10.0,1.0,2.0,3.0,0.93883,18.0,385.0,64.0,,,33.61,547027,6.0,197.0,2.0,3.0,,209.0,3.0,108627.55,1.0,6.0,4.0,47.0,0.0,1.0,0.0,1.0,6.0,0.0,13.0,3.0,3.0,1.0,53.0,334.0,13.0,3.0,1.0,19.0,2.0,61.0,,1.0,0.0,1.0,,0.0,1.0,0.0,3.0,4.0,1.0,1.0,,3.0,,0.0,1.0,,53.4,13.0,,4.0,2.0,7.0,5.0,34.0,6.0,406.0,5.0,13.0,13.0,5.0,32.0,1.0,3.0,211.0,11.0,7.0,14.0,72.0,21.0,,10.0,12.0,0.0,3.0,7.0,5.0,13.0,1.8461,,6.0,6.0,,,,,,,,,,,1.0,3.0,,,,,,,,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,
28,2562165,2026-02-28 12:30:00,"Vitality Stadium, Bournemouth",11240.0,Away,Sunderland,Bournemouth,1,1,D,1.0,0.0,0,0,0.0,,1.0,45.0,0.0,0.0,1.0,1.2662,18.0,46.0,2.0,2.0,6.0,4.0,1.0,2.0,135.0,1.0,1.0,4.0,1.0,4.0,4.0,,4.0,55.0,160.0,61.0,8.0,1.0,25.0,2.0,2.0,1.0,,1.0,12.0,16.0,0.0,46.0,3.0,3.0,27.0,1.0597,87.0,,,0.0,0.0,86.0,12.0,0.0,2.0,0.0,2.0,5.0,34.0,38.0,3.0,39.0,,1.0,9.0,11.0,2.0,0.0,0.0,1.0,,160.0,,10.0,0.0,,58.0,518.0,3.0,6.0,14.0,,6.0,177.0,20.0,,6.0,22.0,2.0,6.0,1.0,0.214079,24.0,264.0,58.0,1.0,,33.81,549912,4.0,107.0,,3.0,1.0,134.0,6.0,109485.84,0.0,7.0,10.0,65.0,0.0,1.0,0.0,2.0,4.0,1.0,21.0,11.0,6.0,0.0,53.0,193.0,15.0,12.0,1.0,27.0,1.0,55.0,2.0,0.0,0.0,1.0,,0.0,2.0,0.0,1.0,7.0,3.0,1.0,,1.0,1.0,0.0,,2.0,38.0,9.0,2.0,3.0,,4.0,2.0,24.0,3.0,287.0,6.0,5.0,10.0,2.0,26.0,1.0,2.0,165.0,4.0,3.0,16.0,41.0,18.0,,22.0,26.0,0.0,1.0,6.0,3.0,15.0,1.4245,,7.0,3.0,,,1.0,,,1.0,3.0,,,3.0,1.0,,,3.0,,,3.0,1.0,,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,
29,2562180,2026-03-03 19:30:00,"Elland Road, Leeds",36713.0,Away,Sunderland,Leeds United,1,0,W,0.0,0.0,0,0,0.0,,,44.0,0.0,0.0,2.0,0.6468,17.0,50.0,,1.0,3.0,4.0,0.0,,117.0,1.0,1.0,2.0,1.0,2.0,2.0,,1.0,46.0,143.0,56.0,3.0,,24.0,,,,,,8.0,11.0,0.0,50.0,2.0,5.0,24.0,0.7287,57.0,,1.0,0.0,0.0,72.0,19.0,0.0,,1.0,,2.0,29.0,23.0,2.0,31.0,,1.0,6.0,15.0,,0.0,0.0,1.0,,143.0,,12.0,0.0,,39.0,442.0,1.0,4.0,8.0,,7.0,136.0,16.0,,7.0,29.0,3.0,9.0,1.0,0.126457,19.0,210.0,41.0,,,33.18,547027,3.0,87.0,,3.0,,110.0,9.0,111965.5,1.0,10.0,6.0,62.0,0.0,,0.0,5.0,5.0,0.0,16.0,6.0,1.0,1.0,73.0,143.0,13.0,3.0,1.0,45.0,1.0,58.0,,0.0,0.0,,,0.0,2.0,0.0,2.0,9.0,2.0,1.0,,0.0,,0.0,,1.0,29.7,12.0,1.0,2.0,1.0,5.0,2.0,12.0,2.0,233.0,7.0,8.0,9.0,1.0,20.0,1.0,1.0,131.0,1.0,4.0,25.0,35.0,17.0,3.0,29.0,16.0,0.0,0.0,1.0,4.0,10.0,0.8576,3.0,10.0,2.0,,,,,,1.0,,,,1.0,,,,3.0,,,,,,,,1.0,2.0,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
30,2562193,2026-03-14 15:00:00,"Stadium of Light, Sunderland",47197.0,Home,Sunderland,Brighton and Hove Albion,0,1,L,0.0,0.0,0,0,0.0,,2.0,57.0,0.0,0.0,3.0,0.7197,22.0,22.0,6.0,6.0,8.0,3.0,0.0,1.0,161.0,0.0,1.0,9.0,0.0,4.0,6.0,,4.0,89.0,167.0,40.0,14.0,2.0,16.0,3.0,,1.0,,2.0,20.0,4.0,0.0,22.0,6.0,11.0,32.0,1.3338,168.0,1.0,,0.0,0.0,118.0,7.0,0.0,,0.0,,3.0,49.0,78.0,5.0,69.0,,,14.0,14.0,6.0,0.0,0.0,2.0,3.0,167.0,,9.0,0.0,,103.0,619.0,6.0,2.0,28.0,,5.0,320.0,23.0,,4.0,8.0,1.0,5.0,1.0,0.583441,28.0,404.0,66.0,2.0,,35.06,549912,6.0,164.0,,9.0,1.0,179.0,1.0,109011.96,0.0,5.0,5.0,56.0,0.0,4.0,0.0,3.0,6.0,0.0,15.0,3.0,3.0,0.0,57.0,332.0,12.0,7.0,1.0,24.0,1.0,74.0,,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,,1.0,,0.0,1.0,2.0,48.0,17.0,,3.0,1.0,6.0,5.0,32.0,7.0,422.0,5.0,16.0,15.0,5.0,34.0,1.0,2.0,263.0,6.0,9.0,13.0,77.0,20.0,,8.0,7.0,0.0,1.0,10.0,3.0,19.0,0.8951,,5.0,7.0,1.0,,,,,1.0,,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,0.0479,,,,,,,,,,,1.0,,,
31,2562202,2026-03-22 12:00:00,"St. James' Park, Newcastle",52253.0,Away,Sunderland,Newcastle United,2,1,W,0.0,1.0,0,0,0.0,,,39.0,1.0,1.0,2.0,2.5376,13.0,32.0,6.0,5.0,11.0,3.0,0.0,4.0,119.0,0.0,6.0,5.0,2.0,,10.0,1.0,7.0,49.0,122.0,41.0,17.0,3.0,17.0,4.0,,1.0,,,23.0,14.0,0.0,32.0,4.0,3.0,26.0,0.5437,109.0,1.0,,0.0,0.0,90.0,19.0,0.0,,1.0,,,33.0,39.0,8.0,45.0,1.0,2.0,19.0,18.0,6.0,0.0,0.0,8.0,2.0,122.0,1.0,8.0,0.0,,49.0,448.0,10.0,4.0,30.0,,4.0,173.0,16.0,1.0,4.0,15.0,6.0,4.0,2.0,1.80826,17.0,238.0,43.0,,,34.58,549912,4.0,84.0,1.0,11.0,,98.0,8.0,104453.88,2.0,13.0,12.0,53.0,0.0,,0.0,,3.0,1.0,5.0,8.0,7.0,0.0,53.0,187.0,7.0,4.0,,24.0,4.0,55.0,,0.0,0.0,1.0,,0.0,,0.0,2.0,9.0,1.0,2.0,,1.0,1.0,0.0,4.0,,40.1,7.0,,2.0,1.0,3.0,5.0,18.0,5.0,262.0,4.0,6.0,9.0,5.0,41.0,2.0,3.0,187.0,11.0,2.0,13.0,59.0,17.0,1.0,15.0,17.0,0.0,1.0,12.0,3.0,12.0,2.437,1.0,13.0,5.0,,,3.0,,,,,,,,,1.0,,1.0,,,,1.0,,,,2.0,2.0,,3.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
32,2562213,2026-04-12 14:00:00,"Stadium of Light, Sunderland",47010.0,Home,Sunderland,Tottenham Hotspur,1,0,W,0.0,0.0,0,0,0.0,1.0,,50.0,0.0,0.0,1.0,0.61,19.0,22.0,5.0,4.0,8.0,7.0,1.0,1.0,154.0,0.0,6.0,8.0,1.0,5.0,8.0,1.0,2.0,95.0,127.0,50.0,13.0,2.0,15.0,1.0,,1.0,,3.0,18.0,13.0,0.0,22.0,2.0,7.0,30.0,1.82,173.0,1.0,1.0,1.0,0.0,120.0,14.0,0.0,,0.0,,3.0,59.0,42.0,3.0,66.0,2.0,2.0,16.0,17.0,5.0,0.0,0.0,5.0,2.0,127.0,3.0,10.0,0.0,,88.0,578.0,6.0,5.0,20.0,,9.0,305.0,18.0,,1.0,10.0,3.0,1.0,5.0,1.04748,12.0,382.0,63.0,,2.0,33.35,547027,2.0,151.0,3.0,8.0,4.0,172.0,5.0,108386.38,0.0,7.0,9.0,43.0,0.0,1.0,1.0,,6.0,1.0,12.0,1.0,4.0,0.0,50.0,318.0,14.0,5.0,1.0,15.0,1.0,58.0,,1.0,0.0,1.0,1.0,0.0,,0.0,1.0,6.0,6.0,0.0,,0.0,1.0,0.0,6.0,4.0,52.1,5.0,4.0,5.0,1.0,6.0,3.0,30.0,2.0,403.0,9.0,6.0,15.0,8.0,35.0,,6.0,249.0,5.0,7.0,7.0,77.0,15.0,1.0,10.0,22.0,0.0,0.0,5.0,3.0,12.0,1.3282,1.0,7.0,2.0,,1.0,,,,2.0,,,1.0,,,2.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,0.072,1.0,,,,,,,,,,,,,
33,2562215,2026-04-19 14:00:00,"Villa Park, Birmingham",42599.0,Away,Sunderland,Aston Villa,3,4,L,1.0,2.0,0,0,0.0,,1.0,49.0,1.0,1.0,1.0,2.9316,13.0,23.0,,4.0,8.0,3.0,1.0,3.0,134.0,0.0,4.0,5.0,3.0,2.0,8.0,1.0,7.0,100.0,103.0,40.0,10.0,,11.0,3.0,2.0,2.0,,,16.0,9.0,1.0,23.0,2.0,12.0,19.0,3.5594,172.0,,,0.0,0.0,102.0,11.0,0.0,3.0,1.0,,1.0,34.0,77.0,6.0,81.0,2.0,1.0,14.0,15.0,2.0,0.0,0.0,4.0,1.0,103.0,2.0,10.0,2.0,,91.0,556.0,6.0,5.0,16.0,,7.0,320.0,17.0,,1.0,11.0,3.0,3.0,2.0,0.549466,14.0,383.0,48.0,2.0,,33.72,549912,3.0,172.0,1.0,9.0,1.0,184.0,4.0,106234.67,2.0,7.0,4.0,38.0,0.0,4.0,0.0,3.0,2.0,3.0,8.0,5.0,3.0,0.0,41.0,340.0,10.0,6.0,,16.0,1.0,56.0,2.0,0.0,0.0,,,0.0,,0.0,,4.0,2.0,3.0,,4.0,1.0,0.0,4.0,,50.1,10.0,,5.0,2.0,2.0,1.0,36.0,5.0,406.0,7.0,6.0,6.0,2.0,27.0,,1.0,238.0,6.0,11.0,12.0,70.0,23.0,,11.0,14.0,0.0,4.0,8.0,4.0,9.0,1.7281,,7.0,5.0,,2.0,2.0,1.0,3.0,,1.0,,2.0,1.0,,1.0,2.0,4.0,,,1.0,,,,,2.0,1.0,,,,1.0,,,,,,1.0,2.0,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,
34,2562232,2026-04-24 20:00:00,"Stadium of Light, Sunderland",,Home,Sunderland,Nottingham Forest,0,5,L,0.0,4.0,0,0,0.0,,1.0,35.0,0.0,0.0,4.0,0.2753,20.0,20.0,7.0,4.0,7.0,2.0,0.0,3.0,182.0,0.0,4.0,9.0,0.0,4.0,8.0,1.0,4.0,89.0,133.0,50.0,14.0,3.0,19.0,2.0,,2.0,,,22.0,8.0,0.0,20.0,3.0,7.0,43.0,1.3321,219.0,1.0,,0.0,0.0,159.0,13.0,0.0,,0.0,1.0,3.0,51.0,59.0,8.0,78.0,,1.0,19.0,12.0,7.0,0.0,0.0,7.0,2.0,133.0,1.0,7.0,0.0,,87.0,628.0,8.0,4.0,34.0,,8.0,337.0,15.0,,6.0,12.0,2.0,2.0,1.0,1.51171,21.0,415.0,72.0,,,32.47,547027,4.0,143.0,,9.0,5.0,161.0,6.0,100542.02,0.0,7.0,3.0,50.0,1.0,1.0,0.0,1.0,,0.0,17.0,4.0,3.0,0.0,51.0,358.0,15.0,3.0,1.0,18.0,1.0,69.0,,0.0,0.0,,,0.0,,0.0,1.0,6.0,1.0,0.0,,5.0,2.0,0.0,3.0,2.0,61.1,17.0,1.0,6.0,,,7.0,43.0,3.0,436.0,8.0,5.0,20.0,3.0,53.0,1.0,1.0,297.0,8.0,7.0,17.0,113.0,12.0,3.0,12.0,9.0,0.0,5.0,6.0,2.0,19.0,0.7004,3.0,7.0,3.0,,1.0,2.0,,,2.0,1.0,,1.0,2.0,3.0,2.0,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,2.0,1.0,,2.0,1.0,,,1.0,,1.0,1.0,1.0,0.0655,,,,,,1.0,,,,,,,1.0,
35,2562244,2026-05-02 15:00:00,"Molineux Stadium, Wolverhampton",29632.0,Away,Sunderland,Wolverhampton Wanderers,1,1,D,1.0,0.0,1,0,0.0,,1.0,44.0,1.0,0.0,4.0,1.3913,30.0,23.0,2.0,3.0,8.0,6.0,0.0,1.0,122.0,0.0,3.0,5.0,1.0,3.0,8.0,1.0,2.0,87.0,123.0,50.0,10.0,1.0,24.0,1.0,,,,,16.0,10.0,0.0,23.0,3.0,5.0,27.0,1.5544,150.0,,,0.0,0.0,139.0,11.0,0.0,,0.0,1.0,2.0,58.0,35.0,6.0,52.0,3.0,3.0,13.0,15.0,2.0,0.0,0.0,3.0,1.0,123.0,1.0,13.0,0.0,,66.0,496.0,7.0,3.0,18.0,,9.0,235.0,20.0,,,11.0,4.0,4.0,2.0,0.718046,16.0,299.0,60.0,,,35.33,549912,5.0,102.0,,8.0,1.0,114.0,3.0,97991.12,0.0,3.0,13.0,53.0,0.0,2.0,1.0,,4.0,0.0,12.0,7.0,7.0,0.0,59.0,249.0,11.0,6.0,,12.0,1.0,58.0,,0.0,0.0,,,0.0,,0.0,1.0,6.0,4.0,1.0,,1.0,,1.0,1.0,1.0,42.4,9.0,,5.0,2.0,4.0,5.0,25.0,3.0,327.0,9.0,6.0,9.0,3.0,29.0,2.0,2.0,229.0,6.0,5.0,17.0,94.0,11.0,2.0,11.0,17.0,1.0,1.0,7.0,3.0,11.0,0.6584,2.0,3.0,3.0,1.0,,,,,3.0,1.0,,1.0,1.0,,,1.0,1.0,,,2.0,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,,,,,,,,,,,
36,2562252,2026-05-09 15:00:00,"Stadium of Light, Sunderland",47233.0,Home,Sunderland,Manchester United,0,0,D,0.0,0.0,0,0,0.0,1.0,1.0,56.0,0.0,0.0,3.0,2.0472,18.0,22.0,6.0,4.0,9.0,1.0,0.0,3.0,186.0,0.0,2.0,5.0,0.0,3.0,12.0,1.0,4.0,109.0,124.0,42.0,15.0,2.0,8.0,4.0,1.0,1.0,1.0,2.0,17.0,8.0,0.0,22.0,4.0,9.0,33.0,0.1297,211.0,1.0,1.0,0.0,0.0,146.0,12.0,0.0,1.0,0.0,2.0,1.0,52.0,52.0,6.0,82.0,1.0,1.0,13.0,25.0,6.0,0.0,0.0,4.0,3.0,124.0,1.0,6.0,0.0,1.0,104.0,655.0,10.0,4.0,27.0,1.0,10.0,387.0,23.0,1.0,4.0,13.0,0.0,5.0,6.0,1.19602,8.0,463.0,62.0,1.0,1.0,33.6,549912,6.0,194.0,1.0,8.0,2.0,211.0,5.0,104222.14,0.0,15.0,5.0,37.0,0.0,1.0,0.0,1.0,4.0,0.0,14.0,5.0,5.0,0.0,38.0,403.0,10.0,4.0,2.0,14.0,1.0,57.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,50.6,7.0,1.0,9.0,1.0,4.0,5.0,35.0,6.0,481.0,10.0,5.0,19.0,6.0,35.0,1.0,2.0,287.0,10.0,8.0,17.0,106.0,20.0,1.0,13.0,10.0,0.0,0.0,10.0,2.0,14.0,1.1687,1.0,15.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2562260,2026-05-17 15:00:00,"Hill Dickinson Stadium, Liverpool",,Away,Sunderland,Everton,0,0,D,,,0,0,1.0,,,43.0,1.0,2.0,,1.2772,17.0,30.0,1.0,1.0,5.0,3.0,1.0,,151.0,0.0,2.0,3.0,3.0,4.0,4.0,,3.0,121.0,128.0,39.0,7.0,,14.0,,1.0,1.0,,2.0,20.0,6.0,0.0,30.0,2.0,7.0,21.0,0.9937,185.0,,,0.0,0.0,118.0,9.0,0.0,1.0,1.0,,3.0,44.0,89.0,3.0,78.0,1.0,,18.0,8.0,2.0,0.0,0.0,8.0,2.0,128.0,2.0,6.0,1.0,,101.0,615.0,,3.0,12.0,,3.0,371.0,26.0,,3.0,18.0,0.0,2.0,1.0,0.717777,18.0,429.0,55.0,1.0,,35.77,437505,4.0,201.0,,7.0,1.0,215.0,3.0,108251.66,2.0,1.0,8.0,40.0,0.0,3.0,0.0,1.0,4.0,3.0,20.0,4.0,6.0,0.0,42.0,384.0,14.0,5.0,1.0,16.0,,65.0,1.0,0.0,0.0,,,0.0,3.0,0.0,3.0,3.0,2.0,3.0,,1.0,1.0,0.0,2.0,1.0,52.5,12.0,1.0,,,4.0,,38.0,2.0,451.0,3.0,8.0,8.0,4.0,34.0,,2.0,256.0,5.0,7.0,13.0,80.0,12.0,,18.0,10.0,0.0,0.0,4.0,5.0,8.0,0.7631,,1.0,2.0,,3.0,,,,,1.0,,3.0,,,2.0,3.0,,,,1.0,1.0,,,,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
38,2562272,2026-05-24 16:00:00,"Stadium of Light, Sunderland",,Home,Sunderland,Chelsea,0,0,D,,,0,0,1.0,1.0,1.0,46.0,0.0,1.0,5.0,1.273,21.0,19.0,5.0,4.0,16.0,2.0,0.0,4.0,151.0,0.0,1.0,2.0,2.0,2.0,17.0,1.0,6.0,68.0,106.0,38.0,21.0,2.0,13.0,4.0,4.0,4.0,,4.0,18.0,12.0,0.0,19.0,4.0,5.0,26.0,0.4062,163.0,1.0,,0.0,0.0,123.0,15.0,0.0,4.0,1.0,2.0,2.0,52.0,44.0,10.0,47.0,,3.0,14.0,18.0,5.0,0.0,0.0,4.0,2.0,106.0,2.0,4.0,0.0,,80.0,523.0,15.0,3.0,35.0,,11.0,271.0,19.0,,3.0,8.0,5.0,2.0,7.0,1.62228,20.0,325.0,56.0,2.0,,32.37,200834,3.0,123.0,2.0,8.0,3.0,135.0,9.0,106808.96,1.0,8.0,4.0,41.0,0.0,2.0,0.0,2.0,2.0,1.0,13.0,4.0,4.0,0.0,44.0,285.0,12.0,7.0,1.0,17.0,2.0,65.0,4.0,0.0,0.0,1.0,3.0,0.0,,0.0,,2.0,1.0,1.0,,1.0,,0.0,1.0,,43.9,14.0,,4.0,7.0,2.0,7.0,39.0,6.0,346.0,11.0,3.0,18.0,8.0,31.0,1.0,6.0,229.0,17.0,4.0,6.0,90.0,17.0,1.0,8.0,18.0,0.0,0.0,16.0,3.0,6.0,1.8374,1.0,8.0,6.0,,1.0,1.0,,,,,,1.0,,3.0,,,,1.0,,,,,,,,1.0,,,,,1.0,,2.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
