gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,shotFastbreak,attBxRight,attSvHighRight,totalFastbreak,hitWoodwork,attFastbreak,goalsConceded,goalsConcededIbox,handBall,penaltySave,goalAssistOpenplay,goalAssist,penaltyConceded,goalAssistIntentional,penaltyFaced,attHdGoal,attGoalLowLeft,attLfGoal,attGoalLowCentre,attOneOnOne,penaltyWon,ptsGainedLosingPos,attPenGoal,forwardGoals,ptsDroppedWinningPos,sixYardBlock,attGoalHighRight,attCmissHighLeft,shieldBallOop,penGoalsConceded,accurateThroughBall,errorLeadToShot,totalThroughBall,attOboxGoal,attGoalHighLeft,errorLeadToGoal,postScoringAtt,attPostLeft,attOboxPost,contentiousDecision,ownGoals,attIboxOwnGoal,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,defenderGoals,attFreekickGoal,attFreekickMiss,attGoalHighCentre,attLgCentre,foulThrowIn,goalFastbreak,attObxLeft,attLgRight,attIboxPost,attHdPost,attPostHigh,attCmissHighRight,clearanceOffLine,accuratePullBack,attObpGoal,attPostRight
27,855437,2017-03-04 15:00:00,"Swansea.com Stadium, Swansea",20679,Home,Swansea City,Burnley,3,2,W,1,1,0,0,2.0,,57.0,1.0,1.0,2.0,48.0,21.0,8.0,7.0,16.0,2.0,4.0,200.0,8.0,21.0,3.0,6.0,13.0,1.0,9.0,140.0,160.0,66.0,1.0,24.0,2.0,26.0,3.0,,2.0,,47.0,7.0,3.0,21.0,8.0,13.0,43.0,241.0,1.0,,0.0,175.0,7.0,2.0,1.0,,,4.0,1.0,99.0,97.0,6.0,85.0,,5.0,39.0,16.0,8.0,1.0,12.0,3.0,160.0,,4.0,155.0,809.0,8.0,5.0,33.0,,4.0,481.0,25.0,,6.0,13.0,,2.0,,7.0,29.0,558.0,78.0,,93464,9.0,263.0,,23.0,3.0,278.0,4.0,,,16.0,7.0,59.0,,1.0,3.0,3.0,7.0,2.0,3.0,2.0,87.0,496.0,13.0,1.0,2.0,16.0,6.0,78.0,2.0,,,0.0,1.0,,2.0,1.0,3.0,1.0,0.0,7.0,8.0,71.3,27.0,3.0,1.0,4.0,1.0,3.0,4.0,48.0,9.0,1.0,580.0,4.0,11.0,18.0,11.0,50.0,1.0,5.0,349.0,9.0,12.0,24.0,122.0,25.0,,13.0,8.0,14.0,3.0,37.0,,6.0,10.0,,,,,3.0,,2.0,2.0,1.0,,3.0,3.0,1.0,3.0,1.0,2.0,,1.0,,,,3.0,,2.0,,2.0,,,1.0,1.0,1.0,,1.0,,2.0,,3.0,1.0,,1.0,,,,,,1.0,,,,,,,,,3.0,2.0,2.0,1.0,,,,
28,855448,2017-03-11 15:00:00,"The MKM Stadium, Hull",19195,Away,Swansea City,Hull City,1,2,L,0,0,0,0,,1.0,54.0,1.0,2.0,2.0,45.0,30.0,2.0,1.0,9.0,4.0,2.0,155.0,8.0,7.0,1.0,5.0,8.0,,3.0,73.0,138.0,55.0,2.0,11.0,1.0,15.0,1.0,,,3.0,19.0,12.0,1.0,30.0,6.0,10.0,37.0,164.0,,,0.0,115.0,5.0,2.0,,,2.0,3.0,1.0,80.0,59.0,4.0,67.0,1.0,1.0,13.0,13.0,2.0,2.0,3.0,,138.0,2.0,8.0,82.0,566.0,6.0,4.0,16.0,,11.0,269.0,24.0,,8.0,13.0,1.0,1.0,6.0,4.0,21.0,349.0,75.0,1.0,96306,8.0,127.0,2.0,7.0,1.0,144.0,1.0,,,13.0,8.0,40.0,,3.0,5.0,,12.0,7.0,3.0,1.0,86.0,283.0,14.0,8.0,1.0,25.0,2.0,83.0,,,1.0,0.0,1.0,,2.0,3.0,1.0,1.0,0.0,7.0,4.0,50.2,16.0,3.0,4.0,,,5.0,3.0,47.0,7.0,2.0,377.0,11.0,8.0,17.0,5.0,28.0,1.0,5.0,252.0,6.0,9.0,21.0,62.0,16.0,2.0,13.0,14.0,6.0,3.0,12.0,2.0,3.0,7.0,,1.0,,,,,2.0,2.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,
29,855452,2017-03-18 17:30:00,"Vitality Stadium, Bournemouth",11240,Away,Swansea City,Bournemouth,0,2,L,0,1,0,0,,,65.0,,4.0,2.0,35.0,12.0,6.0,5.0,4.0,5.0,1.0,168.0,14.0,11.0,,4.0,4.0,,1.0,102.0,151.0,55.0,1.0,10.0,2.0,9.0,,,,1.0,31.0,13.0,1.0,12.0,3.0,25.0,42.0,227.0,,,0.0,138.0,9.0,3.0,,,1.0,4.0,1.0,66.0,94.0,2.0,91.0,,,28.0,21.0,6.0,1.0,7.0,3.0,151.0,,6.0,115.0,677.0,3.0,10.0,17.0,,14.0,356.0,29.0,2.0,5.0,7.0,,2.0,2.0,2.0,24.0,455.0,58.0,2.0,96306,2.0,161.0,,17.0,2.0,195.0,5.0,,2.0,21.0,9.0,48.0,,1.0,6.0,,9.0,7.0,8.0,2.0,73.0,374.0,10.0,13.0,1.0,20.0,3.0,83.0,,,,0.0,,1.0,2.0,1.0,,3.0,0.0,13.0,1.0,52.2,20.0,1.0,4.0,1.0,,6.0,4.0,52.0,4.0,1.0,476.0,14.0,15.0,17.0,5.0,34.0,1.0,2.0,312.0,4.0,20.0,16.0,93.0,24.0,2.0,7.0,18.0,3.0,3.0,13.0,2.0,12.0,4.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
30,855470,2017-04-02 13:30:00,"Swansea.com Stadium, Swansea",20354,Home,Swansea City,Middlesbrough,0,0,D,0,0,0,0,,,52.0,,,3.0,34.0,14.0,9.0,4.0,6.0,1.0,3.0,164.0,5.0,10.0,,5.0,13.0,,3.0,90.0,163.0,54.0,1.0,15.0,3.0,23.0,,,1.0,3.0,47.0,4.0,3.0,14.0,11.0,6.0,50.0,200.0,1.0,1.0,0.0,150.0,9.0,,1.0,,,4.0,3.0,60.0,95.0,8.0,59.0,1.0,2.0,36.0,9.0,9.0,1.0,9.0,3.0,163.0,,6.0,107.0,617.0,9.0,7.0,19.0,,8.0,321.0,22.0,,2.0,6.0,,2.0,3.0,5.0,30.0,402.0,73.0,,97615,3.0,139.0,,23.0,,158.0,4.0,,,9.0,6.0,69.0,,1.0,4.0,,7.0,2.0,4.0,,66.0,334.0,14.0,19.0,4.0,17.0,2.0,75.0,,1.0,1.0,0.0,,2.0,3.0,1.0,,3.0,0.0,2.0,3.0,55.7,24.0,2.0,2.0,2.0,,4.0,6.0,42.0,11.0,3.0,420.0,8.0,13.0,25.0,6.0,53.0,3.0,3.0,309.0,8.0,6.0,23.0,107.0,23.0,1.0,6.0,7.0,12.0,,16.0,1.0,3.0,11.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
31,855477,2017-04-05 19:45:00,"Swansea.com Stadium, Swansea",20855,Home,Swansea City,Tottenham Hotspur,1,3,L,1,0,0,0,,1.0,54.0,,2.0,1.0,37.0,30.0,1.0,1.0,3.0,5.0,,124.0,2.0,10.0,1.0,1.0,4.0,1.0,1.0,31.0,146.0,45.0,,4.0,,18.0,,1.0,,,15.0,13.0,,30.0,5.0,4.0,25.0,103.0,,,0.0,81.0,7.0,3.0,,,,3.0,3.0,47.0,65.0,2.0,44.0,4.0,1.0,10.0,16.0,1.0,,3.0,1.0,146.0,1.0,11.0,47.0,444.0,2.0,10.0,11.0,,11.0,156.0,27.0,,7.0,16.0,1.0,1.0,5.0,2.0,25.0,217.0,48.0,,96306,1.0,69.0,,4.0,,87.0,3.0,1.0,1.0,16.0,10.0,47.0,,3.0,3.0,1.0,17.0,7.0,4.0,1.0,75.0,170.0,7.0,4.0,1.0,32.0,1.0,66.0,,,1.0,0.0,,3.0,7.0,3.0,1.0,3.0,0.0,1.0,1.0,28.2,11.0,1.0,1.0,,,3.0,1.0,31.0,5.0,3.0,246.0,11.0,10.0,18.0,2.0,25.0,1.0,1.0,174.0,2.0,4.0,12.0,51.0,16.0,4.0,16.0,18.0,3.0,3.0,20.0,4.0,7.0,5.0,,1.0,,,,,3.0,3.0,,,1.0,1.0,,1.0,,,,,1.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
32,855491,2017-04-08 15:00:00,"London Stadium, London",56973,Away,Swansea City,West Ham United,0,1,L,0,1,0,0,,,55.0,,1.0,1.0,46.0,14.0,1.0,,4.0,5.0,1.0,155.0,4.0,15.0,,2.0,5.0,,1.0,95.0,160.0,53.0,1.0,5.0,,16.0,,,,2.0,20.0,7.0,1.0,14.0,3.0,15.0,36.0,179.0,,,0.0,120.0,12.0,3.0,,,1.0,1.0,2.0,60.0,74.0,1.0,63.0,,,17.0,18.0,1.0,1.0,2.0,,160.0,1.0,7.0,100.0,618.0,2.0,7.0,17.0,,5.0,307.0,24.0,,8.0,8.0,,1.0,3.0,3.0,38.0,390.0,83.0,,96306,2.0,146.0,1.0,14.0,,172.0,8.0,,1.0,18.0,7.0,60.0,1.0,,8.0,,12.0,7.0,4.0,1.0,81.0,321.0,11.0,8.0,2.0,25.0,2.0,86.0,,1.0,,0.0,1.0,3.0,4.0,4.0,,3.0,0.0,2.0,2.0,53.7,26.0,2.0,1.0,,,8.0,1.0,49.0,3.0,2.0,413.0,5.0,16.0,22.0,3.0,27.0,2.0,3.0,261.0,3.0,14.0,17.0,76.0,18.0,4.0,8.0,10.0,2.0,3.0,24.0,4.0,12.0,3.0,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
33,855500,2017-04-15 15:00:00,"Vicarage Road, Watford",20272,Away,Swansea City,Watford,0,1,L,0,1,0,0,1.0,,58.0,,4.0,3.0,33.0,21.0,4.0,3.0,9.0,6.0,3.0,170.0,8.0,6.0,,3.0,9.0,,4.0,78.0,149.0,59.0,,13.0,1.0,21.0,3.0,1.0,1.0,1.0,25.0,12.0,1.0,21.0,2.0,4.0,42.0,160.0,,,0.0,142.0,13.0,6.0,,,1.0,3.0,2.0,54.0,65.0,5.0,57.0,1.0,3.0,23.0,18.0,4.0,,10.0,2.0,149.0,,5.0,76.0,586.0,9.0,7.0,28.0,,8.0,278.0,18.0,,7.0,12.0,1.0,0.0,2.0,4.0,28.0,363.0,84.0,,97615,4.0,139.0,,10.0,1.0,153.0,7.0,,,18.0,5.0,61.0,1.0,2.0,4.0,,13.0,10.0,3.0,1.0,70.0,291.0,8.0,14.0,,26.0,2.0,73.0,,1.0,,0.0,,4.0,6.0,2.0,,2.0,0.0,7.0,3.0,47.0,22.0,3.0,4.0,1.0,,5.0,4.0,41.0,2.0,2.0,381.0,8.0,9.0,22.0,5.0,29.0,1.0,3.0,253.0,7.0,4.0,25.0,87.0,27.0,2.0,12.0,20.0,10.0,3.0,13.0,2.0,11.0,2.0,,2.0,2.0,,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,855510,2017-04-22 15:00:00,"Swansea.com Stadium, Swansea",20566,Home,Swansea City,Stoke City,2,0,W,1,0,0,0,1.0,,51.0,,2.0,2.0,32.0,22.0,2.0,3.0,8.0,3.0,2.0,136.0,4.0,4.0,2.0,5.0,8.0,,6.0,81.0,122.0,49.0,,10.0,,16.0,3.0,,1.0,,25.0,11.0,1.0,22.0,9.0,14.0,24.0,119.0,2.0,1.0,0.0,91.0,5.0,,1.0,1.0,,4.0,4.0,50.0,60.0,7.0,63.0,,,16.0,17.0,2.0,,2.0,,122.0,,6.0,85.0,565.0,5.0,,17.0,1.0,6.0,291.0,19.0,,2.0,10.0,,2.0,1.0,1.0,21.0,342.0,61.0,,97615,1.0,185.0,,10.0,1.0,199.0,1.0,,1.0,17.0,7.0,51.0,,1.0,12.0,1.0,11.0,3.0,,,66.0,300.0,13.0,16.0,1.0,14.0,2.0,62.0,2.0,,1.0,0.0,,1.0,4.0,1.0,1.0,,0.0,2.0,2.0,45.4,13.0,,5.0,1.0,,12.0,2.0,31.0,11.0,4.0,365.0,6.0,9.0,12.0,2.0,29.0,2.0,2.0,191.0,5.0,13.0,10.0,60.0,10.0,2.0,10.0,23.0,6.0,3.0,10.0,2.0,10.0,11.0,,4.0,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
35,855514,2017-04-30 12:00:00,"Old Trafford, Manchester",75271,Away,Swansea City,Manchester United,1,1,D,0,1,0,0,,,58.0,,1.0,3.0,36.0,30.0,4.0,3.0,8.0,5.0,3.0,155.0,3.0,11.0,1.0,6.0,12.0,,4.0,85.0,123.0,51.0,2.0,12.0,,8.0,2.0,1.0,1.0,2.0,11.0,9.0,1.0,30.0,2.0,26.0,39.0,196.0,,,0.0,139.0,13.0,3.0,,1.0,,2.0,2.0,75.0,60.0,5.0,83.0,,,9.0,16.0,4.0,2.0,3.0,2.0,123.0,2.0,8.0,102.0,604.0,8.0,10.0,22.0,,10.0,330.0,26.0,,11.0,11.0,2.0,2.0,,5.0,17.0,401.0,68.0,2.0,96306,5.0,152.0,2.0,4.0,1.0,169.0,9.0,1.0,,16.0,11.0,43.0,,2.0,3.0,,18.0,4.0,8.0,3.0,65.0,345.0,11.0,9.0,2.0,21.0,1.0,79.0,1.0,,,0.0,1.0,1.0,5.0,4.0,,1.0,0.0,2.0,1.0,44.6,16.0,1.0,7.0,,1.0,3.0,3.0,50.0,2.0,2.0,425.0,10.0,11.0,22.0,5.0,21.0,1.0,3.0,267.0,8.0,24.0,18.0,96.0,19.0,3.0,11.0,11.0,8.0,3.0,13.0,3.0,7.0,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
36,855530,2017-05-06 17:30:00,"Swansea.com Stadium, Swansea",20827,Home,Swansea City,Everton,1,0,W,1,0,0,0,1.0,1.0,51.0,,1.0,3.0,25.0,50.0,1.0,4.0,8.0,2.0,1.0,139.0,7.0,5.0,1.0,2.0,7.0,,4.0,73.0,128.0,58.0,,9.0,,21.0,2.0,1.0,,1.0,21.0,12.0,1.0,50.0,9.0,14.0,25.0,112.0,,1.0,0.0,103.0,5.0,1.0,1.0,,2.0,1.0,1.0,47.0,55.0,6.0,55.0,,,12.0,13.0,1.0,,3.0,,128.0,2.0,4.0,74.0,543.0,4.0,6.0,20.0,1.0,10.0,248.0,27.0,,7.0,23.0,1.0,0.0,2.0,1.0,19.0,319.0,54.0,,96306,4.0,155.0,2.0,8.0,,172.0,1.0,,,13.0,9.0,47.0,,,4.0,1.0,12.0,5.0,3.0,,58.0,260.0,12.0,10.0,2.0,22.0,5.0,61.0,,,,0.0,,3.0,5.0,1.0,1.0,,0.0,3.0,2.0,37.6,12.0,,2.0,,,4.0,3.0,29.0,9.0,1.0,341.0,10.0,8.0,14.0,2.0,30.0,4.0,1.0,190.0,2.0,13.0,22.0,61.0,17.0,5.0,23.0,19.0,4.0,3.0,8.0,5.0,6.0,9.0,,1.0,,,1.0,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0
37,855538,2017-05-13 15:00:00,"Stadium of Light, Sunderland",38781,Away,Swansea City,Sunderland,2,0,W,2,0,0,0,,1.0,52.0,1.0,2.0,,33.0,25.0,1.0,,2.0,4.0,1.0,150.0,1.0,2.0,2.0,1.0,2.0,,3.0,95.0,130.0,45.0,1.0,3.0,,9.0,,,,,13.0,12.0,1.0,25.0,4.0,13.0,22.0,164.0,,1.0,0.0,118.0,6.0,1.0,,,,1.0,1.0,77.0,51.0,2.0,60.0,2.0,,9.0,12.0,1.0,1.0,1.0,,130.0,1.0,9.0,95.0,571.0,,2.0,15.0,,11.0,311.0,25.0,,7.0,15.0,,0.0,3.0,,18.0,378.0,66.0,1.0,97615,1.0,159.0,,7.0,1.0,168.0,4.0,1.0,,12.0,8.0,43.0,,1.0,6.0,1.0,13.0,4.0,3.0,,65.0,322.0,11.0,8.0,,26.0,,77.0,,,,0.0,1.0,1.0,8.0,2.0,2.0,1.0,0.0,1.0,1.0,47.2,14.0,,3.0,,1.0,6.0,,45.0,4.0,1.0,400.0,11.0,15.0,14.0,,23.0,,,245.0,2.0,12.0,16.0,70.0,15.0,2.0,15.0,17.0,1.0,3.0,8.0,2.0,6.0,4.0,,1.0,,,,,,,1.0,,1.0,2.0,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
38,855550,2017-05-21 15:00:00,"Swansea.com Stadium, Swansea",20889,Home,Swansea City,West Bromwich Albion,2,1,W,0,1,0,0,,2.0,51.0,,1.0,2.0,44.0,17.0,3.0,2.0,9.0,4.0,,170.0,13.0,9.0,2.0,3.0,11.0,,2.0,163.0,146.0,52.0,,12.0,2.0,12.0,,,,2.0,40.0,13.0,,17.0,7.0,23.0,42.0,300.0,,,0.0,164.0,8.0,2.0,,,,2.0,1.0,95.0,102.0,5.0,92.0,1.0,2.0,33.0,19.0,3.0,,15.0,1.0,146.0,3.0,10.0,164.0,795.0,8.0,3.0,31.0,,12.0,494.0,16.0,,3.0,10.0,,1.0,5.0,6.0,20.0,570.0,71.0,,96306,5.0,223.0,1.0,16.0,1.0,237.0,5.0,1.0,,19.0,9.0,40.0,1.0,1.0,7.0,1.0,16.0,6.0,8.0,2.0,64.0,510.0,10.0,2.0,1.0,12.0,4.0,75.0,,2.0,,0.0,,1.0,4.0,3.0,2.0,2.0,0.0,10.0,4.0,65.3,17.0,3.0,4.0,1.0,,8.0,4.0,49.0,7.0,1.0,589.0,12.0,16.0,28.0,6.0,42.0,3.0,5.0,392.0,6.0,23.0,18.0,123.0,26.0,3.0,10.0,17.0,7.0,3.0,11.0,3.0,8.0,7.0,,,,,,,1.0,1.0,,,1.0,2.0,,2.0,,1.0,1.0,,1.0,,,3.0,,2.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
