gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attGoalLowCentre,postScoringAtt,goalAssistOpenplay,attOneOnOne,attMissHighRight,attSvHighRight,cleanSheet,freekickCross,attGoalHighCentre,attOboxMiss,attPostLeft,attMissHighLeft,goalAssist,attSetpiece,totalPullBack,attOboxPost,attPostHigh,goalAssistIntentional,shieldBallOop,attHdGoal,attGoalLowLeft,attCmissRight,attIboxPost,attHdPost,accurateFreekickCross,attCmissHigh,attBxLeft,errorLeadToGoal,attObxLeft,shotFastbreak,goalFastbreak,attMissLeft,totalFastbreak,attFastbreak,attCmissLeft,attFreekickTarget,foulThrowIn,errorLeadToShot,clearanceOffLine,attFreekickMiss,accuratePullBack,contentiousDecision,attLgCentre,penaltyConceded,attCmissHighRight,penaltyFaced,penGoalsConceded,attOboxGoal,attFreekickGoal,attPostRight,attGoalHighRight,goalAssistSetplay,defenderGoals,attGoalHighLeft,sixYardBlock,goalAssistDeadball,attCmissHighLeft,attObpGoal
28,803437,2016-03-02 19:45:00,"Emirates Stadium, London",59905,Away,Swansea City,Arsenal,2,1,W,1,1,0,0,,,,2.0,72.0,1.0,1.0,26.0,33.0,7.0,1.0,3.0,,,158.0,2.0,9.0,2.0,2.0,9.0,2.0,68.0,143.0,40.0,,11.0,3.0,6.0,,,1.0,,12.0,15.0,,27.0,,15.0,22.0,163.0,,0.0,100.0,11.0,2.0,,,,2.0,42.0,68.0,5.0,68.0,1.0,,12.0,21.0,,,137.0,2.0,12.0,75.0,572.0,7.0,1.0,,,9.0,274.0,33.0,6.0,15.0,1.0,2.0,6.0,4.0,16.0,339.0,56.0,1.0,96306,,131.0,1.0,10.0,154.0,7.0,2.0,21.0,8.0,58.0,,3.0,3.0,6.0,1.0,11.0,5.0,3.0,1.0,,68.0,292.0,8.0,13.0,1.0,35.0,72.0,,3.0,0.0,1.0,7.0,2.0,1.0,1.0,,0.0,2.0,,37.4,9.0,,3.0,,6.0,4.0,36.0,3.0,2.0,369.0,9.0,17.0,14.0,5.0,12.0,,1.0,227.0,10.0,13.0,4.0,67.0,22.0,1.0,4.0,,13.0,19.0,1.0,9.0,3.0,20.0,4.0,16.0,3.0,1.0,,,1.0,,,,,2.0,,4.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,1.0,1.0,,,,,3.0,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,
29,803448,2016-03-05 15:00:00,"Swansea.com Stadium, Swansea",20929,Home,Swansea City,Norwich City,1,0,W,0,0,0,0,,1.0,,,71.0,1.0,2.0,27.0,37.0,3.0,2.0,3.0,,2.0,190.0,2.0,8.0,1.0,4.0,8.0,3.0,90.0,182.0,54.0,1.0,10.0,,27.0,1.0,1.0,1.0,,20.0,19.0,1.0,32.0,5.0,18.0,39.0,192.0,,0.0,131.0,14.0,2.0,1.0,1.0,,4.0,71.0,86.0,4.0,58.0,,,15.0,17.0,1.0,5.0,177.0,,7.0,90.0,656.0,6.0,11.0,,,20.0,298.0,27.0,11.0,22.0,1.0,2.0,2.0,4.0,32.0,401.0,68.0,,80789,3.0,120.0,,9.0,147.0,7.0,1.0,17.0,7.0,63.0,,,3.0,7.0,1.0,14.0,1.0,3.0,1.0,,73.0,310.0,15.0,9.0,1.0,41.0,93.0,1.0,,0.0,4.0,,2.0,1.0,,7.0,0.0,2.0,1.0,55.8,28.0,1.0,2.0,,7.0,2.0,45.0,5.0,4.0,428.0,20.0,13.0,14.0,5.0,29.0,,3.0,301.0,7.0,17.0,12.0,85.0,31.0,,2.0,,22.0,20.0,,8.0,3.0,10.0,2.0,7.0,5.0,1.0,,,1.0,,1.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,2.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
30,803458,2016-03-12 15:00:00,"Vitality Stadium, Bournemouth",11179,Away,Swansea City,Bournemouth,2,3,L,1,1,0,0,,,1.0,,59.0,,2.0,36.0,24.0,5.0,5.0,1.0,1.0,1.0,170.0,6.0,12.0,2.0,1.0,9.0,4.0,108.0,158.0,65.0,,13.0,,16.0,2.0,3.0,1.0,,18.0,24.0,,20.0,2.0,15.0,27.0,184.0,,0.0,129.0,11.0,,1.0,2.0,,,64.0,75.0,4.0,86.0,2.0,2.0,16.0,23.0,,6.0,154.0,1.0,8.0,99.0,686.0,6.0,12.0,,,20.0,347.0,22.0,9.0,15.0,1.0,0.0,2.0,5.0,32.0,437.0,61.0,,80789,4.0,185.0,1.0,8.0,216.0,8.0,1.0,23.0,9.0,54.0,,2.0,1.0,3.0,2.0,13.0,4.0,2.0,1.0,,81.0,363.0,12.0,9.0,2.0,36.0,73.0,1.0,2.0,0.0,1.0,5.0,,2.0,3.0,2.0,0.0,5.0,1.0,56.0,24.0,1.0,7.0,,3.0,2.0,39.0,3.0,,463.0,20.0,8.0,15.0,7.0,23.0,1.0,2.0,265.0,6.0,15.0,12.0,84.0,23.0,,2.0,,13.0,29.0,3.0,8.0,3.0,23.0,2.0,10.0,3.0,1.0,,,1.0,,,,,2.0,,5.0,,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
31,803463,2016-03-19 17:30:00,"Swansea.com Stadium, Swansea",20454,Home,Swansea City,Aston Villa,1,0,W,0,0,0,0,,1.0,,,74.0,,1.0,35.0,49.0,7.0,4.0,2.0,,,162.0,1.0,7.0,1.0,3.0,7.0,1.0,111.0,155.0,53.0,1.0,10.0,2.0,22.0,,,,,17.0,10.0,,42.0,3.0,23.0,23.0,232.0,,0.0,112.0,9.0,1.0,,,,4.0,45.0,105.0,4.0,79.0,,1.0,14.0,15.0,1.0,3.0,148.0,,8.0,114.0,725.0,5.0,7.0,,,25.0,377.0,33.0,9.0,27.0,,3.0,6.0,3.0,28.0,451.0,62.0,,96306,2.0,158.0,,8.0,184.0,7.0,,15.0,7.0,71.0,,,3.0,8.0,,18.0,4.0,5.0,1.0,,58.0,389.0,10.0,14.0,1.0,22.0,73.0,,1.0,0.0,2.0,6.0,2.0,1.0,,3.0,0.0,,1.0,53.8,23.0,1.0,1.0,,8.0,3.0,49.0,4.0,4.0,466.0,25.0,23.0,13.0,6.0,22.0,1.0,1.0,299.0,4.0,21.0,18.0,83.0,31.0,,4.0,,25.0,19.0,,5.0,3.0,11.0,4.0,10.0,4.0,,1.0,,,,1.0,,1.0,3.0,,5.0,,2.0,1.0,3.0,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,2.0,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0
32,803478,2016-04-02 15:00:00,"bet365 Stadium, Stoke",27649,Away,Swansea City,Stoke City,2,2,D,0,1,0,0,1.0,,1.0,,70.0,,3.0,26.0,23.0,6.0,4.0,3.0,,,182.0,1.0,8.0,2.0,,10.0,3.0,125.0,137.0,33.0,,12.0,1.0,11.0,1.0,3.0,,1.0,24.0,9.0,,18.0,5.0,22.0,21.0,210.0,,0.0,127.0,16.0,2.0,,1.0,,3.0,55.0,63.0,7.0,74.0,1.0,1.0,19.0,17.0,,5.0,132.0,,5.0,109.0,678.0,8.0,4.0,,,16.0,396.0,29.0,11.0,12.0,,1.0,2.0,3.0,15.0,468.0,56.0,,80789,1.0,206.0,,13.0,226.0,7.0,2.0,17.0,6.0,50.0,,,1.0,10.0,2.0,16.0,7.0,5.0,3.0,,45.0,415.0,6.0,7.0,,20.0,59.0,,,0.0,,5.0,1.0,,2.0,2.0,0.0,1.0,,52.8,14.0,,1.0,,10.0,4.0,42.0,5.0,3.0,490.0,16.0,11.0,12.0,5.0,31.0,,2.0,288.0,8.0,21.0,7.0,87.0,27.0,,3.0,,11.0,12.0,1.0,10.0,3.0,13.0,3.0,11.0,5.0,2.0,1.0,,2.0,,,,,1.0,,3.0,,,2.0,,,,,,,,1.0,1.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
33,803484,2016-04-09 15:00:00,"Swansea.com Stadium, Swansea",20966,Home,Swansea City,Chelsea,1,0,W,1,0,0,0,,1.0,1.0,,88.0,,2.0,22.0,32.0,4.0,3.0,2.0,1.0,3.0,166.0,4.0,9.0,1.0,1.0,7.0,6.0,87.0,156.0,58.0,,12.0,1.0,11.0,3.0,2.0,,1.0,17.0,21.0,2.0,27.0,1.0,16.0,32.0,126.0,,0.0,113.0,15.0,,1.0,1.0,,5.0,35.0,52.0,5.0,60.0,7.0,1.0,16.0,19.0,,2.0,151.0,3.0,7.0,90.0,633.0,6.0,9.0,1.0,,34.0,291.0,39.0,7.0,19.0,,5.0,3.0,2.0,17.0,374.0,58.0,1.0,80789,5.0,186.0,3.0,13.0,206.0,11.0,,19.0,7.0,54.0,,2.0,1.0,5.0,1.0,15.0,1.0,6.0,1.0,,71.0,308.0,11.0,13.0,1.0,36.0,73.0,3.0,,0.0,5.0,9.0,2.0,1.0,,7.0,0.0,3.0,2.0,39.3,12.0,1.0,6.0,,5.0,3.0,36.0,1.0,5.0,403.0,34.0,9.0,16.0,3.0,28.0,1.0,2.0,214.0,7.0,15.0,12.0,63.0,31.0,,3.0,,18.0,26.0,,11.0,3.0,17.0,3.0,9.0,1.0,,,,,1.0,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
34,803498,2016-04-16 15:00:00,"St. James' Park, Newcastle",48949,Away,Swansea City,Newcastle United,0,3,L,0,1,0,0,,,,,60.0,,1.0,33.0,16.0,3.0,3.0,4.0,,,193.0,5.0,7.0,,1.0,9.0,1.0,142.0,178.0,56.0,,11.0,2.0,12.0,1.0,1.0,1.0,,22.0,17.0,,8.0,6.0,28.0,40.0,242.0,,0.0,122.0,9.0,2.0,,,1.0,2.0,82.0,85.0,4.0,85.0,,3.0,16.0,26.0,,3.0,170.0,1.0,7.0,141.0,772.0,7.0,7.0,1.0,,15.0,420.0,23.0,10.0,9.0,1.0,1.0,,5.0,31.0,530.0,66.0,1.0,80789,7.0,207.0,1.0,12.0,241.0,6.0,,26.0,6.0,49.0,,3.0,,5.0,,10.0,5.0,4.0,2.0,,68.0,444.0,13.0,7.0,2.0,29.0,91.0,,1.0,0.0,2.0,3.0,1.0,,3.0,5.0,0.0,2.0,4.0,65.5,29.0,3.0,5.0,,5.0,3.0,50.0,7.0,2.0,561.0,15.0,16.0,18.0,7.0,28.0,3.0,6.0,342.0,4.0,26.0,16.0,81.0,22.0,,7.0,,4.0,20.0,3.0,7.0,3.0,13.0,7.0,12.0,7.0,3.0,,,,,,,,1.0,,1.0,,2.0,,1.0,1.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
35,803509,2016-04-24 16:15:00,"King Power Stadium, Leicester",31962,Away,Swansea City,Leicester City,0,4,L,0,2,0,0,,,,,75.0,,2.0,32.0,19.0,3.0,2.0,5.0,,,198.0,5.0,8.0,,5.0,7.0,1.0,162.0,179.0,64.0,1.0,9.0,2.0,17.0,1.0,1.0,1.0,1.0,24.0,23.0,,12.0,4.0,30.0,43.0,281.0,,0.0,144.0,10.0,5.0,,,,2.0,87.0,103.0,4.0,87.0,3.0,2.0,20.0,22.0,1.0,9.0,172.0,1.0,14.0,176.0,868.0,5.0,9.0,1.0,,23.0,491.0,31.0,4.0,10.0,1.0,2.0,3.0,3.0,32.0,593.0,64.0,,80789,2.0,244.0,1.0,10.0,274.0,4.0,,22.0,6.0,80.0,,,1.0,8.0,,13.0,4.0,6.0,1.0,,57.0,520.0,15.0,23.0,2.0,21.0,79.0,,1.0,0.0,3.0,4.0,4.0,,4.0,3.0,0.0,4.0,3.0,61.7,29.0,2.0,7.0,,8.0,4.0,51.0,6.0,2.0,623.0,23.0,25.0,25.0,4.0,26.0,1.0,3.0,373.0,4.0,26.0,13.0,99.0,27.0,,2.0,,6.0,28.0,4.0,6.0,3.0,13.0,2.0,13.0,6.0,1.0,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,2.0,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
36,803516,2016-05-01 12:00:00,"Swansea.com Stadium, Swansea",20972,Home,Swansea City,Liverpool,3,1,W,2,0,0,1,,,,1.0,60.0,,1.0,22.0,12.0,7.0,5.0,2.0,1.0,6.0,170.0,6.0,6.0,3.0,4.0,12.0,9.0,124.0,129.0,44.0,,18.0,4.0,8.0,5.0,,,4.0,20.0,17.0,1.0,10.0,4.0,18.0,38.0,247.0,,0.0,148.0,12.0,1.0,,1.0,2.0,,81.0,90.0,9.0,72.0,2.0,2.0,16.0,13.0,,2.0,127.0,3.0,3.0,114.0,678.0,10.0,9.0,,,19.0,392.0,15.0,3.0,4.0,,2.0,5.0,3.0,23.0,463.0,57.0,,96305,7.0,165.0,2.0,11.0,179.0,7.0,1.0,13.0,5.0,56.0,,,1.0,4.0,2.0,16.0,8.0,3.0,2.0,,41.0,406.0,12.0,16.0,1.0,11.0,69.0,,2.0,0.0,,7.0,,2.0,1.0,6.0,0.0,5.0,2.0,47.6,21.0,1.0,9.0,,4.0,5.0,47.0,4.0,,480.0,19.0,15.0,19.0,4.0,24.0,1.0,3.0,321.0,11.0,16.0,7.0,116.0,28.0,2.0,4.0,,4.0,20.0,1.0,13.0,2.0,11.0,4.0,7.0,4.0,2.0,,,,,,,,3.0,,1.0,,,1.0,2.0,,,,1.0,2.0,1.0,2.0,1.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,
37,803529,2016-05-07 15:00:00,"Boleyn Ground, London",34907,Away,Swansea City,West Ham United,4,1,W,2,0,0,0,,1.0,,3.0,59.0,1.0,4.0,34.0,31.0,4.0,3.0,7.0,,1.0,156.0,9.0,10.0,4.0,1.0,11.0,6.0,94.0,126.0,39.0,,13.0,,15.0,1.0,1.0,,,20.0,12.0,1.0,26.0,2.0,15.0,24.0,199.0,,0.0,133.0,8.0,4.0,,1.0,1.0,6.0,44.0,81.0,8.0,67.0,3.0,1.0,18.0,15.0,,5.0,121.0,3.0,15.0,91.0,617.0,7.0,5.0,1.0,,12.0,303.0,26.0,6.0,18.0,,0.0,10.0,3.0,20.0,375.0,54.0,,96306,6.0,138.0,,13.0,153.0,4.0,4.0,15.0,11.0,40.0,1.0,,2.0,8.0,4.0,9.0,11.0,8.0,1.0,,69.0,328.0,10.0,8.0,,24.0,86.0,1.0,,0.0,4.0,13.0,5.0,4.0,1.0,1.0,0.0,7.0,1.0,48.1,16.0,,1.0,,9.0,4.0,50.0,3.0,6.0,408.0,12.0,5.0,15.0,3.0,28.0,2.0,,275.0,9.0,14.0,4.0,93.0,18.0,2.0,4.0,1.0,18.0,16.0,1.0,12.0,3.0,15.0,4.0,8.0,3.0,2.0,1.0,,4.0,,,,,,1.0,3.0,,1.0,4.0,,,,,4.0,,,1.0,,,,,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
38,803537,2016-05-15 15:00:00,"Swansea.com Stadium, Swansea",20934,Home,Swansea City,Manchester City,1,1,D,1,1,0,0,,,,,56.0,,,35.0,27.0,3.0,1.0,4.0,1.0,,188.0,4.0,6.0,1.0,4.0,2.0,1.0,118.0,151.0,55.0,1.0,4.0,1.0,8.0,,,,,16.0,9.0,,22.0,4.0,26.0,38.0,180.0,,0.0,95.0,4.0,1.0,,,,,56.0,72.0,,62.0,,,12.0,24.0,1.0,4.0,146.0,,11.0,126.0,676.0,1.0,12.0,,,23.0,361.0,25.0,9.0,16.0,,1.0,3.0,2.0,20.0,462.0,60.0,,96306,1.0,211.0,,6.0,238.0,3.0,,24.0,12.0,39.0,,,2.0,4.0,,6.0,7.0,8.0,,,64.0,387.0,19.0,10.0,1.0,20.0,85.0,,,0.0,1.0,4.0,4.0,,1.0,3.0,0.0,2.0,1.0,50.0,19.0,1.0,3.0,,4.0,1.0,47.0,4.0,,494.0,23.0,9.0,15.0,2.0,16.0,2.0,1.0,272.0,2.0,25.0,18.0,50.0,24.0,1.0,2.0,,14.0,13.0,1.0,2.0,2.0,14.0,2.0,10.0,4.0,,,,,,,,,2.0,,1.0,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,2.0,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,
