gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attCmissRight,attLgRight,attSvHighRight,attSvLowLeft,interceptionsInBox,contentiousDecision,accurateFreekickCross,penaltyConceded,totalPullBack,attCmissLeft,punches,overrun,accurateFlickOn,penaltyFaced,penGoalsConceded,attIboxBlocked,attLfGoal,accuratePullBack,attFreekickTotal,postScoringAtt,attIboxPost,cleanSheet,midfielderGoals,freekickTotal,attGoalHighCentre,hitWoodwork,accurateThroughBall,errorLeadToShot,totalThroughBall,defenderGoals,attMissHigh,attGoalHighLeft,attPostHigh,attSvHighCentre,attFreekickMiss,handBall,attGoalLowLeft,attFreekickTarget,errorLeadToGoal,attSvHighLeft,attPostRight,attGoalLowCentre,attOneOnOne,attHdTarget,attCmissHigh,accurateKeeperSweeper,attGoalHighRight,attOboxGoal,penaltyWon,totalKeeperSweeper,sixYardBlock,attCmissHighLeft,attPenGoal,attLgCentre,goalAssistSetplay,attObxdRight,attHdGoal,shotFastbreak,totalFastbreak,attFastbreak,attObpGoal,shieldBallOop,foulThrowIn,attPostLeft,attOboxPost,ownGoals,attIboxOwnGoal,attCmissHighRight,goalAssistDeadball,attObxLeft,attemptsIbox,ptsGainedLosingPos,attemptsObox,touchesInOppBox,ptsDroppedWinningPos,secondYellow,attLgLeft
28,695179,2014-03-02 16:30:00,"Swansea.com Stadium, Swansea",20240,Home,Swansea City,Crystal Palace,1,1,D,1,0,1,0,,2.0,1.0,67.0,,47.0,22.0,1.0,3.0,2.0,2.0,199.0,2.0,6.0,1.0,4.0,6.0,5.0,214.0,160.0,54.0,7.0,,40.0,3.0,,1.0,2.0,,19.0,20.0,1.0,22.0,1.0,43.0,32.0,300.0,,0.0,125.0,8.0,,4.0,1.0,50.0,111.0,5.0,117.0,1.0,18.0,23.0,5.0,1.0,160.0,1.0,6.0,188.0,928.0,5.0,6.0,21.0,619.0,26.0,,3.0,17.0,1.0,1.0,1.0,1.0,24.0,707.0,63.0,89046,4.0,327.0,,9.0,,361.0,3.0,1.0,23.0,9.0,75.0,3.0,8.0,1.0,11.0,,3.0,81.0,625.0,9.0,6.0,,25.0,108.0,1.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,,68.7,19.0,,4.0,1.0,8.0,1.0,,71.0,1.0,2.0,718.0,21.0,10.0,18.0,1.0,20.0,,,376.0,4.0,41.0,14.0,89.0,26.0,,1.0,17.0,25.0,1.0,7.0,3.0,18.0,1.0,7.0,1.0,,1.0,,,,5.0,1.0,,1.0,,,,3.0,2.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,
29,695190,2014-03-25 19:45:00,"Emirates Stadium, London",59937,Away,Swansea City,Arsenal,2,2,D,1,0,0,0,,,,68.0,,28.0,61.0,3.0,2.0,2.0,,167.0,7.0,2.0,2.0,,7.0,2.0,113.0,130.0,51.0,8.0,1.0,22.0,1.0,,1.0,,,12.0,16.0,,61.0,,18.0,36.0,169.0,1.0,0.0,77.0,12.0,1.0,1.0,1.0,24.0,75.0,3.0,70.0,3.0,12.0,13.0,5.0,2.0,130.0,,9.0,113.0,665.0,6.0,9.0,19.0,357.0,32.0,,7.0,32.0,1.0,1.0,2.0,4.0,9.0,437.0,45.0,89046,4.0,211.0,,6.0,,251.0,7.0,,5.0,9.0,56.0,3.0,4.0,1.0,13.0,4.0,4.0,57.0,373.0,11.0,7.0,,26.0,76.0,,0.0,7.0,1.0,2.0,2.0,0.0,7.0,1.0,3.0,39.5,7.0,1.0,1.0,1.0,4.0,1.0,,42.0,,2.0,463.0,19.0,14.0,14.0,5.0,13.0,,3.0,224.0,3.0,16.0,17.0,53.0,25.0,1.0,2.0,32.0,21.0,2.0,8.0,3.0,4.0,2.0,5.0,,1.0,1.0,,,,1.0,2.0,,,,,1.0,1.0,4.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,1.0,3.0,12.0,2.0,,
30,695199,2014-03-15 15:00:00,"Swansea.com Stadium, Swansea",20703,Home,Swansea City,West Bromwich Albion,1,2,L,1,0,0,0,2.0,,,79.0,1.0,48.0,22.0,3.0,2.0,2.0,3.0,204.0,7.0,12.0,1.0,3.0,10.0,4.0,188.0,154.0,60.0,14.0,1.0,25.0,2.0,1.0,1.0,2.0,,29.0,11.0,1.0,22.0,4.0,25.0,40.0,279.0,,0.0,118.0,7.0,,2.0,,56.0,101.0,5.0,94.0,2.0,25.0,14.0,10.0,2.0,154.0,1.0,3.0,169.0,880.0,7.0,11.0,27.0,552.0,37.0,2.0,6.0,16.0,1.0,1.0,4.0,5.0,20.0,642.0,61.0,86989,5.0,293.0,1.0,13.0,,329.0,4.0,1.0,14.0,6.0,54.0,4.0,7.0,1.0,11.0,10.0,1.0,74.0,565.0,13.0,3.0,2.0,24.0,93.0,,0.0,1.0,1.0,1.0,2.0,0.0,5.0,,2.0,62.0,19.0,2.0,3.0,3.0,7.0,4.0,,74.0,4.0,,655.0,27.0,7.0,21.0,6.0,20.0,2.0,4.0,355.0,10.0,23.0,18.0,80.0,31.0,,6.0,16.0,17.0,,11.0,3.0,25.0,6.0,4.0,4.0,1.0,1.0,,,,1.0,,,,1.0,,,1.0,4.0,,,3.0,,1.0,1.0,,,,1.0,1.0,,,1.0,,1.0,,2.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
31,695204,2014-03-22 15:00:00,"Goodison Park, Liverpool",36260,Away,Swansea City,Everton,2,3,L,1,1,0,0,,1.0,1.0,80.0,1.0,33.0,14.0,4.0,4.0,3.0,3.0,203.0,6.0,1.0,2.0,2.0,16.0,7.0,153.0,157.0,42.0,21.0,2.0,14.0,4.0,2.0,1.0,3.0,1.0,36.0,14.0,1.0,14.0,10.0,17.0,37.0,272.0,,0.0,162.0,6.0,1.0,1.0,2.0,63.0,87.0,11.0,79.0,5.0,26.0,16.0,8.0,2.0,157.0,3.0,7.0,159.0,815.0,14.0,5.0,32.0,494.0,34.0,,5.0,9.0,2.0,0.0,,5.0,23.0,580.0,62.0,86989,9.0,241.0,2.0,17.0,,264.0,3.0,,16.0,3.0,54.0,1.0,4.0,1.0,13.0,2.0,3.0,53.0,507.0,8.0,11.0,,15.0,78.0,,0.0,5.0,2.0,2.0,3.0,0.0,4.0,2.0,5.0,59.3,21.0,3.0,6.0,4.0,4.0,6.0,,55.0,12.0,2.0,594.0,32.0,11.0,24.0,8.0,31.0,2.0,6.0,366.0,12.0,15.0,15.0,128.0,35.0,1.0,4.0,9.0,19.0,3.0,15.0,3.0,13.0,4.0,7.0,12.0,1.0,,,,2.0,1.0,,,1.0,2.0,1.0,,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,
32,695219,2014-03-29 15:00:00,"Swansea.com Stadium, Swansea",20371,Home,Swansea City,Norwich City,3,0,W,2,0,0,0,,,1.0,66.0,3.0,41.0,22.0,8.0,6.0,3.0,4.0,169.0,4.0,10.0,3.0,2.0,16.0,7.0,136.0,131.0,49.0,16.0,2.0,19.0,3.0,1.0,3.0,1.0,1.0,23.0,10.0,1.0,22.0,6.0,19.0,24.0,237.0,1.0,0.0,143.0,15.0,1.0,,2.0,51.0,84.0,11.0,88.0,2.0,17.0,11.0,8.0,4.0,131.0,1.0,6.0,146.0,739.0,12.0,2.0,20.0,453.0,28.0,,4.0,16.0,3.0,1.0,4.0,5.0,21.0,525.0,58.0,89046,5.0,232.0,,9.0,2.0,249.0,7.0,,11.0,4.0,54.0,1.0,5.0,3.0,9.0,2.0,,58.0,465.0,9.0,3.0,1.0,19.0,71.0,1.0,0.0,4.0,4.0,2.0,,0.0,3.0,2.0,,58.7,16.0,,5.0,1.0,5.0,4.0,1.0,45.0,7.0,3.0,539.0,20.0,12.0,14.0,5.0,25.0,1.0,1.0,313.0,10.0,16.0,16.0,109.0,25.0,,5.0,16.0,15.0,,14.0,3.0,17.0,5.0,4.0,7.0,,2.0,,,1.0,,2.0,,,2.0,,,,2.0,,,2.0,3.0,2.0,,,,1.0,3.0,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
33,695225,2014-04-05 15:00:00,"The MKM Stadium, Hull",22744,Away,Swansea City,Hull City,0,1,L,0,1,0,0,,1.0,,65.0,,35.0,46.0,7.0,3.0,3.0,1.0,204.0,6.0,14.0,,2.0,8.0,2.0,111.0,162.0,66.0,12.0,,29.0,,2.0,,1.0,4.0,24.0,15.0,2.0,46.0,2.0,16.0,37.0,198.0,3.0,0.0,118.0,18.0,2.0,2.0,3.0,51.0,69.0,2.0,60.0,,22.0,20.0,8.0,5.0,162.0,,5.0,94.0,703.0,8.0,12.0,17.0,356.0,21.0,1.0,9.0,29.0,,2.0,,6.0,32.0,459.0,71.0,86989,2.0,171.0,,12.0,,196.0,9.0,,20.0,8.0,64.0,,3.0,,10.0,3.0,3.0,55.0,363.0,4.0,6.0,,27.0,106.0,1.0,0.0,7.0,3.0,,1.0,0.0,6.0,,1.0,56.9,26.0,1.0,2.0,1.0,4.0,1.0,,61.0,2.0,3.0,469.0,17.0,9.0,21.0,9.0,25.0,,4.0,297.0,8.0,16.0,27.0,73.0,34.0,,3.0,29.0,21.0,1.0,11.0,3.0,19.0,3.0,7.0,2.0,,,,,,,,,,,2.0,,2.0,3.0,,,1.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,
34,695238,2014-04-13 16:07:00,"Swansea.com Stadium, Swansea",20761,Home,Swansea City,Chelsea,0,1,L,0,0,1,0,1.0,,,50.0,,22.0,30.0,2.0,,1.0,2.0,128.0,3.0,4.0,,2.0,6.0,4.0,80.0,125.0,47.0,7.0,,16.0,2.0,1.0,,,,15.0,11.0,2.0,30.0,5.0,15.0,27.0,115.0,,0.0,63.0,8.0,,2.0,2.0,32.0,67.0,4.0,70.0,2.0,10.0,14.0,3.0,1.0,125.0,,15.0,70.0,543.0,4.0,2.0,18.0,257.0,22.0,,3.0,11.0,,0.0,11.0,2.0,20.0,329.0,51.0,96305,2.0,155.0,,5.0,,172.0,5.0,,14.0,15.0,46.0,1.0,3.0,,8.0,11.0,5.0,50.0,267.0,11.0,14.0,2.0,14.0,86.0,,0.0,12.0,2.0,,1.0,1.0,1.0,,3.0,38.2,16.0,1.0,2.0,,3.0,1.0,1.0,44.0,5.0,3.0,348.0,18.0,4.0,10.0,2.0,11.0,2.0,1.0,191.0,4.0,14.0,17.0,29.0,18.0,,4.0,11.0,19.0,,5.0,3.0,9.0,4.0,7.0,5.0,,,,1.0,1.0,4.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,,2.0,,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0
35,695247,2014-04-19 15:00:00,"St. James' Park, Newcastle",51057,Away,Swansea City,Newcastle United,2,1,W,1,1,0,0,,,2.0,70.0,,22.0,42.0,6.0,2.0,3.0,,189.0,3.0,7.0,2.0,3.0,5.0,2.0,122.0,174.0,52.0,10.0,3.0,30.0,,,,,2.0,25.0,11.0,,42.0,7.0,11.0,42.0,171.0,,0.0,118.0,9.0,1.0,1.0,2.0,30.0,71.0,3.0,63.0,1.0,18.0,19.0,7.0,3.0,174.0,2.0,8.0,104.0,709.0,3.0,4.0,20.0,368.0,27.0,,4.0,24.0,1.0,0.0,1.0,1.0,20.0,468.0,64.0,96305,3.0,207.0,1.0,10.0,,238.0,2.0,1.0,19.0,11.0,66.0,5.0,8.0,,9.0,6.0,5.0,52.0,375.0,6.0,5.0,,20.0,84.0,,0.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,52.8,16.0,,4.0,,9.0,4.0,,42.0,8.0,2.0,478.0,20.0,13.0,17.0,4.0,19.0,1.0,1.0,265.0,6.0,11.0,23.0,72.0,26.0,2.0,4.0,24.0,17.0,1.0,7.0,2.0,18.0,4.0,5.0,8.0,2.0,,,,,,,,,,,,,4.0,,,1.0,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,
36,695259,2014-04-26 15:00:00,"Swansea.com Stadium, Swansea",20701,Home,Swansea City,Aston Villa,4,1,W,2,1,0,0,,1.0,2.0,50.0,1.0,23.0,35.0,5.0,2.0,2.0,3.0,145.0,3.0,7.0,4.0,4.0,7.0,8.0,78.0,143.0,41.0,11.0,,15.0,1.0,1.0,1.0,1.0,1.0,28.0,8.0,3.0,35.0,8.0,16.0,44.0,141.0,,0.0,77.0,9.0,,1.0,1.0,46.0,60.0,6.0,70.0,1.0,20.0,14.0,6.0,1.0,143.0,1.0,1.0,79.0,591.0,2.0,8.0,22.0,274.0,17.0,,3.0,15.0,2.0,1.0,5.0,1.0,29.0,356.0,54.0,96305,3.0,147.0,,13.0,2.0,173.0,5.0,4.0,14.0,9.0,44.0,5.0,4.0,2.0,8.0,10.0,5.0,50.0,285.0,12.0,9.0,3.0,19.0,74.0,1.0,0.0,6.0,,2.0,1.0,0.0,2.0,2.0,,47.6,26.0,,3.0,1.0,4.0,1.0,,43.0,9.0,1.0,372.0,22.0,9.0,22.0,2.0,12.0,1.0,1.0,227.0,9.0,13.0,16.0,44.0,23.0,2.0,7.0,15.0,8.0,1.0,7.0,3.0,9.0,7.0,10.0,9.0,2.0,,,,2.0,,,,,2.0,1.0,1.0,,3.0,,,1.0,,1.0,,,,,2.0,,,,1.0,,3.0,,,,,,,,1.0,,,,,,1.0,,,,2.0,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
37,695269,2014-05-03 15:00:00,"Swansea.com Stadium, Swansea",20682,Home,Swansea City,Southampton,0,1,L,0,0,0,0,,,,54.0,,28.0,30.0,5.0,1.0,3.0,3.0,137.0,5.0,1.0,,3.0,9.0,3.0,79.0,122.0,42.0,12.0,2.0,23.0,,1.0,,1.0,3.0,11.0,12.0,3.0,30.0,3.0,15.0,37.0,124.0,,0.0,68.0,11.0,1.0,2.0,,42.0,66.0,4.0,63.0,1.0,8.0,16.0,2.0,1.0,122.0,,7.0,73.0,557.0,8.0,8.0,26.0,272.0,25.0,1.0,6.0,17.0,,1.0,6.0,5.0,32.0,346.0,38.0,96305,3.0,156.0,,4.0,,174.0,4.0,,16.0,9.0,56.0,2.0,6.0,,11.0,10.0,6.0,41.0,275.0,5.0,11.0,1.0,15.0,72.0,,0.0,5.0,,,1.0,0.0,4.0,,3.0,38.1,22.0,3.0,1.0,1.0,6.0,2.0,,42.0,3.0,,352.0,26.0,9.0,21.0,7.0,10.0,1.0,6.0,189.0,8.0,9.0,20.0,42.0,21.0,,4.0,17.0,17.0,1.0,9.0,3.0,4.0,4.0,9.0,3.0,3.0,1.0,,,2.0,4.0,,1.0,,,1.0,,1.0,4.0,,,,,,1.0,,,,,1.0,,,,,,,2.0,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
38,695278,2014-05-11 15:00:00,"Stadium of Light, Sunderland",45580,Away,Swansea City,Sunderland,3,1,W,2,0,0,0,,1.0,2.0,43.0,1.0,27.0,32.0,3.0,4.0,3.0,,109.0,1.0,6.0,3.0,3.0,5.0,4.0,87.0,103.0,51.0,8.0,1.0,11.0,,,2.0,,1.0,13.0,16.0,1.0,32.0,2.0,15.0,28.0,140.0,1.0,0.0,83.0,15.0,1.0,,,38.0,49.0,4.0,61.0,,11.0,10.0,2.0,1.0,103.0,2.0,8.0,87.0,548.0,3.0,5.0,16.0,277.0,19.0,,9.0,14.0,2.0,3.0,5.0,1.0,21.0,326.0,33.0,96305,5.0,153.0,,9.0,,169.0,7.0,1.0,10.0,14.0,50.0,,6.0,3.0,11.0,12.0,6.0,41.0,292.0,14.0,9.0,,20.0,69.0,,0.0,6.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,46.7,20.0,1.0,2.0,,6.0,2.0,,46.0,3.0,,344.0,16.0,11.0,17.0,2.0,6.0,,1.0,188.0,3.0,13.0,8.0,63.0,14.0,2.0,3.0,14.0,23.0,1.0,8.0,3.0,11.0,3.0,4.0,3.0,2.0,,,,,1.0,,,,,,,3.0,2.0,,,1.0,2.0,,,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
