gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,lostCorners,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,savedObox,saves,attGoalLowCentre,goals,fouledFinalThird,attFreekickTotal,goalAssistOpenplay,freekickCross,freekickTotal,bigChanceCreated,contentiousDecision,attMissHighLeft,goalAssist,bigChanceMissed,attRfGoal,goalsOpenplay,overrun,attIboxGoal,goalAssistIntentional,accurateLayoffs,forwardGoals,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attLfGoal,accurateKeeperSweeper,cleanSheet,divingSave,midfielderGoals,attMissRight,attPostLeft,totalKeeperSweeper,accurateFreekickCross,totalThroughBall,savedIbox,attOboxPost,attHdGoal,goalFastbreak,attOboxTarget,attOneOnOne,attMissHighRight,attSvHighLeft,accurateThroughBall,errorLeadToShot,goalsConcededObox,attGoalLowRight,attOboxGoal,ptsGainedLosingPos,goodHighClaim,attCmissHigh,defenderGoals,attCmissHighLeft,foulThrowIn,totalHighClaim,attFreekickMiss,attSvLowLeft,attGoalHighCentre,ptsDroppedWinningPos,penaltyConceded,penaltyFaced,penGoalsConceded,penaltySave,attFreekickPost,shieldBallOop,attSvHighCentre,attGoalHighRight,attObpGoal,attFreekickTarget,attCmissRight,winningGoal,keeperGoals,subsGoals,attObxdLeft,ownGoals,attPenGoal,attGoalHighLeft,attFreekickGoal,punches,attCmissHighRight,attObxRight,attObxdRight,penaltyWon,attPenTarget,attIboxOwnGoal,clearanceOffLine,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,errorLeadToGoal,secondYellow,attObxLeft,attPenPost
26,2128541,2021-02-27 12:30:00,"Etihad Stadium, Manchester",,Away,West Ham United,Manchester City,1,2,L,1,1,0,0,1.0,1.0,17.0,58.0,1.0,22.0,18.0,3.0,3.0,6.0,,128.0,12.0,3.0,3.0,8.0,1.0,3.0,108.0,108.0,32.0,9.0,1.0,13.0,1.0,,,1.0,2.0,1.0,13.0,1.0,9.0,18.0,2.0,9.0,48.0,121.0,,0.0,74.0,11.0,,48.0,39.0,4.0,59.0,1.0,11.0,10.0,3.0,5.0,1.0,108.0,5.0,99.0,,532.0,6.0,6.0,15.0,1.0,1.0,20.0,305.0,28.0,2.0,11.0,1.0,5.0,4.0,9.0,372.0,39.0,86934,3.0,200.0,4.0,1.0,2.0,226.0,6.0,1.0,10.0,7.0,41.0,1.0,,10.0,5.0,5.0,,47.0,318.0,6.0,8.0,1.0,8.0,,53.0,,,1.0,0.0,4.0,,2.0,,0.0,2.0,3.0,36.8,9.0,2.0,5.0,,,2.0,28.0,2.0,394.0,20.0,4.0,26.0,4.0,15.0,1.0,2.0,181.0,3.0,10.0,47.0,21.0,1.0,11.0,13.0,2.0,7.0,2.0,10.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,3.0,,,1.0,2.0,,1.0,,1.0,,8.0,1.0,,,,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
27,2128555,2021-03-08 20:00:00,"London Stadium, London",,Home,West Ham United,Leeds United,2,0,W,2,0,0,0,,1.0,28.0,68.0,3.0,13.0,17.0,8.0,3.0,8.0,2.0,140.0,13.0,5.0,4.0,9.0,,5.0,55.0,136.0,44.0,16.0,2.0,15.0,1.0,,,1.0,,1.0,15.0,,8.0,17.0,6.0,5.0,27.0,86.0,,0.0,77.0,9.0,,44.0,35.0,4.0,32.0,2.0,9.0,17.0,8.0,3.0,3.0,136.0,11.0,49.0,,458.0,6.0,6.0,20.0,,2.0,18.0,177.0,36.0,2.0,10.0,1.0,5.0,5.0,14.0,254.0,40.0,86934,4.0,109.0,4.0,1.0,4.0,132.0,7.0,,17.0,15.0,49.0,1.0,4.0,16.0,6.0,7.0,2.0,48.0,190.0,9.0,6.0,2.0,15.0,3.0,56.0,,2.0,,0.0,6.0,1.0,,2.0,0.0,3.0,3.0,34.7,12.0,1.0,9.0,1.0,4.0,5.0,26.0,6.0,276.0,18.0,11.0,10.0,6.0,20.0,2.0,2.0,159.0,10.0,17.0,39.0,19.0,,10.0,14.0,,7.0,2.0,12.0,,8.0,6.0,2.0,,2.0,2.0,2.0,5.0,1.0,,2.0,1.0,2.0,,,1.0,2.0,,,2.0,2.0,1.0,4.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,2.0,1.0,1.0,,2.0,,1.0,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
28,2128562,2021-03-14 19:15:00,"Old Trafford, Manchester",,Away,West Ham United,Manchester United,0,1,L,0,0,0,0,,,26.0,64.0,3.0,19.0,26.0,1.0,2.0,6.0,,159.0,19.0,3.0,7.0,5.0,,,94.0,122.0,50.0,7.0,1.0,10.0,,,,,,1.0,19.0,,7.0,26.0,2.0,3.0,30.0,161.0,,0.0,119.0,2.0,,64.0,44.0,3.0,62.0,1.0,17.0,9.0,1.0,7.0,,122.0,10.0,96.0,,595.0,5.0,9.0,18.0,,,10.0,319.0,31.0,1.0,15.0,0.0,7.0,2.0,19.0,392.0,57.0,86934,3.0,177.0,10.0,,,202.0,1.0,,9.0,4.0,33.0,2.0,5.0,9.0,6.0,3.0,,46.0,335.0,12.0,8.0,,8.0,,64.0,,,,0.0,6.0,,1.0,4.0,0.0,3.0,1.0,38.2,13.0,1.0,5.0,2.0,5.0,4.0,38.0,2.0,411.0,10.0,7.0,10.0,3.0,23.0,,3.0,228.0,4.0,18.0,83.0,19.0,,15.0,13.0,1.0,7.0,2.0,13.0,,4.0,3.0,,1.0,4.0,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,3.0,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,
29,2128575,2021-03-21 15:00:00,"London Stadium, London",,Home,West Ham United,Arsenal,3,3,D,3,1,0,0,3.0,,20.0,68.0,3.0,19.0,20.0,,3.0,15.0,1.0,150.0,7.0,3.0,7.0,12.0,,5.0,73.0,132.0,43.0,15.0,,23.0,2.0,1.0,4.0,1.0,,,19.0,1.0,5.0,20.0,3.0,2.0,22.0,150.0,,0.0,126.0,18.0,1.0,66.0,72.0,6.0,51.0,4.0,16.0,13.0,,3.0,,132.0,11.0,74.0,,516.0,9.0,5.0,26.0,1.0,1.0,12.0,245.0,32.0,2.0,15.0,3.0,6.0,6.0,22.0,326.0,58.0,86934,6.0,110.0,12.0,,2.0,135.0,10.0,,13.0,5.0,57.0,1.0,4.0,9.0,7.0,2.0,1.0,53.0,257.0,8.0,9.0,,21.0,,63.0,1.0,,,0.0,5.0,,3.0,2.0,0.0,3.0,4.0,36.9,17.0,3.0,3.0,3.0,4.0,3.0,32.0,3.0,348.0,12.0,5.0,11.0,7.0,24.0,,6.0,232.0,8.0,18.0,90.0,22.0,1.0,15.0,12.0,3.0,13.0,2.0,12.0,1.0,3.0,3.0,1.0,3.0,5.0,,3.0,1.0,,2.0,1.0,,2.0,,,3.0,2.0,3.0,2.0,,3.0,2.0,2.0,,,1.0,1.0,,,,1.0,3.0,3.0,1.0,,,,3.0,,,,,,2.0,,,,,1.0,,,,,,,,1.0,,2.0,,2.0,,,,,,,,2.0,,,1.0,,,,,2.0,,,,,,,,,,2.0,1.0,,,,,,,,
30,2128585,2021-04-05 20:15:00,"Molineux Stadium, Wolverhampton",,Away,West Ham United,Wolverhampton Wanderers,3,2,W,3,1,0,0,1.0,,26.0,59.0,,24.0,21.0,1.0,2.0,8.0,3.0,142.0,14.0,2.0,9.0,8.0,1.0,6.0,79.0,134.0,54.0,9.0,,19.0,2.0,2.0,1.0,,2.0,,14.0,,8.0,21.0,2.0,2.0,24.0,118.0,,0.0,88.0,9.0,4.0,50.0,58.0,6.0,39.0,,12.0,15.0,1.0,3.0,,134.0,15.0,62.0,,499.0,5.0,11.0,14.0,,1.0,12.0,220.0,23.0,7.0,12.0,4.0,2.0,2.0,20.0,293.0,47.0,81012,3.0,123.0,8.0,,,137.0,4.0,1.0,3.0,16.0,64.0,1.0,3.0,14.0,5.0,8.0,,52.0,239.0,9.0,17.0,,17.0,1.0,63.0,2.0,,,0.0,4.0,,2.0,3.0,0.0,2.0,2.0,33.9,17.0,2.0,4.0,2.0,4.0,,35.0,2.0,322.0,12.0,8.0,12.0,3.0,16.0,,3.0,199.0,5.0,25.0,51.0,23.0,5.0,12.0,11.0,2.0,8.0,3.0,21.0,5.0,3.0,2.0,1.0,1.0,3.0,,3.0,1.0,,3.0,1.0,,3.0,,,3.0,2.0,1.0,3.0,,3.0,2.0,2.0,,1.0,,,2.0,,,2.0,2.0,3.0,,,,,2.0,,,2.0,1.0,,,,,,,2.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,2.0154,2.0803,0.574272,1.22329,,,,
31,2128595,2021-04-11 14:05:00,"London Stadium, London",,Home,West Ham United,Leicester City,3,2,W,2,0,0,0,,,39.0,70.0,,23.0,23.0,,1.0,4.0,1.0,165.0,20.0,1.0,12.0,4.0,,4.0,81.0,141.0,52.0,4.0,,29.0,1.0,1.0,,,1.0,,8.0,,5.0,23.0,1.0,3.0,34.0,119.0,,0.0,75.0,7.0,1.0,51.0,57.0,4.0,55.0,6.0,7.0,13.0,,2.0,,141.0,10.0,64.0,,551.0,1.0,2.0,9.0,,,15.0,252.0,31.0,5.0,13.0,3.0,6.0,,21.0,340.0,49.0,81012,4.0,149.0,3.0,,,178.0,4.0,,13.0,4.0,59.0,3.0,7.0,12.0,5.0,3.0,,66.0,267.0,13.0,11.0,,27.0,,72.0,1.0,,,0.0,9.0,,2.0,,0.0,1.0,,36.3,14.0,,1.0,,7.0,,36.0,1.0,365.0,15.0,7.0,10.0,,15.0,,,195.0,3.0,17.0,37.0,21.0,6.0,13.0,10.0,1.0,4.0,3.0,18.0,6.0,7.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,,3.0,2.0,,2.0,2.0,,3.0,,2.0,3.0,1.0,3.0,3.0,3.0,3.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,
32,2128603,2021-04-17 12:30:00,"St. James' Park, Newcastle",,Away,West Ham United,Newcastle United,2,3,L,0,2,1,0,,1.0,35.0,44.0,1.0,25.0,7.0,8.0,2.0,8.0,1.0,136.0,15.0,6.0,13.0,11.0,,6.0,163.0,140.0,41.0,16.0,5.0,12.0,4.0,,1.0,,3.0,1.0,27.0,,7.0,7.0,6.0,3.0,51.0,228.0,,0.0,139.0,7.0,,73.0,84.0,9.0,68.0,1.0,21.0,19.0,8.0,5.0,3.0,140.0,8.0,143.0,,716.0,8.0,7.0,24.0,2.0,,9.0,419.0,14.0,3.0,3.0,0.0,9.0,2.0,39.0,494.0,54.0,86934,4.0,210.0,13.0,1.0,2.0,220.0,4.0,,19.0,3.0,44.0,,7.0,16.0,9.0,2.0,,49.0,432.0,8.0,10.0,2.0,10.0,2.0,65.0,,1.0,,0.0,3.0,,3.0,3.0,1.0,4.0,4.0,65.4,33.0,,2.0,,7.0,6.0,42.0,8.0,510.0,9.0,7.0,21.0,4.0,42.0,2.0,1.0,317.0,10.0,9.0,94.0,21.0,1.0,3.0,11.0,3.0,10.0,3.0,22.0,1.0,6.0,8.0,2.0,2.0,4.0,,2.0,4.0,,1.0,3.0,,3.0,1.0,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,,,,,,3.0,,2.0,,,,,4.0,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,1.0,,1.0,2.0,,,,,2.0,1.0,,
33,2128614,2021-04-24 17:30:00,"London Stadium, London",,Home,West Ham United,Chelsea,0,1,L,0,1,1,0,,,29.0,56.0,1.0,16.0,14.0,5.0,2.0,3.0,2.0,162.0,17.0,1.0,7.0,5.0,1.0,2.0,104.0,160.0,53.0,9.0,2.0,23.0,,,,,1.0,2.0,17.0,,7.0,14.0,3.0,8.0,28.0,210.0,,0.0,135.0,9.0,,52.0,96.0,3.0,69.0,,14.0,23.0,6.0,2.0,2.0,160.0,10.0,112.0,,634.0,5.0,3.0,11.0,,,13.0,332.0,24.0,4.0,10.0,0.0,5.0,2.0,27.0,423.0,61.0,86934,1.0,135.0,11.0,,1.0,163.0,6.0,1.0,23.0,7.0,62.0,3.0,1.0,9.0,7.0,5.0,,50.0,344.0,11.0,8.0,,22.0,1.0,56.0,,,1.0,0.0,2.0,,1.0,,1.0,1.0,1.0,44.5,22.0,1.0,4.0,2.0,1.0,3.0,22.0,4.0,447.0,13.0,13.0,12.0,4.0,20.0,,2.0,301.0,6.0,17.0,94.0,22.0,1.0,10.0,18.0,1.0,6.0,3.0,16.0,1.0,8.0,4.0,,2.0,5.0,,,1.0,1.0,,1.0,1.0,,2.0,,,,,,2.0,,,8.0,,,,,,,,4.0,,1.0,,,,1.0,3.0,,,,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
34,2128617,2021-05-03 20:15:00,"Turf Moor, Burnley",,Away,West Ham United,Burnley,2,1,W,2,1,0,0,,,22.0,71.0,2.0,25.0,31.0,9.0,6.0,13.0,1.0,198.0,11.0,7.0,10.0,20.0,,4.0,129.0,157.0,64.0,22.0,4.0,15.0,2.0,1.0,1.0,,,4.0,24.0,,6.0,31.0,3.0,7.0,49.0,237.0,,0.0,172.0,8.0,1.0,90.0,78.0,9.0,88.0,1.0,22.0,14.0,9.0,,5.0,157.0,7.0,129.0,,734.0,15.0,6.0,34.0,1.0,,11.0,417.0,41.0,5.0,22.0,1.0,3.0,11.0,23.0,526.0,44.0,86934,7.0,197.0,22.0,,,243.0,7.0,,14.0,9.0,40.0,2.0,3.0,8.0,1.0,2.0,1.0,66.0,427.0,4.0,9.0,3.0,24.0,3.0,79.0,1.0,1.0,,0.0,5.0,,1.0,3.0,0.0,6.0,3.0,55.4,19.0,1.0,3.0,2.0,3.0,6.0,32.0,4.0,544.0,11.0,4.0,17.0,12.0,36.0,2.0,7.0,325.0,13.0,40.0,145.0,24.0,3.0,22.0,10.0,1.0,18.0,1.0,14.0,3.0,5.0,4.0,2.0,,1.0,,2.0,1.0,1.0,2.0,,1.0,2.0,,,2.0,,1.0,2.0,1.0,2.0,2.0,6.0,2.0,,,,,,,1.0,,5.0,,,,,2.0,,1.0,,,,2.0,,,,,,,3.0,,1.0,,,,,,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,
35,2128634,2021-05-09 16:30:00,"London Stadium, London",,Home,West Ham United,Everton,0,1,L,0,1,0,0,,,,60.0,4.0,17.0,11.0,3.0,3.0,8.0,,180.0,,6.0,7.0,8.0,,,173.0,143.0,45.0,11.0,1.0,17.0,,,1.0,1.0,,1.0,40.0,1.0,10.0,11.0,5.0,8.0,29.0,329.0,,0.0,185.0,8.0,,107.0,110.0,5.0,79.0,,35.0,17.0,3.0,19.0,2.0,143.0,7.0,174.0,,809.0,8.0,4.0,20.0,,1.0,3.0,531.0,21.0,3.0,8.0,2.0,2.0,3.0,24.0,589.0,76.0,86934,4.0,223.0,14.0,,,233.0,5.0,,17.0,5.0,63.0,2.0,6.0,18.0,2.0,4.0,1.0,38.0,546.0,10.0,14.0,,9.0,2.0,66.0,,,,0.0,6.0,,1.0,1.0,0.0,6.0,3.0,68.6,22.0,2.0,5.0,1.0,6.0,5.0,45.0,5.0,606.0,3.0,11.0,10.0,6.0,49.0,,3.0,413.0,5.0,12.0,150.0,28.0,1.0,8.0,16.0,1.0,9.0,3.0,20.0,1.0,8.0,5.0,,1.0,2.0,,,2.0,,,2.0,,1.0,,2.0,,2.0,,,3.0,,,6.0,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2128636,2021-05-15 20:00:00,"American Express Stadium, Falmer",,Away,West Ham United,Brighton and Hove Albion,1,1,D,0,0,0,0,1.0,,27.0,60.0,2.0,25.0,6.0,8.0,4.0,7.0,2.0,172.0,19.0,7.0,14.0,13.0,2.0,3.0,134.0,117.0,42.0,15.0,2.0,6.0,1.0,1.0,,,1.0,2.0,24.0,,2.0,6.0,3.0,5.0,29.0,308.0,,0.0,160.0,5.0,1.0,116.0,70.0,6.0,94.0,1.0,21.0,17.0,8.0,9.0,4.0,117.0,2.0,152.0,,713.0,12.0,4.0,33.0,,,12.0,462.0,26.0,4.0,1.0,0.0,6.0,7.0,14.0,536.0,60.0,81012,6.0,173.0,12.0,1.0,,189.0,1.0,5.0,17.0,7.0,26.0,2.0,5.0,10.0,8.0,5.0,1.0,53.0,474.0,7.0,7.0,1.0,16.0,2.0,68.0,1.0,1.0,1.0,0.0,3.0,,1.0,3.0,0.0,5.0,3.0,48.9,14.0,2.0,4.0,,5.0,4.0,46.0,3.0,552.0,12.0,7.0,14.0,8.0,35.0,2.0,4.0,387.0,7.0,15.0,123.0,24.0,1.0,1.0,6.0,,13.0,1.0,16.0,1.0,7.0,3.0,,1.0,1.0,,1.0,,,,,,3.0,,2.0,,3.0,1.0,1.0,1.0,,,3.0,,,,,,,,,,2.0,,,,,,,,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
37,2128655,2021-05-19 20:15:00,"The Hawthorns, West Bromwich",5371.0,Away,West Ham United,West Bromwich Albion,3,1,W,1,1,0,0,1.0,,31.0,52.0,2.0,21.0,34.0,5.0,4.0,16.0,5.0,130.0,13.0,4.0,5.0,15.0,,9.0,85.0,142.0,51.0,21.0,1.0,31.0,5.0,1.0,3.0,2.0,2.0,3.0,23.0,1.0,9.0,34.0,8.0,,26.0,141.0,,0.0,108.0,11.0,2.0,62.0,42.0,12.0,33.0,,15.0,14.0,5.0,4.0,2.0,142.0,6.0,78.0,,530.0,9.0,4.0,28.0,1.0,2.0,10.0,228.0,24.0,4.0,19.0,2.0,4.0,3.0,24.0,303.0,37.0,81012,7.0,103.0,11.0,,,135.0,8.0,2.0,14.0,11.0,63.0,1.0,3.0,17.0,8.0,6.0,1.0,53.0,240.0,8.0,12.0,3.0,19.0,5.0,52.0,1.0,2.0,1.0,0.0,6.0,,1.0,1.0,0.0,1.0,4.0,47.5,16.0,2.0,4.0,2.0,3.0,3.0,26.0,8.0,326.0,10.0,1.0,12.0,9.0,35.0,3.0,5.0,214.0,13.0,22.0,79.0,19.0,3.0,19.0,16.0,,13.0,2.0,14.0,3.0,5.0,8.0,3.0,,3.0,1.0,3.0,1.0,1.0,2.0,,1.0,4.0,2.0,,3.0,2.0,1.0,2.0,1.0,3.0,3.0,,1.0,2.0,1.0,1.0,1.0,,,2.0,1.0,2.0,2.0,,,1.0,3.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,3.0,,,1.0,,,,,,,,,,,,1.0,1.0,2.0,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,1.0
38,2128664,2021-05-23 16:00:00,"London Stadium, London",10000.0,Home,West Ham United,Southampton,3,0,W,2,0,0,0,,1.0,35.0,55.0,1.0,25.0,12.0,2.0,1.0,11.0,3.0,152.0,17.0,3.0,7.0,10.0,,7.0,57.0,150.0,46.0,14.0,,11.0,3.0,,2.0,,2.0,2.0,15.0,,6.0,12.0,2.0,1.0,31.0,131.0,,0.0,108.0,5.0,,94.0,43.0,6.0,42.0,1.0,13.0,22.0,3.0,3.0,2.0,150.0,11.0,49.0,,483.0,5.0,7.0,19.0,,,10.0,189.0,13.0,2.0,5.0,0.0,3.0,4.0,22.0,275.0,60.0,81012,6.0,79.0,9.0,,2.0,101.0,5.0,1.0,22.0,12.0,48.0,5.0,7.0,8.0,6.0,10.0,2.0,51.0,207.0,9.0,9.0,3.0,16.0,,58.0,,,1.0,0.0,3.0,,,1.0,0.0,3.0,2.0,36.9,16.0,2.0,6.0,2.0,7.0,1.0,24.0,2.0,300.0,10.0,11.0,19.0,6.0,16.0,,4.0,214.0,11.0,18.0,70.0,25.0,2.0,5.0,12.0,,11.0,3.0,19.0,2.0,10.0,2.0,2.0,,5.0,,3.0,2.0,,2.0,1.0,,2.0,,,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,,1.0,,,,,1.0,3.0,3.0,2.0,,,1.0,,5.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,2.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
