gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attPostHigh,goalsConceded,accurateFlickOn,attCmissHighRight,totalRedCard,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,bigChanceScored,attGoalLowRight,goals,attCmissRight,attSvLowCentre,attOboxTarget,attSvHighRight,attSvLowLeft,attHdTarget,accurateThroughBall,accurateFreekickCross,attSetpiece,penaltyConceded,attRfGoal,goalsOpenplay,attGoalHighLeft,attSvLowRight,savedIbox,attIboxGoal,accurateCrossNocorner,shieldBallOop,penaltyFaced,penGoalsConceded,forwardGoals,handBall,attFreekickTotal,freekickTotal,attMissHighLeft,totalPullBack,attFreekickMiss,attLfGoal,attGoalLowCentre,goalAssistOpenplay,attGoalHighRight,cleanSheet,attOboxGoal,midfielderGoals,goalAssist,sixYardBlock,attLgCentre,attOboxPost,attGoalLowLeft,goalAssistSetplay,attGoalHighCentre,attCmissHigh,goalAssistIntentional,attHdGoal,attSvHighLeft,attOneOnOne,secondYellow,ptsDroppedWinningPos,foulThrowIn,attPostRight,accuratePullBack,attLgLeft,errorLeadToGoal,goalAssistDeadball,ptsGainedLosingPos,attObxdLeft,attObpGoal,attFreekickTarget,penaltySave,attPenTarget,penaltyWon,shotFastbreak,totalFastbreak,defenderGoals,attCmissHighLeft,attFastbreak,attPenGoal,attCmissLeft,goalFastbreak,attObxLeft,clearanceOffLine,ownGoals,attFreekickGoal,attIboxOwnGoal
27,919162,2018-02-10 15:00:00,"London Stadium, London",56197,Home,West Ham United,Watford,2,0,W,1,0,0,0,,59.0,3.0,,22.0,48.0,3.0,2.0,5.0,4.0,1.0,123.0,2.0,21.0,2.0,7.0,4.0,41.0,161.0,80.0,8.0,2.0,32.0,2.0,,,2.0,2.0,21.0,,14.0,48.0,7.0,3.0,26.0,91.0,,0.0,86.0,11.0,2.0,1.0,2.0,40.0,46.0,6.0,32.0,1.0,,14.0,17.0,3.0,6.0,1.0,161.0,4.0,1.0,5.0,50.0,,482.0,4.0,8.0,25.0,,11.0,141.0,26.0,8.0,33.0,3.0,1.0,4.0,1.0,24.0,222.0,57.0,,8380,2.0,61.0,2.0,7.0,82.0,5.0,17.0,10.0,71.0,3.0,3.0,2.0,15.0,6.0,2.0,,65.0,150.0,7.0,12.0,1.0,29.0,77.0,1.0,0.0,,7.0,,,1.0,,0.0,2.0,36.2,13.0,1.0,6.0,1.0,,2.0,2.0,27.0,8.0,2.0,246.0,11.0,12.0,7.0,2.0,25.0,1.0,1.0,185.0,4.0,3.0,31.0,41.0,16.0,6.0,33.0,21.0,,5.0,3.0,26.0,6.0,9.0,8.0,1.0,2.0,1.0,2.0,,2.0,,,,,1.0,,1.0,,,1.0,,,1.0,2.0,1.0,,,,2.0,,,,,,,1.0,,2.0,,1.0,,,2.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
28,919169,2018-02-24 15:00:00,"Anfield, Liverpool",53256,Away,West Ham United,Liverpool,1,4,L,0,1,0,0,,69.0,3.0,1.0,25.0,34.0,1.0,,6.0,8.0,3.0,153.0,,9.0,2.0,4.0,4.0,74.0,158.0,52.0,7.0,,19.0,2.0,4.0,,1.0,1.0,4.0,,13.0,34.0,2.0,7.0,34.0,127.0,,0.0,89.0,7.0,3.0,1.0,,65.0,49.0,3.0,52.0,1.0,,2.0,12.0,1.0,1.0,,158.0,,,14.0,58.0,,528.0,2.0,10.0,13.0,1.0,9.0,217.0,27.0,4.0,18.0,2.0,2.0,2.0,1.0,21.0,301.0,45.0,,86934,,108.0,,,133.0,3.0,12.0,13.0,63.0,2.0,2.0,3.0,17.0,7.0,6.0,1.0,69.0,235.0,7.0,11.0,1.0,25.0,71.0,,0.0,3.0,8.0,,4.0,4.0,,0.0,1.0,31.7,18.0,1.0,3.0,2.0,2.0,3.0,1.0,27.0,2.0,,337.0,9.0,23.0,16.0,2.0,8.0,,2.0,208.0,6.0,5.0,17.0,54.0,22.0,2.0,18.0,19.0,4.0,5.0,3.0,13.0,2.0,5.0,2.0,,,,1.0,,,1.0,,1.0,,2.0,,2.0,,1.0,1.0,,,5.0,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,,,1.0,,,,,
29,919180,2018-03-03 15:00:00,"Liberty Stadium, Swansea",20829,Away,West Ham United,Swansea City,1,4,L,0,2,0,0,1.0,72.0,1.0,,34.0,20.0,4.0,2.0,3.0,3.0,1.0,203.0,,5.0,,3.0,2.0,119.0,155.0,51.0,7.0,4.0,28.0,1.0,,,2.0,1.0,16.0,,11.0,20.0,5.0,15.0,64.0,168.0,,0.0,118.0,14.0,1.0,,,51.0,51.0,3.0,84.0,,,11.0,18.0,4.0,3.0,,155.0,,,6.0,116.0,,697.0,2.0,8.0,14.0,,17.0,406.0,32.0,7.0,9.0,2.0,3.0,1.0,,11.0,502.0,65.0,,86934,3.0,252.0,,8.0,275.0,6.0,18.0,5.0,69.0,2.0,5.0,6.0,12.0,3.0,1.0,,81.0,420.0,9.0,10.0,,30.0,93.0,,0.0,,4.0,,4.0,3.0,,0.0,1.0,54.7,9.0,1.0,2.0,,,6.0,4.0,50.0,5.0,,522.0,17.0,13.0,33.0,1.0,25.0,,1.0,263.0,4.0,14.0,17.0,66.0,31.0,1.0,9.0,20.0,3.0,5.0,2.0,10.0,1.0,8.0,5.0,,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,,3.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,
30,919192,2018-03-10 15:00:00,"London Stadium, London",56904,Home,West Ham United,Burnley,0,3,L,0,0,0,0,,51.0,1.0,2.0,27.0,16.0,5.0,1.0,8.0,1.0,3.0,153.0,8.0,17.0,2.0,11.0,4.0,75.0,130.0,59.0,13.0,1.0,23.0,3.0,1.0,,,1.0,30.0,,10.0,16.0,5.0,11.0,42.0,213.0,2.0,0.0,159.0,13.0,,2.0,1.0,107.0,41.0,6.0,66.0,2.0,,25.0,29.0,5.0,9.0,3.0,130.0,1.0,,4.0,91.0,,572.0,10.0,8.0,24.0,,12.0,290.0,22.0,6.0,7.0,,2.0,1.0,5.0,25.0,367.0,77.0,,86934,4.0,98.0,1.0,14.0,117.0,4.0,29.0,4.0,45.0,3.0,1.0,2.0,6.0,3.0,3.0,3.0,57.0,303.0,7.0,2.0,1.0,19.0,61.0,1.0,0.0,3.0,1.0,,3.0,4.0,,0.0,2.0,51.7,20.0,1.0,2.0,2.0,,2.0,3.0,35.0,5.0,2.0,385.0,12.0,7.0,20.0,6.0,42.0,2.0,3.0,298.0,10.0,8.0,21.0,110.0,22.0,1.0,7.0,14.0,3.0,11.0,1.0,21.0,1.0,12.0,5.0,,,,,,1.0,1.0,,1.0,1.0,2.0,,,,,,,2.0,,,6.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
31,919202,2018-05-10 19:45:00,"London Stadium, London",56902,Home,West Ham United,Manchester United,0,0,D,0,0,0,0,,63.0,4.0,1.0,29.0,17.0,4.0,3.0,5.0,6.0,1.0,164.0,1.0,14.0,3.0,7.0,2.0,108.0,124.0,49.0,9.0,,18.0,1.0,1.0,,,2.0,11.0,,10.0,17.0,1.0,12.0,34.0,204.0,,0.0,126.0,12.0,4.0,1.0,,83.0,68.0,3.0,83.0,2.0,2.0,10.0,16.0,4.0,4.0,3.0,124.0,,,7.0,121.0,,643.0,7.0,3.0,18.0,,15.0,381.0,32.0,2.0,7.0,,1.0,2.0,4.0,12.0,455.0,63.0,1.0,86934,,192.0,,5.0,205.0,4.0,16.0,7.0,63.0,1.0,1.0,4.0,12.0,9.0,5.0,2.0,64.0,395.0,11.0,17.0,,21.0,66.0,,0.0,2.0,6.0,,,2.0,,0.0,2.0,44.2,11.0,1.0,7.0,1.0,,4.0,1.0,40.0,1.0,,476.0,15.0,9.0,20.0,6.0,18.0,,3.0,282.0,4.0,11.0,9.0,83.0,17.0,1.0,7.0,15.0,,7.0,1.0,21.0,1.0,10.0,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,2.0,,1.0,,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
32,918912,2018-03-31 15:00:00,"London Stadium, London",56882,Home,West Ham United,Southampton,3,0,W,3,0,0,0,,61.0,,2.0,28.0,23.0,4.0,1.0,8.0,,1.0,168.0,3.0,9.0,2.0,9.0,5.0,74.0,169.0,64.0,12.0,1.0,16.0,1.0,1.0,1.0,,,17.0,,12.0,23.0,3.0,12.0,34.0,146.0,,0.0,116.0,9.0,,1.0,,92.0,47.0,6.0,63.0,,2.0,14.0,20.0,4.0,6.0,1.0,169.0,2.0,,6.0,69.0,,583.0,5.0,11.0,16.0,1.0,16.0,244.0,28.0,6.0,16.0,,0.0,4.0,3.0,38.0,348.0,62.0,1.0,60706,5.0,118.0,2.0,7.0,146.0,5.0,20.0,5.0,54.0,1.0,1.0,3.0,9.0,3.0,2.0,1.0,71.0,261.0,16.0,12.0,2.0,26.0,86.0,2.0,0.0,3.0,9.0,1.0,,4.0,,0.0,1.0,48.1,26.0,,4.0,,1.0,3.0,3.0,36.0,5.0,,374.0,16.0,10.0,14.0,4.0,20.0,1.0,2.0,245.0,9.0,9.0,20.0,72.0,21.0,2.0,16.0,19.0,,10.0,3.0,16.0,2.0,5.0,5.0,,1.0,2.0,3.0,2.0,,1.0,,,1.0,,,1.0,,3.0,3.0,,1.0,,3.0,2.0,1.0,,,3.0,,,,,,,,,2.0,1.0,1.0,,,2.0,1.0,,1.0,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,,,1.0,,,,,
33,919216,2018-04-08 16:30:00,"Stamford Bridge, London",41324,Away,West Ham United,Chelsea,1,1,D,0,1,0,0,,78.0,1.0,2.0,27.0,19.0,2.0,,3.0,5.0,1.0,152.0,,7.0,2.0,5.0,2.0,87.0,146.0,38.0,5.0,1.0,27.0,,1.0,,,,15.0,,12.0,19.0,5.0,16.0,39.0,129.0,,0.0,104.0,11.0,3.0,2.0,,58.0,53.0,5.0,66.0,3.0,,10.0,26.0,2.0,5.0,,146.0,,1.0,15.0,104.0,,576.0,4.0,3.0,8.0,,15.0,298.0,40.0,4.0,9.0,,1.0,6.0,,14.0,384.0,64.0,,60706,2.0,179.0,,3.0,210.0,4.0,26.0,15.0,65.0,6.0,2.0,3.0,12.0,8.0,2.0,,73.0,308.0,7.0,14.0,,24.0,80.0,,0.0,1.0,10.0,,1.0,,,0.0,,40.5,13.0,,5.0,,,3.0,3.0,34.0,6.0,,409.0,15.0,10.0,18.0,,25.0,,,214.0,5.0,14.0,7.0,57.0,25.0,1.0,9.0,17.0,1.0,5.0,3.0,11.0,1.0,9.0,6.0,,,1.0,1.0,,,1.0,,,,2.0,,,,1.0,1.0,,1.0,4.0,1.0,,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
34,919232,2018-04-16 20:00:00,"London Stadium, London",56795,Home,West Ham United,Stoke City,1,1,D,0,0,0,0,,68.0,3.0,1.0,34.0,23.0,13.0,7.0,4.0,5.0,2.0,185.0,2.0,16.0,8.0,9.0,6.0,96.0,172.0,72.0,18.0,8.0,34.0,1.0,1.0,,,1.0,31.0,,7.0,23.0,6.0,11.0,40.0,227.0,1.0,0.0,189.0,15.0,1.0,3.0,,72.0,78.0,8.0,79.0,1.0,1.0,25.0,14.0,14.0,8.0,2.0,172.0,,,7.0,106.0,,692.0,8.0,10.0,36.0,,6.0,353.0,26.0,11.0,12.0,,2.0,4.0,1.0,31.0,437.0,74.0,,86934,2.0,148.0,,14.0,167.0,10.0,14.0,2.0,70.0,,5.0,2.0,19.0,4.0,2.0,,68.0,373.0,21.0,9.0,,29.0,76.0,,0.0,4.0,1.0,,1.0,3.0,,0.0,,62.5,22.0,,3.0,,,2.0,9.0,47.0,10.0,,466.0,6.0,9.0,23.0,3.0,50.0,,1.0,330.0,11.0,8.0,27.0,137.0,28.0,1.0,12.0,9.0,1.0,8.0,3.0,20.0,1.0,3.0,10.0,3.0,,,1.0,,1.0,4.0,,2.0,,,,,,,1.0,,2.0,3.0,1.0,2.0,,,,,1.0,6.0,6.0,,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,3.0,,,,,,,,,,,,,1.0,,,
35,919234,2018-04-22 13:30:00,"Emirates Stadium, London",59422,Away,West Ham United,Arsenal,1,4,L,0,0,0,0,1.0,56.0,3.0,1.0,21.0,22.0,4.0,2.0,7.0,4.0,1.0,130.0,3.0,7.0,,9.0,4.0,55.0,133.0,39.0,11.0,2.0,10.0,2.0,1.0,1.0,1.0,,16.0,1.0,4.0,22.0,6.0,8.0,41.0,82.0,1.0,0.0,80.0,9.0,2.0,1.0,,28.0,37.0,5.0,47.0,1.0,,10.0,20.0,4.0,5.0,1.0,133.0,,,12.0,65.0,1.0,453.0,6.0,9.0,16.0,1.0,13.0,189.0,36.0,6.0,14.0,1.0,2.0,4.0,4.0,19.0,267.0,51.0,1.0,86934,3.0,122.0,,4.0,150.0,4.0,20.0,11.0,33.0,1.0,1.0,3.0,12.0,8.0,2.0,2.0,69.0,201.0,11.0,11.0,2.0,22.0,68.0,1.0,0.0,,8.0,1.0,4.0,2.0,,0.0,3.0,32.3,12.0,1.0,1.0,2.0,,3.0,3.0,23.0,6.0,,297.0,13.0,3.0,15.0,4.0,24.0,2.0,2.0,163.0,6.0,8.0,12.0,38.0,12.0,7.0,14.0,10.0,3.0,7.0,3.0,8.0,7.0,8.0,6.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,,2.0,1.0,1.0,1.0,2.0,,,1.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
36,919252,2018-04-29 14:15:00,"London Stadium, London",56904,Home,West Ham United,Manchester City,1,4,L,1,2,0,0,1.0,56.0,2.0,1.0,16.0,20.0,1.0,2.0,3.0,4.0,,123.0,3.0,5.0,4.0,2.0,1.0,52.0,122.0,43.0,4.0,,12.0,,,,,,10.0,,15.0,20.0,,8.0,30.0,79.0,,0.0,73.0,5.0,3.0,1.0,,35.0,37.0,1.0,40.0,3.0,1.0,10.0,16.0,1.0,2.0,,122.0,,2.0,11.0,65.0,,454.0,1.0,5.0,10.0,,17.0,183.0,31.0,1.0,9.0,1.0,0.0,5.0,1.0,23.0,251.0,41.0,1.0,86934,3.0,125.0,,7.0,149.0,2.0,16.0,7.0,44.0,3.0,4.0,1.0,12.0,9.0,3.0,,51.0,201.0,10.0,13.0,1.0,16.0,55.0,,0.0,1.0,7.0,,4.0,1.0,,0.0,,24.6,19.0,,,,,1.0,1.0,20.0,,,280.0,17.0,7.0,13.0,2.0,15.0,,2.0,141.0,1.0,6.0,5.0,39.0,17.0,,9.0,23.0,3.0,1.0,3.0,13.0,,4.0,,,,1.0,1.0,,,,,,,,,2.0,,,,,,3.0,,3.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
37,919258,2018-05-05 15:00:00,"King Power Stadium, Leicester",32013,Away,West Ham United,Leicester City,2,0,W,1,0,0,0,,62.0,1.0,6.0,21.0,36.0,2.0,5.0,11.0,3.0,,154.0,2.0,12.0,2.0,10.0,3.0,63.0,153.0,61.0,13.0,1.0,17.0,1.0,1.0,1.0,,1.0,15.0,1.0,11.0,36.0,3.0,11.0,32.0,154.0,,0.0,131.0,9.0,2.0,2.0,3.0,62.0,59.0,7.0,55.0,,1.0,12.0,10.0,2.0,2.0,,153.0,2.0,1.0,6.0,91.0,,591.0,8.0,5.0,28.0,1.0,13.0,262.0,20.0,4.0,19.0,,2.0,7.0,3.0,35.0,344.0,64.0,,86934,7.0,117.0,1.0,8.0,136.0,5.0,10.0,5.0,56.0,2.0,2.0,5.0,9.0,7.0,1.0,,60.0,269.0,7.0,8.0,1.0,20.0,69.0,,0.0,,8.0,1.0,,2.0,,0.0,1.0,46.0,24.0,1.0,3.0,2.0,,6.0,7.0,32.0,3.0,3.0,363.0,13.0,15.0,16.0,3.0,28.0,,2.0,242.0,7.0,10.0,22.0,81.0,27.0,5.0,19.0,20.0,,9.0,3.0,20.0,5.0,2.0,3.0,1.0,1.0,,2.0,,1.0,,,,,1.0,,2.0,,2.0,1.0,,,1.0,1.0,2.0,1.0,,,1.0,1.0,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,
38,919272,2018-05-13 15:00:00,"London Stadium, London",56926,Home,West Ham United,Everton,3,1,W,1,0,0,0,,57.0,2.0,2.0,31.0,20.0,9.0,7.0,6.0,6.0,1.0,168.0,2.0,17.0,6.0,11.0,4.0,109.0,129.0,63.0,15.0,4.0,14.0,1.0,,,1.0,1.0,13.0,,7.0,20.0,5.0,11.0,29.0,253.0,3.0,0.0,174.0,10.0,3.0,,,105.0,77.0,7.0,76.0,2.0,1.0,8.0,11.0,9.0,3.0,3.0,129.0,1.0,2.0,9.0,126.0,,652.0,7.0,8.0,28.0,,7.0,376.0,25.0,3.0,17.0,1.0,0.0,4.0,4.0,15.0,456.0,62.0,1.0,86934,4.0,145.0,1.0,5.0,163.0,6.0,11.0,6.0,45.0,5.0,4.0,5.0,14.0,5.0,5.0,,58.0,396.0,13.0,11.0,1.0,18.0,62.0,,0.0,3.0,6.0,,1.0,1.0,1.0,0.0,1.0,56.6,11.0,1.0,2.0,2.0,,5.0,6.0,36.0,6.0,,479.0,7.0,4.0,15.0,5.0,25.0,1.0,2.0,329.0,7.0,10.0,22.0,129.0,19.0,,17.0,11.0,1.0,12.0,3.0,23.0,,4.0,6.0,,,1.0,3.0,1.0,1.0,,,,,,,,,2.0,3.0,,,4.0,1.0,1.0,1.0,,,3.0,,1.0,1.0,,2.0,1.0,1.0,,3.0,1.0,,2.0,,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
