gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,bigChanceScored,attGoalLowLeft,attIboxBlocked,goals,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attOneOnOne,attMissHighRight,totalFastbreak,attMissRight,goalAssist,totalKeeperSweeper,accurateThroughBall,attRfGoal,totalPullBack,totalThroughBall,goalsOpenplay,attCorner,attFastbreak,punches,attIboxGoal,goalAssistIntentional,attBxLeft,blockedScoringAtt,accurateCornersIntobox,forwardGoals,ptsDroppedWinningPos,attGoalLowCentre,accuratePullBack,attOboxBlocked,postScoringAtt,attIboxPost,attGoalHighRight,attOboxTarget,penaltyWon,attSvHighLeft,midfielderGoals,goodHighClaim,attPostLeft,attHdPost,hitWoodwork,attMissHighLeft,attPenGoal,totalHighClaim,handBall,attLfGoal,attBxRight,attMissLeft,attSvHighRight,cleanSheet,attSvLowRight,attCmissLeft,attSvHighCentre,secondYellow,contentiousDecision,sixYardBlock,attOboxGoal,defenderGoals,attFreekickGoal,shieldBallOop,attCmissRight,ptsGainedLosingPos,clearanceOffLine,attFreekickTarget,goalFastbreak,attGoalLowRight,errorLeadToGoal,ownGoals,attIboxOwnGoal,goalAssistSetplay,goalAssistDeadball,attObpGoal,penaltySave,attHdGoal,attCmissHighLeft,attCmissHighRight,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,attGoalHighLeft,attPostHigh,expectedGoals,attPostRight,attObxRight
27,1059967,2020-02-24 20:00:00,"Anfield, Liverpool",53313.0,Away,West Ham United,Liverpool,2,3,L,1,1,0,0,1.0,68.0,1.0,21.0,43.0,1.0,3.0,6.0,4.0,1.0,138.0,7.0,20.0,1.0,5.0,4.0,54.0,153.0,68.0,,7.0,23.0,2.0,2.0,25.0,11.0,43.0,8.0,5.0,30.0,94.0,0.0,82.0,10.0,2.0,,1.0,49.0,30.0,4.0,26.0,5.0,17.0,11.0,1.0,,4.0,,153.0,2.0,18.0,51.0,495.0,2.0,8.0,19.0,,14.0,163.0,34.0,3.0,24.0,3.0,8.0,,14.0,239.0,41.0,,,86934,3.0,90.0,2.0,12.0,1.0,,121.0,7.0,11.0,17.0,71.0,,2.0,3.0,11.0,7.0,9.0,,67.0,177.0,4.0,16.0,,25.0,73.0,0.0,1.0,16.0,3.0,3.0,2.0,0.0,4.0,1.0,30.7,8.0,,,3.0,29.0,8.0,,269.0,,14.0,,9.0,15.0,2.0,32.0,2.0,173.0,3.0,5.0,25.0,55.0,26.0,1.0,24.0,19.0,3.0,3.0,3.0,34.0,1.0,4.0,8.0,,,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,,3.0,,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,
28,1059981,2020-02-29 15:00:00,"London Stadium, London",59962.0,Home,West Ham United,Southampton,3,1,W,2,1,0,0,1.0,64.0,1.0,18.0,35.0,4.0,4.0,10.0,1.0,2.0,157.0,5.0,9.0,2.0,12.0,7.0,43.0,165.0,66.0,,14.0,28.0,3.0,2.0,23.0,10.0,35.0,3.0,1.0,33.0,87.0,0.0,88.0,8.0,1.0,1.0,4.0,49.0,33.0,9.0,27.0,1.0,20.0,23.0,4.0,,3.0,2.0,165.0,5.0,7.0,30.0,481.0,8.0,12.0,27.0,1.0,10.0,139.0,35.0,3.0,17.0,1.0,5.0,3.0,29.0,239.0,53.0,,,86934,6.0,70.0,2.0,13.0,,,106.0,1.0,23.0,6.0,64.0,,,2.0,12.0,3.0,2.0,,59.0,152.0,7.0,13.0,1.0,27.0,63.0,0.0,,9.0,,1.0,3.0,0.0,3.0,3.0,33.7,16.0,2.0,2.0,2.0,23.0,4.0,,257.0,,10.0,,6.0,18.0,5.0,33.0,3.0,174.0,7.0,,34.0,56.0,23.0,1.0,17.0,16.0,1.0,11.0,2.0,20.0,1.0,16.0,4.0,,3.0,,1.0,3.0,3.0,,3.0,2.0,,3.0,2.0,3.0,,2.0,2.0,,2.0,3.0,2.0,3.0,,3.0,3.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,1.0,,,1.0,2.0,,,,1.0,,2.0,1.0,1.0,1.0,2.0,,,1.0,,,,1.0,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,
29,1059982,2020-03-07 15:00:00,"Emirates Stadium, London",60335.0,Away,West Ham United,Arsenal,0,1,L,0,0,0,0,2.0,56.0,,24.0,18.0,7.0,5.0,7.0,1.0,3.0,135.0,7.0,4.0,4.0,10.0,6.0,41.0,137.0,49.0,1.0,14.0,22.0,3.0,3.0,25.0,9.0,18.0,7.0,1.0,31.0,107.0,0.0,92.0,9.0,,,2.0,48.0,30.0,6.0,31.0,2.0,18.0,9.0,7.0,1.0,8.0,4.0,137.0,3.0,6.0,57.0,448.0,8.0,14.0,26.0,1.0,15.0,167.0,26.0,4.0,10.0,2.0,4.0,3.0,20.0,239.0,50.0,,,86934,4.0,81.0,3.0,8.0,,,98.0,5.0,9.0,8.0,56.0,1.0,2.0,3.0,13.0,3.0,6.0,3.0,57.0,181.0,11.0,12.0,1.0,17.0,67.0,0.0,,6.0,1.0,1.0,7.0,0.0,6.0,1.0,31.1,13.0,,2.0,3.0,30.0,7.0,,264.0,,15.0,1.0,6.0,13.0,6.0,41.0,2.0,191.0,7.0,1.0,24.0,51.0,16.0,3.0,10.0,11.0,1.0,11.0,3.0,12.0,3.0,4.0,7.0,,,,2.0,,2.0,,,,,2.0,1.0,,,,,,,,2.0,2.0,,,,,2.0,1.0,,,,,,,,,3.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,2.0,,,2.0,,1.0,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
30,1060001,2020-06-20 17:30:00,"London Stadium, London",,Home,West Ham United,Wolverhampton Wanderers,0,2,L,0,0,0,0,1.0,52.0,1.0,20.0,16.0,4.0,1.0,3.0,4.0,,134.0,2.0,9.0,1.0,6.0,2.0,96.0,141.0,50.0,,7.0,24.0,1.0,1.0,22.0,9.0,16.0,5.0,6.0,33.0,135.0,0.0,99.0,8.0,1.0,1.0,,52.0,66.0,4.0,55.0,1.0,17.0,20.0,4.0,,7.0,1.0,141.0,1.0,6.0,72.0,536.0,5.0,5.0,11.0,1.0,7.0,262.0,19.0,2.0,11.0,1.0,3.0,2.0,22.0,342.0,50.0,,,86934,,139.0,1.0,10.0,,,160.0,2.0,20.0,3.0,60.0,1.0,,8.0,13.0,4.0,1.0,1.0,58.0,272.0,7.0,13.0,1.0,23.0,53.0,0.0,,7.0,3.0,2.0,2.0,0.0,1.0,1.0,42.2,17.0,,3.0,8.0,24.0,5.0,,357.0,,7.0,,13.0,14.0,2.0,28.0,1.0,219.0,5.0,4.0,19.0,63.0,20.0,,11.0,15.0,2.0,6.0,3.0,14.0,,7.0,5.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,1.0,3.0,1.0,,,,,2.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1060010,2020-06-23 20:15:00,"Tottenham Hotspur Stadium, London",,Away,West Ham United,Tottenham Hotspur,0,2,L,0,0,0,0,,56.0,2.0,39.0,24.0,4.0,2.0,6.0,3.0,1.0,160.0,5.0,9.0,3.0,10.0,2.0,73.0,131.0,63.0,,10.0,22.0,1.0,,16.0,11.0,24.0,2.0,7.0,38.0,163.0,0.0,126.0,7.0,1.0,1.0,3.0,46.0,75.0,3.0,53.0,,14.0,15.0,4.0,,4.0,2.0,131.0,,9.0,75.0,533.0,7.0,8.0,13.0,1.0,12.0,244.0,27.0,4.0,8.0,2.0,,7.0,10.0,326.0,71.0,1.0,1.0,86934,4.0,108.0,,7.0,2.0,,135.0,5.0,15.0,15.0,51.0,,2.0,1.0,11.0,7.0,7.0,1.0,73.0,266.0,12.0,13.0,3.0,16.0,71.0,0.0,1.0,9.0,1.0,2.0,1.0,0.0,4.0,3.0,35.5,8.0,2.0,3.0,1.0,39.0,4.0,,361.0,,12.0,,4.0,20.0,7.0,20.0,4.0,242.0,5.0,7.0,23.0,80.0,21.0,2.0,8.0,21.0,1.0,6.0,2.0,14.0,2.0,6.0,4.0,1.0,,,,,1.0,,,,,1.0,2.0,,,1.0,,,1.0,,2.0,1.0,2.0,,,,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,,,,,2.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
32,1060021,2020-07-01 20:15:00,"London Stadium, London",,Home,West Ham United,Chelsea,3,2,W,1,1,0,0,,66.0,1.0,31.0,29.0,2.0,2.0,8.0,4.0,1.0,133.0,3.0,4.0,,7.0,4.0,56.0,123.0,48.0,,10.0,15.0,1.0,1.0,6.0,4.0,29.0,2.0,5.0,27.0,125.0,0.0,94.0,10.0,2.0,,,43.0,49.0,5.0,41.0,2.0,4.0,12.0,2.0,,2.0,,123.0,2.0,11.0,43.0,442.0,4.0,7.0,20.0,,15.0,186.0,39.0,4.0,13.0,2.0,2.0,2.0,13.0,245.0,56.0,,,86934,3.0,78.0,1.0,2.0,,1.0,94.0,7.0,12.0,8.0,55.0,,2.0,1.0,16.0,6.0,5.0,,68.0,200.0,9.0,11.0,,22.0,65.0,0.0,4.0,3.0,3.0,2.0,2.0,0.0,2.0,1.0,28.8,7.0,,4.0,1.0,31.0,2.0,1.0,273.0,1.0,15.0,,6.0,10.0,2.0,18.0,2.0,185.0,7.0,5.0,20.0,56.0,16.0,5.0,13.0,16.0,1.0,8.0,3.0,17.0,5.0,8.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,,2.0,1.0,1.0,3.0,,3.0,,,1.0,,,2.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,,,,2.0,,,,,,,1.0,,,,,,,,,1.0,2.0,1.0,,,,1.0,,,1.0,1.0,,,,,,3.0,,,1.0,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,
33,1060027,2020-07-05 14:15:00,"St. James' Park, Newcastle",,Away,West Ham United,Newcastle United,2,2,D,1,1,0,0,1.0,51.0,2.0,26.0,14.0,4.0,3.0,13.0,2.0,2.0,159.0,7.0,3.0,1.0,14.0,7.0,85.0,142.0,59.0,,17.0,20.0,4.0,3.0,20.0,9.0,14.0,3.0,6.0,40.0,182.0,0.0,147.0,11.0,1.0,,1.0,56.0,53.0,8.0,52.0,1.0,17.0,15.0,4.0,,7.0,1.0,142.0,3.0,5.0,83.0,563.0,10.0,9.0,24.0,2.0,9.0,281.0,17.0,1.0,7.0,0.0,2.0,6.0,24.0,356.0,68.0,,,86934,9.0,116.0,2.0,9.0,,,136.0,8.0,9.0,7.0,65.0,1.0,1.0,5.0,10.0,6.0,2.0,1.0,67.0,291.0,9.0,12.0,3.0,19.0,65.0,0.0,1.0,6.0,,2.0,4.0,0.0,5.0,7.0,42.6,17.0,3.0,8.0,5.0,34.0,4.0,,379.0,,9.0,,8.0,19.0,6.0,29.0,4.0,263.0,7.0,5.0,29.0,95.0,17.0,4.0,7.0,18.0,2.0,12.0,2.0,17.0,4.0,9.0,4.0,,1.0,1.0,2.0,2.0,,,1.0,,,,4.0,1.0,,,1.0,,1.0,1.0,4.0,,1.0,2.0,,1.0,4.0,2.0,1.0,2.0,,,2.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,2.27107,2.09365,1.14422,1.0,1.0,2.07093,,
34,1060041,2020-07-08 18:00:00,"London Stadium, London",,Home,West Ham United,Burnley,0,1,L,0,1,0,0,2.0,51.0,,29.0,16.0,6.0,9.0,15.0,3.0,3.0,165.0,8.0,13.0,2.0,16.0,5.0,107.0,171.0,72.0,,21.0,32.0,5.0,3.0,41.0,16.0,16.0,8.0,10.0,40.0,189.0,0.0,167.0,7.0,2.0,,3.0,78.0,61.0,11.0,58.0,1.0,33.0,20.0,6.0,,12.0,4.0,171.0,2.0,8.0,97.0,637.0,15.0,10.0,47.0,,7.0,306.0,21.0,7.0,11.0,1.0,1.0,5.0,28.0,409.0,76.0,,,86934,9.0,139.0,3.0,18.0,2.0,,165.0,4.0,20.0,5.0,64.0,1.0,,4.0,10.0,,4.0,4.0,67.0,320.0,7.0,8.0,1.0,27.0,65.0,0.0,1.0,3.0,3.0,1.0,2.0,0.0,7.0,3.0,53.2,25.0,3.0,6.0,4.0,28.0,10.0,,427.0,,7.0,,5.0,17.0,7.0,51.0,2.0,303.0,8.0,8.0,34.0,113.0,18.0,2.0,11.0,19.0,1.0,13.0,2.0,25.0,2.0,4.0,10.0,,,,7.0,,,,,,,,1.0,,,,,,1.0,,4.0,,1.0,,,2.0,9.0,1.0,,,,,2.0,1.0,1.0,,,,,,,,,1.0,,,,,,4.0,1.0,,,2.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
35,1060047,2020-07-11 12:30:00,"Carrow Road, Norwich",,Away,West Ham United,Norwich City,4,0,W,2,0,0,0,,60.0,1.0,35.0,8.0,4.0,4.0,15.0,2.0,3.0,175.0,9.0,13.0,5.0,17.0,7.0,120.0,119.0,49.0,,19.0,11.0,2.0,,20.0,8.0,8.0,6.0,1.0,38.0,222.0,0.0,144.0,8.0,2.0,1.0,4.0,99.0,54.0,7.0,56.0,,14.0,15.0,4.0,,2.0,3.0,119.0,5.0,5.0,127.0,633.0,11.0,6.0,32.0,,9.0,383.0,21.0,5.0,2.0,0.0,3.0,10.0,14.0,461.0,62.0,3.0,,86934,6.0,185.0,3.0,8.0,4.0,,204.0,4.0,15.0,10.0,34.0,,,5.0,8.0,6.0,8.0,3.0,65.0,398.0,8.0,2.0,3.0,21.0,72.0,0.0,,1.0,1.0,,4.0,0.0,7.0,4.0,47.5,10.0,2.0,6.0,5.0,43.0,6.0,,478.0,,9.0,,6.0,22.0,11.0,37.0,8.0,294.0,11.0,1.0,16.0,108.0,26.0,3.0,2.0,12.0,,13.0,5.0,23.0,3.0,6.0,6.0,,3.0,,1.0,4.0,2.0,,1.0,,2.0,2.0,4.0,3.0,,1.0,2.0,,1.0,2.0,2.0,2.0,,4.0,3.0,1.0,1.0,2.0,4.0,,2.0,,,,,,1.0,,,,,,,,,,,2.0,,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,2.0,,,,1.0,2.0,,,,2.0,1.0,,,2.0,,1.0,,,,,,,,
36,1060061,2020-07-17 20:00:00,"London Stadium, London",,Home,West Ham United,Watford,3,1,W,3,0,0,0,,60.0,,25.0,28.0,5.0,3.0,5.0,2.0,1.0,156.0,4.0,11.0,1.0,7.0,4.0,53.0,172.0,75.0,1.0,10.0,22.0,,,24.0,10.0,28.0,8.0,1.0,18.0,128.0,0.0,115.0,11.0,,1.0,,71.0,58.0,5.0,35.0,,16.0,18.0,5.0,1.0,3.0,,172.0,1.0,12.0,53.0,497.0,5.0,9.0,9.0,,12.0,172.0,31.0,7.0,13.0,0.0,5.0,2.0,23.0,265.0,50.0,,,86934,3.0,66.0,,13.0,,,96.0,5.0,18.0,13.0,56.0,,1.0,1.0,15.0,2.0,6.0,1.0,68.0,190.0,11.0,7.0,,31.0,74.0,0.0,1.0,3.0,2.0,1.0,3.0,0.0,4.0,3.0,40.6,12.0,2.0,1.0,2.0,32.0,9.0,,297.0,,12.0,,11.0,6.0,2.0,27.0,2.0,225.0,4.0,1.0,40.0,69.0,20.0,3.0,13.0,13.0,1.0,7.0,3.0,16.0,3.0,6.0,9.0,,2.0,,1.0,3.0,,,1.0,,,,1.0,2.0,,,1.0,,,2.0,2.0,,1.0,2.0,1.0,1.0,4.0,,1.0,,1.0,,3.0,,,,1.0,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,
37,1060066,2020-07-22 18:00:00,"Old Trafford, Manchester",,Away,West Ham United,Manchester United,1,1,D,1,0,0,0,,60.0,2.0,33.0,18.0,5.0,2.0,7.0,3.0,1.0,153.0,4.0,10.0,6.0,9.0,3.0,109.0,130.0,51.0,,12.0,11.0,2.0,1.0,20.0,6.0,18.0,1.0,6.0,32.0,180.0,0.0,120.0,9.0,3.0,,4.0,84.0,80.0,4.0,74.0,3.0,19.0,24.0,5.0,,4.0,3.0,130.0,,6.0,105.0,613.0,7.0,4.0,15.0,1.0,14.0,332.0,33.0,5.0,7.0,1.0,2.0,5.0,19.0,420.0,48.0,2.0,,86934,3.0,173.0,,11.0,2.0,,203.0,4.0,24.0,9.0,36.0,,1.0,3.0,7.0,5.0,8.0,2.0,65.0,349.0,8.0,9.0,2.0,26.0,63.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0,3.0,42.8,15.0,2.0,7.0,3.0,38.0,3.0,,441.0,,14.0,,9.0,18.0,6.0,22.0,3.0,258.0,7.0,6.0,13.0,86.0,15.0,1.0,7.0,20.0,1.0,6.0,3.0,10.0,1.0,10.0,3.0,,1.0,,1.0,1.0,,,,,2.0,,1.0,,,,1.0,,,,3.0,,,1.0,,1.0,3.0,,1.0,2.0,,,2.0,,,,,1.0,,,,,,,,1.0,,,,2.0,1.0,,,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
38,1060081,2020-07-26 16:00:00,"London Stadium, London",,Home,West Ham United,Aston Villa,1,1,D,0,0,0,0,,53.0,1.0,25.0,26.0,6.0,3.0,3.0,3.0,,172.0,3.0,5.0,4.0,6.0,1.0,110.0,129.0,55.0,2.0,10.0,15.0,,,10.0,8.0,26.0,,7.0,27.0,228.0,0.0,134.0,16.0,1.0,,,73.0,80.0,2.0,84.0,,10.0,16.0,7.0,2.0,1.0,4.0,129.0,,9.0,114.0,655.0,4.0,4.0,11.0,,6.0,378.0,26.0,8.0,13.0,2.0,3.0,4.0,28.0,460.0,56.0,,,86934,3.0,166.0,1.0,9.0,1.0,,200.0,10.0,16.0,6.0,46.0,,,9.0,13.0,4.0,4.0,1.0,61.0,391.0,13.0,3.0,1.0,29.0,70.0,0.0,1.0,7.0,2.0,1.0,1.0,0.0,3.0,1.0,63.0,22.0,1.0,3.0,9.0,38.0,,,480.0,,6.0,1.0,7.0,11.0,6.0,21.0,2.0,290.0,5.0,7.0,22.0,103.0,13.0,,13.0,15.0,1.0,7.0,4.0,11.0,,6.0,,,,1.0,1.0,1.0,,,1.0,,3.0,,2.0,1.0,,,,,,1.0,,,,,,,3.0,,,,,,2.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,2.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0
