gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attObxRight,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,shotFastbreak,totalFastbreak,freekickCross,goodHighClaim,accurateFreekickCross,ownGoals,attFastbreak,punches,attCmissHighRight,attBxLeft,totalHighClaim,effectiveBlockedCross,attIboxOwnGoal,blockedCross,bigChanceScored,attGoalLowRight,goals,fouledFinalThird,attCmissRight,attFreekickTotal,attOboxBlocked,attOboxTarget,penaltyWon,attSvLowLeft,attMissRight,freekickTotal,contentiousDecision,attHdTarget,attRfGoal,attCmissHigh,attPenGoal,attCmissLeft,attIboxGoal,shieldBallOop,forwardGoals,savedObox,accuratePullBack,totalPullBack,attHdMiss,attSvHighCentre,attGoalLowCentre,goalAssistOpenplay,goalAssist,goalsOpenplay,attFreekickTarget,goalAssistIntentional,attLgCentre,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,cleanSheet,hitWoodwork,errorLeadToShot,goalsConcededObox,secondYellow,goalAssistSetplay,goalAssistDeadball,attObxLeft,attGoalHighRight,defenderGoals,attHdGoal,errorLeadToGoal,attGoalLowLeft,attLfGoal,attOboxGoal,midfielderGoals,ptsGainedLosingPos,attGoalHighLeft,postScoringAtt,attIboxPost,attPostRight,goalFastbreak,attOboxPost,ptsDroppedWinningPos,penaltySave,attSvHighRight,attHdPost,attPostHigh
27,2210539,2022-02-25 20:00:00,"St. Mary's Stadium, Southampton",31182,Away,Norwich City,Southampton,0,2,L,0,1,0,0,,,21.0,45.0,1.0,18.0,42.0,4.0,3.0,4.0,7.0,,138.0,7.0,5.0,3.0,5.0,1.0,82.0,135.0,46.0,8.0,19.0,1.0,2.0,1.0,,1.0,17.0,10.0,42.0,6.0,4.0,36.0,,93.0,,0.0,82.0,9.0,2.0,,33.0,49.0,3.0,55.0,2.0,11.0,17.0,4.0,4.0,1.0,135.0,,19.0,85.0,562.0,4.0,6.0,16.0,7.0,248.0,15.0,,3.0,24.0,1.0,2.0,6.0,2.0,20.0,331.0,36.0,,83428,2.0,185.0,,6.0,,1.0,214.0,6.0,17.0,12.0,47.0,1.0,1.0,6.0,19.0,8.0,11.0,1.0,42.0,273.0,11.0,10.0,1.0,13.0,1.0,55.0,1.0,0.0,,13.0,5.0,2.0,1.0,0.0,3.0,2.0,41.9,13.0,,2.0,6.0,4.0,,24.0,6.0,360.0,7.0,3.0,15.0,3.0,24.0,2.0,2.0,163.0,3.0,4.0,14.0,50.0,20.0,24.0,18.0,2.0,6.0,3.0,9.0,10.0,6.0,,,1.0,,1.0,,,,,,,2.0,,2.0,,,,,1.0,,3.0,,,,1.0,,,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
28,2210547,2022-03-05 15:00:00,"Carrow Road, Norwich",26887,Home,Norwich City,Brentford,1,3,L,0,1,0,0,1.0,1.0,25.0,49.0,2.0,27.0,10.0,6.0,3.0,9.0,3.0,4.0,152.0,13.0,4.0,3.0,10.0,7.0,121.0,154.0,46.0,15.0,21.0,4.0,1.0,,2.0,,21.0,9.0,10.0,5.0,1.0,40.0,,159.0,,0.0,123.0,13.0,1.0,,52.0,60.0,9.0,74.0,2.0,16.0,12.0,6.0,8.0,1.0,154.0,1.0,6.0,110.0,642.0,8.0,7.0,19.0,13.0,331.0,21.0,,5.0,4.0,,2.0,3.0,1.0,31.0,431.0,50.0,,83428,7.0,197.0,1.0,5.0,,,233.0,6.0,12.0,4.0,55.0,1.0,1.0,2.0,12.0,4.0,3.0,3.0,63.0,352.0,16.0,7.0,1.0,24.0,2.0,62.0,1.0,0.0,,5.0,2.0,3.0,1.0,0.0,3.0,1.0,59.6,27.0,,3.0,2.0,5.0,,29.0,5.0,457.0,13.0,10.0,13.0,3.0,35.0,1.0,2.0,245.0,11.0,1.0,14.0,77.0,22.0,4.0,13.0,3.0,13.0,3.0,8.0,4.0,5.0,,,3.0,,,,,,,1.0,,,,,,1.0,1.0,5.0,,,3.0,2.0,,1.0,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,,,2.0,,1.0,1.0,1.0,,1.0,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2210557,2022-03-13 14:00:00,"Elland Road, Leeds",36321,Away,Norwich City,Leeds United,1,2,L,0,1,0,0,,2.0,35.0,75.0,1.0,24.0,11.0,7.0,8.0,5.0,5.0,1.0,141.0,15.0,4.0,17.0,5.0,4.0,82.0,175.0,64.0,12.0,14.0,2.0,1.0,1.0,1.0,1.0,10.0,9.0,11.0,2.0,5.0,54.0,1.0,110.0,,0.0,98.0,8.0,2.0,,31.0,81.0,5.0,52.0,,8.0,26.0,7.0,2.0,3.0,175.0,2.0,10.0,107.0,613.0,4.0,,23.0,10.0,251.0,31.0,1.0,3.0,2.0,1.0,1.0,1.0,,27.0,350.0,45.0,3.0,83312,3.0,172.0,1.0,4.0,1.0,1.0,206.0,4.0,26.0,12.0,59.0,3.0,3.0,11.0,24.0,3.0,11.0,,52.0,278.0,18.0,9.0,,9.0,1.0,57.0,,0.0,3.0,6.0,3.0,2.0,,0.0,4.0,,47.5,20.0,,7.0,11.0,4.0,,31.0,2.0,382.0,10.0,10.0,23.0,4.0,24.0,,,186.0,4.0,4.0,17.0,52.0,26.0,2.0,12.0,2.0,9.0,3.0,35.0,9.0,2.0,,,2.0,,1.0,,,,,,1.0,3.0,,3.0,1.0,,1.0,3.0,,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,2.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,1.0
30,2210567,2022-03-10 19:30:00,"Carrow Road, Norwich",26722,Home,Norwich City,Chelsea,1,3,L,0,2,0,0,,,22.0,47.0,,20.0,12.0,6.0,2.0,2.0,4.0,1.0,126.0,8.0,3.0,5.0,4.0,3.0,93.0,102.0,38.0,8.0,11.0,1.0,,,,,11.0,9.0,12.0,2.0,3.0,30.0,,102.0,1.0,0.0,83.0,8.0,2.0,,40.0,49.0,2.0,58.0,,9.0,13.0,6.0,1.0,4.0,102.0,,12.0,76.0,510.0,3.0,,14.0,11.0,268.0,26.0,2.0,1.0,3.0,,0.0,3.0,2.0,15.0,328.0,37.0,,83428,2.0,193.0,,7.0,,1.0,210.0,5.0,13.0,6.0,44.0,,2.0,5.0,12.0,3.0,6.0,1.0,36.0,292.0,13.0,10.0,1.0,9.0,1.0,36.0,1.0,0.0,1.0,8.0,3.0,3.0,,0.0,3.0,1.0,33.7,12.0,,4.0,5.0,1.0,,22.0,3.0,353.0,11.0,11.0,19.0,4.0,17.0,,,154.0,5.0,3.0,4.0,56.0,12.0,3.0,16.0,3.0,5.0,3.0,9.0,7.0,3.0,,,1.0,,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
31,2210571,2022-04-02 15:00:00,"American Express Stadium, Falmer",31245,Away,Norwich City,Brighton and Hove Albion,0,0,D,0,0,0,0,2.0,,24.0,59.0,3.0,13.0,38.0,2.0,1.0,4.0,4.0,,135.0,14.0,1.0,3.0,3.0,,55.0,142.0,49.0,6.0,15.0,,1.0,,,,10.0,7.0,38.0,2.0,4.0,29.0,,75.0,,0.0,56.0,11.0,2.0,,40.0,35.0,1.0,42.0,,8.0,17.0,2.0,1.0,2.0,142.0,1.0,17.0,56.0,485.0,3.0,3.0,16.0,11.0,178.0,37.0,,1.0,14.0,,1.0,9.0,2.0,23.0,261.0,30.0,,83428,1.0,117.0,1.0,5.0,,,155.0,7.0,17.0,15.0,47.0,,1.0,8.0,13.0,14.0,6.0,2.0,51.0,191.0,11.0,10.0,,18.0,,63.0,,0.0,,11.0,1.0,,1.0,0.0,1.0,,37.0,15.0,,2.0,8.0,3.0,,24.0,2.0,288.0,11.0,8.0,13.0,3.0,17.0,,1.0,143.0,5.0,2.0,18.0,29.0,11.0,14.0,17.0,,6.0,3.0,9.0,13.0,2.0,,,2.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,3.0,,2.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2210588,2022-04-10 14:00:00,"Carrow Road, Norwich",26361,Home,Norwich City,Burnley,2,0,W,1,0,0,0,,,20.0,69.0,2.0,14.0,43.0,8.0,3.0,9.0,3.0,4.0,173.0,15.0,3.0,7.0,16.0,6.0,73.0,175.0,53.0,17.0,27.0,3.0,2.0,,4.0,2.0,13.0,7.0,43.0,2.0,2.0,47.0,1.0,132.0,,0.0,146.0,12.0,2.0,,77.0,44.0,10.0,47.0,1.0,11.0,15.0,8.0,2.0,3.0,175.0,2.0,11.0,59.0,551.0,12.0,3.0,21.0,7.0,214.0,33.0,,3.0,30.0,,1.0,6.0,6.0,18.0,320.0,57.0,1.0,83428,4.0,100.0,1.0,7.0,,3.0,134.0,6.0,15.0,11.0,72.0,1.0,3.0,3.0,10.0,7.0,4.0,2.0,68.0,229.0,9.0,10.0,3.0,20.0,3.0,66.0,,0.0,,7.0,2.0,,2.0,0.0,2.0,2.0,44.9,12.0,,5.0,3.0,5.0,1.0,21.0,6.0,352.0,7.0,11.0,12.0,6.0,24.0,1.0,2.0,231.0,12.0,2.0,27.0,87.0,20.0,30.0,10.0,,11.0,3.0,19.0,9.0,6.0,3.0,3.0,2.0,1.0,,,3.0,2.0,,2.0,1.0,2.0,,2.0,1.0,1.0,2.0,4.0,1.0,,3.0,1.0,,,1.0,,,,2.0,1.0,,,1.0,,1.0,2.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0
33,2210594,2022-04-16 15:00:00,"Old Trafford, Manchester",73381,Away,Norwich City,Manchester United,2,3,L,1,2,0,0,,,25.0,62.0,2.0,28.0,18.0,7.0,2.0,8.0,6.0,2.0,142.0,15.0,3.0,10.0,11.0,4.0,92.0,117.0,46.0,15.0,7.0,1.0,1.0,,,2.0,18.0,11.0,18.0,5.0,4.0,34.0,1.0,121.0,,0.0,90.0,6.0,4.0,,48.0,41.0,8.0,62.0,,13.0,7.0,7.0,3.0,4.0,117.0,3.0,12.0,90.0,569.0,8.0,1.0,23.0,6.0,294.0,31.0,,,8.0,,0.0,6.0,3.0,12.0,366.0,41.0,2.0,83428,6.0,195.0,1.0,8.0,1.0,,217.0,6.0,7.0,6.0,47.0,4.0,,11.0,11.0,8.0,5.0,4.0,52.0,313.0,8.0,18.0,1.0,8.0,3.0,49.0,1.0,0.0,,6.0,3.0,3.0,,0.0,1.0,3.0,39.2,10.0,,5.0,11.0,4.0,,35.0,7.0,386.0,6.0,6.0,20.0,7.0,26.0,2.0,3.0,187.0,10.0,4.0,8.0,56.0,14.0,8.0,20.0,2.0,11.0,3.0,20.0,2.0,7.0,1.0,1.0,2.0,1.0,,,1.0,,,,1.0,1.0,,1.0,2.0,1.0,2.0,3.0,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,2.0,1.0,1.0,3.0,,,2.0,,1.0,2.0,2.0,2.0,,2.0,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,
34,2210610,2022-04-23 15:00:00,"Carrow Road, Norwich",26910,Home,Norwich City,Newcastle United,0,3,L,0,2,0,0,,2.0,32.0,66.0,,27.0,12.0,1.0,2.0,4.0,4.0,,150.0,12.0,1.0,9.0,4.0,2.0,84.0,149.0,49.0,5.0,11.0,1.0,3.0,,,1.0,14.0,12.0,12.0,2.0,5.0,50.0,,140.0,,0.0,118.0,11.0,3.0,,70.0,44.0,1.0,75.0,1.0,12.0,22.0,1.0,4.0,,149.0,2.0,10.0,108.0,594.0,4.0,3.0,13.0,15.0,302.0,25.0,,3.0,2.0,,0.0,,3.0,26.0,399.0,54.0,2.0,83428,1.0,176.0,2.0,7.0,,,205.0,6.0,22.0,7.0,47.0,2.0,1.0,5.0,14.0,3.0,4.0,2.0,63.0,315.0,10.0,10.0,,13.0,,54.0,,0.0,1.0,3.0,1.0,3.0,,0.0,1.0,,45.4,23.0,,7.0,5.0,,,20.0,2.0,417.0,15.0,9.0,17.0,3.0,29.0,,3.0,226.0,3.0,5.0,10.0,77.0,29.0,2.0,20.0,3.0,4.0,3.0,15.0,14.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,2.0,,1.0,,1.0,,,,1.0,,,,,,1.0,,1.0,,3.0,1.0,3.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,
35,2210611,2022-04-30 15:00:00,"Villa Park, Birmingham",40290,Away,Norwich City,Aston Villa,0,2,L,0,1,0,0,,1.0,28.0,55.0,,40.0,8.0,5.0,1.0,4.0,4.0,2.0,141.0,15.0,2.0,10.0,7.0,3.0,141.0,143.0,47.0,9.0,10.0,1.0,,,1.0,3.0,10.0,6.0,8.0,3.0,8.0,48.0,,141.0,1.0,0.0,96.0,8.0,2.0,1.0,61.0,69.0,3.0,72.0,1.0,7.0,14.0,5.0,1.0,3.0,143.0,,16.0,137.0,685.0,6.0,5.0,17.0,14.0,379.0,25.0,,2.0,2.0,,1.0,7.0,4.0,32.0,465.0,39.0,,83428,4.0,263.0,,2.0,,3.0,291.0,3.0,14.0,8.0,53.0,,,5.0,15.0,5.0,7.0,2.0,67.0,402.0,16.0,9.0,1.0,10.0,1.0,61.0,,0.0,,2.0,3.0,2.0,2.0,0.0,1.0,2.0,54.9,27.0,,2.0,5.0,,,37.0,3.0,491.0,14.0,18.0,24.0,6.0,19.0,1.0,3.0,210.0,6.0,7.0,9.0,63.0,22.0,2.0,12.0,2.0,5.0,3.0,18.0,5.0,3.0,,,4.0,,1.0,,,,,,,1.0,,1.0,,,,4.0,,,,2.0,,1.0,,,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2210630,2022-05-08 14:00:00,"Carrow Road, Norwich",26428,Home,Norwich City,West Ham United,0,4,L,0,3,0,0,2.0,1.0,15.0,44.0,1.0,19.0,20.0,5.0,2.0,3.0,1.0,1.0,123.0,4.0,1.0,9.0,5.0,2.0,91.0,96.0,34.0,8.0,8.0,2.0,,,1.0,,18.0,7.0,20.0,7.0,4.0,31.0,1.0,134.0,,0.0,106.0,7.0,,,47.0,43.0,4.0,73.0,1.0,11.0,19.0,5.0,,2.0,96.0,1.0,10.0,97.0,530.0,5.0,,20.0,9.0,311.0,22.0,,4.0,9.0,,1.0,4.0,1.0,8.0,364.0,35.0,1.0,83428,2.0,195.0,1.0,10.0,1.0,1.0,212.0,4.0,19.0,5.0,34.0,2.0,2.0,4.0,8.0,3.0,3.0,1.0,35.0,328.0,6.0,9.0,,9.0,1.0,35.0,1.0,0.0,,5.0,,4.0,,0.0,,,36.5,7.0,,3.0,4.0,4.0,,25.0,9.0,384.0,9.0,11.0,17.0,2.0,31.0,1.0,,190.0,6.0,4.0,7.0,75.0,15.0,9.0,12.0,4.0,5.0,3.0,10.0,12.0,9.0,2.0,2.0,1.0,,,,2.0,1.0,,1.0,,1.0,,1.0,,,,3.0,1.0,1.0,3.0,,,,1.0,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
37,2210640,2022-05-15 14:00:00,"Molineux Stadium, Wolverhampton",31219,Away,Norwich City,Wolverhampton Wanderers,1,1,D,1,0,0,0,,,20.0,52.0,1.0,17.0,23.0,2.0,4.0,9.0,3.0,1.0,122.0,6.0,3.0,11.0,10.0,2.0,86.0,109.0,50.0,11.0,14.0,1.0,1.0,1.0,,1.0,7.0,14.0,23.0,3.0,4.0,25.0,,79.0,1.0,0.0,56.0,10.0,,,34.0,34.0,3.0,53.0,3.0,4.0,12.0,2.0,,2.0,109.0,3.0,8.0,89.0,500.0,5.0,5.0,13.0,9.0,256.0,24.0,2.0,3.0,8.0,1.0,3.0,5.0,7.0,18.0,328.0,38.0,1.0,83428,4.0,192.0,3.0,3.0,,1.0,219.0,4.0,12.0,15.0,51.0,1.0,,4.0,8.0,9.0,10.0,1.0,59.0,268.0,5.0,19.0,4.0,25.0,2.0,51.0,,0.0,,5.0,2.0,1.0,1.0,0.0,1.0,3.0,36.0,11.0,,4.0,4.0,1.0,,18.0,3.0,350.0,9.0,4.0,12.0,8.0,17.0,2.0,6.0,138.0,4.0,4.0,10.0,29.0,16.0,8.0,24.0,1.0,8.0,3.0,15.0,3.0,3.0,1.0,1.0,1.0,,1.0,,1.0,,,2.0,,,,,,1.0,1.0,2.0,2.0,,,,,1.0,3.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,3.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,
38,2210650,2022-05-22 16:00:00,"Carrow Road, Norwich",27022,Home,Norwich City,Tottenham Hotspur,0,5,L,0,2,0,0,,,15.0,48.0,3.0,33.0,7.0,3.0,2.0,6.0,7.0,,118.0,3.0,4.0,2.0,5.0,,110.0,113.0,28.0,9.0,10.0,,2.0,,,2.0,14.0,12.0,7.0,3.0,3.0,45.0,,122.0,,0.0,89.0,13.0,6.0,,55.0,48.0,2.0,58.0,1.0,11.0,7.0,3.0,5.0,2.0,113.0,,14.0,116.0,532.0,3.0,4.0,17.0,11.0,303.0,21.0,,1.0,2.0,1.0,3.0,3.0,3.0,17.0,382.0,43.0,,83428,4.0,203.0,,5.0,,1.0,227.0,10.0,7.0,4.0,41.0,,,7.0,11.0,5.0,2.0,1.0,66.0,321.0,6.0,10.0,2.0,13.0,1.0,48.0,,0.0,3.0,2.0,7.0,5.0,,0.0,3.0,3.0,40.4,17.0,,2.0,7.0,4.0,1.0,26.0,3.0,402.0,11.0,4.0,21.0,5.0,17.0,1.0,3.0,189.0,4.0,3.0,6.0,55.0,17.0,2.0,14.0,4.0,7.0,3.0,6.0,1.0,3.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,,2.0,,,,,1.0,,1.0,,,,1.0,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
