gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,handBall,penaltySave,bigChanceScored,attGoalLowCentre,goals,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,attIboxPost,freekickCross,bigChanceCreated,contentiousDecision,attHdPost,hitWoodwork,attMissHighLeft,goalAssist,totalKeeperSweeper,accurateFreekickCross,bigChanceMissed,attSetpiece,totalPullBack,attCmissHigh,goalsOpenplay,attMissHigh,attAssistSetplay,attCmissLeft,attIboxGoal,attPostHigh,goalAssistIntentional,shieldBallOop,possWonAtt3rd,attBxLeft,attSvHighCentre,forwardGoals,attHdGoal,attGoalLowRight,attLfGoal,shotFastbreak,totalFastbreak,interceptionsInBox,attHdTarget,attCmissHighLeft,attFastbreak,attemptsIbox,saves,accuratePullBack,attSvHighRight,cleanSheet,attSvLowLeft,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,sixYardBlock,punches,overrun,clearanceOffLine,attOneOnOne,accurateThroughBall,attGoalLowLeft,attRfGoal,ownGoals,attIboxOwnGoal,errorLeadToGoal,attLgCentre,attCorner,goalAssistSetplay,defenderGoals,goalAssistDeadball,midfielderGoals,attGoalHighLeft,attFreekickTarget,attGoalHighRight,attSvHighLeft,attOboxGoal,attFreekickGoal,foulThrowIn,attPostLeft,attOboxPost,attObxRight,attGoalHighCentre,attCmissHighRight,attFreekickPost,attPostRight,attObxdRight,attObxLeft,attPenTarget,penaltyWon,ptsDroppedWinningPos,attPenGoal
28,442272,2013-03-02 15:00:00,"Old Trafford, Manchester",75586,Away,Norwich City,Manchester United,0,4,L,0,1,0,0,1.0,,52.0,,,20.0,17.0,1.0,1.0,,144.0,3.0,3.0,1.0,1.0,,,70.0,141.0,42.0,,1.0,1.0,8.0,,,,9.0,12.0,,10.0,3.0,9.0,19.0,111.0,,0.0,102.0,14.0,3.0,,54.0,47.0,1.0,71.0,,6.0,,3.0,,134.0,12.0,76.0,512.0,1.0,9.0,19.0,30.0,6.0,7.0,4.0,8.0,,21.0,60.0,1.0,5741,,156.0,3.0,,180.0,8.0,43.0,,2.0,,6.0,7.0,3.0,57.0,264.0,5.0,10.0,32.0,80.0,,0.0,7.0,3.0,4.0,1.0,0.0,1.0,,35.0,16.0,,,1.0,32.0,3.0,,,361.0,,16.0,,8.0,9.0,,9.0,2.0,,190.0,,9.0,13.0,50.0,9.0,4.0,5.0,21.0,3.0,1.0,3.0,6.0,4.0,3.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,442284,2013-03-09 15:00:00,"Carrow Road, Norwich",26783,Home,Norwich City,Southampton,0,0,D,0,0,0,0,,1.0,39.0,2.0,,19.0,27.0,4.0,3.0,1.0,145.0,3.0,5.0,6.0,2.0,,2.0,42.0,195.0,52.0,1.0,6.0,2.0,25.0,1.0,,,20.0,14.0,1.0,16.0,1.0,2.0,19.0,94.0,,0.0,101.0,9.0,3.0,,47.0,41.0,1.0,38.0,,19.0,1.0,7.0,1.0,184.0,8.0,55.0,497.0,1.0,11.0,16.0,16.0,6.0,6.0,2.0,3.0,1.0,40.0,63.0,1.0,5741,2.0,79.0,9.0,,108.0,13.0,62.0,3.0,5.0,,7.0,7.0,6.0,59.0,170.0,10.0,5.0,31.0,92.0,,0.0,7.0,3.0,,2.0,0.0,3.0,,40.9,27.0,,,2.0,34.0,1.0,,,280.0,,9.0,,15.0,2.0,2.0,20.0,,1.0,192.0,3.0,2.0,16.0,52.0,11.0,1.0,3.0,21.0,,2.0,2.0,13.0,1.0,1.0,,,,,,,1.0,,1.0,,3.0,1.0,1.0,,,1.0,,1.0,1.0,2.0,2.0,,,,,1.0,1.0,,,,,2.0,,,,,,,,2.0,1.0,,,,,,,,1.0,2.0,,,,,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,
30,442295,2013-03-17 13:30:00,"Stadium of Light, Sunderland",38625,Away,Norwich City,Sunderland,1,1,D,1,1,1,0,,,47.0,3.0,1.0,16.0,45.0,5.0,2.0,,114.0,5.0,7.0,5.0,4.0,,1.0,36.0,160.0,55.0,1.0,8.0,1.0,15.0,,,,22.0,13.0,,23.0,8.0,10.0,19.0,100.0,2.0,0.0,88.0,14.0,3.0,,27.0,56.0,2.0,33.0,1.0,14.0,1.0,2.0,4.0,138.0,6.0,48.0,456.0,2.0,21.0,25.0,24.0,8.0,19.0,3.0,4.0,2.0,19.0,59.0,,5741,1.0,58.0,10.0,1.0,69.0,13.0,50.0,4.0,1.0,,14.0,9.0,8.0,45.0,153.0,11.0,7.0,29.0,74.0,,0.0,6.0,2.0,1.0,6.0,1.0,2.0,1.0,34.9,14.0,,,2.0,32.0,9.0,1.0,,231.0,1.0,20.0,1.0,9.0,10.0,5.0,13.0,3.0,1.0,184.0,4.0,7.0,21.0,46.0,16.0,4.0,11.0,16.0,1.0,2.0,3.0,14.0,4.0,9.0,2.0,,1.0,,1.0,,2.0,,2.0,,2.0,2.0,2.0,,,,1.0,2.0,1.0,1.0,2.0,,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,
31,442308,2013-03-30 15:00:00,"DW Stadium, Wigan",17784,Away,Norwich City,Wigan Athletic,0,1,L,0,0,0,0,,,28.0,,,28.0,28.0,6.0,2.0,,139.0,3.0,3.0,3.0,6.0,1.0,,66.0,178.0,43.0,,7.0,3.0,10.0,,,,23.0,14.0,,18.0,2.0,5.0,31.0,167.0,,0.0,146.0,12.0,1.0,,61.0,63.0,2.0,64.0,3.0,21.0,,7.0,3.0,168.0,9.0,76.0,540.0,4.0,9.0,16.0,13.0,9.0,6.0,2.0,4.0,4.0,30.0,81.0,,79852,1.0,87.0,13.0,,99.0,10.0,46.0,3.0,4.0,1.0,15.0,5.0,3.0,58.0,251.0,14.0,5.0,28.0,77.0,,0.0,10.0,2.0,1.0,2.0,0.0,2.0,1.0,47.2,23.0,1.0,1.0,3.0,34.0,3.0,,,345.0,,16.0,,13.0,13.0,4.0,19.0,1.0,1.0,269.0,4.0,4.0,8.0,84.0,10.0,5.0,4.0,18.0,1.0,4.0,3.0,10.0,5.0,3.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,2.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
32,442313,2013-04-06 15:00:00,"Carrow Road, Norwich",26372,Home,Norwich City,Swansea City,2,2,D,1,1,0,0,,1.0,41.0,2.0,,17.0,32.0,6.0,7.0,1.0,140.0,9.0,6.0,8.0,7.0,,4.0,59.0,161.0,61.0,2.0,12.0,4.0,17.0,1.0,1.0,,22.0,18.0,1.0,17.0,2.0,3.0,18.0,144.0,,0.0,145.0,8.0,2.0,1.0,50.0,60.0,4.0,43.0,,20.0,2.0,5.0,1.0,146.0,13.0,52.0,499.0,5.0,12.0,30.0,13.0,6.0,9.0,5.0,3.0,3.0,13.0,65.0,,5741,3.0,64.0,11.0,,82.0,11.0,45.0,,,1.0,12.0,5.0,7.0,37.0,199.0,16.0,2.0,27.0,69.0,,0.0,5.0,3.0,2.0,3.0,0.0,9.0,2.0,34.7,10.0,1.0,1.0,4.0,34.0,2.0,,1.0,294.0,,24.0,,10.0,8.0,4.0,15.0,,3.0,234.0,3.0,3.0,15.0,88.0,17.0,1.0,5.0,24.0,2.0,6.0,3.0,14.0,1.0,2.0,,,2.0,,2.0,,1.0,1.0,1.0,,4.0,3.0,,,,1.0,2.0,1.0,2.0,1.0,4.0,,1.0,1.0,2.0,,1.0,2.0,,2.0,,3.0,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,
33,442319,2013-04-13 15:00:00,"Emirates Stadium, London",60095,Away,Norwich City,Arsenal,1,3,L,0,0,0,0,1.0,,45.0,1.0,,22.0,38.0,1.0,1.0,2.0,131.0,5.0,1.0,3.0,3.0,,4.0,55.0,151.0,44.0,1.0,5.0,1.0,14.0,3.0,1.0,2.0,13.0,15.0,,26.0,3.0,6.0,16.0,94.0,,0.0,93.0,11.0,2.0,,35.0,47.0,3.0,49.0,,10.0,1.0,5.0,,151.0,11.0,60.0,482.0,1.0,12.0,22.0,23.0,16.0,17.0,2.0,4.0,,19.0,64.0,,5741,3.0,113.0,4.0,1.0,137.0,8.0,55.0,,4.0,1.0,14.0,3.0,2.0,60.0,202.0,9.0,6.0,37.0,75.0,,0.0,9.0,3.0,3.0,6.0,0.0,3.0,2.0,32.1,12.0,,1.0,1.0,32.0,3.0,1.0,,295.0,1.0,18.0,,15.0,6.0,,22.0,2.0,,171.0,2.0,6.0,15.0,46.0,9.0,4.0,13.0,19.0,2.0,2.0,2.0,11.0,4.0,3.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,3.0,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,4.0,1.0,,1.0,4.0,4.0,,,,,1.0,8.0,195.0,269.0,,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,3.0,
34,442332,2013-04-20 15:00:00,"Carrow Road, Norwich",26460,Home,Norwich City,Reading,2,1,W,0,0,0,0,1.0,2.0,34.0,1.0,1.0,22.0,22.0,6.0,5.0,2.0,157.0,10.0,4.0,3.0,16.0,,8.0,78.0,178.0,46.0,,20.0,,12.0,4.0,,3.0,29.0,11.0,2.0,9.0,7.0,6.0,28.0,147.0,1.0,0.0,141.0,9.0,1.0,,67.0,51.0,7.0,57.0,1.0,22.0,,5.0,4.0,165.0,8.0,57.0,548.0,10.0,7.0,15.0,16.0,8.0,10.0,2.0,6.0,9.0,29.0,77.0,,5741,12.0,112.0,16.0,,137.0,9.0,38.0,,5.0,,12.0,8.0,3.0,52.0,249.0,11.0,3.0,30.0,75.0,1.0,0.0,8.0,,1.0,3.0,0.0,4.0,8.0,45.5,21.0,6.0,,1.0,30.0,8.0,,,349.0,,13.0,,9.0,10.0,11.0,14.0,6.0,7.0,241.0,7.0,6.0,18.0,89.0,12.0,5.0,6.0,13.0,,12.0,3.0,9.0,5.0,8.0,,,1.0,,2.0,,,,4.0,,1.0,1.0,,,,1.0,,,,1.0,1.0,,1.0,1.0,4.0,6.0,2.0,2.0,,,,3.0,2.0,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,1.0,,,1.0,2.0,,,1.0,,,,1.0,,,,,,,,,
35,442347,2013-04-27 15:00:00,"bet365 Stadium, Stoke",27488,Away,Norwich City,Stoke City,0,1,L,0,0,0,0,,,46.0,1.0,,37.0,49.0,2.0,3.0,,167.0,2.0,2.0,3.0,5.0,,,65.0,181.0,55.0,,6.0,1.0,50.0,,1.0,,19.0,14.0,,23.0,3.0,9.0,14.0,134.0,1.0,0.0,110.0,10.0,1.0,2.0,41.0,69.0,1.0,69.0,1.0,16.0,,10.0,1.0,155.0,7.0,72.0,563.0,3.0,10.0,10.0,20.0,15.0,19.0,2.0,,4.0,31.0,80.0,,5741,3.0,139.0,4.0,,154.0,11.0,78.0,,1.0,3.0,8.0,5.0,5.0,76.0,271.0,10.0,6.0,40.0,98.0,,0.0,6.0,1.0,1.0,2.0,0.0,1.0,2.0,52.5,19.0,2.0,3.0,1.0,50.0,3.0,,2.0,373.0,,6.0,,10.0,6.0,5.0,35.0,1.0,4.0,238.0,1.0,9.0,29.0,54.0,15.0,,13.0,14.0,1.0,3.0,3.0,6.0,,3.0,1.0,,,,,,2.0,,,,2.0,,3.0,,,,,2.0,,,1.0,,1.0,,3.0,2.0,,,,,1.0,,,,,,,,,,1.0,,,,4.0,2.0,,,,,2.0,10.0,261.0,348.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,442352,2013-05-04 15:00:00,"Carrow Road, Norwich",26842,Home,Norwich City,Aston Villa,1,2,L,0,0,0,0,1.0,1.0,56.0,1.0,1.0,26.0,20.0,3.0,2.0,,180.0,6.0,8.0,4.0,7.0,1.0,2.0,74.0,174.0,66.0,1.0,9.0,1.0,25.0,,2.0,1.0,28.0,9.0,1.0,11.0,5.0,20.0,35.0,169.0,,0.0,166.0,16.0,2.0,1.0,50.0,67.0,2.0,50.0,2.0,23.0,1.0,9.0,1.0,163.0,4.0,82.0,571.0,7.0,21.0,19.0,21.0,12.0,14.0,2.0,3.0,5.0,28.0,101.0,,5741,4.0,114.0,13.0,,133.0,9.0,62.0,4.0,2.0,1.0,8.0,9.0,4.0,61.0,277.0,13.0,7.0,34.0,91.0,,0.0,5.0,1.0,2.0,6.0,0.0,5.0,3.0,53.7,27.0,3.0,1.0,2.0,44.0,6.0,,1.0,386.0,,15.0,,4.0,19.0,5.0,26.0,1.0,4.0,281.0,4.0,17.0,34.0,97.0,20.0,,9.0,11.0,1.0,5.0,3.0,19.0,2.0,6.0,1.0,,1.0,,1.0,,2.0,,1.0,,1.0,,,,,1.0,,2.0,1.0,,2.0,1.0,,,1.0,,1.0,1.0,,,,3.0,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
37,442364,2013-05-12 15:00:00,"Carrow Road, Norwich",26837,Home,Norwich City,West Bromwich Albion,4,0,W,1,0,0,0,,3.0,48.0,3.0,,27.0,13.0,6.0,7.0,1.0,160.0,6.0,3.0,2.0,6.0,,7.0,97.0,157.0,40.0,1.0,12.0,1.0,15.0,2.0,1.0,1.0,28.0,12.0,2.0,4.0,7.0,7.0,22.0,171.0,,0.0,114.0,11.0,2.0,1.0,38.0,84.0,3.0,61.0,2.0,21.0,1.0,7.0,2.0,148.0,3.0,91.0,588.0,4.0,9.0,20.0,22.0,9.0,5.0,2.0,1.0,3.0,14.0,60.0,,5741,,165.0,14.0,,183.0,11.0,54.0,,2.0,3.0,12.0,5.0,2.0,52.0,330.0,7.0,11.0,19.0,88.0,,0.0,2.0,1.0,,4.0,0.0,5.0,2.0,48.1,9.0,2.0,3.0,1.0,45.0,8.0,,1.0,409.0,,16.0,,12.0,11.0,4.0,17.0,1.0,2.0,254.0,3.0,7.0,14.0,75.0,16.0,8.0,2.0,16.0,,10.0,3.0,8.0,8.0,8.0,,,2.0,1.0,4.0,,,1.0,1.0,,,2.0,2.0,,,,1.0,,,3.0,,,,3.0,1.0,1.0,,3.0,,1.0,1.0,,,1.0,2.0,,,1.0,,,1.0,,,,,,,,1.0,2.0,,,,,,,2.0,,,,,2.0,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
38,442371,2013-05-19 16:00:00,"Etihad Stadium, Manchester",47054,Away,Norwich City,Manchester City,3,2,W,1,1,0,0,,2.0,27.0,,1.0,18.0,24.0,6.0,7.0,,131.0,7.0,7.0,4.0,13.0,2.0,7.0,74.0,123.0,42.0,1.0,17.0,2.0,11.0,2.0,,1.0,21.0,11.0,2.0,17.0,6.0,7.0,18.0,146.0,1.0,0.0,104.0,9.0,,3.0,56.0,61.0,8.0,49.0,4.0,15.0,1.0,1.0,2.0,116.0,12.0,63.0,505.0,7.0,4.0,13.0,9.0,1.0,7.0,0.0,5.0,5.0,22.0,47.0,,5741,6.0,118.0,12.0,,132.0,12.0,45.0,3.0,2.0,2.0,10.0,2.0,3.0,39.0,257.0,10.0,9.0,11.0,68.0,,0.0,7.0,1.0,2.0,2.0,0.0,4.0,3.0,39.7,19.0,1.0,3.0,3.0,35.0,7.0,,4.0,317.0,,9.0,,11.0,12.0,7.0,15.0,3.0,5.0,206.0,6.0,7.0,11.0,72.0,7.0,3.0,7.0,14.0,2.0,10.0,3.0,13.0,3.0,7.0,1.0,,2.0,,3.0,,,3.0,1.0,,2.0,3.0,2.0,,,1.0,3.0,,,1.0,2.0,1.0,,3.0,,3.0,1.0,3.0,,2.0,,1.0,2.0,1.0,1.0,,2.0,2.0,,,5.0,2.0,,,,,,2.0,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,
