gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,bigChanceScored,attGoalLowLeft,attGoalLowRight,savedObox,saves,attLfGoal,attOneOnOne,attOboxGoal,divingSave,attSvLowLeft,accurateThroughBall,totalPullBack,totalOffside,savedIbox,goalsConceded,shieldBallOop,forwardGoals,goalsConcededIbox,handBall,shotFastbreak,attGoalHighRight,attMissHighRight,totalFastbreak,attObxdLeft,defenderGoals,attFastbreak,foulThrowIn,goalAssistDeadball,ptsGainedLosingPos,errorLeadToShot,ownGoals,attIboxOwnGoal,attHdGoal,accuratePullBack,attSvHighRight,attHdTarget,sixYardBlock,attFreekickMiss,attCmissRight,contentiousDecision,ptsDroppedWinningPos,attLgCentre,secondYellow,penaltyConceded,penaltyFaced,penGoalsConceded,attCmissHigh,punches,attCmissHighLeft,attSvHighCentre,postScoringAtt,attIboxPost,hitWoodwork,attPostHigh,errorLeadToGoal,goalsConcededObox,attSvHighLeft,penaltySave,attPostLeft,attCmissHighRight,penaltyWon,attPenGoal,goalFastbreak,attGoalHighCentre,attFreekickPost,attOboxPost,clearanceOffLine
27,987855,2019-02-22 19:45:00,"Cardiff City Stadium, Cardiff",30387,Away,Watford,Cardiff City,5,1,W,1,0,0,0,74.0,,,26.0,35.0,4.0,1.0,7.0,2.0,213.0,2.0,2.0,8.0,5.0,4.0,10.0,7.0,129.0,163.0,53.0,2.0,12.0,1.0,28.0,,1.0,,5.0,,,9.0,8.0,2.0,35.0,2.0,13.0,19.0,213.0,,0.0,112.0,11.0,,1.0,,41.0,60.0,7.0,99.0,1.0,2.0,7.0,24.0,5.0,2.0,,,163.0,4.0,7.0,138.0,781.0,4.0,10.0,24.0,9.0,462.0,28.0,,7.0,17.0,5.0,,2.0,4.0,3.0,14.0,560.0,47.0,,94924,5.0,263.0,,6.0,1.0,290.0,7.0,5.0,24.0,6.0,72.0,3.0,6.0,5.0,23.0,8.0,4.0,1.0,50.0,474.0,10.0,11.0,1.0,21.0,93.0,,2.0,,0.0,1.0,1.0,3.0,4.0,2.0,0.0,2.0,3.0,1.0,64.6,11.0,1.0,2.0,1.0,6.0,1.0,60.0,3.0,,579.0,9.0,15.0,9.0,4.0,26.0,,3.0,298.0,10.0,12.0,21.0,71.0,35.0,1.0,17.0,14.0,9.0,3.0,16.0,1.0,8.0,3.0,,4.0,2.0,1.0,2.0,4.0,,,1.0,,,2.0,,1.0,3.0,1.0,,5.0,1.0,,2.0,,,3.0,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,2.0,,1.0,1.0,1.0
28,987868,2019-02-27 20:00:00,"Anfield, Liverpool",53316,Away,Watford,Liverpool,0,5,L,0,2,0,0,62.0,1.0,,18.0,37.0,1.0,,4.0,3.0,136.0,,,10.0,,2.0,4.0,3.0,103.0,139.0,50.0,,5.0,,10.0,3.0,2.0,,,2.0,1.0,9.0,11.0,,37.0,1.0,8.0,38.0,118.0,,0.0,92.0,7.0,,1.0,,38.0,38.0,3.0,74.0,3.0,,8.0,16.0,1.0,,5.0,1.0,139.0,1.0,11.0,79.0,602.0,4.0,3.0,12.0,11.0,288.0,25.0,,5.0,17.0,,,2.0,5.0,1.0,13.0,368.0,46.0,,94924,2.0,182.0,1.0,2.0,2.0,208.0,5.0,,16.0,8.0,50.0,,7.0,,13.0,8.0,2.0,,56.0,300.0,5.0,17.0,,26.0,65.0,,1.0,,0.0,,3.0,7.0,,1.0,0.0,,,,38.4,9.0,,2.0,,7.0,1.0,32.0,4.0,,392.0,11.0,9.0,17.0,1.0,21.0,,,193.0,5.0,7.0,8.0,60.0,22.0,1.0,17.0,27.0,3.0,3.0,17.0,1.0,8.0,4.0,,,,,3.0,5.0,,,,1.0,,,,2.0,2.0,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
29,987879,2019-03-03 12:00:00,"Vicarage Road, Watford",20062,Home,Watford,Leicester City,2,1,W,1,0,0,0,55.0,1.0,1.0,16.0,34.0,1.0,1.0,5.0,3.0,129.0,1.0,1.0,5.0,2.0,3.0,4.0,5.0,104.0,130.0,49.0,,6.0,,21.0,2.0,,,1.0,1.0,,12.0,9.0,1.0,34.0,1.0,11.0,24.0,133.0,,0.0,90.0,15.0,,3.0,,51.0,42.0,4.0,54.0,2.0,,11.0,19.0,1.0,,2.0,,130.0,2.0,5.0,84.0,556.0,2.0,4.0,20.0,13.0,280.0,21.0,,3.0,15.0,2.0,,5.0,6.0,,16.0,354.0,44.0,1.0,94924,3.0,157.0,1.0,6.0,3.0,180.0,6.0,,19.0,5.0,58.0,1.0,1.0,1.0,12.0,9.0,1.0,,41.0,289.0,12.0,9.0,,17.0,56.0,,,,0.0,,4.0,5.0,2.0,,0.0,1.0,2.0,1.0,39.0,12.0,,3.0,1.0,1.0,1.0,31.0,1.0,,371.0,13.0,7.0,10.0,,17.0,,,203.0,4.0,11.0,19.0,51.0,26.0,2.0,15.0,15.0,3.0,2.0,11.0,2.0,9.0,1.0,,2.0,,,1.0,1.0,1.0,,,,1.0,,1.0,4.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,
30,987889,2019-03-09 17:30:00,"Etihad Stadium, Manchester",54104,Away,Watford,Manchester City,1,3,L,0,0,0,0,46.0,,1.0,27.0,36.0,1.0,,1.0,,120.0,1.0,1.0,9.0,1.0,2.0,1.0,1.0,63.0,116.0,49.0,1.0,2.0,1.0,17.0,,,1.0,,,,5.0,11.0,,36.0,1.0,1.0,38.0,88.0,,0.0,51.0,7.0,,1.0,,35.0,36.0,1.0,61.0,1.0,,4.0,8.0,1.0,1.0,2.0,,116.0,1.0,14.0,54.0,440.0,,4.0,6.0,5.0,195.0,25.0,,6.0,13.0,1.0,1.0,1.0,4.0,,11.0,264.0,33.0,,94924,1.0,123.0,,1.0,1.0,147.0,4.0,1.0,8.0,13.0,40.0,,3.0,,12.0,5.0,4.0,,69.0,210.0,11.0,10.0,,23.0,77.0,,,,0.0,,1.0,9.0,1.0,,0.0,1.0,1.0,,28.9,8.0,,,,3.0,1.0,35.0,1.0,,298.0,5.0,4.0,24.0,,12.0,,,156.0,2.0,,12.0,21.0,8.0,,13.0,18.0,,3.0,12.0,,1.0,1.0,,1.0,,,1.0,5.0,,,,,,,1.0,1.0,5.0,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0
31,987899,2019-04-23 19:45:00,"Vicarage Road, Watford",19170,Home,Watford,Southampton,1,1,D,0,1,0,0,69.0,4.0,,29.0,12.0,4.0,7.0,11.0,1.0,218.0,,4.0,12.0,1.0,1.0,10.0,4.0,158.0,183.0,54.0,,15.0,4.0,17.0,3.0,2.0,,1.0,2.0,1.0,12.0,8.0,,12.0,2.0,6.0,35.0,243.0,,0.0,182.0,10.0,,2.0,,76.0,59.0,8.0,64.0,,1.0,10.0,11.0,4.0,,3.0,,183.0,1.0,7.0,159.0,800.0,9.0,8.0,33.0,11.0,454.0,45.0,,10.0,7.0,1.0,,5.0,1.0,2.0,28.0,571.0,63.0,,94924,8.0,236.0,2.0,5.0,,265.0,7.0,,11.0,7.0,56.0,1.0,,1.0,21.0,1.0,4.0,1.0,68.0,475.0,13.0,9.0,,35.0,89.0,,,1.0,0.0,,1.0,4.0,1.0,1.0,0.0,3.0,,1.0,62.2,24.0,1.0,2.0,1.0,,8.0,48.0,3.0,,599.0,11.0,12.0,18.0,3.0,31.0,1.0,3.0,346.0,6.0,4.0,15.0,123.0,19.0,1.0,7.0,14.0,15.0,2.0,21.0,1.0,5.0,3.0,1.0,,,,1.0,3.0,1.0,,,3.0,,,,4.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
32,987910,2019-03-30 15:00:00,"Old Trafford, Manchester",74543,Away,Watford,Manchester United,1,2,L,0,1,0,0,60.0,4.0,,27.0,15.0,9.0,4.0,11.0,6.0,147.0,,1.0,9.0,1.0,5.0,14.0,8.0,105.0,133.0,57.0,,20.0,2.0,15.0,3.0,2.0,1.0,1.0,3.0,2.0,19.0,11.0,4.0,15.0,4.0,6.0,34.0,209.0,,0.0,177.0,9.0,1.0,3.0,,63.0,52.0,12.0,54.0,5.0,,15.0,15.0,9.0,,3.0,3.0,133.0,1.0,5.0,93.0,592.0,13.0,7.0,46.0,12.0,307.0,19.0,,10.0,4.0,1.0,2.0,2.0,2.0,2.0,14.0,374.0,54.0,,94924,5.0,115.0,,9.0,1.0,125.0,5.0,1.0,15.0,3.0,49.0,,,1.0,15.0,3.0,2.0,,50.0,323.0,12.0,9.0,,20.0,59.0,,,2.0,0.0,,3.0,3.0,1.0,2.0,0.0,,1.0,1.0,48.5,12.0,,7.0,3.0,,6.0,38.0,5.0,,399.0,12.0,5.0,17.0,6.0,39.0,1.0,3.0,293.0,15.0,5.0,24.0,127.0,30.0,3.0,4.0,13.0,18.0,3.0,20.0,3.0,10.0,5.0,,1.0,1.0,,,3.0,,,,2.0,3.0,,2.0,3.0,3.0,2.0,,,1.0,,,,4.0,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,
33,987920,2019-04-02 19:45:00,"Vicarage Road, Watford",17301,Home,Watford,Fulham,4,1,W,1,1,0,0,66.0,4.0,,21.0,15.0,3.0,5.0,12.0,1.0,159.0,,2.0,11.0,4.0,1.0,12.0,7.0,127.0,141.0,51.0,,15.0,3.0,21.0,3.0,1.0,,3.0,1.0,1.0,18.0,14.0,,15.0,5.0,9.0,26.0,217.0,,0.0,155.0,12.0,2.0,1.0,1.0,41.0,70.0,11.0,60.0,2.0,,13.0,17.0,3.0,,2.0,,141.0,2.0,15.0,116.0,652.0,9.0,10.0,24.0,9.0,365.0,26.0,,7.0,7.0,3.0,,3.0,7.0,1.0,14.0,449.0,53.0,,94924,10.0,161.0,,10.0,,188.0,8.0,2.0,17.0,4.0,65.0,,6.0,3.0,17.0,2.0,2.0,,44.0,376.0,4.0,14.0,,20.0,52.0,1.0,2.0,,0.0,,,4.0,4.0,5.0,0.0,2.0,2.0,2.0,46.6,12.0,1.0,8.0,1.0,6.0,7.0,34.0,6.0,1.0,462.0,9.0,7.0,14.0,1.0,29.0,,1.0,292.0,8.0,8.0,14.0,112.0,22.0,2.0,7.0,22.0,13.0,3.0,22.0,2.0,6.0,6.0,1.0,2.0,1.0,1.0,1.0,6.0,2.0,,,2.0,,,,2.0,5.0,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
34,987931,2019-04-15 20:00:00,"Vicarage Road, Watford",20480,Home,Watford,Arsenal,0,1,L,0,1,1,0,57.0,2.0,,19.0,15.0,5.0,5.0,6.0,3.0,123.0,,1.0,7.0,,1.0,7.0,3.0,83.0,142.0,42.0,1.0,11.0,3.0,14.0,2.0,4.0,,,1.0,,18.0,6.0,1.0,15.0,5.0,3.0,38.0,132.0,,0.0,110.0,12.0,,3.0,1.0,40.0,54.0,3.0,37.0,2.0,1.0,13.0,18.0,5.0,1.0,4.0,,142.0,2.0,13.0,84.0,513.0,6.0,8.0,25.0,13.0,224.0,27.0,,3.0,5.0,,,2.0,8.0,3.0,17.0,304.0,51.0,,9089,1.0,102.0,2.0,6.0,2.0,118.0,9.0,,18.0,10.0,41.0,1.0,4.0,,12.0,6.0,2.0,1.0,57.0,233.0,8.0,3.0,,20.0,59.0,,2.0,,0.0,1.0,1.0,4.0,,1.0,1.0,1.0,,1.0,34.1,14.0,1.0,3.0,,5.0,5.0,24.0,6.0,1.0,327.0,13.0,8.0,18.0,3.0,27.0,,2.0,227.0,5.0,2.0,14.0,64.0,16.0,,5.0,13.0,6.0,2.0,11.0,,10.0,6.0,,,,,2.0,4.0,,1.0,,1.0,,,1.0,2.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,
35,987937,2019-04-20 15:00:00,"Accu Stadium, Huddersfield",23957,Away,Watford,Huddersfield Town,2,1,W,1,0,0,0,64.0,1.0,,31.0,14.0,3.0,4.0,8.0,2.0,156.0,,1.0,5.0,2.0,3.0,5.0,6.0,111.0,126.0,45.0,1.0,11.0,,12.0,3.0,1.0,,,3.0,1.0,10.0,11.0,1.0,14.0,2.0,10.0,35.0,161.0,,0.0,90.0,9.0,,2.0,,37.0,59.0,4.0,84.0,2.0,,8.0,23.0,3.0,1.0,1.0,2.0,126.0,,7.0,108.0,629.0,5.0,2.0,30.0,7.0,365.0,31.0,1.0,8.0,8.0,,,2.0,5.0,1.0,19.0,436.0,42.0,,94924,6.0,221.0,,5.0,,248.0,6.0,2.0,23.0,7.0,43.0,,1.0,2.0,16.0,6.0,5.0,1.0,59.0,381.0,14.0,7.0,,25.0,77.0,,1.0,,0.0,,3.0,2.0,2.0,1.0,0.0,1.0,,,54.3,16.0,,2.0,1.0,1.0,1.0,52.0,2.0,,459.0,7.0,11.0,19.0,4.0,19.0,,2.0,221.0,7.0,9.0,10.0,64.0,24.0,,8.0,16.0,10.0,3.0,9.0,,9.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,,,1.0,2.0,1.0,1.0,,2.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,
36,987951,2019-04-27 15:00:00,"Vicarage Road, Watford",20323,Home,Watford,Wolverhampton Wanderers,1,2,L,0,1,0,0,56.0,1.0,,24.0,34.0,5.0,3.0,5.0,,163.0,,7.0,12.0,1.0,2.0,8.0,1.0,142.0,143.0,55.0,,10.0,3.0,19.0,,1.0,3.0,,,1.0,25.0,12.0,,34.0,3.0,5.0,28.0,195.0,,0.0,120.0,10.0,,3.0,,39.0,78.0,3.0,73.0,,2.0,22.0,21.0,5.0,,8.0,2.0,143.0,1.0,8.0,117.0,716.0,8.0,7.0,23.0,12.0,396.0,23.0,1.0,6.0,17.0,,3.0,3.0,5.0,5.0,21.0,475.0,44.0,,94924,3.0,222.0,1.0,11.0,,241.0,6.0,1.0,21.0,4.0,63.0,1.0,4.0,1.0,11.0,3.0,1.0,,45.0,410.0,10.0,12.0,,19.0,75.0,,,,0.0,,1.0,5.0,1.0,2.0,0.0,4.0,,2.0,56.5,18.0,2.0,6.0,,4.0,4.0,51.0,4.0,,495.0,12.0,17.0,14.0,5.0,27.0,3.0,3.0,279.0,5.0,3.0,17.0,81.0,22.0,1.0,17.0,17.0,7.0,2.0,17.0,1.0,8.0,4.0,,1.0,1.0,,1.0,1.0,,,,,,,,3.0,1.0,2.0,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,1.0
37,987955,2019-05-05 14:00:00,"Stamford Bridge, London",40650,Away,Watford,Chelsea,0,3,L,0,0,0,0,63.0,2.0,,22.0,15.0,5.0,4.0,11.0,1.0,161.0,,4.0,11.0,,2.0,11.0,3.0,93.0,148.0,47.0,,16.0,1.0,18.0,2.0,,,,,2.0,15.0,9.0,1.0,15.0,4.0,2.0,29.0,160.0,,0.0,138.0,12.0,,2.0,,45.0,49.0,4.0,57.0,1.0,3.0,11.0,20.0,5.0,,3.0,3.0,148.0,1.0,16.0,71.0,570.0,11.0,13.0,33.0,8.0,272.0,27.0,,8.0,5.0,,,1.0,4.0,7.0,17.0,358.0,43.0,,94924,6.0,130.0,2.0,6.0,2.0,151.0,6.0,,20.0,12.0,66.0,,3.0,,13.0,3.0,4.0,3.0,60.0,286.0,6.0,15.0,,26.0,67.0,,,,0.0,,1.0,6.0,,6.0,0.0,4.0,,4.0,41.6,15.0,2.0,5.0,3.0,3.0,3.0,32.0,6.0,,382.0,8.0,16.0,13.0,10.0,32.0,,6.0,246.0,7.0,2.0,17.0,95.0,23.0,,5.0,14.0,10.0,3.0,17.0,,9.0,6.0,,,,,,6.0,,,,3.0,2.0,,,3.0,6.0,3.0,1.0,,3.0,,,,1.0,,,,,,,,,,,,,,2.0,1.0,,2.0,,,,,,,,1.0,,,,1.0,1.0,3.0,1.0,,,1.0,,,,,,,,,,
38,987971,2019-05-12 15:00:00,"Vicarage Road, Watford",20067,Home,Watford,West Ham United,1,4,L,0,2,1,0,60.0,5.0,,30.0,12.0,3.0,7.0,14.0,3.0,155.0,1.0,6.0,5.0,1.0,1.0,11.0,8.0,105.0,136.0,44.0,,17.0,2.0,11.0,6.0,1.0,,,6.0,1.0,22.0,8.0,1.0,12.0,6.0,3.0,29.0,203.0,,0.0,130.0,10.0,,1.0,1.0,59.0,65.0,9.0,60.0,1.0,1.0,16.0,7.0,3.0,,5.0,,136.0,1.0,8.0,99.0,586.0,8.0,14.0,40.0,4.0,317.0,21.0,,7.0,4.0,,,1.0,2.0,2.0,16.0,393.0,49.0,,94924,7.0,141.0,1.0,10.0,,155.0,6.0,1.0,7.0,8.0,59.0,1.0,6.0,1.0,13.0,8.0,6.0,,56.0,338.0,10.0,23.0,3.0,17.0,71.0,,,,0.0,,2.0,2.0,1.0,5.0,1.0,2.0,,2.0,48.3,11.0,1.0,4.0,3.0,6.0,7.0,50.0,7.0,1.0,419.0,4.0,12.0,17.0,2.0,37.0,4.0,2.0,286.0,7.0,2.0,12.0,87.0,25.0,,4.0,17.0,12.0,3.0,8.0,,2.0,7.0,3.0,1.0,,,2.0,5.0,,,,3.0,,,,4.0,3.0,4.0,,1.0,4.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
