gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,fiftyFifty,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attemptsIbox,saves,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,attLfTarget,bigChanceScored,attGoalLowRight,attLfTotal,attLfGoal,attRfTarget,accuratePullBack,attIboxTarget,attOboxTarget,totalCornersIntobox,penaltyWon,attSvLowLeft,freekickCross,attGoalHighCentre,attHdTarget,attMissHighLeft,offtargetAttAssist,accurateFreekickCross,attSetpiece,totalPullBack,attCmissHighLeft,attMissHigh,attPenGoal,attAssistSetplay,attCorner,attSvLowRight,attHdTotal,attHdMiss,attBxLeft,attSvHighCentre,cornerTaken,accurateCornersIntobox,attIboxMiss,wonCorners,shotFastbreak,attSvLowCentre,cleanSheet,totalFastbreak,attSvHighLeft,interceptionsInBox,attMissRight,bigChanceCreated,errorLeadToShot,bigChanceMissed,attCmissHigh,attFastbreak,attHdGoal,attSvHighRight,ptsGainedLosingPos,goodHighClaim,hitWoodwork,clearanceOffLine,totalHighClaim,goalsConcededObox,attCmissRight,sixYardBlock,shieldBallOop,foulThrowIn,attGoalHighRight,attMissHighRight,attOboxGoal,contentiousDecision,attGoalHighLeft,goalAssistSetplay,attObxLeft,postScoringAtt,defenderGoals,attOboxPost,attPostRight,errorLeadToGoal,attOboxOwnGoal,ownGoals,attIboxPost,attPostLeft,attHdPost,attPostHigh,attOneOnOne,ptsDroppedWinningPos,winningGoal,keeperGoals,subsGoals,attObpGoal,attFreekickGoal,goalFastbreak,goalAssistDeadball,attIboxOwnGoal,attCmissHighRight,penaltySave,attLgCentre
27,2128555,2021-03-08 20:00:00,"London Stadium, London",,Away,Leeds United,West Ham United,0,2,L,0,2,0,0,,28.0,63.0,,2.0,2.0,33.0,11.0,6.0,11.0,3.0,154.0,,15.0,5.0,6.0,,,12.0,2.0,145.0,146.0,49.0,,17.0,3.0,17.0,2.0,,,3.0,20.0,11.0,11.0,6.0,50.0,188.0,0.0,114.0,9.0,2.0,,60.0,67.0,5.0,77.0,14.0,15.0,6.0,,7.0,3.0,146.0,8.0,152.0,721.0,11.0,6.0,24.0,10.0,423.0,21.0,2.0,6.0,,,1.0,5.0,23.0,509.0,51.0,1.0,87873,8.0,258.0,7.0,1.0,280.0,8.0,,15.0,6.0,44.0,1.0,1.0,8.0,,25.0,8.0,6.0,55.0,441.0,9.0,4.0,11.0,62.0,1.0,1.0,0.0,3.0,6.0,1.0,,2.0,2.0,0.0,4.0,,65.3,22.0,3.0,8.0,5.0,40.0,1.0,528.0,,10.0,,8.0,32.0,10.0,29.0,268.0,4.0,4.0,15.0,76.0,30.0,,2.0,6.0,19.0,2.0,15.0,3.0,12.0,2.0,7.0,2.0,,,12.0,,,1.0,2.0,,6.0,,,,,,1.0,7.0,,,1.0,,2.0,,1.0,2.0,,1.0,,1.0,1.0,6.0,1.0,7.0,6.0,,,,,,2.0,4.0,2.0,,2.0,,,,1.0,,1.0,,,1.0,,3.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
28,2128560,2021-03-13 12:30:00,"Elland Road, Leeds",,Home,Leeds United,Chelsea,0,0,D,0,0,0,0,,45.0,72.0,,2.0,2.0,18.0,14.0,3.0,4.0,8.0,133.0,,17.0,3.0,11.0,,1.0,5.0,4.0,64.0,152.0,37.0,,7.0,1.0,10.0,,,,,22.0,6.0,14.0,15.0,45.0,84.0,0.0,80.0,16.0,3.0,,34.0,44.0,5.0,62.0,14.0,24.0,3.0,,5.0,,152.0,9.0,71.0,545.0,4.0,4.0,14.0,19.0,225.0,25.0,3.0,6.0,,,3.0,5.0,21.0,313.0,40.0,,87873,4.0,160.0,8.0,,193.0,14.0,,24.0,8.0,54.0,,5.0,16.0,,21.0,6.0,7.0,45.0,241.0,6.0,11.0,10.0,53.0,,,0.0,,5.0,6.0,,,2.0,0.0,1.0,,37.7,20.0,6.0,16.0,3.0,29.0,,330.0,,19.0,,10.0,17.0,,24.0,159.0,4.0,12.0,7.0,48.0,24.0,,,6.0,13.0,,4.0,3.0,18.0,,11.0,1.0,,,2.0,,2.0,1.0,2.0,2.0,8.0,,,1.0,,1.0,,,,,1.0,,,,1.0,3.0,1.0,1.0,,,,8.0,2.0,,8.0,,2.0,1.0,,,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2128569,2021-03-19 20:00:00,"Craven Cottage, London",,Away,Leeds United,Fulham,2,1,W,1,1,0,0,,,67.0,1.0,2.0,,18.0,39.0,5.0,8.0,5.0,134.0,,,5.0,9.0,2.0,5.0,9.0,4.0,64.0,161.0,60.0,1.0,13.0,2.0,19.0,1.0,,1.0,2.0,19.0,16.0,39.0,3.0,36.0,106.0,0.0,109.0,12.0,3.0,1.0,55.0,44.0,3.0,48.0,13.0,16.0,5.0,1.0,3.0,3.0,161.0,11.0,73.0,573.0,4.0,4.0,22.0,9.0,208.0,20.0,1.0,18.0,2.0,,2.0,2.0,25.0,299.0,53.0,1.0,87873,3.0,119.0,10.0,,141.0,9.0,1.0,16.0,5.0,64.0,1.0,4.0,12.0,1.0,18.0,2.0,2.0,55.0,220.0,13.0,13.0,13.0,64.0,1.0,3.0,0.0,1.0,13.0,3.0,2.0,1.0,,0.0,1.0,2.0,48.8,21.0,1.0,13.0,2.0,26.0,,319.0,,9.0,,11.0,13.0,7.0,35.0,197.0,4.0,3.0,13.0,59.0,32.0,1.0,1.0,18.0,25.0,1.0,6.0,2.0,18.0,1.0,6.0,2.0,1.0,1.0,7.0,1.0,,1.0,2.0,,7.0,,,,,,2.0,6.0,,1.0,2.0,,,,3.0,4.0,1.0,2.0,2.0,3.0,,7.0,5.0,4.0,7.0,1.0,1.0,,1.0,,1.0,3.0,1.0,,,,1.0,,,,2.0,,,2.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
30,2128580,2021-04-03 15:00:00,"Elland Road, Leeds",,Home,Leeds United,Sheffield United,2,1,W,1,1,0,0,,34.0,75.0,,,5.0,28.0,12.0,10.0,13.0,,159.0,1.0,15.0,1.0,9.0,2.0,1.0,14.0,8.0,128.0,159.0,48.0,1.0,23.0,1.0,18.0,3.0,,1.0,2.0,16.0,12.0,12.0,4.0,50.0,182.0,0.0,162.0,12.0,,1.0,73.0,70.0,9.0,72.0,12.0,24.0,10.0,1.0,4.0,5.0,159.0,3.0,132.0,688.0,13.0,4.0,33.0,11.0,370.0,30.0,4.0,8.0,1.0,,1.0,4.0,21.0,470.0,56.0,,87873,4.0,206.0,7.0,,231.0,8.0,1.0,24.0,5.0,53.0,,1.0,5.0,1.0,20.0,6.0,4.0,50.0,387.0,11.0,6.0,15.0,57.0,,,0.0,1.0,7.0,,2.0,1.0,,0.0,,1.0,54.1,20.0,9.0,5.0,6.0,33.0,,491.0,,11.0,1.0,10.0,28.0,9.0,31.0,276.0,8.0,4.0,13.0,106.0,30.0,,1.0,8.0,15.0,1.0,19.0,3.0,16.0,1.0,14.0,5.0,1.0,,13.0,,1.0,,4.0,3.0,4.0,,4.0,1.0,,1.0,1.0,5.0,,,,1.0,3.0,,,3.0,,2.0,1.0,3.0,1.0,5.0,1.0,3.0,5.0,2.0,2.0,,2.0,,1.0,2.0,3.0,,2.0,1.0,2.0,,,,1.0,1.0,,1.0,,2.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
31,2128591,2021-04-10 12:30:00,"Etihad Stadium, Manchester",,Away,Leeds United,Manchester City,2,1,W,1,0,1,0,,25.0,54.0,1.0,4.0,,22.0,35.0,2.0,,6.0,109.0,1.0,9.0,1.0,8.0,2.0,1.0,2.0,2.0,54.0,119.0,47.0,,2.0,,12.0,,,2.0,,9.0,6.0,35.0,,32.0,62.0,0.0,55.0,15.0,2.0,2.0,18.0,36.0,2.0,42.0,6.0,12.0,2.0,,,,119.0,14.0,47.0,428.0,,4.0,7.0,8.0,161.0,29.0,2.0,21.0,2.0,,1.0,11.0,9.0,219.0,30.0,1.0,87873,,112.0,4.0,,138.0,10.0,2.0,12.0,17.0,52.0,1.0,3.0,7.0,2.0,15.0,15.0,3.0,57.0,173.0,12.0,17.0,11.0,51.0,,,0.0,2.0,9.0,2.0,,1.0,1.0,1.0,,2.0,28.9,6.0,1.0,8.0,,17.0,,252.0,,8.0,,1.0,17.0,,12.0,123.0,2.0,,11.0,32.0,10.0,,1.0,21.0,16.0,1.0,2.0,3.0,15.0,1.0,7.0,,,,,,,,,,3.0,,,2.0,,,,,,,1.0,,,,,,,,,,,3.0,1.0,,3.0,,,,,,1.0,,,,,,,,,,3.0,,,3.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2128600,2021-04-19 20:00:00,"Elland Road, Leeds",,Home,Leeds United,Liverpool,1,1,D,0,1,0,0,1.0,,62.0,,2.0,3.0,41.0,17.0,,12.0,6.0,149.0,,,4.0,12.0,1.0,2.0,10.0,5.0,146.0,141.0,60.0,,12.0,,10.0,,,,1.0,26.0,13.0,17.0,6.0,58.0,123.0,0.0,100.0,7.0,1.0,,50.0,51.0,7.0,81.0,17.0,20.0,,,8.0,,141.0,12.0,149.0,737.0,7.0,1.0,29.0,10.0,412.0,29.0,3.0,8.0,1.0,,2.0,4.0,18.0,495.0,49.0,2.0,87873,8.0,321.0,6.0,,354.0,5.0,,20.0,12.0,38.0,3.0,,8.0,,17.0,5.0,11.0,74.0,440.0,14.0,7.0,15.0,55.0,,1.0,0.0,2.0,8.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,61.9,18.0,5.0,8.0,3.0,30.0,,525.0,,10.0,,7.0,38.0,4.0,37.0,197.0,4.0,5.0,11.0,65.0,20.0,,2.0,8.0,23.0,1.0,8.0,3.0,20.0,2.0,7.0,2.0,,1.0,5.0,,2.0,,4.0,,9.0,,,3.0,,,,3.0,1.0,1.0,1.0,,1.0,,2.0,3.0,1.0,3.0,1.0,2.0,,10.0,2.0,3.0,10.0,,3.0,,,,2.0,1.0,5.0,2.0,6.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,
33,2128609,2021-04-25 14:00:00,"Elland Road, Leeds",,Home,Leeds United,Manchester United,0,0,D,0,0,0,0,,32.0,72.0,,3.0,2.0,18.0,17.0,3.0,3.0,4.0,132.0,,12.0,2.0,6.0,,2.0,5.0,3.0,99.0,137.0,53.0,,6.0,,13.0,1.0,1.0,,,13.0,17.0,17.0,3.0,48.0,97.0,0.0,77.0,21.0,2.0,,45.0,43.0,5.0,54.0,11.0,11.0,3.0,,2.0,1.0,137.0,9.0,100.0,571.0,4.0,2.0,14.0,8.0,287.0,44.0,2.0,11.0,,1.0,4.0,5.0,18.0,367.0,29.0,,87873,1.0,204.0,7.0,,236.0,12.0,,11.0,8.0,68.0,,2.0,8.0,,17.0,7.0,6.0,52.0,299.0,11.0,18.0,8.0,53.0,,,0.0,1.0,6.0,1.0,,,,0.0,1.0,,44.2,14.0,4.0,8.0,2.0,21.0,,385.0,,8.0,,10.0,19.0,1.0,15.0,162.0,1.0,3.0,6.0,49.0,16.0,,5.0,11.0,30.0,,5.0,3.0,12.0,5.0,6.0,2.0,,,4.0,,1.0,,1.0,2.0,2.0,,,2.0,,,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,1.0,2.0,1.0,,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,2.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2128616,2021-05-01 15:00:00,"American Express Stadium, Falmer",,Away,Leeds United,Brighton and Hove Albion,0,2,L,0,1,0,0,,23.0,52.0,,1.0,3.0,23.0,13.0,4.0,6.0,3.0,151.0,,8.0,4.0,14.0,,3.0,7.0,2.0,113.0,143.0,58.0,,11.0,1.0,17.0,1.0,,,1.0,29.0,11.0,13.0,5.0,44.0,167.0,0.0,116.0,6.0,1.0,,58.0,79.0,4.0,65.0,22.0,17.0,5.0,,6.0,4.0,143.0,12.0,137.0,668.0,6.0,4.0,12.0,7.0,358.0,22.0,2.0,4.0,,,1.0,4.0,28.0,433.0,47.0,,87873,4.0,222.0,13.0,1.0,254.0,3.0,,17.0,13.0,47.0,,1.0,7.0,,19.0,5.0,9.0,48.0,385.0,15.0,13.0,4.0,56.0,,,0.0,3.0,2.0,2.0,,2.0,,0.0,3.0,,58.1,25.0,4.0,7.0,4.0,31.0,1.0,466.0,1.0,7.0,,4.0,22.0,5.0,32.0,241.0,4.0,3.0,13.0,86.0,19.0,,,4.0,17.0,2.0,8.0,3.0,21.0,,5.0,1.0,,,6.0,,,,2.0,,7.0,,,3.0,,1.0,,3.0,,,1.0,,2.0,,1.0,3.0,,1.0,,,1.0,9.0,1.0,1.0,9.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
35,2128629,2021-05-08 12:30:00,"Elland Road, Leeds",,Home,Leeds United,Tottenham Hotspur,3,1,W,2,1,0,0,,48.0,75.0,1.0,,2.0,18.0,21.0,4.0,12.0,2.0,163.0,1.0,23.0,6.0,8.0,3.0,3.0,15.0,7.0,97.0,146.0,60.0,,16.0,2.0,13.0,2.0,,2.0,1.0,28.0,10.0,21.0,3.0,47.0,160.0,0.0,136.0,12.0,1.0,1.0,76.0,52.0,10.0,72.0,22.0,22.0,4.0,,8.0,2.0,146.0,7.0,110.0,656.0,12.0,5.0,30.0,13.0,336.0,29.0,2.0,13.0,2.0,,1.0,3.0,21.0,423.0,47.0,,87873,6.0,198.0,11.0,,222.0,6.0,1.0,22.0,6.0,51.0,,1.0,5.0,3.0,17.0,4.0,5.0,42.0,352.0,10.0,11.0,10.0,60.0,,,0.0,,6.0,2.0,3.0,1.0,1.0,0.0,4.0,2.0,53.3,20.0,7.0,5.0,4.0,33.0,,442.0,,13.0,,8.0,23.0,5.0,35.0,248.0,9.0,3.0,22.0,103.0,34.0,1.0,3.0,13.0,20.0,1.0,14.0,3.0,15.0,3.0,9.0,1.0,3.0,,6.0,2.0,3.0,1.0,4.0,,6.0,,,3.0,,,2.0,5.0,1.0,,2.0,,1.0,,1.0,2.0,1.0,1.0,,1.0,2.0,8.0,2.0,3.0,8.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
36,2128637,2021-05-15 12:30:00,"Turf Moor, Burnley",,Away,Leeds United,Burnley,4,0,W,1,0,0,0,,27.0,69.0,,1.0,1.0,26.0,23.0,7.0,9.0,4.0,157.0,2.0,10.0,3.0,4.0,4.0,1.0,11.0,6.0,110.0,152.0,40.0,,16.0,4.0,26.0,2.0,1.0,3.0,,21.0,6.0,23.0,2.0,55.0,132.0,0.0,103.0,10.0,,1.0,50.0,58.0,10.0,59.0,15.0,6.0,7.0,,7.0,1.0,152.0,11.0,114.0,611.0,7.0,1.0,20.0,8.0,318.0,35.0,2.0,15.0,4.0,1.0,1.0,4.0,12.0,416.0,41.0,1.0,87873,5.0,207.0,7.0,,257.0,5.0,2.0,6.0,11.0,53.0,1.0,6.0,12.0,3.0,12.0,5.0,6.0,73.0,336.0,10.0,5.0,21.0,54.0,,1.0,0.0,,6.0,3.0,3.0,,,0.0,1.0,2.0,51.8,12.0,1.0,12.0,5.0,25.0,,440.0,,8.0,,8.0,19.0,5.0,33.0,204.0,3.0,2.0,17.0,73.0,19.0,1.0,1.0,15.0,11.0,,12.0,3.0,8.0,1.0,4.0,2.0,2.0,2.0,12.0,2.0,,,1.0,1.0,6.0,,,1.0,,,1.0,1.0,,,,,1.0,,,4.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,4.0,8.0,,,1.0,,,1.0,3.0,3.0,1.0,1.0,,,,,,2.0,,,2.0,,2.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
37,2128653,2021-05-18 18:00:00,"St. Mary's Stadium, Southampton",7291.0,Away,Leeds United,Southampton,2,0,W,0,0,0,0,,28.0,58.0,,1.0,,28.0,14.0,8.0,7.0,3.0,144.0,,15.0,2.0,7.0,2.0,,11.0,7.0,91.0,150.0,67.0,,15.0,2.0,10.0,,,1.0,1.0,12.0,20.0,14.0,2.0,36.0,110.0,0.0,72.0,12.0,1.0,,44.0,38.0,5.0,35.0,8.0,21.0,8.0,,4.0,4.0,150.0,6.0,105.0,588.0,9.0,1.0,19.0,15.0,260.0,28.0,4.0,5.0,1.0,,3.0,4.0,32.0,348.0,38.0,2.0,87873,4.0,172.0,4.0,,211.0,9.0,1.0,21.0,13.0,54.0,3.0,1.0,5.0,2.0,13.0,12.0,8.0,57.0,280.0,9.0,9.0,13.0,58.0,,2.0,0.0,2.0,4.0,2.0,2.0,,1.0,0.0,1.0,1.0,48.7,28.0,,6.0,2.0,34.0,,375.0,,15.0,,13.0,18.0,6.0,21.0,176.0,3.0,1.0,16.0,41.0,23.0,1.0,1.0,5.0,35.0,,13.0,3.0,17.0,1.0,5.0,4.0,2.0,2.0,11.0,1.0,1.0,,3.0,2.0,4.0,,,,,,2.0,6.0,,,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,,4.0,1.0,2.0,5.0,3.0,3.0,1.0,3.0,1.0,4.0,2.0,1.0,,,,3.0,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
38,2128659,2021-05-23 16:00:00,"Elland Road, Leeds",8000.0,Home,Leeds United,West Bromwich Albion,3,1,W,2,0,0,0,,27.0,65.0,1.0,2.0,3.0,29.0,11.0,8.0,9.0,4.0,175.0,1.0,20.0,6.0,7.0,3.0,4.0,12.0,9.0,128.0,139.0,56.0,1.0,17.0,2.0,10.0,,,,,17.0,14.0,11.0,6.0,38.0,205.0,0.0,139.0,12.0,3.0,1.0,47.0,59.0,9.0,73.0,10.0,11.0,8.0,1.0,2.0,3.0,139.0,7.0,123.0,685.0,10.0,2.0,29.0,8.0,388.0,28.0,2.0,7.0,1.0,,2.0,3.0,19.0,475.0,54.0,1.0,87873,7.0,213.0,7.0,,244.0,8.0,1.0,11.0,8.0,51.0,1.0,3.0,4.0,,18.0,7.0,8.0,49.0,412.0,11.0,10.0,8.0,61.0,,1.0,0.0,,3.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,64.4,18.0,5.0,4.0,5.0,48.0,,499.0,,8.0,,3.0,22.0,3.0,45.0,272.0,11.0,5.0,17.0,97.0,26.0,1.0,,7.0,21.0,,11.0,3.0,23.0,,5.0,1.0,2.0,,4.0,1.0,4.0,,4.0,2.0,7.0,1.0,,1.0,,1.0,,3.0,,,1.0,,1.0,1.0,1.0,4.0,,2.0,,,2.0,8.0,3.0,,8.0,1.0,2.0,,1.0,,2.0,1.0,1.0,,,,1.0,1.0,2.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,
