gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,attBxRight,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attObxdLeft,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,savedObox,freekickCross,goodHighClaim,interceptionsInBox,bigChanceMissed,attSetpiece,penaltyConceded,punches,goalsConceded,penaltyFaced,totalHighClaim,penGoalsConceded,goalsConcededIbox,attGoalLowLeft,penaltyWon,ptsGainedLosingPos,contentiousDecision,accurateFreekickCross,attPenGoal,attBxLeft,attLfGoal,attRfTarget,attIboxTarget,attSvLowCentre,attOboxTarget,attGoalHighCentre,attHdTarget,attSvLowRight,shieldBallOop,penaltySave,attLfTarget,attSvLowLeft,foulThrowIn,clearanceOffLine,ptsDroppedWinningPos,goalsConcededObox,attOboxGoal,sixYardBlock,defenderGoals,attFreekickGoal,attGoalLowCentre,attMissHighLeft,accurateThroughBall,totalThroughBall,attSvHighRight,errorLeadToGoal,postScoringAtt,attSvHighLeft,attLgCentre,hitWoodwork,errorLeadToShot,ownGoals,attOboxPost,attPostHigh,attIboxOwnGoal,goalFastbreak,attOneOnOne,attFreekickTarget,attSvHighCentre,attGoalHighRight,winningGoal,keeperGoals,subsGoals,attObpGoal,attHdGoal,goalAssistSetplay,goalAssistDeadball,attFreekickMiss,attCmissHigh,secondYellow,attLgLeft,attIboxPost,attCmissHighLeft,accurateKeeperSweeper,attPostLeft,totalKeeperSweeper,attPostRight,attObxdRight,attPenTarget,attFreekickPost,attObxRight
27,2128554,2021-03-07 12:00:00,"The Hawthorns, West Bromwich",,Away,Newcastle United,West Bromwich Albion,0,0,D,0,0,0,0,,34.0,61.0,,2.0,19.0,30.0,2.0,2.0,7.0,3.0,183.0,18.0,2.0,4.0,,1.0,7.0,,5.0,68.0,176.0,59.0,,9.0,,35.0,2.0,1.0,,,20.0,9.0,30.0,6.0,5.0,40.0,85.0,2.0,1.0,0.0,95.0,10.0,2.0,2.0,,48.0,51.0,5.0,41.0,,14.0,21.0,2.0,,2.0,1.0,176.0,,8.0,73.0,561.0,4.0,5.0,19.0,11.0,226.0,33.0,8.0,14.0,,0.0,4.0,2.0,25.0,336.0,49.0,90105,6.0,163.0,12.0,202.0,6.0,,,,21.0,15.0,69.0,1.0,5.0,,17.0,5.0,10.0,,65.0,246.0,11.0,13.0,3.0,28.0,2.0,77.0,2.0,,,0.0,2.0,9.0,2.0,,1.0,,0.0,1.0,,3.0,47.2,17.0,1.0,,5.0,2.0,27.0,7.0,365.0,11.0,7.0,12.0,2.0,30.0,1.0,1.0,183.0,4.0,4.0,27.0,49.0,22.0,,3.0,14.0,17.0,5.0,2.0,8.0,3.0,5.0,7.0,,1.0,,3.0,3.0,,2.0,,1.0,,,3.0,,,,,,,,,,,3.0,4.0,2.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2128563,2021-03-12 20:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Aston Villa,1,1,D,0,0,0,0,1.0,25.0,66.0,,3.0,30.0,18.0,3.0,2.0,9.0,6.0,165.0,15.0,8.0,11.0,1.0,2.0,11.0,1.0,3.0,71.0,164.0,63.0,,12.0,2.0,29.0,,2.0,1.0,,27.0,12.0,18.0,2.0,4.0,50.0,171.0,,,0.0,137.0,10.0,,,,70.0,60.0,7.0,59.0,3.0,25.0,19.0,3.0,,12.0,,164.0,2.0,8.0,97.0,595.0,9.0,3.0,23.0,10.0,264.0,23.0,5.0,8.0,1.0,2.0,5.0,4.0,23.0,365.0,55.0,90105,4.0,119.0,12.0,147.0,2.0,,,,19.0,9.0,64.0,,1.0,1.0,12.0,8.0,6.0,,69.0,282.0,9.0,10.0,1.0,20.0,1.0,71.0,,1.0,,0.0,,2.0,3.0,1.0,1.0,,0.0,7.0,1.0,3.0,49.2,16.0,2.0,3.0,1.0,5.0,34.0,2.0,392.0,10.0,10.0,24.0,4.0,39.0,1.0,3.0,272.0,7.0,4.0,23.0,90.0,33.0,,2.0,8.0,20.0,11.0,3.0,17.0,2.0,10.0,2.0,1.0,3.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,,,2.0,,2.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,
29,2128566,2021-03-20 20:00:00,"American Express Stadium, Falmer",,Away,Newcastle United,Brighton and Hove Albion,0,3,L,0,1,0,0,,17.0,54.0,,,31.0,15.0,1.0,,2.0,3.0,133.0,11.0,1.0,8.0,,,3.0,,1.0,88.0,116.0,43.0,,3.0,,10.0,,1.0,,,5.0,6.0,15.0,1.0,3.0,41.0,115.0,,,0.0,80.0,5.0,2.0,,,59.0,50.0,1.0,73.0,1.0,4.0,13.0,1.0,,1.0,,116.0,,8.0,88.0,532.0,3.0,5.0,4.0,16.0,287.0,21.0,6.0,3.0,,1.0,4.0,2.0,19.0,360.0,42.0,90105,,190.0,3.0,213.0,4.0,,,,13.0,4.0,43.0,1.0,7.0,,13.0,3.0,1.0,,60.0,304.0,12.0,12.0,,18.0,1.0,61.0,,,,0.0,3.0,3.0,2.0,,1.0,,0.0,1.0,,1.0,34.7,18.0,1.0,,7.0,,38.0,1.0,382.0,16.0,7.0,21.0,2.0,10.0,,1.0,174.0,2.0,3.0,13.0,52.0,24.0,,,3.0,11.0,2.0,3.0,17.0,,5.0,1.0,,1.0,,,8.0,,,,,3.0,,,,1.0,,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,2.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,2.0,1.0,,,,
30,2128583,2021-04-04 14:05:00,"St. James' Park, Newcastle",,Home,Newcastle United,Tottenham Hotspur,2,2,D,1,2,0,0,2.0,32.0,56.0,1.0,7.0,34.0,19.0,5.0,10.0,17.0,2.0,126.0,16.0,8.0,11.0,2.0,1.0,11.0,1.0,6.0,83.0,145.0,53.0,,22.0,2.0,23.0,,2.0,1.0,3.0,28.0,4.0,19.0,7.0,5.0,57.0,140.0,,,0.0,122.0,13.0,1.0,,,48.0,66.0,8.0,55.0,3.0,22.0,16.0,5.0,,10.0,2.0,145.0,4.0,7.0,84.0,547.0,7.0,5.0,34.0,5.0,236.0,25.0,3.0,11.0,1.0,3.0,3.0,3.0,20.0,319.0,71.0,83314,10.0,125.0,11.0,148.0,8.0,,1.0,,16.0,9.0,65.0,1.0,5.0,2.0,12.0,4.0,7.0,1.0,79.0,257.0,14.0,15.0,3.0,17.0,4.0,63.0,,1.0,1.0,0.0,2.0,3.0,3.0,2.0,,,0.0,6.0,1.0,4.0,41.2,15.0,,3.0,5.0,9.0,27.0,7.0,348.0,5.0,3.0,27.0,7.0,38.0,2.0,5.0,228.0,8.0,5.0,17.0,72.0,23.0,1.0,,11.0,11.0,17.0,3.0,22.0,,7.0,7.0,,,1.0,,2.0,4.0,1.0,,,2.0,,,,2.0,,,1.0,,,,1.0,1.0,,3.0,,1.0,,1.0,,,,3.0,3.0,,1.0,2.0,,,2.0,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
31,2128587,2021-04-11 12:00:00,"Turf Moor, Burnley",,Away,Newcastle United,Burnley,2,1,W,0,1,0,0,,30.0,65.0,1.0,3.0,26.0,41.0,,4.0,10.0,4.0,170.0,14.0,7.0,5.0,2.0,1.0,8.0,1.0,5.0,61.0,163.0,54.0,,10.0,,24.0,,1.0,2.0,,18.0,5.0,41.0,2.0,5.0,42.0,114.0,1.0,,0.0,77.0,12.0,3.0,,,52.0,66.0,7.0,46.0,1.0,16.0,15.0,,,5.0,,163.0,2.0,17.0,65.0,553.0,5.0,,19.0,9.0,217.0,40.0,6.0,21.0,2.0,0.0,6.0,1.0,24.0,321.0,50.0,83314,7.0,121.0,10.0,162.0,10.0,,1.0,,15.0,8.0,49.0,2.0,7.0,2.0,19.0,7.0,3.0,,78.0,228.0,11.0,2.0,1.0,26.0,1.0,73.0,,,,0.0,,13.0,2.0,2.0,,,0.0,7.0,1.0,3.0,42.9,20.0,,,8.0,3.0,26.0,3.0,342.0,9.0,4.0,15.0,2.0,19.0,,2.0,198.0,3.0,5.0,28.0,43.0,14.0,,3.0,21.0,10.0,8.0,3.0,13.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,,2.0,1.0,,4.0,1.0,,2.0,,1.0,1.0,,3.0,1.0,1.0,,1.0,1.0,,3.0,2.0,,,1.0,,,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2128603,2021-04-17 12:30:00,"St. James' Park, Newcastle",,Home,Newcastle United,West Ham United,3,2,W,2,0,0,1,1.0,35.0,50.0,,1.0,20.0,33.0,9.0,2.0,7.0,4.0,126.0,20.0,1.0,10.0,3.0,2.0,13.0,,8.0,53.0,111.0,44.0,,16.0,6.0,9.0,4.0,,1.0,,9.0,10.0,33.0,3.0,5.0,28.0,72.0,,,0.0,51.0,9.0,1.0,4.0,,40.0,22.0,12.0,41.0,1.0,6.0,17.0,9.0,,1.0,1.0,111.0,2.0,8.0,52.0,466.0,11.0,,13.0,11.0,191.0,21.0,3.0,19.0,1.0,2.0,6.0,1.0,16.0,255.0,27.0,83314,4.0,133.0,4.0,166.0,4.0,,1.0,,17.0,8.0,41.0,2.0,7.0,1.0,17.0,8.0,5.0,,44.0,204.0,7.0,13.0,1.0,13.0,1.0,43.0,4.0,,,0.0,2.0,8.0,4.0,3.0,,,0.0,1.0,1.0,2.0,34.6,14.0,,2.0,7.0,7.0,21.0,3.0,272.0,11.0,4.0,13.0,1.0,13.0,,,115.0,12.0,1.0,12.0,37.0,19.0,1.0,3.0,19.0,16.0,13.0,3.0,17.0,3.0,10.0,3.0,1.0,,1.0,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,,,,,1.0,,5.0,4.0,4.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
33,2128611,2021-04-24 12:30:00,"Anfield, Liverpool",,Away,Newcastle United,Liverpool,1,1,D,0,1,0,0,,33.0,66.0,1.0,1.0,35.0,15.0,1.0,3.0,6.0,8.0,135.0,20.0,4.0,14.0,1.0,,6.0,,4.0,79.0,130.0,48.0,,7.0,1.0,8.0,,1.0,1.0,,16.0,5.0,15.0,3.0,6.0,46.0,93.0,,,0.0,69.0,7.0,5.0,,,39.0,34.0,5.0,52.0,,13.0,19.0,1.0,,6.0,,130.0,2.0,13.0,84.0,558.0,4.0,5.0,18.0,12.0,261.0,38.0,4.0,7.0,1.0,1.0,5.0,1.0,19.0,325.0,48.0,83314,4.0,193.0,7.0,217.0,4.0,,1.0,,19.0,13.0,45.0,4.0,7.0,1.0,16.0,9.0,10.0,1.0,66.0,282.0,9.0,10.0,1.0,15.0,,57.0,,,,0.0,5.0,6.0,5.0,1.0,3.0,,0.0,3.0,1.0,1.0,31.5,16.0,1.0,3.0,8.0,2.0,31.0,3.0,350.0,12.0,10.0,23.0,1.0,23.0,1.0,1.0,149.0,3.0,3.0,9.0,36.0,13.0,,1.0,7.0,15.0,6.0,3.0,25.0,1.0,12.0,3.0,1.0,3.0,,,2.0,2.0,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,,,1.0,,,3.0,3.0,,,,,1.0,,3.0,,,,,,,,,,,,2.0,5.0,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
34,2128622,2021-05-02 14:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Arsenal,0,2,L,0,1,1,0,,24.0,41.0,,,28.0,13.0,2.0,,3.0,2.0,123.0,7.0,3.0,14.0,,2.0,5.0,,1.0,95.0,88.0,46.0,,5.0,1.0,11.0,,,,,20.0,6.0,13.0,3.0,3.0,31.0,116.0,1.0,,0.0,74.0,10.0,1.0,,,38.0,46.0,2.0,72.0,1.0,17.0,7.0,2.0,,8.0,1.0,88.0,,12.0,106.0,539.0,3.0,1.0,8.0,7.0,326.0,22.0,3.0,4.0,,2.0,5.0,3.0,13.0,377.0,38.0,83314,3.0,232.0,6.0,248.0,7.0,,,,7.0,9.0,34.0,1.0,4.0,,10.0,7.0,9.0,1.0,52.0,345.0,9.0,8.0,2.0,13.0,1.0,50.0,,,,0.0,1.0,7.0,2.0,,,,1.0,1.0,,2.0,38.6,11.0,2.0,1.0,4.0,1.0,28.0,3.0,396.0,7.0,2.0,17.0,3.0,26.0,2.0,2.0,168.0,3.0,3.0,12.0,52.0,14.0,,,4.0,12.0,3.0,3.0,18.0,,4.0,3.0,,1.0,3.0,1.0,1.0,,1.0,,,2.0,,1.0,,2.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
35,2128630,2021-05-07 20:00:00,"King Power Stadium, Leicester",,Away,Newcastle United,Leicester City,4,2,W,2,0,0,0,4.0,,58.0,2.0,1.0,20.0,38.0,4.0,5.0,9.0,7.0,128.0,,3.0,13.0,4.0,4.0,6.0,1.0,6.0,50.0,120.0,47.0,2.0,14.0,3.0,18.0,3.0,1.0,,1.0,14.0,5.0,38.0,5.0,1.0,33.0,92.0,,,0.0,56.0,9.0,3.0,3.0,1.0,43.0,35.0,4.0,40.0,2.0,9.0,13.0,5.0,2.0,3.0,1.0,120.0,3.0,17.0,56.0,469.0,4.0,5.0,15.0,6.0,179.0,21.0,3.0,25.0,1.0,1.0,9.0,2.0,15.0,252.0,34.0,83314,6.0,106.0,4.0,127.0,5.0,,1.0,1.0,13.0,8.0,56.0,1.0,6.0,3.0,11.0,8.0,6.0,,52.0,195.0,11.0,16.0,1.0,12.0,2.0,62.0,3.0,1.0,,0.0,2.0,9.0,6.0,4.0,1.0,,0.0,1.0,1.0,2.0,31.7,12.0,1.0,5.0,6.0,4.0,28.0,6.0,274.0,6.0,8.0,11.0,4.0,19.0,2.0,2.0,161.0,7.0,1.0,14.0,30.0,23.0,2.0,,25.0,9.0,7.0,3.0,18.0,,6.0,6.0,,1.0,2.0,,,2.0,3.0,,,2.0,,,,2.0,,,,,1.0,,,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,2.0,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,1.0,1.0,,,
36,2128643,2021-05-14 20:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Manchester City,3,4,L,2,2,0,0,2.0,25.0,47.0,,3.0,9.0,21.0,1.0,2.0,10.0,2.0,92.0,12.0,5.0,7.0,3.0,3.0,6.0,,5.0,39.0,105.0,40.0,1.0,11.0,,9.0,1.0,3.0,,,11.0,5.0,21.0,4.0,3.0,20.0,57.0,1.0,,0.0,41.0,11.0,1.0,1.0,1.0,17.0,17.0,4.0,29.0,,7.0,11.0,1.0,1.0,3.0,,105.0,,7.0,35.0,353.0,5.0,4.0,20.0,7.0,118.0,28.0,,12.0,1.0,2.0,2.0,2.0,10.0,175.0,21.0,83314,6.0,80.0,3.0,106.0,5.0,,1.0,,11.0,9.0,53.0,,2.0,,12.0,8.0,5.0,1.0,33.0,132.0,10.0,13.0,,8.0,1.0,42.0,1.0,,,0.0,,5.0,,3.0,2.0,,0.0,4.0,1.0,2.0,17.9,7.0,1.0,,2.0,3.0,22.0,4.0,195.0,7.0,13.0,10.0,3.0,18.0,1.0,2.0,100.0,7.0,2.0,10.0,23.0,13.0,1.0,2.0,12.0,13.0,6.0,3.0,15.0,2.0,7.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,1.0,4.0,,2.0,,4.0,2.0,2.0,,1.0,,1.0,,1.0,2.0,2.0,,,1.0,,1.0,1.0,,,1.0,,,3.0,,,,1.0,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,
37,2128652,2021-05-19 18:00:00,"St. James' Park, Newcastle",10000.0,Home,Newcastle United,Sheffield United,1,0,W,1,0,0,0,1.0,24.0,47.0,1.0,1.0,28.0,20.0,7.0,5.0,8.0,1.0,155.0,10.0,6.0,24.0,1.0,3.0,12.0,,5.0,120.0,108.0,55.0,2.0,16.0,1.0,14.0,,,1.0,3.0,15.0,1.0,20.0,5.0,5.0,28.0,171.0,1.0,1.0,0.0,81.0,7.0,,,1.0,63.0,46.0,7.0,69.0,1.0,10.0,14.0,8.0,2.0,3.0,5.0,108.0,3.0,6.0,143.0,678.0,8.0,5.0,18.0,6.0,412.0,27.0,7.0,12.0,1.0,0.0,1.0,5.0,27.0,464.0,32.0,83314,6.0,269.0,7.0,296.0,5.0,,,,14.0,10.0,44.0,2.0,3.0,1.0,22.0,5.0,9.0,1.0,48.0,434.0,7.0,7.0,3.0,15.0,2.0,56.0,,,1.0,0.0,,2.0,1.0,1.0,3.0,,0.0,3.0,1.0,7.0,50.9,22.0,4.0,2.0,3.0,2.0,40.0,5.0,487.0,6.0,6.0,11.0,9.0,21.0,3.0,4.0,206.0,4.0,5.0,16.0,64.0,13.0,,1.0,12.0,8.0,10.0,3.0,35.0,1.0,3.0,5.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,,2.0,,,,1.0,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,1.0,1.0,,1.0,,,,,1.0
38,2128658,2021-05-23 16:00:00,"Craven Cottage, London",2000.0,Away,Newcastle United,Fulham,2,0,W,1,0,0,0,1.0,28.0,47.0,,,23.0,30.0,5.0,4.0,5.0,,122.0,15.0,2.0,,2.0,3.0,6.0,,4.0,73.0,113.0,35.0,,10.0,3.0,7.0,1.0,,,2.0,11.0,5.0,30.0,4.0,7.0,47.0,88.0,,1.0,0.0,65.0,6.0,,1.0,1.0,45.0,29.0,4.0,54.0,,7.0,11.0,5.0,,2.0,1.0,113.0,1.0,8.0,84.0,517.0,5.0,3.0,14.0,10.0,251.0,22.0,4.0,13.0,,0.0,7.0,2.0,22.0,311.0,33.0,83314,4.0,184.0,3.0,205.0,2.0,,2.0,,11.0,11.0,38.0,,8.0,1.0,11.0,6.0,9.0,1.0,46.0,270.0,12.0,7.0,1.0,8.0,1.0,56.0,1.0,,1.0,0.0,,5.0,,2.0,1.0,,0.0,2.0,,1.0,35.7,12.0,1.0,3.0,10.0,3.0,29.0,4.0,333.0,10.0,7.0,23.0,3.0,19.0,,2.0,139.0,5.0,5.0,10.0,40.0,9.0,,3.0,13.0,13.0,7.0,3.0,11.0,3.0,8.0,4.0,,,2.0,1.0,,1.0,1.0,,1.0,,,1.0,,,2.0,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,
