gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,redCard,overrun,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,successfulPutThrough,wonCorners,penaltySave,attLfTarget,saves,attFreekickTotal,goalAssistOpenplay,attMissLeft,attMissHighRight,cleanSheet,divingSave,attSvLowLeft,attMissRight,freekickTotal,bigChanceMissed,penaltyConceded,attRfGoal,attCmissHighLeft,goalsOpenplay,accurateGoalKicks,attSvLowRight,attCmissLeft,lostCorners,savedIbox,attCmissHighRight,accurateCrossNocorner,penaltyFaced,attFreekickMiss,attCmissRight,accurateKeeperSweeper,ptsGainedLosingPos,hitWoodwork,totalKeeperSweeper,accurateThroughBall,foulThrowIn,attSvHighCentre,effectiveBlockedCross,blockedCross,goalsConcededObox,attGoalLowRight,savedObox,attOneOnOne,attSvHighLeft,contentiousDecision,attHdTarget,handBall,attGoalHighLeft,attFreekickTarget,ptsDroppedWinningPos,attLgRight,postScoringAtt,attIboxPost,midfielderGoals,accurateFreekickCross,attObxdLeft,punches,penGoalsConceded,attPostRight,errorLeadToShot,attCmissHigh,attPostLeft,attHdPost,shieldBallOop,goalFastbreak,attOboxGoal,winningGoal,keeperGoals,subsGoals,ownGoals,attObpGoal,attFreekickGoal,clearanceOffLine,attSvHighRight,attPostHigh,accuratePullBack,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals
27,2128550,2021-03-07 14:00:00,"Anfield, Liverpool",,Home,Liverpool,Fulham,0,1,L,0,1,0,0,,26.0,63.0,,2.0,,,16.0,13.0,6.0,9.0,10.0,,1.0,201.0,,11.0,8.0,7.0,,1.0,12.0,3.0,218.0,171.0,43.0,16.0,,16.0,2.0,,1.0,2.0,38.0,10.0,,1.0,13.0,9.0,7.0,54.0,366.0,,0.0,246.0,10.0,,,1.0,80.0,124.0,4.0,76.0,,29.0,18.0,6.0,,11.0,5.0,171.0,,9.0,213.0,893.0,10.0,4.0,27.0,9.0,577.0,23.0,2.0,1.0,9.0,,2.0,2.0,8.0,22.0,690.0,81.0,81880,7.0,236.0,18.0,,,259.0,7.0,1.0,18.0,8.0,49.0,1.0,,3.0,4.0,5.0,1.0,4.0,,43.0,594.0,6.0,8.0,2.0,9.0,4.0,75.0,,0.0,4.0,,1.0,2.0,0.0,,4.0,63.1,22.0,2.0,8.0,1.0,4.0,2.0,42.0,9.0,1.0,708.0,9.0,10.0,20.0,11.0,45.0,2.0,5.0,487.0,3.0,7.0,17.0,182.0,28.0,,9.0,13.0,,1.0,11.0,3.0,12.0,1.0,6.0,9.0,,2.0,2.0,1.0,,1.0,,,1.0,,3.0,1.0,,,,1.0,,8.0,,,4.0,1.0,,6.0,,1.0,1.0,,,1.0,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,
28,2128565,2021-03-15 20:00:00,"Molineux Stadium, Wolverhampton",,Away,Liverpool,Wolverhampton Wanderers,1,0,W,1,0,0,0,,34.0,76.0,1.0,2.0,,,16.0,26.0,3.0,4.0,9.0,1.0,3.0,158.0,,20.0,3.0,10.0,1.0,3.0,12.0,4.0,122.0,159.0,59.0,12.0,1.0,24.0,2.0,,1.0,,12.0,9.0,,1.0,26.0,2.0,3.0,49.0,172.0,,0.0,136.0,10.0,,3.0,,63.0,65.0,7.0,69.0,1.0,10.0,21.0,3.0,,2.0,1.0,159.0,1.0,8.0,118.0,667.0,9.0,1.0,29.0,14.0,336.0,28.0,,2.0,13.0,1.0,1.0,3.0,5.0,15.0,445.0,53.0,81880,5.0,185.0,5.0,,2.0,216.0,10.0,,21.0,3.0,63.0,1.0,,1.0,7.0,15.0,2.0,1.0,,49.0,354.0,16.0,11.0,2.0,16.0,,70.0,,0.0,2.0,1.0,,,0.0,1.0,3.0,47.3,14.0,3.0,2.0,2.0,7.0,3.0,39.0,2.0,1.0,467.0,14.0,8.0,19.0,5.0,23.0,,4.0,263.0,5.0,3.0,19.0,86.0,36.0,1.0,13.0,14.0,,,10.0,3.0,20.0,,9.0,2.0,,,5.0,,1.0,2.0,,1.0,1.0,2.0,2.0,,1.0,,,,1.0,2.0,1.0,1.0,3.0,3.0,,3.0,,,1.0,,,,,1.0,,,2.0,2.0,,,2.0,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
29,2128570,2021-03-04 20:15:00,"Anfield, Liverpool",,Home,Liverpool,Chelsea,0,1,L,0,1,0,0,,27.0,67.0,,,,,33.0,14.0,3.0,2.0,4.0,,,177.0,,13.0,2.0,19.0,,1.0,7.0,1.0,190.0,147.0,51.0,7.0,2.0,9.0,1.0,,,,15.0,6.0,,,14.0,4.0,5.0,69.0,289.0,,0.0,187.0,9.0,,1.0,,71.0,102.0,2.0,108.0,,11.0,13.0,3.0,,6.0,1.0,147.0,1.0,7.0,181.0,853.0,5.0,2.0,23.0,12.0,554.0,22.0,,,6.0,,0.0,2.0,4.0,30.0,637.0,81.0,92217,3.0,284.0,4.0,,,296.0,6.0,,13.0,4.0,45.0,1.0,,1.0,6.0,23.0,4.0,,,56.0,571.0,8.0,8.0,1.0,5.0,1.0,77.0,,0.0,3.0,,1.0,,0.0,,3.0,54.2,27.0,2.0,6.0,1.0,6.0,2.0,49.0,5.0,,656.0,12.0,9.0,30.0,4.0,42.0,1.0,3.0,375.0,2.0,4.0,10.0,135.0,32.0,,6.0,14.0,,1.0,6.0,3.0,29.0,,8.0,5.0,,,3.0,,,1.0,,,,,3.0,,1.0,,,,,4.0,,,2.0,4.0,,1.0,,,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
30,2128576,2021-04-03 20:00:00,"Emirates Stadium, London",,Away,Liverpool,Arsenal,3,0,W,0,0,0,0,3.0,24.0,63.0,1.0,1.0,,,28.0,10.0,7.0,4.0,9.0,,2.0,196.0,1.0,13.0,7.0,13.0,3.0,3.0,10.0,7.0,207.0,149.0,60.0,16.0,2.0,13.0,3.0,,,2.0,21.0,11.0,,1.0,10.0,1.0,11.0,60.0,299.0,,0.0,152.0,10.0,,2.0,1.0,84.0,71.0,6.0,106.0,,20.0,10.0,7.0,,2.0,4.0,149.0,5.0,2.0,194.0,879.0,7.0,1.0,31.0,6.0,597.0,20.0,,3.0,5.0,2.0,1.0,1.0,4.0,20.0,691.0,58.0,92217,7.0,316.0,16.0,,1.0,340.0,5.0,2.0,10.0,1.0,50.0,1.0,,3.0,4.0,14.0,1.0,,,58.0,608.0,10.0,6.0,1.0,11.0,,77.0,,0.0,1.0,3.0,,,0.0,1.0,3.0,64.2,19.0,1.0,12.0,,4.0,3.0,48.0,2.0,1.0,703.0,6.0,15.0,29.0,6.0,32.0,,2.0,384.0,9.0,11.0,19.0,109.0,25.0,1.0,5.0,18.0,1.0,,15.0,3.0,19.0,,4.0,2.0,,1.0,2.0,,2.0,4.0,,1.0,1.0,1.0,2.0,,3.0,,2.0,,3.0,1.0,1.0,2.0,1.0,2.0,,7.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
31,2128590,2021-04-10 15:00:00,"Anfield, Liverpool",,Home,Liverpool,Aston Villa,2,1,W,0,1,0,0,1.0,25.0,77.0,,6.0,,,19.0,16.0,6.0,11.0,17.0,,4.0,200.0,,12.0,3.0,11.0,2.0,3.0,16.0,10.0,155.0,161.0,57.0,23.0,1.0,19.0,6.0,1.0,1.0,4.0,25.0,9.0,,2.0,16.0,4.0,2.0,39.0,230.0,,0.0,164.0,16.0,1.0,2.0,,62.0,84.0,11.0,73.0,,21.0,21.0,6.0,,7.0,2.0,161.0,1.0,6.0,149.0,769.0,14.0,2.0,44.0,7.0,455.0,41.0,,1.0,6.0,,2.0,,5.0,19.0,551.0,56.0,92217,10.0,253.0,12.0,,1.0,288.0,9.0,3.0,4.0,11.0,60.0,,1.0,2.0,5.0,18.0,3.0,3.0,,43.0,480.0,11.0,8.0,2.0,10.0,5.0,70.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,3.0,66.1,16.0,1.0,2.0,5.0,5.0,7.0,42.0,7.0,,577.0,7.0,11.0,21.0,6.0,34.0,1.0,4.0,314.0,9.0,2.0,21.0,127.0,29.0,1.0,6.0,14.0,1.0,1.0,16.0,3.0,18.0,,4.0,7.0,,3.0,4.0,1.0,,2.0,,,2.0,1.0,1.0,1.0,2.0,,1.0,,2.0,10.0,,2.0,,1.0,,2.0,,,,3.0,3.0,,3.0,,,1.0,1.0,1.0,,2.0,3.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,1.0,2.7282,0.5901,0.846809,0.063561,2.26443
32,2128600,2021-04-19 20:00:00,"Elland Road, Leeds",,Away,Liverpool,Leeds United,1,1,D,1,0,0,0,1.0,,63.0,,3.0,,,23.0,29.0,5.0,5.0,12.0,,4.0,120.0,,,4.0,7.0,1.0,,13.0,7.0,67.0,128.0,38.0,17.0,1.0,11.0,4.0,1.0,2.0,3.0,17.0,10.0,,2.0,29.0,8.0,4.0,28.0,126.0,,0.0,109.0,15.0,1.0,1.0,2.0,53.0,19.0,8.0,50.0,,9.0,21.0,5.0,,2.0,2.0,128.0,1.0,12.0,85.0,539.0,10.0,2.0,43.0,10.0,238.0,25.0,1.0,2.0,14.0,1.0,1.0,3.0,5.0,26.0,306.0,40.0,92217,5.0,128.0,6.0,,,147.0,10.0,3.0,21.0,7.0,60.0,2.0,,4.0,5.0,12.0,,2.0,,42.0,250.0,6.0,12.0,2.0,11.0,4.0,53.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,38.1,23.0,2.0,6.0,3.0,5.0,4.0,35.0,8.0,2.0,322.0,10.0,9.0,15.0,6.0,30.0,3.0,4.0,192.0,9.0,3.0,10.0,75.0,24.0,1.0,14.0,15.0,,1.0,13.0,2.0,21.0,,12.0,8.0,,1.0,4.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,5.0,,1.0,10.0,4.0,,1.0,,,1.0,1.0,,,1.0,2.0,,2.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,2.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
33,2128611,2021-04-24 12:30:00,"Anfield, Liverpool",,Home,Liverpool,Newcastle United,1,1,D,1,0,0,0,,33.0,66.0,,3.0,,,21.0,14.0,9.0,7.0,13.0,1.0,4.0,217.0,,13.0,7.0,10.0,1.0,1.0,17.0,9.0,261.0,121.0,45.0,22.0,2.0,9.0,5.0,1.0,1.0,5.0,17.0,10.0,1.0,3.0,14.0,4.0,10.0,29.0,436.0,,0.0,234.0,9.0,1.0,,1.0,116.0,74.0,10.0,80.0,1.0,13.0,19.0,9.0,,5.0,4.0,121.0,3.0,6.0,235.0,979.0,15.0,2.0,34.0,8.0,701.0,33.0,2.0,2.0,7.0,,2.0,2.0,6.0,19.0,776.0,84.0,92217,8.0,289.0,8.0,1.0,,297.0,6.0,,19.0,4.0,48.0,1.0,,1.0,4.0,15.0,1.0,,,29.0,718.0,6.0,14.0,1.0,5.0,4.0,73.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,,2.0,68.5,17.0,1.0,5.0,2.0,4.0,5.0,60.0,6.0,1.0,793.0,8.0,5.0,18.0,8.0,38.0,1.0,4.0,513.0,13.0,9.0,8.0,178.0,24.0,,7.0,21.0,,1.0,17.0,2.0,21.0,,6.0,6.0,,4.0,3.0,1.0,,2.0,1.0,,2.0,2.0,3.0,1.0,5.0,,,,1.0,4.0,1.0,1.0,3.0,3.0,,6.0,,,2.0,,,1.0,,,,,1.0,1.0,,,,2.0,,,,,,,2.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
34,2128621,2021-05-13 20:15:00,"Old Trafford, Manchester",,Away,Liverpool,Manchester United,4,2,W,2,1,0,0,4.0,,76.0,1.0,2.0,2.0,1.0,15.0,18.0,3.0,7.0,14.0,1.0,2.0,161.0,2.0,,2.0,7.0,4.0,2.0,13.0,8.0,118.0,146.0,44.0,17.0,2.0,16.0,4.0,2.0,1.0,2.0,9.0,9.0,,,18.0,4.0,7.0,44.0,173.0,,0.0,130.0,12.0,3.0,1.0,1.0,44.0,51.0,9.0,67.0,,5.0,16.0,3.0,,,1.0,146.0,5.0,13.0,108.0,656.0,9.0,3.0,39.0,12.0,343.0,30.0,1.0,4.0,7.0,3.0,0.0,6.0,4.0,18.0,431.0,50.0,92217,10.0,187.0,4.0,,1.0,213.0,5.0,,16.0,10.0,60.0,4.0,,1.0,7.0,16.0,5.0,,,51.0,358.0,9.0,12.0,1.0,17.0,5.0,70.0,2.0,0.0,1.0,4.0,2.0,,0.0,2.0,1.0,46.7,15.0,,10.0,2.0,7.0,4.0,37.0,4.0,1.0,454.0,12.0,12.0,21.0,5.0,24.0,1.0,3.0,250.0,9.0,7.0,12.0,93.0,29.0,4.0,7.0,16.0,1.0,2.0,11.0,3.0,17.0,,12.0,4.0,,2.0,,,1.0,1.0,1.0,,,,1.0,,2.0,,2.0,1.0,2.0,5.0,1.0,,6.0,1.0,,1.0,,,1.0,,3.0,1.0,,3.0,,1.0,1.0,1.0,,,,2.0,,1.0,,2.0,1.0,,,,1.0,1.0,,1.0,,,,,1.0,,1.0,,2.0,1.0,,,,,,,,1.0,,,,,,,,
35,2128631,2021-05-08 20:15:00,"Anfield, Liverpool",,Home,Liverpool,Southampton,2,0,W,1,0,0,0,1.0,26.0,65.0,1.0,2.0,,,41.0,15.0,2.0,4.0,12.0,,2.0,145.0,,13.0,5.0,10.0,2.0,,12.0,6.0,175.0,126.0,48.0,14.0,1.0,7.0,4.0,,1.0,2.0,26.0,7.0,,,15.0,5.0,6.0,53.0,257.0,,0.0,155.0,10.0,,,1.0,69.0,85.0,7.0,96.0,,21.0,25.0,2.0,,8.0,,126.0,4.0,6.0,141.0,757.0,9.0,2.0,35.0,8.0,473.0,23.0,,5.0,7.0,2.0,0.0,2.0,5.0,20.0,542.0,61.0,92217,8.0,234.0,13.0,,,258.0,9.0,2.0,25.0,4.0,44.0,1.0,,4.0,9.0,11.0,6.0,1.0,,59.0,486.0,6.0,9.0,1.0,10.0,4.0,60.0,,0.0,1.0,1.0,,,0.0,1.0,4.0,54.1,20.0,2.0,3.0,,9.0,3.0,48.0,8.0,1.0,557.0,8.0,8.0,37.0,5.0,29.0,1.0,4.0,325.0,6.0,6.0,17.0,119.0,29.0,1.0,7.0,15.0,1.0,,10.0,3.0,20.0,,13.0,8.0,,2.0,6.0,,2.0,2.0,,1.0,1.0,1.0,1.0,,3.0,,1.0,,2.0,4.0,,,4.0,3.0,,4.0,,,,1.0,,1.0,1.0,,,,3.0,3.0,,1.0,3.0,,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,,,2.0,1.0,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,
36,2128640,2021-05-16 16:30:00,"The Hawthorns, West Bromwich",,Away,Liverpool,West Bromwich Albion,2,1,W,1,1,0,0,,22.0,57.0,1.0,3.0,1.0,1.0,22.0,17.0,12.0,8.0,14.0,1.0,2.0,201.0,,14.0,8.0,10.0,2.0,1.0,24.0,6.0,219.0,144.0,46.0,26.0,7.0,23.0,3.0,1.0,3.0,2.0,30.0,4.0,1.0,1.0,17.0,12.0,10.0,50.0,388.0,,0.0,282.0,14.0,1.0,,1.0,99.0,80.0,15.0,75.0,,18.0,11.0,12.0,,6.0,3.0,144.0,1.0,7.0,204.0,886.0,21.0,1.0,49.0,6.0,593.0,22.0,1.0,2.0,10.0,2.0,0.0,1.0,9.0,21.0,681.0,72.0,92217,9.0,230.0,12.0,,,248.0,8.0,2.0,11.0,4.0,57.0,3.0,,2.0,4.0,13.0,2.0,3.0,,47.0,610.0,7.0,5.0,1.0,7.0,5.0,58.0,1.0,0.0,,1.0,1.0,,0.0,1.0,3.0,76.3,19.0,2.0,6.0,2.0,4.0,10.0,38.0,13.0,1.0,699.0,6.0,7.0,25.0,10.0,62.0,4.0,6.0,481.0,15.0,10.0,22.0,229.0,24.0,1.0,10.0,8.0,1.0,1.0,20.0,2.0,19.0,,3.0,13.0,,2.0,2.0,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,2.0,,,,1.0,4.0,1.0,1.0,9.0,1.0,1.0,4.0,,,2.0,,3.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
37,2128647,2021-05-19 20:15:00,"Turf Moor, Burnley",3387.0,Away,Liverpool,Burnley,3,0,W,1,0,0,0,,32.0,69.0,1.0,4.0,2.0,,26.0,41.0,5.0,8.0,15.0,1.0,,177.0,,20.0,3.0,8.0,3.0,1.0,17.0,3.0,145.0,138.0,54.0,20.0,4.0,14.0,,2.0,2.0,,16.0,7.0,,,41.0,3.0,5.0,51.0,266.0,,0.0,186.0,7.0,2.0,,4.0,67.0,50.0,10.0,92.0,2.0,13.0,11.0,5.0,1.0,5.0,1.0,138.0,3.0,6.0,170.0,777.0,14.0,4.0,32.0,6.0,477.0,32.0,1.0,7.0,19.0,3.0,0.0,4.0,7.0,15.0,558.0,59.0,92217,9.0,233.0,8.0,,,262.0,2.0,,11.0,9.0,39.0,3.0,1.0,1.0,5.0,14.0,4.0,2.0,,56.0,496.0,8.0,4.0,,19.0,4.0,70.0,2.0,0.0,4.0,3.0,,1.0,0.0,2.0,2.0,58.8,12.0,1.0,4.0,3.0,6.0,8.0,41.0,7.0,4.0,584.0,6.0,10.0,32.0,9.0,26.0,,8.0,338.0,10.0,5.0,24.0,154.0,23.0,1.0,19.0,15.0,1.0,,15.0,3.0,12.0,,3.0,7.0,,,4.0,1.0,1.0,4.0,,1.0,4.0,,2.0,1.0,4.0,,1.0,,1.0,5.0,,1.0,6.0,2.0,,3.0,,1.0,1.0,,,,,2.0,,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
38,2128661,2021-05-23 16:00:00,"Anfield, Liverpool",9901.0,Home,Liverpool,Crystal Palace,2,0,W,1,0,0,0,1.0,24.0,63.0,1.0,3.0,1.0,,36.0,5.0,3.0,10.0,16.0,2.0,,185.0,,13.0,8.0,8.0,2.0,1.0,16.0,5.0,154.0,158.0,43.0,19.0,1.0,14.0,3.0,,4.0,1.0,28.0,12.0,,,5.0,10.0,10.0,49.0,265.0,,0.0,188.0,10.0,,,,69.0,80.0,9.0,82.0,,18.0,17.0,3.0,,8.0,2.0,158.0,3.0,2.0,167.0,780.0,10.0,7.0,51.0,10.0,484.0,13.0,1.0,3.0,1.0,2.0,2.0,,7.0,22.0,570.0,57.0,92217,11.0,245.0,10.0,,,263.0,8.0,2.0,17.0,5.0,56.0,1.0,,2.0,3.0,24.0,3.0,3.0,,52.0,502.0,7.0,8.0,4.0,9.0,7.0,84.0,,0.0,2.0,2.0,,3.0,0.0,1.0,6.0,69.6,22.0,4.0,6.0,,3.0,4.0,56.0,14.0,,588.0,10.0,13.0,34.0,10.0,53.0,5.0,8.0,353.0,3.0,10.0,13.0,147.0,41.0,2.0,1.0,15.0,,,11.0,3.0,19.0,,10.0,14.0,,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,,3.0,1.0,2.0,,,1.0,1.0,5.0,1.0,1.0,1.0,2.0,,3.0,,1.0,,,,,,1.0,,1.0,,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,
