gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,savedObox,goals,attFreekickTotal,attOboxBlocked,attIboxTarget,postScoringAtt,goalAssistOpenplay,attIboxPost,attMissHighRight,penaltyWon,divingSave,attSvLowLeft,freekickTotal,attGoalHighCentre,bigChanceCreated,attPostLeft,hitWoodwork,attMissHighLeft,goalAssist,offtargetAttAssist,attBxCentre,penaltyConceded,attRfGoal,goalsOpenplay,attPenGoal,attAssistSetplay,attCorner,punches,overrun,attIboxGoal,attCmissHighRight,goalAssistIntentional,attHdTotal,attHdMiss,attBxLeft,penaltyFaced,penGoalsConceded,attFreekickMiss,accurateCornersIntobox,attIboxMiss,forwardGoals,attHdGoal,attSvHighRight,goodHighClaim,contentiousDecision,attHdTarget,attCmissHigh,attMissHigh,attSvHighCentre,totalHighClaim,handBall,shotFastbreak,totalFastbreak,bigChanceMissed,totalPullBack,attCmissHighLeft,attFastbreak,attLfGoal,attPenPost,attGoalHighRight,accurateFreekickCross,attFreekickTarget,attPostHigh,shieldBallOop,ptsDroppedWinningPos,attOboxGoal,midfielderGoals,attGoalHighLeft,attPostRight,attObxLeft,cleanSheet,attSvHighLeft,defenderGoals,foulThrowIn,attCmissRight,attPenTarget,accuratePullBack,attPenMiss,totalThroughBall,attGoalLowRight,goalFastbreak,attOneOnOne,accurateThroughBall,goalsConcededObox,attGoalLowCentre,winningGoal,keeperGoals,subsGoals,ownGoals,attObpGoal,attFreekickGoal,goalAssistSetplay,ptsGainedLosingPos,errorLeadToGoal,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,attObxRight,goalAssistDeadball,attIboxOwnGoal
27,2128550,2021-03-07 14:00:00,"Anfield, Liverpool",,Away,Fulham,Liverpool,1,0,W,1,0,0,0,1.0,26.0,65.0,2.0,32.0,42.0,1.0,2.0,9.0,3.0,1.0,161.0,15.0,3.0,8.0,3.0,7.0,3.0,101.0,142.0,49.0,10.0,17.0,1.0,,,3.0,17.0,5.0,1.0,42.0,3.0,6.0,48.0,119.0,0.0,83.0,8.0,2.0,66.0,39.0,3.0,70.0,3.0,1.0,14.0,16.0,1.0,3.0,,142.0,10.0,82.0,629.0,,7.0,4.0,18.0,19.0,307.0,29.0,6.0,17.0,,3.0,2.0,14.0,389.0,47.0,,96994,205.0,9.0,1.0,1.0,236.0,4.0,16.0,10.0,43.0,1.0,8.0,17.0,6.0,5.0,69.0,321.0,10.0,7.0,23.0,84.0,,1.0,0.0,9.0,2.0,,2.0,0.0,3.0,36.9,10.0,2.0,8.0,2.0,,42.0,4.0,414.0,19.0,5.0,28.0,5.0,21.0,195.0,7.0,6.0,16.0,50.0,24.0,3.0,17.0,15.0,,9.0,3.0,16.0,3.0,9.0,4.0,,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,4.0,4.0,,1.0,,,,,3.0,,1.0,,,1.0,,2.0,,,,,5.0,,,1.0,,,,,1.0,,,2.0,3.0,3.0,1.0,,,3.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
28,2128559,2021-03-13 20:00:00,"Craven Cottage, London",,Home,Fulham,Manchester City,0,3,L,0,0,0,0,,32.0,60.0,3.0,29.0,7.0,,1.0,3.0,4.0,,150.0,17.0,3.0,12.0,3.0,3.0,,106.0,148.0,56.0,3.0,8.0,,,,,17.0,7.0,,7.0,4.0,2.0,54.0,119.0,0.0,88.0,14.0,2.0,56.0,34.0,3.0,79.0,2.0,,13.0,18.0,,3.0,,148.0,7.0,109.0,632.0,,3.0,4.0,15.0,8.0,338.0,26.0,3.0,5.0,,0.0,,23.0,421.0,38.0,,84915,241.0,8.0,1.0,,279.0,9.0,18.0,5.0,56.0,1.0,5.0,20.0,1.0,4.0,61.0,357.0,12.0,15.0,10.0,54.0,,,0.0,2.0,4.0,3.0,2.0,0.0,2.0,46.1,17.0,6.0,5.0,3.0,,34.0,4.0,444.0,8.0,8.0,25.0,,25.0,182.0,2.0,2.0,10.0,59.0,22.0,,5.0,22.0,3.0,3.0,3.0,24.0,,7.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,
29,2128569,2021-03-19 20:00:00,"Craven Cottage, London",,Home,Fulham,Leeds United,1,2,L,1,1,0,0,1.0,,55.0,3.0,25.0,32.0,2.0,3.0,11.0,2.0,2.0,121.0,,5.0,13.0,2.0,11.0,6.0,85.0,178.0,64.0,13.0,13.0,1.0,,3.0,1.0,24.0,10.0,2.0,32.0,13.0,8.0,35.0,121.0,0.0,92.0,13.0,2.0,32.0,35.0,9.0,53.0,,3.0,11.0,17.0,2.0,2.0,,178.0,8.0,80.0,590.0,,7.0,5.0,30.0,9.0,229.0,22.0,10.0,12.0,,2.0,2.0,29.0,316.0,45.0,,84915,130.0,7.0,1.0,1.0,157.0,9.0,17.0,5.0,60.0,1.0,6.0,32.0,5.0,5.0,48.0,246.0,12.0,9.0,22.0,63.0,,,0.0,7.0,2.0,2.0,,0.0,1.0,51.2,21.0,6.0,6.0,3.0,,35.0,13.0,339.0,9.0,12.0,17.0,4.0,42.0,206.0,6.0,6.0,19.0,54.0,20.0,,12.0,20.0,2.0,6.0,3.0,26.0,,11.0,13.0,1.0,,,1.0,,,3.0,,,,,,1.0,1.0,,,1.0,,,,1.0,2.0,5.0,,1.0,,,3.0,6.0,1.0,,1.0,,1.0,4.0,1.0,2.0,,,,4.0,4.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,
30,2128577,2021-04-04 16:30:00,"Villa Park, Birmingham",,Away,Fulham,Aston Villa,1,3,L,0,0,0,0,1.0,31.0,62.0,1.0,25.0,25.0,6.0,4.0,8.0,1.0,4.0,153.0,15.0,4.0,12.0,2.0,10.0,7.0,82.0,148.0,67.0,15.0,19.0,2.0,,3.0,1.0,11.0,13.0,3.0,25.0,4.0,8.0,33.0,112.0,0.0,86.0,20.0,1.0,62.0,23.0,6.0,64.0,,4.0,7.0,17.0,7.0,1.0,2.0,148.0,7.0,85.0,582.0,1.0,10.0,7.0,15.0,4.0,264.0,28.0,7.0,12.0,,2.0,5.0,15.0,353.0,55.0,,96994,180.0,5.0,,1.0,218.0,11.0,17.0,7.0,65.0,2.0,7.0,22.0,7.0,6.0,55.0,288.0,13.0,12.0,18.0,66.0,,,0.0,4.0,,3.0,1.0,0.0,3.0,47.5,10.0,4.0,7.0,3.0,,39.0,4.0,384.0,4.0,7.0,12.0,5.0,15.0,177.0,9.0,5.0,19.0,47.0,19.0,2.0,12.0,23.0,3.0,14.0,3.0,20.0,2.0,5.0,4.0,1.0,,1.0,1.0,,2.0,3.0,,,,,,1.0,3.0,,,,,,,,4.0,5.0,,,1.0,,,,2.0,1.0,1.0,,,2.0,1.0,,,,,1.0,3.0,1.0,,,2.0,,1.0,,,,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,
31,2128589,2021-04-09 20:00:00,"Craven Cottage, London",,Home,Fulham,Wolverhampton Wanderers,0,1,L,0,0,0,0,,29.0,47.0,3.0,39.0,10.0,5.0,2.0,9.0,2.0,2.0,138.0,13.0,9.0,5.0,2.0,10.0,3.0,124.0,141.0,55.0,14.0,16.0,,,,3.0,28.0,8.0,1.0,10.0,3.0,7.0,42.0,171.0,0.0,117.0,11.0,2.0,47.0,64.0,5.0,68.0,,2.0,25.0,11.0,5.0,13.0,3.0,141.0,5.0,109.0,641.0,,9.0,4.0,26.0,9.0,351.0,12.0,6.0,6.0,,0.0,,23.0,417.0,62.0,,96994,207.0,10.0,,4.0,222.0,6.0,11.0,13.0,54.0,3.0,5.0,25.0,2.0,12.0,69.0,369.0,8.0,8.0,14.0,74.0,2.0,,0.0,4.0,2.0,1.0,2.0,0.0,9.0,49.6,19.0,4.0,5.0,4.0,,55.0,3.0,439.0,9.0,12.0,23.0,7.0,45.0,245.0,7.0,5.0,24.0,80.0,26.0,4.0,6.0,18.0,1.0,9.0,3.0,12.0,4.0,6.0,3.0,,,,,,1.0,2.0,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,5.0,7.0,,,,,1.0,1.0,,1.0,,,,5.0,3.0,2.0,,,,,3.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
32,2128596,2021-04-18 13:30:00,"Emirates Stadium, London",,Away,Fulham,Arsenal,1,1,D,0,0,0,0,,26.0,40.0,1.0,15.0,32.0,1.0,,2.0,4.0,,108.0,13.0,,11.0,1.0,1.0,1.0,75.0,118.0,49.0,3.0,19.0,,,,,6.0,8.0,,32.0,1.0,,31.0,62.0,0.0,64.0,11.0,,26.0,33.0,1.0,40.0,1.0,,5.0,10.0,1.0,2.0,,118.0,12.0,63.0,448.0,,1.0,9.0,15.0,11.0,194.0,22.0,2.0,15.0,,3.0,5.0,13.0,254.0,35.0,,96994,150.0,3.0,,,171.0,7.0,10.0,16.0,59.0,,1.0,11.0,6.0,8.0,50.0,212.0,9.0,11.0,14.0,50.0,,,0.0,11.0,4.0,1.0,3.0,0.0,,30.5,6.0,3.0,1.0,2.0,,18.0,1.0,286.0,11.0,8.0,15.0,,11.0,121.0,3.0,,17.0,33.0,13.0,2.0,15.0,12.0,1.0,2.0,3.0,21.0,2.0,5.0,1.0,1.0,,,1.0,,1.0,,,,,,1.0,2.0,,,,,,,,,,2.0,,1.0,,1.0,,,1.0,2.0,1.0,,,,,,,,,,,1.0,,,2.0,1.0,,,,,2.0,,,,,2.0,,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2128608,2021-03-04 18:00:00,"Craven Cottage, London",,Home,Fulham,Tottenham Hotspur,0,1,L,0,1,0,0,,39.0,67.0,1.0,28.0,5.0,4.0,,7.0,2.0,1.0,176.0,14.0,5.0,19.0,2.0,9.0,3.0,144.0,169.0,51.0,11.0,13.0,1.0,,1.0,2.0,23.0,7.0,,5.0,4.0,6.0,38.0,180.0,0.0,128.0,13.0,1.0,78.0,50.0,4.0,94.0,1.0,2.0,19.0,21.0,4.0,9.0,4.0,169.0,6.0,130.0,754.0,,7.0,2.0,30.0,14.0,439.0,28.0,3.0,1.0,,2.0,2.0,25.0,525.0,49.0,2.0,96994,276.0,9.0,,1.0,307.0,10.0,21.0,7.0,56.0,4.0,5.0,24.0,4.0,4.0,68.0,451.0,9.0,10.0,20.0,80.0,1.0,,0.0,1.0,2.0,1.0,,0.0,4.0,59.6,19.0,2.0,5.0,1.0,,46.0,4.0,544.0,14.0,12.0,17.0,7.0,36.0,260.0,8.0,5.0,12.0,89.0,32.0,1.0,1.0,11.0,1.0,9.0,3.0,28.0,1.0,11.0,4.0,,,,,,,3.0,,,,1.0,,2.0,,,,,,1.0,,,5.0,6.0,,,,,2.0,1.0,,3.0,,,,3.0,1.0,,,,,1.0,3.0,,,,,1.0,2.0,,2.0,1.0,1.0,1.0,,,,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0
34,2128618,2021-05-01 17:30:00,"Stamford Bridge, London",,Away,Fulham,Chelsea,0,2,L,0,1,0,0,1.0,37.0,57.0,3.0,21.0,8.0,5.0,4.0,5.0,3.0,2.0,134.0,20.0,3.0,11.0,2.0,8.0,3.0,148.0,153.0,58.0,10.0,11.0,3.0,,2.0,,21.0,15.0,2.0,8.0,8.0,7.0,35.0,214.0,0.0,124.0,8.0,2.0,79.0,66.0,5.0,96.0,1.0,1.0,13.0,21.0,5.0,4.0,3.0,153.0,7.0,143.0,736.0,,6.0,3.0,25.0,8.0,425.0,17.0,2.0,2.0,,1.0,3.0,23.0,498.0,53.0,1.0,96994,235.0,7.0,,1.0,255.0,5.0,21.0,,51.0,1.0,4.0,30.0,2.0,,33.0,446.0,14.0,9.0,8.0,52.0,,,0.0,1.0,3.0,2.0,2.0,0.0,1.0,51.3,20.0,7.0,5.0,3.0,,40.0,8.0,521.0,8.0,16.0,24.0,4.0,36.0,287.0,4.0,6.0,12.0,88.0,27.0,2.0,2.0,21.0,2.0,5.0,3.0,19.0,2.0,9.0,8.0,,,,,,,1.0,,,,,,2.0,,,,,,,1.0,,3.0,2.0,,,,,2.0,4.0,,1.0,,,,2.0,1.0,,,,,2.0,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2128628,2021-05-10 20:00:00,"Craven Cottage, London",,Home,Fulham,Burnley,0,2,L,0,2,0,0,2.0,33.0,71.0,2.0,29.0,13.0,9.0,4.0,12.0,3.0,,192.0,12.0,9.0,15.0,1.0,15.0,3.0,129.0,197.0,77.0,21.0,37.0,,1.0,,3.0,34.0,8.0,2.0,13.0,7.0,7.0,52.0,203.0,0.0,190.0,11.0,1.0,79.0,71.0,8.0,74.0,,5.0,27.0,16.0,9.0,15.0,2.0,197.0,10.0,126.0,755.0,,13.0,9.0,44.0,11.0,376.0,34.0,4.0,8.0,1.0,2.0,3.0,26.0,498.0,70.0,,96994,199.0,11.0,1.0,,235.0,2.0,16.0,7.0,69.0,4.0,7.0,16.0,4.0,4.0,75.0,393.0,8.0,5.0,19.0,69.0,1.0,1.0,0.0,4.0,3.0,2.0,1.0,0.0,6.0,68.0,22.0,4.0,7.0,7.0,,30.0,8.0,521.0,11.0,11.0,17.0,11.0,61.0,320.0,9.0,7.0,38.0,127.0,24.0,,8.0,16.0,1.0,18.0,3.0,21.0,,5.0,8.0,,,,,,5.0,1.0,1.0,,1.0,1.0,,2.0,,,,,,1.0,,,7.0,11.0,,,,,2.0,3.0,,3.0,,,,8.0,6.0,1.0,,,,3.0,8.0,,,,2.0,,1.0,1.0,1.0,1.0,2.0,,,,,4.0,,,,,,,,1.0,,,,,,,,,1.0,,,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
36,2128644,2021-05-15 15:00:00,"St. Mary's Stadium, Southampton",,Away,Fulham,Southampton,1,3,L,0,1,0,0,1.0,35.0,55.0,2.0,15.0,14.0,3.0,5.0,7.0,3.0,1.0,173.0,19.0,2.0,18.0,1.0,9.0,3.0,151.0,130.0,60.0,10.0,10.0,1.0,1.0,1.0,3.0,13.0,13.0,1.0,14.0,5.0,5.0,41.0,155.0,0.0,97.0,15.0,,46.0,53.0,5.0,88.0,1.0,1.0,8.0,21.0,3.0,2.0,1.0,130.0,8.0,135.0,740.0,,6.0,3.0,22.0,11.0,454.0,20.0,2.0,3.0,1.0,1.0,3.0,18.0,528.0,42.0,,96994,320.0,6.0,,,346.0,9.0,21.0,3.0,52.0,1.0,6.0,20.0,3.0,3.0,34.0,473.0,9.0,9.0,9.0,58.0,1.0,1.0,0.0,6.0,3.0,3.0,2.0,0.0,,53.8,17.0,4.0,6.0,3.0,1.0,38.0,5.0,547.0,11.0,13.0,22.0,4.0,27.0,214.0,3.0,3.0,10.0,74.0,25.0,1.0,3.0,23.0,3.0,7.0,3.0,24.0,1.0,6.0,5.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,2.0,,,1.0,1.0,,,,1.0,4.0,3.0,,1.0,1.0,,2.0,3.0,,3.0,1.0,,1.0,2.0,2.0,2.0,,,,2.0,3.0,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,
37,2128651,2021-05-18 18:00:00,"Old Trafford, Manchester",9347.0,Away,Fulham,Manchester United,1,1,D,0,1,0,0,1.0,32.0,63.0,,22.0,20.0,3.0,2.0,5.0,5.0,1.0,143.0,18.0,2.0,13.0,2.0,5.0,5.0,98.0,124.0,59.0,8.0,11.0,,,3.0,1.0,9.0,14.0,,20.0,1.0,5.0,28.0,77.0,0.0,68.0,15.0,2.0,36.0,32.0,5.0,70.0,2.0,,8.0,13.0,3.0,3.0,2.0,124.0,4.0,99.0,599.0,,2.0,2.0,12.0,18.0,317.0,33.0,2.0,13.0,,3.0,2.0,15.0,388.0,32.0,,96994,258.0,3.0,,3.0,295.0,10.0,13.0,9.0,49.0,1.0,7.0,19.0,9.0,7.0,52.0,333.0,10.0,10.0,18.0,45.0,,,0.0,6.0,1.0,1.0,,0.0,1.0,42.9,11.0,4.0,7.0,1.0,,20.0,1.0,410.0,18.0,9.0,15.0,2.0,14.0,124.0,3.0,4.0,11.0,45.0,17.0,2.0,13.0,25.0,,4.0,3.0,17.0,2.0,6.0,1.0,1.0,,4.0,1.0,,1.0,4.0,,1.0,,,,4.0,,,,2.0,,1.0,,1.0,,3.0,,,1.0,,2.0,1.0,,3.0,1.0,,1.0,3.0,,,,,,1.0,,,1.0,,,1.0,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,
38,2128658,2021-05-23 16:00:00,"Craven Cottage, London",2000.0,Home,Fulham,Newcastle United,0,2,L,0,1,0,0,,28.0,53.0,2.0,26.0,13.0,6.0,3.0,8.0,2.0,,157.0,13.0,5.0,7.0,2.0,8.0,,160.0,119.0,38.0,14.0,10.0,,,,2.0,37.0,7.0,,13.0,4.0,3.0,21.0,287.0,0.0,198.0,12.0,1.0,121.0,82.0,3.0,114.0,,2.0,33.0,14.0,6.0,11.0,1.0,119.0,5.0,165.0,778.0,,7.0,1.0,23.0,10.0,527.0,20.0,3.0,7.0,,1.0,3.0,22.0,584.0,70.0,1.0,96994,255.0,21.0,,,266.0,8.0,14.0,3.0,35.0,1.0,4.0,11.0,5.0,3.0,38.0,537.0,6.0,,9.0,49.0,,1.0,0.0,4.0,1.0,2.0,,0.0,4.0,64.3,19.0,6.0,4.0,7.0,,37.0,5.0,596.0,10.0,8.0,13.0,7.0,37.0,367.0,10.0,3.0,7.0,161.0,23.0,,7.0,18.0,2.0,12.0,3.0,12.0,,3.0,5.0,,,1.0,,,5.0,,,,,,,2.0,,,,1.0,,,1.0,,5.0,5.0,1.0,,,,1.0,2.0,2.0,,,,,1.0,1.0,3.0,1.0,1.0,,1.0,6.0,,,,1.0,,,2.0,2.0,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
