gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attMissHighRight,attOboxGoal,ptsGainedLosingPos,divingSave,midfielderGoals,accurateLaunches,accurateFreekickCross,sixYardBlock,attCmissHighLeft,goalsConceded,totalHighClaim,accurateCornersIntobox,goalsConcededIbox,attGoalLowRight,savedObox,attSvLowLeft,attGoalHighLeft,punches,attOneOnOne,attAssistSetplay,goalsConcededObox,handBall,goodHighClaim,attMissHigh,attCmissHighRight,attHdMiss,attGoalLowCentre,attObxLeft,attOboxMiss,attLgCentre,attCmissLeft,attFreekickMiss,attLfGoal,accuratePullBack,attSvHighRight,attHdTarget,hitWoodwork,foulThrowIn,attPenTarget,attObxdRight,ownGoals,clearanceOffLine,attIboxOwnGoal,postScoringAtt,attIboxPost,attPostLeft,penaltyConceded,attOboxPost,attPostHigh,penaltyFaced,penGoalsConceded,attCmissHigh,attObxRight,attPostRight,winningGoal,attGoalHighCentre,keeperGoals,subsGoals,attObpGoal,attFreekickGoal,accurateKeeperSweeper,totalKeeperSweeper,goalAssistSetplay,goalFastbreak,ptsDroppedWinningPos,attObxdLeft,goalAssistDeadball,attSvHighLeft,errorLeadToGoal,attLgLeft,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals
27,2128547,2021-03-06 20:00:00,"American Express Stadium, Falmer",,Away,Leicester City,Brighton and Hove Albion,2,1,W,0,1,0,0,,2.0,38.0,65.0,,,30.0,16.0,3.0,3.0,5.0,1.0,2.0,169.0,20.0,3.0,11.0,2.0,2.0,7.0,,4.0,185.0,165.0,57.0,,8.0,,9.0,1.0,,1.0,1.0,1.0,3.0,13.0,12.0,1.0,1.0,16.0,6.0,8.0,45.0,218.0,,,0.0,104.0,8.0,,1.0,72.0,62.0,4.0,80.0,4.0,,7.0,21.0,3.0,,3.0,165.0,2.0,1.0,6.0,182.0,829.0,4.0,6.0,14.0,21.0,495.0,26.0,,8.0,2.0,1.0,2.0,3.0,24.0,587.0,60.0,2.0,,95463,2.0,305.0,,3.0,,345.0,5.0,,1.0,21.0,9.0,53.0,2.0,1.0,1.0,4.0,1.0,26.0,1.0,8.0,,59.0,520.0,10.0,7.0,14.0,2.0,64.0,,1.0,0.0,,,6.0,1.0,2.0,1.0,0.0,1.0,2.0,,2.0,63.4,22.0,9.0,1.0,,4.0,,45.0,6.0,616.0,21.0,21.0,25.0,4.0,31.0,2.0,284.0,3.0,6.0,13.0,70.0,25.0,1.0,2.0,8.0,23.0,1.0,6.0,2.0,20.0,2.0,8.0,6.0,,,3.0,1.0,,4.0,,,,1.0,1.0,2.0,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,
28,2128561,2021-03-14 14:00:00,"King Power Stadium, Leicester",,Home,Leicester City,Sheffield United,5,0,W,1,0,0,0,3.0,2.0,28.0,61.0,1.0,3.0,28.0,10.0,5.0,8.0,14.0,,2.0,188.0,9.0,3.0,13.0,5.0,3.0,16.0,1.0,10.0,218.0,124.0,50.0,,19.0,2.0,9.0,6.0,2.0,2.0,4.0,4.0,,15.0,12.0,,,10.0,8.0,7.0,40.0,299.0,1.0,,0.0,151.0,10.0,4.0,3.0,62.0,105.0,13.0,125.0,,4.0,9.0,23.0,5.0,,3.0,124.0,6.0,,1.0,219.0,928.0,10.0,2.0,25.0,10.0,658.0,26.0,,6.0,4.0,0.0,,3.0,22.0,740.0,72.0,1.0,,95463,9.0,372.0,6.0,3.0,,390.0,5.0,3.0,1.0,23.0,,41.0,2.0,,2.0,3.0,4.0,13.0,,,,52.0,668.0,9.0,8.0,6.0,3.0,78.0,2.0,2.0,0.0,,,1.0,,3.0,1.0,0.0,2.0,2.0,,1.0,71.7,21.0,5.0,,,3.0,5.0,52.0,9.0,750.0,10.0,8.0,19.0,4.0,31.0,3.0,375.0,10.0,7.0,9.0,104.0,27.0,4.0,1.0,6.0,19.0,,16.0,2.0,19.0,1.0,14.0,9.0,,2.0,,,,,1.0,1.0,,,,3.0,,2.0,,,,,,2.0,,,,,,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
29,2128567,2021-03-03 18:00:00,"Turf Moor, Burnley",,Away,Leicester City,Burnley,1,1,D,1,1,0,0,1.0,1.0,25.0,58.0,,4.0,32.0,31.0,8.0,6.0,8.0,6.0,2.0,141.0,9.0,4.0,2.0,1.0,,14.0,2.0,4.0,172.0,146.0,36.0,,16.0,2.0,27.0,2.0,,2.0,1.0,,,19.0,8.0,,1.0,31.0,6.0,4.0,42.0,181.0,,,0.0,114.0,12.0,,1.0,68.0,63.0,8.0,86.0,,3.0,13.0,15.0,8.0,,7.0,146.0,2.0,,6.0,172.0,746.0,12.0,6.0,24.0,7.0,456.0,28.0,1.0,17.0,1.0,2.0,,6.0,23.0,551.0,40.0,2.0,,95463,5.0,292.0,1.0,5.0,,329.0,3.0,,,15.0,5.0,51.0,4.0,,2.0,9.0,1.0,12.0,6.0,3.0,,64.0,469.0,5.0,8.0,15.0,4.0,71.0,,,0.0,,1.0,5.0,4.0,1.0,2.0,0.0,3.0,1.0,2.0,1.0,61.1,17.0,1.0,1.0,1.0,9.0,6.0,36.0,8.0,571.0,7.0,4.0,20.0,6.0,27.0,1.0,261.0,9.0,4.0,20.0,88.0,17.0,1.0,1.0,17.0,9.0,,12.0,3.0,6.0,1.0,7.0,8.0,,,1.0,4.0,,3.0,,,,1.0,3.0,1.0,1.0,,2.0,,,1.0,,1.0,,1.0,2.0,2.0,,1.0,1.0,,5.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
30,2128581,2021-04-03 17:30:00,"King Power Stadium, Leicester",,Home,Leicester City,Manchester City,0,2,L,0,0,0,0,1.0,,24.0,59.0,,1.0,25.0,12.0,2.0,1.0,3.0,2.0,1.0,145.0,7.0,1.0,19.0,,1.0,5.0,,2.0,117.0,118.0,63.0,,5.0,,11.0,1.0,1.0,,,1.0,1.0,6.0,13.0,,1.0,12.0,1.0,5.0,44.0,80.0,,,0.0,52.0,13.0,1.0,1.0,25.0,22.0,3.0,73.0,3.0,,5.0,19.0,2.0,,,118.0,,,9.0,117.0,619.0,4.0,1.0,6.0,10.0,353.0,38.0,,6.0,,2.0,1.0,2.0,15.0,425.0,26.0,,1.0,95463,3.0,295.0,,4.0,1.0,342.0,9.0,,,19.0,9.0,49.0,,,3.0,4.0,,15.0,2.0,7.0,,51.0,374.0,12.0,11.0,10.0,,39.0,1.0,,0.0,,1.0,1.0,2.0,,,0.0,1.0,,1.0,1.0,43.8,14.0,2.0,,,5.0,1.0,22.0,1.0,452.0,10.0,5.0,21.0,2.0,11.0,1.0,116.0,3.0,3.0,13.0,36.0,11.0,,,6.0,19.0,,4.0,3.0,28.0,,11.0,1.0,,,,1.0,,1.0,,,,2.0,,,2.0,,,1.0,,,,1.0,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2128595,2021-04-11 14:05:00,"London Stadium, London",,Away,Leicester City,West Ham United,2,3,L,0,2,0,0,3.0,,39.0,67.0,1.0,3.0,30.0,8.0,5.0,10.0,10.0,1.0,,206.0,19.0,6.0,11.0,2.0,3.0,11.0,,5.0,163.0,160.0,59.0,,15.0,2.0,17.0,1.0,,2.0,1.0,1.0,2.0,31.0,8.0,1.0,2.0,8.0,8.0,6.0,45.0,275.0,,,0.0,188.0,13.0,,1.0,76.0,100.0,8.0,100.0,,1.0,23.0,19.0,5.0,,3.0,160.0,,,4.0,160.0,812.0,9.0,3.0,47.0,12.0,512.0,27.0,1.0,5.0,1.0,3.0,,3.0,18.0,613.0,76.0,1.0,,95463,7.0,258.0,,19.0,,289.0,8.0,,,19.0,2.0,52.0,4.0,,1.0,7.0,2.0,18.0,,2.0,,62.0,527.0,7.0,12.0,12.0,3.0,70.0,,1.0,0.0,,3.0,1.0,1.0,1.0,1.0,0.0,4.0,,,3.0,63.7,17.0,8.0,1.0,,7.0,5.0,48.0,9.0,629.0,12.0,4.0,17.0,5.0,45.0,5.0,371.0,2.0,6.0,29.0,136.0,25.0,2.0,,5.0,13.0,,12.0,2.0,17.0,,6.0,9.0,1.0,1.0,,,,4.0,,,,3.0,1.0,2.0,3.0,,,1.0,,,,1.0,,,,,,3.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
32,2128601,2021-04-22 20:00:00,"King Power Stadium, Leicester",,Home,Leicester City,West Bromwich Albion,3,0,W,3,0,0,0,3.0,3.0,28.0,61.0,1.0,2.0,25.0,7.0,8.0,8.0,8.0,1.0,1.0,191.0,15.0,,8.0,3.0,3.0,15.0,,7.0,185.0,137.0,55.0,1.0,17.0,3.0,11.0,2.0,1.0,1.0,2.0,2.0,1.0,10.0,15.0,,2.0,7.0,5.0,12.0,41.0,321.0,1.0,,0.0,164.0,13.0,1.0,,78.0,93.0,10.0,133.0,,,5.0,14.0,9.0,1.0,2.0,137.0,4.0,1.0,2.0,197.0,869.0,12.0,2.0,23.0,12.0,590.0,20.0,,4.0,2.0,0.0,,5.0,23.0,688.0,70.0,1.0,,95463,5.0,286.0,2.0,3.0,,318.0,7.0,1.0,,14.0,4.0,37.0,1.0,1.0,1.0,4.0,2.0,14.0,2.0,4.0,,48.0,607.0,12.0,3.0,10.0,2.0,85.0,1.0,,0.0,1.0,,3.0,,3.0,2.0,0.0,,2.0,,1.0,72.7,20.0,2.0,1.0,1.0,4.0,5.0,60.0,7.0,706.0,12.0,7.0,22.0,5.0,24.0,1.0,398.0,8.0,11.0,17.0,121.0,35.0,2.0,1.0,4.0,19.0,1.0,14.0,3.0,11.0,1.0,5.0,7.0,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,3.0,,,,,3.0,,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
33,2128610,2021-04-26 20:00:00,"King Power Stadium, Leicester",,Home,Leicester City,Crystal Palace,2,1,W,0,1,0,0,,1.0,29.0,58.0,,,30.0,12.0,4.0,5.0,9.0,1.0,3.0,165.0,14.0,3.0,7.0,2.0,4.0,11.0,,5.0,169.0,153.0,56.0,1.0,13.0,2.0,22.0,1.0,,1.0,2.0,1.0,,17.0,12.0,1.0,2.0,12.0,6.0,6.0,44.0,295.0,,,0.0,172.0,13.0,,2.0,96.0,60.0,6.0,89.0,1.0,4.0,11.0,23.0,4.0,1.0,3.0,153.0,2.0,2.0,3.0,175.0,780.0,9.0,3.0,30.0,11.0,486.0,24.0,,6.0,2.0,0.0,1.0,5.0,16.0,579.0,74.0,2.0,,95463,5.0,207.0,1.0,6.0,,234.0,5.0,,1.0,10.0,3.0,51.0,2.0,,2.0,4.0,2.0,21.0,1.0,1.0,,55.0,499.0,12.0,4.0,6.0,1.0,63.0,,,0.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,,66.8,15.0,5.0,1.0,1.0,4.0,2.0,37.0,7.0,598.0,11.0,5.0,26.0,6.0,33.0,6.0,381.0,8.0,5.0,18.0,126.0,24.0,1.0,,6.0,19.0,,11.0,2.0,15.0,,10.0,7.0,1.0,,3.0,,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3194,0.8655,1.20818,0.050935,1.51495
34,2128623,2021-04-30 20:00:00,"St. Mary's Stadium, Southampton",,Away,Leicester City,Southampton,1,1,D,0,0,0,1,1.0,1.0,32.0,70.0,,2.0,17.0,5.0,10.0,2.0,13.0,2.0,5.0,184.0,16.0,9.0,9.0,1.0,3.0,18.0,1.0,9.0,157.0,155.0,65.0,1.0,23.0,3.0,11.0,5.0,,2.0,1.0,3.0,4.0,32.0,10.0,,3.0,5.0,5.0,8.0,40.0,379.0,,,0.0,255.0,13.0,,1.0,78.0,142.0,13.0,111.0,,2.0,28.0,20.0,10.0,1.0,11.0,155.0,3.0,,3.0,181.0,820.0,16.0,4.0,32.0,3.0,518.0,22.0,2.0,2.0,1.0,0.0,1.0,5.0,21.0,617.0,87.0,,,95463,6.0,164.0,2.0,16.0,,180.0,9.0,,2.0,20.0,1.0,45.0,,1.0,5.0,4.0,1.0,13.0,2.0,1.0,,39.0,534.0,9.0,8.0,9.0,4.0,60.0,,,0.0,,1.0,,1.0,1.0,,0.0,8.0,1.0,1.0,7.0,70.8,21.0,7.0,2.0,1.0,4.0,5.0,38.0,10.0,633.0,3.0,8.0,14.0,9.0,45.0,5.0,485.0,14.0,5.0,28.0,200.0,37.0,,,2.0,19.0,1.0,18.0,2.0,15.0,,8.0,10.0,,,1.0,1.0,,3.0,,,1.0,1.0,,2.0,1.0,,1.0,2.0,,,,1.0,,1.0,,1.0,,3.0,1.0,,4.0,,,1.0,,,1.0,2.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
35,2128630,2021-05-07 20:00:00,"King Power Stadium, Leicester",,Home,Leicester City,Newcastle United,2,4,L,0,2,0,0,1.0,,,59.0,,2.0,36.0,14.0,8.0,5.0,17.0,2.0,4.0,143.0,,11.0,16.0,2.0,4.0,22.0,1.0,9.0,169.0,129.0,56.0,1.0,25.0,7.0,14.0,6.0,,3.0,2.0,4.0,1.0,32.0,9.0,1.0,1.0,14.0,8.0,6.0,45.0,364.0,,,0.0,176.0,12.0,,2.0,93.0,118.0,17.0,100.0,1.0,2.0,25.0,13.0,8.0,1.0,10.0,129.0,3.0,,9.0,184.0,799.0,16.0,3.0,34.0,12.0,502.0,25.0,,9.0,2.0,1.0,4.0,5.0,18.0,577.0,93.0,,,95463,10.0,164.0,3.0,13.0,3.0,185.0,6.0,1.0,,13.0,4.0,47.0,,,2.0,4.0,2.0,18.0,5.0,2.0,,56.0,517.0,9.0,13.0,4.0,3.0,53.0,,,0.0,,,6.0,1.0,2.0,1.0,0.0,8.0,1.0,,7.0,68.3,18.0,2.0,2.0,2.0,4.0,9.0,38.0,9.0,596.0,12.0,7.0,23.0,7.0,47.0,7.0,443.0,13.0,6.0,18.0,140.0,26.0,1.0,,9.0,13.0,,18.0,3.0,18.0,,7.0,9.0,,,,,1.0,1.0,1.0,1.0,,4.0,,4.0,4.0,1.0,1.0,,,1.0,1.0,4.0,,1.0,,4.0,,5.0,,,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,
36,2128639,2021-05-11 18:00:00,"Old Trafford, Manchester",,Away,Leicester City,Manchester United,2,1,W,1,1,0,0,1.0,1.0,26.0,69.0,,1.0,21.0,9.0,8.0,7.0,4.0,,,131.0,15.0,5.0,5.0,2.0,2.0,9.0,,3.0,141.0,132.0,43.0,1.0,12.0,5.0,10.0,1.0,,1.0,1.0,1.0,1.0,16.0,8.0,1.0,,9.0,4.0,3.0,33.0,216.0,,,0.0,149.0,12.0,,,44.0,104.0,6.0,77.0,1.0,1.0,12.0,16.0,8.0,1.0,3.0,132.0,1.0,,4.0,142.0,650.0,7.0,4.0,15.0,13.0,393.0,19.0,1.0,5.0,2.0,0.0,,3.0,21.0,472.0,59.0,,,95463,,193.0,1.0,9.0,,205.0,5.0,,,16.0,3.0,48.0,1.0,2.0,,,1.0,15.0,,,,47.0,404.0,9.0,16.0,10.0,2.0,62.0,,,0.0,,3.0,3.0,,2.0,,0.0,4.0,2.0,,1.0,46.9,19.0,11.0,,,1.0,6.0,35.0,4.0,491.0,13.0,4.0,15.0,3.0,28.0,,302.0,4.0,3.0,13.0,102.0,34.0,,,5.0,17.0,1.0,9.0,2.0,13.0,,10.0,4.0,,,,,,3.0,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,3.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,
37,2128648,2021-05-18 20:15:00,"Stamford Bridge, London",7195.0,Away,Leicester City,Chelsea,1,2,L,0,0,0,0,1.0,1.0,28.0,56.0,,1.0,16.0,15.0,3.0,4.0,4.0,4.0,1.0,148.0,16.0,3.0,6.0,1.0,2.0,5.0,1.0,3.0,89.0,139.0,58.0,,7.0,,17.0,,,,1.0,1.0,,17.0,15.0,,2.0,15.0,5.0,7.0,46.0,127.0,,,0.0,121.0,16.0,,3.0,40.0,67.0,4.0,58.0,1.0,1.0,12.0,17.0,3.0,,4.0,139.0,2.0,,15.0,86.0,568.0,4.0,2.0,12.0,7.0,271.0,26.0,,12.0,1.0,5.0,6.0,1.0,24.0,354.0,64.0,,,95463,4.0,166.0,1.0,5.0,,192.0,11.0,,,17.0,9.0,61.0,,,,6.0,1.0,10.0,2.0,8.0,,53.0,290.0,14.0,10.0,12.0,1.0,52.0,,,0.0,,2.0,6.0,4.0,1.0,,0.0,3.0,1.0,,1.0,41.4,21.0,6.0,,,6.0,1.0,20.0,5.0,381.0,7.0,10.0,14.0,3.0,25.0,2.0,206.0,2.0,7.0,15.0,66.0,16.0,,,12.0,23.0,,6.0,2.0,15.0,,6.0,5.0,,,,3.0,,2.0,1.0,,,2.0,,,2.0,1.0,,1.0,,,,,,1.0,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
38,2128660,2021-05-23 16:00:00,"King Power Stadium, Leicester",8000.0,Home,Leicester City,Tottenham Hotspur,2,4,L,1,1,0,0,1.0,2.0,37.0,69.0,,1.0,21.0,14.0,4.0,2.0,6.0,1.0,2.0,164.0,17.0,4.0,9.0,2.0,3.0,7.0,,6.0,105.0,156.0,54.0,,10.0,1.0,16.0,2.0,,1.0,,1.0,1.0,15.0,17.0,,2.0,14.0,6.0,2.0,41.0,150.0,,2.0,0.0,109.0,9.0,,,78.0,40.0,5.0,63.0,4.0,,9.0,22.0,4.0,,2.0,156.0,,2.0,10.0,112.0,651.0,5.0,5.0,16.0,17.0,326.0,37.0,,7.0,,0.0,5.0,2.0,25.0,425.0,47.0,1.0,,95463,5.0,194.0,,7.0,,229.0,7.0,2.0,,22.0,4.0,57.0,1.0,,3.0,2.0,,15.0,2.0,4.0,2.0,58.0,340.0,7.0,15.0,17.0,3.0,61.0,,1.0,0.0,,2.0,7.0,1.0,2.0,1.0,0.0,1.0,,1.0,2.0,47.0,22.0,2.0,,1.0,2.0,2.0,31.0,8.0,444.0,17.0,13.0,16.0,2.0,26.0,1.0,230.0,6.0,2.0,11.0,69.0,27.0,2.0,5.0,7.0,28.0,,5.0,3.0,14.0,5.0,9.0,8.0,,,,1.0,,2.0,,,,4.0,,3.0,4.0,2.0,,,,,,2.0,,1.0,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,
