gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attRfTarget,attPenTarget,penaltyWon,attSvLowLeft,goodHighClaim,attOboxMiss,contentiousDecision,accurateThroughBall,accurateFreekickCross,attSetpiece,totalThroughBall,totalHighClaim,handBall,attLfTarget,savedObox,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,attOboxTarget,attSvHighRight,totalFastbreak,totalKeeperSweeper,attFastbreak,punches,overrun,shieldBallOop,clearanceOffLine,attGoalLowLeft,attLfGoal,goals,goalAssistOpenplay,attMissHighRight,attOboxGoal,goalAssist,errorLeadToShot,goalsOpenplay,forwardGoals,bigChanceScored,attGoalHighRight,ptsGainedLosingPos,penaltyConceded,attRfGoal,attPenGoal,attIboxGoal,penaltyFaced,attGoalLowRight,midfielderGoals,attMissHighLeft,sixYardBlock,attCmissHighLeft,attCmissHighRight,ptsDroppedWinningPos,goalsConcededObox,attOneOnOne,goalAssistSetplay,goalAssistIntentional,errorLeadToGoal,attPostHigh,attCmissRight,goalAssistDeadball,attHdGoal,attGoalLowCentre,attFreekickTotal,freekickTotal,attGoalHighCentre,attLgCentre,attFreekickTarget,cleanSheet,attFreekickMiss,penGoalsConceded,attSvHighLeft,ownGoals,attIboxOwnGoal,attObxdLeft,attOboxPost
28,2128561,2021-03-14 14:00:00,"King Power Stadium, Leicester",,Away,Sheffield United,Leicester City,0,5,L,0,1,0,0,28.0,45.0,,17.0,20.0,,,1.0,5.0,116.0,19.0,2.0,8.0,3.0,1.0,1.0,,50.0,121.0,41.0,1.0,,9.0,,,,,7.0,,7.0,20.0,1.0,2.0,37.0,79.0,0.0,74.0,9.0,4.0,2.0,60.0,29.0,,54.0,4.0,1.0,6.0,23.0,,2.0,121.0,,15.0,71.0,457.0,1.0,3.0,3.0,,,18.0,189.0,22.0,2.0,9.0,2.0,6.0,1.0,15.0,265.0,38.0,82691,1.0,130.0,,2.0,152.0,7.0,1.0,23.0,8.0,50.0,,,5.0,12.0,5.0,5.0,,49.0,207.0,10.0,13.0,,7.0,,51.0,,,0.0,9.0,6.0,5.0,1.0,0.0,2.0,,,28.3,15.0,,2.0,,,5.0,,17.0,1.0,291.0,18.0,12.0,12.0,1.0,,16.0,,1.0,146.0,1.0,2.0,9.0,38.0,14.0,1.0,9.0,14.0,3.0,1.0,2.0,15.0,1.0,8.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,
29,2128572,2021-03-03 18:00:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Aston Villa,1,0,W,1,0,1,0,34.0,55.0,2.0,28.0,47.0,2.0,2.0,6.0,4.0,121.0,16.0,,2.0,2.0,7.0,,2.0,49.0,123.0,36.0,9.0,,19.0,,3.0,,3.0,8.0,,9.0,47.0,2.0,4.0,27.0,99.0,0.0,84.0,13.0,3.0,2.0,46.0,41.0,4.0,48.0,,2.0,6.0,7.0,3.0,3.0,123.0,1.0,12.0,45.0,443.0,6.0,4.0,10.0,,,13.0,177.0,22.0,8.0,28.0,1.0,7.0,3.0,13.0,238.0,57.0,82691,2.0,84.0,,1.0,99.0,6.0,,7.0,13.0,56.0,,1.0,1.0,18.0,4.0,1.0,,74.0,183.0,6.0,15.0,,27.0,2.0,70.0,,,0.0,7.0,3.0,,,1.0,,1.0,,28.2,7.0,1.0,3.0,,,1.0,2.0,23.0,2.0,263.0,13.0,2.0,16.0,5.0,,15.0,,3.0,172.0,6.0,4.0,15.0,48.0,18.0,3.0,28.0,13.0,,6.0,3.0,9.0,3.0,6.0,2.0,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,2.0,1.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,
30,2128580,2021-04-03 15:00:00,"Elland Road, Leeds",,Away,Sheffield United,Leeds United,1,2,L,1,1,0,0,34.0,72.0,2.0,22.0,22.0,6.0,1.0,3.0,7.0,164.0,19.0,1.0,6.0,5.0,5.0,,1.0,92.0,158.0,53.0,9.0,2.0,13.0,,1.0,,3.0,18.0,,9.0,22.0,7.0,8.0,40.0,142.0,0.0,112.0,13.0,3.0,4.0,95.0,36.0,3.0,63.0,1.0,1.0,11.0,24.0,6.0,2.0,158.0,,14.0,91.0,608.0,5.0,9.0,9.0,,,11.0,295.0,34.0,4.0,16.0,2.0,6.0,2.0,23.0,388.0,43.0,82691,1.0,167.0,,5.0,200.0,8.0,,24.0,9.0,48.0,,1.0,6.0,18.0,10.0,4.0,,53.0,308.0,12.0,9.0,,19.0,1.0,64.0,,2.0,0.0,5.0,4.0,2.0,3.0,0.0,1.0,,,45.9,19.0,,3.0,,,6.0,4.0,31.0,7.0,410.0,11.0,7.0,23.0,4.0,,24.0,,,228.0,8.0,6.0,18.0,70.0,24.0,1.0,16.0,17.0,2.0,6.0,4.0,14.0,1.0,9.0,7.0,,,,,1.0,4.0,,,,2.0,,1.0,2.0,,3.0,,,,,,,,,,1.0,,,,,1.0,,,,,2.0,1.0,,1.0,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,
31,2128592,2021-04-11 19:00:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Arsenal,0,3,L,0,1,0,0,23.0,49.0,1.0,25.0,19.0,2.0,2.0,5.0,2.0,147.0,13.0,1.0,3.0,,5.0,1.0,2.0,112.0,107.0,33.0,7.0,2.0,14.0,2.0,1.0,,,9.0,,7.0,19.0,,4.0,35.0,155.0,0.0,90.0,9.0,1.0,,77.0,47.0,3.0,101.0,2.0,2.0,9.0,12.0,2.0,4.0,107.0,,8.0,109.0,609.0,5.0,2.0,11.0,1.0,,5.0,382.0,23.0,2.0,4.0,1.0,6.0,2.0,15.0,447.0,44.0,82691,3.0,243.0,,5.0,267.0,5.0,1.0,12.0,5.0,43.0,,2.0,5.0,11.0,6.0,2.0,,54.0,397.0,5.0,8.0,,9.0,1.0,59.0,1.0,,0.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,,45.1,14.0,,1.0,1.0,,5.0,3.0,32.0,2.0,469.0,5.0,10.0,16.0,2.0,,17.0,,2.0,211.0,4.0,4.0,9.0,66.0,17.0,1.0,4.0,16.0,3.0,6.0,3.0,5.0,1.0,4.0,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,
32,2128605,2021-04-17 20:15:00,"Molineux Stadium, Wolverhampton",,Away,Sheffield United,Wolverhampton Wanderers,0,1,L,0,0,0,0,22.0,56.0,3.0,27.0,9.0,3.0,3.0,5.0,3.0,159.0,9.0,7.0,8.0,3.0,5.0,,2.0,134.0,125.0,46.0,8.0,1.0,15.0,1.0,1.0,,,28.0,,11.0,9.0,,2.0,36.0,262.0,0.0,168.0,15.0,,3.0,95.0,111.0,3.0,87.0,,1.0,28.0,10.0,3.0,8.0,125.0,1.0,9.0,132.0,682.0,5.0,2.0,20.0,,,6.0,432.0,8.0,1.0,4.0,2.0,3.0,2.0,14.0,496.0,62.0,82691,3.0,190.0,1.0,17.0,204.0,10.0,,10.0,4.0,53.0,,2.0,11.0,17.0,1.0,3.0,,45.0,445.0,8.0,8.0,,8.0,2.0,62.0,,,0.0,3.0,3.0,1.0,,0.0,7.0,1.0,,52.5,13.0,,8.0,1.0,1.0,11.0,4.0,46.0,3.0,512.0,6.0,11.0,19.0,2.0,,31.0,,1.0,336.0,4.0,2.0,11.0,128.0,29.0,1.0,4.0,19.0,1.0,6.0,3.0,12.0,1.0,3.0,3.0,2.0,,,1.0,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2128613,2021-04-24 20:00:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Brighton and Hove Albion,1,0,W,1,0,0,0,24.0,49.0,1.0,14.0,25.0,2.0,2.0,5.0,4.0,147.0,9.0,1.0,9.0,1.0,5.0,1.0,3.0,52.0,132.0,49.0,7.0,2.0,16.0,2.0,,,1.0,12.0,,16.0,25.0,2.0,4.0,23.0,116.0,0.0,102.0,13.0,2.0,1.0,64.0,40.0,4.0,38.0,2.0,,10.0,14.0,2.0,1.0,132.0,,12.0,58.0,457.0,5.0,7.0,12.0,,,6.0,189.0,23.0,1.0,15.0,3.0,5.0,1.0,16.0,271.0,42.0,82691,3.0,85.0,,8.0,111.0,8.0,1.0,14.0,12.0,60.0,,,,10.0,5.0,5.0,,57.0,200.0,6.0,21.0,,21.0,1.0,63.0,2.0,,0.0,12.0,3.0,,,0.0,1.0,1.0,1.0,31.5,13.0,1.0,3.0,2.0,,,3.0,28.0,2.0,295.0,6.0,7.0,6.0,1.0,,18.0,,1.0,196.0,4.0,3.0,10.0,63.0,19.0,3.0,15.0,24.0,,6.0,2.0,12.0,3.0,7.0,2.0,2.0,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,,2.0,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,
34,2128624,2021-05-02 19:15:00,"Tottenham Hotspur Stadium, London",,Away,Sheffield United,Tottenham Hotspur,0,4,L,0,1,0,0,25.0,63.0,3.0,18.0,14.0,3.0,5.0,5.0,6.0,122.0,11.0,6.0,11.0,1.0,7.0,1.0,1.0,83.0,121.0,39.0,8.0,1.0,13.0,1.0,,,2.0,19.0,,7.0,14.0,5.0,3.0,24.0,121.0,0.0,96.0,9.0,1.0,1.0,57.0,44.0,5.0,60.0,2.0,1.0,14.0,13.0,3.0,4.0,121.0,,10.0,91.0,514.0,7.0,3.0,20.0,,,8.0,258.0,27.0,1.0,8.0,1.0,4.0,2.0,11.0,327.0,37.0,83427,5.0,160.0,,9.0,188.0,2.0,1.0,13.0,8.0,47.0,,,7.0,15.0,10.0,5.0,,48.0,275.0,7.0,15.0,,12.0,1.0,45.0,,,0.0,6.0,2.0,4.0,,0.0,5.0,1.0,,34.2,11.0,1.0,2.0,,,7.0,4.0,17.0,6.0,356.0,8.0,7.0,9.0,3.0,,21.0,1.0,1.0,187.0,2.0,3.0,8.0,64.0,22.0,,8.0,13.0,2.0,7.0,3.0,15.0,,4.0,6.0,1.0,,,,,2.0,1.0,,,,,,1.0,,5.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
35,2128633,2021-05-08 15:00:00,"Bramall Lane, Sheffield",,Home,Sheffield United,Crystal Palace,0,2,L,0,1,0,0,30.0,63.0,1.0,35.0,18.0,1.0,1.0,6.0,6.0,139.0,14.0,6.0,9.0,2.0,5.0,,,108.0,137.0,54.0,7.0,,19.0,,,,,19.0,,13.0,18.0,5.0,5.0,40.0,130.0,0.0,106.0,11.0,4.0,1.0,56.0,60.0,1.0,64.0,4.0,3.0,14.0,15.0,1.0,3.0,137.0,1.0,16.0,101.0,618.0,3.0,5.0,19.0,,,9.0,319.0,27.0,3.0,7.0,1.0,6.0,4.0,20.0,394.0,48.0,83427,5.0,209.0,1.0,10.0,222.0,7.0,2.0,15.0,6.0,67.0,1.0,2.0,8.0,20.0,5.0,4.0,2.0,64.0,333.0,8.0,17.0,2.0,17.0,3.0,78.0,,,0.0,11.0,6.0,2.0,,0.0,4.0,4.0,,49.8,20.0,3.0,2.0,,,8.0,1.0,42.0,5.0,412.0,9.0,12.0,25.0,6.0,,26.0,2.0,5.0,209.0,2.0,5.0,15.0,71.0,23.0,1.0,7.0,22.0,2.0,3.0,3.0,18.0,1.0,7.0,5.0,,,,,2.0,1.0,,,,,,3.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,
36,2128638,2021-05-16 19:00:00,"Goodison Park, Liverpool",,Away,Sheffield United,Everton,1,0,W,1,0,0,0,22.0,66.0,3.0,20.0,26.0,5.0,5.0,5.0,6.0,139.0,8.0,4.0,9.0,3.0,7.0,,3.0,94.0,137.0,43.0,10.0,1.0,28.0,,,,,13.0,,7.0,26.0,4.0,6.0,34.0,154.0,0.0,133.0,12.0,3.0,2.0,72.0,50.0,5.0,74.0,,1.0,9.0,14.0,5.0,1.0,137.0,1.0,12.0,78.0,573.0,4.0,2.0,17.0,,,8.0,289.0,26.0,4.0,14.0,3.0,5.0,2.0,16.0,362.0,50.0,83427,4.0,148.0,1.0,6.0,163.0,5.0,,14.0,11.0,67.0,,3.0,5.0,13.0,4.0,1.0,1.0,67.0,298.0,8.0,7.0,2.0,18.0,2.0,74.0,,,0.0,11.0,5.0,,,0.0,2.0,2.0,,37.6,13.0,1.0,4.0,,1.0,5.0,4.0,28.0,4.0,385.0,8.0,11.0,11.0,3.0,,25.0,2.0,1.0,235.0,3.0,5.0,12.0,88.0,25.0,1.0,14.0,14.0,,7.0,,19.0,1.0,8.0,4.0,1.0,,,,2.0,2.0,,,2.0,1.0,,2.0,,1.0,1.0,,,,2.0,,,,,,1.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,,
37,2128652,2021-05-19 18:00:00,"St. James' Park, Newcastle",10000.0,Away,Sheffield United,Newcastle United,0,1,L,0,1,0,0,24.0,50.0,,14.0,15.0,5.0,1.0,6.0,4.0,121.0,14.0,7.0,7.0,2.0,10.0,,1.0,129.0,113.0,44.0,11.0,1.0,16.0,1.0,,1.0,2.0,21.0,,10.0,15.0,2.0,3.0,20.0,266.0,0.0,175.0,7.0,1.0,1.0,86.0,90.0,2.0,74.0,2.0,2.0,19.0,14.0,5.0,9.0,113.0,1.0,8.0,138.0,622.0,8.0,8.0,13.0,1.0,1.0,4.0,379.0,18.0,4.0,6.0,2.0,2.0,8.0,19.0,446.0,52.0,83427,6.0,130.0,1.0,9.0,145.0,3.0,,14.0,8.0,55.0,,4.0,5.0,11.0,8.0,4.0,4.0,46.0,389.0,6.0,24.0,2.0,17.0,3.0,56.0,,1.0,0.0,5.0,2.0,1.0,4.0,0.0,5.0,4.0,,49.1,18.0,3.0,5.0,,1.0,5.0,1.0,30.0,2.0,462.0,4.0,4.0,5.0,9.0,,25.0,2.0,5.0,338.0,6.0,2.0,14.0,137.0,18.0,1.0,6.0,17.0,1.0,6.0,2.0,11.0,1.0,10.0,2.0,,,,,1.0,3.0,,,1.0,1.0,,1.0,,,2.0,1.0,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,,1.0
38,2128663,2021-05-23 16:00:00,"Bramall Lane, Sheffield",5096.0,Home,Sheffield United,Burnley,1,0,W,1,0,0,0,29.0,69.0,2.0,29.0,29.0,4.0,3.0,8.0,3.0,167.0,15.0,5.0,9.0,1.0,8.0,,3.0,61.0,164.0,68.0,12.0,,44.0,,3.0,1.0,,20.0,1.0,13.0,29.0,6.0,3.0,28.0,133.0,0.0,130.0,11.0,,,47.0,75.0,3.0,59.0,1.0,2.0,14.0,11.0,4.0,3.0,164.0,,7.0,74.0,552.0,4.0,3.0,22.0,,1.0,5.0,236.0,29.0,9.0,18.0,3.0,4.0,5.0,14.0,333.0,66.0,83427,2.0,119.0,,11.0,152.0,6.0,2.0,11.0,13.0,79.0,,2.0,3.0,15.0,3.0,4.0,3.0,88.0,247.0,1.0,8.0,3.0,37.0,3.0,78.0,1.0,,0.0,9.0,1.0,,1.0,0.0,3.0,4.0,,43.0,13.0,4.0,3.0,1.0,,3.0,2.0,28.0,8.0,361.0,5.0,10.0,13.0,7.0,1.0,35.0,2.0,5.0,229.0,5.0,2.0,39.0,77.0,23.0,2.0,18.0,19.0,,8.0,2.0,15.0,2.0,6.0,8.0,1.0,,,,1.0,1.0,,,,1.0,,3.0,,1.0,2.0,,,1.0,2.0,,,,,1.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,
