gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,totalFastbreak,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,ownGoals,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,attLfTarget,savedObox,attFreekickTotal,attBxRight,postScoringAtt,attSvLowCentre,attIboxPost,attOboxTarget,attMissHighRight,attSvHighLeft,freekickCross,goodHighClaim,freekickTotal,attLgCentre,attHdTarget,hitWoodwork,expectedGoalsFreekick,accurateThroughBall,totalThroughBall,totalOffside,attSvLowRight,attOboxPost,totalHighClaim,attPostRight,errorLeadToGoal,bigChanceScored,goalAssistSetplay,goalAssistDeadball,attSvHighRight,penaltyWon,attSvLowLeft,bigChanceCreated,contentiousDecision,goalAssist,attPenMiss,bigChanceMissed,attCmissHigh,attCmissLeft,goalAssistIntentional,clearanceOffLine,ptsDroppedWinningPos,goalAssistOpenplay,attMissHighLeft,accurateFreekickCross,sixYardBlock,attCmissHighLeft,attCmissHighRight,accuratePullBack,attHdPost,attPostHigh,forwardGoals,handBall,accurateKeeperSweeper,totalKeeperSweeper,errorLeadToShot,secondYellow,punches,attPenTarget,penaltyConceded,attOneOnOne,ptsGainedLosingPos,attPostLeft,attObxdLeft,foulThrowIn,penaltyFaced,penGoalsConceded,attObxdRight,goalFastbreak,attObxLeft,attFreekickMiss,attLgRight,attIboxOwnGoal,attFreekickTarget
25,2562142,2026-02-07 12:30:00,"Old Trafford, Manchester",73985.0,Home,Manchester United,Tottenham Hotspur,2,0,W,1.0,0.0,0,1,0.0,42.0,0.0,2.0,1.0,1.4886,12.0,11.0,13.0,5.0,10.0,1.0,1.0,5.0,185.0,0.0,5.0,9.0,2.0,4.0,18.0,2.0,10.0,197.0,119.0,47.0,23.0,5.0,6.0,3.0,1.0,1.0,20.0,11.0,0.0,11.0,5.0,10.0,29.0,0.1871,375.0,1.0,0.0,0.0,243.0,12.0,0.0,1.0,1.0,2.0,83.0,68.0,12.0,93.0,,3.0,16.0,11.0,13.0,0.0,0.0,5.0,3.0,119.0,4.0,0.0,174.0,831.0,16.0,2.0,37.0,5.0,565.0,16.0,2.0,3.0,1.0,5.0,6.0,1.65733,18.0,629.0,78.0,34.61,493250,7.0,212.0,11.0,1.0,224.0,7.0,106716.43,1.0,2.0,6.0,4.0,40.0,0.0,0.0,1.0,1.0,16.0,3.0,4.0,,0.0,27.0,582.0,11.0,6.0,,9.0,5.0,64.0,1.0,0.0,0.0,0.0,0.0,,,1.0,2.0,0.0,1.0,0.0,4.0,,2.0,65.2,16.0,,5.0,2.0,2.0,1.0,6.0,48.0,7.0,649.0,5.0,7.0,15.0,7.0,41.0,1.0,4.0,445.0,16.0,10.0,9.0,205.0,18.0,1.0,3.0,18.0,0.0,0.0,17.0,5.0,18.0,1.776,1.0,6.0,7.0,1.0,,,,,3.0,,5.0,1.0,1.0,,1.0,,,2.0,,,1.0,6.0,3.0,2.0,,1.0,,,1.0,1.0,,,,,2.0,,2.0,,2.0,,1.0,2.0,,,1.0,2.0,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
26,2562154,2026-02-10 20:15:00,"London Stadium, London",62473.0,Away,Manchester United,West Ham United,1,1,D,0.0,0.0,0,0,0.0,47.0,0.0,0.0,2.0,0.4811,21.0,12.0,1.0,3.0,8.0,2.0,0.0,1.0,183.0,0.0,6.0,10.0,1.0,2.0,8.0,,3.0,181.0,124.0,50.0,9.0,,10.0,1.0,,3.0,20.0,12.0,1.0,12.0,3.0,21.0,38.0,1.4547,323.0,,0.0,0.0,193.0,4.0,0.0,1.0,,0.0,108.0,66.0,4.0,112.0,1.0,1.0,17.0,18.0,1.0,0.0,0.0,8.0,,124.0,4.0,1.0,153.0,804.0,5.0,3.0,22.0,8.0,536.0,21.0,3.0,5.0,1.0,3.0,4.0,0.675266,28.0,613.0,73.0,33.42,446008,5.0,234.0,8.0,,256.0,4.0,110764.35,1.0,,5.0,4.0,33.0,0.0,0.0,1.0,1.0,10.0,3.0,4.0,,0.0,40.0,551.0,9.0,4.0,2.0,9.0,2.0,59.0,,0.0,0.0,0.0,0.0,1.0,5.0,,1.0,1.0,1.0,0.0,4.0,1.0,3.0,65.1,26.0,3.0,4.0,1.0,,1.0,2.0,48.0,3.0,629.0,8.0,7.0,20.0,4.0,39.0,2.0,4.0,393.0,3.0,21.0,12.0,150.0,21.0,1.0,5.0,19.0,0.0,1.0,7.0,3.0,18.0,0.5747,1.0,5.0,3.0,1.0,2.0,,1.0,,,,1.0,,,1.0,,,,,,,,,3.0,1.0,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,,2.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,
27,2562159,2026-02-23 20:00:00,"Hill Dickinson Stadium, Liverpool",52326.0,Away,Manchester United,Everton,1,0,W,0.0,0.0,0,0,0.0,62.0,0.0,1.0,1.0,1.0958,23.0,38.0,5.0,4.0,6.0,4.0,0.0,1.0,169.0,0.0,1.0,5.0,1.0,1.0,7.0,2.0,3.0,113.0,144.0,44.0,11.0,1.0,27.0,2.0,1.0,2.0,6.0,8.0,0.0,38.0,,10.0,37.0,0.865,182.0,1.0,0.0,0.0,125.0,7.0,0.0,3.0,2.0,0.0,52.0,57.0,3.0,73.0,,2.0,6.0,19.0,5.0,0.0,0.0,2.0,4.0,144.0,5.0,1.0,128.0,683.0,6.0,2.0,16.0,8.0,374.0,25.0,5.0,21.0,3.0,6.0,4.0,0.45971,14.0,460.0,52.0,35.31,485711,4.0,207.0,3.0,2.0,239.0,5.0,103359.67,1.0,1.0,9.0,7.0,61.0,0.0,0.0,5.0,1.0,24.0,7.0,3.0,1.0,0.0,59.0,388.0,11.0,10.0,,25.0,,69.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,52.2,13.0,1.0,2.0,,,5.0,2.0,36.0,1.0,483.0,8.0,8.0,19.0,6.0,18.0,,2.0,250.0,6.0,9.0,16.0,89.0,25.0,5.0,21.0,12.0,0.0,0.0,9.0,3.0,15.0,1.2656,5.0,9.0,1.0,1.0,3.0,,1.0,,,,,1.0,1.0,1.0,2.0,,,,,,,1.0,,,,2.0,,,1.0,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,1.0,,,,,
28,2562172,2026-03-01 14:00:00,"Old Trafford, Manchester",73934.0,Home,Manchester United,Crystal Palace,2,1,W,0.0,1.0,0,1,0.0,50.0,0.0,2.0,4.0,2.3732,22.0,16.0,9.0,2.0,11.0,2.0,0.0,6.0,169.0,0.0,11.0,7.0,2.0,3.0,16.0,2.0,11.0,171.0,129.0,57.0,20.0,1.0,13.0,3.0,1.0,1.0,25.0,6.0,0.0,16.0,7.0,19.0,28.0,0.6893,352.0,,0.0,0.0,177.0,13.0,0.0,,1.0,1.0,64.0,111.0,12.0,92.0,,3.0,18.0,15.0,9.0,0.0,0.0,8.0,2.0,129.0,5.0,0.0,180.0,778.0,13.0,6.0,32.0,4.0,510.0,13.0,2.0,13.0,2.0,2.0,4.0,1.31263,10.0,591.0,58.0,32.3,106760,9.0,186.0,9.0,1.0,208.0,7.0,110332.31,1.0,1.0,8.0,8.0,45.0,0.0,0.0,4.0,1.0,12.0,3.0,4.0,,1.0,38.0,527.0,12.0,3.0,2.0,7.0,3.0,70.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,9.0,3.0,6.0,61.0,10.0,2.0,5.0,,,4.0,5.0,50.0,7.0,612.0,4.0,8.0,16.0,4.0,37.0,2.0,2.0,429.0,12.0,19.0,24.0,138.0,28.0,,13.0,14.0,1.0,1.0,14.0,4.0,15.0,2.1613,,8.0,7.0,1.0,1.0,1.0,1.0,,2.0,,6.0,,,1.0,1.0,1.0,,2.0,,0.06,1.0,4.0,1.0,2.0,,1.0,,,2.0,,,2.0,1.0,3.0,2.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,,,,,,,3.0,,,,,,,,,,,,1.0
29,2562182,2026-03-04 20:15:00,"St. James' Park, Newcastle",52184.0,Away,Manchester United,Newcastle United,1,2,L,1.0,1.0,0,1,0.0,49.0,0.0,0.0,3.0,0.7237,18.0,18.0,6.0,2.0,8.0,3.0,0.0,2.0,157.0,1.0,2.0,7.0,1.0,3.0,11.0,,5.0,121.0,129.0,53.0,14.0,2.0,22.0,2.0,,,14.0,9.0,0.0,18.0,4.0,15.0,36.0,2.5331,228.0,,0.0,0.0,148.0,16.0,0.0,,,1.0,68.0,73.0,8.0,74.0,1.0,,10.0,18.0,6.0,0.0,0.0,5.0,2.0,129.0,8.0,0.0,117.0,638.0,10.0,6.0,33.0,9.0,364.0,16.0,1.0,11.0,3.0,1.0,3.0,1.64502,18.0,444.0,49.0,33.33,232112,6.0,158.0,4.0,1.0,176.0,7.0,112274.75,0.0,,8.0,8.0,60.0,0.0,0.0,1.0,0.0,11.0,4.0,7.0,2.0,0.0,47.0,384.0,14.0,4.0,,17.0,1.0,75.0,,0.0,0.0,0.0,0.0,,2.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,3.0,54.9,15.0,1.0,3.0,2.0,,1.0,5.0,40.0,4.0,469.0,9.0,9.0,18.0,4.0,31.0,,2.0,307.0,9.0,13.0,20.0,110.0,23.0,1.0,11.0,12.0,1.0,2.0,12.0,5.0,16.0,1.4815,1.0,8.0,4.0,1.0,1.0,,,,2.0,,2.0,2.0,1.0,1.0,2.0,,,1.0,,,2.0,7.0,,,,2.0,,,1.0,1.0,1.0,1.0,,,3.0,,1.0,,3.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,2.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,
30,2562191,2026-03-15 14:00:00,"Old Trafford, Manchester",73997.0,Home,Manchester United,Aston Villa,3,1,W,0.0,0.0,0,0,0.0,47.0,2.0,1.0,2.0,2.2094,22.0,22.0,5.0,5.0,11.0,1.0,0.0,,134.0,0.0,2.0,4.0,3.0,,13.0,,6.0,120.0,115.0,40.0,16.0,2.0,8.0,3.0,3.0,2.0,21.0,9.0,0.0,22.0,5.0,9.0,31.0,0.8398,226.0,,0.0,0.0,144.0,10.0,0.0,,3.0,2.0,71.0,62.0,9.0,74.0,1.0,2.0,16.0,11.0,5.0,0.0,0.0,6.0,3.0,115.0,6.0,1.0,151.0,639.0,11.0,5.0,20.0,12.0,398.0,23.0,4.0,9.0,3.0,2.0,4.0,0.914406,11.0,464.0,56.0,33.72,493250,5.0,186.0,10.0,,197.0,7.0,108013.54,2.0,,4.0,6.0,39.0,0.0,0.0,3.0,2.0,9.0,3.0,4.0,1.0,0.0,45.0,410.0,4.0,5.0,,13.0,4.0,47.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,3.0,1.0,2.0,0.0,,,2.0,52.0,11.0,,3.0,3.0,1.0,3.0,4.0,28.0,6.0,479.0,12.0,10.0,14.0,6.0,31.0,2.0,3.0,303.0,8.0,8.0,13.0,108.0,18.0,,9.0,19.0,1.0,1.0,12.0,2.0,10.0,1.1039,,4.0,6.0,1.0,,,2.0,,1.0,,,1.0,,,,,,1.0,,,3.0,6.0,1.0,,,,,,1.0,1.0,1.0,,,1.0,3.0,,2.0,,2.0,,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
31,2562195,2026-03-20 20:00:00,"Vitality Stadium, Bournemouth",11250.0,Away,Manchester United,Bournemouth,2,2,D,0.0,0.0,1,0,0.0,54.0,1.0,0.0,3.0,1.3687,20.0,30.0,6.0,1.0,8.0,3.0,0.0,3.0,165.0,0.0,3.0,3.0,2.0,2.0,11.0,,5.0,88.0,135.0,47.0,14.0,4.0,13.0,3.0,1.0,,15.0,10.0,0.0,30.0,7.0,10.0,34.0,1.4605,151.0,,0.0,0.0,113.0,9.0,0.0,1.0,1.0,1.0,37.0,38.0,9.0,77.0,2.0,1.0,8.0,19.0,6.0,0.0,0.0,3.0,1.0,135.0,6.0,0.0,85.0,594.0,10.0,6.0,27.0,12.0,302.0,21.0,9.0,21.0,2.0,4.0,2.0,0.874832,12.0,386.0,44.0,34.63,430871,4.0,172.0,5.0,1.0,201.0,3.0,111622.16,1.0,,8.0,11.0,42.0,0.0,0.0,4.0,0.0,13.0,10.0,6.0,1.0,1.0,49.0,320.0,9.0,7.0,1.0,19.0,4.0,65.0,1.0,0.0,0.0,0.0,0.0,,6.0,1.0,1.0,2.0,,1.0,2.0,,1.0,45.1,10.0,1.0,1.0,1.0,,4.0,7.0,29.0,8.0,415.0,12.0,8.0,14.0,2.0,30.0,1.0,1.0,229.0,12.0,10.0,19.0,78.0,22.0,2.0,21.0,16.0,0.0,2.0,8.0,4.0,8.0,1.7683,2.0,8.0,8.0,1.0,3.0,,1.0,,1.0,,1.0,,1.0,,3.0,,,,,,2.0,3.0,,1.0,,3.0,,,1.0,,,,1.0,1.0,1.0,,,,1.0,,,,,2.0,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,
32,2562211,2026-04-13 20:00:00,"Old Trafford, Manchester",74018.0,Home,Manchester United,Leeds United,1,2,L,0.0,2.0,1,0,1.0,43.0,0.0,0.0,5.0,1.8,29.0,25.0,5.0,6.0,15.0,3.0,0.0,4.0,148.0,1.0,6.0,7.0,1.0,1.0,14.0,,9.0,139.0,126.0,62.0,20.0,1.0,13.0,7.0,1.0,1.0,25.0,13.0,0.0,25.0,10.0,18.0,35.0,1.4379,223.0,,0.0,0.0,136.0,12.0,0.0,1.0,1.0,1.0,62.0,56.0,10.0,70.0,5.0,,15.0,14.0,5.0,0.0,0.0,7.0,3.0,126.0,11.0,0.0,140.0,702.0,10.0,3.0,36.0,15.0,396.0,18.0,6.0,13.0,3.0,6.0,4.0,1.1594,17.0,471.0,53.0,32.54,485711,8.0,203.0,7.0,1.0,222.0,7.0,109691.38,0.0,,6.0,8.0,45.0,0.0,0.0,6.0,0.0,16.0,4.0,7.0,3.0,0.0,47.0,420.0,14.0,9.0,3.0,14.0,10.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,,4.0,52.7,17.0,1.0,3.0,3.0,1.0,6.0,6.0,41.0,11.0,497.0,15.0,8.0,21.0,5.0,44.0,3.0,2.0,300.0,10.0,17.0,24.0,104.0,16.0,1.0,13.0,18.0,1.0,1.0,10.0,2.0,11.0,1.2653,1.0,6.0,11.0,2.0,,,2.0,,2.0,,1.0,1.0,1.0,1.0,,,,2.0,,,,,1.0,1.0,,,,,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
33,2562217,2026-04-18 20:00:00,"Stamford Bridge, London",39733.0,Away,Manchester United,Chelsea,1,0,W,1.0,0.0,0,0,0.0,36.0,0.0,0.0,,0.7931,15.0,29.0,3.0,1.0,1.0,3.0,0.0,,138.0,0.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,123.0,107.0,38.0,4.0,2.0,6.0,,1.0,,11.0,11.0,1.0,29.0,1.0,13.0,25.0,0.704,154.0,1.0,0.0,0.0,87.0,13.0,0.0,1.0,1.0,1.0,34.0,51.0,3.0,76.0,,1.0,10.0,17.0,3.0,0.0,0.0,5.0,1.0,107.0,11.0,0.0,94.0,606.0,3.0,3.0,10.0,6.0,346.0,18.0,1.0,16.0,3.0,13.0,1.0,0.194805,14.0,412.0,36.0,34.0,446008,1.0,209.0,2.0,,236.0,6.0,111039.9,1.0,2.0,8.0,8.0,32.0,0.0,0.0,6.0,1.0,14.0,10.0,6.0,,0.0,40.0,362.0,12.0,5.0,,14.0,,59.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,,41.3,12.0,,1.0,,,6.0,2.0,41.0,1.0,431.0,6.0,5.0,14.0,1.0,19.0,,,206.0,3.0,11.0,9.0,65.0,11.0,2.0,16.0,16.0,0.0,0.0,4.0,3.0,7.0,0.2912,2.0,8.0,1.0,,1.0,,,,,,,,,3.0,1.0,,,,,,,3.0,,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,
34,2562231,2026-04-27 20:00:00,"Old Trafford, Manchester",73773.0,Home,Manchester United,Brentford,2,1,W,2.0,0.0,0,0,1.0,48.0,0.0,0.0,,1.7851,29.0,45.0,4.0,3.0,7.0,5.0,0.0,1.0,143.0,0.0,3.0,7.0,2.0,,10.0,,6.0,106.0,115.0,68.0,11.0,,9.0,4.0,1.0,3.0,15.0,15.0,1.0,45.0,6.0,5.0,36.0,0.9135,158.0,,0.0,0.0,98.0,6.0,0.0,2.0,2.0,1.0,32.0,45.0,6.0,69.0,,,9.0,17.0,4.0,1.0,0.0,3.0,4.0,115.0,9.0,0.0,96.0,614.0,7.0,6.0,21.0,8.0,321.0,23.0,6.0,23.0,2.0,4.0,4.0,1.30648,10.0,390.0,42.0,34.36,485711,4.0,185.0,6.0,,208.0,1.0,109089.58,1.0,,8.0,8.0,32.0,0.0,0.0,3.0,1.0,14.0,3.0,7.0,1.0,0.0,54.0,340.0,9.0,8.0,1.0,19.0,4.0,58.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,4.0,44.8,7.0,,2.0,1.0,,3.0,,34.0,7.0,414.0,8.0,7.0,21.0,5.0,23.0,2.0,1.0,221.0,4.0,5.0,23.0,70.0,14.0,2.0,23.0,29.0,1.0,0.0,7.0,4.0,9.0,1.3613,2.0,8.0,7.0,,,,,,1.0,,,,,,2.0,,,3.0,,,1.0,1.0,1.0,1.0,,2.0,,,2.0,1.0,,,,2.0,4.0,,2.0,,2.0,,1.0,2.0,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,
35,2562242,2026-05-03 15:30:00,"Old Trafford, Manchester",74027.0,Home,Manchester United,Liverpool,3,2,W,2.0,0.0,0,0,0.0,50.0,1.0,1.0,4.0,2.1706,19.0,22.0,4.0,7.0,14.0,3.0,1.0,1.0,136.0,1.0,7.0,7.0,3.0,1.0,12.0,1.0,6.0,88.0,111.0,49.0,18.0,2.0,10.0,3.0,1.0,1.0,13.0,12.0,0.0,22.0,3.0,12.0,29.0,1.1894,141.0,,1.0,0.0,99.0,12.0,0.0,,1.0,2.0,37.0,50.0,6.0,55.0,1.0,2.0,11.0,21.0,4.0,0.0,0.0,1.0,1.0,111.0,7.0,0.0,83.0,538.0,9.0,3.0,30.0,16.0,266.0,18.0,2.0,10.0,2.0,3.0,6.0,1.6871,9.0,336.0,48.0,34.37,485711,8.0,153.0,8.0,3.0,175.0,8.0,106792.41,1.0,1.0,8.0,8.0,40.0,0.0,0.0,1.0,2.0,17.0,6.0,7.0,2.0,0.0,44.0,287.0,10.0,10.0,3.0,11.0,4.0,51.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,1.0,2.0,37.2,8.0,1.0,3.0,,,1.0,6.0,28.0,3.0,362.0,16.0,2.0,16.0,6.0,23.0,2.0,4.0,200.0,8.0,12.0,13.0,63.0,23.0,1.0,10.0,19.0,0.0,2.0,11.0,4.0,13.0,2.3411,1.0,8.0,3.0,1.0,2.0,,3.0,1.0,1.0,1.0,,,,2.0,,,,1.0,1.0,,,1.0,3.0,,,,,2.0,1.0,,,1.0,,1.0,2.0,,,,2.0,,1.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
36,2562252,2026-05-09 15:00:00,"Stadium of Light, Sunderland",47233.0,Away,Manchester United,Sunderland,0,0,D,0.0,0.0,0,0,0.0,45.0,0.0,0.0,3.0,0.1297,28.0,24.0,5.0,2.0,6.0,4.0,0.0,1.0,153.0,0.0,4.0,4.0,0.0,2.0,9.0,1.0,1.0,116.0,127.0,37.0,11.0,2.0,17.0,1.0,1.0,2.0,16.0,11.0,0.0,24.0,6.0,15.0,36.0,2.0472,202.0,1.0,0.0,0.0,128.0,11.0,0.0,3.0,1.0,0.0,53.0,58.0,5.0,89.0,1.0,1.0,11.0,21.0,5.0,0.0,0.0,4.0,3.0,127.0,9.0,0.0,115.0,641.0,7.0,8.0,21.0,11.0,367.0,19.0,3.0,12.0,3.0,5.0,4.0,0.689207,13.0,448.0,45.0,33.42,106760,5.0,191.0,7.0,1.0,220.0,7.0,100729.38,0.0,1.0,7.0,9.0,42.0,0.0,0.0,2.0,0.0,19.0,6.0,9.0,2.0,0.0,55.0,389.0,11.0,5.0,2.0,13.0,4.0,53.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0,0.0,0.0,4.0,0.0,4.0,1.0,1.0,49.4,12.0,1.0,3.0,1.0,1.0,2.0,5.0,31.0,7.0,473.0,11.0,6.0,19.0,5.0,30.0,1.0,2.0,269.0,8.0,13.0,8.0,95.0,17.0,3.0,12.0,14.0,0.0,0.0,6.0,2.0,8.0,0.6649,3.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2562262,2026-05-17 12:30:00,"Old Trafford, Manchester",,Home,Manchester United,Nottingham Forest,0,0,D,,,0,0,0.0,52.0,1.0,2.0,8.0,3.1852,31.0,32.0,8.0,10.0,21.0,2.0,2.0,2.0,145.0,0.0,7.0,9.0,3.0,2.0,22.0,,8.0,109.0,99.0,42.0,29.0,4.0,6.0,4.0,4.0,2.0,16.0,9.0,0.0,32.0,6.0,17.0,28.0,1.911,201.0,,0.0,0.0,134.0,11.0,0.0,,4.0,1.0,41.0,57.0,15.0,77.0,2.0,,10.0,20.0,8.0,0.0,0.0,1.0,3.0,99.0,11.0,0.0,107.0,642.0,20.0,6.0,45.0,10.0,371.0,30.0,6.0,15.0,2.0,3.0,7.0,2.41149,13.0,425.0,35.0,33.56,446008,13.0,189.0,7.0,2.0,207.0,6.0,106814.92,1.0,3.0,11.0,6.0,47.0,0.0,1.0,3.0,3.0,12.0,1.0,5.0,3.0,0.0,45.0,383.0,5.0,11.0,1.0,12.0,3.0,45.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,3.0,2.0,2.0,0.0,6.0,1.0,3.0,48.1,12.0,1.0,3.0,4.0,,3.0,12.0,37.0,7.0,438.0,10.0,10.0,23.0,9.0,36.0,1.0,4.0,247.0,16.0,13.0,12.0,106.0,13.0,5.0,15.0,16.0,0.0,2.0,24.0,3.0,19.0,4.5674,5.0,11.0,7.0,3.0,,,1.0,2.0,3.0,2.0,1.0,2.0,,2.0,2.0,,,,2.0,,4.0,6.0,,,,2.0,1.0,,2.0,,,,,2.0,4.0,1.0,1.0,,5.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,2.0,,,,,1.0,,1.0,,,,,,,,,,,
38,2562265,2026-05-24 16:00:00,"American Express Stadium, Falmer",,Away,Manchester United,Brighton and Hove Albion,0,0,D,,,0,0,0.0,48.0,2.0,0.0,1.0,2.1779,22.0,14.0,4.0,7.0,7.0,2.0,1.0,,138.0,0.0,1.0,7.0,3.0,,11.0,,7.0,127.0,121.0,40.0,11.0,,13.0,3.0,1.0,2.0,11.0,12.0,0.0,14.0,3.0,7.0,47.0,0.3018,196.0,1.0,0.0,0.0,111.0,8.0,0.0,,2.0,2.0,51.0,54.0,8.0,68.0,1.0,,8.0,16.0,4.0,1.0,0.0,3.0,3.0,121.0,9.0,0.0,117.0,604.0,8.0,7.0,32.0,10.0,350.0,23.0,1.0,9.0,1.0,3.0,3.0,1.32077,12.0,422.0,50.0,32.49,596777,3.0,177.0,5.0,,208.0,4.0,105287.08,1.0,2.0,6.0,15.0,40.0,0.0,0.0,3.0,2.0,16.0,4.0,13.0,1.0,0.0,55.0,372.0,11.0,2.0,,15.0,2.0,61.0,1.0,0.0,0.0,0.0,0.0,,,2.0,3.0,0.0,3.0,0.0,,1.0,1.0,47.6,12.0,,2.0,2.0,,3.0,1.0,33.0,3.0,450.0,10.0,9.0,23.0,3.0,14.0,1.0,,253.0,3.0,6.0,4.0,87.0,18.0,1.0,9.0,18.0,1.0,0.0,9.0,5.0,15.0,1.6567,1.0,6.0,3.0,4.0,,,1.0,1.0,3.0,1.0,1.0,1.0,,,2.0,,,,1.0,,1.0,1.0,1.0,1.0,,2.0,,,3.0,1.0,1.0,,,1.0,4.0,1.0,3.0,,1.0,,1.0,3.0,,,2.0,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,
