gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,ownGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attOboxBlocked,accurateKeeperSweeper,attOboxTarget,attSvHighRight,attSvLowLeft,goodHighClaim,bigChanceCreated,totalKeeperSweeper,bigChanceMissed,overrun,accurateFlickOn,attBxLeft,totalHighClaim,attOpenplay,errorLeadToGoal,attCmissRight,attFreekickTotal,attObxLeft,attBxRight,postScoringAtt,attIboxPost,cleanSheet,freekickTotal,attPostLeft,hitWoodwork,attMissHighLeft,offtargetAttAssist,attCmissHighLeft,attSvLowRight,attHdMiss,accurateCornersIntobox,attIboxMiss,attGoalLowLeft,attGoalLowRight,attLfGoal,goals,goalAssistOpenplay,attOboxGoal,goalAssist,attRfGoal,goalsOpenplay,attMissHigh,attIboxGoal,goalAssistIntentional,shieldBallOop,forwardGoals,attHdGoal,bigChanceScored,attSvHighLeft,midfielderGoals,attHdPost,sixYardBlock,totalPullBack,attCmissHigh,punches,attPostHigh,ptsDroppedWinningPos,goalAssistSetplay,attGoalHighCentre,attObxdRight,totalThroughBall,attMissHighRight,attOboxPost,clearanceOffLine,attPostRight,accuratePullBack,penaltyConceded,penaltyFaced,penGoalsConceded,goalAssistDeadball,attGoalLowCentre,attGoalHighRight,attOneOnOne,penaltyWon,accurateThroughBall,attPenGoal,handBall,ptsGainedLosingPos,attGoalHighLeft,contentiousDecision,shotFastbreak,totalFastbreak,attFastbreak,goalsConcededObox,attPenMiss,attFreekickTarget,attObxRight,penaltySave,defenderGoals,attLgCentre,attPenTarget
28,919165,2018-02-24 15:00:00,"Amex Stadium, Falmer",30523,Home,Brighton and Hove Albion,Swansea City,4,1,W,1,0,0,0,75.0,1.0,1.0,29.0,25.0,6.0,6.0,10.0,2.0,1.0,178.0,3.0,8.0,1.0,12.0,5.0,84.0,141.0,57.0,16.0,12.0,1.0,,1.0,10.0,11.0,25.0,2.0,3.0,40.0,159.0,0.0,115.0,17.0,1.0,,90.0,27.0,4.0,57.0,,5.0,8.0,15.0,6.0,3.0,5.0,141.0,4.0,89.0,576.0,8.0,15.0,30.0,,6.0,296.0,34.0,7.0,12.0,1.0,4.0,12.0,389.0,45.0,,,85128,5.0,153.0,5.0,,180.0,9.0,15.0,11.0,54.0,1.0,3.0,1.0,9.0,8.0,8.0,68.0,309.0,4.0,8.0,1.0,30.0,83.0,1.0,0.0,5.0,,1.0,0.0,1.0,1.0,47.8,10.0,4.0,,1.0,2.0,45.0,3.0,408.0,6.0,10.0,21.0,9.0,24.0,238.0,9.0,3.0,21.0,79.0,35.0,1.0,1.0,12.0,24.0,1.0,3.0,18.0,1.0,4.0,3.0,,1.0,,,,1.0,,3.0,,,1.0,7.0,2.0,,13.0,,1.0,,,1.0,1.0,1.0,,,,1.0,,8.0,,,,2.0,3.0,,,3.0,4.0,3.0,,3.0,1.0,3.0,,4.0,2.0,1.0,2.0,,4.0,,1.0,1.0,,2.0,,1.0,1.0,,,1.0,,3.0,2.0,,,,2.0,,,,,3.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
29,919173,2018-03-04 13:30:00,"Amex Stadium, Falmer",30620,Home,Brighton and Hove Albion,Arsenal,2,1,W,2,1,0,0,72.0,2.0,1.0,27.0,38.0,5.0,2.0,8.0,6.0,2.0,139.0,5.0,8.0,1.0,11.0,6.0,54.0,130.0,58.0,13.0,21.0,3.0,2.0,2.0,16.0,12.0,38.0,5.0,6.0,28.0,120.0,0.0,110.0,13.0,3.0,1.0,72.0,37.0,7.0,44.0,5.0,,11.0,21.0,5.0,3.0,3.0,130.0,9.0,50.0,494.0,7.0,9.0,20.0,1.0,13.0,197.0,37.0,4.0,17.0,3.0,6.0,16.0,263.0,56.0,,,85128,6.0,93.0,7.0,1.0,108.0,4.0,21.0,5.0,57.0,,6.0,,14.0,6.0,3.0,59.0,208.0,11.0,16.0,2.0,18.0,65.0,1.0,0.0,11.0,4.0,1.0,0.0,2.0,4.0,31.9,9.0,5.0,1.0,,2.0,30.0,6.0,287.0,13.0,7.0,13.0,5.0,23.0,195.0,7.0,5.0,18.0,70.0,22.0,1.0,,17.0,21.0,1.0,3.0,11.0,1.0,12.0,6.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,3.0,4.0,1.0,1.0,7.0,,,,,,,,,,,,1.0,4.0,,,2.0,3.0,2.0,,,,2.0,1.0,,2.0,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,2.0,,,,,1.0,,1.0,,,1.0,1.0,,2.0,,,,,,,,,,1.0,,,,1.0,,1.0,,,2.0,,,,,,,,,1.0,,
30,919186,2018-03-10 15:00:00,"Goodison Park, Liverpool",39199,Away,Brighton and Hove Albion,Everton,0,2,L,0,0,1,0,47.0,,1.0,24.0,35.0,6.0,2.0,3.0,2.0,3.0,133.0,1.0,2.0,1.0,5.0,4.0,73.0,149.0,46.0,10.0,16.0,2.0,,1.0,11.0,9.0,35.0,2.0,2.0,26.0,87.0,0.0,98.0,14.0,1.0,,48.0,29.0,3.0,47.0,,,9.0,11.0,7.0,3.0,5.0,149.0,8.0,49.0,459.0,5.0,15.0,10.0,1.0,8.0,178.0,21.0,6.0,15.0,1.0,3.0,18.0,270.0,53.0,,,85128,3.0,104.0,6.0,1.0,130.0,8.0,11.0,13.0,46.0,1.0,1.0,4.0,8.0,6.0,4.0,66.0,190.0,10.0,7.0,,23.0,72.0,1.0,0.0,10.0,2.0,2.0,1.0,1.0,1.0,41.0,10.0,4.0,2.0,4.0,1.0,27.0,3.0,302.0,8.0,9.0,9.0,5.0,20.0,183.0,7.0,,20.0,46.0,12.0,5.0,1.0,15.0,14.0,2.0,3.0,2.0,5.0,6.0,3.0,,,,2.0,1.0,1.0,,,,,1.0,1.0,,,7.0,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
31,919198,2018-05-09 20:00:00,"Etihad Stadium, Manchester",54013,Away,Brighton and Hove Albion,Manchester City,1,3,L,1,2,0,0,52.0,1.0,,26.0,25.0,2.0,1.0,4.0,4.0,1.0,125.0,1.0,4.0,,5.0,3.0,59.0,112.0,33.0,6.0,21.0,2.0,1.0,,9.0,12.0,25.0,3.0,7.0,25.0,75.0,0.0,43.0,7.0,,,18.0,57.0,3.0,55.0,4.0,1.0,6.0,4.0,2.0,1.0,2.0,112.0,12.0,62.0,454.0,3.0,8.0,7.0,1.0,16.0,224.0,43.0,5.0,12.0,1.0,4.0,16.0,275.0,36.0,,,85128,1.0,166.0,5.0,1.0,187.0,4.0,4.0,11.0,58.0,,2.0,,20.0,7.0,5.0,56.0,240.0,5.0,15.0,1.0,21.0,55.0,,0.0,4.0,3.0,3.0,0.0,1.0,2.0,26.2,12.0,,,,,24.0,3.0,301.0,16.0,7.0,13.0,3.0,16.0,123.0,3.0,6.0,10.0,27.0,3.0,1.0,,12.0,14.0,3.0,3.0,12.0,1.0,2.0,3.0,,,,,,1.0,,1.0,,1.0,2.0,4.0,1.0,,5.0,,1.0,,,1.0,,,,,,,,2.0,,,,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,919204,2018-03-31 15:00:00,"Amex Stadium, Falmer",30629,Home,Brighton and Hove Albion,Leicester City,0,2,L,0,0,0,1,71.0,,3.0,30.0,21.0,6.0,5.0,9.0,2.0,2.0,168.0,4.0,12.0,4.0,11.0,3.0,73.0,162.0,51.0,15.0,21.0,1.0,,2.0,25.0,6.0,21.0,5.0,3.0,33.0,138.0,0.0,119.0,11.0,2.0,2.0,74.0,61.0,5.0,47.0,1.0,1.0,20.0,21.0,6.0,9.0,2.0,162.0,5.0,86.0,574.0,9.0,9.0,21.0,,12.0,265.0,30.0,5.0,14.0,2.0,,31.0,353.0,67.0,1.0,,85128,5.0,139.0,9.0,2.0,161.0,7.0,21.0,3.0,53.0,,6.0,3.0,12.0,1.0,2.0,70.0,273.0,13.0,7.0,1.0,21.0,73.0,,0.0,1.0,2.0,2.0,0.0,3.0,2.0,46.4,23.0,6.0,2.0,3.0,5.0,38.0,6.0,374.0,12.0,7.0,12.0,7.0,25.0,238.0,8.0,2.0,15.0,61.0,27.0,3.0,,14.0,11.0,2.0,2.0,19.0,3.0,2.0,6.0,1.0,2.0,,2.0,,,2.0,2.0,,3.0,,4.0,3.0,2.0,10.0,,1.0,1.0,,1.0,,,,1.0,,,1.0,5.0,,1.0,2.0,1.0,5.0,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0
33,919215,2018-04-07 15:00:00,"Amex Stadium, Falmer",30501,Home,Brighton and Hove Albion,Huddersfield Town,1,1,D,1,1,1,0,66.0,3.0,1.0,32.0,30.0,5.0,3.0,8.0,4.0,3.0,162.0,8.0,9.0,1.0,13.0,4.0,86.0,176.0,67.0,13.0,34.0,2.0,1.0,2.0,15.0,12.0,30.0,5.0,9.0,36.0,138.0,0.0,130.0,13.0,2.0,2.0,73.0,64.0,6.0,48.0,1.0,1.0,10.0,14.0,5.0,1.0,1.0,176.0,8.0,64.0,553.0,9.0,15.0,23.0,,8.0,223.0,31.0,7.0,14.0,1.0,5.0,26.0,337.0,65.0,1.0,,85128,6.0,104.0,7.0,1.0,132.0,6.0,14.0,10.0,74.0,,3.0,6.0,14.0,7.0,5.0,76.0,234.0,7.0,10.0,3.0,27.0,80.0,,0.0,3.0,1.0,1.0,1.0,4.0,4.0,40.8,20.0,3.0,2.0,6.0,3.0,37.0,5.0,360.0,8.0,12.0,19.0,6.0,24.0,243.0,5.0,9.0,34.0,70.0,22.0,1.0,,14.0,17.0,1.0,2.0,16.0,1.0,5.0,5.0,1.0,2.0,,2.0,,,,4.0,,4.0,1.0,6.0,,,9.0,1.0,1.0,,,1.0,,,,,,1.0,2.0,6.0,2.0,1.0,4.0,4.0,5.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,2.0,,,,3.0,1.0,,,,,,,,,,,2.0,,3.0,,,,,,,,,,,,,,,,
34,919224,2018-04-14 15:00:00,"Selhurst Park, London",24656,Away,Brighton and Hove Albion,Crystal Palace,2,3,L,2,3,0,0,61.0,3.0,3.0,36.0,27.0,2.0,,10.0,4.0,1.0,147.0,8.0,8.0,1.0,12.0,3.0,66.0,155.0,52.0,12.0,19.0,,,2.0,30.0,6.0,27.0,6.0,3.0,35.0,128.0,0.0,128.0,16.0,3.0,2.0,72.0,65.0,5.0,54.0,3.0,2.0,24.0,13.0,2.0,9.0,1.0,155.0,7.0,80.0,542.0,6.0,13.0,19.0,,8.0,230.0,31.0,9.0,19.0,2.0,6.0,30.0,319.0,76.0,,,85128,7.0,129.0,13.0,,144.0,10.0,13.0,9.0,58.0,,1.0,2.0,15.0,8.0,5.0,80.0,249.0,10.0,12.0,3.0,34.0,84.0,1.0,0.0,5.0,2.0,3.0,0.0,4.0,3.0,49.8,24.0,6.0,,2.0,3.0,37.0,6.0,347.0,8.0,8.0,16.0,6.0,37.0,233.0,8.0,3.0,20.0,69.0,18.0,1.0,,19.0,14.0,3.0,3.0,12.0,1.0,2.0,6.0,,,,1.0,,1.0,,2.0,,1.0,1.0,3.0,1.0,,8.0,,,,,,,,,,,,,6.0,,,3.0,4.0,5.0,,1.0,,2.0,1.0,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
35,919235,2018-04-17 19:45:00,"Amex Stadium, Falmer",30440,Home,Brighton and Hove Albion,Tottenham Hotspur,1,1,D,0,0,0,0,74.0,2.0,1.0,23.0,29.0,3.0,2.0,5.0,5.0,1.0,166.0,2.0,10.0,1.0,6.0,5.0,66.0,151.0,52.0,8.0,19.0,2.0,3.0,,14.0,11.0,29.0,3.0,12.0,29.0,107.0,0.0,85.0,6.0,2.0,,66.0,47.0,5.0,71.0,3.0,,11.0,18.0,3.0,2.0,1.0,151.0,7.0,54.0,550.0,5.0,10.0,10.0,1.0,19.0,241.0,41.0,5.0,14.0,1.0,5.0,26.0,333.0,44.0,,,85128,3.0,146.0,9.0,,180.0,5.0,18.0,8.0,47.0,,,1.0,13.0,9.0,2.0,62.0,251.0,5.0,13.0,1.0,22.0,70.0,,0.0,5.0,3.0,1.0,0.0,1.0,1.0,35.9,16.0,4.0,,1.0,1.0,30.0,3.0,357.0,19.0,7.0,14.0,2.0,20.0,191.0,5.0,10.0,15.0,51.0,17.0,3.0,,14.0,22.0,1.0,2.0,13.0,3.0,7.0,3.0,2.0,,,2.0,,1.0,2.0,,,,,2.0,2.0,2.0,5.0,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,
36,919243,2018-04-28 15:00:00,"Turf Moor, Burnley",19459,Away,Brighton and Hove Albion,Burnley,0,0,D,0,0,0,0,68.0,1.0,3.0,31.0,28.0,2.0,3.0,8.0,4.0,2.0,181.0,1.0,4.0,,10.0,2.0,98.0,174.0,52.0,10.0,22.0,2.0,,3.0,23.0,8.0,28.0,4.0,14.0,25.0,189.0,0.0,137.0,17.0,3.0,,97.0,62.0,6.0,66.0,,,19.0,12.0,2.0,4.0,1.0,174.0,8.0,87.0,614.0,9.0,18.0,21.0,,7.0,313.0,26.0,10.0,15.0,2.0,4.0,23.0,412.0,60.0,,,85128,2.0,133.0,15.0,,162.0,6.0,12.0,5.0,51.0,,3.0,2.0,22.0,2.0,2.0,77.0,321.0,5.0,6.0,1.0,36.0,97.0,,0.0,3.0,3.0,,0.0,,,55.5,17.0,3.0,,2.0,4.0,43.0,4.0,432.0,7.0,3.0,8.0,4.0,29.0,293.0,7.0,13.0,33.0,94.0,29.0,2.0,,15.0,11.0,,3.0,10.0,2.0,6.0,4.0,,1.0,,,,1.0,1.0,,,,1.0,6.0,2.0,1.0,7.0,,,,,4.0,,,1.0,,,,,4.0,,,,1.0,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
37,919255,2018-05-04 20:00:00,"Amex Stadium, Falmer",30611,Home,Brighton and Hove Albion,Manchester United,1,0,W,0,0,0,0,61.0,2.0,2.0,33.0,22.0,5.0,2.0,6.0,3.0,3.0,139.0,2.0,14.0,,9.0,4.0,70.0,131.0,51.0,11.0,15.0,,,2.0,10.0,11.0,22.0,5.0,4.0,23.0,107.0,0.0,87.0,5.0,3.0,,37.0,54.0,6.0,48.0,,2.0,5.0,15.0,5.0,3.0,1.0,131.0,5.0,56.0,475.0,8.0,12.0,21.0,,10.0,205.0,27.0,3.0,16.0,2.0,5.0,17.0,287.0,38.0,,,85128,3.0,114.0,2.0,,130.0,2.0,15.0,11.0,45.0,,1.0,,15.0,11.0,8.0,71.0,219.0,3.0,17.0,1.0,25.0,72.0,,0.0,6.0,1.0,,0.0,1.0,2.0,31.7,12.0,1.0,1.0,,3.0,35.0,5.0,313.0,10.0,5.0,6.0,4.0,17.0,193.0,7.0,2.0,15.0,47.0,24.0,3.0,,16.0,19.0,,3.0,17.0,3.0,7.0,5.0,,1.0,,3.0,,1.0,1.0,,1.0,,,2.0,1.0,1.0,9.0,,1.0,,,1.0,,,1.0,,,,,3.0,,1.0,1.0,1.0,3.0,,,,1.0,,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
38,919266,2018-05-13 15:00:00,"Anfield, Liverpool",50752,Away,Brighton and Hove Albion,Liverpool,0,4,L,0,2,0,0,59.0,1.0,,25.0,30.0,2.0,1.0,,6.0,1.0,117.0,1.0,6.0,,2.0,1.0,58.0,119.0,36.0,2.0,17.0,,1.0,,12.0,11.0,30.0,3.0,5.0,32.0,66.0,0.0,67.0,6.0,3.0,,26.0,44.0,2.0,33.0,2.0,,9.0,15.0,2.0,2.0,,119.0,18.0,67.0,432.0,2.0,4.0,6.0,,9.0,182.0,37.0,5.0,17.0,0.0,6.0,13.0,249.0,44.0,,2.0,85128,,129.0,7.0,,157.0,3.0,15.0,11.0,39.0,,1.0,4.0,12.0,4.0,3.0,71.0,194.0,3.0,9.0,,25.0,63.0,,0.0,7.0,6.0,4.0,0.0,1.0,,27.7,10.0,1.0,,4.0,1.0,24.0,3.0,275.0,9.0,10.0,12.0,,11.0,130.0,1.0,5.0,10.0,37.0,10.0,1.0,,17.0,17.0,4.0,3.0,6.0,1.0,7.0,3.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
