gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,attSvHighLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attIboxGoal,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attRfTarget,attFreekickTotal,attOboxBlocked,attMissHighRight,cleanSheet,attSvLowLeft,freekickTotal,attOboxMiss,attMissHighLeft,bigChanceMissed,attSetpiece,totalPullBack,attCmissHigh,attSvLowRight,savedIbox,attCmissHighRight,attSvHighCentre,attFreekickMiss,shotFastbreak,goalFastbreak,attOneOnOne,totalFastbreak,contentiousDecision,accurateThroughBall,accurateFreekickCross,attFastbreak,attGoalHighLeft,attHdGoal,goalsConcededObox,attObxdRight,errorLeadToShot,sixYardBlock,attCmissLeft,clearanceOffLine,penaltySave,accuratePullBack,attOboxGoal,midfielderGoals,attPostLeft,penaltyConceded,attFreekickGoal,attOboxPost,penaltyFaced,foulThrowIn,errorLeadToGoal,handBall,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attPenTarget,defenderGoals,attGoalHighCentre,attFreekickTarget,attObxdLeft,penGoalsConceded,attFreekickPost,attPostRight,attSvHighRight,attLgCentre,attHdPost,attCmissHighLeft
27,919158,2018-02-11 16:30:00,"St. Mary's Stadium, Southampton",31915,Away,Liverpool,Southampton,2,0,W,2,0,0,0,,2.0,72.0,1.0,1.0,,3.0,20.0,22.0,5.0,9.0,11.0,4.0,2.0,186.0,2.0,11.0,2.0,,12.0,1.0,4.0,132.0,160.0,49.0,16.0,21.0,1.0,,,,2.0,,3.0,9.0,,9.0,,1.0,22.0,1.0,5.0,31.0,192.0,,0.0,138.0,8.0,,2.0,,,,59.0,56.0,6.0,66.0,,2.0,8.0,27.0,5.0,3.0,160.0,3.0,5.0,126.0,701.0,10.0,3.0,26.0,,,11.0,388.0,29.0,5.0,10.0,2.0,,2.0,,6.0,28.0,491.0,56.0,97032,10.0,209.0,5.0,238.0,3.0,,27.0,7.0,58.0,3.0,,3.0,2.0,18.0,1.0,3.0,1.0,,64.0,399.0,5.0,15.0,,35.0,87.0,2.0,0.0,2.0,3.0,2.0,,,2.0,0.0,2.0,2.0,1.0,,47.8,22.0,,3.0,1.0,4.0,4.0,39.0,1.0,,510.0,11.0,12.0,12.0,8.0,22.0,,5.0,281.0,7.0,4.0,20.0,97.0,34.0,2.0,3.0,10.0,14.0,,16.0,3.0,14.0,,3.0,15.0,1.0,2.0,,1.0,1.0,1.0,2.0,,3.0,1.0,2.0,,,,,4.0,,,,2.0,,,2.0,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
28,919169,2018-02-24 15:00:00,"Anfield, Liverpool",53256,Home,Liverpool,West Ham United,4,1,W,1,0,0,0,3.0,2.0,74.0,2.0,2.0,1.0,,21.0,19.0,7.0,7.0,14.0,3.0,1.0,224.0,6.0,11.0,4.0,1.0,19.0,3.0,12.0,198.0,156.0,63.0,21.0,17.0,5.0,2.0,1.0,,3.0,6.0,,25.0,1.0,21.0,,3.0,19.0,5.0,9.0,36.0,383.0,,0.0,246.0,7.0,,1.0,,,,99.0,80.0,12.0,109.0,,3.0,20.0,14.0,7.0,6.0,156.0,7.0,6.0,181.0,901.0,14.0,4.0,35.0,1.0,2.0,8.0,595.0,29.0,3.0,12.0,4.0,,0.0,1.0,7.0,18.0,694.0,80.0,97032,9.0,232.0,14.0,256.0,5.0,2.0,14.0,5.0,52.0,11.0,1.0,3.0,3.0,11.0,1.0,2.0,3.0,,56.0,609.0,7.0,9.0,1.0,16.0,86.0,,0.0,1.0,2.0,4.0,,1.0,2.0,0.0,3.0,4.0,,4.0,68.3,16.0,2.0,6.0,,3.0,2.0,53.0,8.0,,712.0,8.0,12.0,11.0,7.0,48.0,3.0,4.0,481.0,10.0,9.0,19.0,185.0,36.0,3.0,,12.0,27.0,1.0,18.0,3.0,18.0,,,7.0,8.0,4.0,1.0,2.0,,,,1.0,2.0,,5.0,,1.0,1.0,1.0,2.0,,1.0,,,,2.0,,,5.0,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,
29,919177,2018-03-03 17:30:00,"Anfield, Liverpool",53287,Home,Liverpool,Newcastle United,2,0,W,1,0,0,0,,2.0,75.0,,1.0,2.0,6.0,65.0,12.0,2.0,5.0,12.0,2.0,1.0,246.0,7.0,8.0,2.0,1.0,11.0,,3.0,190.0,158.0,71.0,14.0,21.0,1.0,,,1.0,2.0,,2.0,16.0,,18.0,,,12.0,6.0,19.0,56.0,330.0,,0.0,203.0,7.0,,2.0,1.0,1.0,1.0,136.0,89.0,8.0,126.0,2.0,,10.0,11.0,2.0,5.0,158.0,2.0,1.0,210.0,945.0,6.0,14.0,27.0,1.0,,12.0,646.0,22.0,9.0,5.0,2.0,1.0,0.0,3.0,3.0,17.0,755.0,101.0,97032,9.0,335.0,4.0,362.0,7.0,1.0,11.0,5.0,63.0,6.0,4.0,8.0,2.0,17.0,6.0,1.0,,,98.0,658.0,8.0,23.0,3.0,21.0,124.0,,0.0,,3.0,2.0,,,7.0,0.0,4.0,2.0,,2.0,70.9,15.0,1.0,5.0,1.0,8.0,8.0,83.0,8.0,1.0,772.0,12.0,9.0,25.0,3.0,33.0,3.0,3.0,426.0,5.0,18.0,29.0,145.0,39.0,2.0,,5.0,26.0,,9.0,3.0,11.0,,,1.0,8.0,,,2.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,1.0,3.0,1.0,,,,,,,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,
30,919188,2018-03-10 12:30:00,"Old Trafford, Manchester",74855,Away,Liverpool,Manchester United,1,2,L,0,2,0,0,1.0,,62.0,,,,,26.0,12.0,9.0,4.0,5.0,,,206.0,5.0,16.0,1.0,2.0,12.0,,2.0,151.0,168.0,51.0,14.0,22.0,1.0,1.0,,1.0,,1.0,1.0,33.0,,10.0,,1.0,12.0,13.0,4.0,32.0,303.0,,0.0,245.0,16.0,,,,1.0,,60.0,57.0,8.0,61.0,1.0,,20.0,16.0,9.0,1.0,168.0,1.0,5.0,166.0,769.0,9.0,3.0,25.0,,,7.0,464.0,26.0,3.0,4.0,,1.0,1.0,2.0,4.0,18.0,564.0,84.0,97032,3.0,185.0,18.0,200.0,12.0,,16.0,5.0,66.0,6.0,,4.0,,11.0,,5.0,2.0,,55.0,483.0,9.0,7.0,3.0,17.0,65.0,,0.0,4.0,1.0,1.0,,2.0,,0.0,,,2.0,2.0,67.9,16.0,2.0,4.0,,4.0,7.0,43.0,13.0,,584.0,7.0,14.0,14.0,5.0,48.0,5.0,4.0,417.0,7.0,4.0,13.0,182.0,28.0,,,4.0,13.0,2.0,7.0,3.0,23.0,,,8.0,13.0,1.0,,7.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,4.0,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
31,919197,2018-03-17 17:30:00,"Anfield, Liverpool",53287,Home,Liverpool,Watford,5,0,W,2,0,0,0,1.0,3.0,70.0,2.0,1.0,,,27.0,13.0,3.0,4.0,10.0,1.0,2.0,163.0,4.0,14.0,5.0,1.0,9.0,,10.0,160.0,172.0,53.0,13.0,20.0,4.0,1.0,,,4.0,2.0,1.0,13.0,,13.0,1.0,1.0,13.0,5.0,11.0,31.0,203.0,,0.0,130.0,5.0,,,1.0,,,61.0,61.0,8.0,93.0,,,8.0,24.0,3.0,3.0,172.0,2.0,2.0,165.0,771.0,5.0,8.0,39.0,1.0,,8.0,464.0,15.0,5.0,6.0,4.0,,1.0,1.0,1.0,26.0,566.0,65.0,97032,7.0,277.0,5.0,301.0,4.0,3.0,24.0,4.0,64.0,4.0,6.0,5.0,5.0,13.0,2.0,4.0,,,52.0,476.0,4.0,8.0,,19.0,94.0,,0.0,2.0,1.0,5.0,,,1.0,0.0,4.0,2.0,,2.0,58.0,20.0,1.0,6.0,,5.0,2.0,54.0,6.0,,581.0,8.0,23.0,19.0,1.0,34.0,,1.0,293.0,7.0,10.0,18.0,77.0,42.0,5.0,1.0,6.0,18.0,,12.0,3.0,22.0,,1.0,14.0,6.0,3.0,,2.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,3.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
32,919206,2018-03-31 12:30:00,"Selhurst Park, London",25807,Away,Liverpool,Crystal Palace,2,1,W,0,1,0,0,3.0,2.0,76.0,2.0,,1.0,4.0,32.0,21.0,5.0,6.0,11.0,2.0,1.0,198.0,8.0,10.0,2.0,,14.0,,6.0,198.0,175.0,49.0,16.0,17.0,2.0,4.0,,,2.0,1.0,1.0,29.0,,12.0,,2.0,21.0,6.0,10.0,52.0,310.0,,0.0,191.0,8.0,3.0,2.0,1.0,,,81.0,94.0,10.0,81.0,,,23.0,22.0,5.0,7.0,175.0,2.0,4.0,183.0,871.0,9.0,9.0,38.0,1.0,,9.0,542.0,25.0,4.0,13.0,2.0,,2.0,,4.0,29.0,646.0,75.0,97032,5.0,248.0,16.0,272.0,4.0,1.0,22.0,5.0,63.0,1.0,1.0,8.0,2.0,9.0,2.0,,1.0,,63.0,550.0,6.0,15.0,3.0,19.0,101.0,,0.0,4.0,4.0,2.0,,1.0,5.0,0.0,4.0,2.0,1.0,3.0,67.8,25.0,2.0,4.0,,8.0,6.0,62.0,6.0,,660.0,9.0,17.0,29.0,4.0,43.0,4.0,3.0,417.0,5.0,10.0,17.0,139.0,37.0,2.0,3.0,13.0,16.0,1.0,12.0,3.0,18.0,,3.0,7.0,6.0,,,2.0,1.0,,,,1.0,1.0,,,1.0,,2.0,1.0,,,,,,,,2.0,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,1.0
33,919217,2018-04-07 12:30:00,"Goodison Park, Liverpool",39220,Away,Liverpool,Everton,0,0,D,0,0,0,0,1.0,,52.0,,,1.0,1.0,37.0,19.0,6.0,1.0,4.0,1.0,,202.0,2.0,8.0,,2.0,6.0,1.0,3.0,141.0,177.0,55.0,10.0,25.0,2.0,,,,,1.0,,17.0,,8.0,,1.0,19.0,2.0,11.0,39.0,241.0,,0.0,163.0,7.0,,1.0,,1.0,1.0,39.0,105.0,3.0,101.0,,1.0,15.0,19.0,6.0,3.0,177.0,,3.0,144.0,767.0,6.0,6.0,27.0,,,5.0,457.0,24.0,7.0,9.0,,,0.0,1.0,3.0,29.0,566.0,77.0,97032,3.0,233.0,11.0,268.0,5.0,,19.0,7.0,52.0,1.0,1.0,4.0,,20.0,3.0,2.0,1.0,,78.0,472.0,12.0,4.0,,29.0,98.0,,0.0,1.0,3.0,,,,,0.0,2.0,,1.0,1.0,61.9,21.0,1.0,,1.0,4.0,3.0,60.0,2.0,1.0,588.0,5.0,12.0,21.0,4.0,32.0,,1.0,337.0,8.0,9.0,23.0,110.0,23.0,,1.0,9.0,12.0,,9.0,3.0,12.0,,1.0,11.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
34,919226,2018-04-14 17:30:00,"Anfield, Liverpool",52959,Home,Liverpool,Bournemouth,3,0,W,1,0,0,0,3.0,1.0,65.0,3.0,,,2.0,37.0,25.0,9.0,9.0,11.0,1.0,,191.0,1.0,13.0,3.0,3.0,17.0,1.0,7.0,163.0,138.0,58.0,20.0,11.0,2.0,,,2.0,2.0,3.0,4.0,20.0,,18.0,,2.0,25.0,5.0,9.0,45.0,300.0,,0.0,187.0,9.0,,1.0,,1.0,,53.0,93.0,9.0,89.0,1.0,2.0,16.0,17.0,9.0,3.0,138.0,1.0,5.0,176.0,817.0,15.0,5.0,37.0,1.0,,10.0,522.0,15.0,6.0,9.0,2.0,2.0,1.0,3.0,8.0,13.0,601.0,67.0,97032,10.0,236.0,12.0,248.0,5.0,2.0,17.0,2.0,38.0,3.0,4.0,4.0,3.0,15.0,1.0,1.0,2.0,,66.0,535.0,8.0,5.0,,14.0,84.0,2.0,0.0,,5.0,3.0,,,2.0,0.0,1.0,2.0,,3.0,61.8,12.0,1.0,7.0,1.0,4.0,3.0,53.0,7.0,,619.0,10.0,6.0,24.0,10.0,49.0,1.0,4.0,391.0,8.0,9.0,11.0,137.0,38.0,3.0,1.0,9.0,26.0,,19.0,3.0,22.0,,1.0,9.0,7.0,,1.0,1.0,1.0,1.0,,1.0,6.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,2.0,,1.0,,1.0,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
35,919242,2018-04-21 12:30:00,"The Hawthorns, West Bromwich",24520,Away,Liverpool,West Bromwich Albion,2,2,D,1,0,0,0,1.0,2.0,52.0,,,,1.0,40.0,33.0,3.0,7.0,6.0,4.0,2.0,179.0,4.0,13.0,2.0,3.0,7.0,1.0,3.0,162.0,130.0,49.0,9.0,17.0,1.0,1.0,,1.0,1.0,1.0,,13.0,,7.0,,,33.0,3.0,15.0,37.0,232.0,,0.0,143.0,5.0,,2.0,,,,53.0,78.0,4.0,97.0,,2.0,10.0,19.0,3.0,3.0,130.0,2.0,10.0,147.0,763.0,5.0,3.0,16.0,,,7.0,476.0,23.0,5.0,17.0,2.0,1.0,1.0,1.0,3.0,14.0,561.0,57.0,97032,4.0,266.0,7.0,290.0,4.0,,19.0,8.0,47.0,1.0,2.0,6.0,1.0,11.0,3.0,6.0,2.0,,67.0,494.0,11.0,11.0,,17.0,93.0,,0.0,2.0,7.0,2.0,,2.0,1.0,0.0,3.0,1.0,,2.0,61.6,13.0,2.0,2.0,1.0,6.0,2.0,66.0,4.0,,585.0,7.0,8.0,17.0,4.0,38.0,1.0,2.0,308.0,,13.0,13.0,99.0,19.0,2.0,5.0,17.0,12.0,2.0,7.0,3.0,19.0,2.0,5.0,10.0,4.0,,1.0,1.0,,,,1.0,2.0,,1.0,,,,,4.0,,,1.0,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,
36,919246,2018-04-28 12:30:00,"Anfield, Liverpool",53255,Home,Liverpool,Stoke City,0,0,D,0,0,0,0,,,67.0,,,,6.0,37.0,11.0,6.0,9.0,14.0,1.0,,192.0,4.0,3.0,,1.0,15.0,3.0,2.0,186.0,185.0,39.0,20.0,29.0,2.0,1.0,,2.0,,1.0,2.0,29.0,,2.0,,,11.0,8.0,9.0,60.0,322.0,,0.0,217.0,7.0,,,,,,89.0,93.0,10.0,84.0,,4.0,21.0,24.0,6.0,9.0,185.0,2.0,4.0,170.0,835.0,15.0,6.0,40.0,1.0,,6.0,506.0,22.0,2.0,10.0,,2.0,1.0,1.0,5.0,38.0,609.0,97.0,97032,11.0,207.0,12.0,231.0,4.0,,24.0,6.0,60.0,3.0,2.0,7.0,,19.0,1.0,3.0,1.0,,70.0,525.0,13.0,3.0,,11.0,96.0,,0.0,,2.0,,,,2.0,0.0,3.0,,2.0,2.0,71.9,28.0,1.0,1.0,2.0,7.0,10.0,64.0,9.0,,632.0,6.0,11.0,31.0,8.0,56.0,1.0,6.0,430.0,9.0,7.0,17.0,151.0,36.0,,2.0,10.0,6.0,,17.0,2.0,14.0,,2.0,8.0,9.0,1.0,1.0,4.0,1.0,1.0,,1.0,2.0,,2.0,,,,1.0,1.0,,,1.0,1.0,,2.0,1.0,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,919256,2018-05-06 16:30:00,"Stamford Bridge, London",41314,Away,Liverpool,Chelsea,0,1,L,0,1,0,0,1.0,,69.0,,,2.0,,57.0,10.0,4.0,2.0,6.0,3.0,,208.0,5.0,7.0,,3.0,10.0,1.0,5.0,232.0,154.0,48.0,10.0,20.0,3.0,1.0,,1.0,,2.0,,22.0,,6.0,,2.0,10.0,1.0,8.0,38.0,373.0,,0.0,209.0,9.0,,1.0,,1.0,1.0,154.0,127.0,5.0,109.0,1.0,1.0,21.0,11.0,4.0,9.0,154.0,,8.0,214.0,946.0,10.0,7.0,23.0,1.0,,14.0,649.0,22.0,6.0,4.0,,1.0,2.0,2.0,5.0,30.0,741.0,98.0,97032,5.0,300.0,11.0,317.0,7.0,,11.0,5.0,54.0,,,10.0,,20.0,4.0,4.0,2.0,,82.0,668.0,11.0,11.0,,19.0,109.0,,0.0,3.0,3.0,,,1.0,1.0,0.0,5.0,,1.0,3.0,68.4,26.0,2.0,4.0,,10.0,,81.0,1.0,1.0,763.0,14.0,13.0,22.0,5.0,40.0,,3.0,468.0,5.0,6.0,18.0,154.0,30.0,,,4.0,12.0,1.0,10.0,3.0,9.0,,,6.0,1.0,3.0,,,1.0,,1.0,,2.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
38,919266,2018-05-13 15:00:00,"Anfield, Liverpool",50752,Home,Liverpool,Brighton and Hove Albion,4,0,W,2,0,0,0,3.0,1.0,67.0,1.0,2.0,1.0,4.0,28.0,7.0,4.0,9.0,18.0,1.0,2.0,209.0,5.0,9.0,4.0,2.0,17.0,1.0,11.0,218.0,132.0,39.0,22.0,10.0,6.0,2.0,,2.0,1.0,4.0,1.0,18.0,,7.0,1.0,1.0,7.0,6.0,8.0,39.0,377.0,,0.0,215.0,3.0,,,,1.0,,83.0,116.0,12.0,97.0,,1.0,12.0,12.0,4.0,4.0,132.0,4.0,,213.0,898.0,14.0,4.0,46.0,,,9.0,650.0,22.0,3.0,4.0,2.0,2.0,0.0,1.0,5.0,21.0,727.0,92.0,97032,15.0,286.0,7.0,299.0,3.0,1.0,12.0,2.0,36.0,5.0,1.0,5.0,3.0,19.0,2.0,2.0,2.0,,54.0,658.0,4.0,6.0,1.0,8.0,91.0,,0.0,1.0,3.0,4.0,,,1.0,0.0,3.0,2.0,2.0,2.0,72.3,19.0,1.0,9.0,,5.0,6.0,73.0,7.0,,737.0,9.0,11.0,18.0,5.0,46.0,2.0,4.0,456.0,11.0,8.0,17.0,162.0,31.0,1.0,4.0,4.0,10.0,,17.0,3.0,15.0,,4.0,4.0,7.0,4.0,,2.0,,1.0,2.0,,1.0,1.0,5.0,,,,,,,1.0,,1.0,1.0,1.0,2.0,2.0,3.0,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,2.0,,,,,,,,,,
