gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,foulThrowIn,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowRight,attLfGoal,attRfTarget,goals,fouledFinalThird,attCmissRight,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissHighRight,attSvHighRight,cleanSheet,totalFastbreak,goodHighClaim,attHdTarget,attMissHighLeft,goalAssist,totalKeeperSweeper,accurateThroughBall,accurateFreekickCross,totalPullBack,totalThroughBall,goalsOpenplay,attAssistSetplay,attFastbreak,attIboxGoal,attCmissHighRight,goalAssistIntentional,attHdTotal,attHdMiss,attSvHighCentre,totalHighClaim,accurateCornersIntobox,forwardGoals,bigChanceScored,ptsGainedLosingPos,contentiousDecision,sixYardBlock,attHdGoal,goalAssistSetplay,goalAssistDeadball,attGoalHighCentre,bigChanceCreated,bigChanceMissed,attRfGoal,attGoalHighLeft,punches,ptsDroppedWinningPos,attGoalLowLeft,attFreekickTotal,attOboxGoal,attSvHighLeft,freekickTotal,attLgCentre,attObxRight,attFreekickMiss,goalsConcededObox,errorLeadToGoal,attGoalLowCentre,attPenTarget,penaltyWon,midfielderGoals,attSvLowLeft,penaltyConceded,penaltyFaced,penGoalsConceded,accuratePullBack,postScoringAtt,attOneOnOne,hitWoodwork,attOboxPost,attPostRight,defenderGoals,attObxLeft,attGoalHighRight,ownGoals,attIboxOwnGoal,attIboxPost,attHdPost,attCmissHigh,goalFastbreak,attCmissHighLeft,attFreekickTarget,attPostHigh,clearanceOffLine,attFreekickPost,attFreekickGoal
27,919159,2018-02-10 15:00:00,"bet365 Stadium, Stoke",29876,Home,Stoke City,Brighton and Hove Albion,1,1,D,0,1,0,0,1.0,50.0,3.0,1.0,35.0,29.0,9.0,5.0,6.0,5.0,189.0,4.0,12.0,10.0,3.0,93.0,197.0,62.0,15.0,5.0,40.0,3.0,31.0,8.0,,29.0,7.0,11.0,21.0,220.0,0.0,175.0,6.0,3.0,1.0,84.0,72.0,4.0,72.0,2.0,,24.0,17.0,9.0,11.0,3.0,197.0,9.0,114.0,705.0,7.0,9.0,24.0,11.0,335.0,14.0,8.0,14.0,0.0,1.0,6.0,40.0,438.0,86.0,,93127,5.0,138.0,12.0,1.0,152.0,2.0,17.0,13.0,81.0,2.0,4.0,15.0,5.0,7.0,2.0,76.0,354.0,10.0,10.0,33.0,99.0,,2.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,,57.1,31.0,5.0,,4.0,6.0,48.0,7.0,468.0,11.0,25.0,10.0,6.0,46.0,3.0,347.0,8.0,11.0,31.0,110.0,22.0,1.0,14.0,9.0,1.0,9.0,3.0,15.0,1.0,7.0,7.0,,,1.0,,1.0,2.0,,2.0,,,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,2.0,,,,,2.0,1.0,,,2.0,1.0,,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
28,919168,2018-02-24 12:30:00,"King Power Stadium, Leicester",31769,Away,Stoke City,Leicester City,1,1,D,1,0,0,0,,68.0,4.0,,26.0,51.0,6.0,3.0,,9.0,142.0,,8.0,3.0,2.0,42.0,178.0,72.0,6.0,2.0,30.0,1.0,9.0,9.0,1.0,51.0,1.0,3.0,29.0,83.0,0.0,102.0,16.0,5.0,1.0,32.0,37.0,1.0,31.0,3.0,1.0,8.0,20.0,6.0,2.0,2.0,178.0,10.0,42.0,496.0,2.0,22.0,11.0,15.0,121.0,20.0,5.0,32.0,3.0,2.0,2.0,31.0,223.0,67.0,1.0,93127,,55.0,5.0,,73.0,9.0,20.0,12.0,75.0,2.0,2.0,13.0,10.0,5.0,,74.0,138.0,10.0,11.0,31.0,86.0,1.0,,0.0,5.0,13.0,5.0,1.0,2.0,0.0,,2.0,,33.8,20.0,4.0,,2.0,2.0,34.0,1.0,257.0,15.0,15.0,11.0,2.0,24.0,,193.0,3.0,3.0,35.0,39.0,28.0,8.0,32.0,19.0,1.0,5.0,3.0,12.0,8.0,9.0,1.0,,1.0,,1.0,1.0,2.0,1.0,,,,1.0,1.0,,,,,,1.0,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,2.0,,1.0,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
29,919179,2018-03-03 15:00:00,"St. Mary's Stadium, Southampton",30335,Away,Stoke City,Southampton,0,0,D,0,0,0,0,,53.0,3.0,,24.0,47.0,8.0,2.0,3.0,6.0,113.0,3.0,8.0,11.0,3.0,51.0,123.0,55.0,12.0,,15.0,3.0,12.0,9.0,1.0,47.0,3.0,4.0,15.0,104.0,0.0,100.0,13.0,5.0,,55.0,27.0,3.0,27.0,2.0,,9.0,14.0,9.0,2.0,8.0,123.0,9.0,49.0,444.0,11.0,11.0,15.0,15.0,152.0,30.0,8.0,21.0,1.0,7.0,8.0,22.0,212.0,51.0,1.0,93127,3.0,61.0,7.0,1.0,76.0,7.0,14.0,11.0,62.0,2.0,,9.0,9.0,4.0,4.0,57.0,162.0,8.0,17.0,27.0,66.0,1.0,1.0,0.0,,15.0,3.0,,3.0,0.0,,1.0,,34.8,15.0,1.0,,,,30.0,4.0,240.0,15.0,8.0,10.0,9.0,22.0,1.0,176.0,8.0,4.0,27.0,60.0,14.0,6.0,21.0,13.0,,11.0,3.0,18.0,6.0,10.0,4.0,,,,1.0,,1.0,,2.0,1.0,,,,1.0,2.0,,1.0,1.0,,2.0,,,,2.0,,1.0,2.0,,,1.0,,,,2.0,,,,3.0,,,,,,,,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
30,919190,2018-03-12 20:00:00,"bet365 Stadium, Stoke",29138,Home,Stoke City,Manchester City,0,2,L,0,1,0,0,,48.0,2.0,,26.0,16.0,2.0,2.0,1.0,4.0,114.0,1.0,9.0,3.0,,40.0,134.0,49.0,3.0,2.0,16.0,,10.0,12.0,,16.0,3.0,8.0,23.0,72.0,0.0,63.0,6.0,2.0,1.0,43.0,30.0,2.0,39.0,3.0,,7.0,16.0,2.0,3.0,,134.0,12.0,52.0,410.0,3.0,7.0,5.0,10.0,152.0,24.0,8.0,8.0,1.0,3.0,1.0,25.0,218.0,40.0,,93127,,94.0,3.0,1.0,114.0,4.0,16.0,11.0,47.0,2.0,,14.0,5.0,4.0,1.0,65.0,165.0,8.0,10.0,30.0,68.0,,,0.0,3.0,10.0,2.0,2.0,2.0,0.0,1.0,,,22.9,15.0,3.0,,,2.0,26.0,3.0,245.0,10.0,10.0,10.0,1.0,14.0,1.0,141.0,1.0,4.0,13.0,31.0,17.0,2.0,8.0,19.0,2.0,2.0,2.0,15.0,2.0,11.0,3.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,
31,919199,2018-03-17 15:00:00,"bet365 Stadium, Stoke",30022,Home,Stoke City,Everton,1,2,L,0,0,1,0,,68.0,3.0,2.0,27.0,17.0,3.0,2.0,5.0,6.0,148.0,,10.0,7.0,4.0,83.0,144.0,60.0,9.0,1.0,10.0,,11.0,12.0,2.0,17.0,1.0,9.0,28.0,148.0,0.0,101.0,13.0,2.0,,44.0,24.0,6.0,48.0,4.0,,10.0,15.0,4.0,3.0,1.0,144.0,13.0,65.0,519.0,6.0,10.0,21.0,12.0,236.0,35.0,9.0,8.0,1.0,3.0,1.0,8.0,310.0,51.0,,93127,2.0,108.0,7.0,1.0,128.0,7.0,15.0,9.0,51.0,,,18.0,3.0,3.0,1.0,62.0,256.0,11.0,11.0,28.0,76.0,,,0.0,3.0,9.0,4.0,2.0,4.0,1.0,,,,43.5,3.0,6.0,,,3.0,40.0,1.0,344.0,12.0,16.0,16.0,2.0,24.0,1.0,227.0,6.0,9.0,21.0,62.0,21.0,4.0,8.0,19.0,2.0,8.0,3.0,13.0,4.0,8.0,1.0,1.0,1.0,,3.0,1.0,2.0,,1.0,1.0,1.0,2.0,,2.0,,,,1.0,,,1.0,1.0,2.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,
32,919203,2018-04-01 13:30:00,"Emirates Stadium, London",59371,Away,Stoke City,Arsenal,0,3,L,0,0,0,0,1.0,56.0,3.0,1.0,22.0,20.0,4.0,4.0,4.0,8.0,129.0,4.0,7.0,6.0,2.0,50.0,148.0,53.0,8.0,1.0,24.0,2.0,17.0,6.0,1.0,20.0,5.0,4.0,26.0,114.0,0.0,120.0,13.0,5.0,2.0,34.0,54.0,3.0,38.0,2.0,1.0,12.0,16.0,4.0,3.0,2.0,148.0,17.0,56.0,450.0,4.0,16.0,16.0,10.0,165.0,14.0,8.0,7.0,2.0,5.0,3.0,21.0,248.0,55.0,1.0,91972,,68.0,7.0,,76.0,7.0,16.0,8.0,62.0,3.0,2.0,15.0,7.0,2.0,,53.0,178.0,9.0,10.0,19.0,73.0,,1.0,0.0,1.0,6.0,5.0,3.0,3.0,0.0,1.0,3.0,,30.4,16.0,8.0,,2.0,2.0,28.0,5.0,273.0,10.0,10.0,10.0,4.0,28.0,2.0,214.0,3.0,3.0,27.0,68.0,27.0,,7.0,11.0,3.0,4.0,2.0,13.0,,6.0,5.0,,,,1.0,,2.0,1.0,1.0,1.0,1.0,,,2.0,,,,1.0,2.0,,1.0,,1.0,,1.0,,,,2.0,1.0,,,,1.0,1.0,,2.0,3.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,
33,919220,2018-04-07 15:00:00,"bet365 Stadium, Stoke",29515,Home,Stoke City,Tottenham Hotspur,1,2,L,0,0,0,0,,60.0,,,22.0,29.0,4.0,3.0,6.0,2.0,134.0,6.0,8.0,6.0,4.0,50.0,152.0,53.0,10.0,1.0,22.0,1.0,20.0,15.0,1.0,29.0,6.0,13.0,26.0,105.0,0.0,108.0,19.0,,3.0,36.0,43.0,4.0,40.0,,1.0,14.0,13.0,4.0,4.0,1.0,152.0,9.0,39.0,456.0,6.0,6.0,17.0,16.0,148.0,30.0,9.0,10.0,4.0,6.0,2.0,25.0,239.0,61.0,1.0,9047,5.0,60.0,7.0,1.0,82.0,15.0,13.0,10.0,73.0,2.0,,13.0,6.0,5.0,1.0,63.0,159.0,8.0,17.0,33.0,76.0,1.0,,0.0,2.0,3.0,2.0,2.0,1.0,0.0,5.0,1.0,,33.3,23.0,1.0,,,1.0,29.0,6.0,263.0,16.0,8.0,9.0,5.0,25.0,3.0,201.0,4.0,13.0,13.0,55.0,25.0,,10.0,24.0,2.0,6.0,3.0,15.0,,6.0,6.0,,,1.0,2.0,1.0,4.0,1.0,2.0,,,1.0,,1.0,,,,,,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,3.0,2.0,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,
34,919232,2018-04-16 20:00:00,"London Stadium, London",56795,Away,Stoke City,West Ham United,1,1,D,0,0,0,0,2.0,63.0,4.0,2.0,32.0,61.0,4.0,4.0,7.0,5.0,134.0,4.0,9.0,10.0,7.0,57.0,130.0,70.0,11.0,1.0,27.0,,11.0,8.0,3.0,61.0,1.0,4.0,16.0,120.0,0.0,105.0,21.0,3.0,2.0,38.0,56.0,9.0,42.0,1.0,,10.0,10.0,4.0,5.0,,130.0,4.0,54.0,497.0,9.0,17.0,18.0,5.0,181.0,29.0,17.0,25.0,3.0,8.0,1.0,17.0,260.0,60.0,,85352,4.0,82.0,3.0,2.0,96.0,13.0,10.0,5.0,72.0,3.0,1.0,16.0,14.0,2.0,1.0,71.0,198.0,14.0,16.0,45.0,81.0,1.0,,0.0,3.0,10.0,1.0,1.0,4.0,0.0,3.0,1.0,,37.5,14.0,3.0,,1.0,3.0,35.0,1.0,287.0,5.0,4.0,8.0,1.0,15.0,1.0,202.0,5.0,4.0,34.0,60.0,26.0,5.0,25.0,13.0,1.0,9.0,3.0,14.0,5.0,6.0,1.0,,1.0,,2.0,1.0,2.0,,3.0,,1.0,,,4.0,,,,,,2.0,,,,,2.0,,,1.0,1.0,,1.0,,,2.0,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,919240,2018-04-22 13:30:00,"bet365 Stadium, Stoke",29532,Home,Stoke City,Burnley,1,1,D,1,0,0,0,1.0,63.0,2.0,,28.0,41.0,4.0,3.0,4.0,6.0,183.0,4.0,10.0,8.0,3.0,52.0,182.0,72.0,8.0,1.0,42.0,,22.0,13.0,,41.0,3.0,3.0,33.0,120.0,0.0,134.0,15.0,4.0,,44.0,38.0,4.0,46.0,,3.0,19.0,15.0,4.0,8.0,1.0,182.0,11.0,45.0,521.0,5.0,20.0,13.0,6.0,173.0,26.0,12.0,21.0,2.0,3.0,3.0,29.0,293.0,86.0,,9047,2.0,73.0,11.0,,99.0,9.0,15.0,12.0,69.0,2.0,,7.0,5.0,5.0,,89.0,189.0,4.0,4.0,42.0,97.0,,,0.0,2.0,8.0,4.0,1.0,8.0,0.0,2.0,1.0,,42.8,22.0,4.0,2.0,,1.0,40.0,3.0,326.0,6.0,5.0,7.0,4.0,36.0,2.0,249.0,3.0,2.0,40.0,56.0,18.0,3.0,21.0,18.0,1.0,5.0,3.0,14.0,3.0,6.0,3.0,,1.0,,,1.0,1.0,,2.0,1.0,,2.0,1.0,1.0,,1.0,,1.0,4.0,1.0,,1.0,2.0,1.0,,,3.0,1.0,1.0,1.0,,,,2.0,1.0,,4.0,2.0,,,,,,,,,,1.0,1.0,1.0,,,2.0,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
36,919246,2018-04-28 12:30:00,"Anfield, Liverpool",53255,Away,Stoke City,Liverpool,0,0,D,0,0,0,0,,66.0,,,25.0,43.0,1.0,2.0,4.0,2.0,143.0,,3.0,4.0,1.0,34.0,163.0,60.0,5.0,1.0,17.0,,8.0,13.0,,43.0,2.0,7.0,32.0,66.0,0.0,82.0,14.0,,,38.0,41.0,1.0,33.0,1.0,3.0,6.0,19.0,1.0,1.0,,163.0,14.0,42.0,451.0,4.0,14.0,8.0,15.0,129.0,33.0,10.0,23.0,2.0,10.0,3.0,21.0,219.0,52.0,,85352,,75.0,5.0,2.0,101.0,6.0,19.0,14.0,39.0,2.0,1.0,24.0,6.0,4.0,,77.0,141.0,7.0,3.0,36.0,77.0,,,0.0,3.0,9.0,2.0,,5.0,0.0,,2.0,,28.1,12.0,3.0,,1.0,1.0,25.0,2.0,252.0,15.0,1.0,11.0,3.0,16.0,3.0,159.0,2.0,5.0,29.0,40.0,20.0,7.0,23.0,22.0,,3.0,2.0,8.0,7.0,9.0,2.0,1.0,,,1.0,,,2.0,1.0,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,2.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
37,919260,2018-05-05 12:30:00,"bet365 Stadium, Stoke",29687,Home,Stoke City,Crystal Palace,1,2,L,1,0,0,0,,52.0,,,36.0,29.0,2.0,2.0,5.0,,131.0,6.0,8.0,6.0,2.0,62.0,145.0,58.0,7.0,1.0,20.0,3.0,13.0,9.0,,29.0,1.0,8.0,27.0,128.0,0.0,96.0,18.0,,2.0,31.0,63.0,2.0,33.0,1.0,,12.0,18.0,2.0,7.0,,145.0,7.0,57.0,452.0,5.0,11.0,20.0,8.0,171.0,20.0,20.0,14.0,5.0,4.0,4.0,19.0,254.0,62.0,,9047,4.0,63.0,3.0,1.0,77.0,15.0,18.0,14.0,61.0,2.0,1.0,20.0,6.0,6.0,1.0,65.0,185.0,10.0,18.0,32.0,79.0,,,0.0,1.0,7.0,,2.0,6.0,0.0,6.0,1.0,2.0,41.1,11.0,4.0,,1.0,1.0,46.0,1.0,283.0,8.0,3.0,14.0,4.0,24.0,4.0,219.0,2.0,4.0,22.0,44.0,25.0,1.0,14.0,18.0,2.0,5.0,2.0,12.0,1.0,9.0,1.0,,,1.0,1.0,1.0,3.0,,1.0,,1.0,,,,,,,,,,,,,,2.0,,1.0,,1.0,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,3.0,,1.0,1.0,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0
38,919270,2018-05-13 15:00:00,"Liberty Stadium, Swansea",20673,Away,Stoke City,Swansea City,2,1,W,2,1,0,0,3.0,67.0,1.0,,37.0,43.0,3.0,4.0,5.0,9.0,152.0,3.0,5.0,5.0,5.0,100.0,114.0,57.0,8.0,1.0,11.0,,5.0,12.0,1.0,43.0,,8.0,28.0,119.0,0.0,63.0,9.0,3.0,1.0,39.0,26.0,3.0,82.0,6.0,2.0,5.0,18.0,3.0,1.0,1.0,114.0,19.0,80.0,612.0,3.0,11.0,6.0,18.0,319.0,38.0,13.0,18.0,2.0,11.0,2.0,11.0,386.0,46.0,,9047,4.0,220.0,3.0,1.0,244.0,5.0,18.0,7.0,52.0,5.0,7.0,9.0,8.0,5.0,,71.0,336.0,9.0,16.0,31.0,69.0,,,0.0,1.0,6.0,9.0,1.0,5.0,0.0,3.0,,,42.4,8.0,,1.0,7.0,1.0,37.0,,414.0,18.0,11.0,10.0,2.0,11.0,1.0,175.0,2.0,7.0,22.0,33.0,11.0,3.0,18.0,21.0,1.0,6.0,2.0,10.0,3.0,6.0,,,1.0,,,2.0,2.0,1.0,2.0,1.0,,1.0,1.0,1.0,,,,2.0,3.0,,,2.0,1.0,1.0,1.0,,1.0,1.0,,1.0,2.0,,2.0,2.0,1.0,,4.0,,1.0,2.0,3.0,,,1.0,1.0,1.0,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,
