gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attBxRight,attSvLowCentre,totalCornersIntobox,attSvHighRight,goodHighClaim,bigChanceMissed,sixYardBlock,totalOffside,attMissHigh,attHdMiss,totalHighClaim,accurateCornersIntobox,attIboxMiss,attLfGoal,goals,accuratePullBack,postScoringAtt,attMissLeft,attIboxPost,attGoalHighRight,attOboxGoal,attSvLowLeft,attPostLeft,hitWoodwork,accurateThroughBall,errorLeadToShot,attObxdLeft,defenderGoals,goalsOpenplay,punches,shieldBallOop,ptsDroppedWinningPos,attCmissRight,attFreekickTotal,attMissHighRight,attMissRight,freekickTotal,attHdPost,foulThrowIn,attFreekickMiss,attPostRight,attLfTarget,bigChanceScored,attGoalLowLeft,goalAssistSetplay,accurateKeeperSweeper,goalAssistOpenplay,ptsGainedLosingPos,midfielderGoals,bigChanceCreated,goalAssist,totalKeeperSweeper,attRfGoal,attIboxGoal,goalAssistIntentional,clearanceOffLine,forwardGoals,attCmissHigh,shotFastbreak,cleanSheet,totalFastbreak,attSvHighLeft,contentiousDecision,attFastbreak,attCmissLeft,attPostHigh,attGoalLowCentre,penaltyWon,attPenGoal,errorLeadToGoal,goalAssistDeadball,attOneOnOne,attCmissHighRight,attHdGoal,attGoalLowRight,secondYellow,attGoalHighLeft,penaltySave,penaltyConceded,attCorner,penaltyFaced,penGoalsConceded,attObpGoal,attOboxPost,attFreekickTarget,ownGoals,attIboxOwnGoal,attGoalHighCentre,attCmissHighLeft,attObxLeft,attLgCentre,attFreekickGoal
27,919155,2018-02-11 12:00:00,"John Smith's Stadium, Huddersfield",23823,Away,Bournemouth,Huddersfield Town,1,4,L,1,2,0,0,,74.0,,2.0,26.0,27.0,3.0,,4.0,1.0,1.0,180.0,2.0,11.0,3.0,4.0,2.0,102.0,188.0,53.0,7.0,1.0,23.0,,14.0,13.0,1.0,27.0,12.0,34.0,130.0,0.0,112.0,12.0,,,52.0,69.0,3.0,46.0,,8.0,29.0,3.0,1.0,1.0,188.0,10.0,87.0,644.0,2.0,3.0,15.0,,12.0,267.0,29.0,,5.0,17.0,3.0,6.0,1.0,34.0,389.0,48.0,,90105,3.0,161.0,7.0,,196.0,5.0,,29.0,8.0,65.0,,9.0,14.0,6.0,7.0,60.0,289.0,11.0,10.0,1.0,22.0,72.0,,0.0,2.0,2.0,1.0,4.0,,0.0,1.0,,49.0,26.0,6.0,1.0,,9.0,3.0,39.0,6.0,415.0,12.0,12.0,16.0,2.0,26.0,233.0,7.0,7.0,14.0,56.0,30.0,3.0,17.0,18.0,4.0,5.0,3.0,20.0,3.0,10.0,6.0,,,1.0,6.0,,1.0,1.0,1.0,5.0,,,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,1.0,1.0,,,,1.0,1.0,,,,,
28,919163,2018-02-24 15:00:00,"Vitality Stadium, Bournemouth",10808,Home,Bournemouth,Newcastle United,2,2,D,0,2,0,0,,59.0,1.0,2.0,42.0,22.0,8.0,5.0,10.0,2.0,2.0,215.0,6.0,9.0,2.0,12.0,5.0,144.0,189.0,57.0,18.0,2.0,29.0,2.0,37.0,12.0,1.0,22.0,9.0,42.0,247.0,0.0,184.0,12.0,2.0,1.0,81.0,125.0,7.0,70.0,,29.0,15.0,8.0,11.0,5.0,189.0,7.0,122.0,781.0,8.0,12.0,24.0,1.0,10.0,433.0,23.0,2.0,1.0,12.0,1.0,4.0,5.0,30.0,528.0,82.0,1.0,90105,6.0,208.0,17.0,1.0,223.0,8.0,,15.0,8.0,69.0,1.0,5.0,22.0,8.0,6.0,64.0,449.0,10.0,7.0,2.0,10.0,89.0,1.0,0.0,3.0,1.0,1.0,2.0,3.0,0.0,5.0,3.0,63.2,20.0,3.0,1.0,,5.0,4.0,59.0,8.0,551.0,10.0,16.0,23.0,9.0,52.0,365.0,10.0,7.0,23.0,123.0,28.0,1.0,12.0,16.0,2.0,11.0,3.0,14.0,1.0,5.0,8.0,,1.0,,8.0,,,1.0,1.0,,3.0,2.0,,1.0,4.0,,2.0,,,2.0,,,,1.0,,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,
29,919176,2018-03-03 15:00:00,"King Power Stadium, Leicester",31384,Away,Bournemouth,Leicester City,1,1,D,1,0,0,0,1.0,66.0,1.0,1.0,21.0,50.0,3.0,1.0,5.0,3.0,1.0,180.0,1.0,9.0,3.0,6.0,3.0,73.0,192.0,66.0,8.0,,31.0,1.0,8.0,7.0,1.0,50.0,11.0,38.0,146.0,0.0,151.0,7.0,2.0,1.0,53.0,74.0,3.0,44.0,1.0,7.0,30.0,3.0,1.0,2.0,192.0,17.0,77.0,600.0,6.0,10.0,15.0,,5.0,233.0,18.0,,7.0,29.0,1.0,9.0,3.0,27.0,350.0,65.0,,90105,4.0,99.0,5.0,,131.0,4.0,2.0,30.0,8.0,67.0,2.0,3.0,21.0,6.0,2.0,60.0,244.0,10.0,9.0,,30.0,65.0,,0.0,2.0,13.0,2.0,1.0,1.0,0.0,1.0,,44.6,18.0,3.0,1.0,,3.0,1.0,31.0,1.0,374.0,5.0,10.0,22.0,4.0,19.0,251.0,7.0,9.0,35.0,90.0,34.0,4.0,29.0,12.0,,7.0,2.0,20.0,4.0,13.0,1.0,1.0,,1.0,1.0,,3.0,1.0,,2.0,1.0,,4.0,,2.0,,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,,1.0,,2.0,,,2.0,,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
30,919183,2018-03-11 16:00:00,"Vitality Stadium, Bournemouth",10623,Home,Bournemouth,Tottenham Hotspur,1,4,L,1,1,0,0,,62.0,2.0,2.0,23.0,25.0,7.0,3.0,7.0,4.0,2.0,162.0,4.0,17.0,2.0,9.0,3.0,70.0,160.0,59.0,14.0,2.0,14.0,,10.0,13.0,2.0,25.0,7.0,27.0,105.0,0.0,92.0,10.0,3.0,1.0,45.0,54.0,3.0,42.0,4.0,6.0,23.0,7.0,2.0,3.0,160.0,10.0,57.0,540.0,7.0,10.0,19.0,,13.0,212.0,26.0,,6.0,6.0,1.0,3.0,6.0,21.0,307.0,48.0,,90105,3.0,125.0,3.0,,157.0,3.0,,23.0,8.0,63.0,,2.0,18.0,2.0,3.0,61.0,226.0,7.0,17.0,1.0,31.0,68.0,,0.0,1.0,5.0,2.0,4.0,4.0,0.0,2.0,,37.0,15.0,7.0,1.0,,2.0,4.0,27.0,4.0,331.0,13.0,14.0,15.0,7.0,21.0,184.0,10.0,7.0,13.0,54.0,25.0,4.0,6.0,22.0,4.0,10.0,3.0,25.0,4.0,9.0,4.0,,2.0,1.0,4.0,,,1.0,,,2.0,,1.0,2.0,3.0,1.0,1.0,,1.0,2.0,1.0,,,1.0,,1.0,,,,,1.0,1.0,1.0,3.0,1.0,1.0,,2.0,1.0,,2.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,
31,919193,2018-03-17 15:00:00,"Vitality Stadium, Bournemouth",10242,Home,Bournemouth,West Bromwich Albion,2,1,W,0,0,0,0,,70.0,2.0,3.0,38.0,23.0,8.0,7.0,7.0,4.0,,177.0,2.0,6.0,5.0,11.0,5.0,152.0,162.0,51.0,17.0,5.0,19.0,1.0,18.0,10.0,2.0,23.0,12.0,28.0,234.0,0.0,171.0,6.0,2.0,2.0,81.0,79.0,10.0,72.0,1.0,17.0,19.0,10.0,6.0,1.0,162.0,8.0,143.0,750.0,10.0,5.0,27.0,1.0,7.0,428.0,30.0,1.0,3.0,16.0,1.0,5.0,1.0,27.0,528.0,85.0,,90105,6.0,209.0,9.0,1.0,235.0,3.0,,19.0,6.0,49.0,,8.0,13.0,3.0,6.0,69.0,441.0,9.0,3.0,,17.0,61.0,1.0,0.0,2.0,2.0,3.0,1.0,,0.0,2.0,2.0,60.6,21.0,6.0,1.0,1.0,8.0,8.0,33.0,3.0,544.0,7.0,10.0,14.0,4.0,33.0,327.0,8.0,11.0,18.0,114.0,23.0,2.0,16.0,19.0,1.0,11.0,3.0,17.0,2.0,8.0,3.0,,,,1.0,,,,,1.0,2.0,1.0,,,3.0,,2.0,,,,,,2.0,1.0,,,,,,,1.0,,,,,3.0,,1.0,3.0,,,1.0,,2.0,,,,,1.0,3.0,2.0,,1.0,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,1.0,1.0
32,919211,2018-03-31 15:00:00,"Vicarage Road, Watford",20393,Away,Bournemouth,Watford,2,2,D,1,1,0,0,,62.0,3.0,1.0,35.0,37.0,6.0,2.0,7.0,3.0,3.0,168.0,6.0,9.0,5.0,10.0,6.0,91.0,149.0,62.0,13.0,2.0,15.0,1.0,16.0,13.0,3.0,37.0,8.0,20.0,136.0,0.0,91.0,6.0,2.0,2.0,39.0,50.0,6.0,66.0,3.0,13.0,18.0,6.0,2.0,1.0,149.0,5.0,101.0,639.0,8.0,9.0,23.0,,7.0,316.0,26.0,,9.0,16.0,0.0,7.0,4.0,20.0,402.0,47.0,,90105,4.0,208.0,9.0,3.0,246.0,4.0,1.0,18.0,6.0,48.0,,6.0,17.0,11.0,5.0,70.0,338.0,13.0,9.0,1.0,33.0,62.0,2.0,0.0,2.0,7.0,,2.0,3.0,0.0,4.0,3.0,50.1,12.0,6.0,1.0,1.0,7.0,3.0,32.0,4.0,426.0,7.0,9.0,11.0,4.0,19.0,196.0,8.0,7.0,21.0,68.0,16.0,3.0,16.0,20.0,2.0,8.0,3.0,18.0,3.0,7.0,4.0,,1.0,1.0,3.0,,2.0,1.0,,4.0,1.0,2.0,2.0,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,1.0,2.0,2.0,1.0,1.0,,1.0,,2.0,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
33,919213,2018-04-07 15:00:00,"Vitality Stadium, Bournemouth",10730,Home,Bournemouth,Crystal Palace,2,2,D,0,0,0,0,,65.0,1.0,4.0,37.0,12.0,6.0,1.0,15.0,4.0,3.0,176.0,14.0,7.0,3.0,16.0,5.0,119.0,152.0,41.0,21.0,,17.0,,39.0,5.0,3.0,12.0,7.0,39.0,192.0,0.0,136.0,8.0,3.0,2.0,70.0,66.0,7.0,63.0,4.0,30.0,16.0,6.0,9.0,2.0,152.0,7.0,114.0,664.0,9.0,2.0,30.0,,9.0,365.0,24.0,,4.0,9.0,2.0,4.0,9.0,26.0,454.0,66.0,1.0,90105,11.0,202.0,19.0,2.0,227.0,5.0,,16.0,6.0,50.0,,7.0,11.0,6.0,5.0,56.0,380.0,9.0,11.0,5.0,16.0,68.0,2.0,0.0,1.0,3.0,3.0,2.0,,0.0,10.0,5.0,52.7,21.0,7.0,1.0,,7.0,4.0,45.0,11.0,472.0,9.0,2.0,19.0,12.0,49.0,284.0,13.0,6.0,18.0,89.0,26.0,3.0,9.0,7.0,,12.0,3.0,20.0,3.0,5.0,11.0,2.0,2.0,1.0,10.0,,1.0,1.0,,3.0,3.0,5.0,1.0,5.0,10.0,,2.0,,,1.0,,,1.0,,,,,1.0,,,1.0,,,,1.0,1.0,4.0,4.0,1.0,,,1.0,,,1.0,,1.0,,1.0,1.0,,2.0,2.0,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
34,919226,2018-04-14 17:30:00,"Anfield, Liverpool",52959,Away,Bournemouth,Liverpool,0,3,L,0,1,0,0,1.0,52.0,2.0,3.0,33.0,34.0,1.0,1.0,5.0,3.0,1.0,139.0,3.0,5.0,,5.0,1.0,102.0,150.0,38.0,6.0,,11.0,1.0,14.0,7.0,,34.0,6.0,24.0,151.0,0.0,92.0,9.0,4.0,,89.0,53.0,3.0,45.0,1.0,10.0,13.0,1.0,6.0,1.0,150.0,11.0,89.0,570.0,4.0,4.0,16.0,,10.0,268.0,24.0,,8.0,20.0,1.0,4.0,2.0,17.0,339.0,47.0,,90105,1.0,142.0,4.0,,161.0,4.0,,13.0,14.0,58.0,1.0,8.0,17.0,9.0,6.0,70.0,290.0,8.0,13.0,1.0,21.0,74.0,1.0,0.0,4.0,7.0,2.0,3.0,1.0,0.0,2.0,,38.2,14.0,,4.0,,8.0,3.0,38.0,5.0,375.0,10.0,16.0,14.0,2.0,25.0,228.0,5.0,6.0,11.0,56.0,13.0,5.0,20.0,15.0,3.0,5.0,3.0,15.0,5.0,3.0,5.0,,,,4.0,,2.0,,,4.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,919233,2018-04-18 19:45:00,"Vitality Stadium, Bournemouth",10952,Home,Bournemouth,Manchester United,0,2,L,0,1,0,0,1.0,61.0,1.0,3.0,32.0,26.0,5.0,1.0,8.0,2.0,2.0,155.0,5.0,15.0,2.0,12.0,2.0,111.0,132.0,51.0,13.0,2.0,23.0,1.0,23.0,4.0,1.0,26.0,15.0,26.0,189.0,0.0,145.0,9.0,1.0,,48.0,55.0,6.0,61.0,2.0,18.0,21.0,5.0,3.0,2.0,132.0,6.0,101.0,630.0,10.0,6.0,29.0,,12.0,335.0,29.0,,5.0,12.0,3.0,8.0,6.0,20.0,409.0,50.0,,90105,3.0,168.0,15.0,,190.0,7.0,,21.0,2.0,59.0,2.0,8.0,13.0,7.0,1.0,52.0,352.0,8.0,10.0,2.0,18.0,56.0,,0.0,1.0,5.0,1.0,2.0,2.0,0.0,3.0,1.0,44.4,16.0,3.0,1.0,1.0,8.0,5.0,36.0,8.0,428.0,12.0,11.0,16.0,6.0,35.0,261.0,11.0,15.0,18.0,110.0,18.0,2.0,12.0,10.0,2.0,9.0,3.0,23.0,2.0,5.0,8.0,,3.0,,5.0,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,4.0,,,,,2.0,,,,1.0,,,2.0,,,,,1.0,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,919249,2018-04-28 15:00:00,"St. Mary's Stadium, Southampton",31778,Away,Bournemouth,Southampton,1,2,L,1,1,0,0,,70.0,2.0,,31.0,19.0,8.0,6.0,6.0,4.0,4.0,218.0,5.0,12.0,4.0,10.0,7.0,113.0,169.0,56.0,14.0,2.0,22.0,4.0,25.0,6.0,2.0,19.0,17.0,28.0,195.0,0.0,138.0,11.0,4.0,1.0,51.0,68.0,7.0,76.0,,19.0,15.0,8.0,8.0,4.0,169.0,8.0,97.0,696.0,8.0,10.0,25.0,,8.0,377.0,25.0,,7.0,10.0,1.0,4.0,3.0,30.0,484.0,70.0,,90105,1.0,207.0,10.0,3.0,247.0,8.0,,15.0,3.0,59.0,1.0,8.0,12.0,6.0,3.0,58.0,397.0,12.0,5.0,1.0,23.0,70.0,3.0,0.0,1.0,5.0,2.0,2.0,2.0,0.0,2.0,,59.7,24.0,4.0,3.0,,8.0,2.0,43.0,8.0,504.0,8.0,9.0,16.0,5.0,41.0,282.0,8.0,14.0,21.0,91.0,31.0,1.0,10.0,11.0,2.0,7.0,3.0,24.0,1.0,2.0,8.0,,,2.0,6.0,1.0,,1.0,,2.0,,,,3.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,1.0,,2.0,,1.0,2.0,,,,,,2.0,1.0,,,1.0,1.0,,,2.0,1.0,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,
37,919253,2018-05-05 15:00:00,"Vitality Stadium, Bournemouth",10820,Home,Bournemouth,Swansea City,1,0,W,1,0,0,0,,66.0,1.0,1.0,30.0,45.0,4.0,4.0,9.0,3.0,3.0,166.0,5.0,5.0,4.0,9.0,5.0,84.0,156.0,52.0,13.0,1.0,23.0,4.0,20.0,3.0,,45.0,5.0,25.0,144.0,0.0,124.0,10.0,3.0,1.0,51.0,54.0,4.0,48.0,,10.0,18.0,4.0,3.0,2.0,156.0,6.0,67.0,575.0,5.0,3.0,27.0,1.0,5.0,258.0,18.0,1.0,8.0,27.0,1.0,3.0,5.0,21.0,342.0,69.0,1.0,90105,6.0,138.0,6.0,1.0,159.0,3.0,1.0,18.0,11.0,58.0,1.0,5.0,20.0,6.0,9.0,63.0,277.0,10.0,4.0,3.0,31.0,63.0,1.0,0.0,1.0,6.0,2.0,,1.0,0.0,3.0,3.0,45.2,16.0,9.0,,,5.0,2.0,38.0,11.0,365.0,5.0,10.0,13.0,6.0,36.0,226.0,6.0,4.0,32.0,72.0,31.0,3.0,27.0,5.0,,9.0,3.0,18.0,3.0,13.0,11.0,,,2.0,10.0,,1.0,4.0,,4.0,3.0,2.0,1.0,2.0,4.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,3.0,1.0,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
38,919263,2018-05-13 15:00:00,"Turf Moor, Burnley",20720,Away,Bournemouth,Burnley,2,1,W,0,1,0,0,,46.0,1.0,3.0,34.0,33.0,5.0,5.0,11.0,3.0,2.0,186.0,4.0,2.0,2.0,13.0,5.0,66.0,148.0,41.0,16.0,3.0,22.0,3.0,20.0,5.0,,33.0,7.0,28.0,148.0,0.0,96.0,9.0,,2.0,66.0,33.0,10.0,70.0,2.0,12.0,15.0,5.0,3.0,2.0,148.0,7.0,79.0,596.0,8.0,5.0,18.0,,8.0,290.0,20.0,3.0,5.0,14.0,0.0,,3.0,25.0,378.0,56.0,1.0,90105,6.0,161.0,7.0,1.0,198.0,1.0,,15.0,5.0,50.0,,6.0,14.0,3.0,3.0,67.0,305.0,13.0,4.0,3.0,23.0,75.0,,0.0,3.0,7.0,2.0,1.0,1.0,0.0,2.0,1.0,48.6,23.0,2.0,2.0,1.0,6.0,6.0,42.0,8.0,401.0,8.0,8.0,17.0,5.0,29.0,223.0,9.0,6.0,18.0,70.0,15.0,6.0,14.0,10.0,1.0,9.0,3.0,10.0,6.0,7.0,8.0,,2.0,1.0,8.0,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,3.0,,2.0,,,2.0,,1.0,,1.0,,,,1.0,,,2.0,1.0,,,,,,,,,,,,1.0,1.0,,,,2.0,3.0,,2.0,2.0,,2.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
