gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attCmissRight,attBxRight,attMissHighRight,attSvHighRight,attSvLowLeft,attHdTarget,outfielderBlock,totalPullBack,attemptsConcededObox,goalsConceded,attSvHighCentre,attPostRight,goalsConcededIbox,errorLeadToGoal,attGoalLowRight,attFreekickTotal,freekickTotal,contentiousDecision,errorLeadToShot,attMissHigh,ptsDroppedWinningPos,goalAssistSetplay,accuratePullBack,attOboxGoal,attGoalHighCentre,attCmissHighRight,attObxRight,forwardGoals,attSvHighLeft,attCmissHigh,punches,attFreekickTarget,attPostHigh,attFreekickMiss,attGoalLowLeft,attObxLeft,attFreekickPost,secondYellow,attOboxPost,attHdGoal,savedObox,goalAssistDeadball,shotFastbreak,totalFastbreak,attFastbreak,attGoalHighLeft,goalFastbreak,attLgCentre,shieldBallOop,ptsGainedLosingPos,attMissHighLeft,attGoalHighRight,foulThrowIn,clearanceOffLine,attObxdRight,attCmissHighLeft,penaltyConceded,penaltyFaced,penaltyWon,attPenGoal,ownGoals,attIboxOwnGoal,attPenTarget,attObxdLeft,attObpGoal,penGoalsConceded,attHdPost
27,919161,2018-02-10 12:30:00,"Wembley Stadium, London",83222,Home,Tottenham Hotspur,Arsenal,1,0,W,0,0,0,0,,1.0,1.0,64.0,,40.0,23.0,5.0,3.0,13.0,1.0,,3.0,184.0,,10.0,16.0,1.0,3.0,15.0,6.0,117.0,136.0,54.0,18.0,1.0,13.0,4.0,,2.0,1.0,3.0,2.0,34.0,,8.0,1.0,23.0,8.0,11.0,47.0,1.0,269.0,1.0,0.0,167.0,13.0,1.0,,2.0,,103.0,51.0,5.0,77.0,,7.0,26.0,28.0,5.0,6.0,3.0,136.0,6.0,2.0,,116.0,689.0,10.0,6.0,37.0,,7.0,396.0,26.0,1.0,11.0,1.0,2.0,2.0,10.0,21.0,473.0,96.0,1.0,1.0,95715,11.0,152.0,5.0,18.0,,1.0,161.0,10.0,,28.0,6.0,46.0,1.0,,1.0,3.0,1.0,10.0,4.0,68.0,411.0,8.0,8.0,4.0,8.0,69.0,,2.0,0.0,1.0,2.0,,1.0,,0.0,6.0,1.0,6.0,49.9,16.0,4.0,3.0,1.0,3.0,1.0,40.0,10.0,,494.0,7.0,5.0,21.0,11.0,45.0,4.0,8.0,367.0,8.0,9.0,16.0,115.0,29.0,1.0,11.0,14.0,10.0,2.0,23.0,1.0,11.0,10.0,,2.0,,,,,1.0,2.0,,4.0,,1.0,,,,,1.0,1.0,,,2.0,,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
28,919167,2018-02-25 12:00:00,"Selhurst Park, London",25287,Away,Tottenham Hotspur,Crystal Palace,1,0,W,0,0,0,0,,1.0,,67.0,1.0,37.0,17.0,4.0,3.0,9.0,3.0,,2.0,225.0,,3.0,7.0,1.0,3.0,7.0,4.0,177.0,171.0,45.0,14.0,3.0,24.0,3.0,,,,2.0,3.0,28.0,,9.0,,17.0,11.0,12.0,28.0,,352.0,1.0,0.0,245.0,5.0,,,1.0,,94.0,94.0,3.0,95.0,1.0,1.0,17.0,27.0,5.0,4.0,2.0,171.0,2.0,4.0,,165.0,869.0,5.0,1.0,34.0,,6.0,550.0,21.0,3.0,11.0,1.0,,1.0,3.0,31.0,644.0,78.0,,,95715,4.0,217.0,3.0,12.0,1.0,,232.0,5.0,,27.0,4.0,62.0,1.0,,1.0,5.0,,14.0,4.0,56.0,566.0,10.0,5.0,,9.0,72.0,,1.0,0.0,3.0,3.0,2.0,1.0,,0.0,1.0,1.0,1.0,76.2,30.0,,6.0,,5.0,4.0,60.0,13.0,,662.0,6.0,18.0,11.0,6.0,55.0,2.0,4.0,458.0,10.0,11.0,14.0,176.0,33.0,1.0,11.0,14.0,10.0,2.0,17.0,1.0,5.0,13.0,,1.0,3.0,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,3.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,,,3.0,,,,,,,,,,,,,,
29,919181,2018-03-03 15:00:00,"Wembley Stadium, London",68311,Home,Tottenham Hotspur,Huddersfield Town,2,0,W,1,0,0,0,,,2.0,81.0,2.0,40.0,18.0,7.0,4.0,8.0,3.0,1.0,5.0,252.0,,8.0,18.0,2.0,3.0,13.0,7.0,235.0,174.0,49.0,15.0,3.0,16.0,3.0,,,2.0,3.0,1.0,20.0,,8.0,2.0,18.0,8.0,27.0,45.0,,382.0,1.0,0.0,176.0,6.0,2.0,2.0,,1.0,71.0,89.0,11.0,118.0,3.0,2.0,12.0,24.0,7.0,2.0,2.0,174.0,2.0,1.0,,201.0,1031.0,10.0,6.0,27.0,1.0,18.0,690.0,37.0,3.0,11.0,2.0,,1.0,2.0,29.0,793.0,77.0,1.0,,95715,5.0,327.0,,10.0,,,353.0,3.0,,24.0,3.0,58.0,6.0,,4.0,5.0,2.0,20.0,3.0,66.0,701.0,8.0,7.0,1.0,13.0,91.0,1.0,,0.0,2.0,1.0,1.0,2.0,2.0,0.0,5.0,2.0,1.0,74.5,27.0,,4.0,,5.0,5.0,74.0,8.0,1.0,806.0,18.0,19.0,21.0,3.0,35.0,3.0,1.0,473.0,10.0,24.0,13.0,115.0,33.0,1.0,11.0,10.0,13.0,3.0,28.0,1.0,6.0,8.0,,,2.0,,,1.0,,,,2.0,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
30,919183,2018-03-11 16:00:00,"Vitality Stadium, Bournemouth",10623,Away,Tottenham Hotspur,Bournemouth,4,1,W,1,1,0,0,,2.0,4.0,63.0,3.0,36.0,19.0,2.0,7.0,10.0,2.0,3.0,2.0,189.0,1.0,4.0,17.0,4.0,1.0,9.0,8.0,156.0,167.0,63.0,12.0,,13.0,2.0,,,3.0,2.0,,24.0,,14.0,2.0,19.0,3.0,9.0,34.0,1.0,248.0,,0.0,158.0,7.0,2.0,3.0,1.0,,71.0,56.0,9.0,82.0,,,21.0,26.0,2.0,7.0,,167.0,3.0,7.0,,132.0,775.0,5.0,2.0,35.0,,13.0,448.0,32.0,2.0,6.0,3.0,,1.0,,20.0,538.0,71.0,1.0,,95715,5.0,221.0,1.0,13.0,,,247.0,3.0,,26.0,9.0,59.0,1.0,1.0,3.0,1.0,4.0,18.0,7.0,70.0,465.0,10.0,17.0,1.0,18.0,80.0,1.0,,0.0,,4.0,,4.0,1.0,0.0,2.0,3.0,1.0,63.0,12.0,,3.0,1.0,1.0,3.0,44.0,5.0,,559.0,13.0,9.0,18.0,1.0,33.0,2.0,1.0,336.0,4.0,8.0,14.0,119.0,24.0,1.0,6.0,22.0,11.0,3.0,30.0,1.0,13.0,5.0,,,2.0,,,,,4.0,,7.0,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,2.0,,2.0,3.0,2.0,,1.0,,,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,
31,919201,2018-05-09 20:00:00,"Wembley Stadium, London",54923,Home,Tottenham Hotspur,Newcastle United,1,0,W,0,0,0,0,,2.0,,61.0,,42.0,33.0,3.0,3.0,8.0,3.0,,3.0,178.0,,3.0,11.0,1.0,3.0,9.0,7.0,159.0,148.0,49.0,11.0,1.0,24.0,4.0,,1.0,1.0,,,18.0,,7.0,2.0,33.0,5.0,1.0,48.0,1.0,283.0,1.0,0.0,177.0,10.0,2.0,,,,81.0,80.0,7.0,75.0,,1.0,13.0,18.0,3.0,3.0,,148.0,1.0,10.0,,139.0,749.0,7.0,12.0,25.0,,8.0,441.0,22.0,3.0,21.0,1.0,1.0,2.0,2.0,32.0,530.0,83.0,,,95715,5.0,179.0,1.0,10.0,,1.0,196.0,6.0,1.0,18.0,10.0,62.0,2.0,,4.0,5.0,1.0,12.0,8.0,77.0,459.0,8.0,7.0,1.0,17.0,83.0,2.0,,0.0,,4.0,3.0,1.0,5.0,0.0,2.0,1.0,2.0,62.9,28.0,1.0,5.0,2.0,5.0,1.0,51.0,6.0,,551.0,8.0,15.0,28.0,3.0,34.0,1.0,3.0,373.0,6.0,1.0,18.0,125.0,26.0,,21.0,12.0,7.0,3.0,17.0,,5.0,6.0,,,1.0,1.0,,2.0,1.0,2.0,,4.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
32,919205,2018-04-01 16:00:00,"Stamford Bridge, London",41364,Away,Tottenham Hotspur,Chelsea,3,1,W,1,1,0,0,,1.0,2.0,73.0,2.0,33.0,28.0,6.0,5.0,6.0,3.0,1.0,2.0,152.0,1.0,2.0,10.0,3.0,1.0,8.0,6.0,157.0,157.0,47.0,12.0,1.0,13.0,1.0,,,2.0,,1.0,14.0,,16.0,2.0,28.0,5.0,5.0,30.0,1.0,231.0,,0.0,164.0,11.0,3.0,3.0,1.0,,47.0,67.0,7.0,70.0,5.0,1.0,9.0,14.0,6.0,3.0,2.0,157.0,1.0,8.0,,149.0,756.0,6.0,2.0,14.0,,20.0,425.0,32.0,4.0,12.0,2.0,,1.0,1.0,25.0,512.0,62.0,1.0,,95715,4.0,206.0,,5.0,1.0,,234.0,7.0,2.0,14.0,6.0,61.0,1.0,,3.0,6.0,3.0,17.0,4.0,64.0,435.0,4.0,10.0,,19.0,64.0,,,0.0,1.0,5.0,2.0,2.0,,0.0,2.0,1.0,1.0,51.3,21.0,1.0,4.0,1.0,6.0,3.0,37.0,5.0,,528.0,20.0,21.0,15.0,3.0,21.0,,1.0,308.0,6.0,4.0,13.0,123.0,27.0,5.0,12.0,20.0,10.0,3.0,16.0,5.0,12.0,5.0,,,1.0,,,1.0,,3.0,,6.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
33,919220,2018-04-07 15:00:00,"bet365 Stadium, Stoke",29515,Away,Tottenham Hotspur,Stoke City,2,1,W,0,0,0,0,,,2.0,67.0,3.0,25.0,28.0,4.0,5.0,9.0,3.0,,1.0,203.0,,4.0,17.0,2.0,7.0,9.0,4.0,139.0,153.0,73.0,15.0,3.0,13.0,2.0,,1.0,1.0,2.0,,13.0,,13.0,,28.0,2.0,16.0,23.0,1.0,246.0,,0.0,149.0,8.0,2.0,1.0,2.0,1.0,33.0,58.0,7.0,80.0,,1.0,11.0,10.0,6.0,3.0,3.0,153.0,3.0,6.0,,128.0,757.0,7.0,6.0,21.0,,10.0,429.0,25.0,4.0,10.0,2.0,1.0,3.0,2.0,19.0,521.0,63.0,,1.0,95715,5.0,212.0,1.0,6.0,,2.0,232.0,4.0,1.0,10.0,10.0,53.0,,,3.0,3.0,1.0,14.0,8.0,61.0,454.0,19.0,8.0,,30.0,94.0,,,0.0,3.0,6.0,2.0,2.0,2.0,0.0,4.0,2.0,1.0,66.7,15.0,,3.0,1.0,3.0,6.0,57.0,3.0,1.0,550.0,10.0,13.0,10.0,5.0,26.0,,2.0,331.0,8.0,16.0,22.0,108.0,33.0,3.0,10.0,15.0,10.0,3.0,28.0,3.0,4.0,3.0,,1.0,2.0,2.0,,,1.0,1.0,,4.0,1.0,,,1.0,1.0,,2.0,2.0,,1.0,2.0,,1.0,,,,,,1.0,,,2.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,1.0,,
34,919231,2018-04-14 19:45:00,"Wembley Stadium, London",80811,Home,Tottenham Hotspur,Manchester City,1,3,L,1,2,0,0,,1.0,,63.0,2.0,28.0,15.0,4.0,5.0,4.0,3.0,1.0,1.0,159.0,,3.0,25.0,1.0,2.0,6.0,3.0,115.0,148.0,67.0,8.0,2.0,14.0,1.0,,1.0,,1.0,,24.0,,15.0,1.0,15.0,4.0,1.0,45.0,,204.0,,0.0,148.0,11.0,2.0,1.0,2.0,,51.0,87.0,5.0,72.0,2.0,1.0,20.0,13.0,4.0,5.0,1.0,148.0,,10.0,,118.0,664.0,6.0,5.0,24.0,,17.0,354.0,30.0,3.0,8.0,,2.0,3.0,1.0,20.0,443.0,63.0,1.0,1.0,95715,3.0,170.0,,13.0,,,187.0,7.0,,13.0,5.0,51.0,2.0,,5.0,4.0,1.0,9.0,3.0,53.0,371.0,12.0,13.0,,10.0,67.0,,,0.0,3.0,7.0,2.0,1.0,1.0,0.0,2.0,,,48.0,17.0,,4.0,1.0,4.0,4.0,39.0,5.0,,464.0,17.0,8.0,24.0,1.0,36.0,1.0,,301.0,3.0,1.0,9.0,103.0,23.0,1.0,8.0,22.0,7.0,3.0,31.0,1.0,5.0,5.0,,,,,,1.0,,6.0,,7.0,3.0,,,3.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,
35,919235,2018-04-17 19:45:00,"Amex Stadium, Falmer",30440,Away,Tottenham Hotspur,Brighton and Hove Albion,1,1,D,0,0,0,0,,1.0,1.0,69.0,,21.0,14.0,9.0,5.0,7.0,4.0,,4.0,212.0,1.0,1.0,13.0,1.0,4.0,11.0,6.0,162.0,159.0,47.0,16.0,5.0,15.0,3.0,,1.0,1.0,1.0,3.0,18.0,,6.0,2.0,14.0,4.0,8.0,32.0,,317.0,,0.0,202.0,5.0,1.0,,,1.0,45.0,63.0,7.0,86.0,,1.0,14.0,18.0,9.0,3.0,2.0,159.0,1.0,5.0,,174.0,831.0,10.0,4.0,28.0,,9.0,527.0,20.0,2.0,9.0,1.0,1.0,0.0,4.0,24.0,623.0,96.0,,,95715,4.0,221.0,,11.0,,1.0,243.0,4.0,1.0,18.0,5.0,52.0,1.0,,,11.0,1.0,17.0,5.0,43.0,537.0,5.0,10.0,,12.0,68.0,2.0,2.0,0.0,3.0,3.0,2.0,1.0,3.0,0.0,1.0,,,64.1,21.0,,5.0,3.0,11.0,5.0,42.0,4.0,1.0,634.0,9.0,16.0,9.0,5.0,32.0,,3.0,409.0,11.0,7.0,19.0,144.0,31.0,3.0,9.0,10.0,11.0,3.0,19.0,3.0,8.0,5.0,,,,,1.0,,,1.0,,3.0,1.0,1.0,,1.0,,,3.0,3.0,,,,2.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,2.0,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,
36,919251,2018-04-30 20:00:00,"Wembley Stadium, London",52675,Home,Tottenham Hotspur,Watford,2,0,W,1,0,0,0,1.0,1.0,2.0,61.0,3.0,35.0,22.0,5.0,1.0,8.0,5.0,,,162.0,1.0,4.0,9.0,2.0,2.0,11.0,3.0,163.0,138.0,55.0,13.0,1.0,16.0,,1.0,1.0,2.0,1.0,,20.0,1.0,10.0,1.0,22.0,3.0,8.0,36.0,,266.0,1.0,0.0,132.0,11.0,3.0,1.0,2.0,,59.0,70.0,6.0,88.0,1.0,2.0,17.0,13.0,5.0,5.0,3.0,138.0,2.0,10.0,,144.0,764.0,6.0,5.0,28.0,1.0,17.0,464.0,17.0,3.0,12.0,2.0,2.0,1.0,5.0,29.0,538.0,62.0,2.0,1.0,95715,8.0,217.0,1.0,10.0,,1.0,240.0,6.0,2.0,13.0,6.0,56.0,3.0,,3.0,2.0,2.0,15.0,3.0,57.0,479.0,10.0,12.0,3.0,8.0,70.0,,,0.0,2.0,,5.0,2.0,3.0,0.0,2.0,2.0,2.0,61.5,24.0,1.0,8.0,,2.0,4.0,48.0,4.0,,557.0,17.0,12.0,17.0,6.0,35.0,2.0,2.0,337.0,8.0,7.0,19.0,102.0,32.0,1.0,12.0,19.0,8.0,3.0,16.0,1.0,5.0,4.0,,,,2.0,,,,3.0,,3.0,,,1.0,,,,,,1.0,2.0,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
37,919262,2018-05-05 15:00:00,"The Hawthorns, West Bromwich",23685,Away,Tottenham Hotspur,West Bromwich Albion,0,1,L,0,0,0,0,,,,52.0,3.0,49.0,25.0,8.0,4.0,10.0,2.0,,4.0,197.0,,9.0,9.0,,4.0,14.0,5.0,157.0,159.0,52.0,18.0,3.0,20.0,3.0,,,,1.0,4.0,30.0,,9.0,2.0,25.0,4.0,6.0,43.0,,366.0,,0.0,284.0,12.0,1.0,,1.0,,81.0,93.0,7.0,103.0,,1.0,27.0,19.0,8.0,5.0,3.0,159.0,2.0,7.0,,158.0,813.0,11.0,4.0,38.0,,,494.0,14.0,4.0,11.0,,,1.0,6.0,23.0,590.0,88.0,1.0,,95715,6.0,161.0,2.0,21.0,1.0,,174.0,6.0,,19.0,6.0,54.0,2.0,,,1.0,,19.0,6.0,68.0,518.0,12.0,6.0,2.0,10.0,68.0,,1.0,0.0,3.0,5.0,,,1.0,0.0,8.0,,3.0,73.8,20.0,2.0,10.0,3.0,1.0,6.0,45.0,9.0,,615.0,,7.0,25.0,7.0,62.0,2.0,4.0,471.0,10.0,6.0,18.0,214.0,27.0,1.0,11.0,13.0,10.0,3.0,18.0,1.0,6.0,9.0,,1.0,,1.0,2.0,1.0,1.0,2.0,,2.0,1.0,,,1.0,,,3.0,3.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,
38,919271,2018-05-13 15:00:00,"Wembley Stadium, London",77841,Home,Tottenham Hotspur,Leicester City,5,4,W,1,2,0,0,,,2.0,59.0,2.0,36.0,17.0,6.0,5.0,8.0,5.0,3.0,1.0,165.0,1.0,2.0,10.0,5.0,4.0,11.0,6.0,114.0,147.0,53.0,14.0,1.0,15.0,1.0,,1.0,4.0,1.0,2.0,13.0,,14.0,1.0,17.0,3.0,7.0,36.0,,179.0,,0.0,143.0,9.0,3.0,2.0,2.0,,63.0,63.0,8.0,91.0,2.0,2.0,10.0,10.0,6.0,2.0,4.0,147.0,2.0,14.0,,110.0,672.0,6.0,4.0,25.0,,9.0,366.0,23.0,3.0,7.0,4.0,2.0,1.0,3.0,26.0,446.0,64.0,1.0,,95715,2.0,216.0,,6.0,,1.0,240.0,5.0,1.0,10.0,12.0,56.0,1.0,,2.0,2.0,4.0,11.0,9.0,70.0,393.0,13.0,9.0,1.0,17.0,68.0,,1.0,0.0,4.0,4.0,5.0,5.0,3.0,0.0,1.0,2.0,1.0,64.0,17.0,,5.0,4.0,2.0,3.0,38.0,4.0,,480.0,9.0,14.0,19.0,5.0,27.0,1.0,1.0,253.0,8.0,7.0,10.0,95.0,26.0,2.0,7.0,20.0,10.0,3.0,19.0,2.0,4.0,4.0,1.0,1.0,1.0,,,,1.0,1.0,,3.0,4.0,,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,2.0,1.0,,,,,1.0,2.0,,,,,,,,1.0,2.0,1.0,,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,
