gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attFreekickPost,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,possLostCtrl,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,punches,redCard,lostCorners,attIboxGoal,attOboxPost,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,attCmissRight,attBxRight,attMissHighRight,goodHighClaim,attOboxMiss,bigChanceCreated,errorLeadToShot,bigChanceMissed,attCmissHigh,attMissHigh,overrun,possWonAtt3rd,totalHighClaim,attGoalLowRight,attRfTarget,attSvHighRight,ptsGainedLosingPos,attMissHighLeft,accurateThroughBall,totalThroughBall,savedIbox,attLfTarget,bigChanceScored,attGoalLowCentre,cleanSheet,attOboxGoal,attSvLowLeft,shieldBallOop,clearanceOffLine,handBall,attOboxTarget,attSvLowRight,ptsDroppedWinningPos,accurateKeeperSweeper,totalKeeperSweeper,foulThrowIn,accuratePullBack,totalPullBack,attPostRight,errorLeadToGoal,attLgCentre,sixYardBlock,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,attGoalHighCentre,attOneOnOne,midfielderGoals,attIboxPost,attFreekickTarget,shotFastbreak,totalFastbreak,attHdPost,attFastbreak,attPostHigh,attSvHighLeft,contentiousDecision,attCmissHighLeft,attFreekickGoal,attCmissHighRight,penaltySave,goalsConcededObox,goalAssistDeadball,ownGoals,attIboxOwnGoal
28,919166,2018-02-24 15:00:00,"Turf Moor, Burnley",20982,Home,Burnley,Southampton,1,1,D,0,0,0,0,68.0,,1.0,,47.0,29.0,1.0,,8.0,4.0,,168.0,4.0,6.0,1.0,1.0,7.0,3.0,54.0,179.0,56.0,,9.0,,24.0,1.0,,1.0,1.0,1.0,26.0,5.0,,29.0,6.0,11.0,21.0,142.0,0.0,137.0,8.0,1.0,1.0,64.0,53.0,4.0,72.0,1.0,,1.0,20.0,14.0,1.0,,9.0,179.0,8.0,,77.0,575.0,6.0,14.0,21.0,,,11.0,242.0,20.0,24.0,13.0,1.0,1.0,5.0,3.0,32.0,345.0,71.0,,98747,4.0,120.0,10.0,1.0,143.0,4.0,,14.0,6.0,62.0,,1.0,1.0,1.0,12.0,5.0,3.0,100.0,258.0,14.0,9.0,,61.0,103.0,,,,0.0,5.0,1.0,,1.0,4.0,0.0,4.0,,3.0,50.1,24.0,2.0,1.0,,1.0,3.0,49.0,7.0,371.0,11.0,17.0,9.0,3.0,44.0,,3.0,254.0,5.0,10.0,30.0,82.0,35.0,1.0,3.0,13.0,8.0,1.0,1.0,7.0,,12.0,3.0,5.0,7.0,3.0,,1.0,,,,1.0,,1.0,,1.0,,6.0,,,2.0,,,,,1.0,4.0,,1.0,1.0,,,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
29,919174,2018-03-03 12:30:00,"Turf Moor, Burnley",20802,Home,Burnley,Everton,2,1,W,0,1,0,1,60.0,1.0,,1.0,41.0,31.0,5.0,6.0,16.0,3.0,,180.0,8.0,5.0,2.0,2.0,15.0,8.0,73.0,178.0,56.0,,21.0,4.0,26.0,6.0,,1.0,2.0,,33.0,9.0,,31.0,9.0,11.0,30.0,181.0,0.0,163.0,9.0,2.0,2.0,79.0,97.0,14.0,73.0,1.0,,,24.0,20.0,5.0,,7.0,178.0,8.0,,70.0,622.0,11.0,14.0,32.0,3.0,,7.0,272.0,20.0,14.0,20.0,2.0,1.0,,1.0,36.0,373.0,79.0,1.0,98747,10.0,112.0,15.0,,126.0,4.0,1.0,20.0,7.0,56.0,,4.0,6.0,1.0,18.0,2.0,4.0,87.0,285.0,11.0,10.0,2.0,47.0,100.0,,,1.0,0.0,4.0,2.0,,1.0,3.0,0.0,5.0,2.0,5.0,54.5,29.0,1.0,2.0,1.0,6.0,10.0,54.0,10.0,396.0,7.0,8.0,14.0,3.0,44.0,3.0,2.0,303.0,9.0,10.0,24.0,101.0,24.0,1.0,3.0,20.0,16.0,1.0,1.0,15.0,1.0,8.0,3.0,12.0,10.0,6.0,,2.0,,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,,3.0,1.0,1.0,1.0,3.0,1.0,2.0,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,
30,919192,2018-03-10 15:00:00,"London Stadium, London",56904,Away,Burnley,West Ham United,3,0,W,0,0,0,0,45.0,,1.0,,37.0,37.0,3.0,2.0,4.0,4.0,,146.0,2.0,2.0,3.0,,6.0,4.0,78.0,132.0,45.0,,7.0,1.0,21.0,,,2.0,1.0,1.0,12.0,6.0,1.0,37.0,1.0,6.0,22.0,134.0,0.0,126.0,7.0,1.0,,63.0,48.0,4.0,57.0,1.0,,1.0,11.0,23.0,3.0,,5.0,132.0,8.0,,91.0,559.0,3.0,10.0,17.0,,,7.0,277.0,15.0,7.0,18.0,2.0,2.0,3.0,2.0,24.0,348.0,72.0,,98747,4.0,155.0,6.0,1.0,172.0,4.0,3.0,23.0,9.0,59.0,,3.0,6.0,3.0,16.0,5.0,4.0,77.0,287.0,13.0,17.0,1.0,33.0,78.0,,,1.0,0.0,5.0,3.0,,,4.0,0.0,2.0,2.0,1.0,48.3,20.0,1.0,,,6.0,1.0,36.0,1.0,372.0,7.0,10.0,13.0,2.0,22.0,,1.0,212.0,4.0,4.0,23.0,78.0,18.0,1.0,7.0,18.0,11.0,,,6.0,2.0,6.0,7.0,10.0,1.0,,1.0,,,2.0,1.0,1.0,,,,,,3.0,2.0,1.0,,,,,,,3.0,1.0,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,
31,919194,2018-04-19 19:45:00,"Turf Moor, Burnley",21264,Home,Burnley,Chelsea,1,2,L,0,1,0,0,63.0,1.0,,,34.0,25.0,2.0,2.0,3.0,4.0,1.0,147.0,4.0,3.0,1.0,1.0,5.0,2.0,92.0,138.0,45.0,,5.0,1.0,30.0,1.0,,1.0,,,13.0,7.0,,25.0,3.0,9.0,29.0,137.0,0.0,100.0,9.0,1.0,1.0,61.0,61.0,3.0,60.0,3.0,,1.0,10.0,15.0,2.0,,3.0,138.0,12.0,,90.0,551.0,3.0,8.0,8.0,1.0,,15.0,274.0,21.0,6.0,11.0,1.0,1.0,6.0,2.0,17.0,367.0,67.0,1.0,98747,3.0,155.0,6.0,1.0,169.0,7.0,,15.0,8.0,57.0,,3.0,5.0,1.0,11.0,5.0,3.0,79.0,288.0,10.0,11.0,1.0,32.0,93.0,,,,0.0,2.0,1.0,,2.0,2.0,0.0,3.0,,2.0,39.2,14.0,1.0,,1.0,5.0,1.0,48.0,3.0,389.0,15.0,6.0,14.0,2.0,23.0,1.0,1.0,233.0,1.0,8.0,20.0,45.0,30.0,1.0,,11.0,13.0,,2.0,3.0,2.0,5.0,,7.0,3.0,,,,1.0,,1.0,,,,,,3.0,5.0,1.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
32,919212,2018-03-31 15:00:00,"The Hawthorns, West Bromwich",23455,Away,Burnley,West Bromwich Albion,2,1,W,1,0,0,0,68.0,1.0,,,43.0,31.0,5.0,3.0,6.0,2.0,,158.0,4.0,6.0,2.0,1.0,7.0,4.0,94.0,153.0,52.0,,11.0,,29.0,1.0,,1.0,1.0,2.0,21.0,8.0,1.0,31.0,3.0,11.0,50.0,201.0,0.0,151.0,9.0,1.0,,93.0,69.0,3.0,93.0,2.0,,2.0,18.0,8.0,5.0,,9.0,153.0,7.0,,116.0,653.0,6.0,10.0,18.0,,,7.0,350.0,25.0,5.0,15.0,1.0,3.0,2.0,4.0,21.0,431.0,74.0,,98747,4.0,172.0,9.0,1.0,187.0,6.0,1.0,8.0,8.0,65.0,,2.0,5.0,2.0,17.0,1.0,4.0,86.0,369.0,12.0,7.0,,25.0,84.0,,,1.0,0.0,1.0,2.0,,1.0,3.0,0.0,4.0,1.0,2.0,52.5,18.0,1.0,,1.0,5.0,1.0,42.0,6.0,461.0,7.0,14.0,25.0,6.0,29.0,,2.0,295.0,6.0,11.0,25.0,99.0,32.0,2.0,3.0,15.0,10.0,1.0,1.0,9.0,2.0,12.0,3.0,2.0,6.0,1.0,,1.0,1.0,,4.0,,1.0,,,,2.0,3.0,1.0,,,,,1.0,,,2.0,2.0,1.0,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,919221,2018-04-07 15:00:00,"Vicarage Road, Watford",20044,Away,Burnley,Watford,2,1,W,0,0,0,0,51.0,,1.0,1.0,36.0,49.0,1.0,1.0,6.0,4.0,,150.0,2.0,3.0,2.0,2.0,3.0,4.0,48.0,151.0,66.0,,7.0,,31.0,1.0,,,2.0,,9.0,8.0,,49.0,,7.0,32.0,85.0,0.0,103.0,12.0,3.0,2.0,51.0,37.0,1.0,51.0,2.0,,1.0,9.0,10.0,1.0,,5.0,151.0,8.0,,43.0,491.0,1.0,7.0,13.0,,,16.0,165.0,13.0,13.0,29.0,1.0,2.0,5.0,2.0,21.0,262.0,70.0,1.0,98747,3.0,96.0,2.0,3.0,117.0,7.0,1.0,10.0,5.0,62.0,,2.0,6.0,,11.0,6.0,1.0,99.0,179.0,18.0,11.0,1.0,46.0,90.0,,,3.0,0.0,11.0,2.0,,1.0,3.0,0.0,2.0,1.0,3.0,39.5,15.0,2.0,1.0,,6.0,1.0,28.0,1.0,292.0,16.0,9.0,11.0,2.0,23.0,,2.0,184.0,3.0,7.0,32.0,42.0,23.0,,6.0,29.0,13.0,1.0,1.0,4.0,2.0,3.0,6.0,8.0,1.0,1.0,,,,1.0,,1.0,,,1.0,1.0,3.0,3.0,1.0,,1.0,,3.0,,,,3.0,1.0,2.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
34,919223,2018-04-14 15:00:00,"Turf Moor, Burnley",21727,Home,Burnley,Leicester City,2,1,W,2,0,0,0,60.0,,,1.0,21.0,31.0,3.0,3.0,5.0,5.0,1.0,145.0,2.0,8.0,2.0,2.0,6.0,3.0,43.0,166.0,58.0,,8.0,2.0,27.0,1.0,,,1.0,,12.0,10.0,,31.0,4.0,4.0,23.0,81.0,0.0,101.0,9.0,1.0,,47.0,45.0,4.0,42.0,,,,8.0,11.0,3.0,,,166.0,9.0,,62.0,474.0,4.0,14.0,11.0,,,7.0,159.0,21.0,8.0,15.0,1.0,2.0,5.0,2.0,31.0,264.0,69.0,,98747,1.0,92.0,8.0,1.0,120.0,6.0,,11.0,5.0,56.0,1.0,,2.0,1.0,13.0,6.0,2.0,77.0,171.0,9.0,9.0,1.0,41.0,87.0,1.0,,,0.0,8.0,2.0,,1.0,5.0,0.0,1.0,1.0,1.0,38.7,20.0,,1.0,,2.0,3.0,31.0,4.0,292.0,7.0,8.0,10.0,2.0,22.0,1.0,1.0,184.0,4.0,3.0,28.0,40.0,19.0,1.0,7.0,15.0,14.0,1.0,1.0,4.0,2.0,11.0,7.0,5.0,4.0,1.0,,1.0,1.0,3.0,1.0,2.0,,1.0,1.0,1.0,,6.0,3.0,,1.0,,,,1.0,2.0,5.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,
35,919240,2018-04-22 13:30:00,"bet365 Stadium, Stoke",29532,Away,Burnley,Stoke City,1,1,D,0,1,0,0,69.0,1.0,,,38.0,33.0,5.0,6.0,11.0,2.0,,214.0,8.0,4.0,1.0,6.0,13.0,7.0,77.0,188.0,69.0,1.0,16.0,1.0,40.0,4.0,,,1.0,1.0,33.0,6.0,,33.0,7.0,16.0,40.0,185.0,0.0,160.0,5.0,,5.0,50.0,71.0,8.0,68.0,1.0,,3.0,26.0,14.0,5.0,1.0,9.0,188.0,4.0,,69.0,645.0,9.0,16.0,20.0,3.0,,5.0,289.0,14.0,11.0,22.0,,1.0,1.0,5.0,25.0,406.0,101.0,2.0,98747,5.0,126.0,12.0,2.0,159.0,1.0,1.0,14.0,5.0,72.0,,,5.0,,15.0,4.0,4.0,99.0,303.0,15.0,10.0,4.0,52.0,101.0,,1.0,,0.0,3.0,1.0,,1.0,9.0,0.0,6.0,,4.0,57.2,20.0,1.0,2.0,,5.0,4.0,42.0,8.0,428.0,5.0,12.0,18.0,5.0,46.0,2.0,3.0,302.0,5.0,13.0,42.0,89.0,38.0,1.0,4.0,22.0,9.0,,,7.0,2.0,10.0,4.0,5.0,8.0,3.0,2.0,1.0,,6.0,2.0,1.0,,1.0,1.0,1.0,,1.0,6.0,,,,1.0,,,,2.0,3.0,1.0,,,,3.0,,,1.0,2.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,
36,919243,2018-04-28 15:00:00,"Turf Moor, Burnley",19459,Home,Burnley,Brighton and Hove Albion,0,0,D,0,0,0,0,48.0,,,,21.0,25.0,2.0,5.0,8.0,2.0,,155.0,4.0,6.0,,5.0,6.0,4.0,60.0,175.0,51.0,1.0,10.0,,33.0,3.0,1.0,,2.0,,22.0,9.0,,25.0,3.0,8.0,31.0,107.0,0.0,97.0,5.0,1.0,4.0,26.0,49.0,5.0,55.0,,,1.0,19.0,11.0,2.0,1.0,6.0,175.0,8.0,1.0,69.0,516.0,5.0,10.0,24.0,,1.0,3.0,210.0,15.0,11.0,12.0,,0.0,4.0,1.0,24.0,313.0,61.0,,98747,5.0,115.0,9.0,3.0,141.0,,,11.0,8.0,52.0,,4.0,5.0,,17.0,2.0,2.0,77.0,218.0,16.0,4.0,1.0,43.0,91.0,,,,0.0,4.0,,,,3.0,0.0,2.0,,,44.5,20.0,,,,5.0,4.0,32.0,3.0,339.0,3.0,9.0,8.0,2.0,31.0,2.0,,220.0,4.0,6.0,22.0,43.0,21.0,,3.0,12.0,9.0,,,4.0,3.0,8.0,3.0,3.0,3.0,4.0,,,,,1.0,1.0,,1.0,,,,3.0,,,2.0,,,,,,2.0,2.0,,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
37,919254,2018-05-06 16:30:00,"Emirates Stadium, London",59540,Away,Burnley,Arsenal,0,5,L,0,2,0,0,56.0,,2.0,,29.0,23.0,3.0,1.0,3.0,3.0,,134.0,5.0,9.0,,1.0,4.0,2.0,86.0,116.0,40.0,,6.0,1.0,11.0,1.0,,,1.0,1.0,18.0,5.0,,23.0,4.0,9.0,26.0,128.0,0.0,89.0,7.0,1.0,1.0,40.0,49.0,3.0,65.0,6.0,,1.0,14.0,16.0,3.0,,4.0,116.0,13.0,,87.0,527.0,2.0,7.0,16.0,1.0,,17.0,283.0,23.0,11.0,11.0,,1.0,3.0,1.0,14.0,350.0,46.0,,98747,2.0,173.0,9.0,,192.0,5.0,,16.0,8.0,41.0,,,2.0,,11.0,3.0,3.0,61.0,296.0,6.0,12.0,2.0,26.0,75.0,,,,0.0,4.0,,,5.0,2.0,0.0,3.0,,2.0,36.4,12.0,1.0,,,2.0,2.0,41.0,5.0,372.0,17.0,9.0,13.0,2.0,21.0,2.0,1.0,198.0,2.0,9.0,16.0,50.0,24.0,,3.0,11.0,11.0,,5.0,4.0,3.0,12.0,3.0,5.0,5.0,1.0,,,,,1.0,,,,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
38,919263,2018-05-13 15:00:00,"Turf Moor, Burnley",20720,Home,Burnley,Bournemouth,1,2,L,1,0,0,0,54.0,1.0,,,36.0,17.0,3.0,2.0,7.0,3.0,1.0,163.0,8.0,4.0,1.0,1.0,8.0,4.0,81.0,163.0,50.0,,10.0,,18.0,2.0,,1.0,2.0,2.0,32.0,12.0,,17.0,6.0,7.0,41.0,188.0,0.0,156.0,14.0,2.0,1.0,69.0,52.0,5.0,78.0,,,2.0,26.0,17.0,3.0,,7.0,163.0,11.0,,94.0,582.0,4.0,12.0,22.0,1.0,,7.0,293.0,12.0,6.0,9.0,1.0,0.0,6.0,3.0,22.0,396.0,95.0,,98747,5.0,123.0,18.0,,143.0,7.0,,17.0,8.0,41.0,,3.0,3.0,1.0,7.0,5.0,4.0,88.0,303.0,9.0,2.0,3.0,41.0,85.0,,1.0,,0.0,8.0,1.0,,2.0,3.0,0.0,4.0,,2.0,51.4,18.0,1.0,1.0,1.0,3.0,1.0,37.0,7.0,416.0,7.0,7.0,25.0,5.0,38.0,4.0,3.0,305.0,5.0,5.0,22.0,90.0,30.0,1.0,4.0,9.0,16.0,,2.0,6.0,3.0,7.0,4.0,4.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,,,2.0,5.0,2.0,,1.0,,,,,2.0,3.0,1.0,1.0,,,,,,,1.0,1.0,,3.0,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
