gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,postScoringAtt,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attFreekickTotal,attOboxBlocked,attSvLowCentre,attOboxTarget,freekickCross,goodHighClaim,freekickTotal,secondYellow,attLgCentre,accurateThroughBall,attSetpiece,penaltyConceded,attCmissHigh,totalThroughBall,attSvLowRight,attPostHigh,goalsConceded,shieldBallOop,penaltyFaced,totalHighClaim,penGoalsConceded,attFreekickMiss,goalsConcededIbox,errorLeadToGoal,goalAssistSetplay,goalAssistDeadball,attCmissRight,shotFastbreak,attBxRight,attOneOnOne,attOboxGoal,ptsGainedLosingPos,totalFastbreak,midfielderGoals,interceptionsInBox,attMissRight,goalAssist,attRfGoal,attFastbreak,goalAssistIntentional,attSvHighCentre,clearanceOffLine,ptsDroppedWinningPos,handBall,accuratePullBack,attSvHighRight,sixYardBlock,totalPullBack,defenderGoals,attGoalHighCentre,accurateFreekickCross,attFreekickTarget,attHdTotal,attHdMiss,accurateKeeperSweeper,totalKeeperSweeper,attHdTarget,attGoalLowRight,goalAssistOpenplay,goalFastbreak,attSvHighLeft,attMissHighLeft,ownGoals,attCmissHighLeft,attOboxPost,forwardGoals,attIboxOwnGoal,errorLeadToShot,goalsConcededObox,attGoalHighRight,attGoalLowCentre,penaltyWon,contentiousDecision,attPenGoal,attHdGoal,attFreekickPost,attGoalHighLeft,attHdPost,attPostRight,attCmissHighRight,foulThrowIn,attObxRight
27,2367801,2024-03-02 15:00:00,"Craven Cottage, London",24460,Home,Fulham,Brighton and Hove Albion,3,0,W,2,0,0,0,2.0,56.0,2.0,2.0,2.0,14.0,27.0,3.0,3.0,9.0,5.0,1.0,1.0,142.0,3.0,4.0,3.0,1.0,11.0,5.0,61.0,127.0,49.0,12.0,17.0,,,2.0,14.0,,12.0,27.0,2.0,2.0,28.0,84.0,,1.0,0.0,76.0,16.0,2.0,,37.0,37.0,7.0,41.0,12.0,22.0,3.0,3.0,,127.0,2.0,10.0,1.0,,63.0,488.0,7.0,4.0,16.0,,8.0,203.0,29.0,5.0,13.0,1.0,3.0,4.0,16.0,282.0,39.0,96994,4.0,136.0,,9.0,170.0,16.0,10.0,10.0,60.0,2.0,4.0,3.0,6.0,5.0,6.0,,52.0,217.0,9.0,11.0,1.0,30.0,1.0,62.0,,1.0,0.0,1.0,6.0,3.0,3.0,1.0,0.0,2.0,29.5,15.0,4.0,1.0,4.0,3.0,26.0,2.0,307.0,8.0,5.0,14.0,4.0,18.0,1.0,4.0,151.0,7.0,2.0,12.0,45.0,12.0,2.0,13.0,24.0,10.0,5.0,15.0,2.0,10.0,2.0,1.0,,1.0,1.0,2.0,,2.0,,,,,1.0,,,,,,,1.0,,2.0,,,,,,,2.0,2.0,1.0,1.0,,,3.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,,,,,,,2.0,,,,,,2.0,1.0,,,,,3.0,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,
28,2367817,2024-03-09 15:00:00,"Molineux Stadium, Wolverhampton",30860,Away,Fulham,Wolverhampton Wanderers,1,2,L,0,0,0,0,1.0,52.0,,1.0,6.0,23.0,11.0,7.0,5.0,16.0,2.0,,4.0,155.0,5.0,4.0,1.0,1.0,15.0,7.0,124.0,110.0,44.0,23.0,10.0,3.0,1.0,3.0,15.0,1.0,18.0,11.0,3.0,2.0,31.0,162.0,,,0.0,96.0,11.0,,1.0,61.0,56.0,10.0,71.0,12.0,19.0,7.0,5.0,3.0,110.0,4.0,6.0,,,145.0,650.0,13.0,5.0,36.0,1.0,4.0,395.0,28.0,4.0,9.0,2.0,,5.0,11.0,472.0,33.0,96994,8.0,260.0,3.0,7.0,295.0,11.0,7.0,9.0,39.0,,5.0,1.0,12.0,3.0,9.0,2.0,41.0,417.0,7.0,10.0,1.0,15.0,7.0,59.0,2.0,,0.0,1.0,3.0,1.0,1.0,3.0,0.0,3.0,52.2,11.0,3.0,1.0,5.0,7.0,45.0,4.0,495.0,4.0,7.0,17.0,9.0,29.0,2.0,5.0,215.0,14.0,1.0,12.0,69.0,15.0,1.0,9.0,21.0,14.0,5.0,6.0,1.0,7.0,4.0,1.0,,1.0,1.0,3.0,,1.0,,,,1.0,2.0,,,3.0,1.0,1.0,2.0,1.0,,1.0,,,2.0,,,,1.0,,1.0,1.0,,,,1.0,,3.0,1.0,1.0,,,1.0,,,,1.0,,1.0,1.0,,,,,4.0,3.0,,,1.0,,1.0,,2.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,
29,2367823,2024-03-16 17:30:00,"Craven Cottage, London",24410,Home,Fulham,Tottenham Hotspur,3,0,W,1,0,0,0,2.0,53.0,2.0,2.0,6.0,31.0,8.0,1.0,5.0,15.0,5.0,1.0,3.0,151.0,7.0,8.0,3.0,1.0,12.0,7.0,86.0,139.0,49.0,16.0,14.0,4.0,1.0,2.0,17.0,1.0,9.0,8.0,4.0,3.0,33.0,140.0,,1.0,0.0,109.0,9.0,3.0,,66.0,45.0,9.0,71.0,13.0,25.0,1.0,4.0,1.0,139.0,2.0,12.0,,1.0,92.0,590.0,8.0,2.0,39.0,1.0,13.0,286.0,18.0,8.0,5.0,2.0,1.0,3.0,23.0,374.0,39.0,96994,9.0,172.0,1.0,8.0,207.0,9.0,14.0,11.0,48.0,2.0,4.0,2.0,19.0,2.0,8.0,,66.0,305.0,10.0,13.0,2.0,28.0,4.0,67.0,,,0.0,,5.0,3.0,3.0,1.0,0.0,5.0,42.9,22.0,3.0,1.0,4.0,6.0,35.0,4.0,400.0,13.0,6.0,18.0,3.0,31.0,2.0,1.0,210.0,9.0,2.0,11.0,79.0,21.0,2.0,5.0,20.0,11.0,5.0,14.0,2.0,14.0,4.0,1.0,,,2.0,,1.0,,,,,2.0,1.0,,,3.0,2.0,,,,,,,,,,,,,5.0,2.0,,,,5.0,1.0,2.0,,2.0,2.0,5.0,2.0,,,,,,,1.0,,,,,,2.0,1.0,,,,1.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,
30,2367836,2024-03-30 15:00:00,"Bramall Lane, Sheffield",30010,Away,Fulham,Sheffield United,3,3,D,0,0,0,0,,45.0,1.0,,5.0,31.0,13.0,7.0,7.0,17.0,1.0,,1.0,193.0,13.0,11.0,3.0,3.0,16.0,9.0,167.0,148.0,49.0,24.0,23.0,4.0,1.0,1.0,41.0,1.0,6.0,13.0,15.0,3.0,29.0,270.0,,,0.0,186.0,13.0,,1.0,88.0,69.0,11.0,84.0,26.0,21.0,7.0,13.0,1.0,148.0,,6.0,1.0,,148.0,784.0,6.0,1.0,39.0,2.0,3.0,487.0,14.0,2.0,7.0,1.0,2.0,5.0,22.0,569.0,76.0,96994,13.0,251.0,,12.0,276.0,13.0,5.0,7.0,58.0,,4.0,2.0,12.0,2.0,7.0,2.0,48.0,508.0,10.0,3.0,7.0,7.0,9.0,74.0,,1.0,0.0,4.0,2.0,1.0,2.0,1.0,0.0,4.0,73.6,21.0,2.0,1.0,4.0,8.0,56.0,15.0,592.0,3.0,14.0,13.0,7.0,56.0,9.0,5.0,357.0,11.0,3.0,19.0,141.0,23.0,,7.0,9.0,12.0,5.0,16.0,,5.0,15.0,4.0,,3.0,3.0,2.0,1.0,1.0,,,,1.0,3.0,,,3.0,1.0,,3.0,2.0,,1.0,,,3.0,,1.0,1.0,,,2.0,,1.0,1.0,,1.0,,1.0,3.0,2.0,,2.0,1.0,,,,1.0,,,2.0,,,,,6.0,2.0,,,1.0,1.0,2.0,,,2.0,,,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,,,
31,2367842,2024-04-02 19:30:00,"The City Ground, Nottingham",28997,Away,Fulham,Nottingham Forest,1,3,L,0,3,0,0,,48.0,,,2.0,26.0,13.0,3.0,3.0,15.0,1.0,,1.0,198.0,12.0,4.0,1.0,1.0,16.0,3.0,185.0,131.0,44.0,18.0,15.0,1.0,2.0,1.0,37.0,2.0,11.0,13.0,6.0,12.0,34.0,336.0,1.0,,0.0,229.0,8.0,,2.0,109.0,78.0,4.0,84.0,31.0,13.0,3.0,4.0,2.0,131.0,,9.0,,,162.0,797.0,13.0,3.0,30.0,2.0,4.0,530.0,22.0,4.0,5.0,0.0,3.0,12.0,18.0,608.0,82.0,96994,9.0,227.0,,25.0,242.0,8.0,4.0,8.0,40.0,,2.0,,15.0,7.0,8.0,1.0,46.0,551.0,6.0,8.0,2.0,11.0,6.0,63.0,1.0,,0.0,2.0,3.0,1.0,1.0,2.0,0.0,9.0,66.7,18.0,2.0,1.0,2.0,2.0,45.0,8.0,629.0,4.0,8.0,20.0,13.0,45.0,3.0,9.0,424.0,7.0,11.0,19.0,179.0,22.0,,5.0,15.0,12.0,5.0,7.0,,4.0,8.0,,,,,1.0,2.0,,,,,1.0,,,1.0,2.0,,1.0,3.0,1.0,,,,,2.0,,1.0,1.0,1.0,,1.0,,,,,,,7.0,1.0,,,1.0,,,,1.0,,,,,1.0,,,,8.0,5.0,1.0,1.0,1.0,,,,,1.0,,,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,,,
32,2367852,2024-04-06 15:00:00,"Craven Cottage, London",24418,Home,Fulham,Newcastle United,0,1,L,0,0,0,0,,59.0,,1.0,2.0,34.0,6.0,5.0,4.0,9.0,4.0,,2.0,175.0,6.0,15.0,,1.0,11.0,4.0,160.0,151.0,57.0,14.0,9.0,4.0,,1.0,40.0,,9.0,6.0,12.0,4.0,38.0,283.0,2.0,,0.0,177.0,10.0,2.0,3.0,106.0,65.0,7.0,93.0,28.0,26.0,5.0,8.0,3.0,151.0,1.0,9.0,,,160.0,782.0,10.0,4.0,40.0,,9.0,476.0,24.0,5.0,1.0,1.0,2.0,4.0,18.0,562.0,56.0,96994,6.0,223.0,1.0,19.0,252.0,10.0,4.0,8.0,41.0,,4.0,,14.0,3.0,7.0,1.0,62.0,500.0,13.0,9.0,1.0,19.0,2.0,66.0,,1.0,0.0,,3.0,3.0,,1.0,0.0,4.0,66.6,18.0,7.0,2.0,5.0,4.0,49.0,14.0,588.0,9.0,9.0,21.0,6.0,53.0,2.0,3.0,376.0,9.0,4.0,10.0,141.0,23.0,1.0,1.0,20.0,12.0,5.0,20.0,1.0,4.0,14.0,2.0,,2.0,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,,1.0,,4.0,2.0,,,1.0,,,,,1.0,,,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
33,2367867,2024-04-14 14:00:00,"London Stadium, London",62459,Away,Fulham,West Ham United,2,0,W,1,0,0,0,2.0,60.0,1.0,1.0,2.0,13.0,35.0,5.0,3.0,13.0,4.0,1.0,7.0,146.0,3.0,7.0,2.0,1.0,15.0,10.0,106.0,115.0,53.0,18.0,14.0,5.0,,3.0,10.0,,12.0,35.0,3.0,5.0,34.0,127.0,1.0,1.0,0.0,94.0,13.0,2.0,3.0,38.0,46.0,10.0,61.0,7.0,18.0,5.0,2.0,1.0,115.0,5.0,11.0,,,99.0,616.0,12.0,2.0,31.0,,5.0,315.0,31.0,3.0,17.0,2.0,2.0,5.0,10.0,390.0,39.0,96994,8.0,207.0,4.0,4.0,242.0,11.0,12.0,14.0,59.0,,5.0,2.0,8.0,4.0,12.0,,45.0,331.0,6.0,17.0,2.0,20.0,2.0,48.0,1.0,1.0,0.0,1.0,8.0,3.0,2.0,,0.0,1.0,41.8,8.0,3.0,2.0,5.0,3.0,27.0,3.0,412.0,5.0,8.0,14.0,5.0,22.0,2.0,4.0,180.0,14.0,5.0,14.0,69.0,15.0,4.0,17.0,26.0,16.0,5.0,15.0,4.0,12.0,3.0,,,1.0,4.0,3.0,1.0,1.0,,,,,,,,,1.0,,,,,2.0,,,,,,,1.0,1.0,1.0,,,,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,
34,2367872,2024-04-21 16:30:00,"Craven Cottage, London",24401,Home,Fulham,Liverpool,1,3,L,1,1,0,0,,64.0,1.0,1.0,2.0,13.0,16.0,4.0,4.0,8.0,4.0,,2.0,152.0,5.0,9.0,1.0,3.0,8.0,5.0,115.0,146.0,42.0,12.0,14.0,2.0,1.0,1.0,16.0,,6.0,16.0,1.0,4.0,42.0,102.0,,,0.0,78.0,5.0,3.0,,45.0,53.0,6.0,61.0,15.0,24.0,4.0,6.0,1.0,146.0,,7.0,,,97.0,622.0,8.0,1.0,22.0,1.0,7.0,311.0,27.0,1.0,5.0,3.0,2.0,2.0,17.0,404.0,42.0,96994,6.0,234.0,1.0,6.0,265.0,4.0,15.0,7.0,42.0,1.0,10.0,1.0,25.0,7.0,7.0,1.0,50.0,331.0,10.0,11.0,,19.0,1.0,66.0,,,0.0,2.0,4.0,3.0,1.0,,0.0,5.0,39.9,17.0,5.0,,11.0,2.0,28.0,1.0,425.0,7.0,5.0,20.0,5.0,23.0,,3.0,176.0,6.0,4.0,11.0,45.0,19.0,1.0,5.0,12.0,8.0,3.0,16.0,1.0,15.0,1.0,1.0,1.0,,2.0,2.0,3.0,,1.0,,,,2.0,,,,2.0,1.0,3.0,,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,1.0,1.0,,1.0,,2.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,1.0,2.0,,,,,,,1.0,,,,,,
35,2367881,2024-04-27 15:00:00,"Craven Cottage, London",24142,Home,Fulham,Crystal Palace,1,1,D,0,0,0,0,1.0,72.0,1.0,2.0,,23.0,21.0,2.0,2.0,7.0,3.0,,1.0,182.0,3.0,1.0,1.0,2.0,7.0,2.0,136.0,164.0,53.0,9.0,24.0,1.0,,2.0,14.0,,17.0,21.0,5.0,6.0,34.0,118.0,,,0.0,93.0,11.0,2.0,,37.0,49.0,3.0,75.0,9.0,14.0,2.0,1.0,1.0,164.0,3.0,6.0,,,137.0,708.0,5.0,4.0,17.0,,8.0,394.0,33.0,10.0,7.0,0.0,2.0,4.0,12.0,501.0,44.0,96994,3.0,302.0,2.0,6.0,353.0,7.0,3.0,13.0,66.0,1.0,7.0,1.0,17.0,8.0,10.0,2.0,72.0,417.0,13.0,12.0,1.0,38.0,2.0,61.0,,1.0,0.0,,9.0,1.0,1.0,1.0,0.0,2.0,54.0,10.0,6.0,,7.0,1.0,29.0,5.0,530.0,8.0,13.0,16.0,6.0,25.0,1.0,5.0,191.0,5.0,5.0,15.0,53.0,22.0,5.0,7.0,24.0,7.0,5.0,8.0,5.0,3.0,5.0,,,1.0,,,2.0,1.0,,,,,,,1.0,,1.0,,1.0,2.0,,2.0,,,,,,,1.0,,2.0,,,,,,1.0,1.0,1.0,,,1.0,,,2.0,1.0,,,,,,,,,2.0,1.0,2.0,2.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,
36,2367889,2024-05-04 15:00:00,"Gtech Community Stadium, Brentford",17090,Away,Fulham,Brentford,0,0,D,0,0,0,0,,60.0,,,4.0,18.0,33.0,5.0,7.0,10.0,2.0,,1.0,152.0,5.0,6.0,,,11.0,3.0,117.0,146.0,43.0,15.0,17.0,3.0,1.0,1.0,24.0,,12.0,33.0,6.0,2.0,41.0,164.0,,1.0,0.0,119.0,6.0,,,42.0,53.0,7.0,56.0,18.0,28.0,5.0,8.0,2.0,146.0,,7.0,,,100.0,610.0,10.0,5.0,30.0,1.0,7.0,307.0,28.0,4.0,19.0,1.0,3.0,4.0,19.0,410.0,53.0,96994,5.0,161.0,1.0,10.0,205.0,3.0,16.0,10.0,44.0,,4.0,,7.0,,8.0,3.0,45.0,320.0,3.0,10.0,1.0,20.0,2.0,44.0,,,0.0,1.0,7.0,3.0,,1.0,0.0,2.0,45.9,16.0,4.0,2.0,4.0,6.0,23.0,6.0,425.0,7.0,9.0,17.0,6.0,35.0,3.0,3.0,244.0,5.0,2.0,15.0,79.0,23.0,1.0,19.0,19.0,13.0,5.0,8.0,1.0,16.0,6.0,1.0,,2.0,1.0,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,2.0,2.0,,,,2.0,,,,,,2.0,,1.0,1.0,,,,1.0,,,,,,,3.0,2.0,,,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,
37,2367901,2024-05-11 12:30:00,"Craven Cottage, London",24418,Home,Fulham,Manchester City,0,4,L,0,1,1,0,,38.0,,3.0,,23.0,17.0,,,1.0,5.0,,1.0,135.0,1.0,7.0,,,,1.0,104.0,99.0,40.0,1.0,8.0,1.0,,,13.0,,6.0,17.0,1.0,2.0,36.0,75.0,,,0.0,52.0,9.0,4.0,1.0,33.0,40.0,,75.0,12.0,23.0,,3.0,,99.0,,12.0,,,106.0,568.0,,,6.0,,6.0,334.0,20.0,3.0,8.0,1.0,2.0,,17.0,400.0,32.0,96994,1.0,278.0,,9.0,303.0,2.0,11.0,9.0,27.0,,5.0,,12.0,4.0,7.0,,50.0,352.0,5.0,4.0,,13.0,,46.0,,1.0,0.0,,7.0,2.0,,,1.0,1.0,35.8,17.0,2.0,,5.0,,25.0,1.0,420.0,6.0,6.0,17.0,,20.0,,,130.0,1.0,2.0,5.0,26.0,9.0,,8.0,23.0,1.0,4.0,8.0,,11.0,1.0,,,,,,,1.0,,1.0,,,,1.0,,,,,4.0,,1.0,1.0,1.0,,4.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2367915,2024-05-19 16:00:00,"Kenilworth Road, Luton",12027,Away,Fulham,Luton Town,4,2,W,2,1,0,0,1.0,40.0,2.0,1.0,1.0,23.0,16.0,6.0,5.0,8.0,4.0,1.0,3.0,171.0,5.0,5.0,4.0,4.0,14.0,8.0,111.0,102.0,45.0,16.0,11.0,,1.0,3.0,15.0,,9.0,16.0,3.0,7.0,34.0,189.0,,,0.0,111.0,20.0,2.0,,55.0,60.0,8.0,86.0,12.0,14.0,8.0,4.0,,102.0,2.0,9.0,,,92.0,617.0,8.0,5.0,22.0,1.0,4.0,363.0,18.0,1.0,9.0,4.0,5.0,6.0,15.0,429.0,40.0,96994,3.0,207.0,1.0,7.0,243.0,9.0,4.0,7.0,45.0,1.0,4.0,3.0,11.0,6.0,5.0,,44.0,391.0,14.0,5.0,2.0,12.0,1.0,57.0,1.0,1.0,0.0,,4.0,3.0,2.0,2.0,0.0,4.0,59.6,15.0,2.0,2.0,5.0,2.0,40.0,4.0,460.0,4.0,3.0,20.0,6.0,24.0,1.0,5.0,232.0,9.0,5.0,6.0,90.0,14.0,1.0,9.0,20.0,11.0,5.0,11.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,4.0,1.0,,2.0,,1.0,,2.0,1.0,,,,1.0,2.0,,1.0,,1.0,,1.0,,1.0,1.0,2.0,,1.0,,2.0,,,2.0,,2.0,4.0,2.0,,3.0,3.0,,,,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,3.0,,,,,,1.0,2.0,,,1.0,,,,,,1.0,,1.0,,,,1.0,1.0
