gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attLfTarget,bigChanceScored,attGoalLowRight,attLfGoal,goals,attCmissRight,attFreekickTotal,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,attOneOnOne,totalFastbreak,midfielderGoals,attSvLowLeft,goodHighClaim,freekickTotal,attGoalHighCentre,attOboxMiss,bigChanceCreated,attHdTarget,goalAssist,totalKeeperSweeper,bigChanceMissed,goalsOpenplay,attFastbreak,attSvLowRight,attIboxGoal,goalAssistIntentional,totalHighClaim,attFreekickMiss,effectiveBlockedCross,blockedCross,goalsConcededObox,attGoalLowCentre,ptsGainedLosingPos,fastestPlayer_topSpeed,sixYardBlock,totalDistance,attRfGoal,shieldBallOop,attBxLeft,forwardGoals,attGoalLowLeft,accuratePullBack,attMissHighLeft,attCmissHigh,attCmissHighLeft,attCmissLeft,attSvHighCentre,ptsDroppedWinningPos,postScoringAtt,attIboxPost,attMissHighRight,subsGoals,hitWoodwork,accurateThroughBall,attPostHigh,cleanSheet,penaltyWon,contentiousDecision,attPenGoal,attGoalHighLeft,attPenTarget,ownGoals,attIboxOwnGoal,attCmissHighRight,attHdGoal,handBall,clearanceOffLine,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,attOboxGoal,expectedAssists,attOboxPost,expectedGoals,attGoalHighRight,goalFastbreak,attObxdLeft,attFreekickTarget,goalAssistSetplay,goalAssistDeadball,errorLeadToGoal,penaltyConceded,penaltyFaced,penGoalsConceded,attObxLeft,attHdPost,attPostRight,defenderGoals,expectedGoalsFreekick,attPostLeft,attObxdRight,penaltySave
27,2444736,2025-02-25 19:30:00,"Molineux Stadium, Wolverhampton",28708,Away,Fulham,Wolverhampton Wanderers,2,1,W,1,1,0,0,43.0,1.0,3.0,27.0,40.0,1.0,3.0,10.0,4.0,2.0,136.0,3.0,6.0,,10.0,5.0,94.0,95.0,52.0,11.0,,12.0,3.0,1.0,9.0,17.0,,40.0,3.0,5.0,22.0,134.0,,0.0,100.0,15.0,,,,37.0,52.0,8.0,71.0,,2.0,6.0,8.0,1.0,3.0,95.0,11.0,86.0,562.0,7.0,2.0,14.0,6.0,308.0,18.0,14.0,23.0,3.0,5.0,2.0,8.0,364.0,46.0,,1.0,169528,6.0,196.0,3.0,,213.0,7.0,1.0,4.0,11.0,47.0,5.0,,6.0,17.0,7.0,8.0,1.0,51.0,327.0,8.0,10.0,1.0,30.0,1.0,51.0,1.0,0.0,1.0,7.0,3.0,1.0,,0.0,2.0,3.0,40.0,7.0,2.0,3.0,6.0,3.0,31.0,4.0,387.0,6.0,4.0,12.0,3.0,17.0,1.0,3.0,183.0,5.0,4.0,19.0,74.0,15.0,23.0,20.0,1.0,10.0,5.0,12.0,4.0,5.0,,2.0,1.0,1.0,2.0,1.0,,,,2.0,2.0,,3.0,,1.0,,,,,,4.0,1.0,2.0,,2.0,2.0,,1.0,1.0,2.0,,,3.0,3.0,,1.0,,33.3,1.0,110615.39,1.0,,3.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.7357,0.4393,1.0,0.754716,,1.6932,,,,,,,,,,,,,,,,,,
28,2444741,2025-03-08 15:00:00,"American Express Stadium, Falmer",31584,Away,Fulham,Brighton and Hove Albion,1,2,L,1,1,0,0,48.0,,3.0,27.0,41.0,,2.0,6.0,2.0,,141.0,3.0,12.0,,5.0,1.0,110.0,121.0,53.0,6.0,,19.0,,2.0,22.0,9.0,,41.0,7.0,11.0,30.0,133.0,,0.0,77.0,12.0,2.0,,,44.0,63.0,3.0,79.0,,1.0,15.0,16.0,,6.0,121.0,8.0,111.0,635.0,2.0,6.0,13.0,4.0,355.0,26.0,7.0,17.0,2.0,2.0,2.0,13.0,420.0,36.0,,,232892,2.0,244.0,9.0,,267.0,7.0,,8.0,7.0,54.0,,1.0,2.0,15.0,1.0,7.0,1.0,52.0,374.0,6.0,6.0,2.0,25.0,2.0,52.0,,0.0,,3.0,2.0,2.0,4.0,0.0,1.0,1.0,46.7,12.0,1.0,3.0,2.0,3.0,34.0,7.0,441.0,4.0,9.0,16.0,2.0,24.0,2.0,2.0,196.0,3.0,11.0,13.0,55.0,15.0,17.0,22.0,2.0,4.0,4.0,21.0,8.0,7.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,,2.0,,,,,,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,33.62,1.0,112146.75,,,,1.0,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,0.7469,1.7506,,0.22646,,0.9026,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,
29,2444754,2025-03-16 13:30:00,"Craven Cottage, London",27182,Home,Fulham,Tottenham Hotspur,2,0,W,0,0,0,0,60.0,1.0,2.0,24.0,18.0,6.0,3.0,7.0,4.0,,154.0,7.0,9.0,2.0,7.0,4.0,148.0,147.0,68.0,13.0,4.0,15.0,2.0,1.0,33.0,20.0,,18.0,6.0,9.0,26.0,253.0,,0.0,163.0,13.0,2.0,,1.0,97.0,61.0,6.0,91.0,,1.0,27.0,23.0,6.0,11.0,147.0,11.0,135.0,750.0,5.0,6.0,27.0,10.0,430.0,14.0,6.0,9.0,0.0,4.0,1.0,23.0,506.0,64.0,,1.0,159533,6.0,201.0,15.0,2.0,225.0,4.0,1.0,7.0,7.0,61.0,2.0,1.0,5.0,13.0,1.0,5.0,1.0,52.0,447.0,10.0,8.0,1.0,20.0,3.0,56.0,,0.0,,5.0,3.0,,4.0,0.0,4.0,2.0,56.6,22.0,,5.0,5.0,6.0,33.0,6.0,528.0,10.0,16.0,11.0,3.0,34.0,3.0,1.0,336.0,8.0,9.0,18.0,126.0,31.0,9.0,31.0,,8.0,4.0,18.0,7.0,6.0,1.0,1.0,,,2.0,1.0,,,1.0,1.0,2.0,1.0,,,,,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,2.0,1.0,1.0,,,,,,,31.33,1.0,109100.21,2.0,,,,1.0,1.0,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,1.7626,0.4431,,0.850797,,0.972,1.0,,,,,,,,,,,,,,,,,
30,2444761,2025-04-01 19:45:00,"Emirates Stadium, London",60256,Away,Fulham,Arsenal,1,2,L,0,1,0,0,34.0,,1.0,22.0,29.0,1.0,2.0,8.0,3.0,,153.0,4.0,7.0,,7.0,3.0,114.0,100.0,43.0,9.0,1.0,9.0,2.0,,15.0,13.0,,29.0,4.0,8.0,26.0,216.0,,0.0,132.0,10.0,2.0,,,73.0,53.0,4.0,77.0,2.0,3.0,11.0,10.0,1.0,4.0,100.0,15.0,129.0,619.0,4.0,5.0,15.0,4.0,390.0,17.0,6.0,15.0,3.0,7.0,3.0,9.0,453.0,63.0,,2.0,159533,4.0,196.0,7.0,,219.0,3.0,,3.0,10.0,42.0,,,3.0,9.0,2.0,8.0,,47.0,408.0,2.0,8.0,2.0,22.0,2.0,52.0,1.0,0.0,,5.0,2.0,2.0,3.0,0.0,1.0,4.0,49.1,9.0,3.0,2.0,3.0,2.0,30.0,4.0,473.0,4.0,5.0,17.0,4.0,20.0,3.0,4.0,269.0,3.0,8.0,18.0,106.0,9.0,15.0,16.0,2.0,7.0,5.0,17.0,3.0,4.0,1.0,,1.0,,1.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,2.0,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,35.19,,111146.76,1.0,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0343,1.8231,,0.958185,,0.9895,,,,,,,1.0,,,,,,,,,,,
31,2444774,2025-04-06 14:00:00,"Craven Cottage, London",27770,Home,Fulham,Liverpool,3,2,W,3,1,0,0,62.0,,1.0,25.0,44.0,4.0,5.0,8.0,4.0,2.0,119.0,1.0,7.0,1.0,7.0,6.0,83.0,134.0,61.0,12.0,1.0,12.0,1.0,1.0,13.0,19.0,2.0,44.0,4.0,2.0,24.0,112.0,,0.0,87.0,10.0,2.0,1.0,1.0,55.0,30.0,4.0,58.0,1.0,2.0,9.0,17.0,4.0,2.0,134.0,10.0,77.0,558.0,6.0,7.0,22.0,8.0,245.0,22.0,8.0,19.0,3.0,3.0,3.0,11.0,316.0,42.0,,2.0,169528,4.0,150.0,6.0,,178.0,5.0,1.0,7.0,7.0,42.0,2.0,2.0,3.0,24.0,4.0,6.0,,58.0,261.0,8.0,4.0,,30.0,2.0,53.0,2.0,0.0,1.0,4.0,4.0,2.0,2.0,0.0,1.0,,37.9,9.0,,5.0,4.0,2.0,26.0,4.0,337.0,8.0,9.0,9.0,4.0,15.0,,3.0,172.0,7.0,2.0,21.0,60.0,25.0,19.0,25.0,1.0,10.0,5.0,14.0,7.0,4.0,1.0,2.0,1.0,2.0,3.0,1.0,,,,,,2.0,,,2.0,1.0,,,1.0,1.0,2.0,,1.0,,1.0,2.0,,1.0,3.0,,,,3.0,3.0,1.0,,3.0,32.62,,113334.62,1.0,,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.3425,2.0156,,0.783065,,0.7434,,,,,1.0,,,,,,,,,,,,,
32,2444780,2025-04-14 20:00:00,"Vitality Stadium, Bournemouth",11195,Away,Fulham,Bournemouth,0,1,L,0,1,0,0,57.0,,2.0,19.0,24.0,5.0,4.0,7.0,2.0,3.0,155.0,7.0,9.0,1.0,8.0,7.0,116.0,148.0,51.0,12.0,2.0,28.0,4.0,1.0,31.0,10.0,3.0,24.0,7.0,3.0,37.0,229.0,,0.0,163.0,10.0,1.0,1.0,2.0,78.0,65.0,8.0,77.0,1.0,,24.0,19.0,5.0,11.0,148.0,8.0,125.0,683.0,6.0,6.0,37.0,9.0,366.0,20.0,5.0,18.0,2.0,4.0,,25.0,453.0,77.0,1.0,1.0,184349,5.0,163.0,11.0,1.0,184.0,3.0,1.0,9.0,6.0,62.0,,1.0,4.0,17.0,4.0,6.0,,45.0,385.0,11.0,10.0,2.0,19.0,1.0,68.0,,0.0,1.0,6.0,2.0,1.0,2.0,0.0,5.0,3.0,59.2,23.0,,4.0,4.0,4.0,39.0,9.0,473.0,9.0,7.0,16.0,1.0,40.0,2.0,1.0,320.0,5.0,3.0,19.0,119.0,29.0,18.0,12.0,1.0,10.0,5.0,17.0,9.0,9.0,1.0,,,,,,,3.0,,,4.0,1.0,,3.0,,,,,,,1.0,3.0,,,1.0,,3.0,2.0,,,,,1.0,1.0,,,,33.54,,112559.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9129,1.5388,,0.876343,,1.0658,,,,,,,1.0,,,,,,,,,,,
33,2444794,2025-04-20 14:00:00,"Craven Cottage, London",27712,Home,Fulham,Chelsea,1,2,L,1,0,0,0,62.0,3.0,1.0,21.0,33.0,3.0,2.0,3.0,5.0,,125.0,5.0,4.0,3.0,4.0,1.0,82.0,113.0,33.0,6.0,2.0,10.0,,,25.0,12.0,,33.0,5.0,6.0,38.0,115.0,,0.0,83.0,13.0,2.0,,2.0,49.0,34.0,3.0,65.0,,,20.0,14.0,3.0,7.0,113.0,9.0,73.0,523.0,2.0,3.0,16.0,5.0,265.0,26.0,6.0,18.0,1.0,3.0,1.0,10.0,327.0,34.0,,,207189,2.0,170.0,11.0,,192.0,7.0,1.0,7.0,9.0,38.0,,1.0,15.0,16.0,4.0,7.0,2.0,48.0,280.0,8.0,7.0,1.0,17.0,2.0,47.0,,0.0,1.0,4.0,3.0,2.0,1.0,0.0,3.0,,40.7,10.0,,3.0,16.0,3.0,27.0,5.0,345.0,5.0,6.0,20.0,2.0,26.0,2.0,1.0,178.0,4.0,5.0,7.0,52.0,13.0,18.0,14.0,1.0,3.0,5.0,7.0,7.0,6.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,3.0,3.0,1.0,,,33.49,,110398.4,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,1.0,0.3582,1.1034,,0.310326,,0.252,,,,,,,1.0,,,,,,,,0.0378,,,
34,2444808,2025-04-26 15:00:00,"St. Mary's Stadium, Southampton",28946,Away,Fulham,Southampton,2,1,W,0,1,0,0,52.0,,2.0,10.0,30.0,8.0,4.0,18.0,2.0,1.0,159.0,16.0,4.0,3.0,20.0,5.0,148.0,126.0,52.0,26.0,3.0,15.0,3.0,1.0,53.0,11.0,,30.0,11.0,7.0,22.0,341.0,,0.0,249.0,12.0,2.0,,2.0,126.0,78.0,8.0,73.0,,6.0,42.0,19.0,8.0,12.0,126.0,6.0,164.0,756.0,13.0,4.0,39.0,1.0,467.0,27.0,4.0,22.0,1.0,4.0,12.0,17.0,530.0,59.0,1.0,,232892,12.0,155.0,28.0,,172.0,6.0,1.0,5.0,1.0,44.0,1.0,2.0,6.0,11.0,1.0,1.0,1.0,24.0,480.0,10.0,8.0,5.0,13.0,12.0,47.0,,0.0,1.0,,2.0,1.0,1.0,0.0,10.0,11.0,64.6,15.0,7.0,1.0,6.0,5.0,35.0,13.0,544.0,1.0,1.0,13.0,16.0,59.0,6.0,11.0,425.0,11.0,6.0,21.0,214.0,18.0,22.0,18.0,1.0,14.0,5.0,12.0,5.0,13.0,,,1.0,,2.0,1.0,,,,2.0,1.0,4.0,,,,1.0,,,,4.0,1.0,2.0,2.0,,1.0,2.0,,,2.0,2.0,,,,,,,3.0,33.64,,107544.71,1.0,,1.0,,1.0,,4.0,,,2.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,2.912,1.4104,,1.93087,1.0,2.4166,,,,,,,,,,,,,,1.0,,1.0,,
35,2444811,2025-05-03 12:30:00,"Villa Park, Birmingham",42515,Away,Fulham,Aston Villa,0,1,L,0,1,0,0,48.0,1.0,3.0,29.0,19.0,3.0,2.0,8.0,2.0,1.0,106.0,9.0,7.0,3.0,10.0,3.0,103.0,96.0,48.0,11.0,,11.0,2.0,,24.0,13.0,1.0,19.0,3.0,7.0,33.0,195.0,,0.0,110.0,17.0,1.0,1.0,2.0,64.0,43.0,5.0,73.0,1.0,2.0,21.0,12.0,3.0,8.0,96.0,7.0,114.0,574.0,10.0,5.0,24.0,7.0,333.0,21.0,6.0,11.0,5.0,2.0,5.0,11.0,379.0,54.0,,,159533,6.0,163.0,11.0,,178.0,12.0,,7.0,10.0,48.0,1.0,2.0,6.0,16.0,3.0,9.0,1.0,46.0,349.0,6.0,9.0,,8.0,,52.0,,0.0,4.0,5.0,2.0,1.0,2.0,0.0,9.0,3.0,48.0,11.0,2.0,9.0,6.0,3.0,35.0,3.0,396.0,7.0,4.0,16.0,5.0,27.0,,3.0,242.0,6.0,6.0,11.0,88.0,10.0,11.0,24.0,1.0,11.0,5.0,15.0,7.0,3.0,1.0,,,,,1.0,,1.0,2.0,,,2.0,,1.0,,,,,,2.0,1.0,1.0,,2.0,1.0,,1.0,,,,,,1.0,1.0,,,,35.04,1.0,105370.54,,,1.0,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,1.0,,0.9935,1.2363,,0.900712,,0.8537,,,,,,,,,,,,,,,,,,
36,2444821,2025-05-10 15:00:00,"Craven Cottage, London",27653,Home,Fulham,Everton,1,3,L,1,1,0,0,52.0,1.0,4.0,23.0,29.0,6.0,10.0,12.0,4.0,1.0,151.0,7.0,8.0,3.0,17.0,6.0,154.0,126.0,43.0,18.0,,16.0,2.0,2.0,28.0,8.0,3.0,29.0,5.0,10.0,32.0,268.0,,0.0,165.0,15.0,1.0,,2.0,117.0,59.0,9.0,102.0,,2.0,23.0,17.0,6.0,8.0,126.0,9.0,145.0,746.0,15.0,1.0,34.0,3.0,462.0,22.0,2.0,12.0,1.0,3.0,8.0,18.0,536.0,69.0,,1.0,159533,8.0,215.0,13.0,,233.0,7.0,2.0,5.0,4.0,43.0,,,8.0,17.0,2.0,4.0,2.0,48.0,476.0,9.0,2.0,1.0,12.0,1.0,50.0,1.0,0.0,,5.0,4.0,3.0,,0.0,6.0,4.0,64.0,17.0,3.0,3.0,9.0,4.0,31.0,5.0,552.0,3.0,6.0,16.0,8.0,39.0,1.0,5.0,347.0,4.0,10.0,11.0,126.0,17.0,12.0,15.0,1.0,17.0,5.0,12.0,5.0,5.0,4.0,1.0,,,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,,1.0,,2.0,1.0,,,3.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,,,33.18,,106484.67,,2.0,2.0,1.0,1.0,,1.0,1.0,,2.0,1.0,3.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,,1.2805,1.3709,,0.798867,,0.7855,,,,,,,1.0,,,,,,,,,,1.0,
37,2444832,2025-05-18 15:00:00,"Gtech Community Stadium, Brentford",17136,Away,Fulham,Brentford,3,2,W,1,2,0,0,46.0,,5.0,22.0,36.0,7.0,3.0,9.0,3.0,3.0,123.0,5.0,5.0,2.0,9.0,7.0,107.0,101.0,56.0,16.0,4.0,15.0,2.0,,18.0,13.0,2.0,36.0,3.0,3.0,30.0,176.0,,0.0,141.0,8.0,2.0,,1.0,52.0,64.0,9.0,48.0,,,15.0,17.0,7.0,4.0,101.0,10.0,93.0,554.0,7.0,4.0,19.0,6.0,293.0,26.0,3.0,16.0,4.0,2.0,,10.0,347.0,47.0,,2.0,232892,8.0,143.0,10.0,2.0,161.0,5.0,,13.0,12.0,42.0,,,1.0,17.0,1.0,11.0,,46.0,314.0,12.0,8.0,1.0,19.0,2.0,46.0,1.0,0.0,1.0,5.0,4.0,2.0,2.0,0.0,4.0,4.0,49.5,8.0,,2.0,1.0,9.0,27.0,3.0,371.0,6.0,9.0,18.0,,26.0,1.0,,228.0,9.0,3.0,22.0,116.0,15.0,16.0,19.0,2.0,9.0,5.0,7.0,13.0,3.0,,2.0,,1.0,3.0,,2.0,2.0,1.0,1.0,1.0,,,2.0,,1.0,,2.0,,,,1.0,1.0,1.0,,3.0,2.0,1.0,2.0,,,,2.0,2.0,,,3.0,33.86,1.0,104557.41,,,1.0,1.0,3.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,2.0,,,1.8698,2.6976,1.0,0.538435,,0.9946,,,,,,,1.0,1.0,1.0,,,,,,0.1806,,,1.0
38,2444841,2025-05-25 16:00:00,"Craven Cottage, London",27671,Home,Fulham,Manchester City,0,2,L,0,1,0,0,37.0,1.0,3.0,32.0,29.0,2.0,8.0,11.0,3.0,,143.0,5.0,7.0,,7.0,3.0,125.0,105.0,41.0,13.0,1.0,10.0,3.0,2.0,12.0,8.0,,29.0,,4.0,34.0,124.0,,0.0,91.0,11.0,2.0,,,53.0,38.0,3.0,55.0,1.0,2.0,12.0,10.0,2.0,3.0,105.0,16.0,120.0,627.0,7.0,1.0,32.0,11.0,362.0,22.0,6.0,18.0,0.0,7.0,4.0,16.0,428.0,43.0,,,159533,6.0,256.0,9.0,,281.0,7.0,,8.0,5.0,42.0,2.0,2.0,4.0,12.0,4.0,4.0,1.0,59.0,375.0,5.0,7.0,,16.0,1.0,48.0,,0.0,1.0,6.0,2.0,2.0,,0.0,5.0,1.0,46.8,15.0,1.0,1.0,4.0,4.0,31.0,1.0,443.0,11.0,9.0,19.0,6.0,23.0,,5.0,174.0,4.0,4.0,12.0,60.0,9.0,18.0,18.0,2.0,12.0,5.0,12.0,8.0,1.0,3.0,,,,,,,,1.0,,1.0,1.0,1.0,,,2.0,1.0,,,1.0,1.0,,,1.0,4.0,,,,,,2.0,,,,,,,32.94,1.0,102578.83,,,,,,,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.3306,2.6387,,0.745157,,1.2837,,,,,,,,1.0,1.0,1.0,,,,,,,,
